Quarter,Time,Down,ToGo,Location,PHI,SEA,Detail,EPB,EPA,week,year,game_id
4.0,1:28,1.0,10.0,SEA 26,17.0,13.0,Drew Lock pass complete short left to Noah Fant for 5 yards,0.67,0.81,15.0,2023,224
4.0,1:24,2.0,5.0,SEA 31,17.0,13.0,"Drew Lock pass complete short left to D.K. Metcalf for 6 yards (tackle by James Bradberry) Replay Assistant challenged the pass completion ruling, and the play was upheld.",0.81,1.4,15.0,2023,224
4.0,1:03,1.0,10.0,SEA 37,17.0,13.0,Drew Lock pass incomplete short right intended for Tyler Lockett,1.4,0.86,15.0,2023,224
4.0,1:00,2.0,10.0,SEA 37,17.0,13.0,Drew Lock pass incomplete short right intended for Tyler Lockett (defended by Nicholas Morrow),0.86,0.17,15.0,2023,224
4.0,0:56,3.0,10.0,SEA 37,17.0,13.0,Drew Lock pass complete deep right to D.K. Metcalf for 34 yards (tackle by James Bradberry and Sydney Brown),0.17,3.64,15.0,2023,224
4.0,0:40,1.0,10.0,PHI 29,17.0,13.0,Drew Lock pass incomplete deep left intended for Tyler Lockett,3.64,3.1,15.0,2023,224
4.0,0:36,2.0,10.0,PHI 29,17.0,13.0,Drew Lock pass incomplete short middle intended for Tyler Lockett,3.1,2.41,15.0,2023,224
4.0,0:33,3.0,10.0,PHI 29,17.0,19.0,"Drew Lock pass complete deep right to Jaxon Smith-Njigba for 29 yards, touchdown",2.41,7.0,15.0,2023,224
4.0,0:28,,,PHI 15,17.0,20.0,Jason Myers kicks extra point good,0.0,0.0,15.0,2023,224
4.0,0:28,,,SEA 35,17.0,20.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,224
4.0,0:28,1.0,10.0,PHI 25,17.0,20.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Michael Jackson),0.61,0.06,15.0,2023,224
4.0,0:22,2.0,10.0,PHI 25,17.0,20.0,Jalen Hurts scrambles up the middle for 20 yards (tackle by Bobby Wagner),0.06,1.93,15.0,2023,224
4.0,0:13,,,,,,Timeout #1 by Philadelphia Eagles,,,15.0,2023,224
4.0,0:13,1.0,10.0,PHI 45,17.0,20.0,"Jalen Hurts pass deep right intended for A.J. Brown is intercepted by Julian Love at SEA-17 and returned for no gain Replay Assistant challenged the pass interception ruling, and the play was upheld.",1.93,0.06,15.0,2023,224
4.0,0:06,1.0,10.0,SEA 17,17.0,20.0,Drew Lock kneels for -2 yards,-0.06,-0.85,15.0,2023,224
