Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA,week,year,game_id
1.0,4:39,1.0,10.0,MIA 47,0.0,10.0,Chase Edmonds left end for 9 yards (tackle by Devin Bush),2.06,2.73,7.0,2022,107
1.0,4:08,2.0,1.0,PIT 44,0.0,10.0,Chase Edmonds left tackle for 3 yards (tackle by Devin Bush),2.73,2.85,7.0,2022,107
1.0,3:27,1.0,10.0,PIT 41,0.0,10.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 18 yards (tackle by Myles Jack),2.85,4.04,7.0,2022,107
1.0,2:45,1.0,10.0,PIT 23,0.0,10.0,Tua Tagovailoa pass incomplete short left intended for Mike Gesicki,4.04,3.5,7.0,2022,107
1.0,2:42,2.0,10.0,PIT 23,0.0,10.0,Tua Tagovailoa pass incomplete short middle intended for Tyreek Hill,3.5,2.81,7.0,2022,107
1.0,2:38,3.0,10.0,PIT 23,0.0,10.0,Tua Tagovailoa pass incomplete short middle intended for Mike Gesicki,2.81,1.93,7.0,2022,107
1.0,2:32,4.0,10.0,PIT 23,0.0,13.0,Jason Sanders 42 yard field goal good,1.93,3.0,7.0,2022,107
1.0,2:27,,,MIA 35,0.0,13.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,107
1.0,2:27,1.0,10.0,PIT 25,0.0,13.0,Najee Harris up the middle for 4 yards (tackle by Andrew Van Ginkel and Brandon Jones),0.61,0.6,7.0,2022,107
1.0,1:51,2.0,6.0,PIT 29,0.0,13.0,Kenny Pickett pass complete short right to Diontae Johnson for 4 yards (tackle by Justin Bethel),0.6,0.43,7.0,2022,107
1.0,1:24,3.0,2.0,PIT 33,0.0,13.0,Kenny Pickett pass complete short right to Pat Freiermuth for 8 yards (tackle by Justin Bethel),0.43,1.66,7.0,2022,107
1.0,0:46,1.0,10.0,PIT 41,0.0,13.0,Diontae Johnson right end for 3 yards (tackle by Andrew Van Ginkel),1.66,1.53,7.0,2022,107
1.0,0:08,2.0,7.0,PIT 44,0.0,13.0,Jaylen Warren right guard for 3 yards (tackle by Brandon Jones and Jaelan Phillips),1.53,1.22,7.0,2022,107
2.0,15:00,3.0,4.0,PIT 47,0.0,13.0,Kenny Pickett scrambles up the middle for 3 yards (tackle by Jaelan Phillips),1.22,-0.06,7.0,2022,107
2.0,14:39,4.0,1.0,PIT 50,0.0,13.0,Jaylen Warren right guard for 4 yards (tackle by Elandon Roberts),-0.06,2.52,7.0,2022,107
2.0,13:58,1.0,10.0,MIA 46,0.0,13.0,Kenny Pickett pass complete short right to Najee Harris for 12 yards (tackle by Zach Sieler),2.52,3.31,7.0,2022,107
2.0,13:14,1.0,10.0,MIA 34,0.0,13.0,Najee Harris for 3 yards (tackle by Christian Wilkins and Andrew Van Ginkel),3.31,3.18,7.0,2022,107
2.0,12:31,2.0,7.0,MIA 31,0.0,13.0,Kenny Pickett pass complete short left to Chase Claypool for 4 yards (tackle by Andrew Van Ginkel),3.18,3.01,7.0,2022,107
2.0,11:52,3.0,3.0,MIA 27,0.0,13.0,Kenny Pickett pass incomplete short left intended for Diontae Johnson,3.01,1.77,7.0,2022,107
2.0,11:49,4.0,3.0,MIA 27,3.0,13.0,Chris Boswell 45 yard field goal good,1.77,3.0,7.0,2022,107
2.0,11:44,,,PIT 35,3.0,13.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,107
2.0,11:44,1.0,10.0,MIA 25,3.0,13.0,Tua Tagovailoa pass incomplete deep middle intended for Tyreek Hill (defended by Devin Bush),0.61,0.06,7.0,2022,107
2.0,11:40,2.0,10.0,MIA 25,3.0,13.0,Tua Tagovailoa pass complete short left to Trent Sherfield for 7 yards (tackle by Myles Jack),0.06,0.3,7.0,2022,107
2.0,10:57,3.0,3.0,MIA 32,3.0,13.0,Tua Tagovailoa pass complete short right to Trent Sherfield for 5 yards (tackle by Myles Jack),0.3,1.4,7.0,2022,107
2.0,10:14,1.0,10.0,MIA 37,3.0,13.0,Raheem Mostert up the middle for 3 yards (tackle by Devin Bush),1.4,1.26,7.0,2022,107
2.0,9:39,2.0,7.0,MIA 40,3.0,13.0,Tua Tagovailoa pass incomplete short middle intended for Tyreek Hill,1.26,0.56,7.0,2022,107
2.0,9:34,3.0,7.0,MIA 40,3.0,13.0,Tua Tagovailoa pass incomplete short left intended for Chase Edmonds,0.56,-0.72,7.0,2022,107
2.0,9:30,4.0,7.0,MIA 40,3.0,13.0,"Thomas Morstead punts 48 yards, returned by Gunner Olszewski for 2 yards (tackle by Justin Bethel and Elijah Campbell)",-0.72,0.28,7.0,2022,107
2.0,9:19,1.0,10.0,PIT 14,3.0,13.0,Kenny Pickett pass complete short left to Zach Gentry for -4 yards (tackle by Duke Riley),-0.28,-1.07,7.0,2022,107
2.0,8:37,2.0,14.0,PIT 10,3.0,13.0,Kenny Pickett pass complete deep left to George Pickens for 30 yards (tackle by Noah Igbinoghene),-1.07,1.6,7.0,2022,107
2.0,7:59,1.0,10.0,PIT 40,3.0,13.0,Kenny Pickett pass complete short middle to Pat Freiermuth for 4 yards (tackle by Duke Riley and Brandon Jones),1.6,1.59,7.0,2022,107
2.0,7:16,2.0,6.0,PIT 44,3.0,13.0,Najee Harris left guard for 4 yards (tackle by Zach Sieler and Noah Igbinoghene),1.59,1.42,7.0,2022,107
2.0,6:39,3.0,2.0,PIT 48,3.0,13.0,Kenny Pickett pass complete short left to Diontae Johnson for 6 yards (tackle by Noah Igbinoghene),1.42,2.52,7.0,2022,107
2.0,6:11,1.0,10.0,MIA 46,3.0,13.0,Kenny Pickett pass complete short right to George Pickens for 6 yards (tackle by Justin Bethel and Duke Riley),2.52,2.79,7.0,2022,107
2.0,5:44,2.0,4.0,MIA 40,3.0,13.0,Kenny Pickett pass complete short right to George Pickens for 4 yards,2.79,3.18,7.0,2022,107
2.0,5:07,1.0,10.0,MIA 36,3.0,13.0,"Chase Claypool right end for 1 yard (tackle by Jevon Holland). Penalty on Najee Harris: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",3.18,2.52,7.0,2022,107
2.0,4:37,1.0,21.0,MIA 46,3.0,13.0,Kenny Pickett pass complete short right to Chase Claypool for 11 yards (tackle by Justin Bethel),2.52,2.77,7.0,2022,107
2.0,3:58,2.0,9.0,MIA 35,3.0,13.0,Najee Harris right end for -3 yards (tackle by Melvin Ingram and Ben Stille),2.77,1.69,7.0,2022,107
2.0,3:14,3.0,12.0,MIA 38,3.0,13.0,Kenny Pickett scrambles up the middle for 16 yards (tackle by Jevon Holland),1.69,4.11,7.0,2022,107
2.0,2:27,1.0,10.0,MIA 22,3.0,13.0,Najee Harris left tackle for 12 yards (tackle by Jevon Holland),4.11,4.91,7.0,2022,107
2.0,2:01,1.0,10.0,MIA 10,3.0,13.0,Najee Harris for 3 yards (tackle by Elandon Roberts and Brandon Jones),4.91,4.76,7.0,2022,107
2.0,1:55,2.0,7.0,MIA 7,9.0,13.0,"Kenny Pickett pass complete to George Pickens for 7 yards, touchdown",4.76,7.0,7.0,2022,107
2.0,1:50,,,MIA 15,10.0,13.0,Chris Boswell kicks extra point good,0.0,0.0,7.0,2022,107
2.0,1:50,,,PIT 35,10.0,13.0,"Chris Boswell kicks off 60 yards, recovered by Raheem Mostert at MIA-15",0.0,-0.22,7.0,2022,107
2.0,1:46,1.0,10.0,MIA 15,10.0,13.0,Tua Tagovailoa pass complete deep middle to Trent Sherfield for 32 yards (tackle by Terrell Edmunds and Arthur Maulet),-0.22,2.06,7.0,2022,107
2.0,1:07,1.0,10.0,MIA 47,10.0,13.0,Raheem Mostert left guard for 5 yards (tackle by Alex Highsmith and Myles Jack),2.06,2.19,7.0,2022,107
2.0,0:46,2.0,5.0,PIT 48,10.0,13.0,Tua Tagovailoa scrambles up the middle for 4 yards (tackle by Minkah Fitzpatrick),2.19,2.02,7.0,2022,107
2.0,0:26,3.0,1.0,PIT 44,10.0,13.0,"Penalty on Liam Eichenberg: False Start, 5 yards (accepted) (no play)",2.02,1.36,7.0,2022,107
2.0,0:26,,,,,,Timeout #2 by Miami Dolphins,,,7.0,2022,107
2.0,0:26,3.0,6.0,PIT 49,10.0,13.0,Tua Tagovailoa pass complete deep right to Tyreek Hill for 21 yards (tackle by Arthur Maulet),1.36,3.71,7.0,2022,107
2.0,0:21,,,,,,Timeout #3 by Miami Dolphins,,,7.0,2022,107
2.0,0:21,1.0,10.0,PIT 28,10.0,13.0,Tua Tagovailoa pass incomplete intended for Tyreek Hill (defended by Cameron Sutton),3.71,3.1,7.0,2022,107
2.0,0:15,2.0,10.0,PIT 29,10.0,13.0,"Penalty on MIA: Delay of Game, 5 yards (accepted) (no play)",3.1,2.49,7.0,2022,107
2.0,0:15,2.0,15.0,PIT 33,10.0,13.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 2 yards,2.49,2.15,7.0,2022,107
2.0,0:11,3.0,12.0,PIT 31,10.0,13.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 2 yards,2.15,1.5,7.0,2022,107
2.0,0:07,4.0,11.0,PIT 29,10.0,16.0,Jason Sanders 47 yard field goal good,1.5,3.0,7.0,2022,107
2.0,0:02,,,MIA 35,10.0,16.0,"Jason Sanders kicks off 35 yards, returned by Benny Snell for 8 yards (tackle by Justin Bethel)",0.0,1.27,7.0,2022,107
3.0,15:00,,,MIA 35,10.0,16.0,"Jason Sanders kicks off 65 yards, returned by Gunner Olszewski for 27 yards (tackle by Duke Riley and Andrew Van Ginkel)",0.0,0.74,7.0,2022,107
3.0,14:53,1.0,10.0,PIT 27,10.0,16.0,Najee Harris up the middle for -1 yards (tackle by Jaelan Phillips),0.74,0.06,7.0,2022,107
3.0,14:19,2.0,11.0,PIT 26,10.0,16.0,Kenny Pickett sacked by Jaelan Phillips for -11 yards,0.06,-2.54,7.0,2022,107
3.0,13:35,3.0,22.0,PIT 15,10.0,16.0,Kenny Pickett pass complete short left to Jaylen Warren for 10 yards (tackle by Andrew Van Ginkel and Christian Wilkins),-2.54,-1.7,7.0,2022,107
3.0,12:58,4.0,12.0,PIT 25,10.0,16.0,"Pressley Harvin punts 47 yards, fair catch by Cedrick Wilson at MIA-28",-1.7,-0.81,7.0,2022,107
3.0,12:48,1.0,10.0,MIA 28,10.0,16.0,Raheem Mostert left tackle for 1 yard (tackle by Cameron Heyward),0.81,0.4,7.0,2022,107
3.0,12:18,2.0,9.0,MIA 29,10.0,16.0,Raheem Mostert left tackle for 7 yards (tackle by Cameron Heyward),0.4,0.63,7.0,2022,107
3.0,11:53,3.0,2.0,MIA 36,10.0,16.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 25 yards (tackle by Myles Jack),0.63,2.98,7.0,2022,107
3.0,11:15,1.0,10.0,PIT 39,10.0,16.0,Tua Tagovailoa pass complete to Raheem Mostert for 18 yards (tackle by Cameron Sutton and Terrell Edmunds),2.98,4.17,7.0,2022,107
3.0,10:29,1.0,10.0,PIT 21,10.0,16.0,Chase Edmonds left guard for 3 yards (tackle by Chris Wormley),4.17,4.04,7.0,2022,107
3.0,9:49,2.0,7.0,PIT 18,10.0,16.0,Tua Tagovailoa pass complete to Mike Gesicki for 5 yards (tackle by Myles Jack),4.04,4.24,7.0,2022,107
3.0,9:13,,,,,,Timeout #1 by Miami Dolphins,,,7.0,2022,107
3.0,9:13,3.0,2.0,PIT 13,10.0,16.0,Chase Edmonds right guard for -1 yards (tackle by Cameron Heyward),4.24,2.61,7.0,2022,107
3.0,8:43,4.0,3.0,PIT 14,10.0,16.0,Chase Edmonds left guard for no gain (tackle by Myles Jack),2.61,0.22,7.0,2022,107
3.0,8:37,1.0,10.0,PIT 15,10.0,16.0,Kenny Pickett pass incomplete short right intended for Diontae Johnson,-0.22,-0.71,7.0,2022,107
3.0,8:32,2.0,10.0,PIT 15,10.0,16.0,Kenny Pickett pass complete short left to Diontae Johnson for 12 yards (tackle by Noah Igbinoghene),-0.71,0.74,7.0,2022,107
3.0,8:07,1.0,10.0,PIT 27,10.0,16.0,Kenny Pickett pass complete short middle to Diontae Johnson for 6 yards (tackle by Brandon Jones),0.74,1.01,7.0,2022,107
3.0,7:32,2.0,4.0,PIT 33,10.0,16.0,Kenny Pickett pass complete short left to Najee Harris for 1 yard (tackle by Jerome Baker),1.01,0.43,7.0,2022,107
3.0,7:08,3.0,3.0,PIT 34,10.0,16.0,Kenny Pickett pass complete to Najee Harris for 2 yards (tackle by Jerome Baker and Brandon Jones),0.43,-0.98,7.0,2022,107
3.0,6:27,4.0,1.0,PIT 36,10.0,16.0,"Pressley Harvin punts 43 yards, fair catch by Cedrick Wilson at MIA-21",-0.98,-0.34,7.0,2022,107
3.0,6:18,1.0,10.0,MIA 21,10.0,16.0,Raheem Mostert right tackle for -1 yards (tackle by Devin Bush and Myles Jack),0.34,-0.34,7.0,2022,107
3.0,5:40,2.0,11.0,MIA 20,10.0,16.0,Tua Tagovailoa pass incomplete deep middle intended for Mike Gesicki,-0.34,-1.02,7.0,2022,107
3.0,5:35,3.0,11.0,MIA 20,10.0,16.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 4 yards (tackle by Tre Norwood),-1.02,-1.77,7.0,2022,107
3.0,5:00,4.0,7.0,MIA 24,10.0,16.0,"Thomas Morstead punts 44 yards, returned by Gunner Olszewski for 7 yards (tackle by Clayton Fejedelem and Andrew Van Ginkel)",-1.77,-1.53,7.0,2022,107
3.0,4:48,1.0,10.0,PIT 39,10.0,16.0,Najee Harris right guard for 2 yards (tackle by Christian Wilkins and Zach Sieler),1.53,1.26,7.0,2022,107
3.0,4:12,2.0,8.0,PIT 41,10.0,16.0,"Kenny Pickett pass complete to Pat Freiermuth for no gain (tackle by Jerome Baker). Penalty on James Daniels: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.26,0.58,7.0,2022,107
3.0,3:42,2.0,13.0,PIT 36,10.0,16.0,"Kenny Pickett pass complete to Diontae Johnson for no gain (tackle by Noah Igbinoghene). Penalty on Diontae Johnson: Offensive Pass Interference, 10 yards (accepted) (no play)",0.58,-0.77,7.0,2022,107
3.0,3:17,2.0,23.0,PIT 26,10.0,16.0,Kenny Pickett pass complete short middle to Jaylen Warren for 7 yards (tackle by Duke Riley and Brandon Jones),-0.77,-0.49,7.0,2022,107
3.0,2:43,3.0,16.0,PIT 33,10.0,16.0,Kenny Pickett scrambles right end for 1 yard (tackle by Andrew Van Ginkel),-0.49,-1.11,7.0,2022,107
3.0,2:04,4.0,15.0,PIT 34,10.0,16.0,"Pressley Harvin punts 36 yards, fair catch by Cedrick Wilson at MIA-30",-1.11,-0.94,7.0,2022,107
3.0,1:57,1.0,10.0,MIA 30,10.0,16.0,Raheem Mostert right guard for 2 yards (tackle by Terrell Edmunds and Tyson Alualu),0.94,0.66,7.0,2022,107
3.0,1:32,2.0,8.0,MIA 32,10.0,16.0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle,0.66,-0.03,7.0,2022,107
3.0,1:29,3.0,8.0,MIA 32,10.0,16.0,Tua Tagovailoa scrambles right tackle for 7 yards (tackle by Tre Norwood),-0.03,-0.78,7.0,2022,107
3.0,0:44,4.0,1.0,MIA 39,10.0,16.0,"Thomas Morstead punts 43 yards, fair catch by Gunner Olszewski at PIT-18",-0.78,-0.04,7.0,2022,107
3.0,0:37,1.0,10.0,PIT 18,10.0,16.0,Najee Harris right end for 16 yards (tackle by Xavien Howard),0.04,1.2,7.0,2022,107
3.0,0:01,1.0,10.0,PIT 34,10.0,16.0,Najee Harris for 3 yards (tackle by Jerome Baker and Ben Stille),1.2,1.06,7.0,2022,107
4.0,15:00,2.0,7.0,PIT 37,10.0,16.0,Kenny Pickett pass complete short right to Connor Heyward for 6 yards (tackle by Xavien Howard),1.06,1.16,7.0,2022,107
4.0,14:40,3.0,1.0,PIT 43,10.0,16.0,Najee Harris left tackle for no gain (tackle by Clayton Fejedelem),1.16,-0.52,7.0,2022,107
4.0,14:02,4.0,1.0,PIT 43,10.0,16.0,"Pressley Harvin punts 45 yards, fair catch by Cedrick Wilson at MIA-12",-0.52,0.35,7.0,2022,107
4.0,13:54,1.0,10.0,MIA 12,10.0,16.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 16 yards (tackle by Levi Wallace),-0.35,0.81,7.0,2022,107
4.0,13:27,1.0,10.0,MIA 28,10.0,16.0,Chase Edmonds up the middle for 2 yards (tackle by Cameron Heyward),0.81,0.53,7.0,2022,107
4.0,12:46,2.0,8.0,MIA 30,10.0,16.0,Tua Tagovailoa pass incomplete short right intended for Chase Edmonds,0.53,-0.16,7.0,2022,107
4.0,12:41,3.0,8.0,MIA 30,10.0,16.0,Tua Tagovailoa pass complete short right to Mike Gesicki for 4 yards (tackle by Minkah Fitzpatrick and Levi Wallace),-0.16,-1.11,7.0,2022,107
4.0,12:03,4.0,4.0,MIA 34,10.0,16.0,"Thomas Morstead punts 53 yards, returned by Gunner Olszewski for 10 yards (tackle by Andrew Van Ginkel)",-1.11,-0.48,7.0,2022,107
4.0,11:53,1.0,10.0,PIT 23,10.0,16.0,Najee Harris right end for 2 yards (tackle by John Jenkins),0.48,0.2,7.0,2022,107
4.0,11:16,2.0,8.0,PIT 25,10.0,16.0,Kenny Pickett pass complete short middle to Zach Gentry for 4 yards (tackle by Jaelan Phillips and Zach Sieler),0.2,0.04,7.0,2022,107
4.0,10:33,3.0,4.0,PIT 29,10.0,16.0,Kenny Pickett pass incomplete deep right intended for Chase Claypool,0.04,-1.44,7.0,2022,107
4.0,10:28,4.0,4.0,PIT 29,10.0,16.0,"Pressley Harvin punts 57 yards, returned by Cedrick Wilson for 1 yard (tackle by Derek Watt)",-1.44,0.22,7.0,2022,107
4.0,10:15,1.0,10.0,MIA 15,10.0,16.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 9 yards (tackle by Minkah Fitzpatrick),-0.22,0.62,7.0,2022,107
4.0,9:50,2.0,1.0,MIA 24,10.0,16.0,Raheem Mostert left tackle for 12 yards (tackle by James Pierre),0.62,1.33,7.0,2022,107
4.0,9:25,1.0,10.0,MIA 36,10.0,16.0,Raheem Mostert left tackle for 8 yards (tackle by James Pierre and Robert Spillane),1.33,1.87,7.0,2022,107
4.0,8:55,2.0,2.0,MIA 44,10.0,16.0,Raheem Mostert for -1 yards (tackle by Ryan Anderson),1.87,1.09,7.0,2022,107
4.0,8:10,3.0,2.0,MIA 43,10.0,16.0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill (defended by Terrell Edmunds),1.09,-0.52,7.0,2022,107
4.0,8:03,4.0,2.0,MIA 43,10.0,16.0,"Thomas Morstead punts 39 yards, fair catch by Gunner Olszewski at PIT-18",-0.52,-0.04,7.0,2022,107
4.0,7:56,1.0,10.0,PIT 18,10.0,16.0,Najee Harris right guard for 4 yards (tackle by Jaelan Phillips and Clayton Fejedelem),0.04,0.14,7.0,2022,107
4.0,7:17,2.0,6.0,PIT 22,10.0,16.0,"Kenny Pickett pass complete to Diontae Johnson for no gain (tackle by Duke Riley). Penalty on Noah Igbinoghene: Illegal Contact, 5 yards (accepted) (no play)",0.14,0.74,7.0,2022,107
4.0,6:47,,,,,,Timeout #1 by Pittsburgh Steelers,,,7.0,2022,107
4.0,6:47,1.0,10.0,PIT 27,10.0,16.0,Kenny Pickett pass complete short right to Pat Freiermuth for 13 yards (tackle by Clayton Fejedelem),0.74,1.6,7.0,2022,107
4.0,6:20,1.0,10.0,PIT 40,10.0,16.0,Kenny Pickett pass incomplete short middle intended for Najee Harris,1.6,1.05,7.0,2022,107
4.0,6:14,2.0,10.0,PIT 40,10.0,16.0,Kenny Pickett pass incomplete short left intended for Chase Claypool,1.05,0.37,7.0,2022,107
4.0,6:10,3.0,10.0,PIT 40,10.0,16.0,Kenny Pickett pass complete short left to Chase Claypool for 12 yards (tackle by Jevon Holland),0.37,2.39,7.0,2022,107
4.0,5:43,1.0,10.0,MIA 48,10.0,16.0,Kenny Pickett pass complete short left to George Pickens for 9 yards,2.39,3.06,7.0,2022,107
4.0,5:19,2.0,1.0,MIA 39,10.0,16.0,Kenny Pickett pass complete short left to George Pickens for 5 yards (tackle by Clayton Fejedelem),3.06,3.31,7.0,2022,107
4.0,4:51,1.0,10.0,MIA 34,10.0,16.0,Kenny Pickett pass incomplete deep left intended for Pat Freiermuth (defended by Clayton Fejedelem),3.31,2.77,7.0,2022,107
4.0,4:46,2.0,10.0,MIA 34,10.0,16.0,Kenny Pickett pass complete short left to Chase Claypool for 10 yards (tackle by Duke Riley),2.77,3.97,7.0,2022,107
4.0,4:03,1.0,10.0,MIA 24,10.0,16.0,Najee Harris right end for 7 yards (tackle by Justin Bethel),3.97,4.46,7.0,2022,107
4.0,3:57,2.0,3.0,MIA 17,10.0,16.0,Najee Harris up the middle for 2 yards (tackle by Christian Wilkins and Jerome Baker),4.46,4.17,7.0,2022,107
4.0,3:17,3.0,1.0,MIA 15,10.0,16.0,"Penalty on PIT: Illegal Shift, 5 yards (accepted) (no play)",4.17,3.27,7.0,2022,107
4.0,3:14,3.0,6.0,MIA 20,10.0,16.0,"Kenny Pickett scrambles for no gain (tackle by Jaelan Phillips). Penalty on Dan Moore: Offensive Holding, 10 yards (accepted) (no play)",3.27,1.95,7.0,2022,107
4.0,3:06,3.0,16.0,MIA 30,10.0,16.0,Kenny Pickett pass intended for Diontae Johnson is intercepted by Jevon Holland at MIA-18 and returned for 33 yards (tackle by Kenny Pickett),1.95,-2.32,7.0,2022,107
4.0,2:57,1.0,10.0,PIT 49,10.0,16.0,Raheem Mostert up the middle for 4 yards (tackle by Larry Ogunjobi),2.32,2.32,7.0,2022,107
4.0,2:45,,,,,,Timeout #2 by Pittsburgh Steelers,,,7.0,2022,107
4.0,2:45,2.0,6.0,PIT 45,10.0,16.0,Raheem Mostert up the middle for 3 yards (tackle by Montravius Adams and Larry Ogunjobi),2.32,2.02,7.0,2022,107
4.0,2:41,,,,,,Timeout #3 by Pittsburgh Steelers,,,7.0,2022,107
4.0,2:41,3.0,3.0,PIT 42,10.0,16.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,2.02,0.46,7.0,2022,107
4.0,2:37,4.0,3.0,PIT 42,10.0,16.0,"Thomas Morstead punts 29 yards, fair catch by Gunner Olszewski at PIT-13",0.46,0.32,7.0,2022,107
4.0,2:31,1.0,10.0,PIT 13,10.0,16.0,Kenny Pickett pass complete short right to Pat Freiermuth for 7 yards (tackle by Verone McKinley),-0.32,0.22,7.0,2022,107
4.0,2:11,2.0,3.0,PIT 20,10.0,16.0,Kenny Pickett pass complete short middle to Pat Freiermuth for 8 yards (tackle by Eric Rowe and Jevon Holland),0.22,0.81,7.0,2022,107
