Quarter,Time,Down,ToGo,Location,SEA,LAC,Detail,EPB,EPA,week,year,game_id
4.0,4:46,1.0,7.0,SEA 7,37.0,16.0,Justin Herbert pass complete short left to Austin Ekeler for 2 yards (tackle by Ryan Neal),5.6,5.15,7.0,2022,106
4.0,4:13,2.0,5.0,SEA 5,37.0,16.0,Justin Herbert pass incomplete short left intended for Gerald Everett,5.15,4.26,7.0,2022,106
4.0,4:08,3.0,5.0,SEA 5,37.0,16.0,Justin Herbert pass complete short right to Gerald Everett for 2 yards (tackle by Boye Mafe),4.26,3.04,7.0,2022,106
4.0,3:34,4.0,3.0,SEA 3,37.0,16.0,"Justin Herbert pass is intercepted by Coby Bryant in end zone and returned for no gain. Penalty on Uchenna Nwosu: Defensive Offside, 2 yards (accepted) (no play)",3.04,3.55,7.0,2022,106
4.0,3:26,4.0,1.0,SEA 1,37.0,22.0,"Justin Herbert pass complete short right to Austin Ekeler for 1 yard, touchdown",3.55,7.0,7.0,2022,106
4.0,3:22,,,SEA 15,37.0,23.0,Taylor Bertolet kicks extra point good,0.0,0.0,7.0,2022,106
4.0,3:22,,,,,,Timeout #2 by Seattle Seahawks,,,7.0,2022,106
4.0,3:22,,,LAC 35,37.0,23.0,"Taylor Bertolet kicks onside 10 yards, returned by Will Dissly for no gain",0.0,2.59,7.0,2022,106
4.0,3:21,1.0,10.0,LAC 45,37.0,23.0,DeeJay Dallas left guard for 1 yard (tackle by Otito Ogbonnia),2.59,2.18,7.0,2022,106
4.0,2:37,2.0,9.0,LAC 44,37.0,23.0,DeeJay Dallas right tackle for 1 yard (tackle by Kenneth Murray),2.18,1.62,7.0,2022,106
4.0,2:00,3.0,8.0,LAC 43,37.0,23.0,DeeJay Dallas right end for 9 yards (tackle by Kyle Van Noy and Michael Davis),1.62,3.31,7.0,2022,106
4.0,1:13,1.0,10.0,LAC 34,37.0,23.0,DeeJay Dallas right tackle for 4 yards (tackle by Austin Johnson and Sebastian Joseph-Day),3.31,3.31,7.0,2022,106
4.0,0:35,2.0,6.0,LAC 30,37.0,23.0,Geno Smith kneels for -1 yards,3.31,2.48,7.0,2022,106
