Quarter,Time,Down,ToGo,Location,GNB,WAS,Detail,EPB,EPA,week,year,game_id
2.0,14:18,2.0,10.0,GNB 46,7.0,3.0,Brian Robinson left end for 5 yards (tackle by Adrian Amos),1.98,1.95,7.0,2022,101
2.0,13:42,3.0,5.0,GNB 41,13.0,3.0,"Taylor Heinicke pass short right intended for J.D. McKissic is intercepted by De'Vondre Campbell at GB-37 and returned for 63 yards, touchdown",1.95,-7.0,7.0,2022,101
2.0,13:29,,,WAS 15,14.0,3.0,Mason Crosby kicks extra point good,0.0,0.0,7.0,2022,101
2.0,13:29,,,GNB 35,14.0,3.0,"Mason Crosby kicks off 64 yards, returned by Antonio Gibson for 26 yards (tackle by Tyler Davis and Adrian Amos). Penalty on Shaka Toney: Offensive Holding, 10 yards (accepted)",0.0,-0.06,7.0,2022,101
2.0,13:23,1.0,10.0,WAS 17,14.0,3.0,Brian Robinson right guard for 2 yards (tackle by Dean Lowry and De'Vondre Campbell),-0.06,-0.25,7.0,2022,101
2.0,12:39,2.0,8.0,WAS 19,14.0,3.0,Taylor Heinicke pass complete short middle to Brian Robinson for 7 yards (tackle by Devonte Wyatt),-0.25,-0.12,7.0,2022,101
2.0,11:53,3.0,1.0,WAS 26,14.0,3.0,Brian Robinson left tackle for 4 yards (tackle by Tedarrell Slaton and Darnell Savage),-0.12,0.94,7.0,2022,101
2.0,11:09,1.0,10.0,WAS 30,14.0,3.0,Taylor Heinicke pass incomplete short middle intended for Curtis Samuel (defended by Rasul Douglas),0.94,0.39,7.0,2022,101
2.0,11:05,2.0,10.0,WAS 30,14.0,3.0,Antonio Gibson right end for 20 yards (tackle by Adrian Amos),0.39,2.26,7.0,2022,101
2.0,10:26,,,,,,Timeout #1 by Washington Commanders,,,7.0,2022,101
2.0,10:26,1.0,10.0,WAS 50,14.0,3.0,Curtis Samuel right tackle for 3 yards (tackle by Jarran Reed and Quay Walker),2.26,2.12,7.0,2022,101
2.0,9:48,2.0,7.0,GNB 47,14.0,3.0,Taylor Heinicke pass complete short middle to Brian Robinson for 6 yards (tackle by Kenny Clark),2.12,2.21,7.0,2022,101
2.0,9:13,3.0,1.0,GNB 41,14.0,3.0,Taylor Heinicke pass complete short right to Terry McLaurin for 6 yards (tackle by Rasul Douglas),2.21,3.25,7.0,2022,101
2.0,8:41,1.0,10.0,GNB 35,14.0,3.0,"Brian Robinson right end for 24 yards (tackle by Darnell Savage and Adrian Amos) GNB challenged the fumble ruling, and the play was upheld.",3.25,4.84,7.0,2022,101
2.0,8:08,1.0,10.0,GNB 11,14.0,3.0,Brian Robinson left tackle for 2 yards (tackle by Preston Smith),4.84,4.51,7.0,2022,101
2.0,7:30,2.0,8.0,GNB 9,14.0,3.0,Taylor Heinicke pass incomplete short middle intended for J.D. McKissic (defended by Quay Walker),4.51,3.53,7.0,2022,101
2.0,7:26,3.0,8.0,GNB 9,14.0,9.0,"Taylor Heinicke pass complete short middle to Antonio Gibson for 9 yards, touchdown",3.53,7.0,7.0,2022,101
2.0,7:21,,,GNB 15,14.0,10.0,Joey Slye kicks extra point good,0.0,0.0,7.0,2022,101
2.0,7:21,,,WAS 35,14.0,10.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,101
2.0,7:21,1.0,10.0,GNB 25,14.0,10.0,Aaron Jones left tackle for -6 yards (tackle by Kamren Curl),0.61,-0.81,7.0,2022,101
2.0,6:37,2.0,16.0,GNB 19,14.0,10.0,"Aaron Jones for no gain. Penalty on Yosuah Nijman: Offensive Holding, 9 yards (accepted) (no play)",-0.81,-1.88,7.0,2022,101
2.0,6:06,2.0,25.0,GNB 10,14.0,10.0,Aaron Rodgers pass incomplete short middle intended for Robert Tonyan,-1.88,-3.18,7.0,2022,101
2.0,6:03,3.0,25.0,GNB 10,14.0,10.0,Aaron Rodgers pass incomplete short middle intended for Aaron Jones,-3.18,-2.49,7.0,2022,101
2.0,5:59,4.0,25.0,GNB 10,14.0,10.0,"Pat O'Donnell punts 41 yards, returned by Dax Milne for 3 yards (tackle by Rudy Ford and Keisean Nixon). Penalty on Keisean Nixon: Offensive Holding, 5 yards (accepted)",-2.49,-2.72,7.0,2022,101
2.0,5:50,1.0,10.0,GNB 43,14.0,10.0,Taylor Heinicke pass complete short right to Antonio Gibson for 1 yard (tackle by Quay Walker and Rasul Douglas),2.72,2.31,7.0,2022,101
2.0,5:14,2.0,9.0,GNB 42,14.0,10.0,Antonio Gibson right tackle for 3 yards (tackle by Quay Walker),2.31,2.01,7.0,2022,101
2.0,4:29,3.0,6.0,GNB 39,14.0,10.0,"Taylor Heinicke scrambles up the middle for no gain. Taylor Heinicke fumbles (forced by Rashan Gary), recovered by Rasul Douglas at GB-38, touchdown. Penalty on Eric Stokes: Illegal Contact, 5 yards (accepted) (no play)",2.01,3.31,7.0,2022,101
2.0,4:15,,,,,,Timeout #2 by Green Bay Packers,,,7.0,2022,101
2.0,4:15,1.0,10.0,GNB 34,14.0,10.0,Brian Robinson right end for 3 yards (tackle by Dean Lowry),3.31,3.18,7.0,2022,101
2.0,3:33,2.0,7.0,GNB 31,14.0,10.0,Curtis Samuel right tackle for 2 yards (tackle by Quay Walker),3.18,2.74,7.0,2022,101
2.0,2:56,3.0,5.0,GNB 29,14.0,10.0,Taylor Heinicke pass incomplete short middle intended for Curtis Samuel (defended by Rasul Douglas),2.74,1.54,7.0,2022,101
2.0,2:52,4.0,5.0,GNB 29,14.0,10.0,Joey Slye 47 yard field goal no good,1.54,-1.4,7.0,2022,101
2.0,2:48,1.0,10.0,GNB 37,14.0,10.0,Aaron Rodgers pass complete short left to Aaron Jones for -5 yards (tackle by Jamin Davis),1.4,0.18,7.0,2022,101
2.0,2:00,2.0,15.0,GNB 32,14.0,10.0,"Aaron Rodgers pass incomplete deep middle intended for Allen Lazard. Penalty on Rachad Wildgoose: Defensive Pass Interference, 9 yards (accepted) (no play)",0.18,1.66,7.0,2022,101
2.0,1:55,1.0,10.0,GNB 41,14.0,10.0,"Aaron Rodgers pass complete short left to Allen Lazard for 1 yard (tackle by Rachad Wildgoose). Penalty on Robert Tonyan: Illegal Shift, 5 yards (declined) . Penalty on Robert Tonyan: Offensive Holding, 10 yards (accepted)",1.66,1.07,7.0,2022,101
2.0,1:49,1.0,19.0,GNB 32,14.0,10.0,Aaron Rodgers pass complete short right to Allen Lazard for 8 yards (tackle by Benjamin St-Juste),1.07,0.99,7.0,2022,101
2.0,1:45,2.0,11.0,GNB 40,14.0,10.0,Aaron Rodgers pass incomplete deep right intended for Sammy Watkins,0.99,0.3,7.0,2022,101
2.0,1:39,,,,,,Timeout #2 by Washington Commanders,,,7.0,2022,101
2.0,1:39,3.0,11.0,GNB 40,14.0,10.0,Aaron Rodgers pass incomplete short middle intended for Romeo Doubs,0.3,-0.72,7.0,2022,101
2.0,1:35,4.0,11.0,GNB 40,14.0,10.0,"Penalty on Quay Walker: False Start, 5 yards (accepted) (no play)",-0.72,-1.04,7.0,2022,101
2.0,1:35,4.0,16.0,GNB 35,14.0,10.0,Pat O'Donnell punts 34 yards downed by Isaiah McDuffie,-1.04,-1.0,7.0,2022,101
2.0,1:23,1.0,10.0,WAS 31,14.0,10.0,J.D. McKissic right guard for 4 yards (tackle by Quay Walker),1.0,1.0,7.0,2022,101
2.0,1:07,2.0,6.0,WAS 35,14.0,10.0,Taylor Heinicke pass incomplete deep right intended for Cole Turner (defended by Adrian Amos),1.0,0.3,7.0,2022,101
2.0,1:02,,,,,,Timeout #3 by Washington Commanders,,,7.0,2022,101
2.0,1:02,3.0,6.0,WAS 35,14.0,10.0,"Taylor Heinicke pass complete short right to Curtis Samuel for -4 yards (tackle by De'Vondre Campbell). Penalty on Cam Sims: Offensive Pass Interference, 10 yards (declined)",0.3,-1.31,7.0,2022,101
2.0,0:56,4.0,10.0,WAS 31,14.0,10.0,"Tress Way punts downed by Christian Holmes. Penalty on Christian Holmes: Player Out of Bounds on a Punt, 19 yards (accepted) Replay Assistant challenged the kick touched ruling, and the original play was overturned. Tress Way punts 68 yards downed by Percy Butler",-1.31,0.38,7.0,2022,101
2.0,0:45,1.0,10.0,GNB 1,14.0,10.0,AJ Dillon right guard for 5 yards (tackle by Daron Payne and Cole Holcomb),-0.38,-0.42,7.0,2022,101
3.0,15:00,,,GNB 35,14.0,10.0,"Mason Crosby kicks off 59 yards, returned by Antonio Gibson for 20 yards (tackle by Shemar Jean-Charles)",0.0,0.67,7.0,2022,101
3.0,14:56,1.0,10.0,WAS 26,14.0,10.0,Taylor Heinicke pass complete short right to Dax Milne for 4 yards (tackle by Rasul Douglas),0.67,0.67,7.0,2022,101
3.0,14:18,2.0,6.0,WAS 30,14.0,10.0,"Brian Robinson left tackle for no gain (tackle by Preston Smith). Penalty on Kenny Clark: Defensive Holding, 5 yards (accepted) (no play)",0.67,1.27,7.0,2022,101
3.0,13:54,1.0,10.0,WAS 35,14.0,10.0,Curtis Samuel right end for 16 yards (tackle by Rasul Douglas and Adrian Amos),1.27,2.32,7.0,2022,101
3.0,13:17,1.0,10.0,GNB 49,14.0,10.0,Brian Robinson left tackle for 3 yards (tackle by De'Vondre Campbell and Rasul Douglas),2.32,2.19,7.0,2022,101
3.0,12:36,2.0,7.0,GNB 46,14.0,10.0,Taylor Heinicke pass complete short middle to Armani Rogers for 9 yards (tackle by Quay Walker),2.19,3.12,7.0,2022,101
3.0,11:55,1.0,10.0,GNB 37,14.0,16.0,"Taylor Heinicke pass complete deep right to Terry McLaurin for 37 yards, touchdown",3.12,7.0,7.0,2022,101
3.0,11:49,,,GNB 15,14.0,17.0,Joey Slye kicks extra point good,0.0,0.0,7.0,2022,101
3.0,11:49,,,WAS 35,14.0,17.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,101
3.0,11:49,1.0,10.0,GNB 25,14.0,17.0,Aaron Rodgers pass complete short left to Aaron Jones for 8 yards (tackle by Montez Sweat),0.61,1.14,7.0,2022,101
3.0,11:09,2.0,2.0,GNB 33,14.0,17.0,Aaron Rodgers pass complete short right to Allen Lazard for 6 yards (tackle by Kamren Curl),1.14,1.53,7.0,2022,101
3.0,10:26,1.0,10.0,GNB 39,14.0,17.0,Aaron Rodgers pass complete short right to Aaron Jones for 4 yards (tackle by Jamin Davis),1.53,1.53,7.0,2022,101
3.0,9:50,2.0,6.0,GNB 43,14.0,17.0,Aaron Jones left end for 4 yards (tackle by Montez Sweat and Kendall Fuller),1.53,1.36,7.0,2022,101
3.0,9:07,3.0,2.0,GNB 47,14.0,17.0,Aaron Rodgers pass incomplete short middle intended for Romeo Doubs (defended by Rachad Wildgoose),1.36,-0.26,7.0,2022,101
3.0,9:03,4.0,2.0,GNB 47,14.0,17.0,"Pat O'Donnell punts 38 yards, fair catch by Dax Milne at WAS-15",-0.26,0.22,7.0,2022,101
3.0,8:56,1.0,10.0,WAS 15,14.0,17.0,Antonio Gibson right tackle for 5 yards (tackle by Kenny Clark and Dean Lowry),-0.22,0.08,7.0,2022,101
3.0,8:22,2.0,5.0,WAS 20,14.0,17.0,Antonio Gibson left end for 3 yards (tackle by Kingsley Enagbare and Quay Walker),0.08,-0.39,7.0,2022,101
3.0,7:47,3.0,2.0,WAS 23,14.0,17.0,Taylor Heinicke pass complete short middle to Armani Rogers for 17 yards (tackle by Quay Walker),-0.39,1.6,7.0,2022,101
3.0,7:04,1.0,10.0,WAS 40,14.0,17.0,Antonio Gibson left end for 2 yards (tackle by Preston Smith and Rasul Douglas),1.6,1.32,7.0,2022,101
3.0,6:25,2.0,8.0,WAS 42,14.0,17.0,Curtis Samuel left end for -3 yards (tackle by Preston Smith),1.32,0.23,7.0,2022,101
3.0,5:43,3.0,11.0,WAS 39,14.0,17.0,Taylor Heinicke pass complete short middle to Curtis Samuel for 12 yards (tackle by Rasul Douglas),0.23,2.32,7.0,2022,101
3.0,5:00,1.0,10.0,GNB 49,14.0,17.0,Brian Robinson left end for 7 yards (tackle by Devonte Wyatt),2.32,2.79,7.0,2022,101
3.0,4:16,2.0,2.0,GNB 42,14.0,17.0,Brian Robinson left tackle for 4 yards (tackle by De'Vondre Campbell and Quay Walker),2.79,3.05,7.0,2022,101
3.0,3:38,1.0,10.0,GNB 38,14.0,17.0,"Taylor Heinicke sacked by Kingsley Enagbare for no gain. Taylor Heinicke fumbles (forced by Kingsley Enagbare) (tackle by Tedarrell Slaton) WAS challenged the fumble ruling, and the original play was overturned. Taylor Heinicke pass incomplete short middle intended for Cam Sims",3.05,2.51,7.0,2022,101
3.0,3:33,2.0,10.0,GNB 38,14.0,17.0,Antonio Gibson right end for 10 yards (tackle by Kingsley Enagbare and Darnell Savage),2.51,3.71,7.0,2022,101
3.0,2:51,1.0,10.0,GNB 28,14.0,17.0,Taylor Heinicke pass complete short right to Antonio Gibson for 8 yards (tackle by Adrian Amos),3.71,4.25,7.0,2022,101
3.0,2:27,2.0,2.0,GNB 20,14.0,17.0,Antonio Gibson left guard for 4 yards (tackle by Jarran Reed),4.25,4.51,7.0,2022,101
3.0,1:45,1.0,10.0,GNB 16,14.0,17.0,Taylor Heinicke pass complete short middle to Terry McLaurin for 4 yards (tackle by Jaire Alexander),4.51,4.57,7.0,2022,101
3.0,1:02,2.0,6.0,GNB 12,14.0,17.0,Brian Robinson left end for -1 yards (tackle by Jarran Reed),4.57,3.54,7.0,2022,101
3.0,0:16,3.0,7.0,GNB 13,14.0,17.0,Taylor Heinicke pass incomplete short right intended for Antonio Gibson,3.54,2.57,7.0,2022,101
3.0,0:11,4.0,7.0,GNB 13,14.0,20.0,Joey Slye 31 yard field goal good,2.57,3.0,7.0,2022,101
3.0,0:08,,,WAS 35,14.0,20.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,101
3.0,0:08,1.0,10.0,GNB 25,14.0,20.0,Aaron Rodgers pass complete short middle to Allen Lazard for 17 yards (tackle by Benjamin St-Juste),0.61,1.73,7.0,2022,101
4.0,15:00,1.0,10.0,GNB 42,14.0,20.0,"Aaron Rodgers pass complete short middle to AJ Dillon for no gain (tackle by Cole Holcomb and Jamin Davis). Penalty on Allen Lazard: Illegal Formation, 5 yards (accepted) (no play)",1.73,1.4,7.0,2022,101
4.0,14:29,1.0,15.0,GNB 37,14.0,20.0,Aaron Rodgers pass complete short middle to Aaron Jones for 12 yards (tackle by Cole Holcomb and Rachad Wildgoose),1.4,2.13,7.0,2022,101
4.0,13:44,2.0,3.0,GNB 49,14.0,20.0,Aaron Jones right guard for 5 yards (tackle by Jamin Davis and Darrick Forrest),2.13,2.52,7.0,2022,101
4.0,13:00,1.0,10.0,WAS 46,14.0,20.0,Aaron Rodgers pass incomplete short middle intended for Sammy Watkins (defended by Rachad Wildgoose),2.52,1.98,7.0,2022,101
4.0,12:55,2.0,10.0,WAS 46,14.0,20.0,AJ Dillon left tackle for no gain (tackle by James Smith-Williams and Montez Sweat),1.98,1.29,7.0,2022,101
4.0,12:10,3.0,10.0,WAS 46,14.0,20.0,Aaron Rodgers pass complete short middle to Amari Rodgers for 9 yards (tackle by Cole Holcomb),1.29,0.79,7.0,2022,101
4.0,11:27,4.0,1.0,WAS 37,14.0,20.0,Aaron Rodgers pass incomplete short left intended for Romeo Doubs (defended by Kendall Fuller),0.79,-1.4,7.0,2022,101
4.0,11:22,1.0,10.0,WAS 37,14.0,20.0,Taylor Heinicke sacked by Kingsley Enagbare for -3 yards,1.4,0.45,7.0,2022,101
4.0,10:42,2.0,13.0,WAS 34,14.0,20.0,Antonio Gibson left end for 5 yards (tackle by De'Vondre Campbell),0.45,0.43,7.0,2022,101
4.0,10:10,3.0,8.0,WAS 39,14.0,20.0,"Taylor Heinicke pass complete short right to Curtis Samuel for 26 yards (tackle by Eric Stokes). Penalty on Eric Stokes: Unsportsmanlike Conduct / Defense, 15 yards (accepted)",0.43,4.24,7.0,2022,101
4.0,9:44,1.0,10.0,GNB 20,14.0,20.0,Brian Robinson left tackle for 1 yard (tackle by Rasul Douglas),4.24,3.82,7.0,2022,101
4.0,8:59,2.0,9.0,GNB 19,14.0,20.0,Taylor Heinicke pass complete short left to Cam Sims for 12 yards (tackle by Adrian Amos and Eric Stokes),3.82,5.6,7.0,2022,101
4.0,8:18,1.0,7.0,GNB 7,14.0,20.0,Brian Robinson right end for no gain (tackle by Quay Walker and Tedarrell Slaton),5.6,4.76,7.0,2022,101
4.0,7:33,2.0,7.0,GNB 7,14.0,20.0,Taylor Heinicke pass complete short right to Curtis Samuel for 5 yards (tackle by Eric Stokes),4.76,4.95,7.0,2022,101
4.0,6:48,3.0,2.0,GNB 2,14.0,20.0,Taylor Heinicke pass incomplete short middle,4.95,3.25,7.0,2022,101
4.0,6:42,4.0,2.0,GNB 2,14.0,23.0,Joey Slye 19 yard field goal good,3.25,3.0,7.0,2022,101
4.0,6:40,,,WAS 35,14.0,23.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,101
4.0,6:40,1.0,10.0,GNB 25,14.0,23.0,Aaron Rodgers pass complete short middle to Sammy Watkins for 8 yards (tackle by Cole Holcomb and Darrick Forrest),0.61,1.14,7.0,2022,101
4.0,6:14,2.0,2.0,GNB 33,14.0,23.0,Aaron Rodgers pass complete short middle to Aaron Jones for -1 yards (tackle by Cole Holcomb and Casey Toohill),1.14,0.3,7.0,2022,101
4.0,5:40,3.0,3.0,GNB 32,14.0,23.0,"Aaron Rodgers pass incomplete short right intended for Sammy Watkins. Penalty on Benjamin St-Juste: Illegal Use of Hands / Defense, 4 yards (accepted) (no play)",0.3,1.33,7.0,2022,101
4.0,5:36,1.0,10.0,GNB 36,14.0,23.0,Aaron Rodgers pass incomplete short right,1.33,0.79,7.0,2022,101
4.0,5:31,2.0,10.0,GNB 36,14.0,23.0,Aaron Rodgers pass complete short left to Amari Rodgers for 11 yards (tackle by Kendall Fuller),0.79,2.06,7.0,2022,101
4.0,4:59,1.0,10.0,GNB 47,14.0,23.0,Aaron Rodgers pass incomplete deep right intended for Amari Rodgers,2.06,1.52,7.0,2022,101
4.0,4:51,2.0,10.0,GNB 47,14.0,23.0,Aaron Rodgers pass complete short middle to Samori Toure for 4 yards (tackle by Cole Holcomb),1.52,1.36,7.0,2022,101
4.0,4:09,3.0,6.0,WAS 49,14.0,23.0,"Aaron Rodgers pass incomplete intended for AJ Dillon. Penalty on Montez Sweat: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.36,2.65,7.0,2022,101
4.0,4:05,1.0,10.0,WAS 44,14.0,23.0,Aaron Rodgers pass complete short middle to Robert Tonyan for 5 yards (tackle by Cole Holcomb),2.65,2.78,7.0,2022,101
4.0,3:38,2.0,5.0,WAS 39,14.0,23.0,"Aaron Rodgers pass incomplete deep middle intended for Robert Tonyan. Penalty on Kendall Fuller: Defensive Pass Interference, 18 yards (accepted) . Penalty on Daron Payne: Roughing the Passer, 15 yards (declined) (no play)",2.78,4.17,7.0,2022,101
4.0,3:33,1.0,10.0,WAS 21,20.0,23.0,"Aaron Rodgers pass complete deep left to Aaron Jones for 21 yards, touchdown",4.17,7.0,7.0,2022,101
4.0,3:26,,,WAS 15,21.0,23.0,Mason Crosby kicks extra point good,0.0,0.0,7.0,2022,101
4.0,3:26,,,GNB 35,21.0,23.0,"Mason Crosby kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,101
4.0,3:26,1.0,10.0,WAS 25,21.0,23.0,Brian Robinson left guard for 4 yards (tackle by Preston Smith and Adrian Amos),0.61,0.6,7.0,2022,101
4.0,2:43,2.0,6.0,WAS 29,21.0,23.0,Taylor Heinicke pass complete short left to Terry McLaurin for 14 yards (tackle by Jaire Alexander),0.6,1.8,7.0,2022,101
4.0,2:27,,,,,,Timeout #1 by Green Bay Packers,,,7.0,2022,101
4.0,2:27,1.0,10.0,WAS 43,21.0,23.0,Taylor Heinicke pass complete short left to Armani Rogers for 2 yards (tackle by Adrian Amos),1.8,1.52,7.0,2022,101
4.0,2:20,,,,,,Timeout #2 by Green Bay Packers,,,7.0,2022,101
4.0,2:20,2.0,8.0,WAS 45,21.0,23.0,Taylor Heinicke right tackle for -1 yards (tackle by De'Vondre Campbell),1.52,0.69,7.0,2022,101
4.0,2:13,,,,,,Timeout #3 by Green Bay Packers,,,7.0,2022,101
4.0,2:13,3.0,9.0,WAS 44,21.0,23.0,Taylor Heinicke pass complete short right to Terry McLaurin for 12 yards (tackle by Rudy Ford),0.69,2.65,7.0,2022,101
4.0,2:06,,,,,,Timeout #1 by Washington Commanders,,,7.0,2022,101
4.0,2:06,1.0,10.0,GNB 44,21.0,23.0,Brian Robinson for 1 yard (tackle by Rudy Ford and Rasul Douglas),2.65,2.25,7.0,2022,101
