Quarter,Time,Down,ToGo,Location,HOU,LVR,Detail,EPB,EPA,week,year,game_id
1.0,4:40,1.0,10.0,LVR 29,0.0,3.0,"Derek Carr aborted snap, recovered by Derek Carr at LV-23",0.87,-0.48,7.0,2022,103
1.0,4:00,2.0,16.0,LVR 23,0.0,3.0,Derek Carr sacked by Rasheem Green for -5 yards,-0.48,-2.04,7.0,2022,103
1.0,3:20,3.0,21.0,LVR 18,0.0,3.0,Derek Carr pass complete short left to Ameer Abdullah for 5 yards (tackle by Christian Kirksey),-2.04,-1.77,7.0,2022,103
1.0,2:54,4.0,15.0,LVR 24,0.0,3.0,"AJ Cole punts, fair catch by Desmond King at HOU-25. Penalty on Clelin Ferrell: Offensive Holding, 10 yards (accepted) (no play)",-1.77,-2.49,7.0,2022,103
1.0,2:47,4.0,26.0,LVR 13,0.0,3.0,"AJ Cole punts 50 yards, returned by Desmond King for 1 yard (tackle by Ameer Abdullah)",-2.49,-1.47,7.0,2022,103
1.0,2:39,1.0,10.0,HOU 38,0.0,3.0,Davis Mills pass complete short right to Dameon Pierce for 11 yards (tackle by Rock Ya-Sin),1.47,2.19,7.0,2022,103
1.0,2:07,1.0,10.0,HOU 49,0.0,3.0,Davis Mills pass incomplete short middle intended for Chris Moore (defended by Trevon Moehrig),2.19,1.65,7.0,2022,103
1.0,2:04,2.0,10.0,HOU 49,0.0,3.0,Davis Mills pass complete short right to Nico Collins for 9 yards (tackle by Denzel Perryman),1.65,2.15,7.0,2022,103
1.0,1:26,3.0,1.0,LVR 42,0.0,3.0,Dameon Pierce left guard for 4 yards (tackle by Denzel Perryman),2.15,3.05,7.0,2022,103
1.0,0:50,1.0,10.0,LVR 38,0.0,3.0,Dameon Pierce right guard for 4 yards (tackle by Andrew Billings and Bilal Nichols),3.05,3.05,7.0,2022,103
1.0,0:08,2.0,6.0,LVR 34,0.0,3.0,Davis Mills pass complete short right to Rex Burkhead for -3 yards (tackle by Denzel Perryman),3.05,1.95,7.0,2022,103
2.0,15:00,3.0,9.0,LVR 37,0.0,3.0,Davis Mills pass complete short left to Brandin Cooks for 11 yards (tackle by Divine Deablo),1.95,3.84,7.0,2022,103
2.0,14:19,1.0,10.0,LVR 26,0.0,3.0,Davis Mills pass complete short middle to Dameon Pierce for 7 yards (tackle by Blake Martinez),3.84,4.27,7.0,2022,103
2.0,13:38,2.0,3.0,LVR 19,0.0,3.0,Davis Mills pass complete short right to Dameon Pierce for 2 yards (tackle by Divine Deablo),4.27,3.95,7.0,2022,103
2.0,12:51,3.0,1.0,LVR 17,0.0,3.0,Dameon Pierce up the middle for 3 yards (tackle by Denzel Perryman and Divine Deablo),3.95,4.65,7.0,2022,103
2.0,12:13,1.0,10.0,LVR 14,0.0,3.0,Davis Mills pass incomplete short right intended for Brevin Jordan,4.65,4.0,7.0,2022,103
2.0,12:07,2.0,10.0,LVR 14,0.0,3.0,Dameon Pierce left guard for 1 yard (tackle by Bilal Nichols and Andrew Billings),4.0,3.26,7.0,2022,103
2.0,11:22,3.0,9.0,LVR 13,6.0,3.0,"Davis Mills pass complete short right to Chris Moore for 13 yards, touchdown",3.26,7.0,7.0,2022,103
2.0,11:17,,,LVR 15,7.0,3.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,7.0,2022,103
2.0,11:17,,,HOU 35,7.0,3.0,"Ka'imi Fairbairn kicks off 67 yards, returned by DJ Turner for 20 yards (tackle by Troy Hairston). Penalty on Luke Masterson: Illegal Block Above the Waist, 9 yards (accepted)",0.0,-0.38,7.0,2022,103
2.0,11:12,1.0,10.0,LVR 9,7.0,3.0,Josh Jacobs right end for 5 yards (tackle by Mario Addison and Christian Kirksey),-0.38,-0.75,7.0,2022,103
2.0,10:37,2.0,10.0,LVR 14,7.0,3.0,Josh Jacobs left guard for 9 yards (tackle by Jalen Pitre),-0.75,0.48,7.0,2022,103
2.0,9:58,1.0,10.0,LVR 23,7.0,3.0,Derek Carr pass complete short right to Hunter Renfrow for 20 yards (tackle by Jonathan Owens),0.48,1.8,7.0,2022,103
2.0,9:10,1.0,10.0,LVR 43,7.0,3.0,Derek Carr pass complete short right to Davante Adams for 5 yards (tackle by Desmond King),1.8,1.93,7.0,2022,103
2.0,8:23,2.0,5.0,LVR 48,7.0,3.0,Josh Jacobs right guard for -1 yards (tackle by Christian Kirksey),1.93,1.09,7.0,2022,103
2.0,7:40,3.0,6.0,LVR 47,7.0,3.0,Derek Carr pass incomplete short left intended for Foster Moreau (defended by Steven Nelson),1.09,-0.26,7.0,2022,103
2.0,7:35,4.0,6.0,LVR 47,7.0,3.0,"AJ Cole punts 43 yards, fair catch by Desmond King at HOU-10. Penalty on Trent Sieg: Offensive Holding, 10 yards (accepted)",-0.26,-0.28,7.0,2022,103
2.0,7:28,1.0,10.0,HOU 20,7.0,3.0,Dameon Pierce up the middle for 9 yards (tackle by Blake Martinez and Johnathan Abram),0.28,0.95,7.0,2022,103
2.0,6:56,2.0,1.0,HOU 29,7.0,3.0,Dameon Pierce left tackle for 4 yards (tackle by Divine Deablo),0.95,1.14,7.0,2022,103
2.0,6:16,1.0,10.0,HOU 33,7.0,3.0,Dameon Pierce left guard for 22 yards (tackle by Johnathan Abram),1.14,2.59,7.0,2022,103
2.0,5:37,,,,,,Timeout #1 by Houston Texans,,,7.0,2022,103
2.0,5:37,1.0,10.0,LVR 45,7.0,3.0,Davis Mills pass complete short left to Brandin Cooks for 8 yards (tackle by Rock Ya-Sin),2.59,3.12,7.0,2022,103
2.0,5:10,2.0,2.0,LVR 37,7.0,3.0,Davis Mills pass incomplete short middle intended for Rex Burkhead,3.12,2.41,7.0,2022,103
2.0,5:07,3.0,2.0,LVR 37,7.0,3.0,Davis Mills pass incomplete short right intended for Brandin Cooks,2.41,0.79,7.0,2022,103
2.0,5:02,4.0,2.0,LVR 37,10.0,3.0,Ka'imi Fairbairn 55 yard field goal good,0.79,3.0,7.0,2022,103
2.0,4:57,,,HOU 35,10.0,3.0,"Ka'imi Fairbairn kicks off 65 yards, returned by DJ Turner for 18 yards (tackle by Dare Ogunbowale)",0.0,0.04,7.0,2022,103
2.0,4:51,1.0,10.0,LVR 18,10.0,3.0,DJ Turner left end for 18 yards (tackle by Desmond King),0.04,1.33,7.0,2022,103
2.0,4:15,1.0,10.0,LVR 36,10.0,3.0,Josh Jacobs left guard for 4 yards (tackle by Christian Kirksey),1.33,1.33,7.0,2022,103
2.0,3:40,2.0,6.0,LVR 40,10.0,3.0,Derek Carr pass complete short left to Josh Jacobs for 5 yards (tackle by Jalen Pitre),1.33,1.29,7.0,2022,103
2.0,3:19,3.0,1.0,LVR 45,10.0,3.0,Josh Jacobs left tackle for 13 yards (tackle by Jonathan Owens),1.29,2.79,7.0,2022,103
2.0,2:37,1.0,10.0,HOU 42,10.0,3.0,Zamir White up the middle for 2 yards (tackle by Kamu Grugier-Hill),2.79,2.51,7.0,2022,103
2.0,2:00,2.0,8.0,HOU 40,10.0,3.0,DJ Turner right end for 3 yards (tackle by Desmond King),2.51,2.21,7.0,2022,103
2.0,1:24,3.0,5.0,HOU 37,10.0,3.0,Josh Jacobs left tackle for 4 yards (tackle by Christian Harris),2.21,1.21,7.0,2022,103
2.0,0:41,4.0,1.0,HOU 33,10.0,3.0,Derek Carr pass complete short right to Josh Jacobs for 4 yards (tackle by Christian Kirksey),1.21,3.64,7.0,2022,103
2.0,0:38,,,,,,Timeout #1 by Las Vegas Raiders,,,7.0,2022,103
2.0,0:38,1.0,10.0,HOU 29,10.0,3.0,Derek Carr pass complete short left to Josh Jacobs for 3 yards (tackle by Christian Kirksey),3.64,3.51,7.0,2022,103
2.0,0:31,,,,,,Timeout #2 by Las Vegas Raiders,,,7.0,2022,103
2.0,0:31,2.0,7.0,HOU 26,10.0,9.0,"Derek Carr pass complete deep middle to Mack Hollins for 26 yards, touchdown",3.51,7.0,7.0,2022,103
2.0,0:25,,,HOU 15,10.0,10.0,Daniel Carlson kicks extra point good,0.0,0.0,7.0,2022,103
2.0,0:25,,,LVR 35,10.0,10.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,103
2.0,0:25,1.0,10.0,HOU 25,10.0,10.0,Davis Mills sacked by and Chandler Jones for -6 yards and Clelin Ferrell for -6 yards,0.61,-0.81,7.0,2022,103
3.0,15:00,,,LVR 35,10.0,10.0,"Daniel Carlson kicks off 60 yards, returned by Tremon Smith for 11 yards (tackle by Ameer Abdullah)",0.0,-0.14,7.0,2022,103
3.0,14:54,1.0,10.0,HOU 16,10.0,10.0,Dameon Pierce left tackle for 5 yards (tackle by Johnathan Hankins and Bilal Nichols),-0.14,0.15,7.0,2022,103
3.0,14:18,2.0,5.0,HOU 21,10.0,10.0,Dameon Pierce left end for 2 yards (tackle by Maxx Crosby),0.15,-0.45,7.0,2022,103
3.0,13:34,3.0,3.0,HOU 23,10.0,10.0,Davis Mills pass complete short right to Jordan Akins for 39 yards (tackle by Duron Harmon),-0.45,3.05,7.0,2022,103
3.0,12:43,1.0,10.0,LVR 38,10.0,10.0,Davis Mills pass complete deep left to Phillip Dorsett for 20 yards,3.05,4.37,7.0,2022,103
3.0,12:05,1.0,10.0,LVR 18,10.0,10.0,Dameon Pierce up the middle for -4 yards (tackle by Divine Deablo),4.37,3.29,7.0,2022,103
3.0,11:28,2.0,14.0,LVR 22,10.0,10.0,Davis Mills pass complete short left to Rex Burkhead for 5 yards (tackle by Divine Deablo),3.29,3.07,7.0,2022,103
3.0,11:08,3.0,10.0,LVR 17,10.0,10.0,Davis Mills pass incomplete short middle intended for Brevin Jordan,3.07,2.31,7.0,2022,103
3.0,11:04,4.0,10.0,LVR 17,13.0,10.0,Ka'imi Fairbairn 35 yard field goal good,2.31,3.0,7.0,2022,103
3.0,10:59,,,HOU 35,13.0,10.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,103
3.0,10:59,1.0,10.0,LVR 25,13.0,10.0,Josh Jacobs left tackle for 11 yards (tackle by Jonathan Owens),0.61,1.33,7.0,2022,103
3.0,10:23,1.0,10.0,LVR 36,13.0,10.0,Josh Jacobs right tackle for 6 yards (tackle by Thomas Booker and Jonathan Owens),1.33,1.6,7.0,2022,103
3.0,9:40,2.0,4.0,LVR 42,13.0,10.0,Derek Carr pass incomplete short left intended for Mack Hollins,1.6,0.89,7.0,2022,103
3.0,9:34,3.0,4.0,LVR 42,13.0,10.0,Derek Carr pass complete short middle to Hunter Renfrow for 8 yards (tackle by Desmond King),0.89,2.26,7.0,2022,103
3.0,8:57,1.0,10.0,LVR 50,13.0,10.0,Josh Jacobs left guard for 12 yards (tackle by Derek Stingley),2.26,3.05,7.0,2022,103
3.0,8:14,1.0,10.0,HOU 38,13.0,10.0,Derek Carr pass complete short right to Foster Moreau for 11 yards (tackle by Kamu Grugier-Hill),3.05,3.78,7.0,2022,103
3.0,7:28,1.0,10.0,HOU 27,13.0,10.0,Josh Jacobs right end for 6 yards (tackle by Christian Kirksey),3.78,4.04,7.0,2022,103
3.0,6:44,2.0,4.0,HOU 21,13.0,10.0,Derek Carr pass incomplete short right intended for Foster Moreau,4.04,3.34,7.0,2022,103
3.0,6:39,3.0,4.0,HOU 21,13.0,10.0,Derek Carr pass complete short middle to Foster Moreau for 17 yards (tackle by Jonathan Owens),3.34,6.28,7.0,2022,103
3.0,5:54,1.0,4.0,HOU 4,13.0,16.0,"Josh Jacobs left end for 4 yards, touchdown",6.28,7.0,7.0,2022,103
3.0,5:48,,,HOU 15,13.0,17.0,Daniel Carlson kicks extra point good,0.0,0.0,7.0,2022,103
3.0,5:48,,,LVR 35,13.0,17.0,"Daniel Carlson kicks off 62 yards, returned by Tremon Smith for 23 yards (tackle by Matthias Farley)",0.0,0.67,7.0,2022,103
3.0,5:42,1.0,10.0,HOU 26,13.0,17.0,Davis Mills pass complete short left to Nico Collins for 9 yards (tackle by Divine Deablo and Rock Ya-Sin),0.67,1.35,7.0,2022,103
3.0,5:08,2.0,1.0,HOU 35,13.0,17.0,Davis Mills pass complete deep left to Brandin Cooks for 24 yards (tackle by Duron Harmon),1.35,2.85,7.0,2022,103
3.0,4:37,1.0,10.0,LVR 41,13.0,17.0,Dameon Pierce up the middle for 13 yards (tackle by Duron Harmon),2.85,3.71,7.0,2022,103
3.0,3:57,1.0,10.0,LVR 28,13.0,17.0,Dameon Pierce right end for 3 yards (tackle by Denzel Perryman),3.71,3.57,7.0,2022,103
3.0,3:23,2.0,7.0,LVR 25,13.0,17.0,Davis Mills pass incomplete short right intended for Brevin Jordan,3.57,2.87,7.0,2022,103
3.0,3:20,3.0,7.0,LVR 25,19.0,17.0,"Davis Mills pass complete deep left to Phillip Dorsett for 25 yards, touchdown",2.87,7.0,7.0,2022,103
3.0,3:14,,,LVR 15,20.0,17.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,7.0,2022,103
3.0,3:14,,,HOU 35,20.0,17.0,"Ka'imi Fairbairn kicks off 58 yards, returned by Ameer Abdullah for 17 yards (tackle by Eric Murray and Tremon Smith)",0.0,0.54,7.0,2022,103
3.0,3:08,1.0,10.0,LVR 24,20.0,17.0,Derek Carr pass complete short left to Davante Adams for 8 yards (tackle by Derek Stingley),0.54,1.08,7.0,2022,103
3.0,2:25,2.0,2.0,LVR 32,20.0,17.0,"Penalty on Jakob Johnson: False Start, 5 yards (accepted) (no play)",1.08,0.4,7.0,2022,103
3.0,2:03,2.0,7.0,LVR 27,20.0,17.0,Derek Carr pass complete short middle to Davante Adams for 15 yards (tackle by Jonathan Owens),0.4,1.73,7.0,2022,103
3.0,1:20,1.0,10.0,LVR 42,20.0,17.0,Derek Carr pass complete short middle to Davante Adams for 16 yards (tackle by Jonathan Owens),1.73,2.79,7.0,2022,103
3.0,0:33,1.0,10.0,HOU 42,20.0,17.0,Derek Carr pass complete short right to Foster Moreau for no gain (tackle by Thomas Booker),2.79,2.24,7.0,2022,103
4.0,15:00,2.0,10.0,HOU 42,20.0,17.0,"Derek Carr pass incomplete. Penalty on Thomas Booker: Defensive Offside, 5 yards (accepted) (no play)",2.24,2.92,7.0,2022,103
4.0,14:53,2.0,5.0,HOU 37,20.0,17.0,Josh Jacobs left end for 12 yards (tackle by Derek Stingley),2.92,3.91,7.0,2022,103
4.0,14:17,1.0,10.0,HOU 25,20.0,17.0,Derek Carr pass complete short left to Mack Hollins for 18 yards (tackle by Derek Stingley),3.91,5.6,7.0,2022,103
4.0,13:37,1.0,7.0,HOU 7,20.0,23.0,"Josh Jacobs up the middle for 7 yards, touchdown",5.6,7.0,7.0,2022,103
4.0,13:32,,,HOU 15,20.0,24.0,Daniel Carlson kicks extra point good,0.0,0.0,7.0,2022,103
4.0,13:32,,,LVR 35,20.0,24.0,"Daniel Carlson kicks off 60 yards, returned by Tremon Smith for 19 yards (tackle by Ameer Abdullah)",0.0,0.54,7.0,2022,103
4.0,13:27,1.0,10.0,HOU 24,20.0,24.0,Dameon Pierce up the middle for 4 yards (tackle by Kendal Vickers and Divine Deablo),0.54,0.54,7.0,2022,103
4.0,12:52,2.0,6.0,HOU 28,20.0,24.0,Davis Mills pass complete short right to Dameon Pierce for 5 yards (tackle by Rock Ya-Sin),0.54,0.5,7.0,2022,103
4.0,12:12,3.0,1.0,HOU 33,20.0,24.0,Dameon Pierce left guard for no gain (tackle by Maxx Crosby),0.5,-1.18,7.0,2022,103
4.0,11:29,,,,,,Timeout #1 by Las Vegas Raiders,,,7.0,2022,103
4.0,11:29,4.0,1.0,HOU 33,20.0,24.0,"Penalty on Kenyon Green: False Start, 4 yards (accepted) (no play)",-1.18,-1.44,7.0,2022,103
4.0,11:29,4.0,6.0,HOU 29,20.0,24.0,"Cameron Johnston punts 55 yards, recovered by DJ Turner at LV-19",-1.44,-0.15,7.0,2022,103
4.0,11:21,1.0,10.0,LVR 19,20.0,24.0,Josh Jacobs right tackle for 12 yards (tackle by Christian Kirksey),0.15,1.0,7.0,2022,103
4.0,10:36,1.0,10.0,LVR 31,20.0,24.0,Derek Carr pass complete deep right to Hunter Renfrow for 27 yards (tackle by Jonathan Owens),1.0,2.79,7.0,2022,103
4.0,9:51,1.0,10.0,HOU 42,20.0,24.0,Josh Jacobs right end for 13 yards (tackle by Christian Kirksey),2.79,3.64,7.0,2022,103
4.0,9:06,1.0,10.0,HOU 29,20.0,24.0,Derek Carr pass incomplete deep right intended for Davante Adams,3.64,3.1,7.0,2022,103
4.0,9:00,2.0,10.0,HOU 29,20.0,24.0,DJ Turner left end for -1 yards (tackle by Desmond King),3.1,2.28,7.0,2022,103
4.0,8:15,3.0,11.0,HOU 30,20.0,24.0,Derek Carr pass complete short left to Davante Adams for 10 yards (tackle by Derek Stingley),2.28,2.27,7.0,2022,103
4.0,7:32,4.0,1.0,HOU 20,20.0,24.0,"Penalty on Roy Lopez: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.27,4.58,7.0,2022,103
4.0,7:12,1.0,10.0,HOU 15,20.0,30.0,"Josh Jacobs left guard for 15 yards, touchdown",4.58,7.0,7.0,2022,103
4.0,7:06,,,HOU 15,20.0,31.0,Daniel Carlson kicks extra point good,0.0,0.0,7.0,2022,103
4.0,7:06,,,LVR 35,20.0,31.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,103
4.0,7:06,1.0,10.0,HOU 25,20.0,31.0,Davis Mills pass complete short middle to Chris Moore for 7 yards (tackle by Divine Deablo and Trevon Moehrig),0.61,1.01,7.0,2022,103
4.0,6:42,2.0,3.0,HOU 32,20.0,31.0,Dameon Pierce left tackle for 5 yards (tackle by Divine Deablo),1.01,1.4,7.0,2022,103
4.0,6:22,1.0,10.0,HOU 37,20.0,31.0,Davis Mills pass incomplete short left,1.4,0.86,7.0,2022,103
4.0,6:18,2.0,10.0,HOU 37,20.0,31.0,Davis Mills pass complete short left to Rex Burkhead for 1 yard (tackle by Duron Harmon),0.86,0.3,7.0,2022,103
4.0,5:33,3.0,9.0,HOU 38,20.0,31.0,Davis Mills pass incomplete short middle intended for Jordan Akins (defended by Maxx Crosby),0.3,-0.85,7.0,2022,103
4.0,5:28,4.0,9.0,HOU 38,20.0,31.0,Davis Mills pass complete short left to Jordan Akins for 10 yards (tackle by Rock Ya-Sin and Trevon Moehrig),-0.85,2.13,7.0,2022,103
4.0,4:58,1.0,10.0,HOU 48,20.0,31.0,Davis Mills pass complete short left to Rex Burkhead for 4 yards (tackle by Johnathan Abram),2.13,2.12,7.0,2022,103
4.0,4:30,2.0,6.0,LVR 48,20.0,31.0,Rex Burkhead up the middle for 4 yards (tackle by Divine Deablo and Maxx Crosby),2.12,1.95,7.0,2022,103
4.0,4:02,3.0,2.0,LVR 44,20.0,31.0,Rex Burkhead up the middle for 4 yards (tackle by Maxx Crosby),1.95,2.92,7.0,2022,103
4.0,3:39,1.0,10.0,LVR 40,20.0,37.0,"Davis Mills pass short middle intended for Brevin Jordan is intercepted by Duron Harmon at LV-27 and returned for 73 yards, touchdown",2.92,-7.0,7.0,2022,103
4.0,3:26,,,HOU 15,20.0,38.0,Daniel Carlson kicks extra point good,0.0,0.0,7.0,2022,103
4.0,3:26,,,LVR 35,20.0,38.0,"Daniel Carlson kicks off 70 yards, returned by Tremon Smith for 25 yards (tackle by Brandon Bolden and Darien Butler)",0.0,0.28,7.0,2022,103
4.0,3:19,1.0,10.0,HOU 20,20.0,38.0,Davis Mills pass complete short middle to Dare Ogunbowale for 9 yards (tackle by Johnathan Abram),0.28,0.95,7.0,2022,103
4.0,2:57,2.0,1.0,HOU 29,20.0,38.0,Davis Mills pass incomplete short left intended for Dare Ogunbowale,0.95,0.23,7.0,2022,103
4.0,2:53,3.0,1.0,HOU 29,20.0,38.0,Dare Ogunbowale left guard for 8 yards (tackle by Clelin Ferrell),0.23,1.4,7.0,2022,103
4.0,2:25,1.0,10.0,HOU 37,20.0,38.0,Davis Mills pass complete short left to Dare Ogunbowale for 6 yards (tackle by Johnathan Abram),1.4,1.67,7.0,2022,103
4.0,2:00,2.0,4.0,HOU 43,20.0,38.0,Davis Mills pass complete short left to Dare Ogunbowale for 9 yards (tackle by Johnathan Abram and Duron Harmon),1.67,2.39,7.0,2022,103
4.0,1:40,,,,,,Timeout #1 by Houston Texans,,,7.0,2022,103
4.0,1:40,1.0,10.0,LVR 48,20.0,38.0,Davis Mills pass complete short left to Dare Ogunbowale for 7 yards (tackle by Johnathan Abram),2.39,2.79,7.0,2022,103
4.0,1:33,2.0,3.0,LVR 41,20.0,38.0,Davis Mills pass complete short middle to Dare Ogunbowale for 23 yards (tackle by Trevon Moehrig),2.79,4.37,7.0,2022,103
4.0,1:25,1.0,10.0,LVR 18,20.0,38.0,Davis Mills pass incomplete deep left intended for Chris Moore,4.37,3.8,7.0,2022,103
4.0,1:22,2.0,10.0,LVR 18,20.0,38.0,Davis Mills pass complete short left to Rex Burkhead for 4 yards (tackle by Johnathan Abram),3.8,3.63,7.0,2022,103
4.0,1:17,3.0,6.0,LVR 14,20.0,38.0,Davis Mills pass incomplete short right intended for Phillip Dorsett,3.63,2.53,7.0,2022,103
4.0,1:11,4.0,6.0,LVR 14,20.0,38.0,Davis Mills pass incomplete short left intended for Dare Ogunbowale,2.53,0.28,7.0,2022,103
4.0,1:07,1.0,10.0,LVR 14,20.0,38.0,Derek Carr kneels for no gain,-0.28,-0.82,7.0,2022,103
4.0,0:38,2.0,11.0,LVR 14,20.0,38.0,Derek Carr kneels for -1 yards,-0.82,-1.64,7.0,2022,103
