Quarter,Time,Down,ToGo,Location,CHI,NWE,Detail,EPB,EPA,week,year,game_id
2.0,9:36,1.0,10.0,CHI 30,10.0,7.0,Justin Fields right end for 15 yards (tackle by Devin McCourty),0.94,1.93,7.0,2022,108
2.0,8:59,1.0,10.0,CHI 45,10.0,7.0,David Montgomery up the middle for 1 yard (tackle by Ja'Whaun Bentley),1.93,1.52,7.0,2022,108
2.0,8:16,2.0,9.0,CHI 46,10.0,7.0,David Montgomery up the middle for 4 yards (tackle by Raekwon McMillan and Davon Godchaux),1.52,1.36,7.0,2022,108
2.0,7:44,3.0,5.0,CHI 50,10.0,7.0,Justin Fields pass short middle (defended by Matt Judon) intended for Equanimeous St. Brown is intercepted by Myles Bryant at NE-39 and returned for 11 yards (tackle by Equanimeous St. Brown),1.36,-2.26,7.0,2022,108
2.0,7:34,1.0,10.0,NWE 50,10.0,7.0,Bailey Zappe pass complete deep left to DeVante Parker for 43 yards (tackle by Jaylon Johnson),2.26,5.6,7.0,2022,108
2.0,6:45,1.0,7.0,CHI 7,10.0,7.0,Rhamondre Stevenson left end for 3 yards (tackle by Mike Pennel and Roquan Smith),5.6,5.34,7.0,2022,108
2.0,6:08,2.0,4.0,CHI 4,10.0,13.0,"Rhamondre Stevenson left end for 4 yards, touchdown",5.34,7.0,7.0,2022,108
2.0,6:04,,,CHI 15,10.0,14.0,Nick Folk kicks extra point good,0.0,0.0,7.0,2022,108
2.0,6:04,,,NWE 35,10.0,14.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,108
2.0,6:04,1.0,10.0,CHI 25,10.0,14.0,Justin Fields up the middle for 5 yards (tackle by Ja'Whaun Bentley),0.61,0.74,7.0,2022,108
2.0,5:33,2.0,5.0,CHI 30,10.0,14.0,Khalil Herbert right guard for 4 yards (tackle by Raekwon McMillan),0.74,0.56,7.0,2022,108
2.0,5:12,3.0,1.0,CHI 34,10.0,14.0,Justin Fields up the middle for 1 yard (tackle by Lawrence Guy and Raekwon McMillan),0.56,1.27,7.0,2022,108
2.0,4:32,1.0,10.0,CHI 35,10.0,14.0,Khalil Herbert up the middle for 10 yards (tackle by Devin McCourty),1.27,1.93,7.0,2022,108
2.0,3:50,1.0,10.0,CHI 45,10.0,14.0,Justin Fields pass complete short middle to Darnell Mooney for 16 yards (tackle by Ja'Whaun Bentley and Jabrill Peppers),1.93,2.98,7.0,2022,108
2.0,3:12,1.0,10.0,NWE 39,10.0,14.0,Justin Fields pass complete short right to Ryan Griffin for 5 yards (tackle by Anfernee Jennings and Ja'Whaun Bentley),2.98,3.12,7.0,2022,108
2.0,2:33,2.0,5.0,NWE 34,10.0,14.0,Justin Fields sacked by Matt Judon for no gain,3.12,2.41,7.0,2022,108
2.0,2:14,,,,,,Timeout #1 by New England Patriots,,,7.0,2022,108
2.0,2:14,3.0,5.0,NWE 34,10.0,14.0,Justin Fields left end for 9 yards (tackle by Devin McCourty),2.41,3.91,7.0,2022,108
2.0,2:00,1.0,10.0,NWE 25,16.0,14.0,"Justin Fields pass complete short left to Khalil Herbert for 25 yards, touchdown",3.91,7.0,7.0,2022,108
2.0,1:54,,,NWE 15,17.0,14.0,Cairo Santos kicks extra point good,0.0,0.0,7.0,2022,108
2.0,1:54,,,CHI 35,17.0,14.0,"Cairo Santos kicks off 65 yards, returned by Marcus Jones for 27 yards (tackle by DeAndre Houston-Carson)",0.0,0.74,7.0,2022,108
2.0,1:49,1.0,10.0,NWE 27,17.0,14.0,Bailey Zappe pass incomplete deep left intended for Tyquan Thornton,0.74,0.2,7.0,2022,108
2.0,1:44,2.0,10.0,NWE 27,17.0,14.0,Bailey Zappe pass complete short right to DeVante Parker for 12 yards (tackle by Kindle Vildor),0.2,1.53,7.0,2022,108
2.0,1:40,1.0,10.0,NWE 39,17.0,14.0,"Bailey Zappe aborted snap, recovered by Justin Jones at NE-37 (tackle by Rhamondre Stevenson)",1.53,-3.12,7.0,2022,108
2.0,1:32,1.0,10.0,NWE 37,17.0,14.0,Justin Fields left end for 4 yards (tackle by Jack Jones),3.12,3.11,7.0,2022,108
2.0,1:26,2.0,6.0,NWE 33,17.0,14.0,Justin Fields sacked by Matt Judon for -8 yards,3.11,1.36,7.0,2022,108
2.0,0:41,3.0,14.0,NWE 41,17.0,14.0,Justin Fields scrambles up the middle for 20 yards (tackle by Jack Jones),1.36,4.17,7.0,2022,108
2.0,0:31,,,,,,Timeout #2 by New England Patriots,,,7.0,2022,108
2.0,0:31,1.0,10.0,NWE 21,17.0,14.0,"Justin Fields sacked by Anfernee Jennings for -15 yards. Justin Fields fumbles (forced by Anfernee Jennings), recovered by Justin Fields at NE-36 (tackle by Matt Judon)",4.17,1.6,7.0,2022,108
2.0,0:24,,,,,,Timeout #1 by Chicago Bears,,,7.0,2022,108
2.0,0:24,2.0,25.0,NWE 36,17.0,14.0,Justin Fields left tackle for 9 yards (tackle by Jack Jones),1.6,2.15,7.0,2022,108
2.0,0:19,,,,,,Timeout #2 by Chicago Bears,,,7.0,2022,108
2.0,0:19,,,,,,Timeout #3 by New England Patriots,,,7.0,2022,108
2.0,0:19,3.0,16.0,NWE 27,17.0,14.0,Justin Fields pass complete deep right to Darnell Mooney for 17 yards (tackle by Myles Bryant),2.15,4.91,7.0,2022,108
2.0,0:11,1.0,10.0,NWE 10,17.0,14.0,"Justin Fields pass incomplete short right. Penalty on Jonathan Jones: Defensive Holding, 5 yards (accepted) (no play)",4.91,6.06,7.0,2022,108
2.0,0:03,1.0,5.0,NWE 5,20.0,14.0,Cairo Santos 23 yard field goal good,6.06,3.0,7.0,2022,108
3.0,15:00,,,NWE 35,20.0,14.0,"Jake Bailey kicks off 63 yards, returned by Khalil Herbert for 22 yards (tackle by Jabrill Peppers)",0.0,0.54,7.0,2022,108
3.0,14:53,1.0,10.0,CHI 24,20.0,14.0,Khalil Herbert left end for 4 yards (tackle by Ja'Whaun Bentley),0.54,0.54,7.0,2022,108
3.0,14:16,2.0,6.0,CHI 28,20.0,14.0,Justin Fields pass incomplete short right intended for Darnell Mooney,0.54,-0.16,7.0,2022,108
3.0,14:13,3.0,6.0,CHI 28,20.0,14.0,"Justin Fields aborted snap, recovered by Justin Fields at CHI-19 Justin Fields for 7 yards (tackle by Jonathan Jones)",-0.16,1.27,7.0,2022,108
3.0,13:35,1.0,10.0,CHI 35,20.0,14.0,Dante Pettis right end for 29 yards (tackle by Devin McCourty),1.27,3.18,7.0,2022,108
3.0,13:00,1.0,10.0,NWE 36,20.0,14.0,Khalil Herbert right end for 5 yards (tackle by Jonathan Jones),3.18,3.31,7.0,2022,108
3.0,12:18,2.0,5.0,NWE 31,20.0,14.0,Justin Fields pass complete short left to Equanimeous St. Brown for 11 yards (tackle by Jalen Mills),3.31,4.24,7.0,2022,108
3.0,11:41,1.0,10.0,NWE 20,20.0,14.0,"Penalty on Braxton Jones: False Start, 5 yards (accepted) (no play)",4.24,3.91,7.0,2022,108
3.0,11:15,1.0,15.0,NWE 25,20.0,14.0,Justin Fields right guard for 1 yard (tackle by Anfernee Jennings),3.91,3.15,7.0,2022,108
3.0,10:37,2.0,14.0,NWE 24,20.0,14.0,Khalil Herbert right end for 4 yards (tackle by Jahlani Tavai and Jonathan Jones),3.15,3.01,7.0,2022,108
3.0,9:56,3.0,10.0,NWE 20,20.0,14.0,Justin Fields pass incomplete deep right intended for Equanimeous St. Brown,3.01,2.12,7.0,2022,108
3.0,9:51,4.0,10.0,NWE 20,23.0,14.0,Cairo Santos 38 yard field goal good,2.12,3.0,7.0,2022,108
3.0,9:47,,,CHI 35,23.0,14.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,108
3.0,9:47,1.0,10.0,NWE 25,23.0,14.0,Damien Harris left guard for 4 yards (tackle by Armon Watts),0.61,0.6,7.0,2022,108
3.0,9:09,2.0,6.0,NWE 29,23.0,14.0,Bailey Zappe pass incomplete short right intended for Hunter Henry (defended by Justin Jones),0.6,-0.1,7.0,2022,108
3.0,9:04,3.0,6.0,NWE 29,23.0,14.0,Bailey Zappe sacked by Roquan Smith for -8 yards,-0.1,-1.96,7.0,2022,108
3.0,8:31,4.0,14.0,NWE 21,23.0,14.0,"Jake Bailey punts 47 yards, recovered by Dante Pettis at CHI-32, returned by Dante Pettis for no gain (tackle by Jabrill Peppers). Penalty on Dane Cruikshank: Offensive Holding, 10 yards (accepted)",-1.96,-0.41,7.0,2022,108
3.0,8:17,1.0,10.0,CHI 22,23.0,14.0,Justin Fields pass incomplete short left intended for Cole Kmet,0.41,-0.13,7.0,2022,108
3.0,8:09,2.0,10.0,CHI 22,23.0,14.0,David Montgomery right guard for 3 yards (tackle by Deatrich Wise and Davon Godchaux),-0.13,-0.43,7.0,2022,108
3.0,7:28,3.0,7.0,CHI 25,23.0,14.0,Justin Fields pass complete deep left to Cole Kmet for 26 yards (tackle by Devin McCourty),-0.43,2.32,7.0,2022,108
3.0,7:05,1.0,10.0,NWE 49,23.0,14.0,David Montgomery left guard for 6 yards (tackle by Deatrich Wise),2.32,2.59,7.0,2022,108
3.0,6:26,2.0,4.0,NWE 43,23.0,14.0,David Montgomery left tackle for 3 yards (tackle by Deatrich Wise and Jahlani Tavai),2.59,2.28,7.0,2022,108
3.0,5:49,3.0,1.0,NWE 40,23.0,14.0,Justin Fields up the middle for 1 yard (tackle by Lawrence Guy),2.28,2.98,7.0,2022,108
3.0,5:06,1.0,10.0,NWE 39,23.0,14.0,Justin Fields pass incomplete deep right intended for Darnell Mooney,2.98,2.44,7.0,2022,108
3.0,5:00,2.0,10.0,NWE 39,23.0,14.0,David Montgomery right tackle for 2 yards (tackle by Lawrence Guy and Ja'Whaun Bentley),2.44,2.02,7.0,2022,108
3.0,4:35,3.0,8.0,NWE 37,23.0,14.0,David Montgomery up the middle for 5 yards (tackle by Davon Godchaux),2.02,1.29,7.0,2022,108
3.0,3:54,4.0,3.0,NWE 32,26.0,14.0,Cairo Santos 50 yard field goal good,1.29,3.0,7.0,2022,108
3.0,3:50,,,CHI 35,26.0,14.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,7.0,2022,108
3.0,3:50,1.0,10.0,NWE 25,26.0,14.0,"Bailey Zappe pass complete short middle to Hunter Henry for no gain. Penalty on Trent Brown: Tripping / Offense, 10 yards (accepted) (no play)",0.61,-0.41,7.0,2022,108
3.0,3:29,1.0,20.0,NWE 15,26.0,14.0,Bailey Zappe pass complete short left to Rhamondre Stevenson for 10 yards (tackle by Jaquan Brisker),-0.41,0.06,7.0,2022,108
3.0,2:58,2.0,10.0,NWE 25,26.0,14.0,Bailey Zappe pass complete short left to Rhamondre Stevenson for 8 yards (tackle by Roquan Smith),0.06,0.43,7.0,2022,108
3.0,2:18,3.0,2.0,NWE 33,26.0,14.0,Bailey Zappe pass incomplete short right intended for DeVante Parker (defended by Trevis Gipson),0.43,-1.18,7.0,2022,108
3.0,2:13,4.0,2.0,NWE 33,26.0,14.0,"Jake Bailey punts 33 yards, returned by Dante Pettis for 27 yards (tackle by Jabrill Peppers)",-1.18,-2.98,7.0,2022,108
3.0,2:01,1.0,10.0,NWE 39,26.0,14.0,Khalil Herbert up the middle for 4 yards (tackle by Davon Godchaux),2.98,2.98,7.0,2022,108
3.0,1:16,2.0,6.0,NWE 35,26.0,14.0,Justin Fields pass complete short left to Dante Pettis for 2 yards (tackle by Adrian Phillips),2.98,2.54,7.0,2022,108
3.0,0:37,3.0,4.0,NWE 33,26.0,14.0,Justin Fields pass complete short left to Equanimeous St. Brown for 7 yards (tackle by Jalen Mills),2.54,3.84,7.0,2022,108
4.0,15:00,1.0,10.0,NWE 26,26.0,14.0,Khalil Herbert up the middle for 3 yards (tackle by Lawrence Guy and Davon Godchaux),3.84,3.7,7.0,2022,108
4.0,14:23,2.0,7.0,NWE 23,26.0,14.0,Khalil Herbert left end for 6 yards (tackle by Jalen Mills),3.7,3.95,7.0,2022,108
4.0,13:46,3.0,1.0,NWE 17,26.0,14.0,David Montgomery left guard for 12 yards (tackle by Ja'Whaun Bentley and Lawrence Guy),3.95,6.06,7.0,2022,108
4.0,13:03,1.0,5.0,NWE 5,26.0,14.0,David Montgomery left tackle for 4 yards (tackle by Jahlani Tavai),6.06,5.91,7.0,2022,108
4.0,12:17,2.0,1.0,NWE 1,32.0,14.0,"David Montgomery left tackle for 1 yard, touchdown",5.91,7.0,7.0,2022,108
4.0,12:13,,,NWE 15,33.0,14.0,Cairo Santos kicks extra point good,0.0,0.0,7.0,2022,108
4.0,12:13,,,CHI 35,33.0,14.0,"Cairo Santos kicks off 67 yards, returned by Marcus Jones for 20 yards (tackle by Sterling Weatherford)",0.0,0.04,7.0,2022,108
4.0,12:08,1.0,10.0,NWE 18,33.0,14.0,Bailey Zappe pass complete short left to Rhamondre Stevenson for 10 yards (tackle by Roquan Smith and Nicholas Morrow),0.04,0.81,7.0,2022,108
4.0,11:29,1.0,10.0,NWE 28,33.0,14.0,Rhamondre Stevenson up the middle for 5 yards (tackle by Roquan Smith),0.81,0.94,7.0,2022,108
4.0,10:54,2.0,5.0,NWE 33,33.0,14.0,Bailey Zappe pass complete short right to Rhamondre Stevenson for 2 yards (tackle by Jaylon Johnson),0.94,0.5,7.0,2022,108
4.0,10:13,3.0,3.0,NWE 35,33.0,14.0,Bailey Zappe pass complete short right to Jakobi Meyers for 4 yards (tackle by Eddie Jackson),0.5,1.53,7.0,2022,108
4.0,9:37,1.0,10.0,NWE 39,33.0,14.0,Rhamondre Stevenson up the middle for 4 yards (tackle by Justin Jones),1.53,1.53,7.0,2022,108
4.0,9:01,2.0,6.0,NWE 43,33.0,14.0,Bailey Zappe pass complete short right to DeVante Parker for 13 yards (tackle by Nicholas Morrow and Jaquan Brisker),1.53,2.65,7.0,2022,108
4.0,8:28,1.0,10.0,CHI 44,33.0,14.0,Bailey Zappe pass incomplete short right intended for Jonnu Smith,2.65,2.11,7.0,2022,108
4.0,8:24,2.0,10.0,CHI 44,33.0,14.0,"Bailey Zappe scrambles right end for no gain. Penalty on Cole Strange: Offensive Holding, 10 yards (accepted) (no play)",2.11,0.76,7.0,2022,108
4.0,7:58,2.0,20.0,NWE 46,33.0,14.0,Bailey Zappe pass short middle (defended by Dominique Robinson) intended for Nelson Agholor is intercepted by Roquan Smith at CHI-48 and returned for 4 yards (tackle by Cole Strange),0.76,-2.39,7.0,2022,108
4.0,7:50,1.0,10.0,NWE 48,33.0,14.0,"Penalty on Mike Pennel: Disqualification / Offense, 15 yards (accepted)",2.39,1.4,7.0,2022,108
4.0,7:50,1.0,10.0,CHI 37,33.0,14.0,Khalil Herbert left guard for 13 yards (tackle by Devin McCourty),1.4,2.26,7.0,2022,108
4.0,7:01,1.0,10.0,CHI 50,33.0,14.0,Khalil Herbert left guard for 4 yards (tackle by Jahlani Tavai and Anfernee Jennings),2.26,2.25,7.0,2022,108
4.0,6:14,2.0,6.0,NWE 46,33.0,14.0,Khalil Herbert up the middle for 1 yard (tackle by Jabrill Peppers and Lawrence Guy),2.25,1.69,7.0,2022,108
4.0,5:28,3.0,5.0,NWE 45,33.0,14.0,Khalil Herbert left guard for 4 yards (tackle by Lawrence Guy),1.69,0.53,7.0,2022,108
4.0,4:38,4.0,1.0,NWE 41,33.0,14.0,"Penalty on CHI: Delay of Game, 5 yards (accepted) (no play)",0.53,0.2,7.0,2022,108
4.0,4:41,4.0,6.0,NWE 46,33.0,14.0,"Trenton Gill punts 35 yards, returned by Marcus Jones for 3 yards (tackle by Josh Blackwell)",0.2,0.28,7.0,2022,108
4.0,4:33,1.0,10.0,NWE 14,33.0,14.0,Bailey Zappe pass incomplete short left intended for Tyquan Thornton (defended by Justin Jones),-0.28,-0.75,7.0,2022,108
4.0,4:28,2.0,10.0,NWE 14,33.0,14.0,Bailey Zappe pass complete short left to Rhamondre Stevenson for 9 yards (tackle by Nicholas Morrow),-0.75,-0.32,7.0,2022,108
4.0,4:03,3.0,1.0,NWE 23,33.0,14.0,Bailey Zappe pass complete deep right to Tyquan Thornton for 19 yards (tackle by Eddie Jackson),-0.32,1.73,7.0,2022,108
4.0,3:44,1.0,10.0,NWE 42,33.0,14.0,Bailey Zappe pass complete short left to Rhamondre Stevenson for 1 yard (tackle by Angelo Blackson),1.73,1.32,7.0,2022,108
4.0,3:22,2.0,9.0,NWE 43,33.0,14.0,Rhamondre Stevenson up the middle for 7 yards (tackle by Justin Jones and Roquan Smith),1.32,1.55,7.0,2022,108
4.0,2:59,3.0,2.0,NWE 50,33.0,14.0,Bailey Zappe pass incomplete deep left intended for DeVante Parker,1.55,-0.06,7.0,2022,108
4.0,2:52,4.0,2.0,NWE 50,33.0,14.0,Bailey Zappe pass short left intended for Tyquan Thornton is intercepted by Kyler Gordon at CHI-48 and returned for 42 yards (tackle by Tyquan Thornton),-0.06,-4.91,7.0,2022,108
4.0,2:40,1.0,10.0,NWE 10,33.0,14.0,Trestan Ebner up the middle for 5 yards (tackle by Ja'Whaun Bentley and Carl Davis),4.91,5.15,7.0,2022,108
4.0,2:00,2.0,5.0,NWE 5,33.0,14.0,Trestan Ebner up the middle for 2 yards (tackle by Lawrence Guy and Myles Bryant),5.15,4.72,7.0,2022,108
4.0,1:16,3.0,3.0,NWE 3,33.0,14.0,Trestan Ebner left guard for 1 yard (tackle by Davon Godchaux and Anfernee Jennings),4.72,3.25,7.0,2022,108
4.0,0:28,4.0,2.0,NWE 2,33.0,14.0,Justin Fields kneels for -1 yards,3.25,0.38,7.0,2022,108
4.0,0:25,1.0,10.0,NWE 3,33.0,14.0,Bailey Zappe kneels for -1 yards,-0.38,-0.85,7.0,2022,108
