Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA,week,year,game_id
1.0,6:14,2.0,5.0,BUF 49,0.0,7.0,Breece Hall right end for 6 yards (tackle by Matt Milano and Terrel Bernard),2.13,2.72,17.0,2024,247
1.0,5:20,1.0,10.0,BUF 43,0.0,7.0,Braelon Allen up the middle for 4 yards (tackle by Matt Milano and Terrel Bernard),2.72,2.72,17.0,2024,247
1.0,4:42,2.0,6.0,BUF 39,0.0,7.0,Braelon Allen left end for 6 yards (tackle by Cole Bishop),2.72,3.38,17.0,2024,247
1.0,4:12,1.0,10.0,BUF 33,0.0,7.0,Aaron Rodgers pass complete short left to Garrett Wilson for 9 yards (tackle by Rasul Douglas),3.38,4.05,17.0,2024,247
1.0,3:34,2.0,1.0,BUF 24,0.0,7.0,"Breece Hall left end for no gain (tackle by Taron Johnson). Penalty on John Simpson: Offensive Holding, 10 yards (accepted) (no play)",4.05,2.7,17.0,2024,247
1.0,3:07,2.0,11.0,BUF 34,0.0,7.0,Aaron Rodgers pass complete short left to Tyler Conklin for 10 yards (tackle by Matt Milano and Terrel Bernard),2.7,3.34,17.0,2024,247
1.0,2:23,3.0,1.0,BUF 24,0.0,7.0,Aaron Rodgers pass incomplete short right intended for Kenny Yeboah,3.34,2.02,17.0,2024,247
1.0,2:18,4.0,1.0,BUF 24,0.0,7.0,Braelon Allen up the middle for no gain (tackle by Gregory Rousseau),2.02,-0.54,17.0,2024,247
1.0,2:12,1.0,10.0,BUF 24,0.0,7.0,James Cook right end for -2 yards (tackle by Quincy Williams),0.54,-0.27,17.0,2024,247
1.0,1:30,2.0,12.0,BUF 22,0.0,7.0,Josh Allen scrambles left tackle for 10 yards (tackle by Jamien Sherwood),-0.27,0.37,17.0,2024,247
1.0,0:47,3.0,2.0,BUF 32,0.0,7.0,Josh Allen pass complete short left to Ty Johnson for 9 yards (tackle by Sauce Gardner),0.37,1.66,17.0,2024,247
2.0,15:00,1.0,10.0,BUF 41,0.0,7.0,Josh Allen pass complete short left to Dawson Knox for 4 yards (tackle by Chuck Clark),1.66,1.66,17.0,2024,247
2.0,14:26,2.0,6.0,BUF 45,0.0,7.0,"Josh Allen scrambles right tackle for no gain (tackle by Jamien Sherwood). Penalty on Ray Davis: Offensive Holding, 10 yards (accepted) (no play)",1.66,0.31,17.0,2024,247
2.0,14:01,2.0,16.0,BUF 35,0.0,7.0,Josh Allen pass incomplete short right intended for Khalil Shakir (defended by Isaiah Oliver),0.31,-0.36,17.0,2024,247
2.0,13:56,3.0,16.0,BUF 35,0.0,7.0,"Penalty on Khalil Shakir: False Start, 5 yards (accepted) (no play)",-0.36,-1.02,17.0,2024,247
2.0,13:56,3.0,21.0,BUF 30,0.0,7.0,Josh Allen pass complete short right to Khalil Shakir for 9 yards (tackle by Chuck Clark and Quincy Williams),-1.02,-0.78,17.0,2024,247
2.0,13:18,4.0,12.0,BUF 39,0.0,7.0,"Sam Martin punts 47 yards, returned by Xavier Gipson for 12 yards (tackle by Quintin Morris and Reid Ferguson)",-0.78,-0.67,17.0,2024,247
2.0,13:05,1.0,10.0,NYJ 26,0.0,7.0,Aaron Rodgers pass complete short right to Garrett Wilson for 5 yards (tackle by Rasul Douglas),0.67,0.81,17.0,2024,247
2.0,12:23,2.0,5.0,NYJ 31,0.0,7.0,Breece Hall left end for 17 yards (tackle by Cole Bishop),0.81,2.13,17.0,2024,247
2.0,11:45,1.0,10.0,NYJ 48,0.0,7.0,Aaron Rodgers pass complete short right to Davante Adams for 9 yards (tackle by Christian Benford),2.13,2.8,17.0,2024,247
2.0,10:59,2.0,1.0,BUF 43,0.0,7.0,Breece Hall right end for 1 yard (tackle by Terrel Bernard and Gregory Rousseau),2.8,2.79,17.0,2024,247
2.0,10:16,1.0,10.0,BUF 42,0.0,7.0,Aaron Rodgers pass complete short left to Garrett Wilson for 28 yards (tackle by Cole Bishop),2.79,4.65,17.0,2024,247
2.0,9:33,1.0,10.0,BUF 14,0.0,7.0,Breece Hall up the middle for 2 yards (tackle by Matt Milano),4.65,4.33,17.0,2024,247
2.0,8:54,2.0,8.0,BUF 12,0.0,7.0,Aaron Rodgers pass short right (defended by Gregory Rousseau) intended for Davante Adams is intercepted by Jordan Phillips at BUF-15 and returned for 2 yards (tackle by Alijah Vera-Tucker),4.33,0.06,17.0,2024,247
2.0,8:47,1.0,10.0,BUF 17,0.0,7.0,James Cook right tackle for 6 yards (tackle by Sauce Gardner),-0.06,0.35,17.0,2024,247
2.0,8:07,2.0,4.0,BUF 23,0.0,7.0,James Cook right guard for 8 yards (tackle by Eric Watts and Jamien Sherwood),0.35,1.0,17.0,2024,247
2.0,7:30,1.0,10.0,BUF 31,0.0,7.0,James Cook left guard for 8 yards (tackle by Tony Adams),1.0,1.54,17.0,2024,247
2.0,7:06,2.0,2.0,BUF 39,0.0,7.0,James Cook left tackle for 3 yards (tackle by Leonard Taylor),1.54,1.73,17.0,2024,247
2.0,6:30,1.0,10.0,BUF 42,0.0,7.0,Josh Allen pass complete short right to Khalil Shakir for 4 yards (tackle by Sauce Gardner),1.73,1.73,17.0,2024,247
2.0,5:53,2.0,6.0,BUF 46,0.0,7.0,Josh Allen pass complete short right to Ray Davis for 4 yards (tackle by Quincy Williams and Jamien Sherwood),1.73,1.55,17.0,2024,247
2.0,5:10,3.0,2.0,BUF 50,0.0,7.0,Josh Allen pass complete short right to Keon Coleman for 5 yards (tackle by Haason Reddick),1.55,2.59,17.0,2024,247
2.0,4:26,1.0,10.0,NYJ 45,0.0,7.0,James Cook left end for 1 yard (tackle by Quincy Williams),2.59,2.18,17.0,2024,247
2.0,3:40,2.0,9.0,NYJ 44,0.0,7.0,"Josh Allen pass incomplete short right intended for Khalil Shakir. Penalty on David Edwards: Ineligible Downfield Pass, 5 yards (declined)",2.18,1.49,17.0,2024,247
2.0,3:35,3.0,9.0,NYJ 44,0.0,7.0,Josh Allen pass incomplete deep right intended for Keon Coleman,1.49,0.33,17.0,2024,247
2.0,3:25,4.0,9.0,NYJ 44,0.0,7.0,Sam Martin punts 39 yards out of bounds,0.33,0.38,17.0,2024,247
2.0,3:16,1.0,10.0,NYJ 5,0.0,7.0,"Penalty on Tyler Conklin: False Start, 2 yards (accepted) (no play)",-0.38,-0.46,17.0,2024,247
2.0,3:16,1.0,12.0,NYJ 3,0.0,7.0,Braelon Allen up the middle for -1 yards (tackle by Dawuane Smoot),-0.46,-1.0,17.0,2024,247
2.0,2:34,2.0,13.0,NYJ 2,0.0,9.0,"Aaron Rodgers sacked by A.J. Epenesa for -2 yards, safety.",-1.0,-2.0,17.0,2024,247
2.0,2:31,,,NYJ 20,0.0,9.0,"Thomas Morstead kicks off 64 yards, returned by Ty Johnson for 16 yards (tackle by Isaiah Davis)",0.0,1.07,17.0,2024,247
2.0,2:24,1.0,10.0,BUF 32,0.0,9.0,James Cook right guard for 8 yards (tackle by Chuck Clark and Jamien Sherwood),1.07,1.61,17.0,2024,247
2.0,2:00,2.0,2.0,BUF 40,0.0,9.0,Ty Johnson right guard for 5 yards (tackle by Micheal Clemons),1.61,1.93,17.0,2024,247
2.0,1:40,1.0,10.0,BUF 45,0.0,9.0,"Josh Allen pass complete short right to Amari Cooper for no gain (tackle by Quincy Williams). Penalty on Amari Cooper: Offensive Pass Interference, 10 yards (accepted) (no play)",1.93,1.27,17.0,2024,247
2.0,1:31,1.0,20.0,BUF 35,0.0,9.0,Josh Allen pass complete short middle to Amari Cooper for 17 yards (tackle by D.J. Reed),1.27,2.33,17.0,2024,247
2.0,1:09,2.0,3.0,NYJ 48,0.0,9.0,Ty Johnson right tackle for 2 yards (tackle by Haason Reddick),2.33,1.88,17.0,2024,247
2.0,1:02,,,,,,Timeout #1 by Buffalo Bills,,,17.0,2024,247
2.0,1:02,3.0,1.0,NYJ 46,0.0,9.0,Josh Allen left guard for 2 yards (tackle by Jamien Sherwood and Quinnen Williams),1.88,2.65,17.0,2024,247
2.0,0:40,1.0,10.0,NYJ 44,0.0,9.0,"Josh Allen pass incomplete short right intended for Keon Coleman. Penalty on Quinnen Williams: Unnecessary Roughness / Defense, 15 yards (accepted) . Penalty on Will McDonald: Defensive Offside, 5 yards (declined) (no play)",2.65,3.64,17.0,2024,247
2.0,0:35,1.0,10.0,NYJ 29,0.0,9.0,Josh Allen pass incomplete short middle intended for Khalil Shakir (defended by Jamien Sherwood),3.64,3.1,17.0,2024,247
2.0,0:29,2.0,10.0,NYJ 29,0.0,9.0,Josh Allen pass incomplete short left,3.1,2.41,17.0,2024,247
2.0,0:24,3.0,10.0,NYJ 29,0.0,9.0,Josh Allen pass complete short left to Keon Coleman for 8 yards (tackle by Jamien Sherwood),2.41,2.18,17.0,2024,247
2.0,0:02,,,,,,Timeout #2 by Buffalo Bills,,,17.0,2024,247
2.0,0:02,,,,,,Timeout #1 by New York Jets,,,17.0,2024,247
2.0,0:02,4.0,2.0,NYJ 21,0.0,12.0,Tyler Bass 39 yard field goal good,2.18,3.0,17.0,2024,247
3.0,15:00,,,BUF 35,0.0,12.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,247
3.0,15:00,1.0,10.0,NYJ 30,0.0,12.0,Breece Hall up the middle for 1 yard (tackle by A.J. Epenesa and Terrel Bernard),0.94,0.53,17.0,2024,247
3.0,14:28,2.0,9.0,NYJ 31,0.0,12.0,Aaron Rodgers pass incomplete short middle intended for Davante Adams,0.53,-0.16,17.0,2024,247
3.0,14:23,3.0,9.0,NYJ 31,0.0,12.0,"Aaron Rodgers pass incomplete short left intended for Davante Adams. Penalty on Cole Bishop: Illegal Contact, 5 yards (accepted) (no play)",-0.16,1.33,17.0,2024,247
3.0,14:17,1.0,10.0,NYJ 36,0.0,12.0,Aaron Rodgers pass complete short right to Davante Adams for 22 yards (tackle by Taylor Rapp),1.33,2.79,17.0,2024,247
3.0,13:38,1.0,10.0,BUF 42,0.0,12.0,Breece Hall left tackle for 5 yards (tackle by Terrel Bernard and Taylor Rapp),2.79,2.92,17.0,2024,247
3.0,12:59,2.0,5.0,BUF 37,0.0,12.0,"Breece Hall left end for no gain (tackle by DeWayne Carter). Penalty on Allen Lazard: Offensive Holding, 10 yards (accepted) (no play)",2.92,1.57,17.0,2024,247
3.0,12:32,2.0,15.0,BUF 47,0.0,12.0,Aaron Rodgers pass complete short right to Davante Adams for 10 yards (tackle by Taron Johnson),1.57,2.21,17.0,2024,247
3.0,11:46,3.0,5.0,BUF 37,0.0,12.0,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,2.21,0.79,17.0,2024,247
3.0,11:41,4.0,5.0,BUF 37,0.0,12.0,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (accepted) (no play)",0.79,0.46,17.0,2024,247
3.0,11:41,4.0,10.0,BUF 42,0.0,12.0,Thomas Morstead punts 41 yards downed by Jarius Monroe,0.46,0.38,17.0,2024,247
3.0,11:33,1.0,10.0,BUF 1,0.0,12.0,Josh Allen left guard for 1 yard (tackle by Quincy Williams),-0.38,-0.71,17.0,2024,247
3.0,10:56,2.0,9.0,BUF 2,0.0,12.0,James Cook right guard for 5 yards (tackle by Tony Adams),-0.71,-0.72,17.0,2024,247
3.0,10:11,3.0,4.0,BUF 7,0.0,12.0,Josh Allen pass incomplete short right intended for Keon Coleman,-0.72,-2.49,17.0,2024,247
3.0,10:06,4.0,4.0,BUF 7,0.0,12.0,"Sam Martin punts 51 yards, returned by Xavier Gipson for 13 yards (tackle by Edefuan Ulofoshio)",-2.49,-2.59,17.0,2024,247
3.0,9:55,1.0,10.0,BUF 45,0.0,12.0,Aaron Rodgers pass complete short middle to Garrett Wilson for 13 yards (tackle by Taylor Rapp),2.59,3.45,17.0,2024,247
3.0,9:14,1.0,10.0,BUF 32,0.0,12.0,Breece Hall right tackle for -1 yards (tackle by Ed Oliver and Matt Milano),3.45,2.77,17.0,2024,247
3.0,8:35,2.0,11.0,BUF 33,0.0,12.0,"Penalty on John Simpson: False Start, 4 yards (accepted) (no play)",2.77,2.23,17.0,2024,247
3.0,8:16,2.0,15.0,BUF 37,0.0,12.0,Aaron Rodgers sacked by and Gregory Rousseau for -4 yards and DaQuan Jones for -4 yards,2.23,1.03,17.0,2024,247
3.0,7:37,3.0,19.0,BUF 41,0.0,12.0,"Aaron Rodgers pass deep middle intended for Allen Lazard is intercepted by Christian Benford at BUF-23 and returned for 24 yards (tackle by Breece Hall). Penalty on Aaron Rodgers: Unnecessary Roughness / Offense, 15 yards (accepted)",1.03,-3.05,17.0,2024,247
3.0,7:20,1.0,10.0,NYJ 38,0.0,12.0,Josh Allen pass complete short middle to Amari Cooper for 9 yards (tackle by D.J. Reed),3.05,3.72,17.0,2024,247
3.0,6:47,2.0,1.0,NYJ 29,0.0,12.0,Josh Allen pass incomplete short right intended for Keon Coleman (defended by Solomon Thomas),3.72,3.01,17.0,2024,247
3.0,6:42,3.0,1.0,NYJ 29,0.0,12.0,Josh Allen left guard for 3 yards (tackle by Jamien Sherwood),3.01,3.84,17.0,2024,247
3.0,6:04,1.0,10.0,NYJ 26,0.0,12.0,James Cook up the middle for -4 yards (tackle by Solomon Thomas),3.84,2.83,17.0,2024,247
3.0,5:19,2.0,13.0,NYJ 30,0.0,18.0,"Josh Allen pass complete deep right to Amari Cooper for 30 yards, touchdown",2.83,7.0,17.0,2024,247
3.0,5:13,,,NYJ 15,0.0,19.0,Tyler Bass kicks extra point good,0.0,0.0,17.0,2024,247
3.0,5:13,,,BUF 35,0.0,19.0,"Tyler Bass kicks off 65 yards, returned by Xavier Gipson for 25 yards (tackle by Christian Benford). Penalty on Jeremy Ruckert: Offensive Illegal Block Above the Waist, 10 yards (accepted)",0.0,-0.22,17.0,2024,247
3.0,5:03,1.0,10.0,NYJ 15,0.0,19.0,Breece Hall right guard for 1 yard (tackle by Von Miller),-0.22,-0.58,17.0,2024,247
3.0,4:28,2.0,9.0,NYJ 16,0.0,19.0,Aaron Rodgers pass complete short left to Davante Adams for 3 yards (tackle by Taron Johnson),-0.58,-0.88,17.0,2024,247
3.0,3:52,3.0,6.0,NYJ 19,0.0,19.0,Aaron Rodgers sacked by Von Miller for -8 yards,-0.88,-2.49,17.0,2024,247
3.0,3:22,4.0,14.0,NYJ 11,0.0,19.0,"Thomas Morstead punts 56 yards, returned by Brandon Codrington for 25 yards (tackle by Braelon Allen). Penalty on Jarius Monroe: Player Out of Bounds on a Punt, 5 yards (accepted)",-2.49,-3.12,17.0,2024,247
3.0,3:05,1.0,10.0,NYJ 37,0.0,19.0,Josh Allen pass complete short left to Dalton Kincaid for 13 yards (tackle by D.J. Reed),3.12,3.97,17.0,2024,247
3.0,2:27,1.0,10.0,NYJ 24,0.0,19.0,Josh Allen pass incomplete deep left intended for Quintin Morris,3.97,3.43,17.0,2024,247
3.0,2:22,2.0,10.0,NYJ 24,0.0,19.0,"James Cook up the middle for 3 yards (tackle by Quincy Williams and Bruce Hector). Penalty on Micheal Clemons: Unnecessary Roughness / Defense, 10 yards (accepted)",3.43,4.84,17.0,2024,247
3.0,2:02,1.0,10.0,NYJ 11,0.0,19.0,"Josh Allen pass incomplete short left intended for Keon Coleman. Penalty on Quinnen Williams: Unnecessary Roughness / Defense, 6 yards (accepted) . Penalty on D.J. Reed: Illegal Use of Hands / Defense, 5 yards (declined) (no play)",4.84,6.06,17.0,2024,247
3.0,1:57,1.0,5.0,NYJ 5,0.0,19.0,James Cook right end for 4 yards (tackle by Brandin Echols),6.06,5.91,17.0,2024,247
3.0,1:17,2.0,1.0,NYJ 1,0.0,25.0,"James Cook left guard for 1 yard, touchdown",5.91,7.0,17.0,2024,247
3.0,1:15,,,NYJ 15,0.0,26.0,Tyler Bass kicks extra point good,0.0,0.0,17.0,2024,247
3.0,1:15,,,BUF 35,0.0,26.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,247
3.0,1:15,1.0,10.0,NYJ 30,0.0,26.0,"Aaron Rodgers pass complete short left to Garrett Wilson for no gain. Garrett Wilson fumbles (forced by Ed Oliver), recovered by Matt Milano at NYJ-15, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Aaron Rodgers pass complete short left to Garrett Wilson for -10 yards. Garrett Wilson fumbles (forced by Ed Oliver), recovered by Matt Milano at NYJ-15",0.94,-4.58,17.0,2024,247
3.0,1:08,1.0,10.0,NYJ 15,0.0,26.0,"Josh Allen pass incomplete short right intended for Dawson Knox (defended by Quincy Williams). Penalty on Alec Anderson: Illegal Formation, 5 yards (declined)",4.58,3.95,17.0,2024,247
3.0,1:03,2.0,10.0,NYJ 15,0.0,26.0,Ty Johnson right end for 1 yard (tackle by Tony Adams and Chazz Surratt),3.95,3.24,17.0,2024,247
3.0,0:21,3.0,9.0,NYJ 14,0.0,32.0,"Josh Allen pass complete short left to Keon Coleman for 14 yards, touchdown",3.24,7.0,17.0,2024,247
3.0,0:12,,,NYJ 15,0.0,32.0,"Penalty on Solomon Thomas: Unnecessary Roughness / Defense, 8 yards (accepted) (no play)",0.0,0.0,17.0,2024,247
3.0,0:12,,,NYJ 7,0.0,33.0,Tyler Bass kicks extra point good,0.0,0.0,17.0,2024,247
3.0,0:12,,,BUF 35,0.0,33.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,247
3.0,0:12,1.0,10.0,NYJ 30,0.0,33.0,Aaron Rodgers pass incomplete short left intended for Davante Adams,0.94,0.39,17.0,2024,247
3.0,0:06,2.0,10.0,NYJ 30,0.0,33.0,Aaron Rodgers sacked by Ed Oliver for -12 yards,0.39,-2.12,17.0,2024,247
4.0,15:00,3.0,22.0,NYJ 18,0.0,33.0,Aaron Rodgers pass complete short right to Breece Hall for 8 yards (tackle by Ed Oliver and Cameron Lewis),-2.12,-1.63,17.0,2024,247
4.0,14:29,4.0,14.0,NYJ 26,0.0,33.0,"Thomas Morstead punts 46 yards, returned by Brandon Codrington for 7 yards (tackle by Isaiah Davis)",-1.63,-1.27,17.0,2024,247
4.0,14:15,1.0,10.0,BUF 35,0.0,33.0,Ray Davis right end for -2 yards (tackle by Bruce Hector),1.27,0.45,17.0,2024,247
4.0,13:32,2.0,12.0,BUF 33,0.0,33.0,Ray Davis right end for -2 yards (tackle by Jamien Sherwood and Bruce Hector),0.45,-0.49,17.0,2024,247
4.0,12:48,3.0,14.0,BUF 31,0.0,39.0,"Mitchell Trubisky pass complete short left to Tyrell Shavers for 69 yards, touchdown",-0.49,7.0,17.0,2024,247
4.0,12:37,,,NYJ 15,0.0,40.0,Tyler Bass kicks extra point good,0.0,0.0,17.0,2024,247
4.0,12:37,,,BUF 35,0.0,40.0,"Tyler Bass kicks off 65 yards, touchback.. Penalty on Marcelino McCrary-Ball: Illegal Formation, 5 yards (accepted)",0.0,0.61,17.0,2024,247
4.0,12:37,1.0,10.0,NYJ 25,0.0,40.0,Braelon Allen right guard for 6 yards (tackle by Dorian Williams and Joe Andreessen),0.61,0.87,17.0,2024,247
4.0,12:08,2.0,4.0,NYJ 31,0.0,40.0,Tyrod Taylor pass complete short left to Tyler Conklin for 5 yards (tackle by Dorian Williams and Joe Andreessen),0.87,1.33,17.0,2024,247
4.0,11:38,1.0,10.0,NYJ 36,0.0,40.0,Tyrod Taylor scrambles left tackle for 6 yards (tackle by Quinton Jefferson),1.33,1.6,17.0,2024,247
4.0,10:55,2.0,4.0,NYJ 42,0.0,40.0,Braelon Allen left guard for 11 yards (tackle by Joe Andreessen),1.6,2.46,17.0,2024,247
4.0,10:27,1.0,10.0,BUF 47,0.0,40.0,Tyrod Taylor pass complete short right to Davante Adams for 3 yards (tackle by Brandon Codrington),2.46,2.32,17.0,2024,247
4.0,10:02,2.0,7.0,BUF 44,0.0,40.0,Tyrod Taylor pass complete short right to Allen Lazard for 9 yards (tackle by Taylor Rapp),2.32,3.25,17.0,2024,247
4.0,9:35,1.0,10.0,BUF 35,0.0,40.0,Tyrod Taylor pass complete short left to Isaiah Davis for 8 yards (tackle by Joe Andreessen and Dorian Williams),3.25,3.78,17.0,2024,247
4.0,9:06,2.0,2.0,BUF 27,0.0,40.0,"Tyrod Taylor aborted snap, recovered by Tyrod Taylor at BUF-35 and returned for -8 yards (tackle by A.J. Epenesa)",3.78,2.01,17.0,2024,247
4.0,8:23,,,,,,Timeout #1 by Buffalo Bills,,,17.0,2024,247
4.0,8:23,3.0,10.0,BUF 35,0.0,40.0,Tyrod Taylor pass complete short right to Garrett Wilson for 12 yards (tackle by Cole Bishop),2.01,4.04,17.0,2024,247
4.0,8:00,1.0,10.0,BUF 23,0.0,40.0,Isaiah Davis right guard for 14 yards (tackle by Brandon Codrington and Dorian Williams),4.04,5.14,17.0,2024,247
4.0,7:16,1.0,9.0,BUF 9,0.0,40.0,Tyrod Taylor pass incomplete short right intended for Garrett Wilson,5.14,4.38,17.0,2024,247
4.0,7:11,2.0,9.0,BUF 9,0.0,40.0,Tyrod Taylor pass incomplete short left,4.38,3.36,17.0,2024,247
4.0,7:04,3.0,9.0,BUF 9,6.0,40.0,"Tyrod Taylor pass complete short right to Garrett Wilson for 9 yards, touchdown",3.36,7.0,17.0,2024,247
4.0,6:59,,,BUF 2,8.0,40.0,Two Point Attempt: Tyrod Taylor pass complete to to Tyler Conklin for no gain,1.0,1.0,17.0,2024,247
4.0,6:59,,,NYJ 35,8.0,40.0,"Thomas Morstead kicks off 61 yards, returned by Ty Johnson for 45 yards (tackle by Tony Adams and Brandin Echols)",0.0,2.19,17.0,2024,247
4.0,6:51,1.0,10.0,BUF 49,8.0,40.0,Ray Davis right tackle for 3 yards (tackle by Quincy Williams and Chuck Clark),2.19,2.05,17.0,2024,247
4.0,6:12,,,,,,Timeout #2 by Buffalo Bills,,,17.0,2024,247
4.0,6:12,2.0,7.0,NYJ 48,8.0,40.0,Reggie Gilliam right guard for 4 yards (tackle by Chazz Surratt and Quincy Williams),2.05,1.88,17.0,2024,247
4.0,5:37,3.0,3.0,NYJ 44,8.0,40.0,Reggie Gilliam right guard for -1 yards (tackle by D.J. Reed and Jamien Sherwood),1.88,0.27,17.0,2024,247
4.0,4:52,4.0,4.0,NYJ 45,8.0,40.0,Ray Davis up the middle for 3 yards (tackle by Chuck Clark),0.27,-1.73,17.0,2024,247
4.0,4:44,1.0,10.0,NYJ 42,8.0,40.0,Tyrod Taylor pass complete short left to Tyler Conklin for 5 yards (tackle by Joe Andreessen),1.73,1.86,17.0,2024,247
4.0,4:39,2.0,5.0,NYJ 47,8.0,40.0,Tyrod Taylor pass complete short left to Tyler Conklin for -1 yards (tackle by Joe Andreessen),1.86,1.03,17.0,2024,247
4.0,4:09,3.0,6.0,NYJ 46,8.0,40.0,Tyrod Taylor pass complete short middle to Tyler Conklin for 10 yards (tackle by Joe Andreessen),1.03,2.65,17.0,2024,247
4.0,3:34,1.0,10.0,BUF 44,8.0,40.0,Isaiah Davis left end for 11 yards (tackle by Cole Bishop),2.65,3.38,17.0,2024,247
4.0,2:53,1.0,10.0,BUF 33,8.0,40.0,Tyrod Taylor pass incomplete short right intended for Kenny Yeboah,3.38,2.84,17.0,2024,247
4.0,2:43,2.0,10.0,BUF 33,8.0,40.0,Tyrod Taylor pass complete short right to Tyler Conklin for 3 yards (tackle by Joe Andreessen),2.84,2.54,17.0,2024,247
4.0,2:40,3.0,7.0,BUF 30,8.0,40.0,Isaiah Davis left guard for 10 yards (tackle by Dorian Williams),2.54,4.24,17.0,2024,247
