Quarter,Time,Down,ToGo,Location,DET,SFO,Detail,EPB,EPA,week,year,game_id
2.0,14:53,,,DET 15,6.0,14.0,Jake Moody kicks extra point good,0.0,0.0,17.0,2024,256
2.0,14:53,,,SFO 35,6.0,14.0,"Jake Moody kicks off 65 yards, touchback.. Penalty on Morice Norris: Illegal Formation, 5 yards (accepted)",0.0,0.61,17.0,2024,256
2.0,14:53,1.0,10.0,DET 25,6.0,14.0,Jared Goff pass complete short right to Sam LaPorta for 1 yard (tackle by Malik Mustapha),0.61,0.2,17.0,2024,256
2.0,14:20,2.0,9.0,DET 26,6.0,14.0,Jahmyr Gibbs up the middle for 6 yards (tackle by Dee Winters),0.2,0.3,17.0,2024,256
2.0,13:45,3.0,3.0,DET 32,6.0,14.0,Jared Goff pass complete short middle to Sam LaPorta for 6 yards (tackle by Fred Warner and Deommodore Lenoir),0.3,1.47,17.0,2024,256
2.0,13:02,1.0,10.0,DET 38,6.0,14.0,Jahmyr Gibbs right tackle for 7 yards (tackle by Maliek Collins),1.47,1.87,17.0,2024,256
2.0,12:26,2.0,3.0,DET 45,6.0,14.0,Jahmyr Gibbs left guard for 15 yards (tackle by Talanoa Hufanga),1.87,2.92,17.0,2024,256
2.0,11:57,1.0,10.0,SFO 40,6.0,14.0,"Jared Goff pass complete short left to Sam LaPorta for no gain (tackle by Deommodore Lenoir and Dee Winters). Penalty on Penei Sewell: Offensive Holding, 10 yards (accepted) (no play)",2.92,2.26,17.0,2024,256
2.0,11:33,1.0,20.0,SFO 50,6.0,14.0,Jared Goff sacked by Nick Bosa for -3 yards,2.26,0.62,17.0,2024,256
2.0,10:58,2.0,23.0,DET 47,6.0,14.0,Jared Goff pass complete short right to Jahmyr Gibbs for 11 yards (tackle by Fred Warner),0.62,1.42,17.0,2024,256
2.0,10:17,3.0,12.0,SFO 42,12.0,14.0,"Jared Goff pass complete short right to Amon-Ra St. Brown for 1 yard, lateral to Jameson Williams for 41 yards, touchdown",1.42,7.0,17.0,2024,256
2.0,10:09,,,SFO 15,13.0,14.0,Jake Bates kicks extra point good,0.0,0.0,17.0,2024,256
2.0,10:09,,,DET 35,13.0,14.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,256
2.0,10:09,1.0,10.0,SFO 30,13.0,14.0,Brock Purdy pass complete short left to Jauan Jennings for 9 yards (tackle by Ben Niemann),0.94,1.61,17.0,2024,256
2.0,9:38,2.0,1.0,SFO 39,13.0,14.0,Isaac Guerendo up the middle for 9 yards (tackle by Ben Niemann and Brian Branch),1.61,2.13,17.0,2024,256
2.0,9:00,1.0,10.0,SFO 48,13.0,14.0,Isaac Guerendo right tackle for 1 yard (tackle by Pat O'Connor and Jack Campbell),2.13,1.72,17.0,2024,256
2.0,8:24,2.0,9.0,SFO 49,13.0,14.0,Ricky Pearsall left end for 2 yards (tackle by Ifeatu Melifonwu),1.72,1.29,17.0,2024,256
2.0,7:47,3.0,7.0,DET 49,13.0,14.0,Brock Purdy pass complete deep right to Ricky Pearsall for 40 yards (tackle by Terrion Arnold),1.29,5.14,17.0,2024,256
2.0,7:02,1.0,9.0,DET 9,13.0,14.0,Isaac Guerendo left end for no gain (tackle by Ben Niemann and Jack Campbell),5.14,4.38,17.0,2024,256
2.0,6:20,2.0,9.0,DET 9,13.0,20.0,"Brock Purdy scrambles up the middle for 9 yards, touchdown",4.38,7.0,17.0,2024,256
2.0,6:13,,,DET 15,13.0,21.0,Jake Moody kicks extra point good,0.0,0.0,17.0,2024,256
2.0,6:13,,,SFO 35,13.0,21.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,256
2.0,6:13,1.0,10.0,DET 30,13.0,21.0,Jahmyr Gibbs up the middle for -2 yards (tackle by Yetur Gross-Matos),0.94,0.12,17.0,2024,256
2.0,5:39,2.0,12.0,DET 28,13.0,21.0,Jared Goff pass complete short right to Jahmyr Gibbs for 19 yards (tackle by Ji'Ayir Brown),0.12,2.06,17.0,2024,256
2.0,5:05,1.0,10.0,DET 47,13.0,21.0,Jared Goff pass incomplete short right,2.06,1.52,17.0,2024,256
2.0,4:59,2.0,10.0,DET 47,13.0,21.0,Jared Goff pass complete short right to Jahmyr Gibbs for 7 yards (tackle by Deommodore Lenoir),1.52,1.75,17.0,2024,256
2.0,4:25,3.0,3.0,SFO 46,13.0,21.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards (tackle by Dee Winters),1.75,2.79,17.0,2024,256
2.0,3:50,1.0,10.0,SFO 42,13.0,21.0,Craig Reynolds right guard for 9 yards (tackle by Dee Winters and Renardo Green),2.79,3.46,17.0,2024,256
2.0,3:10,2.0,1.0,SFO 33,13.0,21.0,Craig Reynolds left guard for 4 yards (tackle by Fred Warner),3.46,3.64,17.0,2024,256
2.0,2:27,1.0,10.0,SFO 29,13.0,21.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 14 yards (tackle by Isaac Yiadom),3.64,4.58,17.0,2024,256
2.0,2:00,1.0,10.0,SFO 15,13.0,21.0,Jahmyr Gibbs up the middle for no gain (tackle by Dee Winters),4.58,3.95,17.0,2024,256
2.0,1:30,2.0,10.0,SFO 15,13.0,21.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Fred Warner and Nick Bosa),3.95,4.0,17.0,2024,256
2.0,1:24,,,,,,Timeout #1 by San Francisco 49ers,,,17.0,2024,256
2.0,1:24,3.0,5.0,SFO 10,13.0,21.0,Jahmyr Gibbs right tackle for 2 yards (tackle by Dee Winters and Renardo Green),4.0,2.98,17.0,2024,256
2.0,1:18,,,,,,Timeout #2 by San Francisco 49ers,,,17.0,2024,256
2.0,1:18,4.0,3.0,SFO 8,13.0,21.0,Jared Goff pass incomplete short right intended for Sam LaPorta (defended by Renardo Green),2.98,0.38,17.0,2024,256
2.0,1:13,1.0,10.0,SFO 8,13.0,21.0,Brock Purdy pass incomplete deep right,-0.38,-0.78,17.0,2024,256
2.0,1:04,2.0,10.0,SFO 8,13.0,21.0,Brock Purdy pass complete deep left to Isaac Guerendo for 40 yards (tackle by Jalen Reeves-Maybin),-0.78,2.13,17.0,2024,256
2.0,0:35,1.0,10.0,SFO 48,13.0,21.0,Brock Purdy pass complete short left to Isaac Guerendo for 8 yards (tackle by Josh Paschal),2.13,2.66,17.0,2024,256
2.0,0:33,2.0,2.0,DET 44,13.0,21.0,Brock Purdy pass complete short left to Ricky Pearsall for 6 yards (tackle by Terrion Arnold),2.66,3.05,17.0,2024,256
2.0,0:28,1.0,10.0,DET 38,13.0,21.0,"Brock Purdy pass complete short right to Jauan Jennings for 8 yards. Jauan Jennings fumbles, ball out of bounds at DET-30 (forced by Amik Robertson). Jauan Jennings fumbles out of bounds",3.05,3.59,17.0,2024,256
2.0,0:21,2.0,2.0,DET 30,13.0,21.0,Brock Purdy spiked the ball,3.59,2.87,17.0,2024,256
2.0,0:20,3.0,2.0,DET 30,13.0,21.0,"Brock Purdy pass complete short left to George Kittle for no gain (tackle by Amik Robertson). Penalty on Jacob Cowing: Offensive Pass Interference, 10 yards (accepted) (no play)",2.87,1.55,17.0,2024,256
2.0,0:11,3.0,12.0,DET 40,13.0,21.0,Brock Purdy pass complete short right to George Kittle for 7 yards (tackle by Ifeatu Melifonwu),1.55,1.17,17.0,2024,256
2.0,0:07,4.0,5.0,DET 33,13.0,21.0,Jake Moody 51 yard field goal no good,1.17,-1.66,17.0,2024,256
2.0,0:02,1.0,10.0,DET 41,13.0,21.0,Jared Goff kneels for -1 yards,1.66,0.99,17.0,2024,256
3.0,15:00,,,SFO 35,13.0,21.0,"Jake Moody kicks off 65 yards, returned by Tom Kennedy for 34 yards (tackle by Demetrius Flannigan-Fowles and Brayden Willis)",0.0,1.2,17.0,2024,256
3.0,14:55,1.0,10.0,DET 34,13.0,21.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 13 yards (tackle by Isaac Yiadom),1.2,2.06,17.0,2024,256
3.0,14:25,1.0,10.0,DET 47,13.0,21.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Deommodore Lenoir),2.06,2.33,17.0,2024,256
3.0,13:50,2.0,4.0,SFO 47,13.0,21.0,Jahmyr Gibbs right tackle for -1 yards (tackle by Nick Bosa),2.33,1.49,17.0,2024,256
3.0,13:12,3.0,5.0,SFO 48,13.0,21.0,Jared Goff pass complete short middle to Jameson Williams for 12 yards (tackle by Renardo Green),1.49,3.18,17.0,2024,256
3.0,12:34,1.0,10.0,SFO 36,13.0,21.0,Jahmyr Gibbs right end for -1 yards (tackle by Nick Bosa),3.18,2.5,17.0,2024,256
3.0,11:55,2.0,11.0,SFO 37,13.0,21.0,Jahmyr Gibbs left guard for 6 yards (tackle by Sam Okuayinonu),2.5,2.61,17.0,2024,256
3.0,11:17,3.0,5.0,SFO 31,13.0,21.0,Jared Goff pass complete deep left to Allen Robinson for 21 yards (tackle by Isaac Yiadom),2.61,4.91,17.0,2024,256
3.0,10:48,1.0,10.0,SFO 10,13.0,21.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown,4.91,4.19,17.0,2024,256
3.0,10:42,2.0,10.0,SFO 10,13.0,21.0,Jahmyr Gibbs up the middle for 4 yards (tackle by Isaac Yiadom),4.19,4.04,17.0,2024,256
3.0,10:02,3.0,6.0,SFO 6,19.0,21.0,"Jared Goff pass complete short middle to Sam LaPorta for 6 yards, touchdown",4.04,7.0,17.0,2024,256
3.0,9:58,,,SFO 2,21.0,21.0,Two Point Attempt: Jared Goff pass complete to to Tim Patrick for no gain,1.0,1.0,17.0,2024,256
3.0,9:58,,,DET 35,21.0,21.0,"Jake Bates kicks off 65 yards, returned by Deebo Samuel for 26 yards (tackle by Sione Vaki). Penalty on Brayden Willis: Offensive Holding, 10 yards (accepted)",0.0,-0.14,17.0,2024,256
3.0,9:52,1.0,10.0,SFO 16,21.0,21.0,Brock Purdy pass complete short middle to Jauan Jennings for 13 yards (tackle by Kerby Joseph),-0.14,0.87,17.0,2024,256
3.0,9:18,1.0,10.0,SFO 29,21.0,21.0,Isaac Guerendo right guard for 5 yards (tackle by Jack Campbell),0.87,1.0,17.0,2024,256
3.0,8:54,2.0,5.0,SFO 34,21.0,21.0,Brock Purdy pass complete deep middle to Ricky Pearsall for 39 yards (tackle by Kerby Joseph),1.0,3.78,17.0,2024,256
3.0,8:23,1.0,10.0,DET 27,21.0,21.0,Brock Purdy pass complete short left to George Kittle for 22 yards (tackle by Brian Branch),3.78,6.06,17.0,2024,256
3.0,7:52,1.0,5.0,DET 5,21.0,21.0,Brock Purdy pass incomplete short right,6.06,5.15,17.0,2024,256
3.0,7:44,2.0,5.0,DET 5,21.0,27.0,"Brock Purdy pass complete short middle to Deebo Samuel for 5 yards, touchdown",5.15,7.0,17.0,2024,256
3.0,7:40,,,DET 15,21.0,28.0,Jake Moody kicks extra point good,0.0,0.0,17.0,2024,256
3.0,7:40,,,SFO 35,21.0,28.0,"Jake Moody kicks off 60 yards, returned by Tom Kennedy for 25 yards (tackle by Tatum Bethune)",0.0,0.94,17.0,2024,256
3.0,7:34,1.0,10.0,DET 30,21.0,28.0,Jared Goff pass complete short right to Jahmyr Gibbs for 9 yards (tackle by Demetrius Flannigan-Fowles),0.94,1.61,17.0,2024,256
3.0,6:54,2.0,1.0,DET 39,21.0,28.0,Jared Goff pass complete deep middle to Sam LaPorta for 28 yards (tackle by Talanoa Hufanga),1.61,3.38,17.0,2024,256
3.0,6:25,1.0,10.0,SFO 33,21.0,28.0,Craig Reynolds up the middle for 2 yards (tackle by Alex Barrett),3.38,3.11,17.0,2024,256
3.0,5:49,2.0,8.0,SFO 31,21.0,28.0,Jared Goff pass complete short left to Jameson Williams for 5 yards (tackle by Deommodore Lenoir and Jalen Graham),3.11,3.07,17.0,2024,256
3.0,5:13,3.0,3.0,SFO 26,21.0,28.0,Jared Goff sacked by Nick Bosa for -13 yards,3.07,0.66,17.0,2024,256
3.0,4:31,4.0,16.0,SFO 39,24.0,28.0,Jake Bates 57 yard field goal good,0.66,3.0,17.0,2024,256
3.0,4:25,,,DET 35,24.0,28.0,"Jake Bates kicks off 69 yards, returned by Deebo Samuel for 37 yards (tackle by Craig Reynolds)",0.0,1.14,17.0,2024,256
3.0,4:19,1.0,10.0,SFO 33,24.0,28.0,"Brock Purdy pass deep left is intercepted by Kerby Joseph at DET-39 and returned for no gain. Penalty on Brian Branch: Defensive Pass Interference, 17 yards (accepted) (no play)",1.14,2.26,17.0,2024,256
3.0,4:11,1.0,10.0,SFO 50,24.0,28.0,Brock Purdy pass deep middle intended for Ricky Pearsall is intercepted by Kerby Joseph at DET-31 and returned for 26 yards (tackle by Charlie Heck),2.26,-2.72,17.0,2024,256
3.0,3:58,1.0,10.0,SFO 43,24.0,28.0,Jared Goff pass complete short right to Jameson Williams for 8 yards (tackle by Deommodore Lenoir),2.72,3.26,17.0,2024,256
3.0,3:27,2.0,2.0,SFO 35,24.0,28.0,Jared Goff pass complete short right to Craig Reynolds for 9 yards (tackle by Sam Okuayinonu),3.26,3.84,17.0,2024,256
3.0,2:44,1.0,10.0,SFO 26,24.0,28.0,Craig Reynolds left guard for 6 yards (tackle by Talanoa Hufanga and Isaac Yiadom),3.84,4.11,17.0,2024,256
3.0,1:58,2.0,4.0,SFO 20,24.0,28.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 13 yards (tackle by Malik Mustapha),4.11,5.6,17.0,2024,256
3.0,1:16,1.0,7.0,SFO 7,24.0,28.0,Jermar Jefferson left end for 3 yards (tackle by Deommodore Lenoir and Dee Winters),5.6,5.34,17.0,2024,256
3.0,0:34,2.0,4.0,SFO 4,24.0,28.0,Jared Goff pass incomplete short right intended for Jameson Williams,5.34,4.49,17.0,2024,256
3.0,0:26,3.0,4.0,SFO 4,24.0,28.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,4.49,3.03,17.0,2024,256
3.0,0:22,4.0,4.0,SFO 4,30.0,28.0,"Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards, touchdown",3.03,7.0,17.0,2024,256
3.0,0:19,,,SFO 15,31.0,28.0,Jake Bates kicks extra point good,0.0,0.0,17.0,2024,256
3.0,0:19,,,DET 35,31.0,28.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,256
3.0,0:19,1.0,10.0,SFO 30,31.0,28.0,Brock Purdy pass complete short middle to George Kittle for 9 yards (tackle by Brian Branch),0.94,1.61,17.0,2024,256
4.0,15:00,2.0,1.0,SFO 39,31.0,28.0,Isaac Guerendo up the middle for 3 yards (tackle by Jack Campbell),1.61,1.73,17.0,2024,256
4.0,14:22,1.0,10.0,SFO 42,31.0,28.0,Brock Purdy pass complete deep middle to George Kittle for 18 yards (tackle by Ifeatu Melifonwu),1.73,2.92,17.0,2024,256
4.0,13:45,1.0,10.0,DET 40,31.0,28.0,Ricky Pearsall pass incomplete short right,2.92,2.37,17.0,2024,256
4.0,13:38,2.0,10.0,DET 40,31.0,28.0,Brock Purdy pass incomplete short middle intended for Kyle Juszczyk,2.37,1.68,17.0,2024,256
4.0,13:34,3.0,10.0,DET 40,31.0,28.0,Brock Purdy pass incomplete short left intended for Jauan Jennings (defended by Amik Robertson),1.68,0.59,17.0,2024,256
4.0,13:30,4.0,10.0,DET 40,31.0,28.0,Jake Moody 58 yard field goal no good,0.59,-2.13,17.0,2024,256
4.0,13:25,1.0,10.0,DET 48,31.0,28.0,Jahmyr Gibbs right end for 3 yards (tackle by Malik Mustapha),2.13,1.99,17.0,2024,256
4.0,12:49,2.0,7.0,SFO 49,31.0,28.0,Jahmyr Gibbs right guard for 4 yards (tackle by Nick Bosa and Jordan Elliott),1.99,1.82,17.0,2024,256
4.0,12:07,3.0,3.0,SFO 45,31.0,28.0,Jared Goff pass incomplete short left intended for Sam LaPorta,1.82,0.27,17.0,2024,256
4.0,12:03,4.0,3.0,SFO 45,31.0,28.0,Jared Goff pass complete short left to Sam LaPorta for 19 yards (tackle by Talanoa Hufanga),0.27,3.84,17.0,2024,256
4.0,11:24,1.0,10.0,SFO 26,31.0,28.0,Craig Reynolds up the middle for 2 yards (tackle by Nick Bosa),3.84,3.57,17.0,2024,256
4.0,10:44,2.0,8.0,SFO 24,31.0,28.0,Jared Goff pass incomplete short right intended for Jameson Williams,3.57,2.87,17.0,2024,256
4.0,10:37,3.0,8.0,SFO 24,31.0,28.0,Jared Goff pass incomplete short left intended for Jameson Williams,2.87,1.87,17.0,2024,256
4.0,10:34,4.0,8.0,SFO 24,34.0,28.0,Jake Bates 42 yard field goal good,1.87,3.0,17.0,2024,256
4.0,10:29,,,DET 35,34.0,28.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,256
4.0,10:29,1.0,10.0,SFO 30,34.0,28.0,Brock Purdy sacked by Myles Adams for -5 yards,0.94,-0.28,17.0,2024,256
4.0,9:41,2.0,15.0,SFO 25,34.0,28.0,"Penalty on Brock Purdy: Delay of Game, 5 yards (accepted) (no play)",-0.28,-0.96,17.0,2024,256
4.0,9:29,2.0,20.0,SFO 20,34.0,28.0,Brock Purdy pass complete deep right to Ricky Pearsall for 15 yards,-0.96,0.37,17.0,2024,256
4.0,9:07,3.0,5.0,SFO 35,34.0,28.0,Brock Purdy pass complete short left to Ricky Pearsall for 14 yards (tackle by Jack Campbell),0.37,2.19,17.0,2024,256
4.0,8:27,1.0,10.0,SFO 49,34.0,28.0,"Brock Purdy pass complete deep left to George Kittle for no gain (tackle by Ifeatu Melifonwu). Penalty on Austen Pleasants: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.19,1.86,17.0,2024,256
4.0,8:04,1.0,15.0,SFO 44,34.0,28.0,"Brock Purdy pass complete short left to Jauan Jennings for 5 yards (tackle by Terrion Arnold). Penalty on Brian Branch: Unnecessary Roughness / Defense, 15 yards (accepted)",1.86,3.18,17.0,2024,256
4.0,7:42,1.0,10.0,DET 36,34.0,28.0,Brock Purdy pass short middle intended for Ricky Pearsall is intercepted by Kerby Joseph at DET-25 and returned for 13 yards (tackle by Deebo Samuel),3.18,-1.47,17.0,2024,256
4.0,7:34,1.0,10.0,DET 38,34.0,28.0,Jahmyr Gibbs up the middle for 8 yards (tackle by Dee Winters and Jalen Graham),1.47,2.0,17.0,2024,256
4.0,6:50,2.0,2.0,DET 46,34.0,28.0,Jahmyr Gibbs left guard for 4 yards (tackle by Nick Bosa and Deommodore Lenoir),2.0,2.26,17.0,2024,256
4.0,6:07,1.0,10.0,DET 50,34.0,28.0,Craig Reynolds left end for 4 yards (tackle by Deommodore Lenoir),2.26,2.25,17.0,2024,256
4.0,5:21,2.0,6.0,SFO 46,34.0,28.0,Jared Goff pass complete short right to Jameson Williams for 8 yards (tackle by Renardo Green),2.25,3.05,17.0,2024,256
4.0,4:36,1.0,10.0,SFO 38,34.0,28.0,Craig Reynolds up the middle for 4 yards (tackle by Ji'Ayir Brown and Fred Warner),3.05,3.05,17.0,2024,256
4.0,3:51,2.0,6.0,SFO 34,34.0,28.0,Jared Goff pass complete short right to Sam LaPorta for 4 yards (tackle by Talanoa Hufanga),3.05,2.87,17.0,2024,256
4.0,3:06,3.0,2.0,SFO 30,40.0,28.0,"Jahmyr Gibbs right end for 30 yards, touchdown",2.87,7.0,17.0,2024,256
4.0,2:58,,,SFO 15,40.0,28.0,Jake Bates kicks extra point no good,0.0,-1.0,17.0,2024,256
4.0,2:58,,,DET 35,40.0,28.0,"Jake Bates kicks off 65 yards, returned by Deebo Samuel for 28 yards. Deebo Samuel fumbles (tackle by Zeke Turner, recovered by Tatum Bethune at SF-28",0.0,0.81,17.0,2024,256
4.0,2:52,1.0,10.0,SFO 28,40.0,28.0,Brock Purdy pass complete short middle to George Kittle for 7 yards (tackle by Ifeatu Melifonwu),0.81,1.21,17.0,2024,256
4.0,2:36,2.0,3.0,SFO 35,40.0,28.0,Brock Purdy pass complete short right to Isaac Guerendo for 12 yards (tackle by Terrion Arnold),1.21,2.06,17.0,2024,256
4.0,2:30,1.0,10.0,SFO 47,40.0,28.0,Brock Purdy pass incomplete deep right intended for Jauan Jennings,2.06,1.52,17.0,2024,256
4.0,2:22,2.0,10.0,SFO 47,40.0,28.0,Brock Purdy pass complete short left to Jauan Jennings for 8 yards (tackle by Terrion Arnold and Trevor Nowaske),1.52,1.88,17.0,2024,256
4.0,2:00,3.0,2.0,DET 45,40.0,28.0,Brock Purdy pass complete short right to Ricky Pearsall for 10 yards (tackle by Brian Branch and Jack Campbell),1.88,3.25,17.0,2024,256
4.0,1:46,1.0,10.0,DET 35,40.0,28.0,Brock Purdy sacked by Brian Branch for -7 yards,3.25,1.76,17.0,2024,256
4.0,1:36,,,,,,Timeout #1 by San Francisco 49ers,,,17.0,2024,256
4.0,1:36,2.0,17.0,DET 42,40.0,28.0,Joshua Dobbs pass complete short right to Jauan Jennings for 15 yards (tackle by Jalen Reeves-Maybin),1.76,3.07,17.0,2024,256
4.0,1:19,3.0,2.0,DET 27,40.0,28.0,Joshua Dobbs pass complete short left to Jauan Jennings for 9 yards (tackle by Amik Robertson),3.07,4.37,17.0,2024,256
4.0,1:08,1.0,10.0,DET 18,40.0,28.0,Joshua Dobbs pass complete short middle to George Kittle for 11 yards (tackle by Trevor Nowaske),4.37,5.6,17.0,2024,256
4.0,0:54,,,,,,Timeout #2 by San Francisco 49ers,,,17.0,2024,256
4.0,0:54,1.0,7.0,DET 7,40.0,28.0,Joshua Dobbs pass incomplete short right intended for Jauan Jennings,5.6,4.76,17.0,2024,256
4.0,0:50,2.0,7.0,DET 7,40.0,34.0,"Joshua Dobbs scrambles right end for 7 yards, touchdown",4.76,7.0,17.0,2024,256
4.0,0:43,,,DET 15,40.0,34.0,Jake Moody kicks extra point no good,0.0,-1.0,17.0,2024,256
4.0,0:43,,,SFO 35,40.0,34.0,"Jake Moody kicks onside 15 yards, out of bounds. Penalty on Jake Moody: Kickoff Out of Bounds (accepted)",0.0,2.26,17.0,2024,256
