Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA,week,year,game_id
2.0,7:17,1.0,10.0,NWE 34,10.0,0.0,Derius Davis right end for -3 yards (tackle by Isaiah Bolden),3.31,2.37,17.0,2024,244
2.0,6:31,2.0,13.0,NWE 37,10.0,0.0,Justin Herbert pass complete short middle to Ladd McConkey for 10 yards (tackle by Alex Austin),2.37,3.01,17.0,2024,244
2.0,5:48,3.0,3.0,NWE 27,10.0,0.0,Hassan Haskins right end for 8 yards (tackle by Kyle Dugger),3.01,4.31,17.0,2024,244
2.0,5:06,1.0,10.0,NWE 19,10.0,0.0,Justin Herbert pass complete short right to J.K. Dobbins for 7 yards (tackle by Davon Godchaux),4.31,4.92,17.0,2024,244
2.0,4:22,2.0,3.0,NWE 12,10.0,0.0,Hassan Haskins right guard for 2 yards (tackle by Eric Johnson and Davon Godchaux),4.92,4.69,17.0,2024,244
2.0,3:42,3.0,1.0,NWE 10,10.0,0.0,Hassan Haskins up the middle for 4 yards (tackle by Sione Takitaki),4.69,5.83,17.0,2024,244
2.0,3:00,1.0,6.0,NWE 6,16.0,0.0,"Justin Herbert pass complete short middle to Ladd McConkey for 6 yards, touchdown",5.83,7.0,17.0,2024,244
2.0,2:55,,,NWE 15,17.0,0.0,Cameron Dicker kicks extra point good,0.0,0.0,17.0,2024,244
2.0,2:55,,,LAC 35,17.0,0.0,"Cameron Dicker kicks off 63 yards, returned by Alex Erickson for 25 yards (tackle by Kendall Williamson)",0.0,0.74,17.0,2024,244
2.0,2:47,1.0,10.0,NWE 27,17.0,0.0,Antonio Gibson up the middle for 3 yards (tackle by Teair Tart and Elijah Molden),0.74,0.6,17.0,2024,244
2.0,2:15,2.0,7.0,NWE 30,17.0,0.0,Drake Maye pass complete short middle to Kendrick Bourne for 18 yards (tackle by Tarheeb Still),0.6,2.13,17.0,2024,244
2.0,2:00,1.0,10.0,NWE 48,17.0,0.0,Drake Maye pass complete short left to Kendrick Bourne for 4 yards (tackle by Kristian Fulton),2.13,2.12,17.0,2024,244
2.0,1:56,2.0,6.0,LAC 48,17.0,0.0,Drake Maye scrambles up the middle for 12 yards (tackle by Elijah Molden),2.12,3.18,17.0,2024,244
2.0,1:31,1.0,10.0,LAC 36,17.0,6.0,"Drake Maye pass complete deep middle to Demario Douglas for 36 yards, touchdown. Penalty on Bud Dupree: Defensive Offside, 5 yards (declined)",3.18,7.0,17.0,2024,244
2.0,1:24,,,LAC 15,17.0,7.0,Joey Slye kicks extra point good,0.0,0.0,17.0,2024,244
2.0,1:24,,,NWE 35,17.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,244
2.0,1:24,1.0,10.0,LAC 30,17.0,7.0,Justin Herbert pass complete short right to Ladd McConkey for 4 yards (tackle by Isaiah Bolden),0.94,0.93,17.0,2024,244
2.0,1:01,2.0,6.0,LAC 34,17.0,7.0,Justin Herbert pass complete short middle to Josh Palmer for 15 yards (tackle by Isaiah Bolden and Kyle Dugger),0.93,2.19,17.0,2024,244
2.0,0:42,1.0,10.0,LAC 49,17.0,7.0,Justin Herbert pass incomplete deep right intended for Kimani Vidal,2.19,1.65,17.0,2024,244
2.0,0:32,2.0,10.0,LAC 49,17.0,7.0,Justin Herbert scrambles up the middle for 7 yards (tackle by Christian Elliss),1.65,1.88,17.0,2024,244
2.0,0:28,,,,,,Timeout #2 by Los Angeles Chargers,,,17.0,2024,244
2.0,0:28,3.0,3.0,NWE 44,17.0,7.0,Justin Herbert pass incomplete deep left intended for Josh Palmer,1.88,0.33,17.0,2024,244
2.0,0:23,4.0,3.0,NWE 44,17.0,7.0,Justin Herbert pass complete short middle to Stone Smartt for 9 yards (tackle by Christian Elliss),0.33,3.25,17.0,2024,244
2.0,0:17,,,,,,Timeout #3 by Los Angeles Chargers,,,17.0,2024,244
2.0,0:17,1.0,10.0,NWE 35,17.0,7.0,"Justin Herbert pass incomplete short right. Penalty on Yannick Ngakoue: Roughing the Passer, 15 yards (accepted) (no play)",3.25,4.24,17.0,2024,244
2.0,0:11,,,,,,Timeout #1 by New England Patriots,,,17.0,2024,244
2.0,0:11,1.0,10.0,NWE 20,17.0,7.0,Justin Herbert pass incomplete deep right intended for Quentin Johnston,4.24,3.69,17.0,2024,244
2.0,0:06,2.0,10.0,NWE 20,20.0,7.0,Cameron Dicker 38 yard field goal good,3.69,3.0,17.0,2024,244
2.0,0:02,,,LAC 35,20.0,7.0,"Cameron Dicker kicks off 62 yards, returned by Antonio Gibson for 17 yards (tackle by Kendall Williamson and Shaquille Quarterman). Penalty on Jamycal Hasty: Offensive Illegal Block Above the Waist (accepted)",0.0,1.27,17.0,2024,244
3.0,15:00,,,LAC 35,20.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,244
3.0,15:00,1.0,10.0,NWE 30,20.0,7.0,"Drake Maye pass complete short right to Rhamondre Stevenson for no gain (tackle by Daiyan Henley). Penalty on Hunter Henry: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,17.0,2024,244
3.0,14:43,1.0,20.0,NWE 20,20.0,7.0,Drake Maye pass complete short left to Kayshon Boutte for 9 yards (tackle by Kristian Fulton),0.28,0.26,17.0,2024,244
3.0,14:04,2.0,11.0,NWE 29,20.0,7.0,Drake Maye scrambles right end for 2 yards (tackle by Troy Dye),0.26,-0.16,17.0,2024,244
3.0,13:23,3.0,9.0,NWE 31,20.0,7.0,Drake Maye pass incomplete short middle intended for Kendrick Bourne,-0.16,-1.31,17.0,2024,244
3.0,13:19,4.0,9.0,NWE 31,20.0,7.0,"Bryce Baringer punts 62 yards, returned by Derius Davis for 5 yards, touchdown. Penalty on Kendall Williamson: Offensive Illegal Block Above the Waist, 15 yards (declined) . Penalty on Ja'Sir Taylor: Offensive Holding, 6 yards (accepted)",-1.31,0.38,17.0,2024,244
3.0,12:57,1.0,10.0,LAC 6,20.0,7.0,J.K. Dobbins right guard for 5 yards (tackle by Jahlani Tavai),-0.38,-0.42,17.0,2024,244
3.0,12:16,2.0,5.0,LAC 11,20.0,7.0,Justin Herbert pass incomplete short right intended for Will Dissly,-0.42,-0.84,17.0,2024,244
3.0,12:10,3.0,5.0,LAC 11,20.0,7.0,Justin Herbert pass complete short right to Quentin Johnston for 7 yards (tackle by Jonathan Jones),-0.84,0.04,17.0,2024,244
3.0,11:49,1.0,10.0,LAC 18,20.0,7.0,J.K. Dobbins left tackle for 2 yards (tackle by Sione Takitaki and Jeremiah Pharms),0.04,-0.13,17.0,2024,244
3.0,11:08,2.0,8.0,LAC 20,20.0,7.0,Justin Herbert pass complete short left to Will Dissly for 14 yards (tackle by Jonathan Jones),-0.13,1.2,17.0,2024,244
3.0,10:29,1.0,10.0,LAC 34,20.0,7.0,J.K. Dobbins up the middle for 3 yards (tackle by Jahlani Tavai and Daniel Ekuale),1.2,1.06,17.0,2024,244
3.0,9:49,2.0,7.0,LAC 37,20.0,7.0,Justin Herbert pass complete short right to Ladd McConkey for 4 yards (tackle by Marte Mapu),1.06,0.89,17.0,2024,244
3.0,9:04,3.0,3.0,LAC 41,20.0,7.0,Justin Herbert pass complete short left to Josh Palmer for 19 yards (tackle by Kyle Dugger),0.89,2.92,17.0,2024,244
3.0,8:23,1.0,10.0,NWE 40,20.0,7.0,Hassan Haskins up the middle for no gain (tackle by Daniel Ekuale and Davon Godchaux),2.92,2.37,17.0,2024,244
3.0,7:43,2.0,10.0,NWE 40,26.0,7.0,"Justin Herbert pass complete deep right to Ladd McConkey for 40 yards, touchdown",2.37,7.0,17.0,2024,244
3.0,7:37,,,NWE 15,27.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,17.0,2024,244
3.0,7:37,,,LAC 35,27.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,244
3.0,7:37,1.0,10.0,NWE 30,27.0,7.0,Antonio Gibson left guard for 2 yards (tackle by Troy Dye),0.94,0.66,17.0,2024,244
3.0,7:18,2.0,8.0,NWE 32,27.0,7.0,Drake Maye pass complete short right to Kayshon Boutte for 7 yards (tackle by Tarheeb Still),0.66,0.89,17.0,2024,244
3.0,6:56,3.0,1.0,NWE 39,27.0,7.0,Antonio Gibson left end for -1 yards (tackle by Kristian Fulton and Elijah Molden),0.89,-0.85,17.0,2024,244
3.0,6:13,4.0,2.0,NWE 38,27.0,7.0,Drake Maye sacked by Derwin James for -15 yards,-0.85,-4.04,17.0,2024,244
3.0,6:02,1.0,10.0,NWE 23,27.0,7.0,Justin Herbert pass incomplete deep right intended for Ladd McConkey,4.04,3.5,17.0,2024,244
3.0,5:57,2.0,10.0,NWE 23,27.0,7.0,Justin Herbert pass incomplete short left intended for DJ Chark,3.5,2.81,17.0,2024,244
3.0,5:53,3.0,10.0,NWE 23,27.0,7.0,Justin Herbert pass incomplete deep right intended for Quentin Johnston,2.81,1.93,17.0,2024,244
3.0,5:47,4.0,10.0,NWE 23,30.0,7.0,Cameron Dicker 41 yard field goal good,1.93,3.0,17.0,2024,244
3.0,5:43,,,LAC 35,30.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,244
3.0,5:43,1.0,10.0,NWE 30,30.0,7.0,Drake Maye scrambles left end for 6 yards (tackle by Kristian Fulton),0.94,1.2,17.0,2024,244
3.0,5:13,2.0,4.0,NWE 36,30.0,7.0,Drake Maye pass complete short right to Austin Hooper for 9 yards (tackle by Troy Dye),1.2,1.93,17.0,2024,244
3.0,4:47,1.0,10.0,NWE 45,30.0,7.0,Drake Maye pass incomplete short middle,1.93,1.38,17.0,2024,244
3.0,4:41,2.0,10.0,NWE 45,30.0,7.0,Drake Maye pass incomplete deep middle intended for Kayshon Boutte,1.38,0.7,17.0,2024,244
3.0,4:36,3.0,10.0,NWE 45,30.0,7.0,Drake Maye pass complete short middle to Demario Douglas for 11 yards (tackle by Elijah Molden),0.7,2.65,17.0,2024,244
3.0,4:10,1.0,10.0,LAC 44,30.0,7.0,Drake Maye pass complete short left to Kayshon Boutte for 5 yards (tackle by Kristian Fulton),2.65,2.78,17.0,2024,244
3.0,3:49,2.0,5.0,LAC 39,30.0,7.0,Drake Maye pass incomplete short right intended for Hunter Henry,2.78,2.08,17.0,2024,244
3.0,3:43,3.0,5.0,LAC 39,30.0,7.0,Drake Maye sacked by Khalil Mack for -7 yards,2.08,0.2,17.0,2024,244
3.0,3:12,4.0,12.0,LAC 46,30.0,7.0,"Drake Maye pass incomplete short left intended for Kayshon Boutte. Penalty on Cam Hart: Defensive Pass Interference, 12 yards (accepted) (no play)",0.2,3.31,17.0,2024,244
3.0,3:04,1.0,10.0,LAC 34,30.0,7.0,Drake Maye scrambles right end for 3 yards (tackle by Tarheeb Still),3.31,3.18,17.0,2024,244
3.0,2:36,2.0,7.0,LAC 31,30.0,7.0,Drake Maye pass incomplete short left intended for Antonio Gibson,3.18,2.48,17.0,2024,244
3.0,2:26,3.0,7.0,LAC 31,30.0,7.0,Drake Maye pass incomplete short left intended for Hunter Henry (defended by Khalil Mack),2.48,1.32,17.0,2024,244
3.0,2:22,4.0,7.0,LAC 31,30.0,7.0,Drake Maye sacked by Derwin James for -6 yards,1.32,-1.4,17.0,2024,244
3.0,2:18,1.0,10.0,LAC 37,30.0,7.0,Justin Herbert pass complete short right to Quentin Johnston for 7 yards (tackle by Marte Mapu),1.4,1.8,17.0,2024,244
3.0,1:37,2.0,3.0,LAC 44,30.0,7.0,Justin Herbert pass incomplete short left intended for DJ Chark (defended by Alex Austin),1.8,1.09,17.0,2024,244
3.0,1:36,3.0,3.0,LAC 44,30.0,7.0,"J.K. Dobbins right end for 13 yards (tackle by Keion White). Penalty on Keion White: Horse Collar Tackle, 15 yards (accepted)",1.09,3.71,17.0,2024,244
3.0,1:05,1.0,10.0,NWE 28,30.0,7.0,J.K. Dobbins up the middle for 8 yards (tackle by Isaiah Bolden and Sione Takitaki),3.71,4.25,17.0,2024,244
3.0,0:17,2.0,2.0,NWE 20,30.0,7.0,J.K. Dobbins right end for no gain (tackle by Eric Johnson and Yannick Ngakoue),4.25,3.53,17.0,2024,244
4.0,15:00,3.0,2.0,NWE 20,30.0,7.0,J.K. Dobbins left guard for 8 yards (tackle by Jahlani Tavai),3.53,4.78,17.0,2024,244
4.0,14:19,1.0,10.0,NWE 12,30.0,7.0,J.K. Dobbins left end for 4 yards (tackle by Jonathan Jones and Christian Elliss),4.78,4.83,17.0,2024,244
4.0,13:37,2.0,6.0,NWE 8,30.0,7.0,J.K. Dobbins left guard for 2 yards (tackle by Davon Godchaux),4.83,4.38,17.0,2024,244
4.0,12:51,3.0,4.0,NWE 6,30.0,7.0,Justin Herbert scrambles left guard for 4 yards (tackle by Sione Takitaki),4.38,6.74,17.0,2024,244
4.0,12:01,1.0,2.0,NWE 2,36.0,7.0,"J.K. Dobbins up the middle for 2 yards, touchdown",6.74,7.0,17.0,2024,244
4.0,11:58,,,NWE 15,37.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,17.0,2024,244
4.0,11:58,,,LAC 35,37.0,7.0,"Cameron Dicker kicks off 68 yards, returned by Alex Erickson for 31 yards (tackle by Tuli Tuipulotu)",0.0,0.81,17.0,2024,244
4.0,11:53,1.0,10.0,NWE 28,37.0,7.0,Drake Maye pass complete short right to Austin Hooper for 5 yards (tackle by Junior Colson),0.81,0.94,17.0,2024,244
4.0,11:34,2.0,5.0,NWE 33,37.0,7.0,"Drake Maye pass complete short left to Demario Douglas for no gain (tackle by Eddie Jackson). Penalty on Cole Strange: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.94,0.26,17.0,2024,244
4.0,11:15,2.0,10.0,NWE 28,37.0,7.0,Drake Maye pass incomplete short middle intended for Rhamondre Stevenson,0.26,-0.43,17.0,2024,244
4.0,11:10,3.0,10.0,NWE 28,37.0,7.0,Drake Maye pass incomplete short right intended for Kendrick Bourne,-0.43,-1.5,17.0,2024,244
4.0,11:06,4.0,10.0,NWE 28,37.0,7.0,"Bryce Baringer punts 64 yards, returned by Derius Davis for 13 yards (tackle by Dell Pettus)",-1.5,-0.34,17.0,2024,244
4.0,10:54,1.0,10.0,LAC 21,37.0,7.0,Hassan Haskins up the middle for 5 yards (tackle by Davon Godchaux and Keion White),0.34,0.48,17.0,2024,244
4.0,10:12,2.0,5.0,LAC 26,37.0,7.0,Taylor Heinicke scrambles left end for 8 yards (tackle by Marte Mapu),0.48,1.2,17.0,2024,244
4.0,9:25,1.0,10.0,LAC 34,37.0,7.0,Hassan Haskins up the middle for 6 yards (tackle by Daniel Ekuale),1.2,1.47,17.0,2024,244
4.0,8:38,2.0,4.0,LAC 40,37.0,7.0,Kimani Vidal up the middle for 5 yards (tackle by Davon Godchaux and Sione Takitaki),1.47,1.93,17.0,2024,244
4.0,7:52,1.0,10.0,LAC 45,37.0,7.0,Kimani Vidal left guard for 1 yard (tackle by Marte Mapu),1.93,1.52,17.0,2024,244
4.0,7:07,2.0,9.0,LAC 46,37.0,7.0,Hassan Haskins up the middle for 3 yards (tackle by Kyle Dugger),1.52,1.22,17.0,2024,244
4.0,6:34,3.0,6.0,LAC 49,37.0,7.0,Taylor Heinicke pass incomplete short left intended for DJ Chark,1.22,-0.13,17.0,2024,244
4.0,6:25,4.0,6.0,LAC 49,37.0,7.0,"Penalty on JK Scott: Delay of Game, 5 yards (accepted) (no play)",-0.13,-0.46,17.0,2024,244
4.0,6:25,4.0,11.0,LAC 44,37.0,7.0,"JK Scott punts 39 yards, fair catch by Alex Erickson at NE-17",-0.46,0.06,17.0,2024,244
4.0,6:17,1.0,10.0,NWE 17,37.0,7.0,Drake Maye pass incomplete short left intended for Javon Baker (defended by Cam Hart),-0.06,-0.58,17.0,2024,244
4.0,6:14,2.0,10.0,NWE 17,37.0,7.0,Antonio Gibson up the middle for 4 yards (tackle by Bud Dupree),-0.58,-0.75,17.0,2024,244
4.0,5:39,3.0,6.0,NWE 21,37.0,7.0,Drake Maye pass incomplete deep right intended for Ja'Lynn Polk (defended by Deane Leonard),-0.75,-1.96,17.0,2024,244
4.0,5:32,4.0,6.0,NWE 21,37.0,7.0,Drake Maye pass complete short right to Austin Hooper for 5 yards (tackle by Tony Jefferson),-1.96,-3.84,17.0,2024,244
4.0,5:25,1.0,10.0,NWE 26,37.0,7.0,Hassan Haskins up the middle for 2 yards (tackle by Davon Godchaux and Dell Pettus),3.84,3.57,17.0,2024,244
4.0,4:41,2.0,8.0,NWE 24,37.0,7.0,Taylor Heinicke pass incomplete short right intended for Kimani Vidal,3.57,2.87,17.0,2024,244
4.0,4:35,3.0,8.0,NWE 24,37.0,7.0,Kimani Vidal right tackle for 7 yards (tackle by Jahlani Tavai),2.87,2.46,17.0,2024,244
4.0,3:51,4.0,1.0,NWE 17,40.0,7.0,Cameron Dicker 35 yard field goal good,2.46,3.0,17.0,2024,244
4.0,3:47,,,LAC 35,40.0,7.0,"Cameron Dicker kicks off 69 yards, returned by Alex Erickson for 34 yards (tackle by Hassan Haskins)",0.0,0.94,17.0,2024,244
4.0,3:39,1.0,10.0,NWE 30,40.0,7.0,Antonio Gibson up the middle for 3 yards (tackle by Otito Ogbonnia and Teair Tart),0.94,0.8,17.0,2024,244
4.0,3:00,2.0,7.0,NWE 33,40.0,7.0,Antonio Gibson up the middle for 4 yards (tackle by Junior Colson and Otito Ogbonnia),0.8,0.63,17.0,2024,244
4.0,2:18,3.0,3.0,NWE 37,40.0,7.0,Antonio Gibson up the middle for 7 yards (tackle by Scott Matlock),0.63,1.86,17.0,2024,244
4.0,2:00,1.0,10.0,NWE 44,40.0,7.0,Jacoby Brissett pass complete short right to Demario Douglas for -2 yards (tackle by Deane Leonard),1.86,1.05,17.0,2024,244
4.0,1:16,2.0,12.0,NWE 42,40.0,7.0,Antonio Gibson up the middle for 14 yards (tackle by Junior Colson and Tony Jefferson),1.05,2.65,17.0,2024,244
4.0,0:40,1.0,10.0,LAC 44,40.0,7.0,Antonio Gibson right end for 20 yards (tackle by Tony Jefferson),2.65,3.97,17.0,2024,244
4.0,0:39,1.0,10.0,LAC 24,40.0,7.0,Antonio Gibson up the middle for 5 yards (tackle by Otito Ogbonnia and Bud Dupree),3.97,4.12,17.0,2024,244
