Quarter,Time,Down,ToGo,Location,KAN,PIT,Detail,EPB,EPA,week,year,game_id
1.0,8:38,2.0,8.0,PIT 25,6.0,0.0,Najee Harris right end for 10 yards (tackle by Christian Roland-Wallace),0.2,1.27,17.0,2024,241
1.0,8:03,1.0,10.0,PIT 35,6.0,0.0,Najee Harris left guard for 2 yards (tackle by Drue Tranquill),1.27,0.99,17.0,2024,241
1.0,7:22,2.0,8.0,PIT 37,6.0,0.0,Russell Wilson sacked by George Karlaftis for -10 yards,0.99,-1.02,17.0,2024,241
1.0,6:50,3.0,18.0,PIT 27,6.0,0.0,Russell Wilson pass incomplete deep left intended for George Pickens,-1.02,-1.57,17.0,2024,241
1.0,6:45,4.0,18.0,PIT 27,6.0,0.0,"Corliss Waitman punts 58 yards, returned by Nikko Remigio for 7 yards. Nikko Remigio fumbles (forced by Mark Robinson), recovered by Deon Bush at KC-21 (tackle by Mark Robinson)",-1.57,-0.34,17.0,2024,241
1.0,6:33,1.0,10.0,KAN 21,6.0,0.0,Kareem Hunt left tackle for -1 yards (tackle by T.J. Watt),0.34,-0.34,17.0,2024,241
1.0,6:03,2.0,11.0,KAN 20,6.0,0.0,Patrick Mahomes pass incomplete short right intended for Marquise Brown,-0.34,-1.02,17.0,2024,241
1.0,5:59,3.0,11.0,KAN 20,6.0,0.0,"Patrick Mahomes pass complete short left to Samaje Perine for 14 yards (tackle by Patrick Queen). Penalty on James Pierre: Defensive Holding, 5 yards (declined)",-1.02,1.2,17.0,2024,241
1.0,5:32,1.0,10.0,KAN 34,6.0,0.0,Patrick Mahomes pass complete deep right to Justin Watson for 49 yards (tackle by Donte Jackson),1.2,4.44,17.0,2024,241
1.0,4:47,1.0,10.0,PIT 17,6.0,0.0,Patrick Mahomes pass incomplete deep right intended for DeAndre Hopkins (defended by James Pierre),4.44,3.85,17.0,2024,241
1.0,4:43,2.0,10.0,PIT 17,6.0,0.0,Xavier Worthy left end for 6 yards (tackle by Cameron Heyward),3.85,4.1,17.0,2024,241
1.0,4:05,3.0,4.0,PIT 11,12.0,0.0,"Patrick Mahomes pass complete short right to Justin Watson for 11 yards, touchdown",4.1,7.0,17.0,2024,241
1.0,4:00,,,PIT 15,13.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,17.0,2024,241
1.0,4:00,,,KAN 35,13.0,0.0,"Harrison Butker kicks off 60 yards, returned by Cordarrelle Patterson for 18 yards (tackle by Cam Jones)",0.0,0.48,17.0,2024,241
1.0,3:53,1.0,10.0,PIT 23,13.0,0.0,Russell Wilson pass complete deep left to George Pickens for 41 yards (tackle by Trent McDuffie),0.48,3.18,17.0,2024,241
1.0,3:23,1.0,10.0,KAN 36,13.0,0.0,Jaylen Warren left tackle for 22 yards (tackle by Nick Bolton),3.18,4.65,17.0,2024,241
1.0,2:57,1.0,10.0,KAN 14,13.0,0.0,Jaylen Warren right guard for 6 yards (tackle by Christian Roland-Wallace and Nick Bolton),4.65,5.09,17.0,2024,241
1.0,2:21,2.0,4.0,KAN 8,13.0,0.0,"Jaylen Warren up the middle for no gain, touchdown. Penalty on Darnell Washington: Offensive Holding, 10 yards (accepted) (no play)",5.09,3.48,17.0,2024,241
1.0,2:16,2.0,14.0,KAN 18,13.0,0.0,Russell Wilson pass deep middle intended for Pat Freiermuth is intercepted by Justin Reid in end zone and returned for no gain,3.48,-0.28,17.0,2024,241
1.0,2:09,1.0,10.0,KAN 20,13.0,0.0,Patrick Mahomes pass complete short right to Xavier Worthy for 6 yards (tackle by Cameron Sutton),0.28,0.54,17.0,2024,241
1.0,1:34,2.0,4.0,KAN 26,13.0,0.0,Isiah Pacheco right guard for 2 yards (tackle by T.J. Watt and Elandon Roberts),0.54,0.1,17.0,2024,241
1.0,0:55,3.0,2.0,KAN 28,13.0,0.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce (defended by T.J. Watt),0.1,-1.5,17.0,2024,241
1.0,0:48,4.0,2.0,KAN 28,13.0,0.0,"Matt Araiza punts 58 yards, returned by Calvin Austin for 14 yards (tackle by James Winchester and Noah Gray)",-1.5,-0.81,17.0,2024,241
1.0,0:36,1.0,10.0,PIT 28,13.0,0.0,Najee Harris left end for 4 yards (tackle by Felix Anudike-Uzomah),0.81,0.8,17.0,2024,241
2.0,15:00,2.0,6.0,PIT 32,13.0,0.0,Russell Wilson pass complete short left to George Pickens for 7 yards (tackle by Trent McDuffie),0.8,1.53,17.0,2024,241
2.0,14:27,1.0,10.0,PIT 39,13.0,0.0,Russell Wilson pass complete short middle to Darnell Washington for 8 yards (tackle by Nick Bolton and Drue Tranquill),1.53,2.07,17.0,2024,241
2.0,14:04,2.0,2.0,PIT 47,13.0,0.0,Jaylen Warren up the middle for 5 yards (tackle by Drue Tranquill and Nick Bolton),2.07,2.39,17.0,2024,241
2.0,13:29,1.0,10.0,KAN 48,13.0,0.0,Russell Wilson pass complete short right to Pat Freiermuth for 15 yards (tackle by Jaden Hicks),2.39,3.38,17.0,2024,241
2.0,12:59,1.0,10.0,KAN 33,13.0,0.0,Jaylen Warren right end for 11 yards (tackle by Jaden Hicks),3.38,4.11,17.0,2024,241
2.0,12:27,1.0,10.0,KAN 22,13.0,0.0,Jaylen Warren up the middle for 2 yards (tackle by Nazeeh Johnson),4.11,3.83,17.0,2024,241
2.0,11:54,2.0,8.0,KAN 20,13.0,0.0,Russell Wilson pass incomplete short right,3.83,3.14,17.0,2024,241
2.0,11:47,3.0,8.0,KAN 20,13.0,0.0,Russell Wilson pass complete short left to Pat Freiermuth for 15 yards (tackle by Justin Reid),3.14,6.06,17.0,2024,241
2.0,11:13,1.0,5.0,KAN 5,13.0,0.0,Jaylen Warren right guard for 4 yards (tackle by Michael Danna and Christian Roland-Wallace),6.06,5.91,17.0,2024,241
2.0,10:35,2.0,1.0,KAN 1,13.0,6.0,"Russell Wilson scrambles left end for 1 yard, touchdown",5.91,7.0,17.0,2024,241
2.0,10:28,,,KAN 15,13.0,7.0,Chris Boswell kicks extra point good,0.0,0.0,17.0,2024,241
2.0,10:28,,,PIT 35,13.0,7.0,"Chris Boswell kicks off 59 yards, returned by Nikko Remigio for 25 yards (tackle by Connor Heyward)",0.0,1.0,17.0,2024,241
2.0,10:23,1.0,10.0,KAN 31,13.0,7.0,Patrick Mahomes pass complete short left to Marquise Brown for 3 yards (tackle by Elandon Roberts),1.0,0.87,17.0,2024,241
2.0,9:48,2.0,7.0,KAN 34,13.0,7.0,Patrick Mahomes pass incomplete deep right intended for Marquise Brown,0.87,0.17,17.0,2024,241
2.0,9:44,3.0,7.0,KAN 34,13.0,7.0,Patrick Mahomes pass complete short right to Xavier Worthy for 13 yards (tackle by Cameron Sutton),0.17,2.06,17.0,2024,241
2.0,9:08,1.0,10.0,KAN 47,13.0,7.0,Patrick Mahomes pass complete short left to Marquise Brown for 14 yards (tackle by Donte Jackson),2.06,2.98,17.0,2024,241
2.0,8:33,1.0,10.0,PIT 39,13.0,7.0,Isiah Pacheco left guard for no gain (tackle by Alex Highsmith),2.98,2.44,17.0,2024,241
2.0,7:55,2.0,10.0,PIT 39,13.0,7.0,Patrick Mahomes pass complete short middle to Travis Kelce for 6 yards (tackle by Cory Trice),2.44,2.54,17.0,2024,241
2.0,7:14,3.0,4.0,PIT 33,13.0,7.0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 3 yards (tackle by Patrick Queen),2.54,1.52,17.0,2024,241
2.0,6:36,4.0,1.0,PIT 30,13.0,7.0,"Patrick Mahomes pass complete short middle to Travis Kelce for no gain (tackle by Minkah Fitzpatrick). Penalty on Jawaan Taylor: Offensive Holding, 10 yards (accepted) (no play)",1.52,0.59,17.0,2024,241
2.0,6:14,,,,,,Timeout #1 by Pittsburgh Steelers,,,17.0,2024,241
2.0,6:14,4.0,11.0,PIT 40,13.0,7.0,"Matt Araiza punts 40 yards, touchback.",0.59,-0.28,17.0,2024,241
2.0,6:06,1.0,10.0,PIT 20,13.0,7.0,Russell Wilson pass complete short right to Calvin Austin for 1 yard (tackle by Trent McDuffie),0.28,-0.13,17.0,2024,241
2.0,5:36,2.0,9.0,PIT 21,13.0,7.0,Najee Harris left guard for 2 yards (tackle by George Karlaftis),-0.13,-0.56,17.0,2024,241
2.0,4:55,3.0,7.0,PIT 23,13.0,7.0,Russell Wilson scrambles up the middle for 12 yards (tackle by Christian Roland-Wallace),-0.56,1.27,17.0,2024,241
2.0,4:10,1.0,10.0,PIT 35,13.0,7.0,Russell Wilson pass complete short left to Jaylen Warren for 7 yards (tackle by Christian Roland-Wallace and Joshua Williams),1.27,1.67,17.0,2024,241
2.0,3:30,2.0,3.0,PIT 42,13.0,7.0,Najee Harris left guard for no gain (tackle by Drue Tranquill),1.67,0.96,17.0,2024,241
2.0,2:48,3.0,3.0,PIT 42,13.0,7.0,Cordarrelle Patterson left guard for 2 yards (tackle by Joshua Williams and Drue Tranquill),0.96,-0.46,17.0,2024,241
2.0,2:17,4.0,1.0,PIT 44,13.0,7.0,"Corliss Waitman punts downed by Christian Kuntz. Penalty on Derrick Nnadi: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",-0.46,2.19,17.0,2024,241
2.0,2:07,1.0,10.0,PIT 49,13.0,7.0,Jaylen Warren up the middle for -1 yards (tackle by Michael Danna),2.19,1.51,17.0,2024,241
2.0,2:00,2.0,11.0,PIT 48,13.0,7.0,Russell Wilson pass complete short left to George Pickens for 2 yards (tackle by Justin Reid),1.51,1.09,17.0,2024,241
2.0,1:18,3.0,9.0,KAN 50,13.0,7.0,Russell Wilson pass incomplete deep left intended for Mike Williams (defended by Joshua Williams),1.09,-0.06,17.0,2024,241
2.0,1:11,4.0,9.0,KAN 50,13.0,7.0,"Corliss Waitman punts 31 yards, returned by Nikko Remigio for 2 yards (tackle by Miles Killebrew)",-0.06,-0.34,17.0,2024,241
2.0,1:04,1.0,10.0,KAN 21,13.0,7.0,Samaje Perine right tackle for no gain (tackle by Payton Wilson),0.34,-0.2,17.0,2024,241
2.0,0:49,2.0,10.0,KAN 21,13.0,7.0,Patrick Mahomes pass complete short right to Samaje Perine for 6 yards (tackle by Payton Wilson),-0.2,-0.1,17.0,2024,241
2.0,0:43,3.0,4.0,KAN 27,13.0,7.0,Patrick Mahomes pass complete short middle to Xavier Worthy for 1 yard (tackle by Minkah Fitzpatrick),-0.1,-1.5,17.0,2024,241
2.0,0:38,,,,,,Timeout #2 by Pittsburgh Steelers,,,17.0,2024,241
2.0,0:38,4.0,3.0,KAN 28,13.0,7.0,"Matt Araiza punts 72 yards, touchback.",-1.5,-0.28,17.0,2024,241
2.0,0:31,1.0,10.0,PIT 20,13.0,7.0,Russell Wilson pass complete short right to Pat Freiermuth for 2 yards (tackle by Justin Reid),0.28,0.0,17.0,2024,241
2.0,0:12,2.0,8.0,PIT 22,13.0,7.0,"Russell Wilson pass complete deep right to Mike Williams for 22 yards (tackle by Trent McDuffie) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Russell Wilson pass incomplete deep right intended for Mike Williams (defended by Trent McDuffie)",0.0,-0.69,17.0,2024,241
2.0,0:08,3.0,8.0,PIT 22,13.0,7.0,Jaylen Warren right guard for 12 yards (tackle by Nick Bolton),-0.69,1.2,17.0,2024,241
3.0,15:00,,,PIT 35,13.0,7.0,"Chris Boswell kicks off 63 yards, returned by Nikko Remigio for 31 yards (tackle by James Pierre)",0.0,1.14,17.0,2024,241
3.0,14:51,1.0,10.0,KAN 33,13.0,7.0,Patrick Mahomes pass complete short right to Xavier Worthy for 15 yards (tackle by DeShon Elliott),1.14,2.13,17.0,2024,241
3.0,14:18,1.0,10.0,KAN 48,13.0,7.0,Isiah Pacheco up the middle for 5 yards (tackle by Patrick Queen),2.13,2.26,17.0,2024,241
3.0,13:48,2.0,5.0,PIT 47,13.0,7.0,Patrick Mahomes pass complete short left to Xavier Worthy for 21 yards (tackle by DeShon Elliott),2.26,3.84,17.0,2024,241
3.0,13:13,1.0,10.0,PIT 26,13.0,7.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 13 yards (tackle by Donte Jackson),3.84,4.71,17.0,2024,241
3.0,12:40,1.0,10.0,PIT 13,13.0,7.0,Patrick Mahomes pass incomplete short left intended for Marquise Brown,4.71,4.05,17.0,2024,241
3.0,12:36,2.0,10.0,PIT 13,13.0,7.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce (defended by Alex Highsmith),4.05,3.12,17.0,2024,241
3.0,12:27,3.0,10.0,PIT 13,13.0,7.0,"Patrick Mahomes pass incomplete short right intended for Travis Kelce. Penalty on Jawaan Taylor: Offensive Holding, 10 yards (offset) . Penalty on Cameron Sutton: Roughing the Passer, 15 yards (offset) (no play)",3.12,3.12,17.0,2024,241
3.0,12:27,3.0,10.0,PIT 13,13.0,7.0,Patrick Mahomes pass incomplete short left intended for Travis Kelce,3.12,2.57,17.0,2024,241
3.0,12:24,4.0,10.0,PIT 13,16.0,7.0,Harrison Butker 32 yard field goal good,2.57,3.0,17.0,2024,241
3.0,12:21,,,KAN 35,16.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,241
3.0,12:21,1.0,10.0,PIT 30,16.0,7.0,Russell Wilson sacked by Michael Danna for -6 yards,0.94,-0.42,17.0,2024,241
3.0,11:46,2.0,16.0,PIT 24,16.0,7.0,Russell Wilson pass complete short left to Najee Harris for 2 yards (tackle by Christian Roland-Wallace),-0.42,-0.82,17.0,2024,241
3.0,11:04,3.0,14.0,PIT 26,16.0,7.0,Russell Wilson pass complete short left to Calvin Austin for 14 yards (tackle by Nazeeh Johnson),-0.82,1.6,17.0,2024,241
3.0,10:34,1.0,10.0,PIT 40,16.0,7.0,Jaylen Warren left guard for 1 yard (tackle by Drue Tranquill),1.6,1.19,17.0,2024,241
3.0,9:57,2.0,9.0,PIT 41,16.0,7.0,Russell Wilson pass incomplete short middle intended for Calvin Austin (defended by George Karlaftis),1.19,0.5,17.0,2024,241
3.0,9:49,3.0,9.0,PIT 41,16.0,7.0,Russell Wilson scrambles right tackle for 15 yards (tackle by Christian Roland-Wallace),0.5,2.65,17.0,2024,241
3.0,9:07,1.0,10.0,KAN 44,16.0,7.0,Russell Wilson pass complete short left to Pat Freiermuth for 6 yards (tackle by Christian Roland-Wallace and Nazeeh Johnson),2.65,2.92,17.0,2024,241
3.0,8:31,2.0,4.0,KAN 38,16.0,7.0,Russell Wilson pass complete short left to Jaylen Warren for 21 yards (tackle by Felix Anudike-Uzomah),2.92,4.44,17.0,2024,241
3.0,8:01,1.0,10.0,KAN 17,16.0,7.0,Jaylen Warren left guard for no gain (tackle by Nick Bolton and Bryan Cook),4.44,3.85,17.0,2024,241
3.0,7:24,2.0,10.0,KAN 17,16.0,7.0,Russell Wilson pass complete short left to Najee Harris for 5 yards (tackle by Keith Taylor),3.85,3.88,17.0,2024,241
3.0,6:42,3.0,5.0,KAN 12,16.0,7.0,Russell Wilson sacked by Tershawn Wharton for -11 yards,3.88,1.93,17.0,2024,241
3.0,6:00,4.0,16.0,KAN 23,16.0,7.0,"Chris Boswell yard field goal no good. Penalty on Justin Reid: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.93,2.25,17.0,2024,241
3.0,5:49,4.0,11.0,KAN 18,16.0,10.0,Chris Boswell 36 yard field goal good,2.25,3.0,17.0,2024,241
3.0,5:45,,,PIT 35,16.0,10.0,"Chris Boswell kicks off 64 yards, returned by Nikko Remigio for 22 yards (tackle by Jeremiah Moon)",0.0,0.48,17.0,2024,241
3.0,5:40,1.0,10.0,KAN 23,16.0,10.0,"Xavier Worthy left end for 4 yards (tackle by Alex Highsmith and DeShon Elliott). Penalty on JuJu Smith-Schuster: Offensive Holding, 10 yards (accepted)",0.48,-0.13,17.0,2024,241
3.0,5:16,1.0,16.0,KAN 17,16.0,10.0,Patrick Mahomes pass complete short middle to Travis Kelce for 7 yards (tackle by Larry Ogunjobi),-0.13,0.07,17.0,2024,241
3.0,4:32,2.0,9.0,KAN 24,16.0,10.0,"Penalty on Jawaan Taylor: False Start, 5 yards (accepted) (no play)",0.07,-0.67,17.0,2024,241
3.0,4:11,2.0,14.0,KAN 19,16.0,10.0,Patrick Mahomes pass complete short middle to Marquise Brown for 17 yards (tackle by Minkah Fitzpatrick),-0.67,1.33,17.0,2024,241
3.0,3:41,1.0,10.0,KAN 36,16.0,10.0,Patrick Mahomes pass complete short left to Xavier Worthy for 5 yards (tackle by Minkah Fitzpatrick),1.33,1.47,17.0,2024,241
3.0,3:05,2.0,5.0,KAN 41,16.0,10.0,Patrick Mahomes pass complete short left to Marquise Brown for 12 yards (tackle by Cory Trice),1.47,2.46,17.0,2024,241
3.0,2:43,1.0,10.0,PIT 47,16.0,10.0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 4 yards (tackle by Cameron Sutton),2.46,2.45,17.0,2024,241
3.0,2:09,2.0,6.0,PIT 43,16.0,10.0,Patrick Mahomes pass complete short middle to Travis Kelce for 19 yards (tackle by DeShon Elliott and Minkah Fitzpatrick),2.45,3.97,17.0,2024,241
3.0,1:33,1.0,10.0,PIT 24,16.0,10.0,Patrick Mahomes pass complete short right to Xavier Worthy for 11 yards (tackle by Minkah Fitzpatrick),3.97,4.71,17.0,2024,241
3.0,0:57,1.0,10.0,PIT 13,16.0,10.0,Patrick Mahomes pass complete short right to Travis Kelce for 7 yards (tackle by Payton Wilson),4.71,5.34,17.0,2024,241
3.0,0:22,2.0,3.0,PIT 6,16.0,10.0,Kareem Hunt right tackle for 4 yards (tackle by Cameron Heyward and Montravius Adams),5.34,6.74,17.0,2024,241
4.0,15:00,1.0,2.0,PIT 2,22.0,10.0,"Kareem Hunt right guard for 2 yards, touchdown",6.74,7.0,17.0,2024,241
4.0,14:56,,,PIT 2,22.0,10.0,Two Point Attempt: Patrick Mahomes pass incomplete intended for. Interception by Cory Trice,1.0,-1.0,17.0,2024,241
4.0,14:56,,,KAN 35,22.0,10.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,241
4.0,14:56,1.0,10.0,PIT 30,22.0,10.0,Russell Wilson pass incomplete short right intended for Najee Harris (defended by Nick Bolton),0.94,0.39,17.0,2024,241
4.0,14:51,2.0,10.0,PIT 30,22.0,10.0,Russell Wilson sacked by Felix Anudike-Uzomah for -5 yards,0.39,-0.96,17.0,2024,241
4.0,14:14,3.0,15.0,PIT 25,22.0,10.0,"Russell Wilson pass complete short right to Pat Freiermuth for 10 yards. Pat Freiermuth fumbles (forced by Trent McDuffie), recovered by Nick Bolton at PIT-34 (tackle by Trent McDuffie)",-0.96,-3.31,17.0,2024,241
4.0,14:02,1.0,10.0,PIT 34,22.0,10.0,Isiah Pacheco right guard for 2 yards (tackle by Keeanu Benton),3.31,3.04,17.0,2024,241
4.0,13:26,2.0,8.0,PIT 32,22.0,10.0,Patrick Mahomes pass complete short middle to Travis Kelce for 20 yards (tackle by Elandon Roberts),3.04,4.78,17.0,2024,241
4.0,12:48,1.0,10.0,PIT 12,22.0,10.0,Patrick Mahomes pass incomplete short right intended for Xavier Worthy (defended by Cameron Sutton),4.78,4.1,17.0,2024,241
4.0,12:44,2.0,10.0,PIT 12,28.0,10.0,"Patrick Mahomes pass complete short right to Travis Kelce for 12 yards, touchdown",4.1,7.0,17.0,2024,241
4.0,12:38,,,PIT 15,28.0,10.0,"Penalty on Travis Kelce: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",0.0,0.0,17.0,2024,241
4.0,12:38,,,PIT 30,29.0,10.0,Harrison Butker kicks extra point good,0.0,0.0,17.0,2024,241
4.0,12:38,,,KAN 35,29.0,10.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,241
4.0,12:38,1.0,10.0,PIT 30,29.0,10.0,Jaylen Warren left end for 9 yards (tackle by Michael Danna and Jaden Hicks),0.94,1.61,17.0,2024,241
4.0,12:17,2.0,1.0,PIT 39,29.0,10.0,Russell Wilson pass complete short middle to Jaylen Warren for 9 yards (tackle by Drue Tranquill),1.61,2.13,17.0,2024,241
4.0,11:59,1.0,10.0,PIT 48,29.0,10.0,Russell Wilson pass complete short middle to Pat Freiermuth for 5 yards (tackle by Justin Reid),2.13,2.26,17.0,2024,241
4.0,11:41,2.0,5.0,KAN 47,29.0,10.0,Russell Wilson pass complete short right to Jaylen Warren for 1 yard (tackle by Justin Reid),2.26,1.68,17.0,2024,241
4.0,11:20,3.0,4.0,KAN 46,29.0,10.0,Russell Wilson scrambles left end for 14 yards (tackle by Bryan Cook),1.68,3.45,17.0,2024,241
4.0,10:46,1.0,10.0,KAN 32,29.0,10.0,Russell Wilson pass incomplete short right intended for Jaylen Warren,3.45,2.9,17.0,2024,241
4.0,10:40,2.0,10.0,KAN 32,29.0,10.0,"Russell Wilson pass complete short left to George Pickens for no gain (tackle by Justin Reid). Penalty on Connor Heyward: Offensive Offside, 5 yards (accepted) (no play)",2.9,2.23,17.0,2024,241
4.0,10:14,2.0,15.0,KAN 37,29.0,10.0,Russell Wilson pass incomplete short left intended for Van Jefferson,2.23,1.55,17.0,2024,241
4.0,10:09,3.0,15.0,KAN 37,29.0,10.0,Russell Wilson pass incomplete short left intended for George Pickens (defended by Nick Bolton),1.55,0.79,17.0,2024,241
4.0,10:05,4.0,15.0,KAN 37,29.0,10.0,"Penalty on George Pickens: False Start, 5 yards (accepted) (no play)",0.79,0.46,17.0,2024,241
4.0,10:05,4.0,20.0,KAN 42,29.0,10.0,Russell Wilson pass incomplete deep left intended for George Pickens (defended by Jaden Hicks),0.46,-1.73,17.0,2024,241
4.0,9:58,1.0,10.0,KAN 42,29.0,10.0,"Penalty on Jaden Hicks: Taunting / Offense, 15 yards (accepted) (no play)",1.73,0.74,17.0,2024,241
4.0,9:58,1.0,10.0,KAN 27,29.0,10.0,Kareem Hunt right end for 6 yards (tackle by Larry Ogunjobi and Keeanu Benton),0.74,1.07,17.0,2024,241
4.0,9:19,2.0,4.0,KAN 34,29.0,10.0,Patrick Mahomes pass complete short right to Travis Kelce for 9 yards (tackle by Cory Trice),1.07,1.73,17.0,2024,241
4.0,8:35,1.0,10.0,KAN 42,29.0,10.0,Kareem Hunt right tackle for 5 yards (tackle by T.J. Watt and Isaiahh Loudermilk),1.73,1.86,17.0,2024,241
4.0,7:55,2.0,5.0,KAN 47,29.0,10.0,Patrick Mahomes pass incomplete short middle intended for DeAndre Hopkins (defended by Cory Trice),1.86,1.16,17.0,2024,241
4.0,7:53,3.0,5.0,KAN 47,29.0,10.0,"Patrick Mahomes scrambles right end for no gain (tackle by Cory Trice and Patrick Queen). Penalty on Jawaan Taylor: Offensive Holding, 10 yards (accepted) (no play)",1.16,-0.16,17.0,2024,241
4.0,7:26,3.0,15.0,KAN 37,29.0,10.0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 5 yards (tackle by Patrick Queen and Payton Wilson),-0.16,-0.59,17.0,2024,241
4.0,6:45,4.0,10.0,KAN 42,29.0,10.0,"Matt Araiza punts 44 yards, returned by Calvin Austin for no gain (tackle by Jaden Hicks and James Winchester)",-0.59,0.28,17.0,2024,241
4.0,6:32,1.0,10.0,PIT 14,29.0,10.0,Najee Harris up the middle for 8 yards (tackle by Drue Tranquill),-0.28,0.42,17.0,2024,241
4.0,6:17,2.0,2.0,PIT 22,29.0,10.0,Russell Wilson pass incomplete short left intended for George Pickens (defended by Joshua Williams),0.42,-0.44,17.0,2024,241
4.0,6:09,3.0,2.0,PIT 22,29.0,10.0,Russell Wilson pass incomplete short right intended for Najee Harris,-0.44,-1.9,17.0,2024,241
4.0,6:01,4.0,2.0,PIT 22,29.0,10.0,"Corliss Waitman punts 49 yards, fair catch by Nikko Remigio at KC-29",-1.9,-0.87,17.0,2024,241
4.0,5:54,1.0,10.0,KAN 29,29.0,10.0,Kareem Hunt left guard for 2 yards (tackle by Larry Ogunjobi),0.87,0.6,17.0,2024,241
4.0,5:10,2.0,8.0,KAN 31,29.0,10.0,Kareem Hunt left tackle for -2 yards (tackle by Cameron Heyward),0.6,-0.36,17.0,2024,241
4.0,4:28,3.0,10.0,KAN 29,29.0,10.0,Samaje Perine right guard for 9 yards (tackle by Alex Highsmith),-0.36,-0.85,17.0,2024,241
4.0,3:44,4.0,1.0,KAN 38,29.0,10.0,Matt Araiza punts 55 yards downed by Swayze Bozeman,-0.85,0.38,17.0,2024,241
4.0,3:31,1.0,10.0,PIT 7,29.0,10.0,Najee Harris right tackle for 1 yard (tackle by Tershawn Wharton and Leo Chenal),-0.38,-0.71,17.0,2024,241
