Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA,week,year,game_id
2.0,2:00,3.0,2.0,NYG 25,6.0,21.0,Jonathan Taylor right guard for 12 yards (tackle by Adoree' Jackson),3.2,4.71,17.0,2024,249
2.0,1:23,1.0,10.0,NYG 13,6.0,21.0,Joe Flacco pass complete short middle to Josh Downs for 7 yards (tackle by Andru Phillips),4.71,5.34,17.0,2024,249
2.0,1:17,,,,,,Timeout #1 by New York Giants,,,17.0,2024,249
2.0,1:17,2.0,3.0,NYG 6,6.0,21.0,Jonathan Taylor up the middle for -1 yards (tackle by Brian Burns),5.34,4.33,17.0,2024,249
2.0,1:14,,,,,,Timeout #2 by New York Giants,,,17.0,2024,249
2.0,1:14,3.0,4.0,NYG 7,6.0,21.0,Jonathan Taylor right end for -1 yards (tackle by Jordon Riley and Darius Muasau),4.33,2.97,17.0,2024,249
2.0,1:07,,,,,,Timeout #3 by New York Giants,,,17.0,2024,249
2.0,1:07,4.0,5.0,NYG 8,6.0,21.0,Joe Flacco pass complete short right to Kylen Granson for 6 yards (tackle by Dane Belton),2.97,6.74,17.0,2024,249
2.0,0:27,1.0,2.0,NYG 2,6.0,21.0,Jonathan Taylor right tackle for -1 yards (tackle by Brian Burns and Elijah Garcia),6.74,5.53,17.0,2024,249
2.0,0:23,,,,,,Timeout #2 by Indianapolis Colts,,,17.0,2024,249
2.0,0:23,2.0,3.0,NYG 3,12.0,21.0,"Jonathan Taylor left tackle for 3 yards, touchdown",5.53,7.0,17.0,2024,249
2.0,0:20,,,NYG 15,13.0,21.0,Matt Gay kicks extra point good,0.0,0.0,17.0,2024,249
2.0,0:20,,,IND 35,13.0,21.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
2.0,0:20,1.0,10.0,NYG 30,13.0,21.0,Drew Lock kneels for -1 yards,0.94,0.26,17.0,2024,249
3.0,15:00,,,IND 35,13.0,27.0,"Matt Gay kicks off 65 yards, returned by Ihmir Smith-Marsette for 100 yards, touchdown",0.0,7.0,17.0,2024,249
3.0,14:48,,,IND 15,13.0,28.0,Graham Gano kicks extra point good,0.0,0.0,17.0,2024,249
3.0,14:48,,,NYG 35,13.0,28.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
3.0,14:48,1.0,10.0,IND 30,13.0,28.0,Jonathan Taylor up the middle for 5 yards (tackle by Cordale Flott),0.94,1.07,17.0,2024,249
3.0,14:14,2.0,5.0,IND 35,13.0,28.0,Joe Flacco pass complete short left to Michael Pittman for 19 yards (tackle by Deonte Banks),1.07,2.52,17.0,2024,249
3.0,13:36,1.0,10.0,NYG 46,13.0,28.0,Jonathan Taylor right end for 6 yards (tackle by Darius Muasau and Cordale Flott),2.52,2.79,17.0,2024,249
3.0,12:54,2.0,4.0,NYG 40,13.0,28.0,Jonathan Taylor up the middle for 5 yards (tackle by Dane Belton),2.79,3.25,17.0,2024,249
3.0,12:17,1.0,10.0,NYG 35,13.0,28.0,Jonathan Taylor left guard for 9 yards (tackle by Dane Belton),3.25,3.92,17.0,2024,249
3.0,11:47,2.0,1.0,NYG 26,13.0,28.0,Jonathan Taylor left tackle for no gain (tackle by Jason Pinnock and Ty Summers),3.92,3.2,17.0,2024,249
3.0,11:10,3.0,1.0,NYG 26,19.0,28.0,"Jonathan Taylor right guard for 26 yards, touchdown",3.2,7.0,17.0,2024,249
3.0,11:03,,,NYG 15,20.0,28.0,Matt Gay kicks extra point good,0.0,0.0,17.0,2024,249
3.0,11:03,,,IND 35,20.0,28.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
3.0,11:03,1.0,10.0,NYG 30,20.0,28.0,Tyrone Tracy right guard for -3 yards (tackle by Grover Stewart),0.94,-0.01,17.0,2024,249
3.0,10:28,2.0,13.0,NYG 27,20.0,28.0,Tyrone Tracy right guard for 2 yards (tackle by Nick Cross),-0.01,-0.43,17.0,2024,249
3.0,9:50,3.0,11.0,NYG 29,20.0,28.0,"Drew Lock pass complete short right to Tyrone Tracy for 1 yard. Tyrone Tracy fumbles (tackle by E.J. Speed, recovered by Jermaine Eluemunor at NYG-30",-0.43,-1.37,17.0,2024,249
3.0,8:59,4.0,10.0,NYG 30,20.0,28.0,"Jamie Gillan punts 51 yards, returned by Anthony Gould for 7 yards (tackle by Tomon Fox)",-1.37,-0.67,17.0,2024,249
3.0,8:48,1.0,10.0,IND 26,20.0,28.0,Joe Flacco pass complete short right to Michael Pittman for 9 yards (tackle by Dane Belton),0.67,1.35,17.0,2024,249
3.0,8:12,2.0,1.0,IND 35,20.0,28.0,Joe Flacco pass complete short left to Michael Pittman for 2 yards (tackle by Jason Pinnock),1.35,1.4,17.0,2024,249
3.0,7:31,1.0,10.0,IND 37,20.0,28.0,Joe Flacco pass complete deep right to Michael Pittman for 31 yards (tackle by Dane Belton),1.4,3.45,17.0,2024,249
3.0,6:46,1.0,10.0,NYG 32,20.0,28.0,Jonathan Taylor left tackle for 4 yards (tackle by Jason Pinnock and Brian Burns),3.45,3.44,17.0,2024,249
3.0,6:02,2.0,6.0,NYG 28,20.0,28.0,Jonathan Taylor right guard for 5 yards (tackle by Ty Summers and Dane Belton),3.44,3.4,17.0,2024,249
3.0,5:20,3.0,1.0,NYG 23,20.0,28.0,Jonathan Taylor left end for no gain (tackle by Darius Muasau),3.4,2.08,17.0,2024,249
3.0,4:42,4.0,1.0,NYG 23,20.0,28.0,Jonathan Taylor up the middle for no gain (tackle by Elijah Chatman and Elijah Garcia),2.08,-0.48,17.0,2024,249
3.0,4:32,1.0,10.0,NYG 23,20.0,28.0,"Penalty on Darius Slayton: False Start, 5 yards (accepted) (no play)",0.48,-0.12,17.0,2024,249
3.0,4:32,1.0,15.0,NYG 17,20.0,28.0,Drew Lock pass complete short middle to Devin Singletary for 9 yards (tackle by Zaire Franklin and Grover Stewart),-0.12,0.41,17.0,2024,249
3.0,3:54,2.0,6.0,NYG 26,20.0,28.0,Tyrone Tracy right tackle for -2 yards (tackle by Zaire Franklin and Tyquan Lewis),0.41,-0.56,17.0,2024,249
3.0,3:16,3.0,8.0,NYG 24,20.0,28.0,Drew Lock pass complete short middle to Wan'Dale Robinson for 9 yards (tackle by Zaire Franklin and Kenny Moore),-0.56,1.14,17.0,2024,249
3.0,2:36,1.0,10.0,NYG 33,20.0,28.0,"Drew Lock pass incomplete short right. Penalty on Evan Neal: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.14,0.81,17.0,2024,249
3.0,2:28,1.0,15.0,NYG 28,20.0,28.0,Drew Lock pass complete short middle to Chris Manhertz for 12 yards (tackle by Zaire Franklin and E.J. Speed),0.81,1.54,17.0,2024,249
3.0,1:45,2.0,3.0,NYG 40,20.0,28.0,Devin Singletary right guard for no gain (tackle by Raekwon Davis and DeForest Buckner),1.54,0.83,17.0,2024,249
3.0,1:03,3.0,3.0,NYG 40,20.0,28.0,Tyrone Tracy left guard for 2 yards (tackle by Nick Cross and DeForest Buckner),0.83,-0.59,17.0,2024,249
3.0,0:19,4.0,1.0,NYG 42,20.0,28.0,Tyrone Tracy left end for no gain (tackle by E.J. Speed and Jaylon Jones),-0.59,-2.85,17.0,2024,249
3.0,0:14,1.0,10.0,NYG 41,20.0,28.0,Jonathan Taylor right tackle for -1 yards (tackle by Brian Burns and Andru Phillips),2.85,2.17,17.0,2024,249
4.0,15:00,2.0,11.0,NYG 42,20.0,28.0,Joe Flacco pass incomplete deep left intended for Alec Pierce (defended by Deonte Banks),2.17,1.49,17.0,2024,249
4.0,14:55,3.0,11.0,NYG 42,20.0,28.0,Joe Flacco pass incomplete short middle intended for Josh Downs (defended by Dane Belton) (defended by Isaiah Simmons),1.49,0.46,17.0,2024,249
4.0,14:44,4.0,11.0,NYG 42,20.0,28.0,"Rigoberto Sanchez punts 32 yards, fair catch by Ihmir Smith-Marsette at NYG-10",0.46,0.38,17.0,2024,249
4.0,14:37,1.0,10.0,NYG 10,20.0,28.0,Tyrone Tracy up the middle for 4 yards (tackle by Grover Stewart and Taven Bryan),-0.38,-0.46,17.0,2024,249
4.0,14:01,2.0,6.0,NYG 14,20.0,28.0,Drew Lock pass incomplete short middle intended for Tyrone Tracy,-0.46,-0.95,17.0,2024,249
4.0,13:57,3.0,6.0,NYG 14,20.0,28.0,Drew Lock pass incomplete short middle intended for Darius Slayton,-0.95,-2.47,17.0,2024,249
4.0,13:52,4.0,6.0,NYG 14,20.0,28.0,"Jamie Gillan punts 47 yards, fair catch by Anthony Gould at IND-39",-2.47,-1.53,17.0,2024,249
4.0,13:45,1.0,10.0,IND 39,20.0,28.0,Jonathan Taylor right guard for 3 yards (tackle by Kayvon Thibodeaux and Ty Summers),1.53,1.39,17.0,2024,249
4.0,13:25,2.0,7.0,IND 42,20.0,28.0,Joe Flacco pass complete short middle to Michael Pittman for 14 yards (tackle by Cordale Flott),1.39,2.65,17.0,2024,249
4.0,12:58,1.0,10.0,NYG 44,20.0,28.0,Joe Flacco pass complete short left to Josh Downs for 5 yards (tackle by Deonte Banks),2.65,2.78,17.0,2024,249
4.0,12:22,2.0,5.0,NYG 39,20.0,28.0,"Joe Flacco pass incomplete deep left intended for Michael Pittman. Penalty on Deonte Banks: Defensive Pass Interference, 19 yards (accepted) (no play)",2.78,4.24,17.0,2024,249
4.0,12:17,1.0,10.0,NYG 20,20.0,28.0,Jonathan Taylor left tackle for 5 yards (tackle by Elijah Chatman and Ty Summers),4.24,4.45,17.0,2024,249
4.0,11:39,2.0,5.0,NYG 15,20.0,28.0,Jonathan Taylor right guard for 2 yards (tackle by Elijah Chatman and Boogie Basham),4.45,4.1,17.0,2024,249
4.0,10:57,3.0,3.0,NYG 13,26.0,28.0,"Joe Flacco pass complete short right to Alec Pierce for 13 yards, touchdown",4.1,7.0,17.0,2024,249
4.0,10:53,,,,,,Timeout #1 by New York Giants,,,17.0,2024,249
4.0,10:53,,,NYG 2,26.0,28.0,Two Point Attempt: Joe Flacco pass incomplete intended for to Michael Pittman for no gain,1.0,-1.0,17.0,2024,249
4.0,10:53,,,IND 35,26.0,28.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
4.0,10:53,1.0,10.0,NYG 30,26.0,28.0,Drew Lock pass complete short right to Malik Nabers for 6 yards (tackle by Nick Cross and E.J. Speed),0.94,1.2,17.0,2024,249
4.0,10:10,2.0,4.0,NYG 36,26.0,28.0,Tyrone Tracy up the middle for 1 yard (tackle by Kenny Moore),1.2,0.63,17.0,2024,249
4.0,9:32,3.0,3.0,NYG 37,26.0,28.0,Drew Lock pass complete short left to Wan'Dale Robinson for 4 yards (tackle by Jaylon Jones),0.63,1.66,17.0,2024,249
4.0,8:50,1.0,10.0,NYG 41,26.0,34.0,"Drew Lock pass complete short right to Malik Nabers for 59 yards, touchdown",1.66,7.0,17.0,2024,249
4.0,8:39,,,IND 15,26.0,35.0,Graham Gano kicks extra point good,0.0,0.0,17.0,2024,249
4.0,8:39,,,NYG 35,26.0,35.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
4.0,8:39,1.0,10.0,IND 30,26.0,35.0,Joe Flacco pass complete deep middle to Alec Pierce for 49 yards (tackle by Adoree' Jackson and Deonte Banks),0.94,4.17,17.0,2024,249
4.0,8:09,1.0,10.0,NYG 21,26.0,35.0,Joe Flacco pass complete short left to Josh Downs for 10 yards (tackle by Andru Phillips),4.17,4.84,17.0,2024,249
4.0,7:29,1.0,10.0,NYG 11,26.0,35.0,Joe Flacco pass incomplete short right intended for Adonai Mitchell,4.84,4.14,17.0,2024,249
4.0,7:25,2.0,10.0,NYG 11,26.0,35.0,Joe Flacco pass complete short left to Jonathan Taylor for 4 yards (tackle by Anthony Johnson and Ty Summers),4.14,3.98,17.0,2024,249
4.0,6:43,3.0,6.0,NYG 7,32.0,35.0,"Joe Flacco pass complete short right to Michael Pittman for 7 yards, touchdown",3.98,7.0,17.0,2024,249
4.0,6:38,,,NYG 15,33.0,35.0,Matt Gay kicks extra point good,0.0,0.0,17.0,2024,249
4.0,6:38,,,IND 35,33.0,35.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
4.0,6:38,1.0,10.0,NYG 30,33.0,35.0,Drew Lock pass incomplete short left,0.94,0.39,17.0,2024,249
4.0,6:33,2.0,10.0,NYG 30,33.0,35.0,"Drew Lock pass incomplete short left intended for Malik Nabers. Penalty on Jaylon Jones: Defensive Pass Interference, 6 yards (accepted) (no play)",0.39,1.33,17.0,2024,249
4.0,6:29,1.0,10.0,NYG 36,33.0,35.0,Drew Lock pass incomplete short right intended for Wan'Dale Robinson,1.33,0.79,17.0,2024,249
4.0,6:25,2.0,10.0,NYG 36,33.0,35.0,Drew Lock pass complete deep right to Wan'Dale Robinson for 18 yards,0.79,2.52,17.0,2024,249
4.0,6:07,1.0,10.0,IND 46,33.0,35.0,Drew Lock pass complete short right to Malik Nabers for 3 yards (tackle by Samuel Womack),2.52,2.38,17.0,2024,249
4.0,5:26,2.0,7.0,IND 43,33.0,35.0,Tyrone Tracy right guard for -1 yards (tackle by Zaire Franklin),2.38,1.55,17.0,2024,249
4.0,4:48,3.0,8.0,IND 44,33.0,35.0,Drew Lock pass complete short middle to Wan'Dale Robinson for 35 yards (tackle by Zaire Franklin and Jaylon Jones),1.55,5.14,17.0,2024,249
4.0,3:57,1.0,9.0,IND 9,33.0,35.0,Tyrone Tracy left tackle for 4 yards (tackle by Nick Cross and Julian Blackmon),5.14,5.15,17.0,2024,249
4.0,3:07,2.0,5.0,IND 5,33.0,35.0,Drew Lock pass incomplete short middle intended for Malik Nabers,5.15,4.26,17.0,2024,249
4.0,3:05,3.0,5.0,IND 5,33.0,41.0,"Drew Lock scrambles left end for 5 yards, touchdown",4.26,7.0,17.0,2024,249
4.0,2:57,,,IND 15,33.0,42.0,Graham Gano kicks extra point good,0.0,0.0,17.0,2024,249
4.0,2:57,,,NYG 35,33.0,42.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
4.0,2:57,1.0,10.0,IND 30,33.0,42.0,Joe Flacco pass short right intended for Kylen Granson is intercepted by Andru Phillips at IND-42 and returned for 25 yards (tackle by Bernhard Raimann),0.94,-4.44,17.0,2024,249
4.0,2:46,1.0,10.0,IND 17,33.0,42.0,Tyrone Tracy up the middle for 2 yards (tackle by Zaire Franklin and Jaylon Carlies),4.44,4.15,17.0,2024,249
4.0,2:33,,,,,,Timeout #1 by Indianapolis Colts,,,17.0,2024,249
4.0,2:33,2.0,8.0,IND 15,33.0,42.0,Tyrone Tracy up the middle for 1 yard (tackle by Dayo Odeyingbo and DeForest Buckner),4.15,3.5,17.0,2024,249
4.0,2:29,,,,,,Timeout #2 by Indianapolis Colts,,,17.0,2024,249
4.0,2:29,3.0,7.0,IND 14,33.0,42.0,Tyrone Tracy right guard for 2 yards (tackle by Kwity Paye and Grover Stewart),3.5,2.68,17.0,2024,249
4.0,2:24,,,,,,Timeout #3 by Indianapolis Colts,,,17.0,2024,249
4.0,2:24,4.0,5.0,IND 12,33.0,45.0,Graham Gano 30 yard field goal good,2.68,3.0,17.0,2024,249
4.0,2:20,,,NYG 35,33.0,45.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,249
4.0,2:20,1.0,10.0,IND 30,33.0,45.0,"Joe Flacco pass complete short right to Kylen Granson for no gain (tackle by Darius Muasau). Penalty on Bernhard Raimann: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,17.0,2024,249
4.0,2:14,1.0,20.0,IND 20,33.0,45.0,Joe Flacco pass complete short middle to Trey Sermon for 10 yards (tackle by Darius Muasau and Isaiah Simmons),0.28,0.39,17.0,2024,249
