Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA,week,year,game_id
2,3:32,1.0,10.0,DEN 44,3.0,0.0,Joe Burrow pass complete short middle to Andrei Iosivas for 17 yards (tackle by Brandon Jones),2.65,3.78,17.0,2024,245
2,2:55,1.0,10.0,DEN 27,3.0,0.0,Joe Burrow pass complete short right to Tee Higgins for 8 yards (tackle by Kris Abrams-Draine and Drew Sanders),3.78,4.35,17.0,2024,245
2,2:18,2.0,2.0,DEN 19,3.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 13 yards (tackle by Patrick Surtain),4.35,5.83,17.0,2024,245
2,2:00,1.0,6.0,DEN 6,3.0,0.0,Chase Brown up the middle for 4 yards (tackle by D.J. Jones),5.83,5.72,17.0,2024,245
2,1:52,,,,,,Timeout #2 by Denver Broncos,,,17.0,2024,245
2,1:52,2.0,2.0,DEN 2,3.0,6.0,"Joe Burrow pass complete short middle to Tee Higgins for 2 yards, touchdown",5.72,7.0,17.0,2024,245
2,1:49,,,DEN 15,3.0,7.0,Cade York kicks extra point good,0.0,0.0,17.0,2024,245
2,1:49,,,CIN 35,3.0,7.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,245
2,1:49,1.0,10.0,DEN 30,3.0,7.0,Bo Nix pass complete short middle to Courtland Sutton for 7 yards (tackle by Akeem Davis-Gaither),0.94,1.34,17.0,2024,245
2,1:27,2.0,3.0,DEN 37,3.0,7.0,Bo Nix scrambles left end for 8 yards (tackle by Jordan Battle),1.34,1.93,17.0,2024,245
2,1:21,1.0,10.0,DEN 45,3.0,7.0,Bo Nix pass complete short left to Troy Franklin for -1 yards (tackle by Trey Hendrickson),1.93,1.25,17.0,2024,245
2,0:58,2.0,11.0,DEN 44,3.0,7.0,Bo Nix pass complete short middle to Devaughn Vele for 11 yards (tackle by Mike Hilton and Geno Stone),1.25,2.59,17.0,2024,245
2,0:35,1.0,10.0,CIN 45,3.0,7.0,"Bo Nix sacked by and Trey Hendrickson for -7 yards and Joseph Ossai for -7 yards. Bo Nix fumbles, recovered by Luke Wattenberg at DEN-48",2.59,1.1,17.0,2024,245
2,0:29,,,,,,Timeout #3 by Denver Broncos,,,17.0,2024,245
2,0:29,2.0,17.0,DEN 48,3.0,7.0,Bo Nix sacked by Cedric Johnson for -6 yards,1.1,-0.36,17.0,2024,245
2,0:20,,,,,,Timeout #3 by Cincinnati Bengals,,,17.0,2024,245
2,0:20,3.0,23.0,DEN 42,3.0,7.0,Bo Nix pass complete short middle to Marvin Mims for 4 yards (tackle by Germaine Pratt),-0.36,-0.32,17.0,2024,245
3,15:00,,,DEN 35,3.0,7.0,"Wil Lutz kicks off 66 yards, returned by Jermaine Burton for 29 yards (tackle by Drew Sanders)",0.0,0.81,17.0,2024,245
3,14:55,1.0,10.0,CIN 28,3.0,7.0,Joe Burrow pass complete short right to Tee Higgins for 15 yards (tackle by Riley Moss),0.81,1.8,17.0,2024,245
3,14:13,1.0,10.0,CIN 43,3.0,7.0,Chase Brown right end for 6 yards (tackle by Patrick Surtain and Brandon Jones),1.8,2.06,17.0,2024,245
3,13:34,2.0,4.0,CIN 49,3.0,7.0,"Joe Burrow pass complete deep right to Andrei Iosivas for 26 yards (tackle by Ja'Quan McMillian) DEN challenged the pass completion ruling, and the play was upheld.",2.06,3.91,17.0,2024,245
3,13:09,1.0,10.0,DEN 25,3.0,7.0,Joe Burrow pass complete short right to Mike Gesicki for 9 yards (tackle by Brandon Jones),3.91,4.75,17.0,2024,245
3,12:30,2.0,1.0,DEN 16,3.0,7.0,Chase Brown right guard for 1 yard (tackle by John Franklin-Myers and Zach Allen),4.75,4.58,17.0,2024,245
3,11:46,1.0,10.0,DEN 15,3.0,7.0,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by P.J. Locke),4.58,5.22,17.0,2024,245
3,11:10,2.0,3.0,DEN 8,3.0,7.0,Chase Brown left guard for 1 yard (tackle by Riley Moss and Zach Allen),5.22,4.68,17.0,2024,245
3,10:29,3.0,2.0,DEN 7,3.0,7.0,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",4.68,3.58,17.0,2024,245
3,10:16,,,,,,Timeout #1 by Cincinnati Bengals,,,17.0,2024,245
3,10:16,3.0,7.0,DEN 12,3.0,7.0,"Joe Burrow sacked by Zach Allen for no gain. Penalty on Ja'Quan McMillian: Illegal Contact, 5 yards (accepted) (no play)",3.58,5.6,17.0,2024,245
3,9:51,1.0,7.0,DEN 7,3.0,7.0,"Joe Burrow sacked by and Zach Allen for no gain and Nik Bonitto for no gain. Penalty on Nik Bonitto: Defensive Offside, 4 yards (accepted) (no play)",5.6,6.51,17.0,2024,245
3,9:23,1.0,3.0,DEN 3,3.0,7.0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,6.51,5.53,17.0,2024,245
3,9:20,2.0,3.0,DEN 3,3.0,7.0,Joe Burrow pass incomplete short right intended for Tee Higgins,5.53,4.72,17.0,2024,245
3,9:14,3.0,3.0,DEN 3,3.0,7.0,"Joe Burrow pass incomplete short right intended for Andrei Iosivas. Penalty on Chase Brown: Offensive Pass Interference, 10 yards (declined)",4.72,3.04,17.0,2024,245
3,9:11,4.0,3.0,DEN 3,3.0,10.0,Cade York 22 yard field goal good,3.04,3.0,17.0,2024,245
3,9:07,,,CIN 35,3.0,10.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,245
3,9:07,1.0,10.0,DEN 30,3.0,10.0,Jaleel McLaughlin left guard for 3 yards (tackle by Jordan Battle),0.94,0.8,17.0,2024,245
3,8:34,2.0,7.0,DEN 33,3.0,10.0,Audric Estime left tackle for 6 yards (tackle by Joseph Ossai),0.8,0.89,17.0,2024,245
3,8:05,3.0,1.0,DEN 39,3.0,10.0,Bo Nix right guard for 2 yards (tackle by Germaine Pratt),0.89,1.66,17.0,2024,245
3,7:31,1.0,10.0,DEN 41,3.0,10.0,Jaleel McLaughlin right guard for 11 yards (tackle by Geno Stone),1.66,2.39,17.0,2024,245
3,6:53,1.0,10.0,CIN 48,3.0,10.0,Marvin Mims right end for -1 yards (tackle by Akeem Davis-Gaither),2.39,1.71,17.0,2024,245
3,6:15,2.0,11.0,CIN 49,3.0,10.0,Bo Nix pass complete short left to Marvin Mims for 9 yards (tackle by Josh Newton),1.71,2.21,17.0,2024,245
3,5:38,3.0,2.0,CIN 40,3.0,10.0,"Bo Nix pass complete short right to Marvin Mims for 8 yards. Marvin Mims fumbles, ball out of bounds at CIN-32 (tackle by Josh Newton. Marvin Mims fumbles out of bounds",2.21,3.45,17.0,2024,245
3,5:07,1.0,10.0,CIN 32,3.0,10.0,Bo Nix pass incomplete short right intended for Courtland Sutton,3.45,2.9,17.0,2024,245
3,4:57,2.0,10.0,CIN 32,3.0,10.0,Jaleel McLaughlin left tackle for 11 yards (tackle by Akeem Davis-Gaither and Cam Taylor-Britt),2.9,4.17,17.0,2024,245
3,4:21,1.0,10.0,CIN 21,3.0,10.0,Jaleel McLaughlin right tackle for 13 yards (tackle by Mike Hilton and Geno Stone),4.17,5.37,17.0,2024,245
3,3:56,1.0,8.0,CIN 8,3.0,10.0,Jaleel McLaughlin left guard for 2 yards (tackle by Germaine Pratt and B.J. Hill),5.37,4.95,17.0,2024,245
3,3:14,2.0,6.0,CIN 6,9.0,10.0,"Bo Nix pass complete short right to Courtland Sutton for 6 yards, touchdown",4.95,7.0,17.0,2024,245
3,3:10,,,CIN 15,10.0,10.0,Wil Lutz kicks extra point good,0.0,0.0,17.0,2024,245
3,3:10,,,DEN 35,10.0,10.0,"Wil Lutz kicks off 66 yards, returned by Jermaine Burton for 38 yards (tackle by Devon Key)",0.0,1.4,17.0,2024,245
3,3:04,1.0,10.0,CIN 37,10.0,10.0,Chase Brown left tackle for 3 yards (tackle by Cody Barton),1.4,1.26,17.0,2024,245
3,2:26,2.0,7.0,CIN 40,10.0,10.0,Joe Burrow pass complete short left to Mike Gesicki for 8 yards (tackle by P.J. Locke and Drew Sanders),1.26,2.13,17.0,2024,245
3,1:46,1.0,10.0,CIN 48,10.0,10.0,Joe Burrow sacked by and Jonathon Cooper for -7 yards and Zach Allen for -7 yards,2.13,0.64,17.0,2024,245
3,1:01,,,,,,Timeout #2 by Cincinnati Bengals,,,17.0,2024,245
3,1:01,2.0,17.0,CIN 41,10.0,10.0,Joe Burrow pass complete short right to Ja'Marr Chase for 9 yards (tackle by Justin Strnad),0.64,1.16,17.0,2024,245
3,0:19,3.0,8.0,CIN 50,10.0,10.0,"Joe Burrow pass complete short middle to Andrei Iosivas for no gain, touchdown. Penalty on Mike Gesicki: Illegal Shift, 5 yards (accepted) (no play)",1.16,0.5,17.0,2024,245
3,0:07,3.0,13.0,CIN 45,10.0,10.0,Joe Burrow scrambles up the middle for 19 yards (tackle by P.J. Locke),0.5,3.18,17.0,2024,245
4,15:00,1.0,10.0,DEN 36,10.0,10.0,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Patrick Surtain and Cody Barton),3.18,3.58,17.0,2024,245
4,14:21,2.0,3.0,DEN 29,10.0,10.0,Joe Burrow sacked by Dondrea Tillman for -6 yards,3.58,2.08,17.0,2024,245
4,13:40,3.0,9.0,DEN 35,10.0,10.0,Joe Burrow pass complete short middle to Mike Gesicki for 7 yards (tackle by Brandon Jones),2.08,1.7,17.0,2024,245
4,12:57,4.0,2.0,DEN 28,10.0,10.0,Joe Burrow pass complete short right to Chase Brown for 11 yards (tackle by Riley Moss and P.J. Locke),1.7,4.44,17.0,2024,245
4,12:16,1.0,10.0,DEN 17,10.0,10.0,Chase Brown left guard for 5 yards (tackle by Justin Strnad and Cody Barton),4.44,4.69,17.0,2024,245
4,11:37,2.0,5.0,DEN 12,10.0,16.0,"Joe Burrow pass complete short right to Tee Higgins for 12 yards, touchdown",4.69,7.0,17.0,2024,245
4,11:33,,,DEN 15,10.0,17.0,Cade York kicks extra point good,0.0,0.0,17.0,2024,245
4,11:33,,,CIN 35,10.0,17.0,"Cade York kicks off 67 yards, returned by Marvin Mims for 27 yards (tackle by Maema Njongmeta and Daijahn Anthony)",0.0,0.61,17.0,2024,245
4,11:28,1.0,10.0,DEN 25,10.0,17.0,Jaleel McLaughlin left end for 6 yards (tackle by Cam Taylor-Britt),0.61,0.87,17.0,2024,245
4,10:52,2.0,4.0,DEN 31,10.0,17.0,Audric Estime up the middle for 5 yards (tackle by Kris Jenkins and Jordan Battle),0.87,1.33,17.0,2024,245
4,10:15,1.0,10.0,DEN 36,10.0,17.0,Audric Estime left guard for no gain (tackle by Mike Hilton and Jordan Battle),1.33,0.79,17.0,2024,245
4,9:36,2.0,10.0,DEN 36,10.0,17.0,Bo Nix pass complete short left to Courtland Sutton for 13 yards (tackle by Cam Taylor-Britt),0.79,2.19,17.0,2024,245
4,8:56,1.0,10.0,DEN 49,16.0,17.0,"Bo Nix pass complete deep middle to Marvin Mims for 51 yards, touchdown",2.19,7.0,17.0,2024,245
4,8:48,,,CIN 15,17.0,17.0,Wil Lutz kicks extra point good,0.0,0.0,17.0,2024,245
4,8:48,,,DEN 35,17.0,17.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,245
4,8:48,1.0,10.0,CIN 30,17.0,17.0,Joe Burrow sacked by and Zach Allen for -4 yards and D.J. Jones for -4 yards,0.94,-0.15,17.0,2024,245
4,8:03,2.0,14.0,CIN 26,17.0,17.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 5 yards (tackle by Ja'Quan McMillian),-0.15,-0.16,17.0,2024,245
4,7:22,3.0,9.0,CIN 31,17.0,17.0,Joe Burrow pass complete short right to Tee Higgins for 13 yards (tackle by Brandon Jones),-0.16,1.86,17.0,2024,245
4,6:40,1.0,10.0,CIN 44,17.0,17.0,Chase Brown left tackle for 1 yard (tackle by Patrick Surtain),1.86,1.45,17.0,2024,245
4,5:57,2.0,9.0,CIN 45,17.0,17.0,Joe Burrow pass complete short right to Ja'Marr Chase for 5 yards (tackle by Riley Moss),1.45,1.42,17.0,2024,245
4,5:13,3.0,4.0,DEN 50,17.0,17.0,"Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Patrick Surtain) Replay Assistant challenged the fumble ruling, and the original play was overturned. Joe Burrow pass complete short right to Tee Higgins for 7 yards. Tee Higgins fumbles (forced by Patrick Surtain), recovered by Patrick Surtain at DEN-40 (tackle by Patrick Surtain)",1.42,-1.6,17.0,2024,245
4,5:08,1.0,10.0,DEN 40,17.0,17.0,Jaleel McLaughlin left guard for 1 yard (tackle by Germaine Pratt),1.6,1.19,17.0,2024,245
4,4:31,2.0,9.0,DEN 41,17.0,17.0,Bo Nix pass complete short right to Adam Trautman for 5 yards (tackle by Josh Newton),1.19,1.16,17.0,2024,245
4,3:46,3.0,4.0,DEN 46,17.0,17.0,Bo Nix scrambles left end for 5 yards (tackle by Joseph Ossai),1.16,2.32,17.0,2024,245
4,3:37,1.0,10.0,CIN 49,17.0,17.0,Audric Estime right guard for 1 yard (tackle by Mike Hilton and Germaine Pratt),2.32,1.92,17.0,2024,245
4,2:54,2.0,9.0,CIN 48,17.0,17.0,Bo Nix pass complete short left to Javonte Williams for -6 yards (tackle by B.J. Hill),1.92,0.43,17.0,2024,245
4,2:38,3.0,15.0,DEN 46,17.0,17.0,Bo Nix pass short right intended for Courtland Sutton is intercepted by Germaine Pratt at CIN-39 and returned for 2 yards (tackle by Javonte Williams),0.43,-1.66,17.0,2024,245
4,2:30,1.0,10.0,CIN 41,17.0,17.0,Joe Burrow pass complete deep middle to Ja'Marr Chase for 38 yards (tackle by Ja'Quan McMillian),1.66,4.17,17.0,2024,245
4,2:00,1.0,10.0,DEN 21,17.0,17.0,Joe Burrow pass complete short right to Chase Brown for 4 yards (tackle by Cody Barton),4.17,4.2,17.0,2024,245
4,1:55,2.0,6.0,DEN 17,17.0,17.0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,4.2,3.46,17.0,2024,245
4,1:51,3.0,6.0,DEN 17,17.0,17.0,Joe Burrow pass complete short left to Ja'Marr Chase for 11 yards (tackle by P.J. Locke),3.46,5.83,17.0,2024,245
4,1:39,,,,,,Timeout #2 by Denver Broncos,,,17.0,2024,245
4,1:39,1.0,6.0,DEN 6,17.0,17.0,Chase Brown up the middle for 5 yards (tackle by Jonathon Cooper),5.83,5.91,17.0,2024,245
4,1:31,,,,,,Timeout #3 by Cincinnati Bengals,,,17.0,2024,245
4,1:31,2.0,1.0,DEN 1,17.0,23.0,"Joe Burrow up the middle for 1 yard, touchdown",5.91,7.0,17.0,2024,245
4,1:29,,,DEN 15,17.0,24.0,Cade York kicks extra point good,0.0,0.0,17.0,2024,245
4,1:29,,,CIN 35,17.0,24.0,"Cade York kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,245
4,1:29,1.0,10.0,DEN 30,17.0,24.0,Bo Nix scrambles left end for 7 yards (tackle by Joseph Ossai),0.94,1.34,17.0,2024,245
4,1:22,2.0,3.0,DEN 37,17.0,24.0,Bo Nix pass complete short left to Courtland Sutton for 15 yards (tackle by Cam Taylor-Britt),1.34,2.39,17.0,2024,245
4,1:14,1.0,10.0,CIN 48,17.0,24.0,Bo Nix pass complete short middle to Courtland Sutton for 14 yards (tackle by Cam Taylor-Britt),2.39,3.31,17.0,2024,245
4,0:49,1.0,10.0,CIN 34,17.0,24.0,Bo Nix pass complete short left to Lucas Krull for 3 yards (tackle by Mike Hilton),3.31,3.18,17.0,2024,245
4,0:26,2.0,7.0,CIN 31,17.0,24.0,Bo Nix pass incomplete deep left intended for Courtland Sutton,3.18,2.48,17.0,2024,245
4,0:21,3.0,7.0,CIN 31,17.0,24.0,Bo Nix pass complete short left to Javonte Williams for 6 yards (tackle by Cam Taylor-Britt),2.48,1.95,17.0,2024,245
4,0:14,,,,,,Timeout #3 by Denver Broncos,,,17.0,2024,245
4,0:14,4.0,1.0,CIN 25,23.0,24.0,"Bo Nix pass complete deep right to Marvin Mims for 25 yards, touchdown Replay Assistant challenged the pass completion ruling, and the play was upheld.",1.95,7.0,17.0,2024,245
4,0:08,,,CIN 15,24.0,24.0,Wil Lutz kicks extra point good,0.0,0.0,17.0,2024,245
4,0:08,,,DEN 35,24.0,24.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,245
4,0:08,1.0,10.0,CIN 30,24.0,24.0,Joe Burrow kneels for -1 yards,0.94,0.0,17.0,2024,245
,,,,,,,"Bengals won the coin toss, Bengals to receive the overtime kickoff.",,,17.0,2024,245
OT,10:00,,,DEN 35,24.0,24.0,"Wil Lutz kicks off 70 yards, returned by Jermaine Burton for 31 yards (tackle by Devon Key)",0.0,0.67,17.0,2024,245
OT,9:56,1.0,10.0,CIN 26,24.0,24.0,Joe Burrow pass complete short right to Mike Gesicki for 10 yards (tackle by Damarri Mathis),0.67,1.33,17.0,2024,245
OT,9:14,1.0,10.0,CIN 36,24.0,24.0,"Joe Burrow scrambles up the middle for 6 yards (tackle by Nik Bonitto and Cody Barton). Penalty on Damarri Mathis: Illegal Contact, 5 yards (accepted)",1.33,2.06,17.0,2024,245
OT,8:45,1.0,10.0,CIN 47,24.0,24.0,Khalil Herbert left end for 3 yards (tackle by Riley Moss),2.06,1.92,17.0,2024,245
OT,8:12,2.0,7.0,CIN 50,24.0,24.0,Joe Burrow sacked by Zach Allen for -7 yards,1.92,0.3,17.0,2024,245
OT,7:31,3.0,14.0,CIN 43,24.0,24.0,Joe Burrow sacked by and Zach Allen for no gain and John Franklin-Myers for no gain,0.3,-0.52,17.0,2024,245
OT,6:53,4.0,14.0,CIN 43,24.0,24.0,"Ryan Rehkow punts 47 yards, fair catch by Marvin Mims at DEN-10",-0.52,0.38,17.0,2024,245
OT,6:43,1.0,10.0,DEN 10,24.0,24.0,Jaleel McLaughlin right tackle for 1 yard (tackle by B.J. Hill and McKinnley Jackson),-0.38,-0.71,17.0,2024,245
OT,6:03,2.0,9.0,DEN 11,24.0,24.0,Bo Nix pass complete short left to Marvin Mims for 3 yards (tackle by Mike Hilton),-0.71,-0.95,17.0,2024,245
