Quarter,Time,Down,ToGo,Location,ARI,LAR,Detail,EPB,EPA,week,year,game_id
1.0,9:19,4.0,1.0,ARI 22,0.0,0.0,"Michael Palardy punts 50 yards, fair catch by Xavier Smith at LA-28",-1.9,-0.81,17.0,2024,246
1.0,9:12,1.0,10.0,LAR 28,0.0,0.0,Kyren Williams left guard for 3 yards (tackle by L.J. Collier and Kyzir White),0.81,0.67,17.0,2024,246
1.0,8:36,2.0,7.0,LAR 31,0.0,0.0,Matthew Stafford pass complete short middle to Kyren Williams for 6 yards (tackle by Sean Murphy-Bunting),0.67,0.76,17.0,2024,246
1.0,8:13,3.0,1.0,LAR 37,0.0,0.0,Matthew Stafford up the middle for 1 yard (tackle by Mack Wilson),0.76,1.47,17.0,2024,246
1.0,7:36,1.0,10.0,LAR 38,0.0,0.0,Matthew Stafford pass incomplete short left intended for Puka Nacua,1.47,0.92,17.0,2024,246
1.0,7:30,2.0,10.0,LAR 38,0.0,0.0,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,0.92,0.23,17.0,2024,246
1.0,7:26,3.0,10.0,LAR 38,0.0,0.0,Matthew Stafford pass incomplete short left intended for Demarcus Robinson (defended by Xavier Thomas),0.23,-0.85,17.0,2024,246
1.0,7:23,4.0,10.0,LAR 38,0.0,0.0,Ethan Evans punts 57 yards out of bounds,-0.85,0.38,17.0,2024,246
1.0,7:15,1.0,10.0,ARI 5,0.0,0.0,"Penalty on Elijah Higgins: False Start, 2 yards (accepted) (no play)",-0.38,-0.46,17.0,2024,246
1.0,7:15,1.0,12.0,ARI 3,0.0,0.0,Kyler Murray pass complete short right to James Conner for 2 yards (tackle by Kamren Kinchens),-0.46,-0.78,17.0,2024,246
1.0,6:35,2.0,10.0,ARI 5,0.0,0.0,Kyler Murray pass complete deep left to Marvin Harrison for 24 yards (tackle by Ahkello Witherspoon),-0.78,0.87,17.0,2024,246
1.0,5:56,1.0,10.0,ARI 29,0.0,0.0,Kyler Murray left end for 9 yards (tackle by Ahkello Witherspoon),0.87,1.54,17.0,2024,246
1.0,5:24,2.0,1.0,ARI 38,0.0,0.0,James Conner right guard for 2 yards (tackle by Desjuan Johnson and Byron Young),1.54,1.6,17.0,2024,246
1.0,4:46,1.0,10.0,ARI 40,0.0,0.0,Kyler Murray pass incomplete short left intended for James Conner,1.6,1.05,17.0,2024,246
1.0,4:41,2.0,10.0,ARI 40,0.0,0.0,"Penalty on Kelvin Beachum: False Start, 5 yards (accepted) (no play)",1.05,0.38,17.0,2024,246
1.0,4:41,2.0,15.0,ARI 35,0.0,0.0,Kyler Murray pass complete short right to James Conner for 2 yards (tackle by Darious Williams),0.38,-0.03,17.0,2024,246
1.0,4:03,3.0,13.0,ARI 37,0.0,0.0,Kyler Murray sacked by Braden Fiske for -17 yards,-0.03,-2.03,17.0,2024,246
1.0,3:21,4.0,30.0,ARI 20,0.0,0.0,"Michael Palardy punts 47 yards, returned by Xavier Smith for 6 yards (tackle by Victor Dimukeje)",-2.03,-1.53,17.0,2024,246
1.0,3:07,1.0,10.0,LAR 39,0.0,0.0,Blake Corum left end for -2 yards (tackle by Darius Robinson and Khyiris Tonga),1.53,0.72,17.0,2024,246
1.0,2:32,2.0,12.0,LAR 37,0.0,0.0,"Blake Corum left tackle for 3 yards (tackle by Jalen Thompson and Garrett Williams). Penalty on Joseph Noteboom: Offensive Holding, 10 yards (accepted)",0.72,-0.23,17.0,2024,246
1.0,2:22,2.0,19.0,LAR 30,0.0,0.0,Blake Corum up the middle for -5 yards (tackle by Kyzir White),-0.23,-1.55,17.0,2024,246
1.0,1:48,3.0,24.0,LAR 25,0.0,0.0,Kyren Williams up the middle for 18 yards (tackle by Garrett Williams and Baron Browning),-1.55,-0.52,17.0,2024,246
1.0,1:18,4.0,6.0,LAR 43,0.0,0.0,"Ethan Evans punts 53 yards, returned by Greg Dortch for 15 yards (tackle by Colby Parkinson)",-0.52,-0.15,17.0,2024,246
1.0,1:04,1.0,10.0,ARI 19,0.0,0.0,Kyler Murray pass complete deep right to Trey McBride for 34 yards (tackle by Quentin Lake),0.15,2.46,17.0,2024,246
1.0,0:18,1.0,10.0,LAR 47,0.0,0.0,Michael Carter up the middle for 7 yards (tackle by Kamren Kinchens and Michael Hoecht),2.46,2.86,17.0,2024,246
2.0,15:00,2.0,3.0,LAR 40,0.0,0.0,Kyler Murray pass incomplete deep right intended for Michael Wilson (defended by Darious Williams). Penalty on Michael Wilson: Illegal Touch Pass (accepted),2.86,2.15,17.0,2024,246
2.0,14:52,3.0,3.0,LAR 40,0.0,0.0,Kyler Murray pass complete short left to Michael Wilson for 5 yards (tackle by Kamren Curl),2.15,3.25,17.0,2024,246
2.0,14:14,1.0,10.0,LAR 35,0.0,0.0,Kyler Murray left tackle for 8 yards (tackle by Kamren Curl),3.25,3.78,17.0,2024,246
2.0,13:38,2.0,2.0,LAR 27,0.0,0.0,"Kyler Murray right guard for no gain (tackle by Michael Hoecht). Penalty on Trey McBride: Offensive Holding, 10 yards (accepted) (no play)",3.78,2.43,17.0,2024,246
2.0,13:10,2.0,12.0,LAR 37,0.0,0.0,Kyler Murray pass complete short middle to Marvin Harrison for 14 yards (tackle by Kamren Curl and Michael Hoecht),2.43,4.04,17.0,2024,246
2.0,12:31,1.0,10.0,LAR 23,0.0,0.0,Kyler Murray pass complete short middle to Trey McBride for 5 yards (tackle by Christian Rozeboom and Kamren Curl),4.04,4.21,17.0,2024,246
2.0,11:50,2.0,5.0,LAR 18,0.0,0.0,Kyler Murray pass incomplete short right intended for Marvin Harrison,4.21,3.49,17.0,2024,246
2.0,11:47,3.0,5.0,LAR 18,0.0,0.0,Kyler Murray pass complete short right to Greg Dortch for 4 yards (tackle by Byron Young),3.49,2.66,17.0,2024,246
2.0,11:11,4.0,1.0,LAR 14,0.0,0.0,James Conner right guard for no gain (tackle by Jared Verse and Omar Speights),2.66,0.22,17.0,2024,246
2.0,11:04,1.0,10.0,LAR 15,0.0,0.0,"Penalty on Hunter Long: False Start, 5 yards (accepted) (no play)",-0.22,-0.57,17.0,2024,246
2.0,11:04,1.0,15.0,LAR 10,0.0,0.0,Kyren Williams left tackle for -1 yards (tackle by Naquan Jones),-0.57,-1.22,17.0,2024,246
2.0,10:21,2.0,16.0,LAR 9,0.0,0.0,Matthew Stafford pass incomplete short middle intended for Puka Nacua (defended by L.J. Collier),-1.22,-2.12,17.0,2024,246
2.0,10:15,3.0,16.0,LAR 9,0.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for 15 yards (tackle by Budda Baker and Max Melton),-2.12,-1.77,17.0,2024,246
2.0,9:35,4.0,1.0,LAR 24,0.0,0.0,"Ethan Evans punts 46 yards out of bounds. Penalty on Dadrion Taylor-Demerson: Defensive Illegal Blindside Block, 15 yards (accepted)",-1.77,0.22,17.0,2024,246
2.0,9:28,1.0,10.0,ARI 15,0.0,0.0,Michael Carter left tackle for 12 yards (tackle by Ahkello Witherspoon and Omar Speights),-0.22,0.74,17.0,2024,246
2.0,8:48,1.0,10.0,ARI 27,0.0,0.0,"Kyler Murray pass incomplete short right intended for Marvin Harrison. Penalty on Christian Jones: Offensive Holding, 10 yards (offset) . Penalty on Quentin Lake: Illegal Contact, 5 yards (offset) (no play)",0.74,0.74,17.0,2024,246
2.0,8:39,1.0,10.0,ARI 27,0.0,0.0,Kyler Murray pass incomplete short left intended for Elijah Higgins (defended by Bobby Brown),0.74,0.2,17.0,2024,246
2.0,8:35,2.0,10.0,ARI 27,0.0,0.0,"Kyler Murray pass complete deep middle to Trey McBride for no gain (tackle by Quentin Lake). Penalty on Isaiah Adams: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.2,-0.48,17.0,2024,246
2.0,7:59,2.0,15.0,ARI 22,0.0,0.0,Kyler Murray pass complete short right to DeeJay Dallas for 5 yards (tackle by Byron Young),-0.48,-0.49,17.0,2024,246
2.0,7:19,3.0,10.0,ARI 27,0.0,0.0,Kyler Murray sacked by Byron Young for -6 yards,-0.49,-1.96,17.0,2024,246
2.0,6:42,4.0,16.0,ARI 21,0.0,0.0,"Michael Palardy punts 39 yards, fair catch by Xavier Smith at LA-40",-1.96,-1.6,17.0,2024,246
2.0,6:35,1.0,10.0,LAR 40,0.0,0.0,Matthew Stafford pass complete deep right to Cooper Kupp for 29 yards (tackle by Sean Murphy-Bunting),1.6,3.51,17.0,2024,246
2.0,5:53,1.0,10.0,ARI 31,0.0,0.0,Matthew Stafford pass incomplete short right,3.51,2.97,17.0,2024,246
2.0,5:46,2.0,10.0,ARI 31,0.0,0.0,Matthew Stafford pass incomplete short right,2.97,2.28,17.0,2024,246
2.0,5:40,3.0,10.0,ARI 31,0.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for 15 yards (tackle by Sean Murphy-Bunting),2.28,4.51,17.0,2024,246
2.0,4:56,1.0,10.0,ARI 16,0.0,0.0,Matthew Stafford pass incomplete short left intended for Colby Parkinson (defended by Garrett Williams),4.51,3.9,17.0,2024,246
2.0,4:49,2.0,10.0,ARI 16,0.0,0.0,Matthew Stafford scrambles up the middle for 12 yards (tackle by Mack Wilson),3.9,6.28,17.0,2024,246
2.0,4:03,1.0,4.0,ARI 4,0.0,0.0,Kyren Williams up the middle for 3 yards (tackle by Budda Baker and Jalen Thompson),6.28,5.91,17.0,2024,246
2.0,3:33,2.0,1.0,ARI 1,0.0,0.0,Matthew Stafford pass incomplete short right intended for Tyler Higbee (defended by Budda Baker),5.91,5.17,17.0,2024,246
2.0,3:28,3.0,1.0,ARI 1,0.0,6.0,"Kyren Williams right tackle for 1 yard, touchdown",5.17,7.0,17.0,2024,246
2.0,3:23,,,ARI 15,0.0,7.0,Joshua Karty kicks extra point good,0.0,0.0,17.0,2024,246
2.0,3:23,,,LAR 35,0.0,7.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,246
2.0,3:23,1.0,10.0,ARI 30,0.0,7.0,Kyler Murray pass complete short left to Elijah Higgins for 15 yards (tackle by Kamren Curl),0.94,1.93,17.0,2024,246
2.0,2:40,1.0,10.0,ARI 45,0.0,7.0,Michael Carter left guard for 4 yards (tackle by Omar Speights),1.93,1.92,17.0,2024,246
2.0,2:00,2.0,6.0,ARI 49,0.0,7.0,Kyler Murray pass incomplete short middle intended for Trey McBride,1.92,1.22,17.0,2024,246
2.0,1:56,3.0,6.0,ARI 49,0.0,7.0,Kyler Murray pass incomplete short right,1.22,-0.13,17.0,2024,246
2.0,1:51,4.0,6.0,ARI 49,0.0,7.0,Michael Palardy punts 28 yards downed by Elijah Higgins,-0.13,-0.48,17.0,2024,246
2.0,1:41,1.0,10.0,LAR 23,0.0,7.0,Kyren Williams left guard for 5 yards (tackle by Dadrion Taylor-Demerson and Max Melton),0.48,0.61,17.0,2024,246
2.0,1:24,2.0,5.0,LAR 28,0.0,7.0,Matthew Stafford pass incomplete deep middle intended for Davis Allen,0.61,-0.1,17.0,2024,246
2.0,1:19,3.0,5.0,LAR 28,0.0,7.0,"Penalty on Beaux Limmer: False Start, 5 yards (accepted) (no play)",-0.1,-0.76,17.0,2024,246
2.0,1:19,3.0,10.0,LAR 23,0.0,7.0,Matthew Stafford pass complete short middle to Puka Nacua for 10 yards (tackle by Budda Baker and Kyzir White),-0.76,1.14,17.0,2024,246
2.0,0:57,1.0,10.0,LAR 33,0.0,7.0,Matthew Stafford pass complete deep middle to Puka Nacua for 25 yards (tackle by Jalen Thompson),1.14,2.79,17.0,2024,246
2.0,0:48,,,,,,Timeout #1 by Los Angeles Rams,,,17.0,2024,246
2.0,0:48,1.0,10.0,ARI 42,0.0,7.0,Matthew Stafford pass complete short right to Puka Nacua for 7 yards (tackle by Kyzir White),2.79,3.19,17.0,2024,246
2.0,0:39,,,,,,Timeout #2 by Los Angeles Rams,,,17.0,2024,246
2.0,0:39,2.0,3.0,ARI 35,0.0,7.0,Matthew Stafford pass incomplete short right,3.19,2.48,17.0,2024,246
2.0,0:35,3.0,3.0,ARI 35,0.0,7.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Budda Baker),2.48,0.99,17.0,2024,246
2.0,0:32,4.0,3.0,ARI 35,0.0,10.0,Joshua Karty 53 yard field goal good,0.99,3.0,17.0,2024,246
2.0,0:27,,,LAR 35,0.0,10.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,246
2.0,0:27,1.0,10.0,ARI 30,0.0,10.0,Kyler Murray sacked by Braden Fiske for -8 yards,0.94,-0.69,17.0,2024,246
3.0,15:00,,,LAR 35,0.0,10.0,"Ethan Evans kicks off 66 yards, returned by Greg Dortch for 28 yards (tackle by Michael Hoecht). Penalty on Cobie Durant: Illegal Formation, 5 yards (accepted)",0.0,1.07,17.0,2024,246
3.0,14:54,1.0,10.0,ARI 32,0.0,10.0,Kyler Murray pass incomplete short left,1.07,0.53,17.0,2024,246
3.0,14:49,2.0,10.0,ARI 32,0.0,10.0,Michael Carter up the middle for 8 yards (tackle by Byron Young),0.53,0.89,17.0,2024,246
3.0,14:13,3.0,2.0,ARI 40,0.0,10.0,Kyler Murray pass complete short right to Trey McBride for 14 yards (tackle by Kamren Kinchens),0.89,2.52,17.0,2024,246
3.0,13:36,1.0,10.0,LAR 46,0.0,10.0,Kyler Murray pass complete short middle to Michael Carter for 5 yards (tackle by Kamren Curl),2.52,2.65,17.0,2024,246
3.0,12:56,2.0,5.0,LAR 41,0.0,10.0,Kyler Murray pass incomplete short middle intended for Marvin Harrison,2.65,1.95,17.0,2024,246
3.0,12:51,3.0,5.0,LAR 41,0.0,10.0,Kyler Murray pass complete short middle to Trey McBride for 7 yards (tackle by Kamren Kinchens and Michael Hoecht),1.95,3.31,17.0,2024,246
3.0,12:14,1.0,10.0,LAR 34,0.0,10.0,Michael Carter right tackle for 6 yards (tackle by Darious Williams),3.31,3.58,17.0,2024,246
3.0,11:39,2.0,4.0,LAR 28,0.0,10.0,Kyler Murray pass complete short right to Michael Wilson for 9 yards (tackle by Quentin Lake),3.58,4.31,17.0,2024,246
3.0,10:56,1.0,10.0,LAR 19,0.0,10.0,Kyler Murray scrambles left end for 12 yards (tackle by Ahkello Witherspoon),4.31,5.6,17.0,2024,246
3.0,10:11,1.0,7.0,LAR 7,0.0,10.0,Kyler Murray pass incomplete short middle intended for Trey McBride (defended by Ahkello Witherspoon),5.6,4.76,17.0,2024,246
3.0,10:08,2.0,7.0,LAR 7,0.0,10.0,Kyler Murray pass complete short right to Michael Wilson for 5 yards (tackle by Kamren Curl and Kamren Kinchens),4.76,4.95,17.0,2024,246
3.0,9:23,3.0,2.0,LAR 2,0.0,10.0,"Kyler Murray pass incomplete short right intended for Trey McBride. Penalty on Michael Hoecht: Defensive Holding, 1 yard (accepted) (no play)",4.95,6.97,17.0,2024,246
3.0,9:18,1.0,1.0,LAR 1,0.0,10.0,Michael Carter up the middle for no gain (tackle by Brennan Jackson and Omar Speights),6.97,5.91,17.0,2024,246
3.0,8:35,2.0,1.0,LAR 1,6.0,10.0,"Kyler Murray pass complete short left to Trey McBride for 1 yard, touchdown",5.91,7.0,17.0,2024,246
3.0,8:31,,,LAR 15,6.0,10.0,"Chad Ryland kicks extra point blocked blocked by Michael Hoecht, recovered by Josh Wallace",0.0,-1.0,17.0,2024,246
3.0,8:31,,,ARI 35,6.0,10.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,246
3.0,8:31,1.0,10.0,LAR 30,6.0,10.0,Matthew Stafford pass complete short middle to Puka Nacua for 8 yards (tackle by Jalen Thompson),0.94,1.47,17.0,2024,246
3.0,7:52,2.0,2.0,LAR 38,6.0,10.0,"Matthew Stafford pass incomplete short right intended for Kyren Williams. Penalty on Joseph Noteboom: Offensive Holding, 10 yards (accepted) (no play)",1.47,0.12,17.0,2024,246
3.0,7:45,2.0,12.0,LAR 28,6.0,10.0,Matthew Stafford pass complete short right to Puka Nacua for 9 yards (tackle by Jalen Thompson),0.12,0.63,17.0,2024,246
3.0,7:03,3.0,3.0,LAR 37,6.0,10.0,Matthew Stafford pass complete short right to Tyler Higbee for 2 yards (tackle by Jalen Thompson),0.63,-0.78,17.0,2024,246
3.0,6:27,4.0,1.0,LAR 39,6.0,10.0,"Ethan Evans punts 51 yards, returned by Greg Dortch for no gain (tackle by Xavier Smith)",-0.78,0.38,17.0,2024,246
3.0,6:19,1.0,10.0,ARI 10,6.0,10.0,Michael Carter up the middle for 2 yards (tackle by Michael Hoecht and Jared Verse),-0.38,-0.63,17.0,2024,246
3.0,5:42,2.0,8.0,ARI 12,6.0,10.0,Kyler Murray pass complete short right to Trey McBride for 13 yards (tackle by Kamren Kinchens),-0.63,0.61,17.0,2024,246
3.0,5:02,1.0,10.0,ARI 25,6.0,10.0,Kyler Murray pass complete deep right to Marvin Harrison for 21 yards,0.61,1.99,17.0,2024,246
3.0,4:18,1.0,10.0,ARI 46,6.0,10.0,"Michael Carter left end for 1 yard (tackle by Omar Speights). Penalty on Elijah Higgins: Offensive Holding, 10 yards (accepted)",1.99,1.4,17.0,2024,246
3.0,3:55,1.0,19.0,ARI 37,6.0,10.0,Kyler Murray pass incomplete short middle intended for Marvin Harrison,1.4,0.24,17.0,2024,246
3.0,3:50,2.0,19.0,ARI 37,6.0,10.0,Kyler Murray pass complete deep left to Marvin Harrison for 23 yards (tackle by Quentin Lake),0.24,2.92,17.0,2024,246
3.0,3:04,1.0,10.0,LAR 40,6.0,10.0,Kyler Murray pass complete short middle to Trey McBride for 9 yards (tackle by Omar Speights),2.92,3.59,17.0,2024,246
3.0,2:25,2.0,1.0,LAR 31,6.0,10.0,Michael Carter up the middle for 4 yards (tackle by Bobby Brown),3.59,3.78,17.0,2024,246
3.0,1:44,1.0,10.0,LAR 27,6.0,10.0,Kyler Murray pass complete short right to Trey McBride for 3 yards (tackle by Christian Rozeboom),3.78,3.64,17.0,2024,246
3.0,1:02,2.0,7.0,LAR 24,6.0,10.0,"Kyler Murray pass complete short right to Elijah Higgins for 8 yards (tackle by Darious Williams and Omar Speights). Penalty on Kobie Turner: Defensive Offside, 5 yards (declined)",3.64,4.51,17.0,2024,246
3.0,0:40,1.0,10.0,LAR 16,6.0,10.0,"Kyler Murray pass incomplete short right. Penalty on Isaiah Adams: Offensive Holding, 10 yards (declined) . Penalty on Hjalte Froholdt: Ineligible Downfield Pass, 5 yards (declined) . Penalty on Michael Wilson: Offensive Pass Interference, 10 yards (accepted) (no play)",4.51,3.84,17.0,2024,246
3.0,0:36,1.0,20.0,LAR 26,6.0,10.0,Kyler Murray pass complete short middle to Trey McBride for 6 yards (tackle by Omar Speights and Christian Rozeboom),3.84,3.42,17.0,2024,246
4.0,15:00,2.0,14.0,LAR 20,6.0,10.0,Kyler Murray pass complete short left to Greg Dortch for 10 yards (tackle by Kamren Kinchens),3.42,4.17,17.0,2024,246
4.0,14:12,3.0,4.0,LAR 10,6.0,10.0,Kyler Murray pass incomplete short right,4.17,2.84,17.0,2024,246
4.0,14:04,4.0,4.0,LAR 10,9.0,10.0,Chad Ryland 28 yard field goal good,2.84,3.0,17.0,2024,246
4.0,14:00,,,ARI 35,9.0,10.0,"Chad Ryland kicks off 65 yards, returned by Jordan Whittington for 33 yards (tackle by Victor Dimukeje and Owen Pappoe)",0.0,1.14,17.0,2024,246
4.0,13:52,1.0,10.0,LAR 33,9.0,10.0,Kyren Williams up the middle for 4 yards (tackle by Khyiris Tonga and Budda Baker),1.14,1.13,17.0,2024,246
4.0,13:13,2.0,6.0,LAR 37,9.0,10.0,Matthew Stafford pass complete short left to Kyren Williams for 5 yards (tackle by Mack Wilson),1.13,1.09,17.0,2024,246
4.0,12:46,3.0,1.0,LAR 42,9.0,10.0,Matthew Stafford right tackle for 3 yards (tackle by Kyzir White),1.09,1.93,17.0,2024,246
4.0,12:09,1.0,10.0,LAR 45,9.0,10.0,Matthew Stafford pass complete short left to Kyren Williams for 5 yards (tackle by Budda Baker),1.93,2.06,17.0,2024,246
4.0,11:22,2.0,5.0,ARI 50,9.0,10.0,Matthew Stafford pass complete short left to Jordan Whittington for 6 yards (tackle by Zaven Collins and Kyzir White),2.06,2.65,17.0,2024,246
4.0,10:40,1.0,10.0,ARI 44,9.0,10.0,"Matthew Stafford pass complete short middle to Kyren Williams for no gain (tackle by Budda Baker). Penalty on Joseph Noteboom: Offensive Holding, 10 yards (accepted) (no play)",2.65,1.99,17.0,2024,246
4.0,10:07,1.0,20.0,LAR 46,9.0,10.0,"Matthew Stafford pass deep middle is intercepted by Jalen Thompson at ARI-1 and returned for no gain (tackle by Cooper Kupp). Penalty on Roy Lopez: Defensive Offside, 5 yards (accepted) (no play)",1.99,2.32,17.0,2024,246
4.0,10:00,1.0,15.0,ARI 49,9.0,10.0,Kyren Williams left guard for 10 yards (tackle by Kyzir White and Budda Baker),2.32,2.78,17.0,2024,246
4.0,9:31,2.0,5.0,ARI 39,9.0,10.0,Matthew Stafford pass complete short right to Puka Nacua for 3 yards (tackle by Starling Thomas and Kei'Trel Clark),2.78,2.48,17.0,2024,246
4.0,8:46,3.0,2.0,ARI 36,9.0,10.0,Matthew Stafford pass complete short right to Tyler Higbee for 7 yards,2.48,3.64,17.0,2024,246
4.0,8:07,1.0,10.0,ARI 29,9.0,10.0,Matthew Stafford pass complete short right to Puka Nacua for 21 yards (tackle by Dante Stills),3.64,5.37,17.0,2024,246
4.0,7:27,1.0,8.0,ARI 8,9.0,10.0,Matthew Stafford pass incomplete short right,5.37,4.57,17.0,2024,246
4.0,7:20,2.0,8.0,ARI 8,9.0,10.0,Kyren Williams right guard for 1 yard (tackle by Mack Wilson),4.57,3.81,17.0,2024,246
4.0,6:42,3.0,7.0,ARI 7,9.0,10.0,Matthew Stafford pass incomplete short right intended for Puka Nacua (defended by Max Melton),3.81,2.97,17.0,2024,246
4.0,6:36,4.0,7.0,ARI 7,9.0,13.0,Joshua Karty 25 yard field goal good,2.97,3.0,17.0,2024,246
4.0,6:33,,,LAR 35,9.0,13.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,246
4.0,6:33,1.0,10.0,ARI 30,9.0,13.0,Kyler Murray pass complete short left to Marvin Harrison for 6 yards (tackle by Ahkello Witherspoon),0.94,1.2,17.0,2024,246
4.0,5:55,2.0,4.0,ARI 36,9.0,13.0,Michael Carter up the middle for 5 yards (tackle by Omar Speights),1.2,1.66,17.0,2024,246
4.0,5:16,1.0,10.0,ARI 41,9.0,13.0,Kyler Murray pass complete deep left to Zay Jones for 19 yards,1.66,2.92,17.0,2024,246
4.0,4:47,1.0,10.0,LAR 40,9.0,13.0,Kyler Murray pass incomplete short middle intended for Michael Wilson,2.92,2.37,17.0,2024,246
4.0,4:44,2.0,10.0,LAR 40,9.0,13.0,Kyler Murray sacked by Kobie Turner for -7 yards,2.37,0.76,17.0,2024,246
4.0,4:03,3.0,17.0,LAR 47,9.0,13.0,Michael Wilson left end for 7 yards (tackle by Michael Hoecht),0.76,0.59,17.0,2024,246
4.0,3:14,4.0,10.0,LAR 40,9.0,13.0,Kyler Murray pass deep left intended for Marvin Harrison is intercepted by Kamren Kinchens in end zone and returned for 11 yards (tackle by Michael Wilson),0.59,0.37,17.0,2024,246
4.0,3:02,1.0,10.0,LAR 11,9.0,13.0,Kyren Williams right guard for 6 yards (tackle by L.J. Collier),-0.37,-0.16,17.0,2024,246
4.0,2:58,,,,,,Timeout #1 by Arizona Cardinals,,,17.0,2024,246
4.0,2:58,2.0,4.0,LAR 17,9.0,13.0,Kyren Williams right tackle for no gain (tackle by Budda Baker and Zaven Collins),-0.16,-0.72,17.0,2024,246
4.0,2:14,3.0,4.0,LAR 17,9.0,13.0,Matthew Stafford pass incomplete short right intended for Puka Nacua,-0.72,-2.32,17.0,2024,246
4.0,2:09,4.0,4.0,LAR 17,9.0,13.0,Ethan Evans punts 47 yards downed by Xavier Smith,-2.32,-1.33,17.0,2024,246
4.0,2:01,1.0,10.0,ARI 36,9.0,13.0,Kyler Murray pass incomplete short left intended for Trey McBride (defended by Kamren Curl),1.33,0.79,17.0,2024,246
4.0,1:55,2.0,10.0,ARI 36,9.0,13.0,Kyler Murray pass complete short right to Michael Carter for 6 yards (tackle by Darious Williams and Kamren Curl),0.79,0.89,17.0,2024,246
4.0,1:36,3.0,4.0,ARI 42,9.0,13.0,Kyler Murray pass complete short right to Trey McBride for 17 yards (tackle by Kamren Kinchens),0.89,2.85,17.0,2024,246
4.0,1:30,1.0,10.0,LAR 41,9.0,13.0,Kyler Murray pass complete short left to Marvin Harrison for 8 yards (tackle by Ahkello Witherspoon),2.85,3.39,17.0,2024,246
4.0,1:25,2.0,2.0,LAR 33,9.0,13.0,Michael Carter up the middle for 13 yards (tackle by Jaylen McCollough and Kamren Curl),3.39,4.24,17.0,2024,246
4.0,1:12,,,,,,Timeout #1 by Los Angeles Rams,,,17.0,2024,246
4.0,1:12,1.0,10.0,LAR 20,9.0,13.0,Kyler Murray pass complete short left to Trey McBride for 7 yards (tackle by Kamren Curl),4.24,4.83,17.0,2024,246
4.0,1:07,2.0,3.0,LAR 13,9.0,13.0,Michael Carter right tackle for 2 yards (tackle by Byron Young and Christian Rozeboom),4.83,4.59,17.0,2024,246
4.0,0:47,3.0,1.0,LAR 11,9.0,13.0,Michael Carter left guard for 6 yards (tackle by Jaylen McCollough),4.59,6.06,17.0,2024,246
4.0,0:42,,,,,,Timeout #2 by Los Angeles Rams,,,17.0,2024,246
