Quarter,Time,Down,ToGo,Location,ATL,NYJ,Detail,EPB,EPA,week,year,game_id
1.0,8:48,4.0,15.0,ATL 40,0.0,0.0,"Bradley Pinion punts 51 yards, fair catch by Xavier Gipson at NYJ-9",-0.72,0.38,13.0,2023,182
1.0,8:43,1.0,10.0,NYJ 9,0.0,0.0,Dalvin Cook up the middle for 4 yards (tackle by Albert Huggins),-0.38,-0.48,13.0,2023,182
1.0,8:07,2.0,6.0,NYJ 13,0.0,0.0,Tim Boyle pass complete short left to Dalvin Cook for 11 yards (tackle by Nathan Landman),-0.48,0.54,13.0,2023,182
1.0,7:27,1.0,10.0,NYJ 24,0.0,0.0,Xavier Gipson right end for 1 yard (tackle by Kaden Elliss),0.54,0.13,13.0,2023,182
1.0,6:49,2.0,9.0,NYJ 25,0.0,0.0,Dalvin Cook right guard for 14 yards (tackle by DeAundre Alford),0.13,1.53,13.0,2023,182
1.0,6:05,1.0,10.0,NYJ 39,0.0,0.0,Dalvin Cook right tackle for 4 yards (tackle by Jeff Okudah),1.53,1.53,13.0,2023,182
1.0,5:22,2.0,6.0,NYJ 43,0.0,0.0,Breece Hall right tackle for 2 yards (tackle by Calais Campbell and Jessie Bates),1.53,1.09,13.0,2023,182
1.0,4:39,3.0,4.0,NYJ 45,0.0,0.0,Tim Boyle pass complete short right to Tyler Conklin for 14 yards (tackle by DeMarcco Hellams),1.09,2.85,13.0,2023,182
1.0,4:04,1.0,10.0,ATL 41,0.0,0.0,Tim Boyle pass incomplete short right intended for Allen Lazard,2.85,2.31,13.0,2023,182
1.0,3:54,2.0,10.0,ATL 41,0.0,0.0,Breece Hall right tackle for -2 yards (tackle by Bud Dupree),2.31,1.35,13.0,2023,182
1.0,3:13,3.0,12.0,ATL 43,0.0,0.0,Tim Boyle sacked by Bud Dupree for -5 yards,1.35,0.07,13.0,2023,182
1.0,2:28,4.0,17.0,ATL 48,0.0,0.0,Thomas Morstead punts 47 yards downed by Justin Hardee,0.07,0.38,13.0,2023,182
1.0,2:15,1.0,10.0,ATL 1,0.0,0.0,Desmond Ridder up the middle for 1 yard (tackle by Perrion Winfrey),-0.38,-0.71,13.0,2023,182
1.0,1:40,2.0,9.0,ATL 2,0.0,2.0,"Bijan Robinson left end for -2 yards (tackle by Ashtyn Davis and Quinnen Williams), safety.",-0.71,-2.0,13.0,2023,182
1.0,1:36,,,ATL 20,0.0,2.0,"Bradley Pinion kicks off 72 yards, returned by Xavier Gipson for 25 yards (tackle by Tre Flowers)",0.0,1.14,13.0,2023,182
1.0,1:30,1.0,10.0,NYJ 33,0.0,2.0,Breece Hall up the middle for 3 yards (tackle by Ta'Quon Graham and Nathan Landman),1.14,1.0,13.0,2023,182
1.0,0:54,2.0,7.0,NYJ 36,0.0,2.0,Tim Boyle pass complete short left to Breece Hall for 2 yards (tackle by Clark Phillips),1.0,0.56,13.0,2023,182
1.0,0:12,3.0,5.0,NYJ 38,0.0,2.0,Tim Boyle pass incomplete deep middle intended for Tyler Conklin,0.56,-0.85,13.0,2023,182
1.0,0:06,4.0,5.0,NYJ 38,0.0,2.0,"Thomas Morstead punts 49 yards, returned by DeAundre Alford for 7 yards (tackle by Justin Hardee). Penalty on Tre Flowers: Offensive Holding, 10 yards (accepted)",-0.85,0.38,13.0,2023,182
2.0,15:00,1.0,10.0,ATL 10,0.0,2.0,Bijan Robinson right end for 1 yard (tackle by Quincy Williams and Quinton Jefferson),-0.38,-0.71,13.0,2023,182
2.0,14:24,2.0,9.0,ATL 11,0.0,2.0,Bijan Robinson left guard for 3 yards (tackle by Bryce Huff and Jordan Whitehead),-0.71,-0.95,13.0,2023,182
2.0,13:37,3.0,6.0,ATL 14,0.0,2.0,Desmond Ridder pass incomplete short left intended for Drake London,-0.95,-2.47,13.0,2023,182
2.0,13:31,4.0,6.0,ATL 14,0.0,2.0,"Bradley Pinion punts 59 yards, returned by Xavier Gipson for 17 yards (tackle by Andre Smith)",-2.47,-1.86,13.0,2023,182
2.0,13:19,1.0,10.0,NYJ 44,0.0,2.0,"Penalty on Carter Warren: False Start, 5 yards (accepted) (no play)",1.86,1.53,13.0,2023,182
2.0,13:19,1.0,15.0,NYJ 39,0.0,2.0,"Dalvin Cook up the middle for 7 yards. Dalvin Cook fumbles (forced by Nathan Landman), recovered by DeAundre Alford at NYJ-47",1.53,-2.46,13.0,2023,182
2.0,13:11,1.0,10.0,NYJ 47,0.0,2.0,Tyler Allgeier right guard for 4 yards (tackle by C.J. Mosley and Quincy Williams),2.46,2.45,13.0,2023,182
2.0,12:34,2.0,6.0,NYJ 43,0.0,2.0,Tyler Allgeier right tackle for 6 yards (tackle by Micheal Clemons and Tony Adams),2.45,3.12,13.0,2023,182
2.0,11:53,1.0,10.0,NYJ 37,0.0,2.0,Bijan Robinson right tackle for 1 yard (tackle by John Franklin-Myers and C.J. Mosley),3.12,2.71,13.0,2023,182
2.0,11:14,2.0,9.0,NYJ 36,0.0,2.0,Desmond Ridder pass complete short left to Kyle Pitts for 13 yards,2.71,4.04,13.0,2023,182
2.0,10:49,1.0,10.0,NYJ 23,0.0,2.0,Tyler Allgeier up the middle for 3 yards (tackle by Quinnen Williams),4.04,3.9,13.0,2023,182
2.0,10:10,2.0,7.0,NYJ 20,6.0,2.0,"Desmond Ridder pass complete deep right to MyCole Pruitt for 20 yards, touchdown",3.9,7.0,13.0,2023,182
2.0,10:04,,,NYJ 15,7.0,2.0,Younghoe Koo kicks extra point good,0.0,0.0,13.0,2023,182
2.0,10:04,,,ATL 35,7.0,2.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,182
2.0,10:04,1.0,10.0,NYJ 25,7.0,2.0,Tim Boyle pass incomplete deep left,0.61,0.06,13.0,2023,182
2.0,9:58,2.0,10.0,NYJ 25,7.0,2.0,Breece Hall up the middle for 4 yards (tackle by DeAundre Alford),0.06,-0.1,13.0,2023,182
2.0,9:22,3.0,6.0,NYJ 29,7.0,2.0,Tim Boyle pass complete short left to Garrett Wilson for 10 yards (tackle by Jeff Okudah),-0.1,1.53,13.0,2023,182
2.0,8:45,1.0,10.0,NYJ 39,7.0,2.0,Tim Boyle pass complete deep right to Xavier Gipson for 36 yards (tackle by Jeff Okudah),1.53,3.91,13.0,2023,182
2.0,7:54,,,,,,Timeout #1 by New York Jets,,,13.0,2023,182
2.0,7:54,1.0,10.0,ATL 25,7.0,2.0,Breece Hall right tackle for 5 yards (tackle by Ta'Quon Graham and Albert Huggins),3.91,4.04,13.0,2023,182
2.0,7:13,2.0,5.0,ATL 20,7.0,2.0,Breece Hall left end for -1 yards (tackle by Clark Phillips and DeAundre Alford),4.04,3.2,13.0,2023,182
2.0,6:42,3.0,6.0,ATL 21,7.0,2.0,Tim Boyle pass complete short right to Tyler Conklin for 5 yards (tackle by Jessie Bates and Kaden Elliss),3.2,2.53,13.0,2023,182
2.0,6:04,4.0,1.0,ATL 16,7.0,2.0,Tim Boyle up the middle for 2 yards (tackle by Bud Dupree and Calais Campbell),2.53,4.65,13.0,2023,182
2.0,5:23,1.0,10.0,ATL 14,7.0,2.0,Dalvin Cook right tackle for 1 yard (tackle by David Onyemata and Kentavius Street),4.65,4.16,13.0,2023,182
2.0,4:44,2.0,9.0,ATL 13,7.0,2.0,Tim Boyle pass complete short left to Xavier Gipson for 4 yards (tackle by DeAundre Alford),4.16,4.05,13.0,2023,182
2.0,4:04,3.0,5.0,ATL 9,7.0,2.0,Tim Boyle pass incomplete short right intended for Tyler Conklin,4.05,2.88,13.0,2023,182
2.0,4:00,4.0,5.0,ATL 9,7.0,5.0,Greg Zuerlein 27 yard field goal good,2.88,3.0,13.0,2023,182
2.0,3:56,,,NYJ 35,7.0,5.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,182
2.0,3:56,1.0,10.0,ATL 25,7.0,5.0,"Desmond Ridder pass incomplete deep left. Penalty on Desmond Ridder: Intentional Grounding, 10 yards (accepted)",0.61,-1.43,13.0,2023,182
2.0,3:49,2.0,20.0,ATL 15,7.0,5.0,"Cordarrelle Patterson up the middle for no gain (tackle by Jermaine Johnson and Micheal Clemons). Penalty on Solomon Thomas: Defensive Offside, 5 yards (accepted) (no play)",-1.43,-0.61,13.0,2023,182
2.0,3:38,2.0,15.0,ATL 20,7.0,5.0,"Desmond Ridder pass deep left is intercepted by D.J. Reed at NYJ-31 and returned for no gain (tackle by Drake London). Penalty on D.J. Reed: Illegal Contact, 5 yards (accepted) (no play)",-0.61,0.61,13.0,2023,182
2.0,3:22,1.0,10.0,ATL 25,7.0,5.0,Bijan Robinson right end for -1 yards (tackle by Quincy Williams),0.61,-0.07,13.0,2023,182
2.0,2:45,2.0,11.0,ATL 24,7.0,5.0,Desmond Ridder pass complete short middle to Cordarrelle Patterson for 6 yards (tackle by Jordan Whitehead),-0.07,0.04,13.0,2023,182
2.0,2:00,3.0,5.0,ATL 30,7.0,5.0,"Desmond Ridder pass incomplete short left intended for Kyle Pitts. Penalty on Kyle Pitts: Offensive Pass Interference, 10 yards (declined)",0.04,-1.37,13.0,2023,182
2.0,1:56,4.0,5.0,ATL 30,7.0,5.0,"Bradley Pinion punts 53 yards, returned by Xavier Gipson for 4 yards (tackle by DeMarcco Hellams). Penalty on Justin Hardee: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-1.37,0.37,13.0,2023,182
2.0,1:46,1.0,10.0,NYJ 11,7.0,5.0,"Breece Hall left end for 2 yards (tackle by Clark Phillips). Penalty on Garrett Wilson: Offensive Holding, 6 yards (accepted)",-0.37,-0.53,13.0,2023,182
2.0,1:39,1.0,14.0,NYJ 7,7.0,5.0,Tim Boyle pass complete short left to Breece Hall for -2 yards (tackle by Calais Campbell and Bud Dupree),-0.53,-1.22,13.0,2023,182
2.0,1:34,,,,,,Timeout #1 by Atlanta Falcons,,,13.0,2023,182
2.0,1:34,2.0,16.0,NYJ 5,7.0,5.0,Breece Hall left end for 9 yards (tackle by Kaden Elliss and DeMarcco Hellams),-1.22,-1.07,13.0,2023,182
2.0,1:28,3.0,7.0,NYJ 14,7.0,5.0,Tim Boyle pass incomplete deep right intended for Tyler Conklin,-1.07,-2.47,13.0,2023,182
2.0,1:24,4.0,7.0,NYJ 14,7.0,5.0,"Thomas Morstead punts 55 yards, returned by DeAundre Alford for 10 yards (tackle by Chazz Surratt). Penalty on Chazz Surratt: Personal Foul / Defense, 15 yards (accepted)",-2.47,-2.65,13.0,2023,182
2.0,1:13,1.0,10.0,NYJ 44,7.0,5.0,Bijan Robinson left tackle for 4 yards (tackle by Quincy Williams),2.65,2.65,13.0,2023,182
2.0,0:53,2.0,6.0,NYJ 40,7.0,5.0,Desmond Ridder pass complete short right to Bijan Robinson for 8 yards (tackle by Michael Carter),2.65,3.45,13.0,2023,182
2.0,0:29,1.0,10.0,NYJ 32,7.0,5.0,Desmond Ridder pass complete short right to Jonnu Smith for 1 yard (tackle by Sauce Gardner),3.45,3.04,13.0,2023,182
2.0,0:25,,,,,,Timeout #2 by Atlanta Falcons,,,13.0,2023,182
2.0,0:25,2.0,9.0,NYJ 31,7.0,5.0,"Desmond Ridder pass incomplete short right intended for Van Jefferson. Penalty on Quincy Williams: Defensive Pass Interference, 6 yards (accepted) (no play)",3.04,3.91,13.0,2023,182
2.0,0:21,1.0,10.0,NYJ 25,7.0,5.0,Desmond Ridder pass complete short left to Drake London for 8 yards (tackle by D.J. Reed),3.91,4.55,13.0,2023,182
2.0,0:17,2.0,2.0,NYJ 17,7.0,5.0,Desmond Ridder pass complete short left to Bijan Robinson for 9 yards (tackle by D.J. Reed),4.55,5.37,13.0,2023,182
2.0,0:12,1.0,8.0,NYJ 8,7.0,5.0,"Desmond Ridder pass incomplete short right intended for Drake London. Penalty on D.J. Reed: Unnecessary Roughness / Defense, 4 yards (accepted) (no play)",5.37,6.28,13.0,2023,182
2.0,0:07,,,,,,Timeout #2 by New York Jets,,,13.0,2023,182
2.0,0:07,1.0,4.0,NYJ 4,7.0,5.0,Desmond Ridder pass incomplete short right intended for Jonnu Smith (defended by D.J. Reed),6.28,5.34,13.0,2023,182
2.0,0:04,2.0,4.0,NYJ 4,10.0,5.0,Younghoe Koo 22 yard field goal good,5.34,3.0,13.0,2023,182
3.0,15:00,,,ATL 35,10.0,5.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,182
3.0,15:00,1.0,10.0,NYJ 25,10.0,5.0,Tim Boyle pass complete deep right to Garrett Wilson for 31 yards (tackle by Jeff Okudah),0.61,2.65,13.0,2023,182
3.0,14:25,1.0,10.0,ATL 44,10.0,5.0,Breece Hall up the middle for -2 yards (tackle by Nathan Landman and David Onyemata),2.65,1.84,13.0,2023,182
3.0,13:48,2.0,12.0,ATL 46,10.0,5.0,Tim Boyle pass complete short right to Breece Hall for 9 yards (tackle by Bud Dupree and Nathan Landman),1.84,2.35,13.0,2023,182
3.0,13:06,3.0,3.0,ATL 37,10.0,5.0,Tim Boyle pass incomplete short right intended for Tyler Conklin,2.35,0.79,13.0,2023,182
3.0,13:01,4.0,3.0,ATL 37,10.0,5.0,Tim Boyle pass complete short left to Garrett Wilson for 9 yards (tackle by DeAundre Alford),0.79,3.71,13.0,2023,182
3.0,12:20,1.0,10.0,ATL 28,10.0,5.0,"Penalty on Joe Tippmann: False Start, 5 yards (accepted) (no play)",3.71,3.38,13.0,2023,182
3.0,12:11,1.0,15.0,ATL 33,10.0,5.0,"Penalty on Mekhi Becton: False Start, 5 yards (accepted) (no play)",3.38,3.05,13.0,2023,182
3.0,12:00,1.0,20.0,ATL 38,10.0,5.0,Dalvin Cook up the middle for 4 yards (tackle by Ta'Quon Graham),3.05,2.36,13.0,2023,182
3.0,11:23,2.0,16.0,ATL 34,10.0,5.0,"Tim Boyle pass complete deep right to Garrett Wilson for no gain (tackle by Jessie Bates) ATL challenged the pass completion ruling, and the original play was overturned. Tim Boyle pass incomplete deep right intended for Garrett Wilson (defended by Jessie Bates)",2.36,1.68,13.0,2023,182
3.0,11:13,3.0,16.0,ATL 34,10.0,5.0,Tim Boyle pass complete short right to Xavier Gipson for 6 yards (tackle by Jessie Bates),1.68,1.59,13.0,2023,182
3.0,10:36,4.0,10.0,ATL 28,10.0,8.0,Greg Zuerlein 46 yard field goal good,1.59,3.0,13.0,2023,182
3.0,10:32,,,NYJ 35,10.0,8.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,182
3.0,10:32,1.0,10.0,ATL 25,10.0,8.0,Bijan Robinson left tackle for 6 yards (tackle by Jordan Whitehead),0.61,0.87,13.0,2023,182
3.0,9:59,2.0,4.0,ATL 31,10.0,8.0,Bijan Robinson right end for no gain (tackle by Sauce Gardner),0.87,0.17,13.0,2023,182
3.0,9:20,3.0,4.0,ATL 31,10.0,8.0,Desmond Ridder pass complete short left to Bijan Robinson for 9 yards (tackle by Sauce Gardner),0.17,1.6,13.0,2023,182
3.0,8:47,1.0,10.0,ATL 40,10.0,8.0,Bijan Robinson left tackle for 12 yards (tackle by Tony Adams),1.6,2.39,13.0,2023,182
3.0,8:08,1.0,10.0,NYJ 48,10.0,8.0,Tyler Allgeier left tackle for 6 yards (tackle by Quincy Williams and Perrion Winfrey),2.39,2.66,13.0,2023,182
3.0,7:27,2.0,4.0,NYJ 42,10.0,8.0,"Tyler Allgeier right tackle for 4 yards (tackle by Quincy Williams and Perrion Winfrey). Penalty on Kyle Pitts: Offensive Holding, 10 yards (accepted)",2.66,1.85,13.0,2023,182
3.0,7:06,2.0,10.0,NYJ 48,10.0,8.0,Desmond Ridder pass incomplete short middle,1.85,1.16,13.0,2023,182
3.0,7:00,3.0,10.0,NYJ 48,10.0,8.0,Desmond Ridder pass complete short left to Kyle Pitts for 12 yards (tackle by Tony Adams),1.16,3.18,13.0,2023,182
3.0,6:24,1.0,10.0,NYJ 36,10.0,8.0,Bijan Robinson up the middle for 3 yards (tackle by Jordan Whitehead and Quinton Jefferson),3.18,3.04,13.0,2023,182
3.0,5:52,2.0,7.0,NYJ 33,10.0,8.0,Desmond Ridder pass complete short right to Jonnu Smith for 9 yards (tackle by Michael Carter and C.J. Mosley),3.04,3.97,13.0,2023,182
3.0,5:11,1.0,10.0,NYJ 24,10.0,8.0,Cordarrelle Patterson left tackle for 2 yards (tackle by Tony Adams and Quincy Williams),3.97,3.7,13.0,2023,182
3.0,4:26,2.0,8.0,NYJ 22,10.0,8.0,Cordarrelle Patterson left end for -1 yards. Cordarrelle Patterson fumbles (forced by Quinnen Williams),3.7,2.74,13.0,2023,182
3.0,4:02,3.0,10.0,NYJ 24,10.0,8.0,Desmond Ridder pass incomplete short right intended for Bijan Robinson,2.74,1.87,13.0,2023,182
3.0,3:41,4.0,10.0,NYJ 24,13.0,8.0,Younghoe Koo 42 yard field goal good,1.87,3.0,13.0,2023,182
3.0,3:38,,,ATL 35,13.0,8.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,182
3.0,3:38,1.0,10.0,NYJ 25,13.0,8.0,Tim Boyle pass incomplete short right intended for Jeremy Ruckert,0.61,0.06,13.0,2023,182
3.0,3:33,2.0,10.0,NYJ 25,13.0,8.0,"Penalty on Jeremy Ruckert: False Start, 5 yards (accepted) (no play)",0.06,-0.61,13.0,2023,182
3.0,3:33,2.0,15.0,NYJ 20,13.0,8.0,Tim Boyle pass incomplete short right intended for Garrett Wilson,-0.61,-1.29,13.0,2023,182
3.0,3:30,3.0,15.0,NYJ 20,13.0,8.0,Tim Boyle pass complete short right to Xavier Gipson for 6 yards (tackle by DeAundre Alford and Jessie Bates),-1.29,-1.63,13.0,2023,182
3.0,2:56,4.0,9.0,NYJ 26,13.0,8.0,"Thomas Morstead punts 51 yards, recovered by DeAundre Alford at ATL-24, returned by DeAundre Alford for 5 yards (tackle by Chazz Surratt)",-1.63,-0.87,13.0,2023,182
3.0,2:45,1.0,10.0,ATL 29,13.0,8.0,Bijan Robinson left end for 4 yards (tackle by Tony Adams and C.J. Mosley),0.87,0.87,13.0,2023,182
3.0,2:07,2.0,6.0,ATL 33,13.0,8.0,Desmond Ridder sacked by Jermaine Johnson for -10 yards,0.87,-1.15,13.0,2023,182
3.0,1:25,3.0,16.0,ATL 23,13.0,8.0,Desmond Ridder pass incomplete short left intended for KhaDarel Hodge,-1.15,-1.83,13.0,2023,182
3.0,1:21,4.0,16.0,ATL 23,13.0,8.0,"Bradley Pinion punts 51 yards, returned by Xavier Gipson for 16 yards (tackle by Andre Smith and Keith Smith)",-1.83,-1.73,13.0,2023,182
3.0,1:08,1.0,10.0,NYJ 42,13.0,8.0,Dalvin Cook up the middle for 1 yard (tackle by Lorenzo Carter and Richie Grant),1.73,1.32,13.0,2023,182
3.0,0:35,2.0,9.0,NYJ 43,13.0,8.0,Tim Boyle pass deep left intended for Garrett Wilson is intercepted by Jessie Bates at ATL-32 and returned for no gain (tackle by Garrett Wilson),1.32,-1.07,13.0,2023,182
3.0,0:26,1.0,10.0,ATL 32,13.0,8.0,Bijan Robinson right end for 3 yards (tackle by Solomon Thomas and C.J. Mosley),1.07,0.93,13.0,2023,182
4.0,15:00,2.0,7.0,ATL 35,13.0,8.0,Bijan Robinson left end for 6 yards (tackle by Tony Adams),0.93,1.03,13.0,2023,182
4.0,14:32,3.0,1.0,ATL 41,13.0,8.0,"Penalty on Drew Dalman: False Start, 5 yards (accepted) (no play)",1.03,0.37,13.0,2023,182
4.0,14:32,,,,,,Timeout #1 by New York Jets,,,13.0,2023,182
4.0,14:32,3.0,6.0,ATL 36,13.0,8.0,Desmond Ridder pass complete short right to Kyle Pitts for 10 yards (tackle by Jordan Whitehead),0.37,1.99,13.0,2023,182
4.0,13:57,1.0,10.0,ATL 46,13.0,8.0,Tyler Allgeier left tackle for no gain (tackle by Solomon Thomas and Micheal Clemons),1.99,1.45,13.0,2023,182
4.0,13:28,2.0,10.0,ATL 46,13.0,8.0,Desmond Ridder pass incomplete short right intended for Drake London,1.45,0.76,13.0,2023,182
4.0,13:21,3.0,10.0,ATL 46,13.0,8.0,Desmond Ridder pass incomplete short left intended for Kyle Pitts (defended by D.J. Reed),0.76,-0.32,13.0,2023,182
4.0,13:16,4.0,10.0,ATL 46,13.0,8.0,Bradley Pinion punts 35 yards downed by Micah Abernathy,-0.32,-0.15,13.0,2023,182
4.0,13:06,1.0,10.0,NYJ 19,13.0,8.0,Trevor Siemian pass complete short right to Tyler Conklin for 16 yards (tackle by Jeff Okudah),0.15,1.27,13.0,2023,182
4.0,12:32,1.0,10.0,NYJ 35,13.0,8.0,Breece Hall up the middle for -5 yards (tackle by Lorenzo Carter),1.27,0.12,13.0,2023,182
4.0,11:54,2.0,14.0,NYJ 30,13.0,8.0,Trevor Siemian pass incomplete short right intended for Garrett Wilson,0.12,-0.63,13.0,2023,182
4.0,11:45,3.0,15.0,NYJ 30,13.0,8.0,Trevor Siemian pass complete short middle to Breece Hall for 4 yards (tackle by Kaden Elliss),-0.63,-1.11,13.0,2023,182
4.0,11:45,4.0,11.0,NYJ 34,13.0,8.0,"Penalty on Kaden Elliss: Personal Foul / Defense, 15 yards (accepted) (no play)",-1.11,2.19,13.0,2023,182
4.0,11:44,1.0,10.0,NYJ 49,13.0,8.0,Trevor Siemian pass incomplete short right intended for Dalvin Cook (defended by Nathan Landman),2.19,1.65,13.0,2023,182
4.0,11:29,2.0,10.0,NYJ 49,13.0,8.0,Dalvin Cook right guard for no gain (tackle by David Onyemata),1.65,0.96,13.0,2023,182
4.0,10:55,3.0,10.0,NYJ 49,13.0,8.0,Trevor Siemian pass incomplete short right intended for Jeremy Ruckert (defended by Lorenzo Carter),0.96,-0.13,13.0,2023,182
4.0,10:53,4.0,10.0,NYJ 49,13.0,8.0,"Thomas Morstead punts 42 yards, fair catch by DeAundre Alford at ATL-9",-0.13,0.38,13.0,2023,182
4.0,10:47,1.0,10.0,ATL 9,13.0,8.0,Desmond Ridder pass incomplete deep right intended for Drake London,-0.38,-0.78,13.0,2023,182
4.0,10:41,2.0,10.0,ATL 9,13.0,8.0,Bijan Robinson right end for 5 yards (tackle by Jamien Sherwood and Sauce Gardner),-0.78,-0.84,13.0,2023,182
4.0,10:00,3.0,5.0,ATL 14,13.0,8.0,Desmond Ridder pass incomplete deep left intended for Drake London (defended by Michael Carter),-0.84,-2.47,13.0,2023,182
4.0,9:53,4.0,5.0,ATL 14,13.0,8.0,"Bradley Pinion punts 42 yards, returned by Xavier Gipson for 8 yards (tackle by DeMarcco Hellams and Keith Smith)",-2.47,-2.39,13.0,2023,182
4.0,9:42,1.0,10.0,ATL 48,13.0,8.0,Dalvin Cook right tackle for no gain (tackle by David Onyemata and Bud Dupree),2.39,1.85,13.0,2023,182
4.0,9:04,2.0,10.0,ATL 48,13.0,8.0,"Trevor Siemian sacked by Bud Dupree for -5 yards. Trevor Siemian fumbles (forced by Bud Dupree), recovered by Laken Tomlinson at NYJ-42 and returned for 10 yards",1.85,-0.16,13.0,2023,182
4.0,8:17,3.0,20.0,NYJ 42,13.0,8.0,Trevor Siemian pass complete short left to Breece Hall for 9 yards (tackle by Kaden Elliss),-0.16,0.0,13.0,2023,182
4.0,7:47,4.0,11.0,ATL 49,13.0,8.0,"Thomas Morstead punts 37 yards, fair catch by DeAundre Alford at ATL-12",0.0,0.35,13.0,2023,182
4.0,7:35,1.0,10.0,ATL 12,13.0,8.0,Bijan Robinson right end for 2 yards (tackle by Quincy Williams and Solomon Thomas),-0.35,-0.61,13.0,2023,182
4.0,6:54,2.0,8.0,ATL 14,13.0,8.0,Bijan Robinson right end for 6 yards (tackle by Jordan Whitehead),-0.61,-0.48,13.0,2023,182
4.0,6:14,3.0,2.0,ATL 20,13.0,8.0,Cordarrelle Patterson right end for -1 yards (tackle by Jermaine Johnson),-0.48,-2.14,13.0,2023,182
4.0,5:32,4.0,3.0,ATL 19,13.0,8.0,"Bradley Pinion punts 51 yards, fair catch by Xavier Gipson at NYJ-30",-2.14,-0.94,13.0,2023,182
4.0,5:23,1.0,10.0,NYJ 30,13.0,8.0,Breece Hall right end for -1 yards (tackle by Kentavius Street),0.94,0.26,13.0,2023,182
4.0,4:46,2.0,11.0,NYJ 29,13.0,8.0,Trevor Siemian pass complete short middle to Jeremy Ruckert for 12 yards (tackle by Jessie Bates),0.26,1.66,13.0,2023,182
4.0,4:10,1.0,10.0,NYJ 41,13.0,8.0,Trevor Siemian scrambles right end for 8 yards (tackle by Kaden Elliss),1.66,2.2,13.0,2023,182
4.0,3:33,2.0,2.0,NYJ 49,13.0,8.0,Breece Hall left tackle for 3 yards (tackle by Jessie Bates),2.2,2.39,13.0,2023,182
