Quarter,Time,Down,ToGo,Location,KAN,GNB,Detail,EPB,EPA,week,year,game_id
1.0,0:01,4.0,16.0,GNB 16,3.0,7.0,Harrison Butker 34 yard field goal good,2.38,3.0,13.0,2023,192
2.0,15:00,,,KAN 35,3.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,192
2.0,15:00,1.0,10.0,GNB 25,3.0,7.0,Jordan Love pass complete short left to Tucker Kraft for 19 yards (tackle by Bryan Cook),0.61,1.86,13.0,2023,192
2.0,14:21,1.0,10.0,GNB 44,3.0,7.0,Christian Watson right end for 2 yards (tackle by George Karlaftis),1.86,1.59,13.0,2023,192
2.0,13:45,2.0,8.0,GNB 46,3.0,7.0,Jordan Love pass complete deep left to Dontayvion Wicks for 27 yards (tackle by Chamarri Conner),1.59,3.78,13.0,2023,192
2.0,13:02,1.0,10.0,KAN 27,3.0,7.0,Jordan Love pass complete short right to Tucker Kraft for 9 yards (tackle by Mike Edwards),3.78,4.53,13.0,2023,192
2.0,12:22,2.0,1.0,KAN 18,3.0,7.0,AJ Dillon up the middle for 4 yards (tackle by Willie Gay and Charles Omenihu),4.53,4.65,13.0,2023,192
2.0,11:39,1.0,10.0,KAN 14,3.0,7.0,AJ Dillon right end for 5 yards (tackle by Jack Cochrane),4.65,4.9,13.0,2023,192
2.0,10:48,,,,,,Timeout #2 by Green Bay Packers,,,13.0,2023,192
2.0,10:48,2.0,5.0,KAN 9,3.0,7.0,Jordan Love pass incomplete short right intended for Christian Watson,4.9,4.05,13.0,2023,192
2.0,10:44,3.0,5.0,KAN 9,3.0,13.0,"Jordan Love pass complete short middle to Christian Watson for 9 yards, touchdown",4.05,7.0,13.0,2023,192
2.0,10:39,,,KAN 15,3.0,14.0,Anders Carlson kicks extra point good,0.0,0.0,13.0,2023,192
2.0,10:39,,,GNB 35,3.0,14.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,192
2.0,10:39,1.0,10.0,KAN 25,3.0,14.0,Isiah Pacheco left end for 1 yard (tackle by Kenny Clark and Kingsley Enagbare),0.61,0.2,13.0,2023,192
2.0,10:05,2.0,9.0,KAN 26,3.0,14.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 5 yards (tackle by Jonathan Owens),0.2,0.17,13.0,2023,192
2.0,9:28,3.0,4.0,KAN 31,3.0,14.0,Patrick Mahomes pass complete short right to Skyy Moore for 5 yards (tackle by Keisean Nixon and Quay Walker),0.17,1.33,13.0,2023,192
2.0,8:49,1.0,10.0,KAN 36,3.0,14.0,Isiah Pacheco right end for 2 yards (tackle by Quay Walker and Tedarrell Slaton),1.33,1.06,13.0,2023,192
2.0,8:10,2.0,8.0,KAN 38,3.0,14.0,Patrick Mahomes pass complete short middle to Travis Kelce for 23 yards (tackle by Darnell Savage),1.06,2.98,13.0,2023,192
2.0,7:27,1.0,10.0,GNB 39,3.0,14.0,Patrick Mahomes scrambles left end for 8 yards (tackle by Corey Ballentine),2.98,3.52,13.0,2023,192
2.0,6:52,2.0,2.0,GNB 31,3.0,14.0,Clyde Edwards-Helaire right end for 1 yard (tackle by De'Vondre Campbell and Rashan Gary),3.52,2.94,13.0,2023,192
2.0,6:16,3.0,1.0,GNB 30,3.0,14.0,Isiah Pacheco left tackle for 8 yards (tackle by Preston Smith),2.94,4.11,13.0,2023,192
2.0,5:37,1.0,10.0,GNB 22,3.0,14.0,Patrick Mahomes pass incomplete short middle intended for Rashee Rice,4.11,3.56,13.0,2023,192
2.0,5:32,2.0,10.0,GNB 22,3.0,14.0,Patrick Mahomes pass complete short left to Travis Kelce for 10 yards (tackle by De'Vondre Campbell and Corey Ballentine),3.56,4.78,13.0,2023,192
2.0,4:57,1.0,10.0,GNB 12,3.0,14.0,Isiah Pacheco up the middle for 4 yards (tackle by Tedarrell Slaton and Karl Brooks),4.78,4.83,13.0,2023,192
2.0,4:16,2.0,6.0,GNB 8,3.0,14.0,"Patrick Mahomes scrambles left tackle for no gain (tackle by Jonathan Owens). Penalty on Creed Humphrey: Offensive Holding, 10 yards (accepted) (no play)",4.83,3.31,13.0,2023,192
2.0,3:45,2.0,16.0,GNB 18,3.0,14.0,Patrick Mahomes pass complete short right to Rashee Rice for 7 yards (tackle by Darnell Savage),3.31,3.29,13.0,2023,192
2.0,3:08,3.0,9.0,GNB 11,3.0,14.0,Patrick Mahomes sacked by and Preston Smith for -5 yards and Devonte Wyatt for -5 yards,3.29,2.38,13.0,2023,192
2.0,2:23,4.0,14.0,GNB 16,6.0,14.0,Harrison Butker 34 yard field goal good,2.38,3.0,13.0,2023,192
2.0,2:19,,,KAN 35,6.0,14.0,"Harrison Butker kicks off 67 yards, returned by Keisean Nixon for 25 yards (tackle by Blake Bell and Cam Jones)",0.0,0.48,13.0,2023,192
2.0,2:14,1.0,10.0,GNB 23,6.0,14.0,James Robinson right end for 2 yards (tackle by Willie Gay),0.48,0.2,13.0,2023,192
2.0,2:00,2.0,8.0,GNB 25,6.0,14.0,Jordan Love pass complete short left to Romeo Doubs for 5 yards (tackle by L'Jarius Sneed),0.2,0.17,13.0,2023,192
2.0,1:22,3.0,3.0,GNB 30,6.0,14.0,Jordan Love pass complete short right to Christian Watson for 9 yards,0.17,1.53,13.0,2023,192
2.0,1:16,1.0,10.0,GNB 39,6.0,14.0,Patrick Taylor right end for 5 yards (tackle by Willie Gay and Bryan Cook),1.53,1.66,13.0,2023,192
2.0,0:53,2.0,5.0,GNB 44,6.0,14.0,Patrick Taylor up the middle for 24 yards (tackle by Bryan Cook),1.66,3.45,13.0,2023,192
2.0,0:32,,,,,,Timeout #1 by Kansas City Chiefs,,,13.0,2023,192
2.0,0:32,1.0,10.0,KAN 32,6.0,14.0,"Penalty on Jayden Reed: False Start, 5 yards (accepted) (no play)",3.45,3.12,13.0,2023,192
2.0,0:32,1.0,15.0,KAN 37,6.0,14.0,Jordan Love pass incomplete short middle intended for Patrick Taylor,3.12,2.23,13.0,2023,192
2.0,0:29,2.0,15.0,KAN 37,6.0,14.0,Jordan Love pass incomplete short right,2.23,1.55,13.0,2023,192
2.0,0:22,3.0,15.0,KAN 37,6.0,14.0,Jordan Love pass complete short middle to James Robinson for -2 yards (tackle by Jack Cochrane and Trent McDuffie),1.55,0.66,13.0,2023,192
2.0,0:18,,,,,,Timeout #2 by Kansas City Chiefs,,,13.0,2023,192
2.0,0:18,4.0,17.0,KAN 39,6.0,14.0,Daniel Whelan punts 36 yards downed by Rudy Ford,0.66,0.38,13.0,2023,192
2.0,0:09,1.0,10.0,KAN 3,6.0,14.0,Patrick Mahomes kneels for -1 yards,-0.38,-0.85,13.0,2023,192
3.0,15:00,,,GNB 35,6.0,14.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,192
3.0,15:00,1.0,10.0,KAN 25,6.0,14.0,Patrick Mahomes pass complete short middle to Travis Kelce for 21 yards (tackle by Carrington Valentine and Quay Walker),0.61,1.99,13.0,2023,192
3.0,14:26,1.0,10.0,KAN 46,6.0,14.0,"Patrick Mahomes pass complete short right to Isiah Pacheco for no gain (tackle by De'Vondre Campbell). Penalty on Jawaan Taylor: Offensive Holding, 10 yards (accepted) (no play)",1.99,1.33,13.0,2023,192
3.0,13:55,1.0,20.0,KAN 36,6.0,14.0,Kadarius Toney left end for no gain (tackle by Jonathan Owens and Preston Smith) (no play),1.33,1.0,13.0,2023,192
3.0,13:47,1.0,25.0,KAN 31,6.0,14.0,Isiah Pacheco up the middle for 3 yards (tackle by Kenny Clark),1.0,-0.17,13.0,2023,192
3.0,13:19,2.0,22.0,KAN 34,6.0,14.0,Patrick Mahomes pass complete short left to Rashee Rice for 4 yards (tackle by De'Vondre Campbell),-0.17,-0.3,13.0,2023,192
3.0,12:44,3.0,18.0,KAN 38,6.0,14.0,Patrick Mahomes pass complete deep middle to Travis Kelce for 27 yards (tackle by Jonathan Owens),-0.3,3.25,13.0,2023,192
3.0,12:01,1.0,10.0,GNB 35,6.0,14.0,Isiah Pacheco left guard for 11 yards (tackle by Kingsley Enagbare),3.25,3.97,13.0,2023,192
3.0,11:22,1.0,10.0,GNB 24,6.0,14.0,Patrick Mahomes pass complete short right to Rashee Rice for 13 yards (tackle by Darnell Savage),3.97,4.84,13.0,2023,192
3.0,10:49,1.0,10.0,GNB 11,6.0,14.0,Isiah Pacheco right end for 6 yards (tackle by Kingsley Enagbare and Tedarrell Slaton),4.84,5.28,13.0,2023,192
3.0,10:09,2.0,4.0,GNB 5,6.0,14.0,Patrick Mahomes pass complete short left to Rashee Rice for 4 yards (tackle by Quay Walker and Corey Ballentine),5.28,6.97,13.0,2023,192
3.0,9:41,1.0,1.0,GNB 1,12.0,14.0,"Isiah Pacheco left tackle for 1 yard, touchdown. Penalty on Lukas Van Ness: Defensive Offside, 5 yards (declined) . Penalty on Lukas Van Ness: Illegal Substitution, 5 yards (declined)",6.97,7.0,13.0,2023,192
3.0,9:39,1.0,1.0,GNB 2,12.0,14.0,"Two Point Attempt: Isiah Pacheco rushes, conversion fails.",1.0,-1.0,13.0,2023,192
3.0,9:39,,,KAN 35,12.0,14.0,"Harrison Butker kicks off 67 yards, returned by Keisean Nixon for 35 yards (tackle by Jaylen Watson)",0.0,1.14,13.0,2023,192
3.0,9:31,1.0,10.0,GNB 33,12.0,14.0,Jordan Love pass complete short left to AJ Dillon for 14 yards (tackle by Bryan Cook),1.14,2.06,13.0,2023,192
3.0,9:06,1.0,10.0,GNB 47,12.0,14.0,AJ Dillon right end for 2 yards (tackle by Jack Cochrane and Mike Edwards),2.06,1.79,13.0,2023,192
3.0,8:28,2.0,8.0,GNB 49,12.0,14.0,Jordan Love pass complete short left to Jayden Reed for no gain (tackle by L'Jarius Sneed),1.79,1.09,13.0,2023,192
3.0,7:45,3.0,8.0,GNB 49,12.0,14.0,Jordan Love pass complete short right to Jayden Reed for 7 yards (tackle by Trent McDuffie),1.09,0.33,13.0,2023,192
3.0,7:02,4.0,1.0,KAN 44,12.0,14.0,Jordan Love pass complete deep middle to Romeo Doubs for 33 yards (tackle by Justin Reid),0.33,4.84,13.0,2023,192
3.0,6:17,1.0,10.0,KAN 11,12.0,14.0,AJ Dillon up the middle for -1 yards (tackle by Jack Cochrane and Leo Chenal),4.84,3.98,13.0,2023,192
3.0,5:28,2.0,11.0,KAN 12,12.0,20.0,"Jordan Love pass complete short right to Christian Watson for 12 yards, touchdown. Penalty on L'Jarius Sneed: Defensive Holding, 5 yards (declined)",3.98,7.0,13.0,2023,192
3.0,5:23,,,KAN 15,12.0,21.0,Anders Carlson kicks extra point good,0.0,0.0,13.0,2023,192
3.0,5:23,,,GNB 35,12.0,21.0,"Anders Carlson kicks off 62 yards, returned by Richie James for 31 yards (tackle by Kristian Welch)",0.0,1.2,13.0,2023,192
3.0,5:17,1.0,10.0,KAN 34,12.0,21.0,Isiah Pacheco left guard for 5 yards (tackle by Lukas Van Ness),1.2,1.33,13.0,2023,192
3.0,4:44,2.0,5.0,KAN 39,12.0,21.0,Isiah Pacheco left end for 7 yards (tackle by Quay Walker),1.33,1.99,13.0,2023,192
3.0,4:07,1.0,10.0,KAN 46,12.0,21.0,Patrick Mahomes pass complete short right to Richie James for 12 yards (tackle by Keisean Nixon and Carrington Valentine),1.99,2.79,13.0,2023,192
3.0,3:26,1.0,10.0,GNB 42,12.0,21.0,"Patrick Mahomes pass complete short right to Travis Kelce for no gain (tackle by Carrington Valentine). Penalty on Devonte Wyatt: Defensive Offside, 5 yards (accepted) (no play)",2.79,3.52,13.0,2023,192
3.0,3:11,1.0,5.0,GNB 37,12.0,21.0,Isiah Pacheco right tackle for 1 yard (tackle by Keisean Nixon),3.52,3.05,13.0,2023,192
3.0,2:31,,,,,,Timeout #1 by Green Bay Packers,,,13.0,2023,192
3.0,2:31,2.0,4.0,GNB 36,12.0,21.0,Patrick Mahomes pass complete short right to Rashee Rice for 8 yards (tackle by Jonathan Owens),3.05,3.71,13.0,2023,192
3.0,2:01,1.0,10.0,GNB 28,12.0,21.0,Kadarius Toney right end for 6 yards (tackle by Quay Walker),3.71,3.98,13.0,2023,192
3.0,1:24,2.0,4.0,GNB 22,12.0,21.0,Isiah Pacheco up the middle for 8 yards (tackle by Quay Walker),3.98,4.65,13.0,2023,192
3.0,0:49,1.0,10.0,GNB 14,12.0,21.0,Isiah Pacheco left tackle for 13 yards (tackle by Keisean Nixon and Corey Ballentine),4.65,6.97,13.0,2023,192
3.0,0:14,1.0,1.0,GNB 1,12.0,21.0,Isiah Pacheco left tackle for -1 yards (tackle by Kenny Clark),6.97,5.72,13.0,2023,192
4.0,15:00,2.0,2.0,GNB 2,12.0,21.0,Patrick Mahomes pass incomplete short middle intended for Clyde Edwards-Helaire (defended by Tedarrell Slaton),5.72,4.95,13.0,2023,192
4.0,14:55,3.0,2.0,GNB 2,18.0,21.0,"Patrick Mahomes pass complete short left to Noah Gray for 2 yards, touchdown",4.95,7.0,13.0,2023,192
4.0,14:51,,,GNB 15,19.0,21.0,Harrison Butker kicks extra point good,0.0,0.0,13.0,2023,192
4.0,14:51,,,KAN 35,19.0,21.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,192
4.0,14:51,1.0,10.0,GNB 25,19.0,21.0,AJ Dillon right end for 2 yards (tackle by Matt Dickerson),0.61,0.33,13.0,2023,192
4.0,14:11,2.0,8.0,GNB 27,19.0,21.0,Jordan Love scrambles left end for 8 yards (tackle by Jack Cochrane),0.33,1.27,13.0,2023,192
4.0,13:30,1.0,10.0,GNB 35,19.0,21.0,Jordan Love pass complete short middle to Christian Watson for 5 yards (tackle by Justin Reid),1.27,1.4,13.0,2023,192
4.0,12:47,2.0,5.0,GNB 40,19.0,21.0,Jordan Love pass complete short left to Christian Watson for 7 yards (tackle by Justin Reid),1.4,2.06,13.0,2023,192
4.0,12:01,1.0,10.0,GNB 47,19.0,21.0,"Penalty on GNB: Delay of Game, 6 yards (accepted) (no play)",2.06,1.66,13.0,2023,192
4.0,12:01,1.0,16.0,GNB 41,19.0,21.0,Jordan Love pass incomplete deep left intended for Romeo Doubs,1.66,0.71,13.0,2023,192
4.0,11:57,2.0,16.0,GNB 41,19.0,21.0,Jordan Love pass incomplete short right intended for Dontayvion Wicks,0.71,0.04,13.0,2023,192
4.0,11:51,3.0,16.0,GNB 41,19.0,21.0,Jordan Love pass incomplete deep right intended for Jayden Reed,0.04,-0.65,13.0,2023,192
4.0,11:44,4.0,16.0,GNB 41,19.0,21.0,Daniel Whelan punts 40 yards out of bounds,-0.65,-0.15,13.0,2023,192
4.0,11:36,1.0,10.0,KAN 19,19.0,21.0,Isiah Pacheco right guard for 2 yards (tackle by Darnell Savage),0.15,-0.06,13.0,2023,192
4.0,11:04,2.0,8.0,KAN 21,19.0,21.0,Patrick Mahomes pass incomplete deep left intended for Marquez Valdes-Scantling,-0.06,-0.81,13.0,2023,192
4.0,10:57,3.0,8.0,KAN 21,19.0,21.0,Patrick Mahomes pass incomplete short middle intended for Richie James,-0.81,-1.96,13.0,2023,192
4.0,10:53,4.0,8.0,KAN 21,19.0,21.0,"Tommy Townsend punts 57 yards, returned by Keisean Nixon for 1 yard (tackle by Chamarri Conner)",-1.96,-0.48,13.0,2023,192
4.0,10:41,1.0,10.0,GNB 23,19.0,21.0,AJ Dillon left guard for 4 yards (tackle by Justin Reid),0.48,0.47,13.0,2023,192
4.0,10:03,2.0,6.0,GNB 27,19.0,21.0,"Jordan Love pass incomplete short left intended for Ben Sims. Penalty on Rasheed Walker: Offensive Holding, 10 yards (accepted) (no play)",0.47,-1.01,13.0,2023,192
4.0,9:55,2.0,16.0,GNB 17,19.0,21.0,Jordan Love pass complete deep left to Romeo Doubs for 27 yards (tackle by Justin Reid),-1.01,1.86,13.0,2023,192
4.0,9:13,1.0,10.0,GNB 44,19.0,21.0,Christian Watson left end for 13 yards (tackle by Michael Danna),1.86,2.72,13.0,2023,192
4.0,8:33,1.0,10.0,KAN 43,19.0,21.0,Jordan Love pass incomplete short right intended for Malik Heath,2.72,2.18,13.0,2023,192
4.0,8:25,2.0,10.0,KAN 43,19.0,21.0,AJ Dillon up the middle for 10 yards (tackle by Mike Edwards),2.18,3.38,13.0,2023,192
4.0,7:42,1.0,10.0,KAN 33,19.0,21.0,Jordan Love pass incomplete deep middle intended for Christian Watson,3.38,2.84,13.0,2023,192
4.0,7:37,2.0,10.0,KAN 33,19.0,21.0,Jordan Love pass complete short left to Malik Heath for 15 yards (tackle by Justin Reid),2.84,4.37,13.0,2023,192
4.0,6:57,1.0,10.0,KAN 18,19.0,21.0,Jordan Love pass incomplete short left intended for Tucker Kraft,4.37,3.8,13.0,2023,192
4.0,6:53,2.0,10.0,KAN 18,19.0,21.0,Jordan Love pass incomplete short left intended for Tucker Kraft,3.8,3.05,13.0,2023,192
4.0,6:47,3.0,10.0,KAN 18,19.0,21.0,Jordan Love sacked by Michael Danna for -4 yards,3.05,1.99,13.0,2023,192
4.0,6:07,4.0,14.0,KAN 22,19.0,24.0,Anders Carlson 40 yard field goal good,1.99,3.0,13.0,2023,192
4.0,6:03,,,GNB 35,19.0,24.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,192
4.0,6:03,1.0,10.0,KAN 25,19.0,24.0,Patrick Mahomes pass complete short right to Rashee Rice for 9 yards (tackle by Corey Ballentine),0.61,1.28,13.0,2023,192
4.0,5:26,2.0,1.0,KAN 34,19.0,24.0,"Patrick Mahomes pass incomplete deep left intended for Rashee Rice. Penalty on Corey Ballentine: Defensive Pass Interference, 17 yards (accepted) (no play)",1.28,2.32,13.0,2023,192
4.0,5:20,1.0,10.0,GNB 49,19.0,24.0,Patrick Mahomes pass deep right intended for Skyy Moore is intercepted by Keisean Nixon at GB-33 and returned for 2 yards (tackle by Skyy Moore),2.32,-1.27,13.0,2023,192
4.0,5:14,1.0,10.0,GNB 35,19.0,24.0,Jordan Love pass complete short right to Romeo Doubs for 7 yards (tackle by Jack Cochrane),1.27,1.67,13.0,2023,192
4.0,4:38,2.0,3.0,GNB 42,19.0,24.0,AJ Dillon right tackle for 6 yards (tackle by Justin Reid and Mike Edwards),1.67,2.13,13.0,2023,192
4.0,3:56,1.0,10.0,GNB 48,19.0,24.0,Jordan Love pass incomplete deep right intended for Tucker Kraft,2.13,1.58,13.0,2023,192
4.0,3:50,2.0,10.0,GNB 48,19.0,24.0,Jordan Love pass complete short left to Dontayvion Wicks for 9 yards (tackle by Willie Gay),1.58,2.08,13.0,2023,192
4.0,3:26,3.0,1.0,KAN 43,19.0,24.0,Jordan Love up the middle for 2 yards (tackle by Derrick Nnadi),2.08,2.85,13.0,2023,192
4.0,3:21,,,,,,Timeout #1 by Kansas City Chiefs,,,13.0,2023,192
4.0,3:21,1.0,10.0,KAN 41,19.0,24.0,AJ Dillon left guard for 7 yards (tackle by Michael Danna and Mike Edwards),2.85,3.25,13.0,2023,192
4.0,3:16,,,,,,Timeout #2 by Kansas City Chiefs,,,13.0,2023,192
4.0,3:16,2.0,3.0,KAN 34,19.0,24.0,Jordan Love pass complete short middle to Christian Watson for 10 yards (tackle by L'Jarius Sneed),3.25,3.97,13.0,2023,192
4.0,3:08,,,,,,Timeout #3 by Kansas City Chiefs,,,13.0,2023,192
4.0,3:08,1.0,10.0,KAN 24,19.0,24.0,AJ Dillon up the middle for 1 yard (tackle by Mike Edwards and Chamarri Conner),3.97,3.57,13.0,2023,192
4.0,2:24,2.0,9.0,KAN 23,19.0,24.0,AJ Dillon right end for 3 yards (tackle by Justin Reid and George Karlaftis),3.57,3.27,13.0,2023,192
4.0,2:00,3.0,6.0,KAN 20,19.0,24.0,Jordan Love sacked by Charles Omenihu for -10 yards,3.27,1.41,13.0,2023,192
4.0,1:14,,,,,,Timeout #2 by Green Bay Packers,,,13.0,2023,192
4.0,1:14,4.0,16.0,KAN 30,19.0,27.0,Anders Carlson 48 yard field goal good,1.41,3.0,13.0,2023,192
4.0,1:09,,,GNB 35,19.0,27.0,"Anders Carlson kicks off 61 yards,. Penalty on Henry Pearson: Offside on Free Kick, 5 yards (accepted)",0.0,0.94,13.0,2023,192
4.0,1:09,1.0,10.0,KAN 30,19.0,27.0,Patrick Mahomes pass incomplete short left intended for Isiah Pacheco,0.94,0.39,13.0,2023,192
4.0,1:05,2.0,10.0,KAN 30,19.0,27.0,"Patrick Mahomes scrambles right end for 10 yards (tackle by Jonathan Owens). Penalty on Jonathan Owens: Unnecessary Roughness / Defense, 15 yards (accepted)",0.39,2.59,13.0,2023,192
4.0,0:57,1.0,10.0,GNB 45,19.0,27.0,"Patrick Mahomes pass complete to Rashee Rice for no gain. Rashee Rice fumbles, recovered by Corey Ballentine at GB-35, touchdown Replay Assistant challenged the fumble ruling, and the original play was overturned. Patrick Mahomes pass complete short left to Rashee Rice for 10 yards (tackle by Quay Walker and Karl Brooks)",2.59,3.25,13.0,2023,192
4.0,0:50,1.0,10.0,GNB 35,19.0,27.0,"Penalty on Isiah Pacheco: Disqualification / Offense, 15 yards (accepted) (no play)",3.25,2.26,13.0,2023,192
4.0,0:50,1.0,10.0,GNB 50,19.0,27.0,Patrick Mahomes pass incomplete deep middle intended for Marquez Valdes-Scantling (defended by Carrington Valentine),2.26,1.71,13.0,2023,192
4.0,0:44,2.0,10.0,GNB 50,19.0,27.0,Patrick Mahomes pass complete short middle to Clyde Edwards-Helaire for 8 yards (tackle by Quay Walker and Corey Ballentine),1.71,2.08,13.0,2023,192
4.0,0:27,3.0,2.0,GNB 42,19.0,27.0,Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 9 yards (tackle by Corey Ballentine),2.08,3.38,13.0,2023,192
4.0,0:19,1.0,10.0,GNB 33,19.0,27.0,Patrick Mahomes pass incomplete deep middle intended for Marquez Valdes-Scantling,3.38,2.84,13.0,2023,192
4.0,0:14,,,,,,Timeout #3 by Green Bay Packers,,,13.0,2023,192
4.0,0:14,2.0,10.0,GNB 33,19.0,27.0,Patrick Mahomes pass incomplete deep left,2.84,2.15,13.0,2023,192
4.0,0:08,3.0,10.0,GNB 33,19.0,27.0,Patrick Mahomes pass incomplete short left,2.15,1.15,13.0,2023,192
4.0,0:05,4.0,10.0,GNB 33,19.0,27.0,Patrick Mahomes pass incomplete deep left (defended by Rudy Ford),1.15,1.14,13.0,2023,192
