Quarter,Time,Down,ToGo,Location,SEA,DAL,Detail,EPB,EPA,week,year,game_id
1.0,9:10,1.0,10.0,SEA 25,0.0,3.0,Zach Charbonnet right guard for 4 yards (tackle by Donovan Wilson),0.61,0.6,13.0,2023,181
1.0,8:35,2.0,6.0,SEA 29,0.0,3.0,Zach Charbonnet left end for 3 yards (tackle by Johnathan Hankins),0.6,0.3,13.0,2023,181
1.0,7:56,3.0,3.0,SEA 32,0.0,3.0,"Penalty on Evan Brown: False Start, 5 yards (accepted) (no play)",0.3,-0.36,13.0,2023,181
1.0,7:37,3.0,8.0,SEA 27,6.0,3.0,"Geno Smith pass complete deep middle to D.K. Metcalf for 73 yards, touchdown",-0.36,7.0,13.0,2023,181
1.0,7:28,,,DAL 15,7.0,3.0,Jason Myers kicks extra point good,0.0,0.0,13.0,2023,181
1.0,7:28,,,SEA 35,7.0,3.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
1.0,7:28,1.0,10.0,DAL 25,7.0,3.0,Tony Pollard left guard for 2 yards (tackle by Cameron Young and Dre'Mont Jones),0.61,0.33,13.0,2023,181
1.0,6:56,2.0,8.0,DAL 27,7.0,3.0,Dak Prescott sacked by Darrell Taylor for -8 yards,0.33,-1.51,13.0,2023,181
1.0,6:15,3.0,16.0,DAL 19,7.0,3.0,Dak Prescott pass complete short left to Jake Ferguson for 17 yards (tackle by Bobby Wagner),-1.51,1.33,13.0,2023,181
1.0,5:37,1.0,10.0,DAL 36,7.0,3.0,"Dak Prescott pass incomplete deep left intended for Jalen Tolbert. Penalty on Riq Woolen: Defensive Pass Interference, 47 yards (accepted) (no play)",1.33,4.44,13.0,2023,181
1.0,5:28,1.0,10.0,SEA 17,7.0,3.0,Rico Dowdle left end for 2 yards (tackle by Cameron Young),4.44,4.15,13.0,2023,181
1.0,4:52,2.0,8.0,SEA 15,7.0,9.0,"Dak Prescott pass complete short middle to CeeDee Lamb for 15 yards, touchdown",4.15,7.0,13.0,2023,181
1.0,4:48,,,SEA 15,7.0,10.0,Brandon Aubrey kicks extra point good,0.0,0.0,13.0,2023,181
1.0,4:48,,,DAL 35,7.0,10.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
1.0,4:48,1.0,10.0,SEA 25,7.0,10.0,Geno Smith pass complete short right to Tyler Lockett for no gain (tackle by Markquese Bell),0.61,0.06,13.0,2023,181
1.0,4:09,2.0,10.0,SEA 25,7.0,10.0,"Geno Smith pass complete short left to Jaxon Smith-Njigba for 3 yards (tackle by Jourdan Lewis and DaRon Bland). Penalty on D.K. Metcalf: Offensive Holding, 10 yards (declined)",0.06,-0.23,13.0,2023,181
1.0,3:43,3.0,7.0,SEA 28,7.0,10.0,"Geno Smith pass complete short left to Tyler Lockett for 13 yards. Penalty on Dante Fowler: Defensive Offside, 5 yards (declined)",-0.23,1.66,13.0,2023,181
1.0,3:22,1.0,10.0,SEA 41,7.0,10.0,Zach Charbonnet right tackle for 2 yards (tackle by Micah Parsons and Osa Odighizuwa),1.66,1.39,13.0,2023,181
1.0,2:44,2.0,8.0,SEA 43,7.0,10.0,Geno Smith pass complete deep left to D.K. Metcalf for 34 yards (tackle by DaRon Bland),1.39,4.04,13.0,2023,181
1.0,2:20,1.0,10.0,DAL 23,7.0,10.0,Zach Charbonnet right guard for no gain (tackle by Micah Parsons and Donovan Wilson),4.04,3.5,13.0,2023,181
1.0,1:43,2.0,10.0,DAL 23,7.0,10.0,Zach Charbonnet right tackle for 5 yards (tackle by DeMarcus Lawrence and Osa Odighizuwa),3.5,3.49,13.0,2023,181
1.0,1:06,3.0,5.0,DAL 18,7.0,10.0,Geno Smith pass incomplete short right,3.49,2.3,13.0,2023,181
1.0,1:01,4.0,5.0,DAL 18,7.0,10.0,"Penalty on SEA: Delay of Game, 6 yards (accepted) (no play)",2.3,1.87,13.0,2023,181
1.0,1:01,4.0,11.0,DAL 24,7.0,10.0,Jason Myers 42 yard field goal no good,1.87,-1.07,13.0,2023,181
1.0,0:58,1.0,10.0,DAL 32,7.0,10.0,Dak Prescott pass complete short middle to Luke Schoonmaker for 12 yards (tackle by Julian Love),1.07,1.86,13.0,2023,181
1.0,0:23,1.0,10.0,DAL 44,7.0,10.0,Dak Prescott pass incomplete short right intended for KaVontae Turpin,1.86,1.32,13.0,2023,181
1.0,0:19,2.0,10.0,DAL 44,7.0,10.0,Dak Prescott pass complete short left to CeeDee Lamb for 6 yards (tackle by Riq Woolen),1.32,1.42,13.0,2023,181
2.0,15:00,3.0,4.0,SEA 50,7.0,10.0,Dak Prescott left end for 3 yards (tackle by Julian Love),1.42,0.13,13.0,2023,181
2.0,14:19,4.0,1.0,SEA 47,7.0,10.0,Tony Pollard left end for 11 yards (tackle by Quandre Diggs),0.13,3.18,13.0,2023,181
2.0,13:48,1.0,10.0,SEA 36,7.0,10.0,Dak Prescott pass complete short right to Tony Pollard for 12 yards (tackle by Devon Witherspoon and Bobby Wagner),3.18,3.97,13.0,2023,181
2.0,13:01,1.0,10.0,SEA 24,7.0,10.0,Dak Prescott pass incomplete short left intended for KaVontae Turpin,3.97,3.43,13.0,2023,181
2.0,12:54,,,,,,Timeout #1 by Seattle Seahawks,,,13.0,2023,181
2.0,12:54,2.0,10.0,SEA 24,7.0,10.0,Rico Dowdle up the middle for 8 yards (tackle by Jarran Reed and Julian Love),3.43,3.95,13.0,2023,181
2.0,12:17,3.0,2.0,SEA 16,7.0,10.0,Dak Prescott pass complete short middle to CeeDee Lamb for 14 yards (tackle by Quandre Diggs),3.95,6.74,13.0,2023,181
2.0,11:46,1.0,2.0,SEA 2,7.0,10.0,"Dak Prescott pass incomplete short right. Penalty on Tyler Smith: Ineligible Downfield Pass, 5 yards (accepted) (no play)",6.74,5.6,13.0,2023,181
2.0,11:46,1.0,7.0,SEA 7,7.0,10.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb,5.6,4.76,13.0,2023,181
2.0,11:40,2.0,7.0,SEA 7,7.0,16.0,"Dak Prescott pass complete short left to Brandin Cooks for 7 yards, touchdown",4.76,7.0,13.0,2023,181
2.0,11:37,,,SEA 15,7.0,17.0,Brandon Aubrey kicks extra point good,0.0,0.0,13.0,2023,181
2.0,11:37,,,DAL 35,7.0,17.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
2.0,11:37,1.0,10.0,SEA 25,7.0,17.0,Geno Smith pass complete short left to Noah Fant for 10 yards (tackle by DaRon Bland),0.61,1.27,13.0,2023,181
2.0,11:07,1.0,10.0,SEA 35,7.0,17.0,Zach Charbonnet up the middle for 5 yards (tackle by DeMarcus Lawrence and Sam Williams),1.27,1.4,13.0,2023,181
2.0,10:30,2.0,5.0,SEA 40,7.0,17.0,Geno Smith pass incomplete short left intended for D.K. Metcalf,1.4,0.7,13.0,2023,181
2.0,10:25,3.0,5.0,SEA 40,7.0,17.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 11 yards (tackle by Jayron Kearse),0.7,2.32,13.0,2023,181
2.0,9:50,1.0,10.0,DAL 49,7.0,17.0,"Geno Smith pass incomplete deep middle intended for Tyler Lockett. Penalty on Rashaan Evans: Defensive Pass Interference, 40 yards (accepted) (no play)",2.32,5.14,13.0,2023,181
2.0,9:43,1.0,9.0,DAL 9,7.0,17.0,Geno Smith pass incomplete short right intended for Jaxon Smith-Njigba,5.14,4.38,13.0,2023,181
2.0,9:38,2.0,9.0,DAL 9,7.0,17.0,Zach Charbonnet up the middle for -5 yards (tackle by Osa Odighizuwa),4.38,3.0,13.0,2023,181
2.0,9:00,3.0,14.0,DAL 14,7.0,17.0,"Geno Smith pass incomplete short middle intended for Jaxon Smith-Njigba. Penalty on Stephon Gilmore: Defensive Pass Interference, 13 yards (accepted) (no play)",3.0,6.97,13.0,2023,181
2.0,8:56,1.0,1.0,DAL 1,13.0,17.0,"Zach Charbonnet up the middle for 1 yard, touchdown",6.97,7.0,13.0,2023,181
2.0,8:54,,,DAL 15,14.0,17.0,Jason Myers kicks extra point good,0.0,0.0,13.0,2023,181
2.0,8:54,,,SEA 35,14.0,17.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
2.0,8:54,1.0,10.0,DAL 25,14.0,17.0,Tony Pollard up the middle for 2 yards (tackle by Darrell Taylor),0.61,0.33,13.0,2023,181
2.0,8:24,2.0,8.0,DAL 27,14.0,17.0,Dak Prescott pass complete short right to Jake Ferguson for 7 yards (tackle by Frank Clark),0.33,0.56,13.0,2023,181
2.0,7:45,3.0,1.0,DAL 34,14.0,17.0,Tony Pollard left tackle for 3 yards (tackle by Bobby Wagner),0.56,1.4,13.0,2023,181
2.0,7:13,1.0,10.0,DAL 37,14.0,17.0,Dak Prescott pass complete short left to Jake Ferguson for 12 yards (tackle by Jamal Adams and Bobby Wagner),1.4,2.19,13.0,2023,181
2.0,6:38,1.0,10.0,DAL 49,14.0,17.0,Dak Prescott pass complete short middle to CeeDee Lamb for 9 yards (tackle by Devin Bush),2.19,2.86,13.0,2023,181
2.0,6:04,2.0,1.0,SEA 42,14.0,17.0,Rico Dowdle right tackle for no gain (tackle by Bobby Wagner),2.86,2.15,13.0,2023,181
2.0,5:28,3.0,1.0,SEA 42,14.0,17.0,Dak Prescott right guard for 2 yards (tackle by Boye Mafe),2.15,2.92,13.0,2023,181
2.0,4:47,1.0,10.0,SEA 40,14.0,17.0,Dak Prescott pass complete short left to CeeDee Lamb for 7 yards (tackle by Jamal Adams and Quandre Diggs),2.92,3.32,13.0,2023,181
2.0,4:09,2.0,3.0,SEA 33,14.0,17.0,Tony Pollard right guard for 4 yards (tackle by Jamal Adams and Bobby Wagner),3.32,3.64,13.0,2023,181
2.0,3:44,1.0,10.0,SEA 29,14.0,17.0,Tony Pollard left tackle for -4 yards (tackle by Jarran Reed),3.64,2.56,13.0,2023,181
2.0,3:05,2.0,14.0,SEA 33,14.0,17.0,Dak Prescott pass complete short middle to Rico Dowdle for 7 yards (tackle by Julian Love and Bobby Wagner),2.56,2.81,13.0,2023,181
2.0,2:22,3.0,7.0,SEA 26,14.0,17.0,Dak Prescott pass complete short middle to Brandin Cooks for 16 yards (tackle by Jamal Adams),2.81,4.91,13.0,2023,181
2.0,2:00,1.0,10.0,SEA 10,14.0,17.0,Dak Prescott left end for 4 yards (tackle by Riq Woolen),4.91,4.95,13.0,2023,181
2.0,1:49,,,,,,Timeout #2 by Seattle Seahawks,,,13.0,2023,181
2.0,1:49,2.0,6.0,SEA 6,14.0,17.0,"Dak Prescott sacked by Leonard Williams for -4 yards. Penalty on Tyler Smith: Offensive Holding, 10 yards (declined)",4.95,3.13,13.0,2023,181
2.0,1:49,,,,,,Timeout #1 by Dallas Cowboys,,,13.0,2023,181
2.0,1:49,3.0,10.0,SEA 10,14.0,17.0,Dak Prescott scrambles up the middle for 7 yards (tackle by Bobby Wagner),3.13,3.04,13.0,2023,181
2.0,1:40,,,,,,Timeout #3 by Seattle Seahawks,,,13.0,2023,181
2.0,1:40,4.0,3.0,SEA 3,14.0,17.0,"Dak Prescott scrambles right end for no gain, touchdown. Penalty on Terence Steele: Offensive Holding, 10 yards (accepted) (no play)",3.04,2.57,13.0,2023,181
2.0,1:33,4.0,13.0,SEA 13,14.0,20.0,Brandon Aubrey 31 yard field goal good,2.57,3.0,13.0,2023,181
2.0,1:30,,,DAL 35,14.0,20.0,"Penalty on Cameron Young: Unnecessary Roughness / Defense, 15 yards (accepted)",0.0,0.0,13.0,2023,181
2.0,1:30,,,DAL 50,14.0,20.0,"Brandon Aubrey kicks off 50 yards, touchback.",0.0,0.61,13.0,2023,181
2.0,1:30,1.0,10.0,SEA 25,14.0,20.0,Geno Smith pass incomplete short left intended for Zach Charbonnet,0.61,0.06,13.0,2023,181
2.0,1:26,2.0,10.0,SEA 25,14.0,20.0,Zach Charbonnet right tackle for 7 yards (tackle by Donovan Wilson),0.06,0.3,13.0,2023,181
2.0,0:48,3.0,3.0,SEA 32,14.0,20.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 11 yards (tackle by Donovan Wilson),0.3,1.8,13.0,2023,181
2.0,0:41,1.0,10.0,SEA 43,14.0,20.0,"Geno Smith pass incomplete intended for Jaxon Smith-Njigba. Penalty on Stephon Gilmore: Illegal Contact, 5 yards (declined) . Penalty on Dorance Armstrong: Defensive Offside, 5 yards (accepted) (no play)",1.8,2.53,13.0,2023,181
2.0,0:36,1.0,5.0,SEA 48,14.0,20.0,Geno Smith pass incomplete short middle intended for Tyler Lockett,2.53,1.93,13.0,2023,181
2.0,0:33,2.0,5.0,SEA 48,14.0,20.0,"Geno Smith pass complete short right to DeeJay Dallas for no gain. Penalty on Dante Fowler: Defensive Offside, 5 yards (accepted) (no play)",1.93,2.46,13.0,2023,181
2.0,0:29,1.0,10.0,DAL 47,14.0,20.0,Geno Smith pass complete short left to Tyler Lockett for 8 yards (tackle by Jourdan Lewis),2.46,2.99,13.0,2023,181
2.0,0:17,2.0,2.0,DAL 39,14.0,20.0,Geno Smith spiked the ball,2.99,2.28,13.0,2023,181
2.0,0:16,3.0,2.0,DAL 39,14.0,20.0,Geno Smith pass complete short left to Tyler Lockett for 9 yards (tackle by DaRon Bland),2.28,3.58,13.0,2023,181
2.0,0:13,1.0,10.0,DAL 30,14.0,20.0,"Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba. Penalty on DaRon Bland: Defensive Pass Interference, 29 yards (accepted) (no play)",3.58,6.97,13.0,2023,181
2.0,0:07,,,,,,Timeout #2 by Dallas Cowboys,,,13.0,2023,181
2.0,0:07,1.0,1.0,DAL 1,20.0,20.0,"Geno Smith pass complete short left to D.K. Metcalf for 1 yard, touchdown. Penalty on DeMarcus Lawrence: Defensive Offside, 5 yards (declined)",6.97,7.0,13.0,2023,181
2.0,0:04,,,DAL 15,21.0,20.0,Jason Myers kicks extra point good,0.0,0.0,13.0,2023,181
2.0,0:04,,,SEA 35,21.0,20.0,"Jason Myers kicks off 44 yards, returned by Hunter Luepke for 15 yards (tackle by Brady Russell)",0.0,1.27,13.0,2023,181
3.0,15:00,,,DAL 35,21.0,20.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
3.0,15:00,1.0,10.0,SEA 25,21.0,20.0,Zach Charbonnet left guard for 2 yards (tackle by Johnathan Hankins and Donovan Wilson),0.61,0.33,13.0,2023,181
3.0,14:22,2.0,8.0,SEA 27,21.0,20.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 6 yards (tackle by DaRon Bland),0.33,0.43,13.0,2023,181
3.0,13:40,3.0,2.0,SEA 33,21.0,20.0,Geno Smith pass complete short right to D.K. Metcalf for 13 yards (tackle by Malik Hooker and Stephon Gilmore),0.43,1.99,13.0,2023,181
3.0,13:07,1.0,10.0,SEA 46,21.0,20.0,Zach Charbonnet right guard for 14 yards (tackle by Jourdan Lewis),1.99,2.92,13.0,2023,181
3.0,12:26,1.0,10.0,DAL 40,21.0,20.0,"Zach Charbonnet left end for 7 yards (tackle by Markquese Bell and Dorance Armstrong). Penalty on Markquese Bell: Face Mask (15 Yards), 15 yards (accepted)",2.92,4.37,13.0,2023,181
3.0,12:05,1.0,10.0,DAL 18,21.0,20.0,Geno Smith pass incomplete short middle intended for Will Dissly,4.37,3.8,13.0,2023,181
3.0,12:02,2.0,10.0,DAL 18,21.0,20.0,Geno Smith pass complete short middle to D.K. Metcalf for 10 yards (tackle by Donovan Wilson and Damone Clark),3.8,5.37,13.0,2023,181
3.0,11:17,1.0,8.0,DAL 8,21.0,20.0,Zach Charbonnet right tackle for 2 yards (tackle by Osa Odighizuwa),5.37,4.95,13.0,2023,181
3.0,10:48,2.0,6.0,DAL 6,21.0,20.0,Zach Charbonnet left guard for 1 yard (tackle by Osa Odighizuwa and DeMarcus Lawrence),4.95,4.26,13.0,2023,181
3.0,10:05,3.0,5.0,DAL 5,27.0,20.0,"Geno Smith scrambles up the middle for 5 yards, touchdown. Penalty on Markquese Bell: Defensive Holding, 5 yards (declined)",4.26,7.0,13.0,2023,181
3.0,10:01,,,DAL 15,28.0,20.0,Jason Myers kicks extra point good,0.0,0.0,13.0,2023,181
3.0,10:01,,,SEA 35,28.0,20.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
3.0,10:01,1.0,10.0,DAL 25,28.0,20.0,"Dak Prescott pass incomplete deep right intended for Michael Gallup. Penalty on Tre Brown: Defensive Holding, 5 yards (accepted) (no play)",0.61,0.94,13.0,2023,181
3.0,9:55,1.0,10.0,DAL 30,28.0,20.0,Tony Pollard left tackle for 6 yards (tackle by Boye Mafe and Devon Witherspoon),0.94,1.2,13.0,2023,181
3.0,9:21,2.0,4.0,DAL 36,28.0,20.0,Tony Pollard right guard for 5 yards (tackle by Jamal Adams),1.2,1.66,13.0,2023,181
3.0,8:58,1.0,10.0,DAL 41,28.0,20.0,Rico Dowdle up the middle for 2 yards (tackle by Jarran Reed),1.66,1.39,13.0,2023,181
3.0,8:26,2.0,8.0,DAL 43,28.0,20.0,Dak Prescott pass complete short middle to Jake Ferguson for 15 yards (tackle by Dre'Mont Jones),1.39,2.79,13.0,2023,181
3.0,7:51,1.0,10.0,SEA 42,28.0,20.0,"Dak Prescott pass is intercepted by Quandre Diggs at SEA-5 and returned for no gain. Penalty on Boye Mafe: Defensive Offside, 5 yards (accepted) (no play)",2.79,3.52,13.0,2023,181
3.0,7:43,1.0,5.0,SEA 37,28.0,20.0,"Dak Prescott pass incomplete intended for CeeDee Lamb. Penalty on Riq Woolen: Defensive Holding, 5 yards (accepted) (no play)",3.52,3.45,13.0,2023,181
3.0,7:36,1.0,10.0,SEA 32,28.0,20.0,Tony Pollard left tackle for 2 yards (tackle by Cameron Young and Devon Witherspoon),3.45,3.17,13.0,2023,181
3.0,6:56,2.0,8.0,SEA 30,28.0,20.0,Dak Prescott pass complete short left to CeeDee Lamb for 9 yards (tackle by Riq Woolen),3.17,4.17,13.0,2023,181
3.0,6:21,1.0,10.0,SEA 21,28.0,20.0,Dak Prescott pass incomplete short left,4.17,3.63,13.0,2023,181
3.0,6:12,2.0,10.0,SEA 21,28.0,20.0,"Dak Prescott pass incomplete intended for Tony Pollard. Penalty on Bobby Wagner: Defensive Pass Interference, 2 yards (accepted) (no play)",3.63,4.31,13.0,2023,181
3.0,6:08,1.0,10.0,SEA 19,28.0,20.0,Dak Prescott sacked by Jarran Reed for -3 yards,4.31,3.36,13.0,2023,181
3.0,5:25,2.0,13.0,SEA 22,28.0,20.0,"Dak Prescott pass incomplete deep right intended for CeeDee Lamb. Penalty on Tre Brown: Illegal Contact, 5 yards (accepted) (no play)",3.36,4.44,13.0,2023,181
3.0,5:18,1.0,10.0,SEA 17,28.0,20.0,Tony Pollard right end for -3 yards (tackle by Jamal Adams),4.44,3.49,13.0,2023,181
3.0,4:42,2.0,13.0,SEA 20,28.0,20.0,Dak Prescott pass complete short right to Jake Ferguson for 14 yards (tackle by Leonard Williams and Bobby Wagner),3.49,5.83,13.0,2023,181
3.0,3:51,1.0,6.0,SEA 6,28.0,20.0,Dak Prescott pass incomplete short right intended for Tony Pollard,5.83,4.95,13.0,2023,181
3.0,3:46,2.0,6.0,SEA 6,28.0,26.0,"Tony Pollard for 6 yards, touchdown",4.95,7.0,13.0,2023,181
3.0,3:41,,,SEA 15,28.0,27.0,Brandon Aubrey kicks extra point good,0.0,0.0,13.0,2023,181
3.0,3:41,,,DAL 35,28.0,27.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
3.0,3:41,1.0,10.0,SEA 25,28.0,27.0,Zach Charbonnet up the middle for 3 yards (tackle by Osa Odighizuwa and Markquese Bell),0.61,0.47,13.0,2023,181
3.0,3:08,2.0,7.0,SEA 28,28.0,27.0,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Stephon Gilmore),0.47,-0.23,13.0,2023,181
3.0,3:02,3.0,7.0,SEA 28,28.0,27.0,Geno Smith pass short right intended for Tyler Lockett is intercepted by DaRon Bland at SEA-38 and returned for no gain (tackle by Tyler Lockett),-0.23,-3.05,13.0,2023,181
3.0,2:56,1.0,10.0,SEA 38,28.0,27.0,Rico Dowdle right guard for 3 yards (tackle by Devon Witherspoon and Jamal Adams),3.05,2.91,13.0,2023,181
3.0,2:21,2.0,7.0,SEA 35,28.0,27.0,Dak Prescott pass complete short left to CeeDee Lamb for 2 yards (tackle by Riq Woolen),2.91,2.48,13.0,2023,181
3.0,1:43,3.0,5.0,SEA 33,28.0,27.0,Dak Prescott pass complete short left to Brandin Cooks for 3 yards (tackle by Bobby Wagner),2.48,1.5,13.0,2023,181
3.0,1:09,4.0,2.0,SEA 30,28.0,27.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb,1.5,-0.94,13.0,2023,181
3.0,1:04,1.0,10.0,SEA 30,28.0,27.0,Geno Smith pass complete deep left to Noah Fant for 25 yards (tackle by Jayron Kearse),0.94,2.59,13.0,2023,181
3.0,0:22,1.0,10.0,DAL 45,28.0,27.0,DeeJay Dallas sacked by Johnathan Hankins for no gain,2.59,2.04,13.0,2023,181
3.0,0:02,2.0,10.0,DAL 45,28.0,27.0,Geno Smith pass complete short left to Zach Charbonnet for 39 yards (tackle by Dorance Armstrong),2.04,5.83,13.0,2023,181
4.0,15:00,1.0,6.0,DAL 6,28.0,27.0,Zach Charbonnet left tackle for 3 yards (tackle by Damone Clark and Markquese Bell),5.83,5.53,13.0,2023,181
4.0,14:22,2.0,3.0,DAL 3,34.0,27.0,"Geno Smith pass complete short left to D.K. Metcalf for 3 yards, touchdown",5.53,7.0,13.0,2023,181
4.0,14:17,,,DAL 15,35.0,27.0,Jason Myers kicks extra point good,0.0,0.0,13.0,2023,181
4.0,14:17,,,SEA 35,35.0,27.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
4.0,14:17,1.0,10.0,DAL 25,35.0,27.0,Tony Pollard left guard for 6 yards (tackle by Leonard Williams),0.61,0.87,13.0,2023,181
4.0,13:45,2.0,4.0,DAL 31,35.0,27.0,"Dak Prescott pass incomplete intended for CeeDee Lamb. Penalty on Riq Woolen: Defensive Pass Interference, 35 yards (accepted) (no play)",0.87,3.31,13.0,2023,181
4.0,13:38,1.0,10.0,SEA 34,35.0,27.0,Dak Prescott pass complete deep right to Jalen Tolbert for 17 yards,3.31,4.44,13.0,2023,181
4.0,12:58,1.0,10.0,SEA 17,35.0,27.0,Dak Prescott pass complete short right to Tony Pollard for -2 yards (tackle by Devin Bush),4.44,3.6,13.0,2023,181
4.0,12:19,2.0,12.0,SEA 19,35.0,27.0,Tony Pollard left end for no gain (tackle by Devon Witherspoon),3.6,2.91,13.0,2023,181
4.0,11:32,3.0,12.0,SEA 19,35.0,27.0,Dak Prescott pass incomplete deep middle intended for CeeDee Lamb,2.91,2.18,13.0,2023,181
4.0,11:27,4.0,12.0,SEA 19,35.0,30.0,Brandon Aubrey 38 yard field goal good,2.18,3.0,13.0,2023,181
4.0,11:23,,,DAL 35,35.0,30.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
4.0,11:23,1.0,10.0,SEA 25,35.0,30.0,Zach Charbonnet right guard for 3 yards (tackle by DeMarcus Lawrence),0.61,0.47,13.0,2023,181
4.0,10:37,,,,,,Timeout #1 by Seattle Seahawks,,,13.0,2023,181
4.0,10:37,2.0,7.0,SEA 28,35.0,30.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 6 yards (tackle by Markquese Bell),0.47,0.56,13.0,2023,181
4.0,10:11,3.0,1.0,SEA 34,35.0,30.0,Geno Smith left guard for 1 yard (tackle by Damone Clark),0.56,1.27,13.0,2023,181
4.0,9:29,1.0,10.0,SEA 35,35.0,30.0,Zach Charbonnet left tackle for 3 yards (tackle by DeMarcus Lawrence and Markquese Bell),1.27,1.13,13.0,2023,181
4.0,8:54,2.0,7.0,SEA 38,35.0,30.0,Geno Smith pass incomplete short middle intended for Will Dissly (defended by DeMarcus Lawrence),1.13,0.43,13.0,2023,181
4.0,8:49,3.0,7.0,SEA 38,35.0,30.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 7 yards (tackle by Markquese Bell and Jayron Kearse),0.43,1.93,13.0,2023,181
4.0,8:01,1.0,10.0,SEA 45,35.0,30.0,Geno Smith pass incomplete deep middle intended for Tyler Lockett,1.93,1.38,13.0,2023,181
4.0,7:56,2.0,10.0,SEA 45,35.0,30.0,Geno Smith pass incomplete short right,1.38,0.7,13.0,2023,181
4.0,7:50,3.0,10.0,SEA 45,35.0,30.0,Geno Smith pass complete short left to Jake Bobo for 9 yards (tackle by Damone Clark and Dorance Armstrong),0.7,0.2,13.0,2023,181
4.0,7:08,4.0,1.0,DAL 46,35.0,30.0,Zach Charbonnet left tackle for no gain (tackle by DeMarcus Lawrence),0.2,-1.99,13.0,2023,181
