Quarter,Time,Down,ToGo,Location,CLE,LAR,Detail,EPB,EPA,week,year,game_id
2.0,5:44,3.0,9.0,CLE 3,7.0,10.0,Joe Flacco pass incomplete deep right intended for Elijah Moore,-1.3,-2.49,13.0,2023,190
2.0,5:39,4.0,9.0,CLE 3,7.0,10.0,"Corey Bojorquez punts 49 yards, returned by Austin Trammell for no gain (tackle by Pierre Strong and D'Anthony Bell). Penalty on Tre'Vius Tomlinson: Offensive Holding, 10 yards (accepted) . Penalty on Keir Thomas: Offensive Holding, 10 yards (declined)",-2.49,-1.47,13.0,2023,190
2.0,5:28,1.0,10.0,LAR 38,7.0,10.0,Kyren Williams left guard for 3 yards (tackle by Sione Takitaki and Martin Emerson),1.47,1.33,13.0,2023,190
2.0,4:56,2.0,7.0,LAR 41,7.0,10.0,Matthew Stafford pass incomplete deep left,1.33,0.63,13.0,2023,190
2.0,4:50,3.0,7.0,LAR 41,7.0,10.0,Matthew Stafford pass incomplete short right intended for Cooper Kupp,0.63,-0.65,13.0,2023,190
2.0,4:47,4.0,7.0,LAR 41,7.0,10.0,"Ethan Evans punts 59 yards, touchback.",-0.65,-0.28,13.0,2023,190
2.0,4:37,1.0,10.0,CLE 20,7.0,10.0,"Joe Flacco pass complete deep right to Elijah Moore for 42 yards (tackle by Derion Kendrick) LAR challenged the runner was in bounds ruling, and the play was upheld.",0.28,3.05,13.0,2023,190
2.0,4:22,1.0,10.0,LAR 38,7.0,10.0,Joe Flacco pass incomplete deep right intended for Elijah Moore,3.05,2.51,13.0,2023,190
2.0,4:15,2.0,10.0,LAR 38,7.0,10.0,Jerome Ford left tackle for 10 yards (tackle by John Johnson),2.51,3.71,13.0,2023,190
2.0,3:25,1.0,10.0,LAR 28,7.0,10.0,"Joe Flacco pass complete short middle to David Njoku for no gain (tackle by Ernest Jones). Penalty on Derion Kendrick: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",3.71,4.04,13.0,2023,190
2.0,3:15,1.0,10.0,LAR 23,7.0,10.0,Kareem Hunt left tackle for 1 yard (tackle by Ernest Jones and Kobie Turner),4.04,3.63,13.0,2023,190
2.0,2:20,2.0,9.0,LAR 22,7.0,10.0,Joe Flacco pass incomplete short left,3.63,2.94,13.0,2023,190
2.0,2:15,3.0,9.0,LAR 22,7.0,10.0,Joe Flacco pass incomplete deep middle intended for Elijah Moore,2.94,1.99,13.0,2023,190
2.0,2:11,4.0,9.0,LAR 22,10.0,10.0,Dustin Hopkins 40 yard field goal good,1.99,3.0,13.0,2023,190
2.0,2:06,,,CLE 35,10.0,10.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,190
2.0,2:06,1.0,10.0,LAR 25,10.0,10.0,Kyren Williams right guard for 2 yards (tackle by Ogbonnia Okoronkwo and Juan Thornhill),0.61,0.33,13.0,2023,190
2.0,2:00,2.0,8.0,LAR 27,10.0,10.0,Matthew Stafford pass complete short left to Kyren Williams for 6 yards (tackle by Greg Newsome and Jeremiah Owusu-Koramoah),0.33,0.43,13.0,2023,190
2.0,1:25,3.0,2.0,LAR 33,10.0,10.0,Matthew Stafford pass complete short right to Tyler Higbee for 14 yards (tackle by Anthony Walker and Jeremiah Owusu-Koramoah),0.43,2.06,13.0,2023,190
2.0,1:03,1.0,10.0,LAR 47,10.0,10.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,2.06,1.52,13.0,2023,190
2.0,0:58,2.0,10.0,LAR 47,10.0,10.0,Matthew Stafford pass complete short right to Ben Skowronek for 6 yards (tackle by Mike Ford),1.52,1.62,13.0,2023,190
2.0,0:53,3.0,4.0,CLE 47,10.0,10.0,Matthew Stafford pass complete short left to Tyler Higbee for 21 yards (tackle by Juan Thornhill),1.62,3.84,13.0,2023,190
2.0,0:45,1.0,10.0,CLE 26,10.0,10.0,Matthew Stafford pass complete short left to Cooper Kupp for 6 yards (tackle by Martin Emerson),3.84,4.11,13.0,2023,190
2.0,0:42,2.0,4.0,CLE 20,10.0,10.0,Matthew Stafford pass incomplete deep right intended for Ben Skowronek,4.11,3.4,13.0,2023,190
2.0,0:37,3.0,4.0,CLE 20,10.0,10.0,Kyren Williams right end for 8 yards (tackle by Mike Ford),3.4,4.78,13.0,2023,190
2.0,0:32,1.0,10.0,CLE 12,10.0,10.0,Matthew Stafford pass incomplete short middle intended for Kyren Williams (defended by Anthony Walker),4.78,4.1,13.0,2023,190
2.0,0:28,2.0,10.0,CLE 12,10.0,10.0,Matthew Stafford pass incomplete short right,4.1,3.12,13.0,2023,190
2.0,0:25,,,,,,Timeout #1 by Cleveland Browns,,,13.0,2023,190
2.0,0:25,3.0,10.0,CLE 12,10.0,10.0,Kyren Williams right tackle for 3 yards (tackle by Ogbonnia Okoronkwo),3.12,2.83,13.0,2023,190
2.0,0:05,,,,,,Timeout #2 by Los Angeles Rams,,,13.0,2023,190
2.0,0:05,4.0,7.0,CLE 9,10.0,13.0,Lucas Havrisik 28 yard field goal good,2.83,3.0,13.0,2023,190
3.0,15:00,,,CLE 35,10.0,13.0,"Dustin Hopkins kicks off 56 yards, returned by Austin Trammell for 8 yards (tackle by Kahlef Hailassie)",0.0,-0.06,13.0,2023,190
3.0,14:55,1.0,10.0,LAR 17,10.0,13.0,Kyren Williams left end for 18 yards (tackle by Juan Thornhill and Kahlef Hailassie),-0.06,1.27,13.0,2023,190
3.0,14:16,1.0,10.0,LAR 35,10.0,13.0,Kyren Williams right end for 3 yards (tackle by Sione Takitaki),1.27,1.13,13.0,2023,190
3.0,13:36,2.0,7.0,LAR 38,10.0,13.0,Matthew Stafford pass complete short right to Kyren Williams for 4 yards (tackle by Kahlef Hailassie),1.13,0.96,13.0,2023,190
3.0,12:49,3.0,3.0,LAR 42,10.0,13.0,Matthew Stafford pass incomplete deep left intended for Puka Nacua,0.96,-0.59,13.0,2023,190
3.0,12:40,4.0,3.0,LAR 42,10.0,13.0,"Ethan Evans punts 58 yards, touchback.",-0.59,-0.28,13.0,2023,190
3.0,12:32,1.0,10.0,CLE 20,10.0,13.0,Joe Flacco pass incomplete short left intended for Cedric Tillman,0.28,-0.27,13.0,2023,190
3.0,12:29,2.0,10.0,CLE 20,10.0,13.0,Kareem Hunt up the middle for 7 yards (tackle by Ernest Jones and John Johnson),-0.27,-0.03,13.0,2023,190
3.0,11:49,3.0,3.0,CLE 27,10.0,13.0,Joe Flacco pass complete short middle to David Njoku for 8 yards (tackle by Derion Kendrick and John Johnson),-0.03,1.27,13.0,2023,190
3.0,11:07,1.0,10.0,CLE 35,10.0,13.0,Joe Flacco pass complete short right to Harrison Bryant for 9 yards (tackle by Jordan Fuller),1.27,1.94,13.0,2023,190
3.0,10:29,2.0,1.0,CLE 44,10.0,13.0,Jerome Ford right tackle for 5 yards (tackle by Ernest Jones and Bobby Brown),1.94,2.19,13.0,2023,190
3.0,9:40,1.0,10.0,CLE 49,10.0,13.0,"Joe Flacco pass complete short right to David Njoku for 26 yards (tackle by Russ Yeast and Jonah Williams) LAR challenged the runner was in bounds ruling, and the original play was overturned. Joe Flacco pass incomplete short right intended for David Njoku",2.19,1.65,13.0,2023,190
3.0,9:34,2.0,10.0,CLE 49,10.0,13.0,Joe Flacco pass complete short left to David Bell for 6 yards (tackle by Christian Rozeboom),1.65,1.75,13.0,2023,190
3.0,8:55,3.0,4.0,LAR 45,10.0,13.0,Joe Flacco pass complete short left to David Bell for 6 yards (tackle by Jordan Fuller),1.75,2.98,13.0,2023,190
3.0,8:09,1.0,10.0,LAR 39,10.0,13.0,Joe Flacco pass complete short left to David Njoku for 9 yards (tackle by Ernest Jones),2.98,3.66,13.0,2023,190
3.0,7:29,2.0,1.0,LAR 30,10.0,13.0,Kareem Hunt left guard for 4 yards (tackle by Ernest Jones and John Johnson),3.66,3.84,13.0,2023,190
3.0,6:52,1.0,10.0,LAR 26,10.0,13.0,"Joe Flacco pass complete deep right to Elijah Moore for no gain (tackle by Derion Kendrick). Penalty on Cedric Tillman: Illegal Formation, 5 yards (accepted) (no play)",3.84,3.51,13.0,2023,190
3.0,6:40,1.0,15.0,LAR 31,10.0,13.0,Joe Flacco pass complete deep right to Elijah Moore for 22 yards (tackle by Jordan Fuller),3.51,5.14,13.0,2023,190
3.0,5:58,1.0,9.0,LAR 9,10.0,13.0,Jerome Ford up the middle for 3 yards (tackle by Jonah Williams and Aaron Donald),5.14,4.95,13.0,2023,190
3.0,5:13,2.0,6.0,LAR 6,10.0,13.0,Joe Flacco pass incomplete short left intended for Elijah Moore,4.95,4.04,13.0,2023,190
3.0,5:06,3.0,6.0,LAR 6,10.0,13.0,"Joe Flacco pass incomplete short right intended for David Njoku (defended by Ahkello Witherspoon). Penalty on David Njoku: Offensive Pass Interference, 10 yards (declined)",4.04,2.99,13.0,2023,190
3.0,5:02,4.0,6.0,LAR 6,13.0,13.0,Dustin Hopkins 24 yard field goal good,2.99,3.0,13.0,2023,190
3.0,4:58,,,CLE 35,13.0,13.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,190
3.0,4:58,1.0,10.0,LAR 25,13.0,13.0,Matthew Stafford pass complete short right to Cooper Kupp for 9 yards (tackle by Grant Delpit),0.61,1.28,13.0,2023,190
3.0,4:19,2.0,1.0,LAR 34,13.0,13.0,Kyren Williams left end for 10 yards (tackle by Grant Delpit and Jeremiah Owusu-Koramoah),1.28,1.86,13.0,2023,190
3.0,3:44,1.0,10.0,LAR 44,13.0,13.0,"Penalty on Puka Nacua: False Start, 5 yards (accepted) (no play)",1.86,1.53,13.0,2023,190
3.0,3:20,1.0,15.0,LAR 39,13.0,13.0,Puka Nacua right end for 31 yards (tackle by Juan Thornhill),1.53,3.58,13.0,2023,190
3.0,2:37,1.0,10.0,CLE 30,13.0,13.0,"Penalty on Coleman Shelton: False Start, 5 yards (accepted) (no play)",3.58,3.25,13.0,2023,190
3.0,2:37,1.0,15.0,CLE 35,13.0,13.0,Matthew Stafford pass incomplete short left intended for Tyler Higbee (defended by Martin Emerson),3.25,2.36,13.0,2023,190
3.0,2:06,2.0,15.0,CLE 35,13.0,13.0,"Penalty on Cooper Kupp: False Start, 5 yards (accepted) (no play)",2.36,1.68,13.0,2023,190
3.0,2:06,2.0,20.0,CLE 40,13.0,13.0,Matthew Stafford pass complete deep right to Demarcus Robinson for 30 yards (tackle by Juan Thornhill),1.68,4.91,13.0,2023,190
3.0,1:32,1.0,10.0,CLE 10,13.0,13.0,Kyren Williams up the middle for 3 yards (tackle by Juan Thornhill and Za'Darius Smith),4.91,4.76,13.0,2023,190
3.0,0:45,2.0,7.0,CLE 7,13.0,19.0,"Matthew Stafford pass complete short right to Demarcus Robinson for 7 yards, touchdown",4.76,7.0,13.0,2023,190
3.0,0:39,,,CLE 15,13.0,20.0,Lucas Havrisik kicks extra point good,0.0,0.0,13.0,2023,190
3.0,0:39,,,LAR 35,13.0,20.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,190
3.0,0:39,1.0,10.0,CLE 25,13.0,20.0,Joe Flacco pass incomplete deep right intended for David Njoku,0.61,0.06,13.0,2023,190
3.0,0:31,2.0,10.0,CLE 25,13.0,20.0,Joe Flacco pass complete short right to Jordan Akins for 6 yards (tackle by Christian Rozeboom),0.06,0.17,13.0,2023,190
4.0,15:00,3.0,4.0,CLE 31,13.0,20.0,Kareem Hunt up the middle for 5 yards (tackle by Byron Young),0.17,1.33,13.0,2023,190
4.0,14:20,1.0,10.0,CLE 36,13.0,20.0,Joe Flacco pass incomplete deep left,1.33,0.79,13.0,2023,190
4.0,14:15,2.0,10.0,CLE 36,13.0,20.0,Joe Flacco pass complete short right to Elijah Moore for 8 yards (tackle by Ahkello Witherspoon),0.79,1.16,13.0,2023,190
4.0,13:38,3.0,2.0,CLE 44,13.0,20.0,Kareem Hunt right guard for 6 yards (tackle by Bobby Brown),1.16,2.26,13.0,2023,190
4.0,12:54,1.0,10.0,LAR 50,13.0,20.0,Joe Flacco pass complete short left to Cedric Tillman for 7 yards (tackle by Russ Yeast and Byron Young),2.26,2.66,13.0,2023,190
4.0,12:09,2.0,3.0,LAR 43,13.0,20.0,Pierre Strong left tackle for 7 yards (tackle by Jordan Fuller),2.66,3.18,13.0,2023,190
4.0,11:43,1.0,10.0,LAR 36,13.0,20.0,Joe Flacco pass complete short left to Harrison Bryant for 4 yards (tackle by Troy Reeder),3.18,3.18,13.0,2023,190
4.0,11:02,2.0,6.0,LAR 32,13.0,20.0,Joe Flacco pass complete short right to Harrison Bryant for 5 yards (tackle by Ernest Jones and Kobie Turner),3.18,3.14,13.0,2023,190
4.0,10:24,3.0,1.0,LAR 27,13.0,20.0,Kareem Hunt right guard for 6 yards (tackle by Ahkello Witherspoon),3.14,4.17,13.0,2023,190
4.0,9:43,1.0,10.0,LAR 21,13.0,20.0,Pierre Strong right tackle for 13 yards (tackle by Keir Thomas),4.17,5.37,13.0,2023,190
4.0,8:56,1.0,8.0,LAR 8,19.0,20.0,"Joe Flacco pass complete short left to Harrison Bryant for 8 yards, touchdown",5.37,7.0,13.0,2023,190
4.0,8:49,,,LAR 15,19.0,20.0,Dustin Hopkins kicks extra point no good,0.0,-1.0,13.0,2023,190
4.0,8:49,,,CLE 35,19.0,20.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,190
4.0,8:49,1.0,10.0,LAR 25,19.0,20.0,"Puka Nacua right end for 3 yards (tackle by Grant Delpit). Penalty on Demarcus Robinson: Offensive Holding, 10 yards (accepted)",0.61,-0.01,13.0,2023,190
4.0,8:21,1.0,17.0,LAR 18,19.0,20.0,Kyren Williams right end for -2 yards (tackle by Kahlef Hailassie),-0.01,-1.29,13.0,2023,190
4.0,7:50,2.0,19.0,LAR 16,19.0,20.0,"Matthew Stafford pass incomplete deep right intended for Demarcus Robinson. Penalty on Rob Havenstein: Offensive Holding, 10 yards (declined)",-1.29,-2.14,13.0,2023,190
4.0,7:41,3.0,19.0,LAR 16,19.0,20.0,Matthew Stafford pass complete short middle to Kyren Williams for 14 yards (tackle by Greg Newsome and Grant Delpit),-2.14,-1.37,13.0,2023,190
4.0,7:02,4.0,5.0,LAR 30,19.0,20.0,"Ethan Evans punts 64 yards, returned by James Proche for 15 yards (tackle by Tre'Vius Tomlinson and Hunter Long)",-1.37,-0.34,13.0,2023,190
4.0,6:51,1.0,10.0,CLE 21,19.0,20.0,Joe Flacco pass deep right intended for Elijah Moore is intercepted by John Johnson at LA-34 and returned for 42 yards (tackle by Geron Christian and Wyatt Teller),0.34,-3.97,13.0,2023,190
4.0,6:32,1.0,10.0,CLE 24,19.0,20.0,Kyren Williams left tackle for 3 yards (tackle by Shelby Harris),3.97,3.84,13.0,2023,190
4.0,5:56,2.0,7.0,CLE 21,19.0,20.0,Matthew Stafford pass complete short right to Cooper Kupp for 13 yards (tackle by Jeremiah Owusu-Koramoah),3.84,5.37,13.0,2023,190
4.0,5:21,1.0,8.0,CLE 8,19.0,20.0,Kyren Williams up the middle for 3 yards (tackle by Jeremiah Owusu-Koramoah and Sione Takitaki),5.37,5.15,13.0,2023,190
4.0,4:42,2.0,5.0,CLE 5,19.0,20.0,Kyren Williams left end for 2 yards (tackle by Martin Emerson and Sione Takitaki),5.15,4.72,13.0,2023,190
4.0,3:51,3.0,3.0,CLE 3,19.0,26.0,"Matthew Stafford pass complete short right to Cooper Kupp for 3 yards, touchdown",4.72,7.0,13.0,2023,190
4.0,3:48,,,CLE 15,19.0,27.0,Lucas Havrisik kicks extra point good,0.0,0.0,13.0,2023,190
4.0,3:48,,,LAR 35,19.0,27.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,190
4.0,3:48,1.0,10.0,CLE 25,19.0,27.0,Jerome Ford up the middle for 7 yards (tackle by Ernest Jones and Jordan Fuller),0.61,1.01,13.0,2023,190
4.0,3:16,2.0,3.0,CLE 32,19.0,27.0,Jerome Ford right tackle for 2 yards (tackle by Kobie Turner and Aaron Donald),1.01,0.56,13.0,2023,190
4.0,2:39,3.0,1.0,CLE 34,19.0,27.0,"Penalty on Ethan Pocic: False Start, 4 yards (accepted) (no play)",0.56,0.04,13.0,2023,190
4.0,2:39,3.0,5.0,CLE 30,19.0,27.0,Joe Flacco pass incomplete short right intended for Elijah Moore,0.04,-1.37,13.0,2023,190
4.0,2:36,4.0,5.0,CLE 30,19.0,27.0,Joe Flacco pass incomplete short middle intended for David Njoku (defended by Russ Yeast),-1.37,-3.58,13.0,2023,190
4.0,2:29,1.0,10.0,CLE 30,19.0,27.0,"Matthew Stafford pass complete short right to Demarcus Robinson for 15 yards CLE challenged the runner was in bounds ruling, and the play was upheld.",3.58,4.58,13.0,2023,190
4.0,2:23,1.0,10.0,CLE 15,19.0,27.0,Kyren Williams right guard for 7 yards (tackle by Jordan Elliott),4.58,5.22,13.0,2023,190
4.0,2:17,,,,,,Timeout #2 by Cleveland Browns,,,13.0,2023,190
