Quarter,Time,Down,ToGo,Location,DET,NOR,Detail,EPB,EPA,week,year,game_id
2.0,4:41,2.0,11.0,DET 29,21.0,7.0,"Penalty on Taylor Decker: False Start, 5 yards (accepted) (no play)",0.26,-0.42,13.0,2023,185
2.0,4:24,2.0,16.0,DET 24,21.0,7.0,Jared Goff pass complete short right to Sam LaPorta for 11 yards (tackle by Nephi Sewell and Paulson Adebo),-0.42,0.37,13.0,2023,185
2.0,3:48,3.0,5.0,DET 35,21.0,7.0,Jared Goff pass complete short middle to Sam LaPorta for 14 yards (tackle by Jordan Howden),0.37,2.19,13.0,2023,185
2.0,3:05,1.0,10.0,DET 49,21.0,7.0,Jahmyr Gibbs right tackle for 1 yard (tackle by Nephi Sewell and Khalen Saunders),2.19,1.78,13.0,2023,185
2.0,2:27,2.0,9.0,DET 50,21.0,7.0,David Montgomery right guard for 2 yards (tackle by Nephi Sewell and Khalen Saunders),1.78,1.36,13.0,2023,185
2.0,2:00,3.0,7.0,NOR 48,21.0,7.0,Jared Goff pass complete deep right to Amon-Ra St. Brown for 24 yards (tackle by Paulson Adebo),1.36,3.97,13.0,2023,185
2.0,1:23,1.0,10.0,NOR 24,21.0,7.0,Kalif Raymond right end for 9 yards (tackle by Paulson Adebo),3.97,4.85,13.0,2023,185
2.0,1:06,,,,,,Timeout #1 by New Orleans Saints,,,13.0,2023,185
2.0,1:06,2.0,1.0,NOR 15,21.0,7.0,David Montgomery right guard for 4 yards (tackle by Malcolm Roach and Tanoh Kpassagnon),4.85,4.84,13.0,2023,185
2.0,1:01,,,,,,Timeout #2 by New Orleans Saints,,,13.0,2023,185
2.0,1:01,1.0,10.0,NOR 11,21.0,7.0,Jahmyr Gibbs right guard for 3 yards (tackle by Demario Davis and Carl Granderson),4.84,4.7,13.0,2023,185
2.0,0:22,2.0,7.0,NOR 8,21.0,7.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,4.7,3.76,13.0,2023,185
2.0,0:15,3.0,7.0,NOR 8,21.0,7.0,Jared Goff pass incomplete short left intended for Donovan Peoples-Jones,3.76,2.96,13.0,2023,185
2.0,0:10,4.0,7.0,NOR 8,24.0,7.0,Riley Patterson 26 yard field goal good,2.96,3.0,13.0,2023,185
2.0,0:08,,,DET 35,24.0,7.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,185
2.0,0:08,1.0,10.0,NOR 25,24.0,7.0,Derek Carr kneels for -1 yards,0.61,-0.07,13.0,2023,185
3.0,15:00,,,DET 35,24.0,7.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,185
3.0,15:00,1.0,10.0,NOR 25,24.0,7.0,Derek Carr pass complete short left to Lynn Bowden for 5 yards (tackle by Derrick Barnes),0.61,0.74,13.0,2023,185
3.0,14:27,2.0,5.0,NOR 30,24.0,7.0,Alvin Kamara left end for 7 yards (tackle by Jerry Jacobs and Derrick Barnes),0.74,1.4,13.0,2023,185
3.0,13:47,1.0,10.0,NOR 37,24.0,7.0,Taysom Hill pass incomplete deep left intended for Chris Olave (defended by Kerby Joseph),1.4,0.86,13.0,2023,185
3.0,13:39,2.0,10.0,NOR 37,24.0,7.0,Derek Carr pass complete short middle to Alvin Kamara for 12 yards (tackle by Brian Branch and Tracy Walker),0.86,2.19,13.0,2023,185
3.0,13:17,1.0,10.0,NOR 49,24.0,7.0,Alvin Kamara left tackle for no gain (tackle by Josh Paschal),2.19,1.65,13.0,2023,185
3.0,12:50,2.0,10.0,NOR 49,24.0,7.0,Derek Carr pass complete short middle to Taysom Hill for 18 yards (tackle by Tracy Walker),1.65,3.38,13.0,2023,185
3.0,12:09,1.0,10.0,DET 33,24.0,7.0,Taysom Hill right tackle for 1 yard (tackle by Kerby Joseph and Romeo Okwara),3.38,2.97,13.0,2023,185
3.0,11:36,2.0,9.0,DET 32,24.0,7.0,Derek Carr pass complete short left to Taysom Hill for -3 yards (tackle by Derrick Barnes),2.97,1.88,13.0,2023,185
3.0,10:53,3.0,12.0,DET 35,24.0,7.0,Derek Carr pass complete deep left to Chris Olave for 33 yards (tackle by Jerry Jacobs),1.88,6.74,13.0,2023,185
3.0,10:08,1.0,2.0,DET 2,24.0,13.0,"Alvin Kamara left guard for 2 yards, touchdown",6.74,7.0,13.0,2023,185
3.0,10:04,,,DET 15,24.0,14.0,Blake Grupe kicks extra point good,0.0,0.0,13.0,2023,185
3.0,10:04,,,NOR 35,24.0,14.0,"Blake Grupe kicks off 60 yards, returned by Khalil Dorsey for 22 yards (tackle by Isaac Yiadom)",0.0,0.74,13.0,2023,185
3.0,10:01,1.0,10.0,DET 27,24.0,14.0,David Montgomery left end for no gain (tackle by Demario Davis),0.74,0.2,13.0,2023,185
3.0,9:21,2.0,10.0,DET 27,24.0,14.0,"Penalty on Sam LaPorta: False Start, 5 yards (accepted) (no play)",0.2,-0.48,13.0,2023,185
3.0,9:08,2.0,15.0,DET 22,24.0,14.0,Jared Goff pass incomplete short right intended for Jahmyr Gibbs,-0.48,-1.15,13.0,2023,185
3.0,9:04,3.0,15.0,DET 22,24.0,14.0,Jared Goff pass complete short right to Sam LaPorta for 8 yards (tackle by Tyrann Mathieu and Alontae Taylor),-1.15,-1.37,13.0,2023,185
3.0,8:21,4.0,7.0,DET 30,24.0,14.0,"Jack Fox punts 48 yards, returned by Lynn Bowden for 16 yards (tackle by Craig Reynolds)",-1.37,-1.47,13.0,2023,185
3.0,8:11,1.0,10.0,NOR 38,24.0,14.0,Derek Carr pass complete deep middle to Chris Olave for 28 yards (tackle by Brian Branch),1.47,3.31,13.0,2023,185
3.0,7:33,1.0,10.0,DET 34,24.0,14.0,Derek Carr pass complete short right to Foster Moreau for 19 yards (tackle by Tracy Walker),3.31,4.58,13.0,2023,185
3.0,6:56,1.0,10.0,DET 15,24.0,14.0,Alvin Kamara right tackle for 9 yards (tackle by Jerry Jacobs),4.58,5.6,13.0,2023,185
3.0,6:13,2.0,1.0,DET 6,24.0,14.0,Taysom Hill right end for no gain (tackle by Jack Campbell and Tracy Walker),5.6,4.9,13.0,2023,185
3.0,5:32,3.0,1.0,DET 6,24.0,14.0,Taysom Hill left tackle for 5 yards (tackle by Aidan Hutchinson and Derrick Barnes),4.9,6.97,13.0,2023,185
3.0,4:51,1.0,1.0,DET 1,24.0,14.0,"Alvin Kamara left tackle for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Alvin Kamara left tackle for no gain (tackle by Malcolm Rodriguez and Jalen Reeves-Maybin)",6.97,5.91,13.0,2023,185
3.0,4:42,2.0,1.0,DET 1,24.0,20.0,"Taysom Hill left guard for 1 yard, touchdown",5.91,7.0,13.0,2023,185
3.0,4:34,,,DET 15,24.0,21.0,Blake Grupe kicks extra point good,0.0,0.0,13.0,2023,185
3.0,4:34,,,NOR 35,24.0,21.0,"Blake Grupe kicks off 62 yards, returned by Khalil Dorsey for 19 yards (tackle by Ty Summers and Johnathan Abram)",0.0,0.41,13.0,2023,185
3.0,4:27,1.0,10.0,DET 22,24.0,21.0,"Jared Goff pass incomplete deep left intended for Sam LaPorta. Penalty on Alontae Taylor: Defensive Holding, 5 yards (accepted) (no play)",0.41,0.74,13.0,2023,185
3.0,4:19,1.0,10.0,DET 27,24.0,21.0,Jared Goff pass complete short left to Brock Wright for 8 yards (tackle by Jordan Howden),0.74,1.28,13.0,2023,185
3.0,3:37,2.0,2.0,DET 35,24.0,21.0,David Montgomery right tackle for 3 yards (tackle by Khalen Saunders),1.28,1.47,13.0,2023,185
3.0,3:00,1.0,10.0,DET 38,24.0,21.0,Jared Goff pass complete deep right to Sam LaPorta for 48 yards (tackle by Paulson Adebo),1.47,4.65,13.0,2023,185
3.0,2:17,1.0,10.0,NOR 14,24.0,21.0,David Montgomery right guard for 1 yard (tackle by Nephi Sewell and Malcolm Roach),4.65,4.16,13.0,2023,185
3.0,1:37,2.0,9.0,NOR 13,24.0,21.0,Jahmyr Gibbs right end for 4 yards (tackle by Paulson Adebo),4.16,4.05,13.0,2023,185
3.0,0:53,3.0,5.0,NOR 9,24.0,21.0,David Montgomery right guard for 1 yard (tackle by Bryan Bresee and Carl Granderson),4.05,2.98,13.0,2023,185
3.0,0:07,4.0,4.0,NOR 8,24.0,21.0,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)",2.98,2.57,13.0,2023,185
3.0,0:01,4.0,9.0,NOR 13,27.0,21.0,Riley Patterson 32 yard field goal good,2.57,3.0,13.0,2023,185
4.0,15:00,,,DET 35,27.0,21.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,185
4.0,15:00,1.0,10.0,NOR 25,27.0,21.0,"Derek Carr aborted snap, recovered by Josh Paschal at NO-26",0.61,-3.84,13.0,2023,185
4.0,14:56,1.0,10.0,NOR 26,27.0,21.0,Jahmyr Gibbs right tackle for 7 yards (tackle by Demario Davis),3.84,4.27,13.0,2023,185
4.0,14:15,2.0,3.0,NOR 19,33.0,21.0,"Jameson Williams right end for 19 yards, touchdown",4.27,7.0,13.0,2023,185
4.0,14:07,,,NOR 2,33.0,21.0,Two Point Attempt: Jared Goff pass incomplete intended for intended for Amon-Ra St. Brown,1.0,-1.0,13.0,2023,185
4.0,14:07,,,DET 35,33.0,21.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,185
4.0,14:07,1.0,10.0,NOR 25,33.0,21.0,Derek Carr pass complete short middle to Foster Moreau for 9 yards (tackle by Jack Campbell),0.61,1.28,13.0,2023,185
4.0,13:35,2.0,1.0,NOR 34,33.0,21.0,Lynn Bowden right end for 4 yards (tackle by Brian Branch and Jack Campbell),1.28,1.47,13.0,2023,185
4.0,13:03,1.0,10.0,NOR 38,33.0,21.0,Taysom Hill up the middle for 4 yards (tackle by Alim McNeill),1.47,1.46,13.0,2023,185
4.0,12:24,2.0,6.0,NOR 42,33.0,21.0,Derek Carr pass complete short right to Alvin Kamara for 13 yards (tackle by Tracy Walker),1.46,2.59,13.0,2023,185
4.0,11:48,1.0,10.0,DET 45,33.0,21.0,Jamaal Williams right guard for 1 yard (tackle by Brian Branch),2.59,2.18,13.0,2023,185
4.0,11:15,2.0,9.0,DET 44,33.0,21.0,Derek Carr sacked by Romeo Okwara for -8 yards,2.18,0.43,13.0,2023,185
4.0,10:23,,,,,,Timeout #1 by New Orleans Saints,,,13.0,2023,185
4.0,10:23,3.0,17.0,NOR 48,33.0,21.0,Derek Carr pass complete short middle to Alvin Kamara for 8 yards (tackle by Jalen Reeves-Maybin and Derrick Barnes),0.43,0.33,13.0,2023,185
4.0,10:23,4.0,9.0,DET 44,33.0,21.0,"Penalty on Bruce Irvin: Roughing the Passer, 15 yards (accepted) (no play)",0.33,3.64,13.0,2023,185
4.0,10:12,1.0,10.0,DET 29,33.0,21.0,Taysom Hill left end for 7 yards (tackle by Kerby Joseph),3.64,4.05,13.0,2023,185
4.0,9:39,2.0,3.0,DET 22,33.0,21.0,Lynn Bowden right end for -10 yards (tackle by Quinton Bohanna),4.05,2.02,13.0,2023,185
4.0,8:57,3.0,13.0,DET 32,33.0,21.0,Jameis Winston pass complete deep left to Chris Olave for 30 yards (tackle by Kerby Joseph),2.02,6.74,13.0,2023,185
4.0,8:15,1.0,2.0,DET 2,33.0,21.0,Taysom Hill left end for 1 yard (tackle by Alim McNeill and Malcolm Rodriguez),6.74,5.91,13.0,2023,185
4.0,7:35,2.0,1.0,DET 1,33.0,27.0,"Alvin Kamara right guard for 1 yard, touchdown",5.91,7.0,13.0,2023,185
4.0,7:30,,,DET 15,33.0,28.0,Blake Grupe kicks extra point good,0.0,0.0,13.0,2023,185
4.0,7:30,,,NOR 35,33.0,28.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,185
4.0,7:30,1.0,10.0,DET 25,33.0,28.0,Jared Goff pass complete short left to Jahmyr Gibbs for -6 yards (tackle by Nephi Sewell),0.61,-0.81,13.0,2023,185
4.0,6:50,2.0,16.0,DET 19,33.0,28.0,Jared Goff pass complete short left to Sam LaPorta for 6 yards (tackle by Nephi Sewell),-0.81,-0.62,13.0,2023,185
4.0,6:15,3.0,10.0,DET 25,33.0,28.0,Jared Goff pass incomplete short right intended for David Montgomery,-0.62,-1.7,13.0,2023,185
4.0,6:08,4.0,10.0,DET 25,33.0,28.0,"Jack Fox punts 60 yards, returned by Lynn Bowden for 13 yards (tackle by Jake McQuaide and Anthony Pittman). Penalty on Lonnie Johnson: Offensive Holding, 10 yards (accepted)",-1.7,-0.04,13.0,2023,185
4.0,5:54,1.0,10.0,NOR 18,33.0,28.0,Jameis Winston pass complete short middle to Alvin Kamara for 11 yards (tackle by Brian Branch and Derrick Barnes),0.04,0.87,13.0,2023,185
4.0,5:15,1.0,10.0,NOR 29,33.0,28.0,Alvin Kamara right guard for 16 yards (tackle by Josh Paschal),0.87,1.93,13.0,2023,185
4.0,4:32,1.0,10.0,NOR 45,33.0,28.0,Taysom Hill left end for 8 yards (tackle by Brian Branch),1.93,2.46,13.0,2023,185
4.0,3:54,2.0,2.0,DET 47,33.0,28.0,Jamaal Williams left end for 3 yards (tackle by Jerry Jacobs),2.46,2.65,13.0,2023,185
4.0,3:48,1.0,10.0,DET 44,33.0,28.0,Taysom Hill up the middle for 4 yards (tackle by Derrick Barnes and Quinton Bohanna),2.65,2.65,13.0,2023,185
4.0,3:13,2.0,6.0,DET 40,33.0,28.0,Jameis Winston pass incomplete short middle intended for Chris Olave,2.65,1.95,13.0,2023,185
4.0,3:07,3.0,6.0,DET 40,33.0,28.0,Jameis Winston pass incomplete short right intended for Alvin Kamara,1.95,0.59,13.0,2023,185
4.0,3:01,4.0,6.0,DET 40,33.0,28.0,Jameis Winston pass incomplete short right intended for Chris Olave,0.59,-1.6,13.0,2023,185
4.0,2:56,1.0,10.0,DET 40,33.0,28.0,David Montgomery right guard for 3 yards (tackle by Nathan Shepherd and Demario Davis),1.6,1.46,13.0,2023,185
4.0,2:53,,,,,,Timeout #2 by New Orleans Saints,,,13.0,2023,185
4.0,2:53,2.0,7.0,DET 43,33.0,28.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown (defended by Paulson Adebo),1.46,0.76,13.0,2023,185
4.0,2:48,3.0,7.0,DET 43,33.0,28.0,Jared Goff pass complete short middle to Sam LaPorta for 10 yards (tackle by Jordan Howden),0.76,2.46,13.0,2023,185
4.0,2:03,1.0,10.0,NOR 47,33.0,28.0,David Montgomery left guard for 2 yards (tackle by Nathan Shepherd),2.46,2.18,13.0,2023,185
4.0,1:57,2.0,8.0,NOR 45,33.0,28.0,David Montgomery left tackle for -1 yards (tackle by Tanoh Kpassagnon),2.18,1.35,13.0,2023,185
4.0,1:54,,,,,,Timeout #3 by New Orleans Saints,,,13.0,2023,185
4.0,1:54,3.0,9.0,NOR 46,33.0,28.0,Jared Goff pass complete short left to Josh Reynolds for 12 yards (tackle by Alontae Taylor),1.35,3.31,13.0,2023,185
4.0,1:14,1.0,10.0,NOR 34,33.0,28.0,Jared Goff kneels for -1 yards,3.31,2.64,13.0,2023,185
4.0,0:39,2.0,11.0,NOR 35,33.0,28.0,Jared Goff kneels for -1 yards,2.64,1.82,13.0,2023,185
