Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA,week,year,game_id
2.0,15:00,1.0,15.0,LAC 46,0.0,0.0,Justin Herbert pass complete short left to Keenan Allen for 15 yards (tackle by Jonathan Jones),1.99,2.98,13.0,2023,187
2.0,14:27,1.0,10.0,NWE 39,0.0,0.0,Justin Herbert pass incomplete deep right intended for Donald Parham,2.98,2.44,13.0,2023,187
2.0,14:24,2.0,10.0,NWE 39,0.0,0.0,Justin Herbert scrambles right end for 1 yard (tackle by Keion White),2.44,1.88,13.0,2023,187
2.0,13:45,3.0,9.0,NWE 38,0.0,0.0,Justin Herbert pass incomplete short right intended for Jalen Guyton,1.88,0.72,13.0,2023,187
2.0,13:41,4.0,9.0,NWE 38,0.0,0.0,JK Scott punts 29 yards out of bounds,0.72,0.38,13.0,2023,187
2.0,13:33,1.0,10.0,NWE 9,0.0,0.0,Bailey Zappe pass complete short left to Ezekiel Elliott for 3 yards (tackle by Eric Kendricks),-0.38,-0.56,13.0,2023,187
2.0,12:57,2.0,7.0,NWE 12,0.0,0.0,Ezekiel Elliott up the middle for 5 yards (tackle by Nick Williams and Derwin James),-0.56,-0.48,13.0,2023,187
2.0,12:17,3.0,2.0,NWE 17,0.0,0.0,Ezekiel Elliott left end for -6 yards (tackle by Morgan Fox),-0.48,-2.49,13.0,2023,187
2.0,11:45,4.0,8.0,NWE 11,0.0,0.0,"Bryce Baringer punts 44 yards, returned by Derius Davis for 8 yards (tackle by Ty Montgomery)",-2.49,-2.46,13.0,2023,187
2.0,11:35,1.0,10.0,NWE 47,0.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for 11 yards (tackle by Ja'Whaun Bentley and J.C. Jackson),2.46,3.18,13.0,2023,187
2.0,11:11,1.0,10.0,NWE 36,0.0,0.0,Justin Herbert pass complete short right to Quentin Johnston for 8 yards (tackle by Jahlani Tavai and Ja'Whaun Bentley),3.18,3.72,13.0,2023,187
2.0,10:36,2.0,2.0,NWE 28,0.0,0.0,Austin Ekeler up the middle for 4 yards (tackle by Davon Godchaux and Jahlani Tavai),3.72,3.97,13.0,2023,187
2.0,10:00,1.0,10.0,NWE 24,0.0,0.0,Austin Ekeler left tackle for 4 yards (tackle by Jalen Mills and Jabrill Peppers),3.97,3.97,13.0,2023,187
2.0,9:24,2.0,6.0,NWE 20,0.0,0.0,Justin Herbert pass incomplete short left intended for Gerald Everett (defended by Jalen Mills),3.97,3.27,13.0,2023,187
2.0,9:18,3.0,6.0,NWE 20,0.0,0.0,Justin Herbert pass incomplete deep right intended for Keenan Allen,3.27,2.15,13.0,2023,187
2.0,9:13,4.0,6.0,NWE 20,3.0,0.0,Cameron Dicker 38 yard field goal good,2.15,3.0,13.0,2023,187
2.0,9:09,,,LAC 35,3.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,187
2.0,9:09,1.0,10.0,NWE 25,3.0,0.0,Ezekiel Elliott left end for 4 yards (tackle by Kenneth Murray),0.61,0.6,13.0,2023,187
2.0,8:36,2.0,6.0,NWE 29,3.0,0.0,Bailey Zappe pass complete short right to Ezekiel Elliott for 23 yards (tackle by Asante Samuel),0.6,2.39,13.0,2023,187
2.0,7:55,1.0,10.0,LAC 48,3.0,0.0,Ezekiel Elliott left guard for 4 yards (tackle by Eric Kendricks),2.39,2.39,13.0,2023,187
2.0,7:22,2.0,6.0,LAC 44,3.0,0.0,Bailey Zappe pass incomplete deep right intended for JuJu Smith-Schuster,2.39,1.69,13.0,2023,187
2.0,7:14,3.0,6.0,LAC 44,3.0,0.0,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",1.69,1.03,13.0,2023,187
2.0,7:14,3.0,11.0,LAC 49,3.0,0.0,Bailey Zappe pass incomplete short right,1.03,0.0,13.0,2023,187
2.0,7:07,4.0,11.0,LAC 49,3.0,0.0,Bryce Baringer punts 32 yards downed by Brenden Schooler,0.0,0.06,13.0,2023,187
2.0,6:56,1.0,10.0,LAC 17,3.0,0.0,Austin Ekeler left tackle for 1 yard (tackle by Ja'Whaun Bentley),-0.06,-0.42,13.0,2023,187
2.0,6:17,2.0,9.0,LAC 18,3.0,0.0,Justin Herbert pass complete short left to Donald Parham for 7 yards (tackle by Mack Wilson),-0.42,-0.24,13.0,2023,187
2.0,5:40,3.0,2.0,LAC 25,3.0,0.0,Justin Herbert pass complete short left to Gerald Everett for 6 yards (tackle by Kyle Dugger),-0.24,1.0,13.0,2023,187
2.0,5:01,1.0,10.0,LAC 31,3.0,0.0,Joshua Kelley right tackle for 7 yards (tackle by Ja'Whaun Bentley and Jonathan Jones),1.0,1.41,13.0,2023,187
2.0,4:25,2.0,3.0,LAC 38,3.0,0.0,Joshua Kelley right guard for 2 yards (tackle by Kyle Dugger),1.41,0.96,13.0,2023,187
2.0,3:50,3.0,1.0,LAC 40,3.0,0.0,Austin Ekeler right tackle for 2 yards (tackle by Sam Roberts and Jeremiah Pharms),0.96,1.73,13.0,2023,187
2.0,3:06,1.0,10.0,LAC 42,3.0,0.0,Justin Herbert pass incomplete short right intended for Stone Smartt (defended by Mack Wilson),1.73,1.19,13.0,2023,187
2.0,3:00,2.0,10.0,LAC 42,3.0,0.0,Justin Herbert pass complete short left to Quentin Johnston for 4 yards (tackle by Jonathan Jones),1.19,1.03,13.0,2023,187
2.0,2:17,3.0,6.0,LAC 46,3.0,0.0,Austin Ekeler right end for -7 yards (tackle by Keion White and Josh Uche),1.03,-0.78,13.0,2023,187
2.0,2:09,,,,,,Timeout #1 by New England Patriots,,,13.0,2023,187
2.0,2:09,4.0,13.0,LAC 39,3.0,0.0,"JK Scott punts 52 yards, fair catch by Myles Bryant at NE-9",-0.78,0.38,13.0,2023,187
2.0,2:02,1.0,10.0,NWE 9,3.0,0.0,Bailey Zappe pass incomplete short left intended for DeVante Parker,-0.38,-0.78,13.0,2023,187
2.0,2:00,2.0,10.0,NWE 9,3.0,0.0,Ezekiel Elliott right guard for -1 yards (tackle by Eric Kendricks),-0.78,-1.54,13.0,2023,187
2.0,1:53,,,,,,Timeout #2 by Los Angeles Chargers,,,13.0,2023,187
2.0,1:53,3.0,11.0,NWE 8,3.0,0.0,"Penalty on DeVante Parker: False Start, 4 yards (accepted) (no play)",-1.54,-2.01,13.0,2023,187
2.0,1:53,3.0,15.0,NWE 4,3.0,0.0,Bailey Zappe pass incomplete short left intended for Ezekiel Elliott,-2.01,-2.49,13.0,2023,187
2.0,1:49,4.0,15.0,NWE 4,3.0,0.0,"Bryce Baringer punts 57 yards, returned by Derius Davis for 34 yards (tackle by Ty Montgomery)",-2.49,-3.78,13.0,2023,187
2.0,1:34,1.0,10.0,NWE 27,3.0,0.0,Justin Herbert pass complete short left to Quentin Johnston for 7 yards (tackle by J.C. Jackson),3.78,4.18,13.0,2023,187
2.0,1:02,2.0,3.0,NWE 20,3.0,0.0,Justin Herbert pass incomplete deep right intended for Jalen Guyton (defended by Jonathan Jones),4.18,3.47,13.0,2023,187
2.0,0:56,3.0,3.0,NWE 20,3.0,0.0,Justin Herbert pass incomplete short right,3.47,2.22,13.0,2023,187
2.0,0:48,4.0,3.0,NWE 20,6.0,0.0,Cameron Dicker 38 yard field goal good,2.22,3.0,13.0,2023,187
2.0,0:44,,,LAC 35,6.0,0.0,"Cameron Dicker kicks off 59 yards, recovered by Jalen Reagor at NE-11 (tackle by AJ Finley)",0.0,-0.32,13.0,2023,187
2.0,0:36,1.0,10.0,NWE 13,6.0,0.0,Ezekiel Elliott up the middle for 6 yards (tackle by Derwin James),-0.32,0.03,13.0,2023,187
3.0,15:00,,,NWE 35,6.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,187
3.0,15:00,1.0,10.0,LAC 25,6.0,0.0,Justin Herbert pass incomplete short right intended for Austin Ekeler,0.61,0.06,13.0,2023,187
3.0,14:56,2.0,10.0,LAC 25,6.0,0.0,Justin Herbert pass incomplete deep right intended for Keenan Allen,0.06,-0.62,13.0,2023,187
3.0,14:52,3.0,10.0,LAC 25,6.0,0.0,Justin Herbert pass incomplete short left intended for Quentin Johnston (defended by J.C. Jackson),-0.62,-1.7,13.0,2023,187
3.0,14:47,4.0,10.0,LAC 25,6.0,0.0,"JK Scott punts 62 yards, returned by Myles Bryant for 5 yards (tackle by Deane Leonard)",-1.7,-0.04,13.0,2023,187
3.0,14:36,1.0,10.0,NWE 18,6.0,0.0,Ezekiel Elliott left guard for 5 yards (tackle by Derwin James),0.04,0.28,13.0,2023,187
3.0,13:58,2.0,5.0,NWE 23,6.0,0.0,Bailey Zappe pass complete short right to DeVante Parker for 21 yards (tackle by Deane Leonard),0.28,1.86,13.0,2023,187
3.0,13:25,1.0,10.0,NWE 44,6.0,0.0,Ezekiel Elliott up the middle for 8 yards (tackle by Deane Leonard),1.86,2.4,13.0,2023,187
3.0,13:03,2.0,2.0,LAC 48,6.0,0.0,"Ezekiel Elliott right guard for 2 yards. Ezekiel Elliott fumbles (forced by Khalil Mack), recovered by JuJu Smith-Schuster at LAC-46 and returned for 1 yard (tackle by Asante Samuel)",2.4,2.59,13.0,2023,187
3.0,12:28,1.0,10.0,LAC 45,6.0,0.0,Bailey Zappe pass incomplete deep left intended for DeVante Parker,2.59,2.04,13.0,2023,187
3.0,12:25,2.0,10.0,LAC 45,6.0,0.0,Bailey Zappe pass complete short right to Ezekiel Elliott for 8 yards (tackle by Kenneth Murray and Asante Samuel),2.04,2.41,13.0,2023,187
3.0,11:57,3.0,2.0,LAC 37,6.0,0.0,Ezekiel Elliott left end for -1 yards (tackle by Nick Williams),2.41,0.72,13.0,2023,187
3.0,11:15,4.0,3.0,LAC 38,6.0,0.0,Bailey Zappe scrambles right end for 4 yards (tackle by Kenneth Murray),0.72,3.31,13.0,2023,187
3.0,10:39,1.0,10.0,LAC 34,6.0,0.0,Ty Montgomery right guard for 2 yards (tackle by Kenneth Murray),3.31,3.04,13.0,2023,187
3.0,10:12,2.0,8.0,LAC 32,6.0,0.0,Bailey Zappe sacked by Justin Hollins for -4 yards,3.04,1.82,13.0,2023,187
3.0,9:29,3.0,12.0,LAC 36,6.0,0.0,Bailey Zappe sacked by Khalil Mack for -7 yards,1.82,0.4,13.0,2023,187
3.0,8:39,4.0,19.0,LAC 43,6.0,0.0,"Bryce Baringer punts 36 yards, fair catch by Derius Davis at LAC-7",0.4,0.38,13.0,2023,187
3.0,8:33,1.0,10.0,LAC 7,6.0,0.0,Joshua Kelley left tackle for -1 yards (tackle by Jonathan Jones and Ja'Whaun Bentley),-0.38,-0.85,13.0,2023,187
3.0,7:50,2.0,11.0,LAC 6,6.0,0.0,Justin Herbert pass complete short right to Joshua Kelley for 3 yards (tackle by Jabrill Peppers),-0.85,-1.19,13.0,2023,187
3.0,7:20,3.0,8.0,LAC 9,6.0,0.0,Justin Herbert pass complete deep right to Quentin Johnston for 27 yards (tackle by J.C. Jackson),-1.19,1.33,13.0,2023,187
3.0,6:50,1.0,10.0,LAC 36,6.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by J.C. Jackson),1.33,1.74,13.0,2023,187
3.0,6:22,2.0,3.0,LAC 43,6.0,0.0,Justin Herbert pass complete short left to Quentin Johnston for 6 yards (tackle by Jonathan Jones and Jalen Mills),1.74,2.19,13.0,2023,187
3.0,5:42,1.0,10.0,LAC 49,6.0,0.0,Austin Ekeler up the middle for 1 yard (tackle by Josh Uche and Davon Godchaux),2.19,1.78,13.0,2023,187
3.0,5:00,2.0,9.0,NWE 50,6.0,0.0,Justin Herbert pass incomplete short left intended for Keenan Allen (defended by J.C. Jackson),1.78,1.09,13.0,2023,187
3.0,5:00,3.0,9.0,NWE 50,6.0,0.0,Justin Herbert pass complete short middle to Keenan Allen for 16 yards (tackle by Myles Bryant),1.09,3.31,13.0,2023,187
3.0,4:22,1.0,10.0,NWE 34,6.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for -2 yards (tackle by Jahlani Tavai),3.31,2.5,13.0,2023,187
3.0,3:44,2.0,12.0,NWE 36,6.0,0.0,Justin Herbert pass incomplete short right intended for Joshua Kelley,2.5,1.82,13.0,2023,187
3.0,3:38,3.0,12.0,NWE 36,6.0,0.0,Justin Herbert pass incomplete deep right intended for Quentin Johnston,1.82,0.88,13.0,2023,187
3.0,3:31,4.0,12.0,NWE 36,6.0,0.0,"Penalty on LAC: Delay of Game, 5 yards (accepted) (no play)",0.88,0.53,13.0,2023,187
3.0,3:31,4.0,17.0,NWE 41,6.0,0.0,JK Scott punts 39 yards out of bounds,0.53,0.38,13.0,2023,187
3.0,3:23,1.0,10.0,NWE 2,6.0,0.0,"Bailey Zappe pass complete deep right to DeVante Parker for 27 yards (tackle by Deane Leonard). Penalty on Deane Leonard: Defensive Pass Interference, 15 yards (declined)",-0.38,0.87,13.0,2023,187
3.0,3:04,1.0,10.0,NWE 29,6.0,0.0,Ezekiel Elliott up the middle for 5 yards (tackle by Alohi Gilman and Eric Kendricks),0.87,1.0,13.0,2023,187
3.0,2:25,2.0,5.0,NWE 34,6.0,0.0,Bailey Zappe pass incomplete deep left intended for Tyquan Thornton,1.0,0.3,13.0,2023,187
3.0,2:21,,,,,,Timeout #1 by New England Patriots,,,13.0,2023,187
3.0,2:21,3.0,5.0,NWE 34,6.0,0.0,Bailey Zappe pass complete short middle to Hunter Henry for 9 yards (tackle by Derwin James),0.3,1.8,13.0,2023,187
3.0,1:44,1.0,10.0,NWE 43,6.0,0.0,Ezekiel Elliott up the middle for 5 yards (tackle by Essang Bassey and Eric Kendricks),1.8,1.93,13.0,2023,187
3.0,1:07,2.0,5.0,NWE 48,6.0,0.0,Bailey Zappe sacked by Khalil Mack for -11 yards,1.93,-0.23,13.0,2023,187
3.0,0:23,3.0,16.0,NWE 37,6.0,0.0,Bailey Zappe pass complete short right to Jalen Reagor for 11 yards (tackle by Deane Leonard),-0.23,-0.19,13.0,2023,187
4.0,15:00,4.0,5.0,NWE 48,6.0,0.0,Bryce Baringer punts 26 yards out of bounds,-0.19,-0.67,13.0,2023,187
4.0,14:54,1.0,10.0,LAC 26,6.0,0.0,Justin Herbert pass complete short left to Keenan Allen for 9 yards (tackle by Jonathan Jones),0.67,1.35,13.0,2023,187
4.0,14:16,2.0,1.0,LAC 35,6.0,0.0,Austin Ekeler left tackle for 2 yards (tackle by Davon Godchaux),1.35,1.4,13.0,2023,187
4.0,13:41,1.0,10.0,LAC 37,6.0,0.0,Justin Herbert pass complete short middle to Gerald Everett for 5 yards (tackle by Kyle Dugger and Jahlani Tavai),1.4,1.53,13.0,2023,187
4.0,13:01,2.0,5.0,LAC 42,6.0,0.0,Joshua Kelley right tackle for 5 yards (tackle by Anfernee Jennings),1.53,2.06,13.0,2023,187
4.0,12:22,1.0,10.0,LAC 47,6.0,0.0,Joshua Kelley right guard for 2 yards (tackle by Anfernee Jennings and Ja'Whaun Bentley),2.06,1.79,13.0,2023,187
4.0,11:52,2.0,8.0,LAC 49,6.0,0.0,Justin Herbert pass complete short left to Jalen Guyton for 5 yards (tackle by Myles Bryant),1.79,1.75,13.0,2023,187
4.0,11:07,3.0,3.0,NWE 46,6.0,0.0,Justin Herbert left end for -4 yards (tackle by Mack Wilson and Jalen Mills),1.75,-0.06,13.0,2023,187
4.0,10:20,4.0,7.0,NWE 50,6.0,0.0,"JK Scott punts 50 yards, touchback.",-0.06,-0.28,13.0,2023,187
4.0,10:13,1.0,10.0,NWE 20,6.0,0.0,Bailey Zappe pass complete short left to Ezekiel Elliott for 6 yards (tackle by Asante Samuel),0.28,0.54,13.0,2023,187
4.0,9:36,2.0,4.0,NWE 26,6.0,0.0,Tyquan Thornton left end for 39 yards (tackle by Derwin James),0.54,3.25,13.0,2023,187
4.0,8:56,1.0,10.0,LAC 35,6.0,0.0,Ezekiel Elliott up the middle for 1 yard (tackle by Otito Ogbonnia and Sebastian Joseph-Day),3.25,2.84,13.0,2023,187
4.0,8:26,2.0,9.0,LAC 34,6.0,0.0,Bailey Zappe pass complete short left to Hunter Henry for 6 yards (tackle by Derwin James),2.84,2.94,13.0,2023,187
4.0,7:49,3.0,3.0,LAC 28,6.0,0.0,Bailey Zappe sacked by Eric Kendricks for -2 yards,2.94,1.45,13.0,2023,187
4.0,7:05,4.0,5.0,LAC 30,6.0,0.0,Bailey Zappe sacked by Derwin James for -8 yards,1.45,-1.47,13.0,2023,187
4.0,6:58,1.0,10.0,LAC 38,6.0,0.0,"Penalty on Jamaree Salyer: False Start, 5 yards (accepted) (no play)",1.47,1.14,13.0,2023,187
4.0,6:58,1.0,15.0,LAC 33,6.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 11 yards (tackle by Jabrill Peppers),1.14,1.73,13.0,2023,187
4.0,6:19,2.0,4.0,LAC 44,6.0,0.0,Austin Ekeler right guard for 4 yards (tackle by Mack Wilson and Keion White),1.73,2.13,13.0,2023,187
4.0,5:36,1.0,10.0,LAC 48,6.0,0.0,Austin Ekeler right guard for 1 yard (tackle by Kyle Dugger and Ja'Whaun Bentley),2.13,1.72,13.0,2023,187
4.0,4:55,2.0,9.0,LAC 49,6.0,0.0,Justin Herbert pass complete short right to Joshua Kelley for 6 yards (tackle by Mack Wilson),1.72,1.82,13.0,2023,187
4.0,4:50,3.0,3.0,NWE 45,6.0,0.0,Justin Herbert pass incomplete short right intended for Donald Parham,1.82,0.27,13.0,2023,187
4.0,4:44,4.0,3.0,NWE 45,6.0,0.0,"JK Scott punts 32 yards, fair catch by Myles Bryant at NE-13",0.27,0.32,13.0,2023,187
4.0,4:36,1.0,10.0,NWE 13,6.0,0.0,Bailey Zappe pass complete short middle to DeVante Parker for 14 yards (tackle by Asante Samuel),-0.32,0.74,13.0,2023,187
4.0,4:05,1.0,10.0,NWE 27,6.0,0.0,Ezekiel Elliott up the middle for 6 yards (tackle by Austin Johnson),0.74,1.01,13.0,2023,187
4.0,3:27,2.0,4.0,NWE 33,6.0,0.0,Ezekiel Elliott up the middle for 2 yards (tackle by Essang Bassey),1.01,0.56,13.0,2023,187
4.0,2:50,3.0,2.0,NWE 35,6.0,0.0,"Bailey Zappe pass incomplete short middle intended for DeVante Parker. Penalty on Essang Bassey: Defensive Pass Interference, 5 yards (accepted) (no play)",0.56,1.6,13.0,2023,187
4.0,2:48,1.0,10.0,NWE 40,6.0,0.0,Ezekiel Elliott up the middle for 2 yards (tackle by Khalil Mack),1.6,1.32,13.0,2023,187
4.0,2:17,2.0,8.0,NWE 42,6.0,0.0,Bailey Zappe pass incomplete deep left intended for DeVante Parker (defended by Deane Leonard),1.32,0.63,13.0,2023,187
4.0,2:10,3.0,8.0,NWE 42,6.0,0.0,Bailey Zappe pass incomplete short middle intended for DeVante Parker (defended by Asante Samuel),0.63,-0.59,13.0,2023,187
4.0,2:05,4.0,8.0,NWE 42,6.0,0.0,Bailey Zappe pass incomplete short middle intended for Hunter Henry (defended by Essang Bassey),-0.59,-2.79,13.0,2023,187
4.0,1:58,1.0,10.0,NWE 42,6.0,0.0,Austin Ekeler left end for -2 yards (tackle by Christian Barmore),2.79,1.97,13.0,2023,187
4.0,1:53,,,,,,Timeout #2 by New England Patriots,,,13.0,2023,187
4.0,1:53,2.0,12.0,NWE 44,6.0,0.0,Austin Ekeler right tackle for 1 yard (tackle by Jahlani Tavai),1.97,1.42,13.0,2023,187
4.0,1:47,,,,,,Timeout #3 by New England Patriots,,,13.0,2023,187
4.0,1:47,3.0,11.0,NWE 43,6.0,0.0,Justin Herbert pass complete deep right to Alex Erickson for 23 yards (tackle by Myles Bryant),1.42,4.24,13.0,2023,187
4.0,0:58,1.0,10.0,NWE 20,6.0,0.0,Justin Herbert kneels for -1 yards,4.24,3.56,13.0,2023,187
4.0,0:23,2.0,11.0,NWE 21,6.0,0.0,Justin Herbert kneels for -1 yards,3.56,2.74,13.0,2023,187
