Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA,week,year,game_id
2.0,2:41,1.0,10.0,PHI 49,7.0,6.0,Christian McCaffrey up the middle for 9 yards (tackle by Nicholas Morrow),2.32,3.0,13.0,2023,191
2.0,2:00,2.0,1.0,PHI 40,7.0,6.0,Brock Purdy up the middle for 3 yards (tackle by Jalen Carter),3.0,3.12,13.0,2023,191
2.0,1:30,1.0,10.0,PHI 37,7.0,6.0,Brock Purdy pass complete short left to Brandon Aiyuk for 13 yards (tackle by Darius Slay),3.12,3.97,13.0,2023,191
2.0,1:01,1.0,10.0,PHI 24,7.0,6.0,Brock Purdy pass incomplete short right intended for Jauan Jennings,3.97,3.43,13.0,2023,191
2.0,0:57,2.0,10.0,PHI 24,7.0,6.0,"Brock Purdy pass complete short left to Brandon Aiyuk for no gain (tackle by Darius Slay). Penalty on Josh Sweat: Defensive Offside, 5 yards (accepted) (no play)",3.43,4.12,13.0,2023,191
2.0,0:53,2.0,5.0,PHI 19,7.0,6.0,Deebo Samuel right end for 14 yards (tackle by Kevin Byard and James Bradberry),4.12,6.06,13.0,2023,191
2.0,0:45,,,,,,Timeout #2 by Philadelphia Eagles,,,13.0,2023,191
2.0,0:45,1.0,5.0,PHI 5,7.0,6.0,Christian McCaffrey right guard for 3 yards (tackle by Jalen Carter),6.06,5.72,13.0,2023,191
2.0,0:41,,,,,,Timeout #3 by Philadelphia Eagles,,,13.0,2023,191
2.0,0:41,2.0,2.0,PHI 2,13.0,6.0,"Christian McCaffrey left guard for 2 yards, touchdown",5.72,7.0,13.0,2023,191
2.0,0:38,,,PHI 15,14.0,6.0,Jake Moody kicks extra point good,0.0,0.0,13.0,2023,191
2.0,0:38,,,SFO 35,14.0,6.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,191
2.0,0:38,1.0,10.0,PHI 25,14.0,6.0,Jalen Hurts pass incomplete short middle intended for Kenneth Gainwell (defended by Javon Hargrave),0.61,0.06,13.0,2023,191
2.0,0:33,2.0,10.0,PHI 25,14.0,6.0,Kenneth Gainwell left tackle for 3 yards (tackle by Dre Greenlaw and Nick Bosa),0.06,-0.23,13.0,2023,191
3.0,15:00,,,PHI 35,14.0,6.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,191
3.0,15:00,1.0,10.0,SFO 25,14.0,6.0,Christian McCaffrey left end for 5 yards (tackle by Christian Elliss),0.61,0.74,13.0,2023,191
3.0,14:28,2.0,5.0,SFO 30,14.0,6.0,Brock Purdy pass incomplete short middle intended for Brandon Aiyuk,0.74,0.04,13.0,2023,191
3.0,14:23,3.0,5.0,SFO 30,14.0,6.0,Brock Purdy pass complete short middle to Jauan Jennings for 18 yards (tackle by Eli Ricks and Reed Blankenship),0.04,2.13,13.0,2023,191
3.0,13:47,1.0,10.0,SFO 48,14.0,6.0,Brock Purdy pass complete short left to George Kittle for 8 yards (tackle by Reed Blankenship),2.13,2.66,13.0,2023,191
3.0,13:12,2.0,2.0,PHI 44,14.0,6.0,Christian McCaffrey up the middle for -1 yards (tackle by Fletcher Cox and Jordan Davis),2.66,1.82,13.0,2023,191
3.0,12:30,3.0,3.0,PHI 45,14.0,6.0,Brock Purdy pass complete short left to Christian McCaffrey for 33 yards (tackle by Darius Slay),1.82,4.78,13.0,2023,191
3.0,11:48,1.0,10.0,PHI 12,20.0,6.0,"Deebo Samuel right end for 12 yards, touchdown",4.78,7.0,13.0,2023,191
3.0,11:41,,,PHI 15,21.0,6.0,Jake Moody kicks extra point good,0.0,0.0,13.0,2023,191
3.0,11:41,,,SFO 35,21.0,6.0,"Jake Moody kicks off 66 yards, returned by Boston Scott for 28 yards (tackle by Oren Burks and Charlie Woerner). Penalty on Demetrius Flannigan-Fowles: Face Mask (15 Yards), 15 yards (accepted)",0.0,1.73,13.0,2023,191
3.0,11:33,1.0,10.0,PHI 42,21.0,6.0,D'Andre Swift right guard for 3 yards (tackle by Nick Bosa),1.73,1.59,13.0,2023,191
3.0,10:57,2.0,7.0,PHI 45,21.0,6.0,Jalen Hurts pass incomplete short left,1.59,0.89,13.0,2023,191
3.0,10:49,3.0,7.0,PHI 45,21.0,6.0,Jalen Hurts pass complete short left to A.J. Brown for 13 yards (tackle by Ambry Thomas),0.89,2.79,13.0,2023,191
3.0,10:12,1.0,10.0,SFO 42,21.0,6.0,"Jalen Hurts pass complete short left to Jack Stoll for no gain (tackle by Deommodore Lenoir). Penalty on DeVonta Smith: Offensive Pass Interference, 10 yards (accepted) (no play)",2.79,2.13,13.0,2023,191
3.0,9:53,1.0,20.0,PHI 48,21.0,6.0,Jalen Hurts pass complete short left to DeVonta Smith for 15 yards,2.13,2.92,13.0,2023,191
3.0,9:27,2.0,5.0,SFO 37,21.0,6.0,"Jalen Hurts pass complete short left to DeVonta Smith for 13 yards (tackle by Dre Greenlaw and Ambry Thomas). Penalty on Dre Greenlaw: Disqualification / Defense, 12 yards (accepted)",2.92,4.78,13.0,2023,191
3.0,9:00,1.0,10.0,SFO 12,21.0,6.0,Jalen Hurts left tackle for -2 yards (tackle by Nick Bosa),4.78,3.79,13.0,2023,191
3.0,8:06,2.0,12.0,SFO 14,21.0,6.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Charvarius Ward),3.79,3.06,13.0,2023,191
3.0,8:01,3.0,12.0,SFO 14,21.0,6.0,Jalen Hurts pass complete short left to A.J. Brown for 12 yards (tackle by Ji'Ayir Brown),3.06,6.74,13.0,2023,191
3.0,7:25,1.0,2.0,SFO 2,21.0,6.0,Jalen Hurts up the middle for 1 yard (tackle by Fred Warner and Arik Armstead),6.74,5.91,13.0,2023,191
3.0,6:53,2.0,1.0,SFO 1,21.0,12.0,"Jalen Hurts up the middle for 1 yard, touchdown",5.91,7.0,13.0,2023,191
3.0,6:51,,,SFO 15,21.0,13.0,Jake Elliott kicks extra point good,0.0,0.0,13.0,2023,191
3.0,6:51,,,PHI 35,21.0,13.0,"Jake Elliott kicks off 70 yards, returned by Deebo Samuel for 28 yards (tackle by Kenneth Gainwell)",0.0,0.48,13.0,2023,191
3.0,6:46,1.0,10.0,SFO 23,21.0,13.0,Brock Purdy sacked by Fletcher Cox for -2 yards,0.48,-0.34,13.0,2023,191
3.0,6:04,2.0,12.0,SFO 21,21.0,13.0,Christian McCaffrey left guard for 5 yards (tackle by Brandon Graham and Reed Blankenship),-0.34,-0.36,13.0,2023,191
3.0,5:26,3.0,7.0,SFO 26,21.0,13.0,Brock Purdy pass complete short right to Brandon Aiyuk for 10 yards (tackle by Darius Slay),-0.36,1.33,13.0,2023,191
3.0,4:45,1.0,10.0,SFO 36,21.0,13.0,Christian McCaffrey left end for 16 yards (tackle by Reed Blankenship and Christian Elliss),1.33,2.39,13.0,2023,191
3.0,4:04,1.0,10.0,PHI 48,27.0,13.0,"Brock Purdy pass complete short middle to Deebo Samuel for 48 yards, touchdown",2.39,7.0,13.0,2023,191
3.0,3:54,,,PHI 15,28.0,13.0,Jake Moody kicks extra point good,0.0,0.0,13.0,2023,191
3.0,3:54,,,SFO 35,28.0,13.0,"Penalty on Jalen Carter: Personal Foul / Defense, 15 yards (accepted) (no play)",0.0,0.0,13.0,2023,191
3.0,3:54,,,SFO 50,28.0,13.0,"Jake Moody kicks off 50 yards, touchback.",0.0,0.61,13.0,2023,191
3.0,3:54,1.0,10.0,PHI 25,28.0,13.0,D'Andre Swift right guard for 2 yards (tackle by Javon Kinlaw and Nick Bosa),0.61,0.33,13.0,2023,191
3.0,3:16,2.0,8.0,PHI 27,28.0,13.0,Jalen Hurts pass incomplete short left intended for D'Andre Swift,0.33,-0.36,13.0,2023,191
3.0,3:11,3.0,8.0,PHI 27,28.0,13.0,Jalen Hurts scrambles up the middle for 5 yards (tackle by Fred Warner and Oren Burks),-0.36,-1.24,13.0,2023,191
3.0,2:30,4.0,3.0,PHI 32,28.0,13.0,Braden Mann punts 49 yards. Ronnie Bell fumbles out of bounds,-1.24,-0.61,13.0,2023,191
3.0,2:24,1.0,10.0,SFO 25,28.0,13.0,Christian McCaffrey left end for 7 yards (tackle by Nicholas Morrow),0.61,1.01,13.0,2023,191
3.0,1:46,2.0,3.0,SFO 32,28.0,13.0,Christian McCaffrey left guard for 5 yards (tackle by Jordan Davis),1.01,1.4,13.0,2023,191
3.0,1:18,1.0,10.0,SFO 37,28.0,13.0,Brock Purdy pass complete short left to Christian McCaffrey for 3 yards (tackle by Nicholas Morrow),1.4,1.26,13.0,2023,191
3.0,0:34,2.0,7.0,SFO 40,28.0,13.0,Christian McCaffrey right guard for 15 yards (tackle by Christian Elliss),1.26,2.59,13.0,2023,191
4.0,15:00,1.0,10.0,PHI 45,28.0,13.0,Brock Purdy pass incomplete short right,2.59,2.04,13.0,2023,191
4.0,14:54,2.0,10.0,PHI 45,28.0,13.0,Christian McCaffrey right guard for 1 yard (tackle by Josh Sweat),2.04,1.49,13.0,2023,191
4.0,14:15,3.0,9.0,PHI 44,28.0,13.0,Brock Purdy pass complete short left to Jauan Jennings for 8 yards (tackle by Eli Ricks),1.49,0.89,13.0,2023,191
4.0,13:32,4.0,1.0,PHI 36,28.0,13.0,Christian McCaffrey left end for 2 yards (tackle by Haason Reddick and Nicholas Morrow),0.89,3.31,13.0,2023,191
4.0,12:53,1.0,10.0,PHI 34,28.0,13.0,Elijah Mitchell right guard for 11 yards (tackle by Reed Blankenship),3.31,4.04,13.0,2023,191
4.0,12:11,1.0,10.0,PHI 23,28.0,13.0,Elijah Mitchell up the middle for 1 yard (tackle by Marlon Tuipulotu and Nicholas Morrow),4.04,3.63,13.0,2023,191
4.0,11:27,2.0,9.0,PHI 22,28.0,13.0,Brock Purdy pass complete short right to Christian McCaffrey for 4 yards,3.63,3.49,13.0,2023,191
4.0,10:50,,,,,,Timeout #1 by San Francisco 49ers,,,13.0,2023,191
4.0,10:50,3.0,5.0,PHI 18,34.0,13.0,"Brock Purdy pass complete short left to Jauan Jennings for 18 yards, touchdown",3.49,7.0,13.0,2023,191
4.0,10:43,,,PHI 15,35.0,13.0,Jake Moody kicks extra point good,0.0,0.0,13.0,2023,191
4.0,10:43,,,SFO 35,35.0,13.0,"Jake Moody kicks off 59 yards, returned by Boston Scott for 23 yards (tackle by Charlie Woerner)",0.0,0.87,13.0,2023,191
4.0,10:38,1.0,10.0,PHI 29,35.0,13.0,Marcus Mariota pass complete short left to DeVonta Smith for 12 yards (tackle by Ambry Thomas),0.87,1.66,13.0,2023,191
4.0,10:13,1.0,10.0,PHI 41,35.0,13.0,Marcus Mariota pass incomplete short middle intended for D'Andre Swift (defended by Kevin Givens),1.66,1.12,13.0,2023,191
4.0,10:08,2.0,10.0,PHI 41,35.0,13.0,Marcus Mariota pass complete short left to D'Andre Swift for 4 yards (tackle by Oren Burks),1.12,0.96,13.0,2023,191
4.0,9:39,3.0,6.0,PHI 45,35.0,13.0,Marcus Mariota scrambles right end for 5 yards (tackle by Fred Warner),0.96,-0.06,13.0,2023,191
4.0,8:57,4.0,1.0,PHI 50,35.0,13.0,Marcus Mariota up the middle for 1 yard (tackle by Oren Burks),-0.06,2.32,13.0,2023,191
4.0,8:38,1.0,10.0,SFO 49,35.0,13.0,Jalen Hurts scrambles right end for 4 yards (tackle by Oren Burks),2.32,2.32,13.0,2023,191
4.0,8:08,2.0,6.0,SFO 45,35.0,13.0,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards (tackle by Charvarius Ward),2.32,2.98,13.0,2023,191
4.0,7:40,1.0,10.0,SFO 39,35.0,13.0,Jalen Hurts pass complete deep middle to A.J. Brown for 19 yards (tackle by Tashaun Gipson),2.98,4.24,13.0,2023,191
4.0,7:02,1.0,10.0,SFO 20,35.0,13.0,Jalen Hurts pass complete short left to A.J. Brown for 7 yards (tackle by Ambry Thomas),4.24,4.83,13.0,2023,191
4.0,6:29,2.0,3.0,SFO 13,35.0,13.0,Jalen Hurts pass complete short right to Quez Watkins for 5 yards (tackle by Ji'Ayir Brown),4.83,5.37,13.0,2023,191
4.0,5:56,1.0,8.0,SFO 8,35.0,13.0,Jalen Hurts pass incomplete short right intended for DeVonta Smith,5.37,4.57,13.0,2023,191
4.0,5:48,2.0,8.0,SFO 8,35.0,13.0,"Penalty on Lane Johnson: False Start, 5 yards (accepted) (no play)",4.57,3.72,13.0,2023,191
4.0,5:48,2.0,13.0,SFO 13,35.0,13.0,"Jalen Hurts pass incomplete short right intended for A.J. Brown. Penalty on Deommodore Lenoir: Defensive Pass Interference, 11 yards (accepted) (no play)",3.72,6.74,13.0,2023,191
4.0,5:42,1.0,2.0,SFO 2,35.0,13.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Ambry Thomas),6.74,5.72,13.0,2023,191
4.0,5:39,2.0,2.0,SFO 2,35.0,19.0,"Jalen Hurts pass complete short right to DeVonta Smith for 2 yards, touchdown",5.72,7.0,13.0,2023,191
4.0,5:33,,,SFO 2,35.0,19.0,Two Point Attempt: Jalen Hurts pass incomplete intended for DeVonta Smith,1.0,-1.0,13.0,2023,191
4.0,5:33,,,PHI 35,35.0,19.0,"Jake Elliott kicks onside 13 yards, returned by Christian McCaffrey for no gain",0.0,2.39,13.0,2023,191
4.0,5:32,1.0,10.0,PHI 48,35.0,19.0,"Penalty on Trent Williams: False Start, 4 yards (accepted) (no play)",2.39,2.13,13.0,2023,191
4.0,5:32,1.0,14.0,SFO 48,35.0,19.0,Christian McCaffrey right end for 6 yards (tackle by Reed Blankenship and Josh Sweat),2.13,2.12,13.0,2023,191
4.0,5:27,,,,,,Timeout #1 by Philadelphia Eagles,,,13.0,2023,191
4.0,5:27,2.0,8.0,PHI 46,41.0,19.0,"Brock Purdy pass complete short left to Deebo Samuel for 46 yards, touchdown",2.12,7.0,13.0,2023,191
4.0,5:19,,,PHI 15,42.0,19.0,Jake Moody kicks extra point good,0.0,0.0,13.0,2023,191
4.0,5:19,,,SFO 35,42.0,19.0,"Jake Moody kicks off 65 yards, returned by Boston Scott for 15 yards (tackle by Isaiah Oliver)",0.0,-0.22,13.0,2023,191
4.0,5:13,1.0,10.0,PHI 15,42.0,19.0,Jalen Hurts pass incomplete short right intended for Albert Okwuegbunam (defended by Dee Winters),-0.22,-0.71,13.0,2023,191
4.0,5:07,2.0,10.0,PHI 15,42.0,19.0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 15 yards (tackle by Dee Winters),-0.71,0.94,13.0,2023,191
4.0,4:37,1.0,10.0,PHI 30,42.0,19.0,Jalen Hurts pass complete short right to Quez Watkins for 15 yards (tackle by Demetrius Flannigan-Fowles),0.94,1.93,13.0,2023,191
4.0,4:06,1.0,10.0,PHI 45,42.0,19.0,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by Charvarius Ward),1.93,1.38,13.0,2023,191
4.0,4:00,2.0,10.0,PHI 45,42.0,19.0,Jalen Hurts pass incomplete short left,1.38,0.7,13.0,2023,191
4.0,3:51,3.0,10.0,PHI 45,42.0,19.0,Jalen Hurts pass complete short right to Boston Scott for 27 yards (tackle by Ji'Ayir Brown),0.7,3.71,13.0,2023,191
4.0,3:35,1.0,10.0,SFO 28,42.0,19.0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 6 yards (tackle by Dee Winters),3.71,3.98,13.0,2023,191
4.0,3:01,2.0,4.0,SFO 22,42.0,19.0,"Penalty on Jason Kelce: False Start, 5 yards (accepted) (no play)",3.98,3.3,13.0,2023,191
4.0,3:01,2.0,9.0,SFO 27,42.0,19.0,Jalen Hurts pass incomplete short right intended for D'Andre Swift (defended by Deommodore Lenoir),3.3,2.61,13.0,2023,191
4.0,2:54,3.0,9.0,SFO 27,42.0,19.0,Jalen Hurts sacked by Kalia Davis for -3 yards,2.61,1.41,13.0,2023,191
4.0,2:14,4.0,12.0,SFO 30,42.0,19.0,Jalen Hurts pass incomplete deep left intended for DeVonta Smith (defended by Ambry Thomas),1.41,-0.94,13.0,2023,191
4.0,2:07,1.0,10.0,SFO 30,42.0,19.0,Elijah Mitchell left guard for 1 yard (tackle by Nolan Smith and Jordan Davis),0.94,0.53,13.0,2023,191
4.0,2:00,2.0,9.0,SFO 31,42.0,19.0,Jordan Mason right guard for 4 yards (tackle by Nicholas Morrow),0.53,0.37,13.0,2023,191
4.0,1:18,3.0,5.0,SFO 35,42.0,19.0,Jordan Mason left end for 6 yards (tackle by Kevin Byard and Milton Williams),0.37,1.66,13.0,2023,191
4.0,0:37,1.0,10.0,SFO 41,42.0,19.0,Sam Darnold kneels for -1 yards,1.66,0.99,13.0,2023,191
