Quarter,Time,Down,ToGo,Location,CIN,JAX,Detail,EPB,EPA,week,year,game_id
1,2:17,4.0,9.0,JAX 38,0.0,7.0,Evan McPherson 57 yard field goal no good,0.72,-2.06,13.0,2023,193
1,2:13,1.0,10.0,JAX 47,0.0,7.0,Trevor Lawrence pass incomplete deep left intended for Calvin Ridley (defended by Jordan Battle),2.06,1.52,13.0,2023,193
1,2:06,2.0,10.0,JAX 47,0.0,7.0,Trevor Lawrence pass complete short right to Parker Washington for 6 yards (tackle by Daxton Hill),1.52,1.62,13.0,2023,193
1,1:26,3.0,4.0,CIN 47,0.0,7.0,Trevor Lawrence pass incomplete short middle intended for Zay Jones (defended by B.J. Hill),1.62,0.13,13.0,2023,193
1,1:23,4.0,3.0,CIN 47,0.0,7.0,"Logan Cooke punts 39 yards, fair catch by Charlie Jones at CIN-8",0.13,0.38,13.0,2023,193
1,1:16,1.0,10.0,CIN 8,0.0,7.0,Chase Brown left end for 8 yards (tackle by Foyesade Oluokun),-0.38,-0.09,13.0,2023,193
1,0:36,2.0,2.0,CIN 16,0.0,7.0,Chase Brown up the middle for -2 yards (tackle by Gregory Junior and Josh Allen),-0.09,-0.72,13.0,2023,193
2,15:00,3.0,4.0,CIN 14,0.0,7.0,Jake Browning pass complete deep right to Ja'Marr Chase for 17 yards (tackle by Andre Cisco),-0.72,1.0,13.0,2023,193
2,14:23,1.0,10.0,CIN 31,0.0,7.0,Jake Browning pass complete deep right to Trenton Irwin for 25 yards (tackle by Tyson Campbell),1.0,2.65,13.0,2023,193
2,13:45,1.0,10.0,JAX 44,0.0,7.0,Jake Browning pass incomplete short left intended for Tyler Boyd,2.65,2.11,13.0,2023,193
2,13:40,2.0,10.0,JAX 44,0.0,7.0,Jake Browning pass complete short middle to Tanner Hudson for 24 yards (tackle by Andre Cisco),2.11,4.24,13.0,2023,193
2,13:09,1.0,10.0,JAX 20,0.0,7.0,Jake Browning pass complete short middle to Tee Higgins for 14 yards (tackle by Andrew Wingard),4.24,5.83,13.0,2023,193
2,12:29,1.0,6.0,JAX 6,6.0,7.0,"Joe Mixon left guard for 6 yards, touchdown",5.83,7.0,13.0,2023,193
2,12:24,,,JAX 15,7.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,13.0,2023,193
2,12:24,,,CIN 35,7.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,193
2,12:24,1.0,10.0,JAX 25,7.0,7.0,Trevor Lawrence pass complete short right to Luke Farrell for 9 yards (tackle by Chidobe Awuzie),0.61,1.28,13.0,2023,193
2,11:44,2.0,1.0,JAX 34,7.0,7.0,Travis Etienne left guard for 2 yards (tackle by Josh Tupou and Jordan Battle),1.28,1.33,13.0,2023,193
2,11:03,1.0,10.0,JAX 36,7.0,7.0,D'Ernest Johnson left end for 4 yards (tackle by Zachary Carter and Germaine Pratt),1.33,1.33,13.0,2023,193
2,10:22,2.0,6.0,JAX 40,7.0,7.0,"Trevor Lawrence pass complete short right to Evan Engram for 2 yards (tackle by Logan Wilson). Penalty on Calvin Ridley: Offensive Holding, 10 yards (accepted)",1.33,0.25,13.0,2023,193
2,9:53,2.0,14.0,JAX 32,7.0,7.0,Trevor Lawrence pass complete short middle to Evan Engram for 8 yards (tackle by Germaine Pratt and Daxton Hill),0.25,0.63,13.0,2023,193
2,9:18,3.0,6.0,JAX 40,7.0,7.0,"Penalty on Trey Hendrickson: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.63,1.29,13.0,2023,193
2,8:58,3.0,1.0,JAX 45,7.0,7.0,Trevor Lawrence up the middle for 1 yard (tackle by Logan Wilson),1.29,1.99,13.0,2023,193
2,8:22,1.0,10.0,JAX 46,7.0,7.0,Travis Etienne right end for 11 yards (tackle by Daxton Hill and D.J. Reader),1.99,2.72,13.0,2023,193
2,7:41,1.0,10.0,CIN 43,7.0,7.0,Travis Etienne up the middle for no gain (tackle by D.J. Reader and Germaine Pratt),2.72,2.18,13.0,2023,193
2,7:08,2.0,10.0,CIN 43,7.0,7.0,Trevor Lawrence pass complete deep right to Calvin Ridley for 21 yards,2.18,4.11,13.0,2023,193
2,6:30,1.0,10.0,CIN 22,7.0,13.0,"Trevor Lawrence pass complete short left to Evan Engram for 22 yards, touchdown",4.11,7.0,13.0,2023,193
2,6:24,,,CIN 15,7.0,14.0,Brandon McManus kicks extra point good,0.0,0.0,13.0,2023,193
2,6:24,,,JAX 35,7.0,14.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,193
2,6:24,1.0,10.0,CIN 25,7.0,14.0,Jake Browning pass complete short right to Tee Higgins for 11 yards (tackle by Devin Lloyd and Tyson Campbell),0.61,1.33,13.0,2023,193
2,5:47,1.0,10.0,CIN 36,7.0,14.0,Jake Browning pass complete short left to Mitchell Wilcox for 12 yards (tackle by Devin Lloyd),1.33,2.13,13.0,2023,193
2,5:02,1.0,10.0,CIN 48,7.0,14.0,Joe Mixon up the middle for 7 yards (tackle by Foyesade Oluokun),2.13,2.53,13.0,2023,193
2,4:23,2.0,3.0,JAX 45,7.0,14.0,Joe Mixon up the middle for 2 yards (tackle by Foyesade Oluokun and Devin Lloyd),2.53,2.08,13.0,2023,193
2,3:39,3.0,1.0,JAX 43,7.0,14.0,Jake Browning pass complete short left to Joe Mixon for 9 yards (tackle by Andre Cisco),2.08,3.31,13.0,2023,193
2,3:05,1.0,10.0,JAX 34,7.0,14.0,Tyler Boyd right end for 5 yards (tackle by Devin Lloyd),3.31,3.45,13.0,2023,193
2,2:26,2.0,5.0,JAX 29,7.0,14.0,Jake Browning pass incomplete short middle intended for Tyler Boyd (defended by Gregory Junior),3.45,2.74,13.0,2023,193
2,2:23,3.0,5.0,JAX 29,7.0,14.0,Jake Browning pass complete short left to Tyler Boyd for 10 yards (tackle by Gregory Junior),2.74,4.31,13.0,2023,193
2,2:00,1.0,10.0,JAX 19,7.0,14.0,Joe Mixon up the middle for 3 yards (tackle by Devin Lloyd and Travon Walker),4.31,4.18,13.0,2023,193
2,1:20,2.0,7.0,JAX 16,7.0,14.0,Jake Browning pass complete short right to Drew Sample for 11 yards (tackle by Darious Williams),4.18,6.06,13.0,2023,193
2,1:11,,,,,,Timeout #1 by Jacksonville Jaguars,,,13.0,2023,193
2,1:11,1.0,5.0,JAX 5,7.0,14.0,Joe Mixon up the middle for 3 yards (tackle by Foyesade Oluokun),6.06,5.72,13.0,2023,193
2,1:06,,,,,,Timeout #2 by Jacksonville Jaguars,,,13.0,2023,193
2,1:06,2.0,2.0,JAX 2,13.0,14.0,"Joe Mixon up the middle for 2 yards, touchdown",5.72,7.0,13.0,2023,193
2,1:04,,,JAX 15,14.0,14.0,Evan McPherson kicks extra point good,0.0,0.0,13.0,2023,193
2,1:04,,,CIN 35,14.0,14.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,193
2,1:04,1.0,10.0,JAX 25,14.0,14.0,Trevor Lawrence pass complete short middle to Travis Etienne for 12 yards (tackle by Logan Wilson),0.61,1.4,13.0,2023,193
2,0:44,1.0,10.0,JAX 37,14.0,14.0,Trevor Lawrence pass complete short right to Zay Jones for 8 yards (tackle by DJ Turner),1.4,1.94,13.0,2023,193
2,0:41,2.0,2.0,JAX 45,14.0,14.0,Trevor Lawrence sacked by Sam Hubbard for -7 yards,1.94,0.3,13.0,2023,193
2,0:35,,,,,,Timeout #3 by Jacksonville Jaguars,,,13.0,2023,193
2,0:35,3.0,9.0,JAX 38,14.0,14.0,"Trevor Lawrence fumbles, recovered by Trevor Lawrence at JAC-38 Trevor Lawrence pass incomplete deep right intended for Calvin Ridley",0.3,-0.85,13.0,2023,193
2,0:29,4.0,9.0,JAX 38,14.0,14.0,"Logan Cooke punts 37 yards, fair catch by Charlie Jones at CIN-25",-0.85,-0.61,13.0,2023,193
2,0:22,1.0,10.0,CIN 25,14.0,14.0,Joe Mixon up the middle for 5 yards (tackle by Folorunso Fatukasi and Travon Walker),0.61,0.74,13.0,2023,193
3,15:00,,,CIN 35,14.0,14.0,"Evan McPherson kicks off 66 yards, returned by Parker Washington for 33 yards (tackle by Jalen Davis)",0.0,1.07,13.0,2023,193
3,14:54,1.0,10.0,JAX 32,14.0,14.0,Trevor Lawrence pass incomplete short right intended for Tim Jones (defended by Chidobe Awuzie) (defended by Daxton Hill),1.07,0.53,13.0,2023,193
3,14:48,2.0,10.0,JAX 32,14.0,14.0,Trevor Lawrence pass complete short right to Parker Washington for 9 yards (tackle by Daxton Hill),0.53,1.03,13.0,2023,193
3,14:08,3.0,1.0,JAX 41,14.0,14.0,Travis Etienne up the middle for no gain (tackle by B.J. Hill),1.03,-0.65,13.0,2023,193
3,13:24,4.0,1.0,JAX 41,14.0,14.0,"Logan Cooke punts 43 yards, fair catch by Charlie Jones at CIN-16",-0.65,0.14,13.0,2023,193
3,13:21,1.0,10.0,CIN 16,14.0,14.0,Joe Mixon left guard for 1 yard (tackle by Foyesade Oluokun),-0.14,-0.51,13.0,2023,193
3,12:46,2.0,9.0,CIN 17,14.0,14.0,Jake Browning pass complete short middle to Tanner Hudson for 7 yards (tackle by Gregory Junior and Foyesade Oluokun),-0.51,-0.32,13.0,2023,193
3,12:01,3.0,2.0,CIN 24,20.0,14.0,"Jake Browning pass complete deep left to Ja'Marr Chase for 76 yards, touchdown",-0.32,7.0,13.0,2023,193
3,11:50,,,JAX 15,21.0,14.0,Evan McPherson kicks extra point good,0.0,0.0,13.0,2023,193
3,11:50,,,CIN 35,21.0,14.0,"Evan McPherson kicks off 67 yards, returned by Parker Washington for 18 yards (tackle by Andrei Iosivas)",0.0,-0.14,13.0,2023,193
3,11:45,1.0,10.0,JAX 16,21.0,14.0,Trevor Lawrence pass complete deep left to Zay Jones for 23 yards (tackle by Logan Wilson),-0.14,1.53,13.0,2023,193
3,11:04,1.0,10.0,JAX 39,21.0,14.0,Trevor Lawrence pass complete short right to Evan Engram for -2 yards (tackle by Mike Hilton),1.53,0.72,13.0,2023,193
3,10:22,2.0,12.0,JAX 37,21.0,14.0,Trevor Lawrence pass incomplete deep right intended for Calvin Ridley,0.72,0.04,13.0,2023,193
3,10:16,3.0,12.0,JAX 37,21.0,14.0,"Penalty on Chidobe Awuzie: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.04,0.7,13.0,2023,193
3,10:16,3.0,7.0,JAX 42,21.0,14.0,Trevor Lawrence pass complete short left to Zay Jones for 16 yards (tackle by Nick Scott),0.7,2.79,13.0,2023,193
3,9:39,1.0,10.0,CIN 42,21.0,14.0,Travis Etienne left end for 3 yards (tackle by Jordan Battle and Chidobe Awuzie),2.79,2.65,13.0,2023,193
3,9:04,2.0,7.0,CIN 39,21.0,14.0,Travis Etienne left end for 6 yards (tackle by Myles Murphy),2.65,2.74,13.0,2023,193
3,8:24,3.0,1.0,CIN 33,21.0,14.0,D'Ernest Johnson right end for 3 yards (tackle by Cameron Sample),2.74,3.58,13.0,2023,193
3,7:43,1.0,10.0,CIN 30,21.0,14.0,Calvin Ridley right end for -3 yards (tackle by Germaine Pratt and Jordan Battle),3.58,2.63,13.0,2023,193
3,7:06,2.0,13.0,CIN 33,21.0,14.0,Trevor Lawrence pass complete deep left to Parker Washington for 18 yards (tackle by DJ Turner),2.63,4.58,13.0,2023,193
3,6:22,1.0,10.0,CIN 15,21.0,14.0,Trevor Lawrence pass complete short left to Travis Etienne for 1 yard (tackle by Akeem Davis-Gaither),4.58,4.11,13.0,2023,193
3,5:40,2.0,9.0,CIN 14,21.0,14.0,Trevor Lawrence pass incomplete short right intended for Calvin Ridley (defended by Mike Hilton),4.11,3.24,13.0,2023,193
3,5:33,,,,,,Timeout #1 by Jacksonville Jaguars,,,13.0,2023,193
3,5:33,3.0,9.0,CIN 14,21.0,20.0,"Trevor Lawrence pass complete short middle to Parker Washington for 14 yards, touchdown",3.24,7.0,13.0,2023,193
3,5:26,,,CIN 15,21.0,21.0,Brandon McManus kicks extra point good,0.0,0.0,13.0,2023,193
3,5:26,,,JAX 35,21.0,21.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,193
3,5:26,1.0,10.0,CIN 25,21.0,21.0,Tyler Boyd pass short right intended for Joe Mixon is intercepted by Josh Allen at CIN-17 and returned for 8 yards (tackle by Irv Smith),0.61,-5.14,13.0,2023,193
3,5:16,1.0,9.0,CIN 9,21.0,21.0,Travis Etienne right guard for 2 yards (tackle by D.J. Reader),5.14,4.76,13.0,2023,193
3,4:33,2.0,7.0,CIN 7,21.0,21.0,Trevor Lawrence pass complete short left to Calvin Ridley for 6 yards (tackle by DJ Turner),4.76,5.17,13.0,2023,193
3,3:50,3.0,1.0,CIN 1,21.0,21.0,Travis Etienne up the middle for no gain (tackle by D.J. Reader and Mike Hilton),5.17,3.55,13.0,2023,193
3,3:13,4.0,1.0,CIN 1,21.0,27.0,"Trevor Lawrence up the middle for 1 yard, touchdown",3.55,7.0,13.0,2023,193
3,3:10,,,CIN 15,21.0,28.0,Brandon McManus kicks extra point good,0.0,0.0,13.0,2023,193
3,3:10,,,JAX 35,21.0,28.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,193
3,3:10,1.0,10.0,CIN 25,21.0,28.0,Chase Brown up the middle for 31 yards (tackle by Tyson Campbell),0.61,2.65,13.0,2023,193
3,2:28,1.0,10.0,JAX 44,21.0,28.0,Chase Brown up the middle for 3 yards (tackle by Josh Allen and Foyesade Oluokun),2.65,2.52,13.0,2023,193
3,1:48,2.0,7.0,JAX 41,21.0,28.0,Jake Browning pass complete short left to Joe Mixon for -1 yards (tackle by Gregory Junior and Darious Williams),2.52,1.69,13.0,2023,193
3,1:03,3.0,8.0,JAX 42,21.0,28.0,"Jake Browning pass incomplete short left. Penalty on Jonah Williams: Ineligible Downfield Pass, 5 yards (declined)",1.69,0.46,13.0,2023,193
3,0:59,4.0,8.0,JAX 42,21.0,28.0,"Brad Robbins punts 33 yards, recovered by Parker Washington at JAC-9",0.46,0.38,13.0,2023,193
3,0:50,1.0,10.0,JAX 9,21.0,28.0,D'Ernest Johnson right end for 1 yard (tackle by Cameron Sample and Germaine Pratt),-0.38,-0.71,13.0,2023,193
3,0:05,2.0,9.0,JAX 10,21.0,28.0,Trevor Lawrence pass complete short right to Parker Washington for 6 yards (tackle by Chidobe Awuzie and Mike Hilton),-0.71,-0.6,13.0,2023,193
4,15:00,3.0,3.0,JAX 16,21.0,28.0,"Penalty on Brandon Scherff: False Start, 5 yards (accepted) (no play)",-0.6,-1.19,13.0,2023,193
4,15:00,3.0,8.0,JAX 11,21.0,28.0,"Penalty on JAX: Delay of Game, 5 yards (accepted) (no play)",-1.19,-1.77,13.0,2023,193
4,15:00,3.0,13.0,JAX 6,21.0,28.0,Trevor Lawrence pass incomplete deep left intended for Zay Jones,-1.77,-2.49,13.0,2023,193
4,14:54,4.0,13.0,JAX 6,21.0,28.0,"Logan Cooke punts 42 yards, returned by Charlie Jones for no gain (tackle by Ross Matiscik)",-2.49,-2.39,13.0,2023,193
4,14:43,1.0,10.0,JAX 48,21.0,28.0,Joe Mixon up the middle for 2 yards (tackle by Andre Cisco and Gregory Junior),2.39,2.12,13.0,2023,193
4,14:04,2.0,8.0,JAX 46,21.0,28.0,"Jake Browning pass incomplete short left. Penalty on Devin Lloyd: Illegal Contact, 5 yards (accepted) (no play)",2.12,2.85,13.0,2023,193
4,13:54,1.0,10.0,JAX 41,21.0,28.0,Jake Browning pass complete short right to Ja'Marr Chase for 14 yards (tackle by Rayshawn Jenkins),2.85,3.78,13.0,2023,193
4,13:07,1.0,10.0,JAX 27,21.0,28.0,Jake Browning pass complete short left to Joe Mixon for 10 yards (tackle by Dawuane Smoot and Foyesade Oluokun),3.78,4.44,13.0,2023,193
4,12:28,1.0,10.0,JAX 17,21.0,28.0,Chase Brown right end for -3 yards (tackle by K'Lavon Chaisson and Adam Gotsis),4.44,3.49,13.0,2023,193
4,11:44,2.0,13.0,JAX 20,21.0,28.0,Jake Browning pass complete short middle to Tyler Boyd for 10 yards (tackle by Devin Lloyd and Rayshawn Jenkins),3.49,4.34,13.0,2023,193
4,11:02,3.0,3.0,JAX 10,21.0,28.0,Jake Browning pass incomplete short left intended for Ja'Marr Chase,4.34,2.86,13.0,2023,193
4,10:58,4.0,3.0,JAX 10,21.0,28.0,Jake Browning pass complete short middle to Ja'Marr Chase for 6 yards (tackle by Devin Lloyd),2.86,6.28,13.0,2023,193
4,10:14,1.0,4.0,JAX 4,21.0,28.0,Joe Mixon up the middle for 3 yards (tackle by Antonio Johnson and Andre Cisco),6.28,5.91,13.0,2023,193
4,9:28,2.0,1.0,JAX 1,27.0,28.0,"Jake Browning up the middle for 1 yard, touchdown",5.91,7.0,13.0,2023,193
4,9:27,,,JAX 15,28.0,28.0,Evan McPherson kicks extra point good,0.0,0.0,13.0,2023,193
4,9:27,,,CIN 35,28.0,28.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,193
4,9:27,1.0,10.0,JAX 25,28.0,28.0,Trevor Lawrence pass complete deep left to Evan Engram for 21 yards (tackle by DJ Turner),0.61,1.99,13.0,2023,193
4,8:52,1.0,10.0,JAX 46,28.0,28.0,D'Ernest Johnson left guard for no gain (tackle by B.J. Hill and Sam Hubbard),1.99,1.45,13.0,2023,193
4,8:12,2.0,10.0,JAX 46,28.0,28.0,"Trevor Lawrence scrambles up the middle for 2 yards (tackle by D.J. Reader and Sam Hubbard). Penalty on DJ Turner: Illegal Contact, 5 yards (accepted)",1.45,2.46,13.0,2023,193
4,7:48,1.0,10.0,CIN 47,28.0,28.0,Trevor Lawrence pass complete deep right to Zay Jones for 24 yards (tackle by Chidobe Awuzie),2.46,4.04,13.0,2023,193
4,7:08,1.0,10.0,CIN 23,28.0,28.0,"Penalty on Brandon Scherff: False Start, 5 yards (accepted) (no play)",4.04,3.71,13.0,2023,193
4,7:08,,,,,,Timeout #2 by Jacksonville Jaguars,,,13.0,2023,193
4,7:08,1.0,15.0,CIN 28,28.0,28.0,Calvin Ridley left end for no gain (tackle by DJ Turner),3.71,2.75,13.0,2023,193
4,6:26,2.0,16.0,CIN 28,28.0,28.0,Trevor Lawrence pass complete short right to D'Ernest Johnson for 5 yards (tackle by Chidobe Awuzie and Germaine Pratt),2.75,2.74,13.0,2023,193
4,5:44,3.0,11.0,CIN 23,28.0,28.0,Trevor Lawrence sacked by Trey Hendrickson for -7 yards,2.74,1.41,13.0,2023,193
4,5:03,4.0,15.0,CIN 30,28.0,28.0,Brandon McManus 48 yard field goal no good,1.41,-1.47,13.0,2023,193
4,4:59,1.0,10.0,CIN 38,28.0,28.0,Jake Browning pass complete short left to Tyler Boyd for 7 yards (tackle by Antonio Johnson),1.47,1.87,13.0,2023,193
4,4:53,2.0,3.0,CIN 45,28.0,28.0,Joe Mixon up the middle for 2 yards (tackle by Devin Lloyd and DaVon Hamilton),1.87,1.42,13.0,2023,193
4,4:11,3.0,1.0,CIN 47,28.0,28.0,Jake Browning scrambles up the middle for 21 yards (tackle by Andre Cisco),1.42,3.45,13.0,2023,193
4,4:00,1.0,10.0,JAX 32,28.0,28.0,"Penalty on Jake Browning: False Start, 5 yards (accepted) (no play)",3.45,3.12,13.0,2023,193
4,4:00,1.0,15.0,JAX 37,28.0,28.0,Joe Mixon up the middle for 5 yards (tackle by Rayshawn Jenkins),3.12,2.9,13.0,2023,193
4,3:17,2.0,10.0,JAX 32,28.0,28.0,"Penalty on Jake Browning: False Start, 5 yards (accepted) (no play)",2.9,2.23,13.0,2023,193
4,3:17,2.0,15.0,JAX 37,28.0,28.0,Jake Browning sacked by Josh Allen for -7 yards,2.23,0.63,13.0,2023,193
4,2:37,,,,,,Timeout #1 by Cincinnati Bengals,,,13.0,2023,193
4,2:37,3.0,22.0,JAX 44,28.0,28.0,Jake Browning pass complete short left to Tyler Boyd for 8 yards (tackle by Antonio Johnson),0.63,0.88,13.0,2023,193
4,2:33,4.0,14.0,JAX 36,31.0,28.0,Evan McPherson 54 yard field goal good,0.88,3.0,13.0,2023,193
4,2:28,,,CIN 35,31.0,28.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,193
4,2:28,1.0,10.0,JAX 25,31.0,28.0,"C.J. Beathard scrambles up the middle for 7 yards. C.J. Beathard fumbles (forced by Logan Wilson), recovered by Parker Washington at JAC-35 and returned for -1 yards (tackle by DJ Turner)",0.61,1.28,13.0,2023,193
4,2:00,2.0,1.0,JAX 34,31.0,28.0,C.J. Beathard pass incomplete deep left intended for Zay Jones,1.28,0.56,13.0,2023,193
4,1:54,3.0,1.0,JAX 34,31.0,28.0,C.J. Beathard pass complete short middle to Evan Engram for 14 yards (tackle by Jordan Battle and Germaine Pratt),0.56,2.13,13.0,2023,193
4,1:33,1.0,10.0,JAX 48,31.0,28.0,C.J. Beathard pass complete short middle to Evan Engram for 5 yards (tackle by Daxton Hill),2.13,2.26,13.0,2023,193
4,1:10,2.0,5.0,CIN 47,31.0,28.0,C.J. Beathard pass complete short left to Travis Etienne for 19 yards (tackle by Daxton Hill),2.26,3.71,13.0,2023,193
4,1:04,1.0,10.0,CIN 28,31.0,28.0,C.J. Beathard pass complete short right to Parker Washington for 8 yards (tackle by Logan Wilson and Germaine Pratt),3.71,4.25,13.0,2023,193
4,0:42,2.0,2.0,CIN 20,31.0,28.0,C.J. Beathard sacked by Joseph Ossai for no gain,4.25,3.53,13.0,2023,193
4,0:37,,,,,,Timeout #3 by Jacksonville Jaguars,,,13.0,2023,193
4,0:37,3.0,2.0,CIN 20,31.0,28.0,C.J. Beathard sacked by Jordan Battle for -2 yards,3.53,2.07,13.0,2023,193
4,0:30,,,,,,Timeout #2 by Cincinnati Bengals,,,13.0,2023,193
4,0:30,4.0,4.0,CIN 22,31.0,31.0,Brandon McManus 40 yard field goal good,2.07,3.0,13.0,2023,193
4,0:26,,,JAX 35,31.0,31.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,193
4,0:26,1.0,10.0,CIN 25,31.0,31.0,Joe Mixon up the middle for 18 yards (tackle by Andrew Wingard and Rayshawn Jenkins),0.61,1.8,13.0,2023,193
4,0:20,,,,,,Timeout #3 by Cincinnati Bengals,,,13.0,2023,193
4,0:20,1.0,10.0,CIN 43,31.0,31.0,Jake Browning pass complete short left to Joe Mixon for 3 yards (tackle by Rayshawn Jenkins),1.8,1.66,13.0,2023,193
4,0:12,2.0,7.0,CIN 46,31.0,31.0,Jake Browning pass complete short right to Tanner Hudson for no gain (tackle by Antonio Johnson),1.66,0.0,13.0,2023,193
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the overtime kickoff.",,,13.0,2023,193
OT,10:00,,,CIN 35,31.0,31.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,193
OT,10:00,1.0,10.0,JAX 25,31.0,31.0,C.J. Beathard pass complete short right to Evan Engram for 2 yards (tackle by Logan Wilson),0.61,0.33,13.0,2023,193
OT,9:29,2.0,8.0,JAX 27,31.0,31.0,C.J. Beathard pass complete short right to Travis Etienne for 2 yards (tackle by Chidobe Awuzie and Germaine Pratt),0.33,-0.1,13.0,2023,193
OT,8:48,3.0,6.0,JAX 29,31.0,31.0,C.J. Beathard pass complete short right to Evan Engram for 10 yards (tackle by DJ Turner),-0.1,1.53,13.0,2023,193
