Quarter,Time,Down,ToGo,Location,DEN,HOU,Detail,EPB,EPA,week,year,game_id
3.0,4:42,1.0,10.0,HOU 21,10.0,16.0,C.J. Stroud pass complete short left to Eric Saubert for 5 yards (tackle by Josey Jewell and Jonathon Cooper),0.34,0.48,13.0,2023,184
3.0,4:05,2.0,5.0,HOU 26,10.0,16.0,C.J. Stroud pass complete short left to Nico Collins for 4 yards (tackle by Patrick Surtain),0.48,0.3,13.0,2023,184
3.0,3:30,3.0,1.0,HOU 30,10.0,16.0,C.J. Stroud right guard for 2 yards (tackle by D.J. Jones),0.3,1.07,13.0,2023,184
3.0,2:52,1.0,10.0,HOU 32,10.0,16.0,C.J. Stroud pass incomplete short middle intended for Noah Brown,1.07,0.53,13.0,2023,184
3.0,2:48,2.0,10.0,HOU 32,10.0,16.0,C.J. Stroud sacked by and Zach Allen for -3 yards and Baron Browning for -3 yards,0.53,-0.62,13.0,2023,184
3.0,2:01,,,,,,Timeout #1 by Houston Texans,,,13.0,2023,184
3.0,2:01,3.0,14.0,HOU 29,10.0,16.0,"C.J. Stroud sacked by Ja'Quan McMillian for -5 yards. C.J. Stroud fumbles (forced by Ja'Quan McMillian), recovered by Dare Ogunbowale at HOU-31",-0.62,-1.31,13.0,2023,184
3.0,1:12,4.0,12.0,HOU 31,10.0,16.0,"Cameron Johnston punts 69 yards, touchback.",-1.31,-0.28,13.0,2023,184
3.0,1:04,1.0,10.0,DEN 20,10.0,16.0,Russell Wilson pass short right (defended by Will Anderson) intended for Jerry Jeudy is intercepted by Derek Stingley at DEN-24 and returned for 3 yards (tackle by Chris Manhertz),0.28,-4.17,13.0,2023,184
3.0,0:59,1.0,10.0,DEN 21,10.0,16.0,Dameon Pierce right guard for no gain (tackle by Jonathon Cooper),4.17,3.63,13.0,2023,184
3.0,0:27,2.0,10.0,DEN 21,10.0,16.0,C.J. Stroud pass complete short left to Brevin Jordan for 13 yards (tackle by P.J. Locke and Alex Singleton),3.63,5.37,13.0,2023,184
4.0,15:00,1.0,8.0,DEN 8,10.0,16.0,Dameon Pierce right end for 5 yards (tackle by Jonathon Cooper and Alex Singleton),5.37,5.53,13.0,2023,184
4.0,14:21,2.0,3.0,DEN 3,10.0,22.0,"C.J. Stroud pass complete short left to Nico Collins for 3 yards, touchdown",5.53,7.0,13.0,2023,184
4.0,14:16,,,DEN 2,10.0,22.0,Two Point Attempt: C.J. Stroud pass incomplete. Interception by Fabian Moreau,1.0,-1.0,13.0,2023,184
4.0,14:16,,,HOU 35,10.0,22.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,184
4.0,14:16,1.0,10.0,DEN 25,10.0,22.0,"Russell Wilson left end for 7 yards (tackle by Jimmie Ward). Penalty on Jimmie Ward: Unnecessary Roughness / Defense, 15 yards (accepted)",0.61,2.06,13.0,2023,184
4.0,13:54,1.0,10.0,DEN 47,10.0,22.0,Jaleel McLaughlin right guard for 8 yards (tackle by Denzel Perryman),2.06,2.6,13.0,2023,184
4.0,13:13,2.0,2.0,HOU 45,10.0,22.0,Javonte Williams up the middle for 3 yards (tackle by Denzel Perryman),2.6,2.79,13.0,2023,184
4.0,12:40,1.0,10.0,HOU 42,10.0,22.0,Russell Wilson pass complete deep left to Jerry Jeudy for 41 yards (tackle by Steven Nelson and DeAndre Houston-Carson),2.79,6.97,13.0,2023,184
4.0,12:06,1.0,1.0,HOU 1,16.0,22.0,"Russell Wilson right guard for 1 yard, touchdown",6.97,7.0,13.0,2023,184
4.0,12:04,,,HOU 15,17.0,22.0,Wil Lutz kicks extra point good,0.0,0.0,13.0,2023,184
4.0,12:04,,,DEN 35,17.0,22.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,184
4.0,12:04,1.0,10.0,HOU 25,17.0,22.0,Devin Singletary up the middle for 3 yards (tackle by Josey Jewell and Zach Allen),0.61,0.47,13.0,2023,184
4.0,11:27,2.0,7.0,HOU 28,17.0,22.0,C.J. Stroud sacked by Alex Singleton for -10 yards,0.47,-1.72,13.0,2023,184
4.0,10:44,3.0,17.0,HOU 18,17.0,22.0,C.J. Stroud pass incomplete deep left intended for Nico Collins (defended by Patrick Surtain),-1.72,-2.24,13.0,2023,184
4.0,10:40,4.0,17.0,HOU 18,17.0,22.0,"Cameron Johnston punts 57 yards, returned by Marvin Mims for 7 yards (tackle by Jake Hansen and Tavierre Thomas). Penalty on Delarrin Turner-Yell: Running Into the Kicker, 5 yards (declined)",-2.24,-1.07,13.0,2023,184
4.0,10:28,1.0,10.0,DEN 32,17.0,22.0,Javonte Williams right tackle for 4 yards (tackle by Sheldon Rankins),1.07,1.07,13.0,2023,184
4.0,9:40,2.0,6.0,DEN 36,17.0,22.0,Russell Wilson pass deep middle intended for Courtland Sutton is intercepted by Derek Stingley at HOU-27 and returned for no gain (tackle by Marvin Mims),1.07,-0.74,13.0,2023,184
4.0,9:33,1.0,10.0,HOU 27,17.0,22.0,Dameon Pierce left tackle for no gain (tackle by Alex Singleton and Josey Jewell),0.74,0.2,13.0,2023,184
4.0,8:56,2.0,10.0,HOU 27,17.0,22.0,C.J. Stroud pass complete short left to John Metchie for 9 yards (tackle by Patrick Surtain and Alex Singleton),0.2,0.7,13.0,2023,184
4.0,8:11,,,,,,Timeout #2 by Houston Texans,,,13.0,2023,184
4.0,8:11,3.0,1.0,HOU 36,17.0,22.0,C.J. Stroud left guard for 2 yards (tackle by Matt Henningsen),0.7,1.47,13.0,2023,184
4.0,7:44,1.0,10.0,HOU 38,17.0,22.0,Dameon Pierce right guard for 3 yards (tackle by P.J. Locke),1.47,1.33,13.0,2023,184
4.0,7:04,2.0,7.0,HOU 41,17.0,22.0,Davis Mills pass complete short right to Nico Collins for 18 yards (tackle by Baron Browning),1.33,2.85,13.0,2023,184
4.0,6:32,1.0,10.0,DEN 41,17.0,22.0,Dameon Pierce up the middle for -4 yards (tackle by P.J. Locke),2.85,1.77,13.0,2023,184
4.0,5:54,2.0,14.0,DEN 45,17.0,22.0,C.J. Stroud sacked by P.J. Locke for -9 yards,1.77,-0.1,13.0,2023,184
4.0,5:11,3.0,23.0,HOU 46,17.0,22.0,C.J. Stroud pass complete short right to Dare Ogunbowale for 14 yards (tackle by Patrick Surtain),-0.1,0.59,13.0,2023,184
4.0,4:40,4.0,10.0,DEN 40,17.0,22.0,"Cameron Johnston punts 40 yards, touchback.",0.59,-0.28,13.0,2023,184
4.0,4:36,1.0,10.0,DEN 20,17.0,22.0,Russell Wilson pass complete deep middle to Courtland Sutton for 32 yards (tackle by Jimmie Ward),0.28,2.39,13.0,2023,184
4.0,3:54,1.0,10.0,HOU 48,17.0,22.0,Russell Wilson pass complete short left to Marvin Mims for 5 yards (tackle by Steven Nelson),2.39,2.52,13.0,2023,184
4.0,3:48,2.0,5.0,HOU 43,17.0,22.0,Javonte Williams left tackle for 1 yard (tackle by Jonathan Greenard),2.52,1.95,13.0,2023,184
4.0,3:05,3.0,4.0,HOU 42,17.0,22.0,"Russell Wilson pass incomplete short left intended for Samaje Perine. Penalty on Christian Harris: Defensive Pass Interference, 11 yards (accepted) (no play)",1.95,3.51,13.0,2023,184
4.0,2:59,1.0,10.0,HOU 31,17.0,22.0,Javonte Williams left tackle for 1 yard (tackle by Jake Hansen and Christian Harris),3.51,3.1,13.0,2023,184
4.0,2:16,2.0,9.0,HOU 30,17.0,22.0,Russell Wilson pass complete short left to Jaleel McLaughlin for 1 yard (tackle by Jalen Pitre),3.1,2.54,13.0,2023,184
4.0,2:11,3.0,8.0,HOU 29,17.0,22.0,Russell Wilson scrambles left end for 7 yards (tackle by Christian Harris and Sheldon Rankins),2.54,2.14,13.0,2023,184
4.0,2:00,,,,,,Timeout #1 by Denver Broncos,,,13.0,2023,184
4.0,2:00,4.0,1.0,HOU 22,17.0,22.0,Javonte Williams right tackle for 1 yard (tackle by Desmond King),2.14,4.17,13.0,2023,184
4.0,1:18,1.0,10.0,HOU 21,17.0,22.0,Russell Wilson pass complete short middle to Javonte Williams for 4 yards (tackle by Jake Hansen and Blake Cashman),4.17,4.2,13.0,2023,184
4.0,0:39,2.0,6.0,HOU 17,17.0,22.0,Russell Wilson pass complete short right to Jerry Jeudy for 4 yards (tackle by Desmond King),4.2,4.24,13.0,2023,184
4.0,0:35,3.0,2.0,HOU 13,17.0,22.0,Russell Wilson pass incomplete short right,4.24,2.69,13.0,2023,184
4.0,0:30,,,,,,Timeout #2 by Denver Broncos,,,13.0,2023,184
4.0,0:30,,,,,,Timeout #3 by Houston Texans,,,13.0,2023,184
4.0,0:30,4.0,2.0,HOU 13,17.0,22.0,Russell Wilson scrambles up the middle for 5 yards (tackle by Maliek Collins),2.69,5.37,13.0,2023,184
4.0,0:23,,,,,,Timeout #3 by Denver Broncos,,,13.0,2023,184
4.0,0:23,1.0,8.0,HOU 8,17.0,22.0,Russell Wilson pass incomplete short middle intended for Adam Trautman,5.37,4.57,13.0,2023,184
4.0,0:20,2.0,8.0,HOU 8,17.0,22.0,Russell Wilson pass incomplete short middle intended for Courtland Sutton,4.57,3.58,13.0,2023,184
4.0,0:16,3.0,8.0,HOU 8,17.0,22.0,Russell Wilson pass short left intended for Lucas Krull is intercepted by Jimmie Ward in end zone and returned for no gain,3.58,-0.28,13.0,2023,184
