Quarter,Time,Down,ToGo,Location,MIA,WAS,Detail,EPB,EPA,week,year,game_id
1.0,10:22,2.0,5.0,MIA 19,0.0,0.0,Raheem Mostert right tackle for 3 yards (tackle by Cody Barton),-0.04,-0.44,13.0,2023,186
1.0,9:37,3.0,2.0,MIA 22,6.0,0.0,"Tua Tagovailoa pass complete deep left to Tyreek Hill for 78 yards, touchdown",-0.44,7.0,13.0,2023,186
1.0,9:28,,,WAS 15,7.0,0.0,Jason Sanders kicks extra point good,0.0,0.0,13.0,2023,186
1.0,9:28,,,MIA 35,7.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,186
1.0,9:28,1.0,10.0,WAS 25,7.0,0.0,Sam Howell scrambles right end for 3 yards (tackle by Jerome Baker),0.61,0.47,13.0,2023,186
1.0,8:51,2.0,7.0,WAS 28,7.0,0.0,Sam Howell pass incomplete short right intended for Logan Thomas,0.47,-0.23,13.0,2023,186
1.0,8:43,3.0,7.0,WAS 28,7.0,0.0,Sam Howell sacked by and Bradley Chubb for -7 yards and Zach Sieler for -7 yards,-0.23,-1.96,13.0,2023,186
1.0,8:04,4.0,14.0,WAS 21,7.0,0.0,"Tress Way punts 51 yards, returned by Braxton Berrios for 2 yards (tackle by Dyami Brown)",-1.96,-0.94,13.0,2023,186
1.0,7:54,1.0,10.0,MIA 30,7.0,0.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,0.94,0.39,13.0,2023,186
1.0,7:51,2.0,10.0,MIA 30,7.0,0.0,Tua Tagovailoa pass complete short middle to De'Von Achane for 6 yards (tackle by Khaleke Hudson and Percy Butler),0.39,0.5,13.0,2023,186
1.0,7:25,3.0,4.0,MIA 36,7.0,0.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 16 yards (tackle by Terrell Burgess),0.5,2.39,13.0,2023,186
1.0,6:42,1.0,10.0,WAS 48,7.0,0.0,Raheem Mostert left end for 12 yards (tackle by Terrell Burgess),2.39,3.18,13.0,2023,186
1.0,6:00,1.0,10.0,WAS 36,7.0,0.0,Raheem Mostert left end for -4 yards (tackle by Jamin Davis),3.18,2.1,13.0,2023,186
1.0,5:20,2.0,14.0,WAS 40,7.0,0.0,Tua Tagovailoa pass complete short left to Alec Ingold for -3 yards (tackle by Jamin Davis),2.1,1.02,13.0,2023,186
1.0,4:35,3.0,17.0,WAS 43,7.0,0.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 12 yards (tackle by Kamren Curl),1.02,1.35,13.0,2023,186
1.0,3:43,4.0,5.0,WAS 31,10.0,0.0,Jason Sanders 49 yard field goal good,1.35,3.0,13.0,2023,186
1.0,3:39,,,MIA 35,10.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,186
1.0,3:39,1.0,10.0,WAS 25,10.0,0.0,Brian Robinson up the middle for 4 yards (tackle by Christian Wilkins and DeShon Elliott),0.61,0.6,13.0,2023,186
1.0,3:03,2.0,6.0,WAS 29,10.0,0.0,Brian Robinson left tackle for 3 yards (tackle by Jerome Baker),0.6,0.3,13.0,2023,186
1.0,2:23,3.0,3.0,WAS 32,10.0,0.0,Sam Howell pass incomplete short middle intended for Terry McLaurin,0.3,-1.24,13.0,2023,186
1.0,2:18,4.0,3.0,WAS 32,10.0,0.0,"Tress Way punts 49 yards, fair catch by Braxton Berrios at MIA-19",-1.24,-0.15,13.0,2023,186
1.0,2:12,1.0,10.0,MIA 19,10.0,0.0,Tua Tagovailoa pass incomplete deep middle intended for Jaylen Waddle,0.15,-0.39,13.0,2023,186
1.0,2:02,2.0,10.0,MIA 19,10.0,0.0,De'Von Achane right end for -7 yards (tackle by K.J. Henry),-0.39,-2.24,13.0,2023,186
1.0,1:22,3.0,17.0,MIA 12,10.0,0.0,"Tua Tagovailoa pass complete short left to Tyreek Hill for -6 yards (tackle by Daron Payne). Penalty on Liam Eichenberg: Ineligible Downfield Pass, 5 yards (declined)",-2.24,-2.49,13.0,2023,186
1.0,1:08,4.0,23.0,MIA 6,10.0,0.0,"Jake Bailey punts 46 yards, fair catch by Jamison Crowder at WAS-48. Penalty on Dyami Brown: Offensive Holding, 10 yards (accepted)",-2.49,-1.47,13.0,2023,186
1.0,1:01,1.0,10.0,WAS 38,16.0,0.0,"Sam Howell pass short right intended for Jahan Dotson is intercepted by Andrew Van Ginkel at WAS-33 and returned for 33 yards, touchdown",1.47,-7.0,13.0,2023,186
1.0,0:55,,,WAS 15,17.0,0.0,Jason Sanders kicks extra point good,0.0,0.0,13.0,2023,186
1.0,0:55,,,MIA 35,17.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,186
1.0,0:55,1.0,10.0,WAS 25,17.0,0.0,Brian Robinson right tackle for 8 yards (tackle by Brandon Jones and Kader Kohou),0.61,1.14,13.0,2023,186
1.0,0:14,2.0,2.0,WAS 33,17.0,0.0,Brian Robinson right tackle for 7 yards (tackle by DeShon Elliott and Bradley Chubb),1.14,1.6,13.0,2023,186
2.0,15:00,1.0,10.0,WAS 40,17.0,0.0,Sam Howell sacked by Emmanuel Ogbah for -6 yards,1.6,0.24,13.0,2023,186
2.0,14:18,2.0,16.0,WAS 34,17.0,0.0,Brian Robinson right end for 29 yards (tackle by Brandon Jones and DeShon Elliott),0.24,3.12,13.0,2023,186
2.0,13:27,1.0,10.0,MIA 37,17.0,0.0,Antonio Gibson right end for 3 yards (tackle by Andrew Van Ginkel),3.12,2.98,13.0,2023,186
2.0,12:52,2.0,7.0,MIA 34,17.0,0.0,Sam Howell pass incomplete deep right intended for Terry McLaurin (defended by Xavien Howard),2.98,2.28,13.0,2023,186
2.0,12:43,3.0,7.0,MIA 34,17.0,0.0,Sam Howell pass complete deep right to Curtis Samuel for 33 yards (tackle by Brandon Jones),2.28,6.97,13.0,2023,186
2.0,12:21,1.0,1.0,MIA 1,17.0,0.0,Brian Robinson left guard for no gain (tackle by Bradley Chubb and Duke Riley),6.97,5.91,13.0,2023,186
2.0,11:34,2.0,1.0,MIA 1,17.0,0.0,"Sam Howell pass complete to Dyami Brown for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Sam Howell pass complete short right to Dyami Brown for no gain (tackle by Andrew Van Ginkel)",5.91,5.17,13.0,2023,186
2.0,11:20,3.0,1.0,MIA 1,17.0,6.0,"Sam Howell up the middle for 1 yard, touchdown",5.17,7.0,13.0,2023,186
2.0,11:18,,,MIA 15,17.0,7.0,Joey Slye kicks extra point good,0.0,0.0,13.0,2023,186
2.0,11:18,,,WAS 35,17.0,7.0,"Penalty on Justin Bethel: Defensive Offside, 5 yards (accepted) (no play)",0.0,0.0,13.0,2023,186
2.0,11:18,,,WAS 40,17.0,7.0,"Joey Slye kicks off 60 yards, touchback.",0.0,0.61,13.0,2023,186
2.0,11:18,1.0,10.0,MIA 25,17.0,7.0,Raheem Mostert right tackle for 6 yards (tackle by John Ridgeway),0.61,0.87,13.0,2023,186
2.0,10:49,2.0,4.0,MIA 31,17.0,7.0,Tyreek Hill right end for 6 yards (tackle by Benjamin St-Juste),0.87,1.4,13.0,2023,186
2.0,10:13,1.0,10.0,MIA 37,17.0,7.0,Tua Tagovailoa pass incomplete deep middle intended for Jaylen Waddle,1.4,0.86,13.0,2023,186
2.0,10:05,2.0,10.0,MIA 37,17.0,7.0,Tua Tagovailoa pass complete short middle to De'Von Achane for 3 yards (tackle by Kendall Fuller),0.86,0.56,13.0,2023,186
2.0,9:22,3.0,7.0,MIA 40,23.0,7.0,"Tua Tagovailoa pass complete deep right to Tyreek Hill for 60 yards, touchdown",0.56,7.0,13.0,2023,186
2.0,9:14,,,WAS 15,24.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,13.0,2023,186
2.0,9:14,,,MIA 35,24.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,186
2.0,9:14,1.0,10.0,WAS 25,24.0,7.0,Sam Howell scrambles right end for 4 yards (tackle by Duke Riley),0.61,0.6,13.0,2023,186
2.0,8:36,2.0,6.0,WAS 29,24.0,7.0,Chris Rodriguez left guard for 3 yards (tackle by Raekwon Davis and Christian Wilkins),0.6,0.3,13.0,2023,186
2.0,7:53,,,,,,Timeout #1 by Washington Commanders,,,13.0,2023,186
2.0,7:53,3.0,3.0,WAS 32,24.0,7.0,Sam Howell pass complete deep left to Curtis Samuel for 25 yards (tackle by Kader Kohou),0.3,2.72,13.0,2023,186
2.0,7:06,1.0,10.0,MIA 43,24.0,7.0,Sam Howell pass incomplete short left intended for Jahan Dotson,2.72,2.18,13.0,2023,186
2.0,7:04,2.0,10.0,MIA 43,24.0,7.0,Sam Howell sacked by Zach Sieler for -7 yards,2.18,0.56,13.0,2023,186
2.0,6:24,3.0,17.0,WAS 50,24.0,7.0,"Sam Howell pass complete short left to Antonio Gibson for -6 yards. Antonio Gibson fumbles (forced by Duke Riley), recovered by Antonio Gibson at WAS-44 (tackle by Duke Riley)",0.56,-0.46,13.0,2023,186
2.0,6:00,4.0,23.0,WAS 44,24.0,7.0,Tress Way punts 32 yards out of bounds,-0.46,-0.54,13.0,2023,186
2.0,5:55,1.0,10.0,MIA 24,24.0,7.0,Raheem Mostert left end for 9 yards (tackle by Kamren Curl),0.54,1.21,13.0,2023,186
2.0,5:28,2.0,1.0,MIA 33,24.0,7.0,Raheem Mostert right end for 6 yards (tackle by Jamin Davis),1.21,1.53,13.0,2023,186
2.0,4:43,1.0,10.0,MIA 39,24.0,7.0,Raheem Mostert left end for -1 yards (tackle by Casey Toohill),1.53,0.85,13.0,2023,186
2.0,3:57,2.0,11.0,MIA 38,24.0,7.0,De'Von Achane left end for 5 yards (tackle by Kamren Curl),0.85,0.83,13.0,2023,186
2.0,3:18,3.0,6.0,MIA 43,24.0,7.0,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 20 yards (tackle by Percy Butler),0.83,3.12,13.0,2023,186
2.0,2:41,1.0,10.0,WAS 37,24.0,7.0,De'Von Achane left end for 3 yards (tackle by Jalen Harris),3.12,2.98,13.0,2023,186
2.0,2:00,2.0,7.0,WAS 34,24.0,7.0,"Tua Tagovailoa pass incomplete deep left intended for Jaylen Waddle. Penalty on Benjamin St-Juste: Defensive Pass Interference, 16 yards (accepted) (no play)",2.98,4.37,13.0,2023,186
2.0,1:54,1.0,10.0,WAS 18,24.0,7.0,Tyreek Hill right end for -10 yards (tackle by Quan Martin),4.37,2.48,13.0,2023,186
2.0,1:42,,,,,,Timeout #2 by Washington Commanders,,,13.0,2023,186
2.0,1:42,2.0,20.0,WAS 28,24.0,7.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 8 yards (tackle by Cody Barton and Quan Martin),2.48,2.87,13.0,2023,186
2.0,1:33,,,,,,Timeout #3 by Washington Commanders,,,13.0,2023,186
2.0,1:33,3.0,12.0,WAS 20,24.0,7.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 16 yards (tackle by Cody Barton),2.87,6.28,13.0,2023,186
2.0,0:55,1.0,4.0,WAS 4,24.0,7.0,Raheem Mostert left tackle for 3 yards (tackle by Cody Barton and Jamin Davis),6.28,5.91,13.0,2023,186
2.0,0:24,,,,,,Timeout #2 by Miami Dolphins,,,13.0,2023,186
2.0,0:24,2.0,1.0,WAS 1,30.0,7.0,"Raheem Mostert left end for 1 yard, touchdown",5.91,7.0,13.0,2023,186
2.0,0:20,,,WAS 15,31.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,13.0,2023,186
2.0,0:20,,,MIA 35,31.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,186
2.0,0:20,1.0,10.0,WAS 25,31.0,7.0,Sam Howell pass incomplete deep left intended for Curtis Samuel,0.61,0.06,13.0,2023,186
2.0,0:15,2.0,10.0,WAS 25,31.0,7.0,Antonio Gibson for 3 yards (tackle by Duke Riley and Bradley Chubb),0.06,-0.23,13.0,2023,186
3.0,15:00,,,WAS 35,31.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,186
3.0,15:00,1.0,10.0,MIA 25,31.0,7.0,Raheem Mostert right end for 5 yards (tackle by K.J. Henry and Daron Payne),0.61,0.74,13.0,2023,186
3.0,14:26,2.0,5.0,MIA 30,31.0,7.0,Raheem Mostert right end for 3 yards (tackle by Jonathan Allen and Cody Barton),0.74,0.43,13.0,2023,186
3.0,13:56,3.0,2.0,MIA 33,31.0,7.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 5 yards (tackle by Cody Barton and Jamin Davis),0.43,1.47,13.0,2023,186
3.0,13:12,1.0,10.0,MIA 38,31.0,7.0,Tua Tagovailoa pass complete short right to De'Von Achane for 21 yards (tackle by Kendall Fuller),1.47,2.85,13.0,2023,186
3.0,12:27,1.0,10.0,WAS 41,31.0,7.0,De'Von Achane right guard for 3 yards (tackle by Quan Martin and Andre Jones),2.85,2.71,13.0,2023,186
3.0,11:53,2.0,7.0,WAS 38,31.0,7.0,Tua Tagovailoa pass complete short middle to River Cracraft for 13 yards (tackle by Percy Butler and Cody Barton),2.71,3.91,13.0,2023,186
3.0,11:15,1.0,10.0,WAS 25,31.0,7.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 3 yards (tackle by Kendall Fuller),3.91,3.77,13.0,2023,186
3.0,10:30,2.0,7.0,WAS 22,31.0,7.0,Tua Tagovailoa pass complete short middle to Julian Hill for 18 yards (tackle by Quan Martin),3.77,6.28,13.0,2023,186
3.0,9:41,1.0,4.0,WAS 4,37.0,7.0,"De'Von Achane left guard for 4 yards, touchdown",6.28,7.0,13.0,2023,186
3.0,9:36,,,WAS 15,38.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,13.0,2023,186
3.0,9:36,,,MIA 35,38.0,7.0,"Penalty on Christian Holmes: Defensive Offside, 5 yards (accepted) (no play)",0.0,0.0,13.0,2023,186
3.0,9:36,,,MIA 40,38.0,7.0,"Jason Sanders kicks off 60 yards, touchback.",0.0,0.61,13.0,2023,186
3.0,9:36,1.0,10.0,WAS 25,38.0,7.0,Antonio Gibson left tackle for 6 yards (tackle by Christian Wilkins and David Long),0.61,0.87,13.0,2023,186
3.0,8:58,2.0,4.0,WAS 31,38.0,7.0,Sam Howell pass complete deep right to Antonio Gibson for 32 yards,0.87,3.12,13.0,2023,186
3.0,8:14,1.0,10.0,MIA 37,38.0,7.0,Antonio Gibson right guard for 2 yards (tackle by David Long),3.12,2.84,13.0,2023,186
3.0,7:36,2.0,8.0,MIA 35,38.0,7.0,Chris Rodriguez right guard for 4 yards (tackle by Andrew Van Ginkel),2.84,2.68,13.0,2023,186
3.0,6:55,3.0,4.0,MIA 31,38.0,7.0,Sam Howell pass complete short left to Jahan Dotson for 11 yards,2.68,4.24,13.0,2023,186
3.0,6:14,1.0,10.0,MIA 20,38.0,7.0,Sam Howell pass incomplete short left intended for Terry McLaurin (defended by DeShon Elliott),4.24,3.69,13.0,2023,186
3.0,6:06,2.0,10.0,MIA 20,38.0,7.0,Antonio Gibson left end for 2 yards (tackle by Brandon Jones),3.69,3.22,13.0,2023,186
3.0,5:25,3.0,8.0,MIA 18,38.0,7.0,Sam Howell pass complete short right to Antonio Gibson for 5 yards (tackle by Duke Riley),3.22,2.67,13.0,2023,186
3.0,4:39,4.0,3.0,MIA 13,38.0,13.0,"Sam Howell scrambles for 13 yards, touchdown",2.67,7.0,13.0,2023,186
3.0,4:31,,,MIA 2,38.0,15.0,Two Point Attempt: Sam Howell pass complete to to Logan Thomas for no gain,1.0,1.0,13.0,2023,186
3.0,4:31,,,WAS 35,38.0,15.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,186
3.0,4:31,1.0,10.0,MIA 25,38.0,15.0,De'Von Achane right end for 8 yards (tackle by Jamin Davis),0.61,1.01,13.0,2023,186
3.0,3:49,2.0,3.0,MIA 32,38.0,15.0,"De'Von Achane for no gain. Penalty on Julian Hill: Offensive Holding, 10 yards (accepted) (no play)",1.01,-0.21,13.0,2023,186
3.0,3:17,2.0,12.0,MIA 23,38.0,15.0,Tua Tagovailoa pass incomplete short right intended for De'Von Achane,-0.21,-0.89,13.0,2023,186
3.0,3:10,3.0,12.0,MIA 23,38.0,15.0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill (defended by Percy Butler),-0.89,-1.83,13.0,2023,186
3.0,3:05,4.0,12.0,MIA 23,38.0,15.0,"Jake Bailey punts 47 yards, returned by Jamison Crowder for 11 yards (tackle by David Long and Duke Riley)",-1.83,-1.66,13.0,2023,186
3.0,2:54,1.0,10.0,WAS 41,38.0,15.0,Sam Howell pass complete short left to Antonio Gibson for 6 yards (tackle by Jalen Ramsey),1.66,1.93,13.0,2023,186
3.0,2:21,2.0,4.0,WAS 47,38.0,15.0,Antonio Gibson up the middle for 1 yard (tackle by Bradley Chubb and David Long),1.93,1.36,13.0,2023,186
3.0,1:39,3.0,3.0,WAS 48,38.0,15.0,Chris Rodriguez right guard for 15 yards (tackle by Andrew Van Ginkel),1.36,3.12,13.0,2023,186
3.0,0:54,1.0,10.0,MIA 37,38.0,15.0,Sam Howell pass incomplete deep right,3.12,2.57,13.0,2023,186
3.0,0:45,2.0,10.0,MIA 37,38.0,15.0,Antonio Gibson left end for no gain (tackle by Duke Riley and Emmanuel Ogbah),2.57,1.88,13.0,2023,186
4.0,15:00,3.0,10.0,MIA 37,38.0,15.0,Sam Howell pass complete short left to Cole Turner for 2 yards (tackle by Nik Needham),1.88,0.97,13.0,2023,186
4.0,14:20,4.0,8.0,MIA 35,38.0,15.0,Joey Slye 53 yard field goal no good,0.97,-1.8,13.0,2023,186
4.0,14:15,1.0,10.0,MIA 43,38.0,15.0,De'Von Achane left end for 7 yards (tackle by Percy Butler),1.8,2.2,13.0,2023,186
4.0,13:38,2.0,3.0,WAS 50,38.0,15.0,Tua Tagovailoa pass complete short right to Julian Hill for 5 yards (tackle by Quan Martin),2.2,2.59,13.0,2023,186
4.0,12:55,1.0,10.0,WAS 45,38.0,15.0,De'Von Achane left end for 3 yards (tackle by Khaleke Hudson and Jamin Davis),2.59,2.45,13.0,2023,186
4.0,12:17,2.0,7.0,WAS 42,38.0,15.0,De'Von Achane up the middle for 2 yards (tackle by Daron Payne),2.45,2.01,13.0,2023,186
4.0,11:39,3.0,5.0,WAS 40,38.0,15.0,Tua Tagovailoa pass incomplete short middle intended for Jaylen Waddle (defended by Jamin Davis),2.01,0.59,13.0,2023,186
4.0,11:30,4.0,5.0,WAS 40,38.0,15.0,Jake Bailey punts 34 yards downed by Elijah Campbell,0.59,0.38,13.0,2023,186
4.0,11:23,1.0,10.0,WAS 6,38.0,15.0,Sam Howell pass incomplete short right intended for Antonio Gibson (defended by Andrew Van Ginkel),-0.38,-0.78,13.0,2023,186
4.0,11:20,2.0,10.0,WAS 6,38.0,15.0,Antonio Gibson left end for 9 yards (tackle by David Long),-0.78,-0.37,13.0,2023,186
4.0,10:36,3.0,1.0,WAS 15,38.0,15.0,Chris Rodriguez right guard for -2 yards (tackle by David Long and Andrew Van Ginkel),-0.37,-2.49,13.0,2023,186
4.0,9:57,4.0,3.0,WAS 13,38.0,15.0,"Tress Way punts 51 yards, returned by Braxton Berrios for 5 yards (tackle by Joshua Pryor and Terrell Burgess)",-2.49,-1.66,13.0,2023,186
4.0,9:47,1.0,10.0,MIA 41,38.0,15.0,De'Von Achane left guard for 6 yards (tackle by Kamren Curl),1.66,1.93,13.0,2023,186
4.0,9:09,2.0,4.0,MIA 47,38.0,15.0,De'Von Achane left end for 6 yards (tackle by Khaleke Hudson),1.93,2.46,13.0,2023,186
4.0,8:31,1.0,10.0,WAS 47,38.0,15.0,De'Von Achane right end for 2 yards (tackle by Cody Barton),2.46,2.18,13.0,2023,186
4.0,7:53,2.0,8.0,WAS 45,38.0,15.0,De'Von Achane right end for 7 yards (tackle by Cody Barton),2.18,2.41,13.0,2023,186
4.0,7:15,3.0,1.0,WAS 38,38.0,15.0,De'Von Achane up the middle for 15 yards (tackle by Kendall Fuller),2.41,4.04,13.0,2023,186
4.0,6:36,1.0,10.0,WAS 23,38.0,15.0,De'Von Achane right end for 5 yards (tackle by Kendall Fuller),4.04,4.21,13.0,2023,186
4.0,5:52,2.0,5.0,WAS 18,38.0,15.0,Jeff Wilson for 1 yard (tackle by Quan Martin),4.21,3.66,13.0,2023,186
4.0,5:17,3.0,4.0,WAS 17,38.0,15.0,Jeff Wilson up the middle for 3 yards (tackle by Jamin Davis),3.66,2.66,13.0,2023,186
4.0,4:37,4.0,1.0,WAS 14,38.0,15.0,Jeff Wilson right tackle for 6 yards (tackle by Quan Martin),2.66,5.37,13.0,2023,186
4.0,4:00,1.0,8.0,WAS 8,38.0,15.0,Jeff Wilson right end for 1 yard (tackle by Khaleke Hudson and Cody Barton),5.37,4.76,13.0,2023,186
4.0,3:22,2.0,7.0,WAS 7,38.0,15.0,De'Von Achane left end for 2 yards (tackle by Cody Barton and Casey Toohill),4.76,4.26,13.0,2023,186
4.0,2:38,3.0,5.0,WAS 5,38.0,15.0,Mike White pass complete short middle to River Cracraft for 3 yards (tackle by Kendall Fuller and Percy Butler),4.26,3.25,13.0,2023,186
4.0,2:00,4.0,2.0,WAS 2,44.0,15.0,"De'Von Achane left end for 2 yards, touchdown",3.25,7.0,13.0,2023,186
4.0,1:57,,,WAS 15,45.0,15.0,Jason Sanders kicks extra point good,0.0,0.0,13.0,2023,186
4.0,1:57,,,MIA 35,45.0,15.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,186
4.0,1:57,1.0,10.0,WAS 25,45.0,15.0,Chris Rodriguez up the middle for 5 yards (tackle by Duke Riley and Channing Tindall),0.61,0.74,13.0,2023,186
4.0,1:16,2.0,5.0,WAS 30,45.0,15.0,Chris Rodriguez right guard for 3 yards (tackle by Channing Tindall),0.74,0.43,13.0,2023,186
4.0,0:37,3.0,2.0,WAS 33,45.0,15.0,Chris Rodriguez right guard for 1 yard (tackle by Channing Tindall and David Long),0.43,-1.11,13.0,2023,186
