Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA,week,year,game_id
1.0,9:59,1.0,10.0,CLE 36,0.0,0.0,"Deshaun Watson pass complete short left to Elijah Moore for no gain. Penalty on Jedrick Wills: Offensive Holding, 10 yards (accepted) (no play)",1.33,0.67,9.0,2023,125
1.0,9:27,,,,,,Timeout #1 by Cleveland Browns,,,9.0,2023,125
1.0,9:27,1.0,20.0,CLE 26,0.0,0.0,Deshaun Watson pass incomplete short left intended for David Njoku,0.67,-0.56,9.0,2023,125
1.0,9:23,2.0,20.0,CLE 26,0.0,0.0,Deshaun Watson pass incomplete short left intended for Kareem Hunt,-0.56,-1.22,9.0,2023,125
1.0,9:18,3.0,20.0,CLE 26,0.0,0.0,Deshaun Watson pass complete short left to David Njoku for 15 yards (tackle by Jalen Thompson),-1.22,-0.65,9.0,2023,125
1.0,8:34,4.0,5.0,CLE 41,0.0,0.0,"Corey Bojorquez punts 44 yards, returned by Greg Dortch for 4 yards (tackle by Pierre Strong)",-0.65,-0.15,9.0,2023,125
1.0,8:24,1.0,10.0,ARI 19,0.0,0.0,Clayton Tune scrambles right end for 2 yards (tackle by Grant Delpit),0.15,-0.06,9.0,2023,125
1.0,7:51,2.0,8.0,ARI 21,0.0,0.0,Rondale Moore up the middle for -4 yards (tackle by Shelby Harris),-0.06,-1.42,9.0,2023,125
1.0,7:15,3.0,12.0,ARI 17,0.0,0.0,Clayton Tune pass incomplete short left intended for Tony Jones,-1.42,-2.32,9.0,2023,125
1.0,7:12,4.0,12.0,ARI 17,0.0,0.0,"Blake Gillikin punts 44 yards, returned by James Proche for 5 yards (tackle by Joey Blount)",-2.32,-1.86,9.0,2023,125
1.0,7:05,1.0,10.0,CLE 44,0.0,0.0,Pierre Strong right end for 4 yards (tackle by Leki Fotu and Zaven Collins),1.86,1.86,9.0,2023,125
1.0,6:26,2.0,6.0,CLE 48,0.0,0.0,Jerome Ford right guard for 9 yards (tackle by BJ Ojulari),1.86,2.72,9.0,2023,125
1.0,5:48,1.0,10.0,ARI 43,0.0,0.0,Deshaun Watson pass complete short right to Amari Cooper for 3 yards (tackle by Starling Thomas),2.72,2.58,9.0,2023,125
1.0,5:15,2.0,7.0,ARI 40,0.0,0.0,Deshaun Watson pass complete short right to David Njoku for 2 yards (tackle by Kevin Strong),2.58,2.15,9.0,2023,125
1.0,4:30,3.0,5.0,ARI 38,0.0,0.0,Deshaun Watson pass complete short right to Jerome Ford for 2 yards (tackle by Starling Thomas),2.15,0.89,9.0,2023,125
1.0,3:46,4.0,3.0,ARI 36,0.0,0.0,Deshaun Watson pass incomplete short right intended for Jordan Akins,0.89,-1.4,9.0,2023,125
1.0,3:43,1.0,10.0,ARI 37,0.0,0.0,Clayton Tune sacked by Jordan Elliott for -10 yards,1.4,-0.43,9.0,2023,125
1.0,3:04,2.0,19.0,ARI 27,0.0,0.0,Clayton Tune pass complete short right to Greg Dortch for 2 yards (tackle by Cameron Mitchell),-0.43,-0.82,9.0,2023,125
1.0,2:28,3.0,17.0,ARI 29,0.0,0.0,"Clayton Tune pass complete short right to Tony Jones for 4 yards (tackle by Denzel Ward). Penalty on Marquise Brown: Offensive Pass Interference, 10 yards (declined)",-0.82,-1.18,9.0,2023,125
1.0,2:12,4.0,13.0,ARI 33,0.0,0.0,"Blake Gillikin punts 56 yards, returned by James Proche for 17 yards (tackle by Bobby Price and Krys Barnes)",-1.18,-0.81,9.0,2023,125
1.0,2:01,1.0,10.0,CLE 28,0.0,0.0,Deshaun Watson pass complete deep left to Amari Cooper for 59 yards (tackle by Jalen Thompson),0.81,4.71,9.0,2023,125
1.0,1:21,1.0,10.0,ARI 13,0.0,0.0,Kareem Hunt right guard for 3 yards (tackle by Kevin Strong),4.71,4.58,9.0,2023,125
1.0,0:41,2.0,7.0,ARI 10,0.0,0.0,Deshaun Watson sacked by and Josh Woods for -6 yards and Leki Fotu for -6 yards,4.58,2.97,9.0,2023,125
2.0,15:00,3.0,13.0,ARI 16,0.0,0.0,Deshaun Watson pass complete short right to David Njoku for 4 yards (tackle by Budda Baker),2.97,2.63,9.0,2023,125
2.0,14:18,4.0,9.0,ARI 12,0.0,3.0,"Dustin Hopkins 30 yard field goal good. Penalty on Dante Stills: Defensive Offside, 5 yards (declined)",2.63,3.0,9.0,2023,125
2.0,14:15,,,CLE 35,0.0,3.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,125
2.0,14:15,1.0,10.0,ARI 25,0.0,3.0,Keaontay Ingram right end for no gain (tackle by Martin Emerson),0.61,0.06,9.0,2023,125
2.0,13:38,2.0,10.0,ARI 25,0.0,3.0,"Keaontay Ingram left guard for -5 yards (tackle by Jordan Elliott and Shelby Harris). Penalty on Jordan Elliott: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.06,1.6,9.0,2023,125
2.0,13:15,1.0,10.0,ARI 40,0.0,3.0,Clayton Tune pass short right intended for Marquise Brown is intercepted by Denzel Ward at ARI-49 and returned for no gain (tackle by Marquise Brown),1.6,-2.32,9.0,2023,125
2.0,13:10,1.0,10.0,ARI 49,0.0,3.0,Pierre Strong left end for 4 yards (tackle by Victor Dimukeje),2.32,2.32,9.0,2023,125
2.0,12:33,2.0,6.0,ARI 45,0.0,3.0,Pierre Strong right end for 1 yard (tackle by Jalen Thompson),2.32,1.75,9.0,2023,125
2.0,12:04,3.0,5.0,ARI 44,0.0,3.0,Deshaun Watson scrambles left guard for 4 yards (tackle by Dante Stills and Budda Baker),1.75,0.59,9.0,2023,125
2.0,11:28,4.0,1.0,ARI 40,0.0,3.0,Kareem Hunt up the middle for 2 yards (tackle by Kyzir White and Budda Baker),0.59,3.05,9.0,2023,125
2.0,10:49,1.0,10.0,ARI 38,0.0,3.0,Deshaun Watson scrambles right end for 5 yards (tackle by Kyzir White),3.05,3.18,9.0,2023,125
2.0,10:10,2.0,5.0,ARI 33,0.0,3.0,Kareem Hunt right end for 10 yards (tackle by BJ Ojulari),3.18,4.04,9.0,2023,125
2.0,9:26,1.0,10.0,ARI 23,0.0,3.0,Kareem Hunt right end for 2 yards (tackle by Kevin Strong),4.04,3.77,9.0,2023,125
2.0,8:48,2.0,8.0,ARI 21,0.0,3.0,Kareem Hunt right guard for 6 yards (tackle by Roy Lopez),3.77,4.05,9.0,2023,125
2.0,8:14,3.0,2.0,ARI 15,0.0,3.0,Kareem Hunt left guard for 3 yards (tackle by Budda Baker and Marco Wilson),4.05,4.78,9.0,2023,125
2.0,7:33,1.0,10.0,ARI 12,0.0,3.0,Jerome Ford right guard for 1 yard (tackle by Jonathan Ledbetter and Josh Woods),4.78,4.27,9.0,2023,125
2.0,6:52,2.0,9.0,ARI 11,0.0,9.0,"Deshaun Watson pass complete short right to Amari Cooper for 11 yards, touchdown",4.27,7.0,9.0,2023,125
2.0,6:48,,,ARI 15,0.0,10.0,Dustin Hopkins kicks extra point good,0.0,0.0,9.0,2023,125
2.0,6:48,,,CLE 35,0.0,10.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,125
2.0,6:48,1.0,10.0,ARI 25,0.0,10.0,Clayton Tune scrambles right guard for 4 yards (tackle by Grant Delpit),0.61,0.6,9.0,2023,125
2.0,6:14,2.0,6.0,ARI 29,0.0,10.0,Keaontay Ingram left guard for 2 yards (tackle by Rodney McLeod and Anthony Walker),0.6,0.1,9.0,2023,125
2.0,5:36,3.0,5.0,ARI 31,0.0,10.0,"Clayton Tune pass complete short left to Rondale Moore for no gain (tackle by Juan Thornhill). Penalty on Marquise Brown: Offensive Pass Interference, 10 yards (accepted) (no play)",0.1,-1.22,9.0,2023,125
2.0,5:09,3.0,15.0,ARI 21,0.0,10.0,Clayton Tune scrambles left end for 6 yards (tackle by Juan Thornhill),-1.22,-1.57,9.0,2023,125
2.0,4:36,4.0,8.0,ARI 27,0.0,10.0,"Blake Gillikin punts 55 yards, returned by James Proche for 12 yards (tackle by Zeke Turner)",-1.57,-0.94,9.0,2023,125
2.0,4:27,1.0,10.0,CLE 30,0.0,10.0,Jerome Ford left end for no gain (tackle by Garrett Williams),0.94,0.39,9.0,2023,125
2.0,3:49,2.0,10.0,CLE 30,0.0,10.0,Deshaun Watson pass incomplete short right intended for David Njoku,0.39,-0.3,9.0,2023,125
2.0,3:47,3.0,10.0,CLE 30,0.0,10.0,Deshaun Watson pass incomplete short right intended for Jerome Ford,-0.3,-1.37,9.0,2023,125
2.0,3:39,4.0,10.0,CLE 30,0.0,10.0,"Corey Bojorquez punts 60 yards, returned by Greg Dortch for 14 yards (tackle by Rodney McLeod)",-1.37,-0.54,9.0,2023,125
2.0,3:27,1.0,10.0,ARI 24,0.0,10.0,Tony Jones left guard for -3 yards (tackle by Grant Delpit),0.54,-0.41,9.0,2023,125
2.0,2:50,2.0,13.0,ARI 21,0.0,10.0,"Clayton Tune scrambles right end for no gain. Penalty on D.J. Humphries: Offensive Holding, 10 yards (accepted) (no play)",-0.41,-1.73,9.0,2023,125
2.0,2:21,2.0,23.0,ARI 11,0.0,10.0,Clayton Tune pass complete short right to Marquise Brown for 4 yards (tackle by Denzel Ward and Cameron Mitchell),-1.73,-2.25,9.0,2023,125
2.0,2:00,3.0,19.0,ARI 15,0.0,10.0,Clayton Tune sacked by Dalvin Tomlinson for -3 yards,-2.25,-2.49,9.0,2023,125
2.0,1:55,,,,,,Timeout #2 by Cleveland Browns,,,9.0,2023,125
2.0,1:55,4.0,22.0,ARI 12,0.0,10.0,"Blake Gillikin punts 55 yards, returned by James Proche for 11 yards (tackle by Zach Pascal). Penalty on Mike Ford: Offensive Holding, 10 yards (accepted)",-2.49,-1.2,9.0,2023,125
2.0,1:44,1.0,10.0,CLE 34,0.0,10.0,Deshaun Watson pass complete short right to Jerome Ford for 1 yard (tackle by Josh Woods),1.2,0.79,9.0,2023,125
2.0,1:24,2.0,9.0,CLE 35,0.0,10.0,Deshaun Watson pass incomplete deep left intended for Marquise Goodwin,0.79,0.1,9.0,2023,125
2.0,1:18,,,,,,Timeout #3 by Cleveland Browns,,,9.0,2023,125
2.0,1:18,3.0,9.0,CLE 35,0.0,10.0,"Deshaun Watson pass incomplete short left intended for David Njoku. Penalty on Cameron Thomas: Roughing the Passer, 15 yards (accepted) (no play)",0.1,2.26,9.0,2023,125
2.0,1:15,1.0,10.0,CLE 50,0.0,10.0,Deshaun Watson pass incomplete short right intended for Jordan Akins,2.26,1.71,9.0,2023,125
2.0,1:11,2.0,10.0,CLE 50,0.0,10.0,Jerome Ford left guard for 1 yard (tackle by Dennis Gardeck),1.71,1.16,9.0,2023,125
2.0,0:44,3.0,9.0,ARI 49,0.0,10.0,Deshaun Watson pass complete short right to Jordan Akins for 11 yards (tackle by Garrett Williams),1.16,3.05,9.0,2023,125
2.0,0:21,1.0,10.0,ARI 38,0.0,10.0,Deshaun Watson pass incomplete short left intended for Jerome Ford,3.05,2.51,9.0,2023,125
2.0,0:16,2.0,10.0,ARI 38,0.0,10.0,"Deshaun Watson pass complete short left to Elijah Moore for 11 yards (tackle by Garrett Williams) Replay Assistant challenged the pass completion ruling, and the play was upheld.",2.51,3.78,9.0,2023,125
2.0,0:05,1.0,10.0,ARI 27,0.0,10.0,Deshaun Watson spiked the ball,3.78,3.23,9.0,2023,125
2.0,0:04,2.0,10.0,ARI 27,0.0,13.0,Dustin Hopkins 45 yard field goal good,3.23,3.0,9.0,2023,125
3.0,15:00,,,ARI 35,0.0,13.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,125
3.0,15:00,1.0,10.0,CLE 25,0.0,13.0,Jerome Ford right guard for -4 yards (tackle by Dante Stills),0.61,-0.48,9.0,2023,125
3.0,14:16,2.0,14.0,CLE 21,0.0,13.0,Jerome Ford right guard for 5 yards (tackle by Cameron Thomas),-0.48,-0.49,9.0,2023,125
3.0,13:47,3.0,9.0,CLE 26,0.0,13.0,Deshaun Watson pass incomplete deep middle intended for Marquise Goodwin (defended by Garrett Williams),-0.49,-1.63,9.0,2023,125
3.0,13:40,4.0,9.0,CLE 26,0.0,13.0,Corey Bojorquez punts 73 yards downed by Mike Ford,-1.63,0.38,9.0,2023,125
3.0,13:27,1.0,10.0,ARI 1,0.0,13.0,Keaontay Ingram left guard for no gain (tackle by Jeremiah Owusu-Koramoah),-0.38,-0.78,9.0,2023,125
3.0,12:48,2.0,10.0,ARI 1,0.0,13.0,Clayton Tune pass incomplete short right intended for Trey McBride (defended by Juan Thornhill),-0.78,-1.42,9.0,2023,125
3.0,12:43,3.0,10.0,ARI 1,0.0,13.0,Clayton Tune pass incomplete short right intended for Marquise Brown (defended by Anthony Walker),-1.42,-2.49,9.0,2023,125
3.0,12:39,4.0,10.0,ARI 1,0.0,13.0,"Blake Gillikin punts 55 yards, returned by James Proche for no gain (tackle by Dennis Gardeck). Penalty on Kahlef Hailassie: Offensive Holding, 10 yards (accepted)",-2.49,-1.2,9.0,2023,125
3.0,12:29,1.0,10.0,CLE 34,0.0,13.0,Jerome Ford left end for 2 yards (tackle by Starling Thomas),1.2,0.93,9.0,2023,125
3.0,11:47,2.0,8.0,CLE 36,0.0,13.0,Deshaun Watson pass complete short right to Jerome Ford for 9 yards (tackle by Kevin Strong and Garrett Williams),0.93,1.93,9.0,2023,125
3.0,11:21,1.0,10.0,CLE 45,0.0,13.0,Kareem Hunt left guard for 1 yard (tackle by Zaven Collins),1.93,1.52,9.0,2023,125
3.0,10:59,2.0,9.0,CLE 46,0.0,13.0,Deshaun Watson pass complete short left to Pierre Strong for -7 yards (tackle by Leki Fotu),1.52,-0.1,9.0,2023,125
3.0,10:20,3.0,16.0,CLE 39,0.0,13.0,Deshaun Watson pass complete short left to Jerome Ford for 4 yards (tackle by Budda Baker),-0.1,-0.52,9.0,2023,125
3.0,9:47,4.0,12.0,CLE 43,0.0,13.0,"Corey Bojorquez punts 57 yards, touchback.",-0.52,-0.28,9.0,2023,125
3.0,9:38,1.0,10.0,ARI 20,0.0,13.0,"Clayton Tune sacked by Shelby Harris for -8 yards. Clayton Tune fumbles (forced by Shelby Harris), recovered by Myles Garrett at ARI-12 and returned for 1 yard (tackle by D.J. Humphries)",0.28,-4.84,9.0,2023,125
3.0,9:31,1.0,10.0,ARI 11,0.0,13.0,Deshaun Watson pass complete short right to Elijah Moore for 3 yards (tackle by Antonio Hamilton),4.84,4.7,9.0,2023,125
3.0,8:50,2.0,7.0,ARI 8,0.0,13.0,Jerome Ford left guard for 3 yards (tackle by Kyzir White and Jonathan Ledbetter),4.7,4.44,9.0,2023,125
3.0,8:09,3.0,4.0,ARI 5,0.0,19.0,"Deshaun Watson pass complete short middle to David Njoku for 5 yards, touchdown",4.44,7.0,9.0,2023,125
3.0,8:07,,,ARI 15,0.0,20.0,Dustin Hopkins kicks extra point good,0.0,0.0,9.0,2023,125
3.0,8:07,,,CLE 35,0.0,20.0,"Dustin Hopkins kicks off 62 yards, returned by Greg Dortch for 11 yards (tackle by Tony Fields). Penalty on Grant Delpit: Unsportsmanlike Conduct / Defense, 15 yards (accepted)",0.0,0.87,9.0,2023,125
3.0,8:03,1.0,10.0,ARI 29,0.0,20.0,"Penalty on Maurice Hurst: Defensive Offside, 5 yards (accepted) (no play)",0.87,1.6,9.0,2023,125
3.0,7:38,1.0,5.0,ARI 34,0.0,20.0,Clayton Tune pass complete short left to Rondale Moore for 5 yards (tackle by Sione Takitaki),1.6,1.53,9.0,2023,125
3.0,7:08,1.0,10.0,ARI 39,0.0,20.0,Rondale Moore left end for 4 yards (tackle by Sione Takitaki),1.53,1.53,9.0,2023,125
3.0,6:31,2.0,6.0,ARI 43,0.0,20.0,Rondale Moore right end for 1 yard (tackle by Cameron Mitchell and Dalvin Tomlinson),1.53,0.96,9.0,2023,125
3.0,5:53,3.0,5.0,ARI 44,0.0,20.0,Clayton Tune pass incomplete short left intended for Marquise Brown (defended by Denzel Ward),0.96,-0.46,9.0,2023,125
3.0,5:50,4.0,5.0,ARI 44,0.0,20.0,"Penalty on D.J. Humphries: False Start, 5 yards (accepted) (no play)",-0.46,-0.78,9.0,2023,125
3.0,5:50,4.0,10.0,ARI 39,0.0,20.0,Blake Gillikin punts 57 yards downed by Dennis Gardeck,-0.78,0.38,9.0,2023,125
3.0,5:39,1.0,10.0,CLE 4,0.0,20.0,Kareem Hunt left guard for 4 yards (tackle by Roy Lopez and Budda Baker),-0.38,-0.49,9.0,2023,125
3.0,5:05,2.0,6.0,CLE 8,0.0,20.0,Kareem Hunt left guard for 3 yards (tackle by Roy Lopez and Kyzir White),-0.49,-0.6,9.0,2023,125
3.0,4:26,3.0,3.0,CLE 11,0.0,20.0,Jerome Ford left end for -3 yards (tackle by Cameron Thomas),-0.6,-2.49,9.0,2023,125
3.0,3:51,4.0,6.0,CLE 8,0.0,20.0,"Corey Bojorquez punts 65 yards, returned by Greg Dortch for 23 yards (tackle by Mike Ford)",-2.49,-2.26,9.0,2023,125
3.0,3:34,1.0,10.0,CLE 50,0.0,20.0,Keaontay Ingram left guard for -1 yards (tackle by Jeremiah Owusu-Koramoah and Grant Delpit),2.26,1.58,9.0,2023,125
3.0,2:56,2.0,11.0,ARI 49,0.0,20.0,Clayton Tune scrambles left end for 11 yards (tackle by Grant Delpit),1.58,2.92,9.0,2023,125
3.0,2:21,1.0,10.0,CLE 40,0.0,20.0,Clayton Tune pass deep left intended for Trey McBride is intercepted by Sione Takitaki at CLE-24 and returned for no gain (tackle by Elijah Higgins and Trey McBride),2.92,-0.54,9.0,2023,125
3.0,2:15,1.0,10.0,CLE 24,0.0,20.0,Deshaun Watson pass complete deep left to Amari Cooper for 17 yards (tackle by Jalen Thompson),0.54,1.66,9.0,2023,125
3.0,1:35,1.0,10.0,CLE 41,0.0,20.0,Kareem Hunt left guard for -1 yards (tackle by Jonathan Ledbetter and Josh Woods),1.66,0.99,9.0,2023,125
3.0,0:49,2.0,11.0,CLE 40,0.0,20.0,"Kareem Hunt right guard for no gain (tackle by Kevin Strong) Penalty on CLE: Illegal Shift, 5 yards (declined)",0.99,0.3,9.0,2023,125
3.0,0:18,3.0,11.0,CLE 40,0.0,20.0,Deshaun Watson scrambles right end for 13 yards (tackle by Josh Woods),0.3,2.46,9.0,2023,125
4.0,15:00,1.0,10.0,ARI 47,0.0,20.0,Jerome Ford right guard for 5 yards (tackle by Leki Fotu),2.46,2.59,9.0,2023,125
4.0,14:23,2.0,5.0,ARI 42,0.0,20.0,Jerome Ford right guard for 7 yards (tackle by BJ Ojulari and Dante Stills),2.59,3.25,9.0,2023,125
4.0,13:43,1.0,10.0,ARI 35,0.0,20.0,Jerome Ford right guard for 4 yards (tackle by BJ Ojulari),3.25,3.24,9.0,2023,125
4.0,13:01,2.0,6.0,ARI 31,0.0,20.0,Kareem Hunt right end for 1 yard (tackle by Dante Stills),3.24,2.68,9.0,2023,125
4.0,12:19,3.0,5.0,ARI 30,0.0,20.0,Deshaun Watson pass incomplete short left,2.68,1.45,9.0,2023,125
4.0,12:13,4.0,5.0,ARI 30,0.0,20.0,Dustin Hopkins 48 yard field goal no good,1.45,-1.47,9.0,2023,125
4.0,12:08,1.0,10.0,ARI 38,0.0,20.0,Clayton Tune pass complete short right to Marquise Brown for 14 yards (tackle by Denzel Ward),1.47,2.39,9.0,2023,125
4.0,11:38,1.0,10.0,CLE 48,0.0,20.0,Tony Jones right guard for 4 yards (tackle by Jeremiah Owusu-Koramoah),2.39,2.39,9.0,2023,125
4.0,11:14,2.0,6.0,CLE 44,0.0,20.0,Clayton Tune sacked by Myles Garrett for -1 yards,2.39,1.55,9.0,2023,125
4.0,10:47,3.0,7.0,CLE 45,0.0,20.0,Clayton Tune sacked by Dalvin Tomlinson for -5 yards,1.55,-0.06,9.0,2023,125
4.0,10:07,4.0,12.0,CLE 50,0.0,20.0,Clayton Tune pass complete short right to Trey McBride for 6 yards (tackle by Grant Delpit),-0.06,-1.86,9.0,2023,125
4.0,10:01,1.0,10.0,CLE 44,0.0,20.0,Kareem Hunt left guard for 1 yard (tackle by Cameron Thomas and Kyzir White),1.86,1.45,9.0,2023,125
4.0,9:23,2.0,9.0,CLE 45,0.0,20.0,Deshaun Watson pass complete short right to Cedric Tillman for 3 yards (tackle by Jalen Thompson),1.45,1.16,9.0,2023,125
4.0,8:41,3.0,6.0,CLE 48,0.0,20.0,Deshaun Watson pass complete deep right to Amari Cooper for 49 yards (tackle by Antonio Hamilton and Budda Baker),1.16,6.51,9.0,2023,125
4.0,7:52,,,,,,Timeout #1 by Cleveland Browns,,,9.0,2023,125
4.0,7:52,1.0,3.0,ARI 3,0.0,26.0,"Kareem Hunt right guard for 3 yards, touchdown",6.51,7.0,9.0,2023,125
4.0,7:48,,,ARI 15,0.0,27.0,Dustin Hopkins kicks extra point good,0.0,0.0,9.0,2023,125
4.0,7:48,,,CLE 35,0.0,27.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,125
4.0,7:48,1.0,10.0,ARI 25,0.0,27.0,Clayton Tune pass incomplete short right intended for Zach Pascal (defended by Cameron Mitchell),0.61,0.06,9.0,2023,125
4.0,7:40,2.0,10.0,ARI 25,0.0,27.0,Clayton Tune pass complete short right to Tony Jones for 1 yard (tackle by Cameron Mitchell),0.06,-0.49,9.0,2023,125
4.0,7:19,3.0,9.0,ARI 26,0.0,27.0,Clayton Tune sacked by and Dalvin Tomlinson for -3 yards and Grant Delpit for -3 yards,-0.49,-1.83,9.0,2023,125
4.0,6:59,4.0,12.0,ARI 23,0.0,27.0,"Blake Gillikin punts 58 yards, returned by James Proche for 10 yards (tackle by Victor Dimukeje)",-1.83,-0.87,9.0,2023,125
4.0,6:49,1.0,10.0,CLE 29,0.0,27.0,Jerome Ford left end for -2 yards (tackle by Zaven Collins and Budda Baker),0.87,0.06,9.0,2023,125
4.0,6:42,,,,,,Timeout #1 by Arizona Cardinals,,,9.0,2023,125
4.0,6:42,2.0,12.0,CLE 27,0.0,27.0,Jerome Ford right guard for -2 yards (tackle by Leki Fotu and Dante Stills),0.06,-0.89,9.0,2023,125
4.0,6:37,,,,,,Timeout #2 by Arizona Cardinals,,,9.0,2023,125
4.0,6:37,3.0,14.0,CLE 25,0.0,27.0,Jerome Ford right guard for 8 yards (tackle by Budda Baker),-0.89,-1.18,9.0,2023,125
4.0,6:31,,,,,,Timeout #3 by Arizona Cardinals,,,9.0,2023,125
4.0,6:31,4.0,6.0,CLE 33,0.0,27.0,"Corey Bojorquez punts 67 yards, touchback.",-1.18,-0.28,9.0,2023,125
4.0,6:22,1.0,10.0,ARI 20,0.0,27.0,Clayton Tune scrambles right end for 5 yards (tackle by Matthew Adams),0.28,0.41,9.0,2023,125
4.0,5:52,2.0,5.0,ARI 25,0.0,27.0,Clayton Tune pass complete short left to Trey McBride for 4 yards (tackle by D'Anthony Bell),0.41,0.23,9.0,2023,125
4.0,5:32,3.0,1.0,ARI 29,0.0,27.0,Tony Jones right guard for 1 yard (tackle by Ogbonnia Okoronkwo),0.23,0.94,9.0,2023,125
4.0,5:10,1.0,10.0,ARI 30,0.0,27.0,Clayton Tune pass incomplete short middle intended for Rondale Moore (defended by Shelby Harris),0.94,0.39,9.0,2023,125
4.0,5:06,2.0,10.0,ARI 30,0.0,27.0,Clayton Tune pass complete short left to Marquise Brown for 6 yards (tackle by Mike Ford),0.39,0.5,9.0,2023,125
4.0,4:39,3.0,4.0,ARI 36,0.0,27.0,Clayton Tune sacked by Za'Darius Smith for -11 yards,0.5,-1.7,9.0,2023,125
4.0,3:59,4.0,15.0,ARI 25,0.0,27.0,"Blake Gillikin punts 43 yards, fair catch by James Proche at CLE-32",-1.7,-1.07,9.0,2023,125
4.0,3:51,1.0,10.0,CLE 32,0.0,27.0,Jerome Ford right guard for 2 yards (tackle by Josh Woods and Roy Lopez),1.07,0.8,9.0,2023,125
4.0,3:08,2.0,8.0,CLE 34,0.0,27.0,Jerome Ford left guard for -1 yards (tackle by Kyzir White and Jonathan Ledbetter),0.8,0.04,9.0,2023,125
4.0,2:25,3.0,8.0,CLE 33,0.0,27.0,Jerome Ford right guard for 1 yard (tackle by Cameron Thomas and Jonathan Ledbetter),0.04,-1.11,9.0,2023,125
4.0,2:00,4.0,8.0,CLE 34,0.0,27.0,"Corey Bojorquez punts 44 yards, returned by Greg Dortch for 7 yards (tackle by Harrison Bryant)",-1.11,-0.87,9.0,2023,125
4.0,1:49,1.0,10.0,ARI 29,0.0,27.0,Keaontay Ingram right end for -5 yards (tackle by Shelby Harris and Mohamoud Diabate),0.87,-0.35,9.0,2023,125
4.0,1:13,2.0,15.0,ARI 24,0.0,27.0,Keaontay Ingram right end for -4 yards (tackle by Za'Darius Smith),-0.35,-1.55,9.0,2023,125
4.0,0:34,3.0,19.0,ARI 20,0.0,27.0,Keaontay Ingram right guard for 3 yards (tackle by Za'Darius Smith and Ogbonnia Okoronkwo),-1.55,-1.83,9.0,2023,125
