Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA,week,year,game_id
1.0,9:34,1.0,10.0,GNB 20,0.0,0.0,Jordan Love pass incomplete short left intended for Aaron Jones,0.28,-0.27,9.0,2023,126
1.0,9:29,2.0,10.0,GNB 20,0.0,0.0,Jordan Love pass complete short middle to Aaron Jones for 9 yards (tackle by Quentin Lake and Byron Young),-0.27,0.23,9.0,2023,126
1.0,8:52,3.0,1.0,GNB 29,0.0,0.0,AJ Dillon up the middle for 3 yards (tackle by Kobie Turner and Christian Rozeboom),0.23,1.07,9.0,2023,126
1.0,8:15,1.0,10.0,GNB 32,0.0,0.0,AJ Dillon up the middle for 5 yards (tackle by Troy Reeder and Christian Rozeboom),1.07,1.2,9.0,2023,126
1.0,7:35,2.0,5.0,GNB 37,0.0,0.0,Aaron Jones right tackle for 4 yards (tackle by Jordan Fuller and Aaron Donald),1.2,1.03,9.0,2023,126
1.0,6:57,3.0,1.0,GNB 41,0.0,0.0,Aaron Jones left tackle for no gain (tackle by Byron Young),1.03,-0.65,9.0,2023,126
1.0,6:18,4.0,1.0,GNB 41,0.0,0.0,"Jordan Love for no gain. Penalty on Jon Runyan: Offensive Offside, 5 yards (accepted) (no play)",-0.65,-0.98,9.0,2023,126
1.0,6:11,4.0,6.0,GNB 36,0.0,0.0,"Daniel Whelan punts 52 yards, returned by Austin Trammell for 14 yards (tackle by Tucker Kraft)",-0.98,-0.67,9.0,2023,126
1.0,5:51,1.0,10.0,LAR 26,0.0,0.0,Royce Freeman up the middle for 2 yards (tackle by Keisean Nixon and Rashan Gary),0.67,0.4,9.0,2023,126
1.0,5:23,2.0,8.0,LAR 28,0.0,0.0,"Brett Rypien pass incomplete. Penalty on Rashan Gary: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.4,1.8,9.0,2023,126
1.0,5:18,1.0,10.0,LAR 43,0.0,0.0,"Brett Rypien sacked by Rashan Gary for no gain. Penalty on Rashan Gary: Defensive Offside, 5 yards (accepted) (no play)",1.8,2.53,9.0,2023,126
1.0,4:54,1.0,5.0,LAR 48,0.0,0.0,Royce Freeman up the middle for 4 yards (tackle by Tedarrell Slaton),2.53,2.47,9.0,2023,126
1.0,4:12,2.0,1.0,GNB 48,0.0,0.0,Royce Freeman up the middle for 3 yards (tackle by Kenny Clark),2.47,2.59,9.0,2023,126
1.0,3:27,1.0,10.0,GNB 45,0.0,0.0,"Brett Rypien aborted snap, recovered by Brett Rypien at GB-45 Brett Rypien sacked by Jonathan Owens for -11 yards. Brett Rypien fumbles (forced by Jonathan Owens), recovered by De'Vondre Campbell at LA-44 and returned for 3 yards (tackle by Royce Freeman)",2.59,-2.85,9.0,2023,126
1.0,3:24,1.0,10.0,LAR 41,0.0,0.0,Jordan Love pass complete short left to Josiah Deguara for 7 yards (tackle by Byron Young),2.85,3.25,9.0,2023,126
1.0,2:40,2.0,3.0,LAR 34,0.0,0.0,Aaron Jones right tackle for 7 yards (tackle by Michael Hoecht),3.25,3.78,9.0,2023,126
1.0,2:01,1.0,10.0,LAR 27,0.0,0.0,AJ Dillon right tackle for 12 yards (tackle by Byron Young),3.78,4.58,9.0,2023,126
1.0,1:21,1.0,10.0,LAR 15,0.0,0.0,Aaron Jones right end for 2 yards (tackle by Kobie Turner),4.58,4.28,9.0,2023,126
1.0,0:42,2.0,8.0,LAR 13,0.0,0.0,Aaron Jones left guard for 5 yards (tackle by Jordan Fuller and Kobie Turner),4.28,4.45,9.0,2023,126
2.0,15:00,3.0,3.0,LAR 8,0.0,0.0,Aaron Jones up the middle for 5 yards (tackle by Jordan Fuller and Cobie Durant),4.45,6.51,9.0,2023,126
2.0,14:22,1.0,3.0,LAR 3,0.0,6.0,"Aaron Jones left tackle for 3 yards, touchdown",6.51,7.0,9.0,2023,126
2.0,14:19,,,LAR 15,0.0,7.0,Anders Carlson kicks extra point good,0.0,0.0,9.0,2023,126
2.0,14:19,,,GNB 35,0.0,7.0,"Anders Carlson kicks off 65 yards, returned by Demarcus Robinson for 20 yards (tackle by Zayne Anderson)",0.0,0.28,9.0,2023,126
2.0,14:14,1.0,10.0,LAR 20,0.0,7.0,"Penalty on Demarcus Robinson: False Start, 5 yards (accepted) (no play)",0.28,-0.31,9.0,2023,126
2.0,14:14,1.0,15.0,LAR 15,0.0,7.0,Darrell Henderson left tackle for 1 yard (tackle by Keisean Nixon and Devonte Wyatt),-0.31,-0.94,9.0,2023,126
2.0,13:47,2.0,14.0,LAR 16,0.0,7.0,Brett Rypien scrambles left end for 5 yards (tackle by De'Vondre Campbell),-0.94,-0.82,9.0,2023,126
2.0,13:05,3.0,9.0,LAR 21,0.0,7.0,Brett Rypien pass incomplete short right intended for Tutu Atwell (defended by Carrington Valentine),-0.82,-1.96,9.0,2023,126
2.0,12:59,4.0,9.0,LAR 21,0.0,7.0,Ethan Evans punts 41 yards out of bounds,-1.96,-1.47,9.0,2023,126
2.0,12:53,1.0,10.0,GNB 38,0.0,7.0,Jayden Reed left end for 21 yards (tackle by Christian Rozeboom),1.47,2.85,9.0,2023,126
2.0,12:08,1.0,10.0,LAR 41,0.0,7.0,Jordan Love pass incomplete short left intended for Luke Musgrave,2.85,2.31,9.0,2023,126
2.0,12:04,2.0,10.0,LAR 41,0.0,7.0,AJ Dillon left end for 3 yards (tackle by Cory Durden and Michael Hoecht),2.31,2.02,9.0,2023,126
2.0,11:19,3.0,7.0,LAR 38,0.0,7.0,Jordan Love pass incomplete deep left intended for Christian Watson (defended by Ahkello Witherspoon),2.02,0.72,9.0,2023,126
2.0,11:12,4.0,7.0,LAR 38,0.0,7.0,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",0.72,0.4,9.0,2023,126
2.0,11:12,4.0,12.0,LAR 43,0.0,7.0,"Daniel Whelan punts 33 yards, fair catch by Austin Trammell at LA-10",0.4,0.38,9.0,2023,126
2.0,11:05,1.0,10.0,LAR 10,0.0,7.0,Royce Freeman left end for 2 yards (tackle by Isaiah McDuffie),-0.38,-0.63,9.0,2023,126
2.0,10:30,2.0,8.0,LAR 12,0.0,7.0,Brett Rypien pass incomplete short right intended for Puka Nacua (defended by Carrington Valentine),-0.63,-1.19,9.0,2023,126
2.0,10:24,3.0,8.0,LAR 12,0.0,7.0,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",-1.19,-1.77,9.0,2023,126
2.0,10:24,3.0,13.0,LAR 7,0.0,7.0,Royce Freeman left guard for 7 yards (tackle by Karl Brooks),-1.77,-2.47,9.0,2023,126
2.0,9:48,4.0,6.0,LAR 14,0.0,7.0,"Ethan Evans punts 61 yards, returned by Keisean Nixon for 15 yards (tackle by Davis Allen)",-2.47,-1.6,9.0,2023,126
2.0,9:32,1.0,10.0,GNB 40,0.0,7.0,Aaron Jones left end for 4 yards (tackle by Quentin Lake),1.6,1.59,9.0,2023,126
2.0,8:56,2.0,6.0,GNB 44,0.0,7.0,Aaron Jones right guard for 3 yards (tackle by Kobie Turner),1.59,1.29,9.0,2023,126
2.0,8:19,3.0,3.0,GNB 47,0.0,7.0,Aaron Jones up the middle for 2 yards (tackle by Troy Reeder and Michael Hoecht),1.29,-0.13,9.0,2023,126
2.0,7:44,4.0,1.0,GNB 49,0.0,7.0,"Penalty on Jon Runyan: Offensive Offside, 4 yards (accepted) (no play)",-0.13,-0.39,9.0,2023,126
2.0,7:28,4.0,5.0,GNB 45,0.0,7.0,"Daniel Whelan punts 47 yards, returned by Austin Trammell for 12 yards (tackle by Eric Wilson). Penalty on Ben Skowronek: Offensive Holding, 10 yards (accepted)",-0.39,0.38,9.0,2023,126
2.0,7:28,1.0,10.0,LAR 10,0.0,7.0,Darrell Henderson left end for 6 yards (tackle by Isaiah McDuffie and De'Vondre Campbell),-0.38,-0.23,9.0,2023,126
2.0,6:47,2.0,4.0,LAR 16,0.0,7.0,Darrell Henderson right end for no gain (tackle by Carrington Valentine and De'Vondre Campbell),-0.23,-0.72,9.0,2023,126
2.0,6:06,3.0,4.0,LAR 16,0.0,7.0,Brett Rypien scrambles up the middle for 6 yards (tackle by De'Vondre Campbell),-0.72,0.41,9.0,2023,126
2.0,5:29,1.0,10.0,LAR 22,0.0,7.0,Darrell Henderson left end for -5 yards (tackle by Lukas Van Ness),0.41,-0.94,9.0,2023,126
2.0,4:48,2.0,15.0,LAR 17,0.0,7.0,Darrell Henderson up the middle for 4 yards (tackle by Lukas Van Ness),-0.94,-0.96,9.0,2023,126
2.0,4:20,3.0,11.0,LAR 21,0.0,7.0,"Brett Rypien pass complete deep left to Cooper Kupp for 34 yards (tackle by Jaire Alexander). Penalty on Devonte Wyatt: Defensive Offside, 5 yards (declined)",-0.96,2.59,9.0,2023,126
2.0,4:01,1.0,10.0,GNB 45,0.0,7.0,Brett Rypien scrambles right end for 8 yards (tackle by Isaiah McDuffie),2.59,3.12,9.0,2023,126
2.0,3:23,2.0,2.0,GNB 37,0.0,7.0,Darrell Henderson up the middle for -1 yards (tackle by Kingsley Enagbare),3.12,2.28,9.0,2023,126
2.0,2:36,3.0,3.0,GNB 38,0.0,7.0,Brett Rypien pass complete short left to Puka Nacua for 4 yards (tackle by Jaire Alexander),2.28,3.31,9.0,2023,126
2.0,2:00,1.0,10.0,GNB 34,0.0,7.0,Darrell Henderson left tackle for no gain (tackle by Preston Smith),3.31,2.77,9.0,2023,126
2.0,1:57,,,,,,Timeout #1 by Green Bay Packers,,,9.0,2023,126
2.0,1:57,2.0,10.0,GNB 34,0.0,7.0,Brett Rypien pass incomplete short left intended for Tyler Higbee (defended by Anthony Johnson),2.77,2.08,9.0,2023,126
2.0,1:51,3.0,10.0,GNB 34,0.0,7.0,Brett Rypien pass incomplete short right intended for Tutu Atwell,2.08,1.06,9.0,2023,126
2.0,1:47,4.0,10.0,GNB 34,3.0,7.0,Lucas Havrisik 52 yard field goal good,1.06,3.0,9.0,2023,126
2.0,1:42,,,LAR 35,3.0,7.0,"Lucas Havrisik kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,126
2.0,1:42,1.0,10.0,GNB 25,3.0,7.0,"Jordan Love pass incomplete intended for Romeo Doubs. Penalty on Ahkello Witherspoon: Defensive Pass Interference, 6 yards (accepted) (no play)",0.61,1.0,9.0,2023,126
2.0,1:40,1.0,10.0,GNB 31,3.0,7.0,Aaron Jones left tackle for 2 yards (tackle by Kobie Turner and Aaron Donald),1.0,0.73,9.0,2023,126
2.0,1:17,2.0,8.0,GNB 33,3.0,7.0,Jordan Love pass complete short right to Romeo Doubs for 9 yards (tackle by Duke Shelley),0.73,1.73,9.0,2023,126
2.0,1:13,1.0,10.0,GNB 42,3.0,7.0,Jordan Love pass complete short middle to Jayden Reed for 4 yards (tackle by Quentin Lake),1.73,1.73,9.0,2023,126
2.0,0:51,2.0,6.0,GNB 46,3.0,7.0,Jordan Love scrambles right end for 8 yards (tackle by Aaron Donald),1.73,2.52,9.0,2023,126
2.0,0:43,1.0,10.0,LAR 46,3.0,7.0,Jordan Love pass incomplete deep middle intended for Malik Heath,2.52,1.98,9.0,2023,126
2.0,0:40,2.0,10.0,LAR 46,3.0,7.0,Jordan Love sacked by Kobie Turner for -7 yards,1.98,0.37,9.0,2023,126
2.0,0:19,,,,,,Timeout #2 by Green Bay Packers,,,9.0,2023,126
2.0,0:19,,,,,,Timeout #1 by Los Angeles Rams,,,9.0,2023,126
2.0,0:19,3.0,17.0,GNB 47,3.0,7.0,"Jordan Love pass complete to Romeo Doubs for 16 yards (tackle by Ahkello Witherspoon) Replay Assistant challenged the first down ruling, and the original play was overturned. Jordan Love pass complete deep left to Romeo Doubs for 17 yards (tackle by Ahkello Witherspoon)",0.37,3.18,9.0,2023,126
2.0,0:15,,,,,,Timeout #3 by Green Bay Packers,,,9.0,2023,126
2.0,0:15,1.0,10.0,LAR 36,3.0,7.0,"Penalty on Jayden Reed: False Start, 5 yards (accepted) (no play)",3.18,2.85,9.0,2023,126
2.0,0:15,1.0,15.0,LAR 41,3.0,7.0,Jordan Love pass complete short right to Jayden Reed for 11 yards (tackle by Russ Yeast),2.85,3.45,9.0,2023,126
2.0,0:05,2.0,4.0,LAR 30,3.0,7.0,Jordan Love spiked the ball,3.45,2.74,9.0,2023,126
2.0,0:04,3.0,4.0,LAR 30,3.0,7.0,Anders Carlson 48 yard field goal no good,2.74,1.4,9.0,2023,126
3.0,15:00,,,LAR 35,3.0,7.0,"Lucas Havrisik kicks off 69 yards, returned by Keisean Nixon for 51 yards (tackle by Jordan Fuller)",0.0,2.06,9.0,2023,126
3.0,14:53,1.0,10.0,GNB 47,3.0,7.0,"Jordan Love pass complete short left to Dontayvion Wicks for 11 yards. Dontayvion Wicks fumbles, recovered by Ahkello Witherspoon at LA-42",2.06,-1.73,9.0,2023,126
3.0,14:45,1.0,10.0,LAR 42,3.0,7.0,Royce Freeman left end for 7 yards (tackle by Rashan Gary),1.73,2.13,9.0,2023,126
3.0,14:03,2.0,3.0,LAR 49,3.0,7.0,Royce Freeman left tackle for 7 yards (tackle by Jonathan Owens),2.13,2.65,9.0,2023,126
3.0,13:18,1.0,10.0,GNB 44,3.0,7.0,Brett Rypien pass complete short right to Demarcus Robinson for 15 yards (tackle by Anthony Johnson and Jonathan Owens),2.65,3.64,9.0,2023,126
3.0,12:36,1.0,10.0,GNB 29,3.0,7.0,Royce Freeman right end for -5 yards (tackle by Isaiah McDuffie),3.64,2.42,9.0,2023,126
3.0,12:04,2.0,15.0,GNB 34,3.0,7.0,"Brett Rypien pass complete to Puka Nacua for no gain. Penalty on Puka Nacua: Offensive Pass Interference, 10 yards (accepted) (no play)",2.42,1.08,9.0,2023,126
3.0,11:40,2.0,25.0,GNB 44,3.0,7.0,Brett Rypien pass incomplete short left intended for Cooper Kupp (defended by Karl Brooks),1.08,0.43,9.0,2023,126
3.0,11:35,3.0,25.0,GNB 44,3.0,7.0,Brett Rypien pass complete short right to Darrell Henderson for 8 yards (tackle by De'Vondre Campbell),0.43,0.88,9.0,2023,126
3.0,10:50,4.0,17.0,GNB 36,3.0,7.0,"Penalty on LAR: Delay of Game, 5 yards (declined) (no play)",0.88,0.88,9.0,2023,126
3.0,10:50,4.0,17.0,GNB 36,3.0,7.0,"Ethan Evans punts 20 yards, fair catch by Jayden Reed at GB-16",0.88,0.14,9.0,2023,126
3.0,10:43,1.0,10.0,GNB 16,3.0,7.0,AJ Dillon right guard for 5 yards (tackle by Jonah Williams and Ahkello Witherspoon),-0.14,0.15,9.0,2023,126
3.0,10:10,2.0,5.0,GNB 21,3.0,7.0,"AJ Dillon for no gain. Penalty on Josh Myers: Offensive Holding, 10 yards (accepted) (no play)",0.15,-1.15,9.0,2023,126
3.0,9:46,2.0,15.0,GNB 11,3.0,7.0,Jordan Love pass complete short left to AJ Dillon for 3 yards (tackle by Quentin Lake and Jonah Williams),-1.15,-1.61,9.0,2023,126
3.0,8:59,3.0,12.0,GNB 14,3.0,7.0,Jordan Love pass complete short left to Aaron Jones for 13 yards (tackle by Ahkello Witherspoon),-1.61,0.74,9.0,2023,126
3.0,8:19,1.0,10.0,GNB 27,3.0,7.0,"Aaron Jones right end for 9 yards. Aaron Jones fumbles (forced by Jordan Fuller), recovered by Duke Shelley at GB-45 and returned for 9 yards (tackle by Jon Runyan)",0.74,-3.18,9.0,2023,126
3.0,8:09,1.0,10.0,GNB 36,3.0,7.0,Royce Freeman left guard for 6 yards (tackle by Jaire Alexander),3.18,3.45,9.0,2023,126
3.0,7:37,2.0,4.0,GNB 30,3.0,7.0,"Royce Freeman for no gain. Royce Freeman fumbles, recovered by Anthony Johnson at GB-23 (tackle by Isaiah McDuffie) Replay Assistant challenged the fumble ruling, and the original play was overturned. Royce Freeman left guard for 2 yards (tackle by Isaiah McDuffie)",3.45,3.01,9.0,2023,126
3.0,7:17,3.0,2.0,GNB 28,3.0,7.0,Royce Freeman right tackle for -3 yards (tackle by Isaiah McDuffie and Jonathan Owens),3.01,1.35,9.0,2023,126
3.0,6:34,4.0,5.0,GNB 31,3.0,7.0,Lucas Havrisik 49 yard field goal no good,1.35,-1.53,9.0,2023,126
3.0,6:29,1.0,10.0,GNB 39,3.0,7.0,Jordan Love pass complete short left to Luke Musgrave for 6 yards (tackle by Byron Young),1.53,1.8,9.0,2023,126
3.0,5:25,2.0,4.0,GNB 45,3.0,7.0,Jordan Love pass complete deep right to Dontayvion Wicks for 18 yards (tackle by Duke Shelley),1.8,3.12,9.0,2023,126
3.0,5:05,1.0,10.0,LAR 37,3.0,7.0,Jordan Love pass complete deep left to Luke Musgrave for 25 yards,3.12,4.78,9.0,2023,126
3.0,4:27,1.0,10.0,LAR 12,3.0,7.0,Aaron Jones left guard for 4 yards (tackle by Christian Rozeboom),4.78,4.83,9.0,2023,126
3.0,3:44,2.0,6.0,LAR 8,3.0,7.0,AJ Dillon right guard for 4 yards (tackle by Russ Yeast and Byron Young),4.83,4.84,9.0,2023,126
3.0,2:59,3.0,2.0,LAR 4,3.0,7.0,Jordan Love sacked by Aaron Donald for -4 yards,4.84,2.96,9.0,2023,126
3.0,2:13,4.0,6.0,LAR 8,3.0,10.0,Anders Carlson 26 yard field goal good,2.96,3.0,9.0,2023,126
3.0,2:10,,,GNB 35,3.0,10.0,"Anders Carlson kicks off 62 yards,",0.0,0.61,9.0,2023,126
3.0,2:10,1.0,10.0,LAR 25,3.0,10.0,Brett Rypien pass complete short left to Tutu Atwell for 2 yards (tackle by Keisean Nixon),0.61,0.33,9.0,2023,126
3.0,1:46,2.0,8.0,LAR 27,3.0,10.0,Brett Rypien pass incomplete short right intended for Cooper Kupp (defended by Jaire Alexander),0.33,-0.36,9.0,2023,126
3.0,1:38,3.0,8.0,LAR 27,3.0,10.0,Brett Rypien pass complete deep right to Puka Nacua for 18 yards (tackle by Keisean Nixon),-0.36,1.93,9.0,2023,126
3.0,0:55,1.0,10.0,LAR 45,3.0,10.0,Brett Rypien pass incomplete deep right intended for Tutu Atwell,1.93,1.38,9.0,2023,126
3.0,0:46,2.0,10.0,LAR 45,3.0,10.0,Brett Rypien pass incomplete short right intended for Puka Nacua,1.38,0.7,9.0,2023,126
3.0,0:43,3.0,10.0,LAR 45,3.0,10.0,Brett Rypien pass complete short left to Darrell Henderson for 8 yards (tackle by Eric Wilson),0.7,0.13,9.0,2023,126
4.0,15:00,4.0,2.0,GNB 47,3.0,10.0,Royce Freeman left tackle for no gain (tackle by Colby Wooden and Rashan Gary),0.13,-2.13,9.0,2023,126
4.0,14:56,1.0,10.0,GNB 48,3.0,10.0,Aaron Jones left tackle for 2 yards (tackle by Larrell Murchison and Kobie Turner),2.13,1.85,9.0,2023,126
4.0,14:18,2.0,8.0,GNB 50,3.0,10.0,Jordan Love sacked by Byron Young for -8 yards. Jordan Love fumbles (forced by Byron Young),1.85,0.1,9.0,2023,126
4.0,13:49,3.0,16.0,GNB 42,3.0,10.0,Jordan Love pass incomplete short middle intended for Aaron Jones,0.1,-0.59,9.0,2023,126
4.0,13:44,4.0,16.0,GNB 42,3.0,10.0,"Daniel Whelan punts 42 yards, returned by Austin Trammell for 11 yards (tackle by Corey Ballentine and Dallin Leavitt)",-0.59,-0.74,9.0,2023,126
4.0,13:35,1.0,10.0,LAR 27,3.0,10.0,Brett Rypien pass incomplete short left,0.74,0.2,9.0,2023,126
4.0,13:29,2.0,10.0,LAR 27,3.0,10.0,Brett Rypien pass deep left (defended by Jaire Alexander) intended for Cooper Kupp is intercepted by Anthony Johnson at GB-49 and returned for 1 yard (tackle by Cooper Kupp),0.2,-2.26,9.0,2023,126
4.0,13:23,1.0,10.0,GNB 50,3.0,10.0,Jordan Love pass complete short left to Dontayvion Wicks for 11 yards (tackle by Duke Shelley),2.26,2.98,9.0,2023,126
4.0,12:51,1.0,10.0,LAR 39,3.0,10.0,Aaron Jones left end for 6 yards (tackle by Russ Yeast),2.98,3.25,9.0,2023,126
4.0,12:13,2.0,4.0,LAR 33,3.0,10.0,AJ Dillon up the middle for 8 yards (tackle by Russ Yeast),3.25,3.91,9.0,2023,126
4.0,11:34,1.0,10.0,LAR 25,3.0,10.0,Aaron Jones right tackle for 6 yards (tackle by Kobie Turner and Christian Rozeboom),3.91,4.2,9.0,2023,126
4.0,10:54,2.0,4.0,LAR 19,3.0,10.0,Aaron Jones left end for 3 yards (tackle by Russ Yeast and Christian Rozeboom),4.2,4.06,9.0,2023,126
4.0,10:10,3.0,1.0,LAR 16,3.0,10.0,AJ Dillon right tackle for no gain (tackle by Larrell Murchison and Michael Hoecht),4.06,2.53,9.0,2023,126
4.0,9:11,4.0,1.0,LAR 16,3.0,13.0,Anders Carlson 34 yard field goal good,2.53,3.0,9.0,2023,126
4.0,9:08,,,GNB 35,3.0,13.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,126
4.0,9:08,1.0,10.0,LAR 25,3.0,13.0,Brett Rypien pass incomplete short right intended for Puka Nacua (defended by Carrington Valentine),0.61,0.06,9.0,2023,126
4.0,9:04,2.0,10.0,LAR 25,3.0,13.0,Brett Rypien pass complete short left to Tutu Atwell for 4 yards (tackle by Keisean Nixon),0.06,-0.1,9.0,2023,126
4.0,8:44,3.0,6.0,LAR 29,3.0,13.0,Brett Rypien pass incomplete short left intended for Royce Freeman (defended by Karl Brooks),-0.1,-1.44,9.0,2023,126
4.0,8:39,4.0,6.0,LAR 29,3.0,13.0,"Ethan Evans punts 65 yards, returned by Jayden Reed for 22 yards (tackle by Royce Freeman and Troy Reeder)",-1.44,-0.81,9.0,2023,126
4.0,8:26,1.0,10.0,GNB 28,3.0,13.0,Jordan Love pass complete short right to Aaron Jones for 2 yards (tackle by Michael Hoecht),0.81,0.53,9.0,2023,126
4.0,7:53,2.0,8.0,GNB 30,3.0,13.0,Aaron Jones left tackle for 2 yards (tackle by Kobie Turner and Russ Yeast),0.53,0.1,9.0,2023,126
4.0,7:11,3.0,6.0,GNB 32,3.0,13.0,Jordan Love pass complete short right to Romeo Doubs for 10 yards (tackle by Duke Shelley),0.1,1.73,9.0,2023,126
4.0,6:29,1.0,10.0,GNB 42,3.0,13.0,AJ Dillon right guard for no gain (tackle by Kobie Turner and Jordan Fuller),1.73,1.19,9.0,2023,126
4.0,5:46,2.0,10.0,GNB 42,3.0,13.0,Jordan Love sacked by Byron Young for -2 yards,1.19,0.23,9.0,2023,126
4.0,5:05,3.0,12.0,GNB 40,3.0,13.0,Jordan Love pass complete deep right to Christian Watson for 37 yards (tackle by Russ Yeast),0.23,4.04,9.0,2023,126
4.0,4:32,1.0,10.0,LAR 23,3.0,13.0,Aaron Jones left end for 3 yards (tackle by Byron Young),4.04,3.9,9.0,2023,126
4.0,3:46,2.0,7.0,LAR 20,3.0,19.0,"Jordan Love pass complete short middle to Luke Musgrave for 20 yards, touchdown",3.9,7.0,9.0,2023,126
4.0,3:41,,,LAR 15,3.0,20.0,Anders Carlson kicks extra point good,0.0,0.0,9.0,2023,126
4.0,3:41,,,GNB 35,3.0,20.0,"Anders Carlson kicks off 66 yards, returned by Austin Trammell for 36 yards (tackle by Jonathan Owens)",0.0,1.27,9.0,2023,126
4.0,3:34,1.0,10.0,LAR 35,3.0,20.0,Brett Rypien pass complete short left to Tutu Atwell for 5 yards (tackle by Jonathan Owens),1.27,1.4,9.0,2023,126
4.0,3:30,2.0,5.0,LAR 40,3.0,20.0,Brett Rypien pass complete short middle to Cooper Kupp for 14 yards (tackle by Isaiah McDuffie and Jonathan Owens),1.4,2.52,9.0,2023,126
4.0,3:10,1.0,10.0,GNB 46,3.0,20.0,Brett Rypien pass complete short left to Tutu Atwell for 2 yards (tackle by Jaire Alexander),2.52,2.25,9.0,2023,126
4.0,3:07,2.0,8.0,GNB 44,3.0,20.0,Brett Rypien pass incomplete deep middle intended for Cooper Kupp,2.25,1.55,9.0,2023,126
4.0,3:03,3.0,8.0,GNB 44,3.0,20.0,Brett Rypien pass complete short left to Austin Trammell for 6 yards (tackle by Jaire Alexander),1.55,0.72,9.0,2023,126
4.0,2:34,,,,,,Timeout #1 by Green Bay Packers,,,9.0,2023,126
4.0,2:34,4.0,2.0,GNB 38,3.0,20.0,Brett Rypien pass incomplete deep middle intended for Cooper Kupp (defended by Preston Smith),0.72,-1.47,9.0,2023,126
4.0,2:32,1.0,10.0,GNB 38,3.0,20.0,Emanuel Wilson up the middle for 5 yards (tackle by Jonah Williams and Christian Rozeboom),1.47,1.6,9.0,2023,126
4.0,2:00,2.0,5.0,GNB 43,3.0,20.0,Emanuel Wilson left end for no gain (tackle by Troy Reeder and Ochaun Mathis),1.6,0.89,9.0,2023,126
4.0,1:55,,,,,,Timeout #1 by Los Angeles Rams,,,9.0,2023,126
4.0,1:55,3.0,5.0,GNB 43,3.0,20.0,Jordan Love pass complete short right to Jayden Reed for 4 yards (tackle by Quentin Lake),0.89,-0.26,9.0,2023,126
4.0,1:42,,,,,,Timeout #2 by Los Angeles Rams,,,9.0,2023,126
4.0,1:42,4.0,1.0,GNB 47,3.0,20.0,Jordan Love up the middle for 2 yards (tackle by Jordan Fuller and Zach VanValkenburg),-0.26,2.19,9.0,2023,126
4.0,1:36,,,,,,Timeout #3 by Los Angeles Rams,,,9.0,2023,126
4.0,1:36,1.0,10.0,GNB 49,3.0,20.0,"Emanuel Wilson left end for 7 yards (tackle by Quentin Lake and Larrell Murchison). Penalty on Tucker Kraft: Offensive Holding, 10 yards (declined)",2.19,2.59,9.0,2023,126
4.0,1:28,2.0,3.0,LAR 44,3.0,20.0,Emanuel Wilson right tackle for 31 yards (tackle by Ahkello Witherspoon),2.59,4.71,9.0,2023,126
4.0,1:21,1.0,10.0,LAR 13,3.0,20.0,Jordan Love kneels for -1 yards,4.71,3.9,9.0,2023,126
