Quarter,Time,Down,ToGo,Location,LAC,NYJ,Detail,EPB,EPA,week,year,game_id
2.0,9:20,1.0,10.0,NYJ 45,14.0,0.0,Breece Hall right guard for 5 yards (tackle by Nick Williams and Tuli Tuipulotu),1.93,2.06,9.0,2023,136
2.0,8:43,2.0,5.0,NYJ 50,14.0,0.0,"Zach Wilson pass complete short left to Allen Lazard for 6 yards (tackle by Asante Samuel). Penalty on Joey Bosa: Defensive Offside, 5 yards (declined)",2.06,2.65,9.0,2023,136
2.0,8:25,1.0,10.0,LAC 44,14.0,0.0,Breece Hall right end for 10 yards (tackle by Ja'Sir Taylor and Otito Ogbonnia),2.65,3.31,9.0,2023,136
2.0,7:47,1.0,10.0,LAC 34,14.0,0.0,Zach Wilson pass incomplete short left intended for Dalvin Cook,3.31,2.77,9.0,2023,136
2.0,7:43,2.0,10.0,LAC 34,14.0,0.0,Dalvin Cook right tackle for no gain (tackle by Derwin James) (no play),2.77,2.09,9.0,2023,136
2.0,7:21,2.0,15.0,LAC 39,14.0,0.0,Zach Wilson pass complete short right to Jeremy Ruckert for 7 yards (tackle by Derwin James),2.09,2.35,9.0,2023,136
2.0,6:44,3.0,8.0,LAC 32,14.0,0.0,Zach Wilson pass complete short middle to Michael Carter for 3 yards (tackle by Kenneth Murray),2.35,1.54,9.0,2023,136
2.0,6:01,4.0,5.0,LAC 29,14.0,3.0,Greg Zuerlein 47 yard field goal good,1.54,3.0,9.0,2023,136
2.0,5:57,,,NYJ 35,14.0,3.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,136
2.0,5:57,1.0,10.0,LAC 25,14.0,3.0,"Justin Herbert pass complete short right to Austin Ekeler for no gain (tackle by Michael Carter and C.J. Mosley). Penalty on Jermaine Johnson: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.61,0.94,9.0,2023,136
2.0,5:36,1.0,10.0,LAC 30,14.0,3.0,Austin Ekeler left end for -2 yards (tackle by Quincy Williams),0.94,0.12,9.0,2023,136
2.0,4:53,2.0,12.0,LAC 28,14.0,3.0,Justin Herbert pass incomplete short right intended for Jalen Guyton (defended by Sauce Gardner),0.12,-0.56,9.0,2023,136
2.0,4:47,3.0,12.0,LAC 28,14.0,3.0,Justin Herbert pass incomplete short right intended for Jalen Guyton,-0.56,-1.5,9.0,2023,136
2.0,4:42,4.0,12.0,LAC 28,14.0,3.0,"JK Scott punts 49 yards, returned by Xavier Gipson for no gain (tackle by Deane Leonard)",-1.5,-0.48,9.0,2023,136
2.0,4:34,1.0,10.0,NYJ 23,14.0,3.0,Zach Wilson pass complete short left to Garrett Wilson for 3 yards (tackle by Derwin James),0.48,0.34,9.0,2023,136
2.0,4:02,2.0,7.0,NYJ 26,14.0,3.0,Breece Hall left guard for 3 yards (tackle by Michael Davis and Derwin James),0.34,0.04,9.0,2023,136
2.0,3:20,3.0,4.0,NYJ 29,14.0,3.0,Zach Wilson pass complete short right to Xavier Gipson for 13 yards (tackle by Derwin James),0.04,1.73,9.0,2023,136
2.0,2:42,1.0,10.0,NYJ 42,14.0,3.0,Zach Wilson pass incomplete short middle,1.73,1.19,9.0,2023,136
2.0,2:38,2.0,10.0,NYJ 42,14.0,3.0,Zach Wilson pass incomplete short right intended for Allen Lazard,1.19,0.5,9.0,2023,136
2.0,2:34,3.0,10.0,NYJ 42,14.0,3.0,Zach Wilson sacked by Tuli Tuipulotu for -9 yards,0.5,-1.18,9.0,2023,136
2.0,2:00,4.0,19.0,NYJ 33,14.0,3.0,"Thomas Morstead punts 52 yards, fair catch by Derius Davis at LAC-15",-1.18,0.22,9.0,2023,136
2.0,1:53,1.0,10.0,LAC 15,14.0,3.0,Justin Herbert pass complete short right to Austin Ekeler for 6 yards (tackle by Michael Carter),-0.22,0.21,9.0,2023,136
2.0,1:25,2.0,4.0,LAC 21,14.0,3.0,Justin Herbert sacked by Quinton Jefferson for -1 yards,0.21,-0.76,9.0,2023,136
2.0,1:19,,,,,,Timeout #1 by New York Jets,,,9.0,2023,136
2.0,1:19,3.0,5.0,LAC 20,14.0,3.0,Justin Herbert pass complete short left to Keenan Allen for 7 yards (tackle by D.J. Reed),-0.76,0.74,9.0,2023,136
2.0,1:14,1.0,10.0,LAC 27,14.0,3.0,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Jordan Whitehead),0.74,0.2,9.0,2023,136
2.0,1:10,2.0,10.0,LAC 27,14.0,3.0,Justin Herbert pass incomplete short left intended for Donald Parham,0.2,-0.49,9.0,2023,136
2.0,1:07,3.0,10.0,LAC 27,14.0,3.0,Justin Herbert pass incomplete short left,-0.49,-1.57,9.0,2023,136
2.0,1:00,4.0,10.0,LAC 27,14.0,3.0,JK Scott punts 54 yards downed by Amen Ogbongbemiga,-1.57,-0.15,9.0,2023,136
2.0,0:47,1.0,10.0,NYJ 19,14.0,3.0,Zach Wilson pass incomplete deep left intended for Allen Lazard (defended by Ja'Sir Taylor),0.15,-0.39,9.0,2023,136
2.0,0:41,2.0,10.0,NYJ 19,14.0,3.0,Zach Wilson pass incomplete deep middle intended for Garrett Wilson (defended by Eric Kendricks),-0.39,-1.07,9.0,2023,136
2.0,0:36,3.0,10.0,NYJ 19,14.0,3.0,Zach Wilson pass complete short left to Tyler Conklin for 4 yards (tackle by Ja'Sir Taylor),-1.07,-1.83,9.0,2023,136
2.0,0:28,,,,,,Timeout #1 by Los Angeles Chargers,,,9.0,2023,136
2.0,0:28,4.0,6.0,NYJ 23,14.0,3.0,"Thomas Morstead punts 52 yards, returned by Derius Davis for 17 yards (tackle by Jamien Sherwood)",-1.83,-1.73,9.0,2023,136
2.0,0:17,1.0,10.0,LAC 42,14.0,3.0,Justin Herbert pass complete short right to Keenan Allen for 12 yards (tackle by Sauce Gardner),1.73,2.52,9.0,2023,136
2.0,0:11,,,,,,Timeout #2 by Los Angeles Chargers,,,9.0,2023,136
2.0,0:11,1.0,10.0,NYJ 46,14.0,3.0,Justin Herbert pass complete short left to Keenan Allen for 9 yards (tackle by Michael Carter),2.52,3.19,9.0,2023,136
2.0,0:02,,,,,,Timeout #3 by Los Angeles Chargers,,,9.0,2023,136
2.0,0:02,,,,,,Timeout #2 by New York Jets,,,9.0,2023,136
2.0,0:02,2.0,1.0,NYJ 37,17.0,3.0,Cameron Dicker 55 yard field goal good,3.19,3.0,9.0,2023,136
3.0,15:00,,,LAC 35,17.0,3.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,136
3.0,15:00,1.0,10.0,NYJ 25,17.0,3.0,Zach Wilson pass complete deep left to Garrett Wilson for 31 yards (tackle by Kenneth Murray),0.61,2.65,9.0,2023,136
3.0,14:17,1.0,10.0,LAC 44,17.0,3.0,Breece Hall left end for 2 yards (tackle by Kenneth Murray),2.65,2.38,9.0,2023,136
3.0,13:50,2.0,8.0,LAC 42,17.0,3.0,Zach Wilson pass complete short right to C.J. Uzomah for 8 yards (tackle by Asante Samuel),2.38,3.31,9.0,2023,136
3.0,13:20,1.0,10.0,LAC 34,17.0,3.0,Zach Wilson pass complete short right to Garrett Wilson for 5 yards (tackle by Michael Davis),3.31,3.45,9.0,2023,136
3.0,12:39,2.0,5.0,LAC 29,17.0,3.0,Zach Wilson pass complete short left to Tyler Conklin for 16 yards (tackle by Dean Marlowe),3.45,4.71,9.0,2023,136
3.0,12:13,1.0,10.0,LAC 13,17.0,3.0,Breece Hall up the middle for 2 yards (tackle by Kenneth Murray),4.71,4.39,9.0,2023,136
3.0,11:31,2.0,8.0,LAC 11,17.0,3.0,Zach Wilson sacked by Khalil Mack for -7 yards,4.39,2.79,9.0,2023,136
3.0,10:48,3.0,15.0,LAC 18,17.0,3.0,Zach Wilson sacked by and Joey Bosa for -10 yards and Morgan Fox for -10 yards,2.79,1.59,9.0,2023,136
3.0,9:56,4.0,25.0,LAC 28,17.0,6.0,Greg Zuerlein 46 yard field goal good,1.59,3.0,9.0,2023,136
3.0,9:52,,,NYJ 35,17.0,6.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,136
3.0,9:52,1.0,10.0,LAC 25,17.0,6.0,Austin Ekeler up the middle for 3 yards (tackle by C.J. Mosley and John Franklin-Myers),0.61,0.47,9.0,2023,136
3.0,9:17,2.0,7.0,LAC 28,17.0,6.0,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by C.J. Mosley),0.47,0.3,9.0,2023,136
3.0,8:35,3.0,3.0,LAC 32,17.0,6.0,Justin Herbert pass incomplete short right intended for Austin Ekeler,0.3,-1.24,9.0,2023,136
3.0,8:29,4.0,3.0,LAC 32,17.0,6.0,"JK Scott punts 37 yards, fair catch by Xavier Gipson at NYJ-31",-1.24,-1.0,9.0,2023,136
3.0,8:24,1.0,10.0,NYJ 31,17.0,6.0,"Breece Hall left end for 2 yards (tackle by Alohi Gilman). Penalty on Allen Lazard: Offensive Holding, 10 yards (accepted)",1.0,0.48,9.0,2023,136
3.0,8:06,1.0,18.0,NYJ 23,17.0,6.0,Zach Wilson pass complete short right to Garrett Wilson for 13 yards (tackle by Derwin James),0.48,1.14,9.0,2023,136
3.0,7:36,2.0,5.0,NYJ 36,17.0,6.0,Zach Wilson pass incomplete short right intended for C.J. Uzomah,1.14,0.43,9.0,2023,136
3.0,7:29,,,,,,Timeout #1 by New York Jets,,,9.0,2023,136
3.0,7:29,3.0,5.0,NYJ 36,17.0,6.0,"Zach Wilson pass incomplete deep left intended for Tyler Conklin. Penalty on Derwin James: Defensive Pass Interference, 14 yards (accepted) (no play)",0.43,2.26,9.0,2023,136
3.0,7:24,1.0,10.0,NYJ 50,17.0,6.0,Breece Hall up the middle for 1 yard (tackle by Joey Bosa and Eric Kendricks),2.26,1.85,9.0,2023,136
3.0,7:01,2.0,9.0,LAC 49,17.0,6.0,Zach Wilson pass complete short right to Malik Taylor for 7 yards (tackle by Asante Samuel),1.85,2.08,9.0,2023,136
3.0,6:31,3.0,2.0,LAC 42,17.0,6.0,Breece Hall right tackle for 1 yard (tackle by Tuli Tuipulotu and Derwin James),2.08,0.46,9.0,2023,136
3.0,5:52,4.0,2.0,LAC 42,17.0,6.0,Breece Hall up the middle for 2 yards (tackle by Derwin James and Joey Bosa),0.46,2.98,9.0,2023,136
3.0,5:08,1.0,10.0,LAC 39,17.0,6.0,Dalvin Cook right guard for 3 yards (tackle by Austin Johnson and Otito Ogbonnia),2.98,2.85,9.0,2023,136
3.0,4:35,2.0,7.0,LAC 36,17.0,6.0,Breece Hall right guard for 4 yards (tackle by Chris Rumph),2.85,2.68,9.0,2023,136
3.0,3:49,3.0,3.0,LAC 32,17.0,6.0,"Penalty on Jeremy Ruckert: False Start, 5 yards (accepted) (no play)",2.68,2.02,9.0,2023,136
3.0,3:24,3.0,8.0,LAC 37,17.0,6.0,Zach Wilson sacked by Joey Bosa for -8 yards,2.02,0.27,9.0,2023,136
3.0,2:41,4.0,16.0,LAC 45,17.0,6.0,"Thomas Morstead punts 33 yards, fair catch by Derius Davis at LAC-12",0.27,0.35,9.0,2023,136
3.0,2:35,1.0,10.0,LAC 12,17.0,6.0,Justin Herbert pass incomplete short right intended for Stone Smartt (defended by John Franklin-Myers),-0.35,-0.78,9.0,2023,136
3.0,2:31,2.0,10.0,LAC 12,17.0,6.0,Quentin Johnston right end for 2 yards (tackle by C.J. Mosley and Ashtyn Davis),-0.78,-1.19,9.0,2023,136
3.0,2:05,3.0,8.0,LAC 14,17.0,6.0,Justin Herbert scrambles up the middle for 10 yards (tackle by C.J. Mosley),-1.19,0.54,9.0,2023,136
3.0,1:23,1.0,10.0,LAC 24,17.0,6.0,"Justin Herbert sacked by and Solomon Thomas for -5 yards and Will McDonald for -5 yards. Justin Herbert fumbles (forced by Will McDonald), recovered by Justin Herbert at LAC-19",0.54,-0.74,9.0,2023,136
3.0,0:38,2.0,15.0,LAC 19,17.0,6.0,Justin Herbert pass complete short left to Keenan Allen for 6 yards (tackle by C.J. Mosley and Michael Carter),-0.74,-0.56,9.0,2023,136
4.0,15:00,3.0,9.0,LAC 25,17.0,6.0,Justin Herbert pass complete short right to Quentin Johnston for 10 yards (tackle by Brandin Echols),-0.56,1.27,9.0,2023,136
4.0,14:15,1.0,10.0,LAC 35,17.0,6.0,Justin Herbert pass incomplete short right intended for Austin Ekeler (defended by John Franklin-Myers),1.27,0.72,9.0,2023,136
4.0,14:09,2.0,10.0,LAC 35,17.0,6.0,Austin Ekeler right end for 6 yards (tackle by Jordan Whitehead),0.72,0.83,9.0,2023,136
4.0,13:49,3.0,4.0,LAC 41,17.0,6.0,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by Jordan Whitehead),0.83,2.06,9.0,2023,136
4.0,13:13,1.0,10.0,LAC 47,17.0,6.0,Austin Ekeler up the middle for 4 yards (tackle by Solomon Thomas and Tony Adams),2.06,2.06,9.0,2023,136
4.0,12:29,2.0,6.0,NYJ 49,17.0,6.0,Joshua Kelley left tackle for 2 yards (tackle by Tony Adams),2.06,1.62,9.0,2023,136
4.0,11:47,3.0,4.0,NYJ 47,17.0,6.0,Justin Herbert pass complete deep right to Keenan Allen for 23 yards,1.62,3.97,9.0,2023,136
4.0,11:22,1.0,10.0,NYJ 24,17.0,6.0,Justin Herbert sacked by Bryce Huff for -3 yards,3.97,3.03,9.0,2023,136
4.0,10:46,2.0,13.0,NYJ 27,17.0,6.0,Justin Herbert pass complete short right to Derius Davis for no gain (tackle by Michael Carter),3.03,2.35,9.0,2023,136
4.0,10:04,3.0,13.0,NYJ 27,17.0,6.0,Justin Herbert scrambles left end for 7 yards (tackle by Tony Adams),2.35,2.15,9.0,2023,136
4.0,9:22,4.0,6.0,NYJ 20,20.0,6.0,Cameron Dicker 38 yard field goal good,2.15,3.0,9.0,2023,136
4.0,9:18,,,LAC 35,20.0,6.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,136
4.0,9:18,1.0,10.0,NYJ 25,20.0,6.0,Zach Wilson pass incomplete short middle intended for Garrett Wilson,0.61,0.06,9.0,2023,136
4.0,9:15,2.0,10.0,NYJ 25,20.0,6.0,Zach Wilson pass complete short left to Garrett Wilson for 12 yards (tackle by Asante Samuel),0.06,1.4,9.0,2023,136
4.0,8:46,1.0,10.0,NYJ 37,20.0,6.0,"Zach Wilson pass complete short right to Breece Hall for 2 yards (tackle by Alohi Gilman). Penalty on Garrett Wilson: Offensive Illegal Block Above the Waist, 10 yards (accepted)",1.4,0.87,9.0,2023,136
4.0,8:25,1.0,18.0,NYJ 29,20.0,6.0,Zach Wilson pass incomplete short left intended for Garrett Wilson (defended by Khalil Mack),0.87,-0.22,9.0,2023,136
4.0,8:23,2.0,18.0,NYJ 29,20.0,6.0,Zach Wilson pass complete short right to Tyler Conklin for 6 yards,-0.22,-0.1,9.0,2023,136
4.0,7:42,3.0,12.0,NYJ 35,20.0,6.0,Zach Wilson sacked by Tuli Tuipulotu for -15 yards,-0.1,-2.03,9.0,2023,136
4.0,6:52,4.0,27.0,NYJ 20,20.0,6.0,"Thomas Morstead punts 54 yards, recovered by Derius Davis at LAC-26 (tackle by Brandin Echols)",-2.03,-0.67,9.0,2023,136
4.0,6:49,1.0,10.0,LAC 26,20.0,6.0,Austin Ekeler up the middle for 2 yards (tackle by Jermaine Johnson),0.67,0.4,9.0,2023,136
4.0,6:07,2.0,8.0,LAC 28,20.0,6.0,Austin Ekeler right end for 3 yards (tackle by Quinton Jefferson),0.4,0.1,9.0,2023,136
4.0,5:27,3.0,5.0,LAC 31,20.0,6.0,Austin Ekeler left end for 1 yard (tackle by Quincy Williams),0.1,-1.24,9.0,2023,136
4.0,4:43,4.0,4.0,LAC 32,20.0,6.0,"JK Scott punts 39 yards, fair catch by Xavier Gipson at NYJ-29",-1.24,-0.87,9.0,2023,136
4.0,4:36,1.0,10.0,NYJ 29,20.0,6.0,Zach Wilson pass complete short left to Allen Lazard for 12 yards (tackle by Ja'Sir Taylor),0.87,1.66,9.0,2023,136
4.0,4:09,1.0,10.0,NYJ 41,20.0,6.0,Zach Wilson pass complete short left to Garrett Wilson for 9 yards (tackle by Eric Kendricks),1.66,2.34,9.0,2023,136
4.0,3:42,2.0,1.0,NYJ 50,20.0,6.0,"Zach Wilson sacked by Khalil Mack for no gain. Zach Wilson fumbles (forced by Khalil Mack), recovered by Alohi Gilman at 50 and returned for 48 yards (tackle by Breece Hall). Penalty on Billy Turner: Illegal Use of Hands / Offense, 5 yards (declined)",2.34,-6.74,9.0,2023,136
4.0,3:28,1.0,2.0,NYJ 2,26.0,6.0,"Austin Ekeler up the middle for 2 yards, touchdown",6.74,7.0,9.0,2023,136
4.0,3:22,,,NYJ 15,27.0,6.0,Cameron Dicker kicks extra point good,0.0,0.0,9.0,2023,136
4.0,3:22,,,LAC 35,27.0,6.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,136
4.0,3:22,1.0,10.0,NYJ 25,27.0,6.0,Zach Wilson pass incomplete short right intended for Allen Lazard (defended by Ja'Sir Taylor),0.61,0.06,9.0,2023,136
4.0,3:18,2.0,10.0,NYJ 25,27.0,6.0,Zach Wilson pass incomplete deep left intended for Garrett Wilson (defended by Deane Leonard),0.06,-0.62,9.0,2023,136
4.0,3:12,3.0,10.0,NYJ 25,27.0,6.0,Zach Wilson scrambles right end for 7 yards (tackle by Essang Bassey),-0.62,-1.24,9.0,2023,136
4.0,3:05,4.0,3.0,NYJ 32,27.0,6.0,Zach Wilson pass complete short right to Michael Carter for 6 yards (tackle by Daiyan Henley and Nick Niemann),-1.24,1.47,9.0,2023,136
