Quarter,Time,Down,ToGo,Location,IND,CAR,Detail,EPB,EPA,week,year,game_id
2.0,2:25,1.0,10.0,IND 39,10.0,3.0,Zack Moss right tackle for 2 yards (tackle by DeShawn Williams and Amare Barno),1.53,1.26,9.0,2023,132
2.0,2:00,2.0,8.0,IND 41,10.0,3.0,Gardner Minshew pass complete short middle to Jonathan Taylor for 7 yards (tackle by Deion Jones and Frankie Luvu),1.26,1.49,9.0,2023,132
2.0,1:37,3.0,1.0,IND 48,10.0,3.0,Jonathan Taylor up the middle for 2 yards (tackle by Frankie Luvu),1.49,2.26,9.0,2023,132
2.0,1:15,1.0,10.0,IND 50,10.0,3.0,"Gardner Minshew pass complete short right to Michael Pittman for 10 yards (tackle by Dicaprio Bootle). Penalty on Brian Burns: Defensive Offside, 5 yards (declined)",2.26,2.92,9.0,2023,132
2.0,1:08,1.0,10.0,CAR 40,10.0,3.0,Gardner Minshew pass complete short right to Jonathan Taylor for 1 yard (tackle by Amare Barno),2.92,2.51,9.0,2023,132
2.0,1:04,2.0,9.0,CAR 39,10.0,3.0,Gardner Minshew pass incomplete short right intended for Kylen Granson,2.51,1.82,9.0,2023,132
2.0,1:01,3.0,9.0,CAR 39,10.0,3.0,Gardner Minshew pass incomplete short right intended for Isaiah McKenzie,1.82,0.66,9.0,2023,132
2.0,0:58,4.0,9.0,CAR 39,13.0,3.0,Matt Gay 57 yard field goal good,0.66,3.0,9.0,2023,132
2.0,0:53,,,IND 35,13.0,3.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,132
2.0,0:53,1.0,10.0,CAR 25,13.0,3.0,Bryce Young pass complete short left to Stephen Sullivan for 7 yards (tackle by Jaylon Jones),0.61,1.01,9.0,2023,132
2.0,0:48,2.0,3.0,CAR 32,13.0,3.0,Bryce Young pass complete short right to Jonathan Mingo for 5 yards (tackle by Darrell Baker),1.01,1.4,9.0,2023,132
2.0,0:44,1.0,10.0,CAR 37,13.0,3.0,Bryce Young pass complete short right to Stephen Sullivan for 9 yards (tackle by Darrell Baker),1.4,2.07,9.0,2023,132
2.0,0:39,2.0,1.0,CAR 46,13.0,3.0,Bryce Young pass incomplete deep right intended for Jonathan Mingo,2.07,1.36,9.0,2023,132
2.0,0:35,3.0,1.0,CAR 46,13.0,3.0,Chuba Hubbard up the middle for 3 yards (tackle by Kenny Moore),1.36,2.19,9.0,2023,132
2.0,0:31,,,,,,Timeout #1 by Carolina Panthers,,,9.0,2023,132
2.0,0:31,1.0,10.0,CAR 49,19.0,3.0,"Bryce Young pass short right intended for Chuba Hubbard is intercepted by Kenny Moore at CAR-49 and returned for 49 yards, touchdown",2.19,-7.0,9.0,2023,132
2.0,0:20,,,CAR 15,20.0,3.0,Matt Gay kicks extra point good,0.0,0.0,9.0,2023,132
2.0,0:20,,,IND 35,20.0,3.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,132
2.0,0:20,1.0,10.0,CAR 25,20.0,3.0,Bryce Young sacked by Dayo Odeyingbo for -7 yards,0.61,-0.98,9.0,2023,132
3.0,15:00,,,CAR 35,20.0,3.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,132
3.0,15:00,1.0,10.0,IND 25,20.0,3.0,Jonathan Taylor up the middle for no gain (tackle by Shy Tuttle and Brian Burns),0.61,0.06,9.0,2023,132
3.0,14:21,2.0,10.0,IND 25,20.0,3.0,"Gardner Minshew pass complete short left to Jonathan Taylor for no gain. Penalty on Donte Jackson: Illegal Contact, 5 yards (accepted) (no play)",0.06,0.94,9.0,2023,132
3.0,14:01,1.0,10.0,IND 30,20.0,3.0,Gardner Minshew pass complete short right to Isaiah McKenzie for 1 yard (tackle by Dicaprio Bootle),0.94,0.53,9.0,2023,132
3.0,13:23,2.0,9.0,IND 31,20.0,3.0,Gardner Minshew pass incomplete short right intended for Alec Pierce (defended by Dicaprio Bootle),0.53,-0.16,9.0,2023,132
3.0,13:16,3.0,9.0,IND 31,20.0,3.0,Gardner Minshew sacked by DeShawn Williams for -7 yards,-0.16,-1.77,9.0,2023,132
3.0,12:40,4.0,16.0,IND 24,20.0,3.0,"Rigoberto Sanchez punts 61 yards, returned by Ihmir Smith-Marsette for 8 yards (tackle by Kylen Granson)",-1.77,-0.48,9.0,2023,132
3.0,12:29,1.0,10.0,CAR 23,20.0,3.0,Miles Sanders right guard for 7 yards (tackle by Shaquille Leonard),0.48,0.88,9.0,2023,132
3.0,11:56,2.0,3.0,CAR 30,20.0,3.0,Miles Sanders right guard for 3 yards (tackle by Segun Olubi),0.88,1.14,9.0,2023,132
3.0,11:22,1.0,10.0,CAR 33,20.0,3.0,Bryce Young pass complete short left to Adam Thielen for 6 yards (tackle by Kenny Moore),1.14,1.4,9.0,2023,132
3.0,10:50,2.0,4.0,CAR 39,20.0,3.0,Chuba Hubbard up the middle for 1 yard (tackle by Kwity Paye and Shaquille Leonard),1.4,0.83,9.0,2023,132
3.0,10:10,3.0,3.0,CAR 40,20.0,3.0,Bryce Young pass complete short left to Miles Sanders for 8 yards (tackle by E.J. Speed),0.83,2.13,9.0,2023,132
3.0,9:35,1.0,10.0,CAR 48,20.0,3.0,Miles Sanders right end for 11 yards (tackle by Shaquille Leonard),2.13,2.85,9.0,2023,132
3.0,8:56,1.0,10.0,IND 41,20.0,3.0,Raheem Blackshear left tackle for no gain (tackle by Segun Olubi),2.85,2.31,9.0,2023,132
3.0,8:20,2.0,10.0,IND 41,20.0,3.0,Bryce Young pass complete short right to Miles Sanders for 11 yards (tackle by Julian Blackmon),2.31,3.58,9.0,2023,132
3.0,7:39,1.0,10.0,IND 30,20.0,3.0,Chuba Hubbard up the middle for 7 yards (tackle by Jacob Martin and Darrell Baker),3.58,3.98,9.0,2023,132
3.0,7:04,2.0,3.0,IND 23,20.0,3.0,Chuba Hubbard up the middle for 1 yard (tackle by Julian Blackmon),3.98,3.4,9.0,2023,132
3.0,6:41,3.0,2.0,IND 22,20.0,3.0,Chuba Hubbard up the middle for 1 yard (tackle by Julian Blackmon and Segun Olubi),3.4,2.21,9.0,2023,132
3.0,6:06,4.0,1.0,IND 21,20.0,3.0,Bryce Young pass complete short right to Tommy Tremble for 11 yards (tackle by Rodney Thomas),2.21,4.91,9.0,2023,132
3.0,5:25,1.0,10.0,IND 10,20.0,3.0,Bryce Young pass incomplete short middle intended for Adam Thielen,4.91,4.19,9.0,2023,132
3.0,5:20,,,,,,Timeout #1 by Carolina Panthers,,,9.0,2023,132
3.0,5:20,2.0,10.0,IND 10,20.0,3.0,Chuba Hubbard right end for 5 yards (tackle by Julian Blackmon),4.19,4.26,9.0,2023,132
3.0,4:41,3.0,5.0,IND 5,20.0,9.0,"Bryce Young pass complete short left to DJ Chark for 5 yards, touchdown",4.26,7.0,9.0,2023,132
3.0,4:34,,,IND 15,20.0,10.0,Eddy Pineiro kicks extra point good,0.0,0.0,9.0,2023,132
3.0,4:34,,,CAR 35,20.0,10.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,132
3.0,4:34,1.0,10.0,IND 25,20.0,10.0,Gardner Minshew pass complete short left to Michael Pittman for 14 yards (tackle by Donte Jackson),0.61,1.53,9.0,2023,132
3.0,3:58,1.0,10.0,IND 39,20.0,10.0,Jonathan Taylor left tackle for no gain (tackle by Derrick Brown),1.53,0.99,9.0,2023,132
3.0,3:20,2.0,10.0,IND 39,20.0,10.0,Gardner Minshew pass complete short left to Isaiah McKenzie for 11 yards (tackle by Xavier Woods and Alex Cook),0.99,2.26,9.0,2023,132
3.0,2:44,1.0,10.0,IND 50,20.0,10.0,Jonathan Taylor left tackle for no gain (tackle by Nick Thurman),2.26,1.71,9.0,2023,132
3.0,2:04,2.0,10.0,CAR 50,20.0,10.0,Gardner Minshew pass incomplete short left,1.71,1.03,9.0,2023,132
3.0,1:59,3.0,10.0,CAR 50,20.0,10.0,Gardner Minshew pass incomplete short left intended for Alec Pierce,1.03,-0.06,9.0,2023,132
3.0,1:55,4.0,10.0,CAR 50,20.0,10.0,"Rigoberto Sanchez punts 39 yards, fair catch by Ihmir Smith-Marsette at CAR-11. Penalty on D'Shawn Jamison: Offensive Holding, 10 yards (declined) . Penalty on Kamu Grugier-Hill: Tripping / Defense, 5 yards (accepted)",-0.06,0.38,9.0,2023,132
3.0,1:48,1.0,10.0,CAR 6,20.0,10.0,Miles Sanders up the middle for 11 yards (tackle by Rodney Thomas),-0.38,-0.06,9.0,2023,132
3.0,1:11,1.0,10.0,CAR 17,20.0,10.0,Chuba Hubbard left tackle for 3 yards (tackle by Segun Olubi),-0.06,-0.06,9.0,2023,132
3.0,0:31,2.0,7.0,CAR 20,20.0,10.0,Bryce Young pass complete short left to Adam Thielen for 6 yards (tackle by Jaylon Jones),-0.06,-0.12,9.0,2023,132
3.0,0:02,3.0,1.0,CAR 26,20.0,10.0,"Penalty on Taylor Moton: False Start, 5 yards (accepted) (no play)",-0.12,-0.75,9.0,2023,132
4.0,15:00,3.0,6.0,CAR 21,20.0,10.0,"Penalty on Adam Thielen: False Start, 5 yards (accepted) (no play)",-0.75,-1.41,9.0,2023,132
4.0,15:00,3.0,11.0,CAR 16,20.0,10.0,Bryce Young pass complete deep right to Hayden Hurst for 48 yards (tackle by Rodney Thomas),-1.41,3.18,9.0,2023,132
4.0,14:29,1.0,10.0,IND 36,20.0,10.0,Miles Sanders right guard for 2 yards (tackle by Shaquille Leonard),3.18,2.91,9.0,2023,132
4.0,13:52,2.0,8.0,IND 34,26.0,10.0,"Bryce Young pass short left intended for Miles Sanders is intercepted by Kenny Moore at IND-34 and returned for 66 yards, touchdown",2.91,-7.0,9.0,2023,132
4.0,13:40,,,CAR 15,27.0,10.0,Matt Gay kicks extra point good,0.0,0.0,9.0,2023,132
4.0,13:40,,,IND 35,27.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,132
4.0,13:40,1.0,10.0,CAR 25,27.0,10.0,Bryce Young pass complete short left to Miles Sanders for 3 yards (tackle by Jaylon Jones),0.61,0.47,9.0,2023,132
4.0,13:03,2.0,7.0,CAR 28,27.0,10.0,Bryce Young pass complete short right to DJ Chark for 4 yards (tackle by Darrell Baker),0.47,0.3,9.0,2023,132
4.0,12:27,3.0,3.0,CAR 32,27.0,10.0,Bryce Young scrambles up the middle for 6 yards (tackle by Kenny Moore),0.3,1.47,9.0,2023,132
4.0,11:52,1.0,10.0,CAR 38,27.0,10.0,Bryce Young pass complete short left to Chuba Hubbard for 1 yard (tackle by Segun Olubi and Kenny Moore),1.47,1.06,9.0,2023,132
4.0,11:12,2.0,9.0,CAR 39,27.0,10.0,Bryce Young pass incomplete short left intended for Hayden Hurst (defended by DeForest Buckner),1.06,0.37,9.0,2023,132
4.0,11:07,3.0,9.0,CAR 39,27.0,10.0,Bryce Young pass complete short left to Chuba Hubbard for 4 yards (tackle by Jaylon Jones),0.37,-0.52,9.0,2023,132
4.0,10:17,4.0,5.0,CAR 43,27.0,10.0,Bryce Young scrambles up the middle for 13 yards (tackle by E.J. Speed),-0.52,2.65,9.0,2023,132
4.0,9:43,1.0,10.0,IND 44,27.0,10.0,"Bryce Young pass complete short right to Stephen Sullivan for 9 yards. Penalty on Jacob Martin: Defensive Offside, 5 yards (declined)",2.65,3.33,9.0,2023,132
4.0,9:37,2.0,1.0,IND 35,27.0,10.0,Bryce Young pass incomplete short right,3.33,2.61,9.0,2023,132
4.0,9:28,3.0,1.0,IND 35,27.0,10.0,Chuba Hubbard up the middle for 1 yard (tackle by DeForest Buckner and Samson Ebukam),2.61,3.31,9.0,2023,132
4.0,8:59,1.0,10.0,IND 34,27.0,10.0,Bryce Young pass incomplete short right intended for Chuba Hubbard,3.31,2.77,9.0,2023,132
4.0,8:52,2.0,10.0,IND 34,27.0,10.0,Bryce Young pass incomplete short left intended for DJ Chark (defended by Jaylon Jones),2.77,2.08,9.0,2023,132
4.0,8:48,3.0,10.0,IND 34,27.0,10.0,Bryce Young pass complete short left to Stephen Sullivan for 3 yards (tackle by Jaylon Jones),2.08,1.32,9.0,2023,132
4.0,8:14,4.0,7.0,IND 31,27.0,13.0,Eddy Pineiro 49 yard field goal good,1.32,3.0,9.0,2023,132
4.0,8:09,,,CAR 35,27.0,13.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,132
4.0,8:09,1.0,10.0,IND 25,27.0,13.0,Gardner Minshew pass complete short right to Michael Pittman for 2 yards (tackle by Alex Cook),0.61,0.33,9.0,2023,132
4.0,7:26,2.0,8.0,IND 27,27.0,13.0,Gardner Minshew pass complete short left to Michael Pittman for 2 yards (tackle by Kamu Grugier-Hill and Xavier Woods),0.33,-0.1,9.0,2023,132
4.0,6:43,3.0,6.0,IND 29,27.0,13.0,"Gardner Minshew pass incomplete intended for Isaiah McKenzie. Penalty on Troy Hill: Defensive Holding, 5 yards (declined) . Penalty on Derrick Brown: Roughing the Passer, 15 yards (accepted) (no play)",-0.1,1.86,9.0,2023,132
4.0,6:37,1.0,10.0,IND 44,27.0,13.0,Zack Moss left guard for 1 yard (tackle by Frankie Luvu and Nick Thurman),1.86,1.45,9.0,2023,132
4.0,6:01,2.0,9.0,IND 45,27.0,13.0,Jonathan Taylor right end for -1 yards (tackle by Amare Barno and Alex Cook),1.45,0.63,9.0,2023,132
4.0,5:17,3.0,10.0,IND 44,27.0,13.0,Gardner Minshew pass incomplete short left intended for Kylen Granson,0.63,-0.46,9.0,2023,132
4.0,5:12,4.0,10.0,IND 44,27.0,13.0,"Rigoberto Sanchez punts 41 yards, returned by Ihmir Smith-Marsette for 24 yards (tackle by Chris Lammons and Segun Olubi)",-0.46,-1.53,9.0,2023,132
4.0,4:58,1.0,10.0,CAR 39,27.0,13.0,Bryce Young pass complete short right to Chuba Hubbard for 4 yards (tackle by Shaquille Leonard),1.53,1.53,9.0,2023,132
4.0,4:36,2.0,6.0,CAR 43,27.0,13.0,Bryce Young pass deep middle (defended by Tyquan Lewis) intended for Hayden Hurst is intercepted by Segun Olubi at IND-38 and returned for no gain (tackle by Hayden Hurst),1.53,-1.47,9.0,2023,132
4.0,4:31,1.0,10.0,IND 38,27.0,13.0,Jonathan Taylor left tackle for no gain (tackle by Frankie Luvu),1.47,0.92,9.0,2023,132
4.0,4:23,,,,,,Timeout #2 by Carolina Panthers,,,9.0,2023,132
4.0,4:23,2.0,10.0,IND 38,27.0,13.0,Jonathan Taylor left tackle for 1 yard (tackle by Alex Cook and Derrick Brown),0.92,0.37,9.0,2023,132
4.0,4:17,,,,,,Timeout #3 by Carolina Panthers,,,9.0,2023,132
4.0,4:17,3.0,9.0,IND 39,27.0,13.0,Jonathan Taylor up the middle for 6 yards (tackle by Frankie Luvu),0.37,-0.39,9.0,2023,132
4.0,3:31,4.0,3.0,IND 45,27.0,13.0,"Rigoberto Sanchez punts 44 yards, fair catch by Ihmir Smith-Marsette at CAR-11",-0.39,0.37,9.0,2023,132
4.0,3:23,1.0,10.0,CAR 11,27.0,13.0,Bryce Young pass complete short left to Adam Thielen for 7 yards (tackle by Kenny Moore),-0.37,0.0,9.0,2023,132
4.0,3:05,2.0,3.0,CAR 18,27.0,13.0,Bryce Young pass complete short middle to Adam Thielen for 7 yards (tackle by Shaquille Leonard),0.0,0.61,9.0,2023,132
