Quarter,Time,Down,ToGo,Location,BUF,CIN,Detail,EPB,EPA,week,year,game_id
1.0,3:46,2.0,10.0,BUF 42,7.0,7.0,Joe Burrow pass incomplete short right,2.24,1.55,9.0,2023,135
1.0,3:38,3.0,10.0,BUF 42,7.0,7.0,Joe Burrow pass complete short right to Tyler Boyd for 15 yards,1.55,3.78,9.0,2023,135
1.0,2:59,1.0,10.0,BUF 27,7.0,7.0,Joe Burrow pass complete short right to Tanner Hudson for 13 yards (tackle by Terrel Bernard and Jordan Poyer),3.78,4.65,9.0,2023,135
1.0,2:16,1.0,10.0,BUF 14,7.0,7.0,Joe Burrow pass incomplete short left intended for Tee Higgins,4.65,4.0,9.0,2023,135
1.0,2:11,2.0,10.0,BUF 14,7.0,7.0,Joe Burrow pass complete short right to Tee Higgins for 12 yards (tackle by Dane Jackson),4.0,6.74,9.0,2023,135
1.0,1:29,1.0,2.0,BUF 2,7.0,7.0,Joe Burrow pass complete short left to Ja'Marr Chase for no gain (tackle by Jordan Poyer),6.74,5.72,9.0,2023,135
1.0,0:43,2.0,2.0,BUF 2,7.0,7.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,5.72,4.95,9.0,2023,135
1.0,0:38,3.0,2.0,BUF 2,7.0,13.0,"Joe Mixon left guard for 2 yards, touchdown",4.95,7.0,9.0,2023,135
1.0,0:35,,,BUF 15,7.0,14.0,Evan McPherson kicks extra point good,0.0,0.0,9.0,2023,135
1.0,0:35,,,CIN 35,7.0,14.0,"Evan McPherson kicks off 63 yards,",0.0,0.61,9.0,2023,135
1.0,0:35,1.0,10.0,BUF 25,7.0,14.0,James Cook left guard for 2 yards (tackle by Nick Scott and Daxton Hill),0.61,0.33,9.0,2023,135
2.0,15:00,2.0,8.0,BUF 27,7.0,14.0,"Josh Allen pass incomplete deep left intended for Trent Sherfield. Penalty on Cam Taylor-Britt: Defensive Pass Interference, 17 yards (accepted) (no play)",0.33,1.86,9.0,2023,135
2.0,14:56,1.0,10.0,BUF 44,7.0,14.0,James Cook left end for -1 yards (tackle by D.J. Reader),1.86,1.18,9.0,2023,135
2.0,14:18,2.0,11.0,BUF 43,7.0,14.0,Josh Allen pass incomplete short right,1.18,0.5,9.0,2023,135
2.0,14:11,3.0,11.0,BUF 43,7.0,14.0,"Josh Allen pass incomplete deep left. Penalty on Spencer Brown: Offensive Holding, 10 yards (declined)",0.5,-0.52,9.0,2023,135
2.0,14:03,4.0,11.0,BUF 43,7.0,14.0,"Sam Martin punts 38 yards, returned by Trenton Irwin for 3 yards (tackle by Tyrel Dodson)",-0.52,-0.41,9.0,2023,135
2.0,13:55,1.0,10.0,CIN 22,7.0,14.0,Joe Burrow pass complete short left to Tee Higgins for 12 yards (tackle by Christian Benford),0.41,1.2,9.0,2023,135
2.0,13:14,1.0,10.0,CIN 34,7.0,14.0,Joe Burrow pass complete short left to Ja'Marr Chase for -2 yards (tackle by Tyrel Dodson),1.2,0.39,9.0,2023,135
2.0,12:32,2.0,12.0,CIN 32,7.0,14.0,Joe Mixon right tackle for 12 yards (tackle by Jordan Poyer),0.39,1.86,9.0,2023,135
2.0,11:50,1.0,10.0,CIN 44,7.0,14.0,Joe Mixon left end for 2 yards (tackle by Terrel Bernard and A.J. Epenesa),1.86,1.59,9.0,2023,135
2.0,11:04,2.0,8.0,CIN 46,7.0,14.0,Trayveon Williams up the middle for 5 yards (tackle by Ed Oliver),1.59,1.55,9.0,2023,135
2.0,10:18,3.0,3.0,BUF 49,7.0,14.0,"Penalty on Alex Cappa: False Start, 5 yards (accepted) (no play)",1.55,0.89,9.0,2023,135
2.0,10:02,3.0,8.0,CIN 46,7.0,14.0,Joe Burrow pass complete short left to Drew Sample for 6 yards (tackle by Terrel Bernard and Jordan Poyer),0.89,0.07,9.0,2023,135
2.0,9:14,4.0,2.0,BUF 48,7.0,14.0,"Brad Robbins punts 36 yards, fair catch by Deonte Harty at BUF-12",0.07,0.35,9.0,2023,135
2.0,9:07,1.0,10.0,BUF 12,7.0,14.0,Josh Allen pass incomplete deep middle intended for Deonte Harty,-0.35,-0.78,9.0,2023,135
2.0,9:01,2.0,10.0,BUF 12,7.0,14.0,Josh Allen pass deep left intended for Gabriel Davis is intercepted by Cam Taylor-Britt at BUF-32 and returned for no gain (tackle by Gabriel Davis),-0.78,-3.45,9.0,2023,135
2.0,8:54,1.0,10.0,BUF 32,7.0,14.0,Joe Burrow pass complete short left to Tanner Hudson for 9 yards (tackle by Jordan Poyer),3.45,4.12,9.0,2023,135
2.0,8:17,,,,,,Timeout #1 by Buffalo Bills,,,9.0,2023,135
2.0,8:17,2.0,1.0,BUF 23,7.0,14.0,Joe Burrow up the middle for no gain (tackle by Linval Joseph),4.12,3.4,9.0,2023,135
2.0,7:31,3.0,1.0,BUF 23,7.0,14.0,"Penalty on CIN: Delay of Game, 4 yards (accepted) (no play)",3.4,2.87,9.0,2023,135
2.0,7:11,3.0,5.0,BUF 27,7.0,14.0,"Joe Burrow scrambles left end for no gain (tackle by Taylor Rapp). Penalty on Alex Cappa: Offensive Holding, 10 yards (accepted) (no play)",2.87,1.55,9.0,2023,135
2.0,6:45,3.0,15.0,BUF 37,7.0,14.0,"Joe Burrow pass complete short right to Trenton Irwin for no gain (tackle by Taron Johnson and Micah Hyde). Penalty on Leonard Floyd: Defensive Offside, 5 yards (accepted) (no play)",1.55,2.21,9.0,2023,135
2.0,6:15,3.0,10.0,BUF 32,7.0,14.0,"Joe Burrow sacked by and Leonard Floyd for -5 yards and Jordan Phillips for -5 yards. Penalty on Cordell Volson: Offensive Holding, 10 yards (declined)",2.21,0.79,9.0,2023,135
2.0,6:08,4.0,15.0,BUF 37,7.0,14.0,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",0.79,0.46,9.0,2023,135
2.0,5:42,4.0,20.0,BUF 42,7.0,14.0,"Brad Robbins punts 33 yards, fair catch by Deonte Harty at BUF-9",0.46,0.38,9.0,2023,135
2.0,5:38,1.0,10.0,BUF 9,7.0,14.0,James Cook right guard for 6 yards (tackle by Germaine Pratt and Logan Wilson),-0.38,-0.28,9.0,2023,135
2.0,4:58,2.0,4.0,BUF 15,7.0,14.0,James Cook right tackle for 2 yards (tackle by Germaine Pratt and D.J. Reader),-0.28,-0.48,9.0,2023,135
2.0,4:18,3.0,2.0,BUF 17,7.0,14.0,Josh Allen sacked by B.J. Hill for -9 yards,-0.48,-2.49,9.0,2023,135
2.0,3:40,4.0,11.0,BUF 8,7.0,14.0,"Sam Martin punts 45 yards, returned by Trenton Irwin for 8 yards (tackle by Tyler Matakevich)",-2.49,-2.59,9.0,2023,135
2.0,3:29,1.0,10.0,BUF 45,7.0,14.0,Joe Burrow pass incomplete short right intended for Tanner Hudson,2.59,2.04,9.0,2023,135
2.0,3:26,2.0,10.0,BUF 45,7.0,14.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Dane Jackson) (defended by Micah Hyde),2.04,1.36,9.0,2023,135
2.0,3:21,3.0,10.0,BUF 45,7.0,14.0,Joe Burrow pass complete short middle to Tyler Boyd for 9 yards (tackle by Cameron Lewis),1.36,0.89,9.0,2023,135
2.0,2:40,4.0,1.0,BUF 36,7.0,14.0,Joe Burrow pass complete short right to Ja'Marr Chase for 11 yards (tackle by Jordan Poyer),0.89,3.91,9.0,2023,135
2.0,2:00,1.0,10.0,BUF 25,7.0,14.0,Joe Mixon left tackle for 3 yards (tackle by Tyrel Dodson),3.91,3.77,9.0,2023,135
2.0,1:54,,,,,,Timeout #2 by Buffalo Bills,,,9.0,2023,135
2.0,1:54,2.0,7.0,BUF 22,7.0,14.0,Joe Burrow pass incomplete deep right intended for Tyler Boyd (defended by Dane Jackson),3.77,3.07,9.0,2023,135
2.0,1:46,,,,,,Timeout #1 by Cincinnati Bengals,,,9.0,2023,135
2.0,1:46,3.0,7.0,BUF 22,7.0,20.0,"Joe Burrow pass complete short right to Drew Sample for 22 yards, touchdown",3.07,7.0,9.0,2023,135
2.0,1:37,,,BUF 15,7.0,21.0,Evan McPherson kicks extra point good,0.0,0.0,9.0,2023,135
2.0,1:37,,,CIN 35,7.0,21.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,135
2.0,1:37,1.0,10.0,BUF 25,7.0,21.0,Josh Allen pass complete deep middle to Khalil Shakir for 23 yards (tackle by Daxton Hill and Nick Scott),0.61,2.13,9.0,2023,135
2.0,1:15,1.0,10.0,BUF 48,7.0,21.0,Josh Allen pass complete short middle to Dalton Kincaid for 10 yards (tackle by Germaine Pratt),2.13,2.79,9.0,2023,135
2.0,0:53,1.0,10.0,CIN 42,7.0,21.0,Josh Allen pass complete short left to Dalton Kincaid for 4 yards (tackle by Cam Taylor-Britt),2.79,2.78,9.0,2023,135
2.0,0:35,2.0,6.0,CIN 38,7.0,21.0,Josh Allen pass complete short left to Dalton Kincaid for no gain,2.78,2.08,9.0,2023,135
2.0,0:24,,,,,,Timeout #2 by Cincinnati Bengals,,,9.0,2023,135
2.0,0:24,3.0,6.0,CIN 38,7.0,21.0,"Josh Allen pass incomplete deep left. Penalty on Josh Allen: Intentional Grounding, 9 yards (accepted)",2.08,0.72,9.0,2023,135
3.0,15:00,,,CIN 35,7.0,21.0,"Evan McPherson kicks off 66 yards, returned by Khalil Shakir for 27 yards (tackle by Joe Bachie and Jalen Davis)",0.0,0.67,9.0,2023,135
3.0,14:54,1.0,10.0,BUF 26,7.0,21.0,Josh Allen pass complete short right to Stefon Diggs for 5 yards (tackle by Germaine Pratt),0.67,0.81,9.0,2023,135
3.0,14:21,2.0,5.0,BUF 31,7.0,21.0,"Josh Allen pass incomplete short right. Penalty on Connor McGovern: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.81,0.13,9.0,2023,135
3.0,14:21,2.0,10.0,BUF 26,7.0,21.0,Josh Allen pass complete short right to Stefon Diggs for 6 yards (tackle by Mike Hilton),0.13,0.23,9.0,2023,135
3.0,13:36,3.0,4.0,BUF 32,7.0,21.0,Josh Allen pass complete short right to Dalton Kincaid for 9 yards (tackle by Nick Scott),0.23,1.66,9.0,2023,135
3.0,13:19,1.0,10.0,BUF 41,7.0,21.0,Josh Allen pass complete short right to Dalton Kincaid for 11 yards (tackle by Mike Hilton),1.66,2.39,9.0,2023,135
3.0,12:54,1.0,10.0,CIN 48,7.0,21.0,Josh Allen pass complete short right to Stefon Diggs for 15 yards,2.39,3.38,9.0,2023,135
3.0,12:20,1.0,10.0,CIN 33,7.0,21.0,Josh Allen pass complete short left to James Cook for 8 yards (tackle by Cam Taylor-Britt and Logan Wilson),3.38,3.92,9.0,2023,135
3.0,11:40,2.0,2.0,CIN 25,7.0,21.0,James Cook left end for 8 yards (tackle by DJ Turner),3.92,4.44,9.0,2023,135
3.0,11:10,1.0,10.0,CIN 17,7.0,21.0,Josh Allen pass incomplete short right,4.44,3.85,9.0,2023,135
3.0,11:05,2.0,10.0,CIN 17,7.0,21.0,Josh Allen pass complete short right to James Cook for 1 yard (tackle by Mike Hilton),3.85,3.19,9.0,2023,135
3.0,10:29,3.0,9.0,CIN 16,7.0,21.0,Josh Allen pass incomplete deep right intended for Gabriel Davis,3.19,2.38,9.0,2023,135
3.0,10:25,4.0,9.0,CIN 16,10.0,21.0,Tyler Bass 34 yard field goal good,2.38,3.0,9.0,2023,135
3.0,10:21,,,BUF 35,10.0,21.0,"Tyler Bass kicks off 63 yards, returned by Trayveon Williams for 14 yards (tackle by Taylor Rapp). Penalty on Stanley Morgan: Offensive Illegal Block Above the Waist, 8 yards (accepted)",0.0,-0.38,9.0,2023,135
3.0,10:15,1.0,10.0,CIN 8,10.0,21.0,Joe Mixon left guard for 3 yards (tackle by Jordan Phillips and Ed Oliver),-0.38,-0.56,9.0,2023,135
3.0,9:38,2.0,7.0,CIN 11,10.0,21.0,Joe Burrow pass complete short left to Joe Mixon for 4 yards (tackle by Dorian Williams),-0.56,-0.6,9.0,2023,135
3.0,8:52,3.0,3.0,CIN 15,10.0,21.0,Joe Burrow scrambles right tackle for 7 yards (tackle by Taylor Rapp),-0.6,0.41,9.0,2023,135
3.0,8:09,1.0,10.0,CIN 22,10.0,21.0,Joe Burrow pass complete short right to Tee Higgins for 21 yards (tackle by Tyrel Dodson),0.41,1.8,9.0,2023,135
3.0,7:31,1.0,10.0,CIN 43,10.0,21.0,Joe Burrow pass incomplete deep middle intended for Ja'Marr Chase (defended by Dane Jackson),1.8,1.25,9.0,2023,135
3.0,7:22,2.0,10.0,CIN 43,10.0,21.0,Joe Burrow pass complete short left to Joe Mixon for -1 yards (tackle by Taron Johnson),1.25,0.43,9.0,2023,135
3.0,6:34,3.0,11.0,CIN 42,10.0,21.0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase (defended by Micah Hyde),0.43,-0.59,9.0,2023,135
3.0,6:32,4.0,11.0,CIN 42,10.0,21.0,Brad Robbins punts 49 yards out of bounds,-0.59,0.38,9.0,2023,135
3.0,6:24,1.0,10.0,BUF 9,10.0,21.0,Josh Allen pass complete short middle to James Cook for 4 yards (tackle by Logan Wilson),-0.38,-0.48,9.0,2023,135
3.0,5:58,2.0,6.0,BUF 13,10.0,21.0,Josh Allen pass incomplete short left intended for Stefon Diggs,-0.48,-0.95,9.0,2023,135
3.0,5:54,,,,,,Timeout #1 by Buffalo Bills,,,9.0,2023,135
3.0,5:54,3.0,6.0,BUF 13,10.0,21.0,Josh Allen scrambles left end for 1 yard (tackle by Trey Hendrickson),-0.95,-2.47,9.0,2023,135
3.0,5:14,4.0,5.0,BUF 14,10.0,21.0,"Sam Martin punts 44 yards, fair catch by Trenton Irwin at CIN-42",-2.47,-1.73,9.0,2023,135
3.0,5:06,1.0,10.0,CIN 42,10.0,21.0,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Tyrel Dodson),1.73,1.86,9.0,2023,135
3.0,4:31,2.0,5.0,CIN 47,10.0,21.0,Joe Burrow pass complete short right to Tee Higgins for 11 yards (tackle by Rasul Douglas),1.86,2.79,9.0,2023,135
3.0,3:56,1.0,10.0,BUF 42,10.0,21.0,Joe Mixon right end for -4 yards (tackle by Jordan Poyer),2.79,1.7,9.0,2023,135
3.0,3:12,2.0,14.0,BUF 46,10.0,21.0,Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by Jordan Poyer),1.7,2.21,9.0,2023,135
3.0,2:26,3.0,5.0,BUF 37,10.0,21.0,Joe Burrow pass incomplete short right intended for Tyler Boyd,2.21,0.79,9.0,2023,135
3.0,2:21,,,,,,Timeout #1 by Cincinnati Bengals,,,9.0,2023,135
3.0,2:21,4.0,5.0,BUF 37,10.0,21.0,Joe Burrow pass complete short middle to Drew Sample for 2 yards (tackle by Tyrel Dodson and Micah Hyde),0.79,-1.27,9.0,2023,135
3.0,2:13,1.0,10.0,BUF 35,10.0,21.0,Josh Allen right end for 10 yards (tackle by Logan Wilson and Jordan Battle),1.27,1.93,9.0,2023,135
3.0,1:45,1.0,10.0,BUF 45,10.0,21.0,Josh Allen pass complete short right to Dalton Kincaid for 11 yards (tackle by Logan Wilson and Germaine Pratt),1.93,2.65,9.0,2023,135
3.0,1:17,1.0,10.0,CIN 44,10.0,21.0,James Cook right tackle for 3 yards (tackle by Cameron Sample),2.65,2.52,9.0,2023,135
3.0,0:49,2.0,7.0,CIN 41,10.0,21.0,Josh Allen pass complete short middle to James Cook for 6 yards (tackle by Mike Hilton),2.52,2.61,9.0,2023,135
3.0,0:10,3.0,1.0,CIN 35,10.0,21.0,Josh Allen left guard for 3 yards (tackle by Germaine Pratt),2.61,3.45,9.0,2023,135
4.0,15:00,1.0,10.0,CIN 32,10.0,21.0,Josh Allen pass incomplete deep right,3.45,2.9,9.0,2023,135
4.0,14:53,2.0,10.0,CIN 32,10.0,21.0,Josh Allen scrambles left end for 9 yards (tackle by Mike Hilton),2.9,3.4,9.0,2023,135
4.0,14:13,3.0,1.0,CIN 23,10.0,21.0,Josh Allen left guard for 1 yard (tackle by B.J. Hill and Germaine Pratt),3.4,4.11,9.0,2023,135
4.0,13:27,1.0,10.0,CIN 22,10.0,21.0,"Josh Allen pass complete short middle to Dalton Kincaid for 9 yards. Dalton Kincaid fumbles (forced by Germaine Pratt) (tackle by Nick Scott), recovered by Nick Scott at CIN-13 (tackle by Mitch Morse)",4.11,0.32,9.0,2023,135
4.0,13:18,1.0,10.0,CIN 13,10.0,21.0,Joe Burrow pass incomplete short right intended for Irv Smith (defended by Rasul Douglas),-0.32,-0.77,9.0,2023,135
4.0,13:15,2.0,10.0,CIN 13,10.0,21.0,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Rasul Douglas),-0.77,-0.35,9.0,2023,135
4.0,12:33,,,,,,Timeout #2 by Cincinnati Bengals,,,9.0,2023,135
4.0,12:33,3.0,1.0,CIN 22,10.0,21.0,Joe Burrow pass complete short left to Tanner Hudson for 17 yards (tackle by Micah Hyde),-0.35,1.53,9.0,2023,135
4.0,11:50,1.0,10.0,CIN 39,10.0,21.0,Joe Burrow pass incomplete short right intended for Drew Sample,1.53,0.99,9.0,2023,135
4.0,11:47,2.0,10.0,CIN 39,10.0,21.0,Joe Burrow pass complete deep right to Ja'Marr Chase for 32 yards (tackle by Taron Johnson),0.99,3.64,9.0,2023,135
4.0,11:08,1.0,10.0,BUF 29,10.0,21.0,Joe Mixon left guard for 4 yards (tackle by Kingsley Jonathan and Jordan Poyer),3.64,3.64,9.0,2023,135
4.0,10:24,2.0,6.0,BUF 25,10.0,21.0,Joe Burrow pass incomplete short right,3.64,2.94,9.0,2023,135
4.0,10:19,,,,,,Timeout #3 by Cincinnati Bengals,,,9.0,2023,135
4.0,10:19,3.0,6.0,BUF 25,10.0,21.0,Joe Burrow pass complete short middle to Tee Higgins for 18 yards (tackle by Dane Jackson),2.94,5.6,9.0,2023,135
4.0,9:38,1.0,7.0,BUF 7,10.0,21.0,Joe Mixon left end for -3 yards (tackle by Tyrel Dodson),5.6,4.19,9.0,2023,135
4.0,8:53,2.0,10.0,BUF 10,10.0,21.0,Joe Burrow pass complete short left to Irv Smith for 8 yards (tackle by Dorian Williams),4.19,4.95,9.0,2023,135
4.0,8:14,3.0,2.0,BUF 2,10.0,21.0,Joe Burrow pass incomplete short right intended for Joe Mixon (defended by Gregory Rousseau),4.95,3.25,9.0,2023,135
4.0,8:11,4.0,2.0,BUF 2,10.0,24.0,Evan McPherson 20 yard field goal good,3.25,3.0,9.0,2023,135
4.0,8:08,,,CIN 35,10.0,24.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,135
4.0,8:08,1.0,10.0,BUF 25,10.0,24.0,Josh Allen pass complete short left to Dalton Kincaid for 9 yards (tackle by Chidobe Awuzie),0.61,1.28,9.0,2023,135
4.0,7:47,2.0,1.0,BUF 34,10.0,24.0,Josh Allen scrambles right end for 7 yards (tackle by Mike Hilton),1.28,1.66,9.0,2023,135
4.0,7:09,1.0,10.0,BUF 41,10.0,24.0,Josh Allen pass complete short left to Khalil Shakir for 9 yards (tackle by Chidobe Awuzie and Logan Wilson),1.66,2.34,9.0,2023,135
4.0,6:44,2.0,1.0,CIN 50,10.0,24.0,Josh Allen pass incomplete short right,2.34,1.62,9.0,2023,135
4.0,6:39,3.0,1.0,CIN 50,10.0,24.0,Latavius Murray right guard for 2 yards (tackle by D.J. Reader),1.62,2.39,9.0,2023,135
4.0,6:13,1.0,10.0,CIN 48,10.0,24.0,Josh Allen scrambles right tackle for 11 yards (tackle by Logan Wilson),2.39,3.12,9.0,2023,135
4.0,5:40,1.0,10.0,CIN 37,10.0,24.0,"Josh Allen pass incomplete short left intended for Trent Sherfield BUF challenged the pass completion ruling, and the play was upheld.",3.12,2.57,9.0,2023,135
4.0,5:33,2.0,10.0,CIN 37,10.0,24.0,Josh Allen pass complete short right to Trent Sherfield for 9 yards (tackle by DJ Turner),2.57,3.07,9.0,2023,135
4.0,5:06,3.0,1.0,CIN 28,10.0,24.0,Latavius Murray left guard for 2 yards (tackle by Mike Hilton and Germaine Pratt),3.07,3.84,9.0,2023,135
4.0,4:43,1.0,10.0,CIN 26,10.0,24.0,Josh Allen pass complete short right to Khalil Shakir for 3 yards (tackle by Mike Hilton),3.84,3.7,9.0,2023,135
4.0,4:12,2.0,7.0,CIN 23,10.0,24.0,Josh Allen pass complete short right to Latavius Murray for 6 yards (tackle by Germaine Pratt),3.7,3.95,9.0,2023,135
4.0,3:38,3.0,1.0,CIN 17,16.0,24.0,"Josh Allen pass complete deep right to Stefon Diggs for 17 yards, touchdown",3.95,7.0,9.0,2023,135
4.0,3:32,,,CIN 2,18.0,24.0,Two Point Attempt: Josh Allen pass complete to to Stefon Diggs for no gain,1.0,1.0,9.0,2023,135
4.0,3:32,,,BUF 35,18.0,24.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,135
4.0,3:32,1.0,10.0,CIN 25,18.0,24.0,Joe Burrow pass complete deep left to Tyler Boyd for 32 yards (tackle by Taylor Rapp),0.61,2.72,9.0,2023,135
4.0,2:47,1.0,10.0,BUF 43,18.0,24.0,Joe Mixon right tackle for 2 yards (tackle by Gregory Rousseau and Jordan Phillips),2.72,2.45,9.0,2023,135
4.0,2:47,,,,,,Timeout #3 by Buffalo Bills,,,9.0,2023,135
4.0,2:37,2.0,8.0,BUF 41,18.0,24.0,Joe Mixon left tackle for 5 yards (tackle by Josh Norman),2.45,2.41,9.0,2023,135
4.0,2:00,3.0,3.0,BUF 36,18.0,24.0,Joe Mixon right end for 5 yards (tackle by Taron Johnson),2.41,3.51,9.0,2023,135
4.0,1:53,1.0,10.0,BUF 31,18.0,24.0,Joe Burrow kneels for -1 yards,3.51,2.83,9.0,2023,135
4.0,1:12,2.0,11.0,BUF 32,18.0,24.0,Joe Burrow kneels for -1 yards,2.83,2.02,9.0,2023,135
4.0,0:39,3.0,12.0,BUF 33,18.0,24.0,Joe Burrow kneels for -1 yards,2.02,1.06,9.0,2023,135
