Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA,week,year,game_id
1.0,5:46,,,DAL 25,0.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,9.0,2023,133
1.0,5:46,,,PHI 35,0.0,7.0,"Jake Elliott kicks off 66 yards, returned by KaVontae Turpin for 48 yards (tackle by Kelee Ringo)",0.0,2.06,9.0,2023,133
1.0,5:39,1.0,10.0,DAL 47,0.0,7.0,Dak Prescott scrambles right end for 6 yards (tackle by Zach Cunningham and Darius Slay),2.06,2.33,9.0,2023,133
1.0,5:06,2.0,4.0,PHI 47,0.0,7.0,Dak Prescott scrambles right end for 1 yard (tackle by Zach Cunningham),2.33,1.75,9.0,2023,133
1.0,4:24,3.0,3.0,PHI 46,0.0,7.0,Dak Prescott scrambles right end for 4 yards (tackle by Jordan Davis),1.75,2.79,9.0,2023,133
1.0,3:45,1.0,10.0,PHI 42,0.0,7.0,Tony Pollard left guard for 2 yards (tackle by Nicholas Morrow),2.79,2.51,9.0,2023,133
1.0,3:14,2.0,8.0,PHI 40,0.0,7.0,Dak Prescott pass complete short right to Jake Ferguson for 7 yards (tackle by Darius Slay and Eli Ricks),2.51,2.74,9.0,2023,133
1.0,2:33,3.0,1.0,PHI 33,0.0,7.0,Dak Prescott pass incomplete short right intended for Hunter Luepke (defended by Haason Reddick),2.74,1.21,9.0,2023,133
1.0,2:28,4.0,1.0,PHI 33,0.0,7.0,Dak Prescott pass complete deep left to CeeDee Lamb for 29 yards (tackle by Reed Blankenship),1.21,6.28,9.0,2023,133
1.0,1:41,1.0,4.0,PHI 4,6.0,7.0,"Dak Prescott pass complete short left to Jake Ferguson for 4 yards, touchdown",6.28,7.0,9.0,2023,133
1.0,1:37,,,PHI 15,7.0,7.0,Brandon Aubrey kicks extra point good,0.0,0.0,9.0,2023,133
1.0,1:37,,,DAL 35,7.0,7.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,133
1.0,1:37,1.0,10.0,PHI 25,7.0,7.0,D'Andre Swift left guard for 7 yards (tackle by Malik Hooker),0.61,1.01,9.0,2023,133
1.0,1:12,2.0,3.0,PHI 32,7.0,7.0,Jalen Hurts sacked by and Micah Parsons for -6 yards and Dorance Armstrong for -6 yards,1.01,-0.49,9.0,2023,133
1.0,0:27,3.0,9.0,PHI 26,7.0,7.0,Jalen Hurts pass incomplete short right,-0.49,-1.63,9.0,2023,133
1.0,0:17,4.0,9.0,PHI 26,7.0,7.0,"Braden Mann punts 57 yards, returned by KaVontae Turpin for 11 yards (tackle by Patrick Johnson). Penalty on Sean McKeon: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-1.63,-0.04,9.0,2023,133
1.0,0:05,1.0,10.0,DAL 18,7.0,7.0,Dak Prescott pass incomplete short left intended for CeeDee Lamb (defended by Reed Blankenship),0.04,-0.49,9.0,2023,133
2.0,15:00,2.0,10.0,DAL 18,7.0,7.0,Dak Prescott pass complete short right to Tony Pollard for 8 yards (tackle by Zach Cunningham),-0.49,-0.14,9.0,2023,133
2.0,14:36,3.0,2.0,DAL 26,7.0,7.0,"Dak Prescott pass complete deep right to Jake Ferguson for 40 yards (tackle by Kevin Byard and Reed Blankenship). Penalty on Kevin Byard: Defensive Holding, 5 yards (declined)",-0.14,3.31,9.0,2023,133
2.0,14:01,1.0,10.0,PHI 34,7.0,7.0,Dak Prescott sacked by Haason Reddick for -11 yards,3.31,1.29,9.0,2023,133
2.0,13:08,,,,,,Timeout #1 by Dallas Cowboys,,,9.0,2023,133
2.0,13:08,2.0,21.0,PHI 45,7.0,7.0,"Dak Prescott aborted snap, recovered by Dak Prescott at PHI-45 Tony Pollard for 7 yards (tackle by Jalen Carter)",1.29,1.55,9.0,2023,133
2.0,12:28,3.0,14.0,PHI 38,7.0,7.0,Dak Prescott pass complete deep right to CeeDee Lamb for 20 yards (tackle by Eli Ricks),1.55,4.37,9.0,2023,133
2.0,12:07,1.0,10.0,PHI 18,7.0,7.0,"Dak Prescott pass incomplete short left intended for Jake Ferguson. Penalty on Nakobe Dean: Defensive Pass Interference, 10 yards (accepted) (no play)",4.37,5.37,9.0,2023,133
2.0,12:02,1.0,8.0,PHI 8,7.0,7.0,Rico Dowdle right guard for 3 yards (tackle by Kevin Byard),5.37,5.15,9.0,2023,133
2.0,11:28,2.0,5.0,PHI 5,7.0,7.0,Dak Prescott pass incomplete short left intended for CeeDee Lamb,5.15,4.26,9.0,2023,133
2.0,11:21,3.0,5.0,PHI 5,13.0,7.0,"Dak Prescott pass complete short left to KaVontae Turpin for 5 yards, touchdown Replay Assistant challenged the pass completion ruling, and the play was upheld.",4.26,7.0,9.0,2023,133
2.0,11:16,,,PHI 15,14.0,7.0,Brandon Aubrey kicks extra point good,0.0,0.0,9.0,2023,133
2.0,11:16,,,DAL 35,14.0,7.0,"Brandon Aubrey kicks off 64 yards, out of bounds",0.0,1.6,9.0,2023,133
2.0,11:16,1.0,10.0,PHI 40,14.0,7.0,Jalen Hurts pass incomplete short right,1.6,1.05,9.0,2023,133
2.0,11:09,2.0,10.0,PHI 40,14.0,7.0,D'Andre Swift left guard for 1 yard (tackle by Sam Williams),1.05,0.5,9.0,2023,133
2.0,10:33,3.0,9.0,PHI 41,14.0,7.0,Jalen Hurts pass complete deep right to DeVonta Smith for 19 yards (tackle by Malik Hooker and Stephon Gilmore),0.5,2.92,9.0,2023,133
2.0,9:55,1.0,10.0,DAL 40,14.0,7.0,Jalen Hurts pass complete short middle to D'Andre Swift for 20 yards (tackle by Malik Hooker and Stephon Gilmore),2.92,4.24,9.0,2023,133
2.0,9:14,1.0,10.0,DAL 20,14.0,7.0,D'Andre Swift left end for 5 yards (tackle by Sam Williams and Malik Hooker),4.24,4.45,9.0,2023,133
2.0,8:38,2.0,5.0,DAL 15,14.0,7.0,D'Andre Swift right end for 2 yards (tackle by Jayron Kearse),4.45,4.1,9.0,2023,133
2.0,7:53,3.0,3.0,DAL 13,14.0,7.0,Kenneth Gainwell up the middle for 3 yards (tackle by Johnathan Hankins and Osa Odighizuwa),4.1,4.91,9.0,2023,133
2.0,6:55,1.0,10.0,DAL 10,14.0,7.0,"D'Andre Swift for no gain. D'Andre Swift fumbles (forced by Malik Hooker), recovered by Markquese Bell at DAL-10 (tackle by Jalen Hurts) Replay Assistant challenged the loose ball recovery ruling, and the original play was overturned. D'Andre Swift right tackle for no gain. D'Andre Swift fumbles (forced by Malik Hooker), recovered by D'Andre Swift at DAL-10",4.91,4.19,9.0,2023,133
2.0,6:46,2.0,10.0,DAL 10,14.0,7.0,"Jalen Hurts pass complete to A.J. Brown for no gain (tackle by Markquese Bell and Stephon Gilmore). Penalty on Jayron Kearse: Defensive Holding, 6 yards (accepted) (no play)",4.19,6.28,9.0,2023,133
2.0,6:33,1.0,4.0,DAL 4,14.0,7.0,D'Andre Swift up the middle for 1 yard (tackle by Osa Odighizuwa and Jayron Kearse),6.28,5.53,9.0,2023,133
2.0,5:52,2.0,3.0,DAL 3,14.0,7.0,D'Andre Swift left end for 2 yards (tackle by Micah Parsons),5.53,5.17,9.0,2023,133
2.0,5:13,3.0,1.0,DAL 1,14.0,13.0,"Jalen Hurts up the middle for 1 yard, touchdown",5.17,7.0,9.0,2023,133
2.0,5:09,,,DAL 15,14.0,14.0,Jake Elliott kicks extra point good,0.0,0.0,9.0,2023,133
2.0,5:09,,,PHI 35,14.0,14.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,133
2.0,5:09,1.0,10.0,DAL 25,14.0,14.0,Dak Prescott pass complete short left to CeeDee Lamb for 15 yards (tackle by Kevin Byard),0.61,1.6,9.0,2023,133
2.0,4:37,1.0,10.0,DAL 40,14.0,14.0,Tony Pollard left end for 3 yards (tackle by Zach Cunningham),1.6,1.46,9.0,2023,133
2.0,4:00,2.0,7.0,DAL 43,14.0,14.0,Dak Prescott sacked by and Fletcher Cox for -8 yards and Nakobe Dean for -8 yards,1.46,-0.3,9.0,2023,133
2.0,3:15,3.0,15.0,DAL 35,14.0,14.0,Dak Prescott pass complete short left to CeeDee Lamb for 14 yards (tackle by Darius Slay and Kevin Byard),-0.3,-0.13,9.0,2023,133
2.0,2:34,4.0,1.0,DAL 49,14.0,14.0,Dak Prescott pass complete short middle to Jake Ferguson for 11 yards (tackle by Nakobe Dean and Kevin Byard),-0.13,2.92,9.0,2023,133
2.0,2:00,1.0,10.0,PHI 40,14.0,14.0,Dak Prescott pass incomplete short right intended for Tony Pollard,2.92,2.37,9.0,2023,133
2.0,1:56,2.0,10.0,PHI 40,14.0,14.0,Tony Pollard up the middle for 7 yards (tackle by Nakobe Dean),2.37,2.61,9.0,2023,133
2.0,1:25,3.0,3.0,PHI 33,14.0,14.0,Dak Prescott pass incomplete short left intended for Michael Gallup,2.61,1.19,9.0,2023,133
2.0,1:20,4.0,3.0,PHI 33,17.0,14.0,Brandon Aubrey 51 yard field goal good,1.19,3.0,9.0,2023,133
2.0,1:15,,,DAL 35,17.0,14.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,133
2.0,1:15,1.0,10.0,PHI 25,17.0,14.0,Jalen Hurts scrambles left end for 6 yards (tackle by Damone Clark),0.61,0.87,9.0,2023,133
2.0,1:08,2.0,4.0,PHI 31,17.0,14.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 1 yard (tackle by Jayron Kearse),0.87,0.3,9.0,2023,133
2.0,0:45,3.0,3.0,PHI 32,17.0,14.0,"Penalty on Jason Kelce: False Start, 5 yards (accepted) (no play)",0.3,-0.36,9.0,2023,133
2.0,0:45,3.0,8.0,PHI 27,17.0,14.0,Jalen Hurts pass complete short left to A.J. Brown for 11 yards,-0.36,1.47,9.0,2023,133
2.0,0:39,1.0,10.0,PHI 38,17.0,14.0,Jalen Hurts scrambles right guard for 6 yards (tackle by Markquese Bell and Jourdan Lewis),1.47,1.73,9.0,2023,133
2.0,0:31,,,,,,Timeout #1 by Philadelphia Eagles,,,9.0,2023,133
2.0,0:31,2.0,4.0,PHI 44,17.0,14.0,Jalen Hurts sacked by Micah Parsons for -10 yards,1.73,-0.29,9.0,2023,133
2.0,0:22,,,,,,Timeout #2 by Philadelphia Eagles,,,9.0,2023,133
2.0,0:22,3.0,14.0,PHI 34,17.0,14.0,Kenneth Gainwell up the middle for 7 yards (tackle by Chauncey Golston and Damone Clark),-0.29,-0.65,9.0,2023,133
2.0,0:15,,,,,,Timeout #2 by Dallas Cowboys,,,9.0,2023,133
2.0,0:15,4.0,7.0,PHI 41,17.0,14.0,Braden Mann punts 47 yards downed by Jack Stoll,-0.65,0.35,9.0,2023,133
2.0,0:04,1.0,10.0,DAL 12,17.0,14.0,Dak Prescott kneels for -1 yards,-0.35,-0.85,9.0,2023,133
3.0,15:00,,,DAL 35,17.0,14.0,"Brandon Aubrey kicks off 65 yards, touchback.. Penalty on Rashaan Evans: Face Mask (15 Yards), 15 yards (accepted)",0.0,1.6,9.0,2023,133
3.0,15:00,1.0,10.0,PHI 40,17.0,14.0,Rashaad Penny right guard for 6 yards (tackle by DeMarcus Lawrence),1.6,1.86,9.0,2023,133
3.0,14:26,2.0,4.0,PHI 46,17.0,14.0,Rashaad Penny right tackle for 2 yards (tackle by Micah Parsons and Jayron Kearse),1.86,1.42,9.0,2023,133
3.0,13:21,3.0,2.0,PHI 48,17.0,14.0,Jalen Hurts scrambles right end for 4 yards (tackle by Micah Parsons),1.42,2.39,9.0,2023,133
3.0,13:00,1.0,10.0,DAL 48,17.0,14.0,D'Andre Swift right tackle for 8 yards (tackle by Markquese Bell),2.39,2.93,9.0,2023,133
3.0,12:16,2.0,2.0,DAL 40,17.0,14.0,Jalen Hurts pass complete short right to D'Andre Swift for 11 yards (tackle by Markquese Bell),2.93,3.64,9.0,2023,133
3.0,11:30,1.0,10.0,DAL 29,17.0,20.0,"Jalen Hurts pass complete deep left to DeVonta Smith for 29 yards, touchdown",3.64,7.0,9.0,2023,133
3.0,11:23,,,DAL 15,17.0,21.0,Jake Elliott kicks extra point good,0.0,0.0,9.0,2023,133
3.0,11:23,,,PHI 35,17.0,21.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,133
3.0,11:23,1.0,10.0,DAL 25,17.0,21.0,Dak Prescott pass incomplete deep right intended for CeeDee Lamb,0.61,0.06,9.0,2023,133
3.0,11:19,2.0,10.0,DAL 25,17.0,21.0,Tony Pollard right tackle for 15 yards (tackle by Reed Blankenship),0.06,1.6,9.0,2023,133
3.0,10:44,1.0,10.0,DAL 40,17.0,21.0,Tony Pollard left end for 5 yards (tackle by Josh Sweat),1.6,1.73,9.0,2023,133
3.0,10:06,2.0,5.0,DAL 45,17.0,21.0,Dak Prescott pass complete short right to Jalen Tolbert for 10 yards (tackle by James Bradberry),1.73,2.59,9.0,2023,133
3.0,9:31,1.0,10.0,PHI 45,17.0,21.0,"Rico Dowdle right guard for 5 yards (tackle by James Bradberry and Reed Blankenship). Penalty on Luke Schoonmaker: Offensive Holding, 10 yards (accepted)",2.59,2.26,9.0,2023,133
3.0,9:13,1.0,15.0,PHI 50,17.0,21.0,Dak Prescott pass incomplete short middle intended for Jake Ferguson (defended by Reed Blankenship),2.26,1.37,9.0,2023,133
3.0,9:04,2.0,15.0,PHI 50,17.0,21.0,KaVontae Turpin left end for no gain (tackle by Zach Cunningham),1.37,0.7,9.0,2023,133
3.0,8:27,3.0,15.0,PHI 50,17.0,21.0,Dak Prescott pass complete short left to Jake Ferguson for 7 yards (tackle by Reed Blankenship and Nicholas Morrow),0.7,0.4,9.0,2023,133
3.0,7:37,4.0,8.0,PHI 43,17.0,21.0,"Bryan Anger punts 30 yards, fair catch by Britain Covey at PHI-13",0.4,0.32,9.0,2023,133
3.0,7:31,1.0,10.0,PHI 13,17.0,21.0,D'Andre Swift up the middle for 2 yards (tackle by Johnathan Hankins and DeMarcus Lawrence),-0.32,-0.57,9.0,2023,133
3.0,6:52,2.0,8.0,PHI 15,17.0,21.0,Jalen Hurts pass complete short right to Dallas Goedert for 7 yards (tackle by Damone Clark),-0.57,-0.35,9.0,2023,133
3.0,6:20,3.0,1.0,PHI 22,17.0,21.0,Jalen Hurts up the middle for 2 yards (tackle by Chauncey Golston and Damone Clark),-0.35,0.54,9.0,2023,133
3.0,5:22,1.0,10.0,PHI 24,17.0,21.0,"Jalen Hurts pass incomplete intended for DeVonta Smith. Penalty on Johnathan Hankins: Defensive Offside, 5 yards (accepted) (no play)",0.54,1.27,9.0,2023,133
3.0,5:22,1.0,5.0,PHI 29,17.0,21.0,D'Andre Swift left end for 2 yards (tackle by Micah Parsons),1.27,0.94,9.0,2023,133
3.0,4:38,2.0,3.0,PHI 31,17.0,21.0,D'Andre Swift left end for 6 yards (tackle by Micah Parsons and Damone Clark),0.94,1.4,9.0,2023,133
3.0,3:53,1.0,10.0,PHI 37,17.0,21.0,Jalen Hurts pass complete short right to A.J. Brown for 5 yards (tackle by Jayron Kearse),1.4,1.53,9.0,2023,133
3.0,3:26,2.0,5.0,PHI 42,17.0,21.0,"Jalen Hurts pass incomplete intended for A.J. Brown. Penalty on Stephon Gilmore: Defensive Pass Interference, 17 yards (accepted) (no play)",1.53,2.85,9.0,2023,133
3.0,3:18,1.0,10.0,DAL 41,17.0,21.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown (defended by DaRon Bland),2.85,2.31,9.0,2023,133
3.0,3:08,2.0,10.0,DAL 41,17.0,21.0,Jalen Hurts pass complete short left to Dallas Goedert for 28 yards (tackle by Markquese Bell),2.31,4.71,9.0,2023,133
3.0,2:26,1.0,10.0,DAL 13,17.0,21.0,"Jalen Hurts scrambles right end for 4 yards (tackle by Damone Clark). Penalty on Donovan Wilson: Defensive Holding, 5 yards (accepted)",4.71,6.28,9.0,2023,133
3.0,2:04,1.0,4.0,DAL 4,17.0,21.0,D'Andre Swift left guard for no gain (tackle by Malik Hooker),6.28,5.34,9.0,2023,133
3.0,1:18,2.0,4.0,DAL 4,17.0,27.0,"Jalen Hurts pass complete short left to A.J. Brown for 4 yards, touchdown",5.34,7.0,9.0,2023,133
3.0,1:13,,,DAL 15,17.0,28.0,Jake Elliott kicks extra point good,0.0,0.0,9.0,2023,133
3.0,1:13,,,PHI 35,17.0,28.0,"Jake Elliott kicks off 68 yards, returned by Rico Dowdle for 31 yards (tackle by Nolan Smith)",0.0,0.81,9.0,2023,133
3.0,1:08,1.0,10.0,DAL 28,17.0,28.0,Dak Prescott pass complete short middle to CeeDee Lamb for 20 yards (tackle by Kevin Byard),0.81,2.13,9.0,2023,133
3.0,0:24,1.0,10.0,DAL 48,17.0,28.0,Dak Prescott pass complete short right to Michael Gallup for 11 yards (tackle by James Bradberry),2.13,2.85,9.0,2023,133
4.0,15:00,1.0,10.0,PHI 41,17.0,28.0,Dak Prescott pass complete short right to Tony Pollard for 7 yards (tackle by Zach Cunningham),2.85,3.25,9.0,2023,133
4.0,14:23,2.0,3.0,PHI 34,17.0,28.0,Tony Pollard right tackle for 2 yards (tackle by Darius Slay and Kevin Byard),3.25,2.81,9.0,2023,133
4.0,14:00,3.0,1.0,PHI 32,17.0,28.0,Dak Prescott pass complete short right to Michael Gallup for 8 yards (tackle by James Bradberry),2.81,3.97,9.0,2023,133
4.0,13:28,1.0,10.0,PHI 24,17.0,28.0,Dak Prescott pass incomplete short middle intended for Jake Ferguson (defended by Darius Slay),3.97,3.43,9.0,2023,133
4.0,13:20,2.0,10.0,PHI 24,17.0,28.0,Dak Prescott pass complete short right to CeeDee Lamb for 9 yards (tackle by Eli Ricks),3.43,4.17,9.0,2023,133
4.0,12:40,3.0,1.0,PHI 15,17.0,28.0,Tony Pollard right guard for no gain (tackle by James Bradberry),4.17,2.59,9.0,2023,133
4.0,11:42,4.0,1.0,PHI 15,17.0,28.0,"Dak Prescott up the middle for 1 yard (tackle by Kevin Byard). Penalty on Kevin Byard: Unnecessary Roughness / Defense, 7 yards (accepted) PHI challenged the first down ruling, and the play was upheld.",2.59,5.6,9.0,2023,133
4.0,11:38,1.0,7.0,PHI 7,17.0,28.0,Dak Prescott pass incomplete short right intended for Jake Ferguson (defended by Zach Cunningham),5.6,4.76,9.0,2023,133
4.0,11:34,2.0,7.0,PHI 7,17.0,28.0,Tony Pollard left guard for 3 yards (tackle by Zach Cunningham),4.76,4.49,9.0,2023,133
4.0,10:52,3.0,4.0,PHI 4,17.0,28.0,Dak Prescott scrambles left end for 3 yards (tackle by Darius Slay and Zach Cunningham),4.49,3.55,9.0,2023,133
4.0,10:10,4.0,1.0,PHI 1,17.0,28.0,"Dak Prescott pass complete to Luke Schoonmaker for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Dak Prescott pass complete short left to Luke Schoonmaker for no gain (tackle by Reed Blankenship)",3.55,0.38,9.0,2023,133
4.0,10:07,1.0,10.0,PHI 1,17.0,28.0,Jalen Hurts up the middle for 2 yards (tackle by Micah Parsons),-0.38,-0.63,9.0,2023,133
4.0,9:25,2.0,8.0,PHI 3,17.0,28.0,Jalen Hurts pass incomplete short left intended for Olamide Zaccheaus,-0.63,-1.19,9.0,2023,133
4.0,9:21,3.0,8.0,PHI 3,17.0,28.0,Jalen Hurts pass complete short left to DeVonta Smith for 3 yards (tackle by DaRon Bland),-1.19,-2.49,9.0,2023,133
4.0,8:54,4.0,5.0,PHI 6,17.0,28.0,Braden Mann punts 46 yards downed by Christian Elliss,-2.49,-2.13,9.0,2023,133
4.0,8:36,1.0,10.0,DAL 48,17.0,28.0,Dak Prescott pass complete short right to Tony Pollard for -3 yards (tackle by Zach Cunningham and Kevin Byard),2.13,1.18,9.0,2023,133
4.0,8:09,2.0,13.0,DAL 45,17.0,28.0,"Dak Prescott pass complete to Tony Pollard for no gain. Penalty on Eli Ricks: Illegal Contact, 5 yards (accepted) (no play)",1.18,2.26,9.0,2023,133
4.0,7:56,1.0,10.0,DAL 50,17.0,28.0,Dak Prescott pass complete short left to CeeDee Lamb for 16 yards (tackle by Reed Blankenship),2.26,3.31,9.0,2023,133
4.0,7:14,1.0,10.0,PHI 34,17.0,28.0,Dak Prescott pass incomplete deep left intended for Brandin Cooks,3.31,2.77,9.0,2023,133
4.0,7:04,2.0,10.0,PHI 34,17.0,28.0,"Dak Prescott pass complete deep left to Jalen Tolbert for 32 yards (tackle by James Bradberry). Penalty on Eli Ricks: Defensive Holding, 5 yards (declined)",2.77,6.74,9.0,2023,133
4.0,6:34,1.0,2.0,PHI 2,17.0,28.0,"Penalty on Chuma Edoga: Illegal Shift, 5 yards (accepted) (no play)",6.74,5.6,9.0,2023,133
4.0,6:30,1.0,7.0,PHI 7,23.0,28.0,"Dak Prescott pass complete short right to Jalen Tolbert for 7 yards, touchdown",5.6,7.0,9.0,2023,133
4.0,6:23,,,PHI 2,23.0,28.0,"Two Point Attempt: Dak Prescott rushes, conversion fails.",1.0,-1.0,9.0,2023,133
4.0,6:23,,,DAL 35,23.0,28.0,"Brandon Aubrey kicks off 63 yards,",0.0,0.61,9.0,2023,133
4.0,6:23,1.0,10.0,PHI 25,23.0,28.0,D'Andre Swift left guard for 2 yards (tackle by Osa Odighizuwa and Micah Parsons),0.61,0.33,9.0,2023,133
4.0,5:43,2.0,8.0,PHI 27,23.0,28.0,Jalen Hurts scrambles up the middle for 5 yards (tackle by Damone Clark),0.33,0.3,9.0,2023,133
4.0,5:00,3.0,3.0,PHI 32,23.0,28.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,0.3,-1.24,9.0,2023,133
4.0,4:52,4.0,3.0,PHI 32,23.0,28.0,"Braden Mann punts 54 yards, returned by KaVontae Turpin for 12 yards (tackle by Josh Jobe)",-1.24,-0.67,9.0,2023,133
4.0,4:43,1.0,10.0,DAL 26,23.0,28.0,Dak Prescott pass complete deep middle to CeeDee Lamb for 21 yards (tackle by Sydney Brown),0.67,2.06,9.0,2023,133
4.0,4:12,1.0,10.0,DAL 47,23.0,28.0,Tony Pollard left guard for 3 yards (tackle by Josh Sweat and Fletcher Cox),2.06,1.92,9.0,2023,133
4.0,3:40,2.0,7.0,PHI 50,23.0,28.0,"Dak Prescott pass complete short right to Brandin Cooks for 7 yards (tackle by Eli Ricks). Penalty on James Bradberry: Illegal Contact, 5 yards (declined)",1.92,2.72,9.0,2023,133
4.0,3:29,1.0,10.0,PHI 43,23.0,28.0,Dak Prescott pass incomplete deep left intended for CeeDee Lamb,2.72,2.18,9.0,2023,133
4.0,3:23,2.0,10.0,PHI 43,23.0,28.0,Dak Prescott pass incomplete short right intended for Tony Pollard,2.18,1.49,9.0,2023,133
4.0,3:20,3.0,10.0,PHI 43,23.0,28.0,Dak Prescott pass complete short middle to Jake Ferguson for 12 yards (tackle by Zach Cunningham),1.49,3.51,9.0,2023,133
4.0,2:47,1.0,10.0,PHI 31,23.0,28.0,Dak Prescott sacked by Brandon Graham for -7 yards,3.51,2.02,9.0,2023,133
4.0,2:10,2.0,17.0,PHI 38,23.0,28.0,Dak Prescott sacked by and Jalen Carter for -4 yards and Brandon Graham for -4 yards,2.02,0.83,9.0,2023,133
4.0,2:00,3.0,21.0,PHI 42,23.0,28.0,Dak Prescott pass complete short right to CeeDee Lamb for 13 yards (tackle by Darius Slay),0.83,1.5,9.0,2023,133
4.0,1:22,,,,,,Timeout #2 by Philadelphia Eagles,,,9.0,2023,133
4.0,1:22,4.0,8.0,PHI 29,23.0,28.0,Dak Prescott pass incomplete short right intended for Jalen Tolbert (defended by James Bradberry),1.5,-0.87,9.0,2023,133
4.0,1:17,,,,,,Timeout #3 by Philadelphia Eagles,,,9.0,2023,133
4.0,1:17,1.0,10.0,PHI 29,23.0,28.0,D'Andre Swift left tackle for 2 yards (tackle by Damone Clark),0.87,0.6,9.0,2023,133
4.0,1:13,,,,,,Timeout #1 by Dallas Cowboys,,,9.0,2023,133
4.0,1:13,2.0,8.0,PHI 31,23.0,28.0,D'Andre Swift right end for 1 yard (tackle by Markquese Bell),0.6,0.04,9.0,2023,133
4.0,1:07,,,,,,Timeout #2 by Dallas Cowboys,,,9.0,2023,133
