Quarter,Time,Down,ToGo,Location,CHI,DAL,Detail,EPB,EPA,week,year,game_id
1.0,6:00,2.0,9.0,CHI 21,0.0,7.0,Malik Davis left tackle for no gain (tackle by Justin Jones),3.7,3.01,8.0,2022,114
1.0,5:24,3.0,9.0,CHI 21,0.0,13.0,"Dak Prescott pass complete deep middle to CeeDee Lamb for 21 yards, touchdown",3.01,7.0,8.0,2022,114
1.0,5:19,,,CHI 15,0.0,14.0,Brett Maher kicks extra point good,0.0,0.0,8.0,2022,114
1.0,5:19,,,DAL 35,0.0,14.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,114
1.0,5:19,1.0,10.0,CHI 25,0.0,14.0,David Montgomery left guard for no gain (tackle by Leighton Vander Esch and Carlos Watkins),0.61,0.06,8.0,2022,114
1.0,4:45,2.0,10.0,CHI 25,0.0,14.0,Velus Jones right end for 18 yards (tackle by Anthony Barr),0.06,1.8,8.0,2022,114
1.0,4:13,1.0,10.0,CHI 43,0.0,14.0,Justin Fields pass complete short left to Dante Pettis for 4 yards (tackle by Donovan Wilson),1.8,1.93,8.0,2022,114
1.0,3:44,2.0,5.0,CHI 48,0.0,14.0,Justin Fields scrambles left end for 15 yards (tackle by Jayron Kearse and DaRon Bland),1.93,3.05,8.0,2022,114
1.0,3:03,1.0,10.0,DAL 38,0.0,14.0,David Montgomery right tackle for 6 yards (tackle by Donovan Wilson),3.05,3.32,8.0,2022,114
1.0,2:20,2.0,4.0,DAL 32,0.0,14.0,Justin Fields up the middle for no gain (tackle by Jayron Kearse),3.32,2.61,8.0,2022,114
1.0,1:39,3.0,4.0,DAL 32,0.0,14.0,Justin Fields scrambles right end for 14 yards (tackle by Donovan Wilson),2.61,4.37,8.0,2022,114
1.0,1:09,1.0,10.0,DAL 18,0.0,14.0,David Montgomery up the middle for 4 yards (tackle by Carlos Watkins and Leighton Vander Esch),4.37,4.43,8.0,2022,114
1.0,0:35,2.0,6.0,DAL 14,0.0,14.0,David Montgomery left end for 4 yards (tackle by Carlos Watkins),4.43,4.51,8.0,2022,114
2.0,15:00,3.0,2.0,DAL 10,0.0,14.0,David Montgomery up the middle for 4 yards (tackle by Anthony Barr and Leighton Vander Esch),4.51,5.83,8.0,2022,114
2.0,14:23,1.0,6.0,DAL 6,0.0,14.0,Justin Fields pass complete short right to Darnell Mooney for 3 yards (tackle by Israel Mukuamu),5.83,5.53,8.0,2022,114
2.0,13:45,2.0,3.0,DAL 3,6.0,14.0,"Justin Fields left end for 3 yards, touchdown",5.53,7.0,8.0,2022,114
2.0,13:41,,,DAL 15,7.0,14.0,Cairo Santos kicks extra point good,0.0,0.0,8.0,2022,114
2.0,13:41,,,CHI 35,7.0,14.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,114
2.0,13:41,1.0,10.0,DAL 25,7.0,14.0,Tony Pollard left tackle for 6 yards (tackle by Jaquan Brisker and Trevis Gipson),0.61,0.87,8.0,2022,114
2.0,13:14,2.0,4.0,DAL 31,7.0,14.0,Dak Prescott pass complete short right to Michael Gallup for 17 yards (tackle by Eddie Jackson),0.87,2.13,8.0,2022,114
2.0,12:42,1.0,10.0,DAL 48,7.0,14.0,Tony Pollard up the middle for 2 yards (tackle by Kyler Gordon),2.13,1.85,8.0,2022,114
2.0,12:05,2.0,8.0,CHI 50,7.0,14.0,Dak Prescott pass complete short right to CeeDee Lamb for 7 yards (tackle by Kindle Vildor),1.85,2.08,8.0,2022,114
2.0,11:30,3.0,1.0,CHI 43,7.0,14.0,Dak Prescott up the middle for 25 yards (tackle by Eddie Jackson),2.08,4.37,8.0,2022,114
2.0,10:55,1.0,10.0,CHI 18,7.0,20.0,"Tony Pollard left tackle for 18 yards, touchdown",4.37,7.0,8.0,2022,114
2.0,10:50,,,CHI 15,7.0,21.0,Brett Maher kicks extra point good,0.0,0.0,8.0,2022,114
2.0,10:50,,,DAL 35,7.0,21.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,114
2.0,10:50,1.0,10.0,CHI 25,7.0,21.0,Khalil Herbert right tackle for 1 yard (tackle by Johnathan Hankins),0.61,0.2,8.0,2022,114
2.0,10:21,2.0,9.0,CHI 26,7.0,21.0,Justin Fields sacked by Osa Odighizuwa for -6 yards,0.2,-1.29,8.0,2022,114
2.0,9:39,3.0,15.0,CHI 20,7.0,21.0,"to Dante Pettis for no gain Justin Fields pass complete short left. Penalty on Dante Pettis: Illegal Forward Pass, 5 yards (accepted)",-1.29,-2.44,8.0,2022,114
2.0,9:25,4.0,20.0,CHI 15,7.0,21.0,"Trenton Gill punts 52 yards, returned by KaVontae Turpin for 13 yards (tackle by Patrick Scales and Jaylon Jones)",-2.44,-1.99,8.0,2022,114
2.0,9:23,1.0,10.0,DAL 46,7.0,21.0,Dak Prescott pass incomplete short left intended for CeeDee Lamb,1.99,1.45,8.0,2022,114
2.0,9:18,2.0,10.0,DAL 46,7.0,21.0,Malik Davis left tackle for 2 yards (tackle by Justin Jones),1.45,1.03,8.0,2022,114
2.0,8:44,3.0,8.0,DAL 48,7.0,21.0,Dak Prescott pass complete short left to CeeDee Lamb for 15 yards (tackle by Kyler Gordon),1.03,3.05,8.0,2022,114
2.0,8:19,1.0,10.0,CHI 38,7.0,21.0,Dak Prescott pass incomplete short right,3.05,2.57,8.0,2022,114
2.0,8:13,2.0,10.0,CHI 37,7.0,21.0,Dak Prescott pass complete short right to CeeDee Lamb for 22 yards (tackle by Eddie Jackson and Kindle Vildor),2.57,4.58,8.0,2022,114
2.0,7:37,1.0,10.0,CHI 15,7.0,21.0,Dak Prescott left end for 4 yards (tackle by Eddie Jackson),4.58,4.64,8.0,2022,114
2.0,7:00,2.0,6.0,CHI 11,7.0,21.0,"Dak Prescott pass complete to Malik Davis for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Dak Prescott pass complete short left to Malik Davis for 10 yards (tackle by Jaylon Johnson)",4.64,6.97,8.0,2022,114
2.0,6:54,1.0,1.0,CHI 1,7.0,27.0,"Dak Prescott pass complete short right to Jake Ferguson for 1 yard, touchdown",6.97,7.0,8.0,2022,114
2.0,6:48,,,CHI 15,7.0,28.0,Brett Maher kicks extra point good,0.0,0.0,8.0,2022,114
2.0,6:48,,,DAL 35,7.0,28.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,114
2.0,6:48,1.0,10.0,CHI 25,7.0,28.0,Khalil Herbert right guard for 1 yard (tackle by Johnathan Hankins),0.61,0.2,8.0,2022,114
2.0,6:16,2.0,9.0,CHI 26,7.0,28.0,Khalil Herbert left end for 6 yards (tackle by Chauncey Golston and Micah Parsons),0.2,0.3,8.0,2022,114
2.0,5:28,3.0,3.0,CHI 32,7.0,28.0,"Justin Fields pass incomplete short left intended for Dante Pettis. Penalty on Dante Fowler: Defensive Offside, 5 yards (accepted) (no play)",0.3,1.4,8.0,2022,114
2.0,5:23,1.0,10.0,CHI 37,7.0,28.0,Khalil Herbert left end for 4 yards (tackle by Leighton Vander Esch),1.4,1.4,8.0,2022,114
2.0,4:52,2.0,6.0,CHI 41,7.0,28.0,Khalil Herbert left end for 1 yard (tackle by Trevon Diggs and Micah Parsons),1.4,0.83,8.0,2022,114
2.0,4:07,,,,,,Timeout #1 by Dallas Cowboys,,,8.0,2022,114
2.0,4:07,3.0,5.0,CHI 42,7.0,28.0,Khalil Herbert up the middle for 3 yards (tackle by DeMarcus Lawrence),0.83,-0.39,8.0,2022,114
2.0,3:29,4.0,2.0,CHI 45,7.0,28.0,David Montgomery left end for 2 yards (tackle by Trevon Diggs),-0.39,2.06,8.0,2022,114
2.0,2:45,1.0,10.0,CHI 47,7.0,28.0,Justin Fields pass incomplete deep right intended for Velus Jones,2.06,1.52,8.0,2022,114
2.0,2:37,,,,,,Timeout #2 by Dallas Cowboys,,,8.0,2022,114
2.0,2:37,2.0,10.0,CHI 47,7.0,28.0,Justin Fields pass complete short right to Equanimeous St. Brown for 6 yards (tackle by DaRon Bland),1.52,1.62,8.0,2022,114
2.0,2:03,3.0,4.0,DAL 47,7.0,28.0,Justin Fields scrambles left end for 9 yards (tackle by Anthony Barr),1.62,3.05,8.0,2022,114
2.0,1:55,1.0,10.0,DAL 38,7.0,28.0,Justin Fields pass complete short right to N'Keal Harry for 7 yards (tackle by DaRon Bland and Kelvin Joseph),3.05,3.45,8.0,2022,114
2.0,1:24,2.0,3.0,DAL 31,7.0,28.0,David Montgomery up the middle for 4 yards (tackle by Johnathan Hankins),3.45,3.78,8.0,2022,114
2.0,0:57,1.0,10.0,DAL 27,7.0,28.0,"Justin Fields pass complete to Darnell Mooney for no gain (tackle by Leighton Vander Esch). Penalty on Dante Pettis: False Start, 5 yards (accepted) (no play)",3.78,3.45,8.0,2022,114
2.0,0:57,,,,,,Timeout #1 by Chicago Bears,,,8.0,2022,114
2.0,0:57,1.0,15.0,DAL 32,7.0,28.0,"Justin Fields pass deep left is intercepted by Trevon Diggs at DAL-11 and returned for no gain (tackle by Michael Schofield). Penalty on Chauncey Golston: Roughing the Passer, 15 yards (accepted) (no play)",3.45,4.44,8.0,2022,114
2.0,0:45,1.0,10.0,DAL 17,13.0,28.0,"Justin Fields pass complete deep middle to N'Keal Harry for 17 yards, touchdown",4.44,7.0,8.0,2022,114
2.0,0:40,,,DAL 15,14.0,28.0,Cairo Santos kicks extra point good,0.0,0.0,8.0,2022,114
2.0,0:40,,,CHI 35,14.0,28.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,114
2.0,0:40,1.0,10.0,DAL 25,14.0,28.0,Dak Prescott pass deep middle intended for CeeDee Lamb is intercepted by Eddie Jackson at DAL-45 and returned for 21 yards (tackle by Peyton Hendershot),0.61,-3.97,8.0,2022,114
2.0,0:28,1.0,10.0,DAL 24,14.0,28.0,Justin Fields pass incomplete deep left intended for Dante Pettis (defended by DaRon Bland),3.97,3.43,8.0,2022,114
2.0,0:21,2.0,10.0,DAL 24,14.0,28.0,"Justin Fields pass incomplete deep right intended for Equanimeous St. Brown (defended by Anthony Brown). Penalty on Dorance Armstrong: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.43,4.12,8.0,2022,114
2.0,0:15,2.0,5.0,DAL 19,14.0,28.0,Justin Fields left end for 1 yard (tackle by Donovan Wilson),4.12,3.57,8.0,2022,114
2.0,0:11,,,,,,Timeout #2 by Chicago Bears,,,8.0,2022,114
2.0,0:11,3.0,4.0,DAL 18,14.0,28.0,Justin Fields pass complete short middle to David Montgomery for no gain (tackle by Dorance Armstrong and Osa Odighizuwa),3.57,2.32,8.0,2022,114
2.0,0:03,,,,,,Timeout #3 by Chicago Bears,,,8.0,2022,114
2.0,0:03,4.0,4.0,DAL 18,17.0,28.0,Cairo Santos 36 yard field goal good,2.32,3.0,8.0,2022,114
3.0,15:00,,,DAL 35,17.0,28.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,114
3.0,15:00,1.0,10.0,CHI 25,17.0,28.0,David Montgomery right tackle for 3 yards (tackle by Jayron Kearse and Damone Clark),0.61,0.47,8.0,2022,114
3.0,14:23,2.0,7.0,CHI 28,17.0,28.0,Khalil Herbert left end for 4 yards (tackle by Trevon Diggs),0.47,0.3,8.0,2022,114
3.0,13:52,3.0,3.0,CHI 32,17.0,28.0,David Montgomery right guard for no gain (tackle by Quinton Bohanna and Osa Odighizuwa),0.3,-1.24,8.0,2022,114
3.0,13:25,4.0,3.0,CHI 32,17.0,28.0,Trenton Gill punts 62 yards downed by Josh Blackwell,-1.24,0.38,8.0,2022,114
3.0,13:12,1.0,10.0,DAL 6,17.0,28.0,Tony Pollard right tackle for no gain (tackle by Jaquan Brisker),-0.38,-0.78,8.0,2022,114
3.0,12:46,2.0,10.0,DAL 6,17.0,28.0,Dak Prescott pass complete short middle to Dalton Schultz for 6 yards (tackle by Jaquan Brisker),-0.78,-0.72,8.0,2022,114
3.0,12:15,3.0,4.0,DAL 12,17.0,28.0,Dak Prescott pass incomplete short left intended for Michael Gallup (defended by Jaylon Johnson),-0.72,-2.49,8.0,2022,114
3.0,12:11,4.0,4.0,DAL 12,17.0,28.0,"Bryan Anger punts 59 yards, returned by Dante Pettis for 9 yards (tackle by Matt Overton)",-2.49,-1.47,8.0,2022,114
3.0,12:01,1.0,10.0,CHI 38,17.0,28.0,"Khalil Herbert up the middle for no gain. David Montgomery fumbles, recovered by Leighton Vander Esch at CHI-38 (tackle by Jayron Kearse) Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Khalil Herbert up the middle for 1 yard (tackle by Jayron Kearse)",1.47,1.06,8.0,2022,114
3.0,11:50,2.0,9.0,CHI 39,17.0,28.0,Justin Fields pass complete deep left to Darnell Mooney for 36 yards (tackle by Israel Mukuamu),1.06,3.91,8.0,2022,114
3.0,11:11,1.0,10.0,DAL 25,17.0,28.0,Justin Fields pass complete short right to Darnell Mooney for 6 yards (tackle by Trevon Diggs),3.91,4.2,8.0,2022,114
3.0,10:33,2.0,4.0,DAL 19,17.0,28.0,Khalil Herbert left guard for 7 yards (tackle by Damone Clark and Leighton Vander Esch),4.2,4.78,8.0,2022,114
3.0,9:47,1.0,10.0,DAL 12,23.0,28.0,"Khalil Herbert up the middle for 12 yards, touchdown",4.78,7.0,8.0,2022,114
3.0,9:42,,,DAL 2,23.0,28.0,"Two Point Attempt: Justin Fields pass incomplete, sacked by Justin Fields sacked by DeMarcus Lawrence for no gain",1.0,-1.0,8.0,2022,114
3.0,9:42,,,CHI 35,23.0,28.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,114
3.0,9:42,1.0,10.0,DAL 25,23.0,28.0,Tony Pollard left tackle for 1 yard (tackle by Jaquan Brisker),0.61,0.2,8.0,2022,114
3.0,9:10,2.0,9.0,DAL 26,23.0,28.0,Dak Prescott pass incomplete short right intended for Dalton Schultz (defended by Dominique Robinson),0.2,-0.49,8.0,2022,114
3.0,9:06,3.0,9.0,DAL 26,23.0,28.0,"Dak Prescott pass complete deep middle to Dalton Schultz for 30 yards (tackle by Jaquan Brisker). Penalty on Dominique Robinson: Defensive Offside, 5 yards (declined)",-0.49,2.65,8.0,2022,114
3.0,8:45,1.0,10.0,CHI 44,23.0,28.0,Dak Prescott pass complete short right to Dalton Schultz for 14 yards (tackle by Kindle Vildor),2.65,3.58,8.0,2022,114
3.0,8:09,1.0,10.0,CHI 30,23.0,28.0,KaVontae Turpin left end for 11 yards (tackle by Roquan Smith),3.58,4.31,8.0,2022,114
3.0,7:37,1.0,10.0,CHI 19,23.0,28.0,Dak Prescott pass complete short right to CeeDee Lamb for 12 yards (tackle by Eddie Jackson),4.31,5.6,8.0,2022,114
3.0,6:55,1.0,7.0,CHI 7,23.0,34.0,"Tony Pollard right tackle for 7 yards, touchdown",5.6,7.0,8.0,2022,114
3.0,6:51,,,CHI 15,23.0,35.0,Brett Maher kicks extra point good,0.0,0.0,8.0,2022,114
3.0,6:51,,,DAL 35,23.0,35.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,114
3.0,6:51,1.0,10.0,CHI 25,23.0,35.0,Justin Fields sacked by Dante Fowler for -11 yards,0.61,-1.54,8.0,2022,114
3.0,6:16,2.0,21.0,CHI 14,23.0,35.0,David Montgomery right tackle for 10 yards (tackle by Damone Clark and Donovan Wilson),-1.54,-0.82,8.0,2022,114
3.0,5:35,3.0,12.0,CHI 24,23.0,35.0,"Penalty on Trevon Wesco: False Start, 5 yards (accepted) (no play)",-0.82,-1.58,8.0,2022,114
3.0,5:17,3.0,17.0,CHI 19,23.0,41.0,"Justin Fields pass complete short middle to David Montgomery for 13 yards. David Montgomery fumbles (forced by Leighton Vander Esch), recovered by Micah Parsons at CHI-36 and returned for 36 yards, touchdown",-1.58,-7.0,8.0,2022,114
3.0,5:00,,,CHI 15,23.0,42.0,Brett Maher kicks extra point good,0.0,0.0,8.0,2022,114
3.0,5:00,,,DAL 35,23.0,42.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,114
3.0,5:00,1.0,10.0,CHI 25,23.0,42.0,"Justin Fields right end for 6 yards (tackle by Damone Clark). Penalty on Cole Kmet: Offensive Holding, 10 yards (accepted)",0.61,0.34,8.0,2022,114
3.0,4:42,1.0,14.0,CHI 21,23.0,42.0,Velus Jones left end for 15 yards (tackle by Trevon Diggs),0.34,1.33,8.0,2022,114
3.0,3:52,1.0,10.0,CHI 36,23.0,42.0,David Montgomery right tackle for 3 yards (tackle by Neville Gallimore and Damone Clark),1.33,1.2,8.0,2022,114
3.0,3:15,2.0,7.0,CHI 39,23.0,42.0,Justin Fields pass incomplete deep left intended for Equanimeous St. Brown (defended by Trevon Diggs),1.2,0.5,8.0,2022,114
3.0,3:07,3.0,7.0,CHI 39,23.0,42.0,Justin Fields pass complete deep left to Darnell Mooney for 17 yards (tackle by Trevon Diggs),0.5,2.65,8.0,2022,114
3.0,2:39,1.0,10.0,DAL 44,23.0,42.0,Justin Fields pass complete short right to Darnell Mooney for 8 yards (tackle by Israel Mukuamu),2.65,3.19,8.0,2022,114
3.0,2:04,2.0,2.0,DAL 36,23.0,42.0,David Montgomery left end for -4 yards (tackle by Jayron Kearse),3.19,1.95,8.0,2022,114
3.0,1:25,3.0,6.0,DAL 40,23.0,42.0,David Montgomery up the middle for 10 yards (tackle by Donovan Wilson),1.95,3.58,8.0,2022,114
3.0,0:52,1.0,10.0,DAL 30,23.0,42.0,"David Montgomery left end for 10 yards (tackle by Leighton Vander Esch). Penalty on Braxton Jones: Offensive Holding, 10 yards (accepted) (no play)",3.58,2.92,8.0,2022,114
3.0,0:33,1.0,20.0,DAL 40,23.0,42.0,Khalil Herbert up the middle for 13 yards (tackle by Jayron Kearse),2.92,3.77,8.0,2022,114
4.0,15:00,2.0,7.0,DAL 22,23.0,42.0,Khalil Herbert up the middle for -1 yards (tackle by Donovan Wilson),3.77,2.61,8.0,2022,114
4.0,14:19,3.0,8.0,DAL 28,23.0,42.0,Justin Fields right end for 12 yards (tackle by Donovan Wilson),2.61,4.51,8.0,2022,114
4.0,14:09,1.0,10.0,DAL 16,23.0,42.0,Khalil Herbert left end for 6 yards (tackle by Trevon Diggs),4.51,4.97,8.0,2022,114
4.0,13:44,2.0,4.0,DAL 10,29.0,42.0,"Justin Fields pass complete short right to Cole Kmet for 10 yards, touchdown",4.97,7.0,8.0,2022,114
4.0,13:40,,,DAL 2,29.0,42.0,Two Point Attempt: Justin Fields pass incomplete intended for intended for Darnell Mooney,1.0,-1.0,8.0,2022,114
4.0,13:40,,,CHI 35,29.0,42.0,"Cairo Santos kicks off 65 yards, returned by KaVontae Turpin for 21 yards (tackle by Trestan Ebner)",0.0,0.34,8.0,2022,114
4.0,13:35,1.0,10.0,DAL 21,29.0,42.0,Tony Pollard right guard for 2 yards (tackle by Trevis Gipson and Jack Sanborn),0.34,0.07,8.0,2022,114
4.0,12:56,2.0,8.0,DAL 23,29.0,42.0,Tony Pollard up the middle for 14 yards (tackle by Eddie Jackson and Jaquan Brisker),0.07,1.4,8.0,2022,114
4.0,12:10,1.0,10.0,DAL 37,29.0,42.0,Tony Pollard right tackle for 2 yards (tackle by Armon Watts),1.4,1.13,8.0,2022,114
4.0,11:29,2.0,8.0,DAL 39,29.0,42.0,Malik Davis right end for 7 yards (tackle by Roquan Smith),1.13,1.36,8.0,2022,114
4.0,10:46,3.0,1.0,DAL 46,29.0,48.0,"Tony Pollard left end for 54 yards, touchdown",1.36,7.0,8.0,2022,114
4.0,10:35,,,CHI 15,29.0,49.0,Brett Maher kicks extra point good,0.0,0.0,8.0,2022,114
4.0,10:35,,,DAL 35,29.0,49.0,"Brett Maher kicks off 63 yards, returned by Velus Jones for 22 yards (tackle by Malik Davis)",0.0,0.54,8.0,2022,114
4.0,10:29,1.0,10.0,CHI 24,29.0,49.0,Khalil Herbert up the middle for 36 yards (tackle by Leighton Vander Esch),0.54,2.92,8.0,2022,114
4.0,9:51,1.0,10.0,DAL 40,29.0,49.0,Khalil Herbert up the middle for 2 yards (tackle by Dante Fowler),2.92,2.64,8.0,2022,114
4.0,9:14,2.0,8.0,DAL 38,29.0,49.0,Khalil Herbert up the middle for 3 yards (tackle by Dante Fowler and Neville Gallimore),2.64,2.34,8.0,2022,114
4.0,8:45,3.0,5.0,DAL 35,29.0,49.0,"Justin Fields pass incomplete short right intended for N'Keal Harry. Penalty on Anthony Brown: Defensive Pass Interference, 6 yards (accepted) (no play)",2.34,3.64,8.0,2022,114
4.0,8:41,1.0,10.0,DAL 29,29.0,49.0,Justin Fields pass incomplete short right,3.64,3.1,8.0,2022,114
4.0,8:34,2.0,10.0,DAL 29,29.0,49.0,Justin Fields sacked by DeMarcus Lawrence for -6 yards,3.1,1.62,8.0,2022,114
4.0,7:53,3.0,16.0,DAL 35,29.0,49.0,Justin Fields pass complete short right to Dante Pettis for 12 yards,1.62,2.0,8.0,2022,114
4.0,7:22,4.0,4.0,DAL 23,29.0,49.0,David Montgomery up the middle for 6 yards (tackle by Leighton Vander Esch),2.0,4.44,8.0,2022,114
4.0,6:46,1.0,10.0,DAL 17,29.0,49.0,Justin Fields pass complete short middle to Cole Kmet for 1 yard (tackle by Micah Parsons),4.44,4.0,8.0,2022,114
4.0,6:10,2.0,9.0,DAL 16,29.0,49.0,Justin Fields sacked by Jayron Kearse for -2 yards,4.0,3.0,8.0,2022,114
4.0,5:22,3.0,11.0,DAL 18,29.0,49.0,Justin Fields pass incomplete short left intended for Velus Jones (defended by Dante Fowler),3.0,2.25,8.0,2022,114
4.0,5:20,4.0,11.0,DAL 18,29.0,49.0,Justin Fields pass complete short right to Dante Pettis for 2 yards (tackle by Jayron Kearse),2.25,0.14,8.0,2022,114
4.0,5:12,1.0,10.0,DAL 16,29.0,49.0,Malik Davis up the middle for 3 yards (tackle by Roquan Smith),-0.14,-0.18,8.0,2022,114
4.0,5:08,,,,,,Timeout #1 by Chicago Bears,,,8.0,2022,114
4.0,5:08,2.0,7.0,DAL 19,29.0,49.0,Malik Davis left tackle for no gain (tackle by Angelo Blackson and Joe Thomas),-0.18,-0.95,8.0,2022,114
4.0,5:03,,,,,,Timeout #2 by Chicago Bears,,,8.0,2022,114
4.0,5:03,3.0,7.0,DAL 19,29.0,49.0,Dak Prescott pass complete short left to Malik Davis for 8 yards (tackle by Nicholas Morrow),-0.95,0.74,8.0,2022,114
4.0,4:58,1.0,10.0,DAL 27,29.0,49.0,"Penalty on Tyler Smith: False Start, 5 yards (accepted) (no play)",0.74,0.41,8.0,2022,114
4.0,4:58,1.0,15.0,DAL 22,29.0,49.0,Malik Davis left tackle for 5 yards (tackle by Dominique Robinson),0.41,0.2,8.0,2022,114
4.0,4:51,,,,,,Timeout #3 by Chicago Bears,,,8.0,2022,114
4.0,4:51,2.0,10.0,DAL 27,29.0,49.0,Malik Davis right tackle for -2 yards (tackle by Angelo Blackson and Roquan Smith),0.2,-0.76,8.0,2022,114
4.0,4:04,3.0,12.0,DAL 25,29.0,49.0,Dak Prescott sacked by Jaquan Brisker for -8 yards,-0.76,-2.32,8.0,2022,114
4.0,3:24,4.0,20.0,DAL 17,29.0,49.0,"Bryan Anger punts 83 yards, touchback.",-2.32,-0.28,8.0,2022,114
