Quarter,Time,Down,ToGo,Location,WAS,IND,Detail,EPB,EPA,week,year,game_id
1.0,9:37,3.0,5.0,IND 19,0.0,0.0,Sam Ehlinger pass incomplete short right intended for Michael Pittman (defended by David Mayo),-0.8,-2.14,8.0,2022,120
1.0,9:32,4.0,5.0,IND 19,0.0,0.0,"Matt Haack punts 61 yards, returned by Dax Milne for 10 yards (tackle by Dallis Flowers)",-2.14,-0.94,8.0,2022,120
1.0,9:21,1.0,10.0,WAS 30,0.0,0.0,Taylor Heinicke pass complete short left to Antonio Gibson for 18 yards (tackle by Rodney McLeod),0.94,2.13,8.0,2022,120
1.0,8:47,1.0,10.0,WAS 48,0.0,0.0,Brian Robinson up the middle for 3 yards (tackle by Dayo Odeyingbo and Bobby Okereke),2.13,1.99,8.0,2022,120
1.0,8:09,2.0,7.0,IND 49,0.0,0.0,Curtis Samuel right end for 6 yards (tackle by Stephon Gilmore and Bobby Okereke),1.99,2.08,8.0,2022,120
1.0,7:28,3.0,1.0,IND 43,0.0,0.0,Brian Robinson up the middle for 2 yards (tackle by Kenny Moore),2.08,2.85,8.0,2022,120
1.0,6:48,1.0,10.0,IND 41,0.0,0.0,Taylor Heinicke pass incomplete short left,2.85,2.31,8.0,2022,120
1.0,6:41,2.0,10.0,IND 41,0.0,0.0,Terry McLaurin left end for -7 yards (tackle by Kenny Moore),2.31,0.7,8.0,2022,120
1.0,6:00,3.0,17.0,IND 48,0.0,0.0,Taylor Heinicke pass complete short left to J.D. McKissic for 3 yards (tackle by Bobby Okereke),0.7,0.27,8.0,2022,120
1.0,5:20,4.0,14.0,IND 45,0.0,0.0,"Tress Way punts 37 yards, fair catch by Keke Coutee at IND-8",0.27,0.38,8.0,2022,120
1.0,5:17,1.0,10.0,IND 8,0.0,0.0,Jonathan Taylor up the middle for 3 yards (tackle by Jonathan Allen),-0.38,-0.56,8.0,2022,120
1.0,4:43,2.0,7.0,IND 11,0.0,0.0,Jonathan Taylor left guard for 3 yards (tackle by John Ridgeway),-0.56,-0.72,8.0,2022,120
1.0,4:05,3.0,4.0,IND 14,0.0,0.0,Sam Ehlinger pass complete short left to Michael Pittman for 10 yards (tackle by David Mayo),-0.72,0.54,8.0,2022,120
1.0,3:31,1.0,10.0,IND 24,0.0,0.0,Sam Ehlinger pass complete short middle to Michael Pittman for 16 yards (tackle by Benjamin St-Juste),0.54,1.6,8.0,2022,120
1.0,2:53,1.0,10.0,IND 40,0.0,0.0,Jonathan Taylor up the middle for 3 yards (tackle by Bobby McCain),1.6,1.46,8.0,2022,120
1.0,2:19,2.0,7.0,IND 43,0.0,0.0,Sam Ehlinger pass complete short right to Parris Campbell for 5 yards (tackle by Bobby McCain),1.46,1.42,8.0,2022,120
1.0,1:49,3.0,2.0,IND 48,0.0,0.0,Jonathan Taylor right guard for 27 yards (tackle by Benjamin St-Juste),1.42,3.91,8.0,2022,120
1.0,1:08,1.0,10.0,WAS 25,0.0,0.0,Nyheim Hines left end for 1 yard (tackle by Jonathan Allen),3.91,3.5,8.0,2022,120
1.0,0:35,2.0,9.0,WAS 24,0.0,0.0,Sam Ehlinger sacked by Daron Payne for -6 yards,3.5,2.01,8.0,2022,120
2.0,15:00,3.0,15.0,WAS 30,0.0,0.0,Nyheim Hines up the middle for 2 yards (tackle by Rachad Wildgoose and Jonathan Allen),2.01,1.59,8.0,2022,120
2.0,14:17,4.0,13.0,WAS 28,0.0,3.0,Chase McLaughlin 46 yard field goal good,1.59,3.0,8.0,2022,120
2.0,14:13,,,IND 35,0.0,3.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,120
2.0,14:13,1.0,10.0,WAS 25,0.0,3.0,Brian Robinson up the middle for 7 yards (tackle by Zaire Franklin),0.61,1.01,8.0,2022,120
2.0,13:38,2.0,3.0,WAS 32,0.0,3.0,Brian Robinson right tackle for 7 yards (tackle by Shaquille Leonard and E.J. Speed),1.01,1.53,8.0,2022,120
2.0,12:54,1.0,10.0,WAS 39,0.0,3.0,Taylor Heinicke pass complete short middle to Terry McLaurin for 42 yards (tackle by Rodney Thomas and Rodney McLeod),1.53,4.31,8.0,2022,120
2.0,12:08,1.0,10.0,IND 19,0.0,3.0,Curtis Samuel up the middle for 8 yards (tackle by Shaquille Leonard),4.31,5.14,8.0,2022,120
2.0,11:45,2.0,2.0,IND 11,0.0,3.0,Antonio Gibson left guard for 2 yards (tackle by DeForest Buckner and Rodney McLeod),5.14,5.14,8.0,2022,120
2.0,11:01,1.0,9.0,IND 9,6.0,3.0,"Taylor Heinicke pass complete short right to Antonio Gibson for 9 yards, touchdown",5.14,7.0,8.0,2022,120
2.0,10:55,,,IND 15,7.0,3.0,Joey Slye kicks extra point good,0.0,0.0,8.0,2022,120
2.0,10:55,,,WAS 35,7.0,3.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,120
2.0,10:55,1.0,10.0,IND 25,7.0,3.0,Sam Ehlinger pass complete short middle to Kylen Granson for 15 yards (tackle by Jamin Davis),0.61,1.6,8.0,2022,120
2.0,10:21,1.0,10.0,IND 40,7.0,3.0,Sam Ehlinger pass incomplete deep right intended for Alec Pierce,1.6,1.05,8.0,2022,120
2.0,10:16,2.0,10.0,IND 40,7.0,3.0,Nyheim Hines up the middle for 2 yards (tackle by Jamin Davis),1.05,0.63,8.0,2022,120
2.0,9:37,3.0,8.0,IND 42,7.0,3.0,Sam Ehlinger pass incomplete deep left intended for Alec Pierce,0.63,-0.59,8.0,2022,120
2.0,9:32,4.0,8.0,IND 42,7.0,3.0,"Matt Haack punts 48 yards, fair catch by Dax Milne at WAS-10",-0.59,0.38,8.0,2022,120
2.0,9:24,1.0,10.0,WAS 10,7.0,3.0,Antonio Gibson right tackle for 4 yards (tackle by E.J. Speed),-0.38,-0.46,8.0,2022,120
2.0,8:46,2.0,6.0,WAS 14,7.0,3.0,Taylor Heinicke pass complete deep left to Curtis Samuel for 20 yards (tackle by Brandon Facyson),-0.46,1.2,8.0,2022,120
2.0,8:02,1.0,10.0,WAS 34,7.0,3.0,Taylor Heinicke pass complete short left to Antonio Gibson for -4 yards (tackle by Grover Stewart),1.2,0.12,8.0,2022,120
2.0,7:15,2.0,14.0,WAS 30,7.0,3.0,Taylor Heinicke pass incomplete short middle intended for Curtis Samuel (defended by Grover Stewart),0.12,-0.56,8.0,2022,120
2.0,7:11,3.0,14.0,WAS 30,7.0,3.0,Taylor Heinicke scrambles right end for 9 yards (tackle by Grover Stewart and Bobby Okereke),-0.56,-0.78,8.0,2022,120
2.0,6:21,4.0,5.0,WAS 39,7.0,3.0,"Tress Way punts 51 yards, returned by Keke Coutee for 9 yards (tackle by Shaka Toney and Christian Holmes)",-0.78,-0.15,8.0,2022,120
2.0,6:11,1.0,10.0,IND 19,7.0,3.0,Parris Campbell left end for 28 yards (tackle by David Mayo and Bobby McCain),0.15,2.06,8.0,2022,120
2.0,5:32,1.0,10.0,IND 47,7.0,3.0,Nyheim Hines right end for 9 yards (tackle by Bobby McCain and Jamin Davis),2.06,2.73,8.0,2022,120
2.0,4:54,2.0,1.0,WAS 44,7.0,3.0,Jonathan Taylor up the middle for 8 yards (tackle by Darrick Forrest),2.73,3.18,8.0,2022,120
2.0,4:18,1.0,10.0,WAS 36,7.0,3.0,Jonathan Taylor right tackle for 9 yards (tackle by Bobby McCain and Kamren Curl),3.18,3.85,8.0,2022,120
2.0,3:42,2.0,1.0,WAS 27,7.0,3.0,"Sam Ehlinger right end for no gain (tackle by James Smith-Williams). Penalty on James Smith-Williams: Face Mask (15 Yards), 14 yards (accepted) (no play)",3.85,4.71,8.0,2022,120
2.0,3:24,1.0,10.0,WAS 13,7.0,3.0,Deon Jackson left end for -4 yards (tackle by Jonathan Allen),4.71,3.5,8.0,2022,120
2.0,2:43,2.0,14.0,WAS 17,7.0,3.0,"Sam Ehlinger sacked by Jonathan Allen for -6 yards. Sam Ehlinger fumbles, recovered by Daron Payne at WAS-22",3.5,-0.41,8.0,2022,120
2.0,2:35,1.0,10.0,WAS 22,7.0,3.0,Antonio Gibson left end for 5 yards (tackle by Julian Blackmon),0.41,0.54,8.0,2022,120
2.0,2:00,2.0,5.0,WAS 27,7.0,3.0,J.D. McKissic up the middle for 4 yards (tackle by Grover Stewart),0.54,0.37,8.0,2022,120
2.0,1:18,3.0,1.0,WAS 31,7.0,3.0,Brian Robinson up the middle for 2 yards (tackle by Grover Stewart and Kenny Moore),0.37,1.14,8.0,2022,120
2.0,0:50,1.0,10.0,WAS 33,7.0,3.0,Taylor Heinicke pass complete short right to Dax Milne for 4 yards (tackle by Isaiah Rodgers and Zaire Franklin),1.14,1.13,8.0,2022,120
2.0,0:44,,,,,,Timeout #1 by Washington Commanders,,,8.0,2022,120
2.0,0:44,2.0,6.0,WAS 37,7.0,3.0,Taylor Heinicke scrambles up the middle for 5 yards (tackle by Kenny Moore),1.13,1.09,8.0,2022,120
2.0,0:38,,,,,,Timeout #2 by Washington Commanders,,,8.0,2022,120
2.0,0:38,3.0,1.0,WAS 42,7.0,3.0,Taylor Heinicke pass incomplete short middle intended for J.D. McKissic,1.09,-0.59,8.0,2022,120
2.0,0:32,4.0,1.0,WAS 42,7.0,3.0,"Tress Way punts 44 yards, fair catch by Keke Coutee at IND-14",-0.59,0.28,8.0,2022,120
2.0,0:25,1.0,10.0,IND 14,7.0,3.0,Sam Ehlinger kneels for -1 yards,-0.28,-0.85,8.0,2022,120
3.0,15:00,,,IND 35,7.0,3.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,120
3.0,15:00,1.0,10.0,WAS 25,7.0,3.0,Taylor Heinicke pass complete short right to John Bates for 6 yards (tackle by Kenny Moore),0.61,0.87,8.0,2022,120
3.0,14:20,2.0,4.0,WAS 31,7.0,3.0,Curtis Samuel right end for 11 yards (tackle by Isaiah Rodgers),0.87,1.73,8.0,2022,120
3.0,13:43,1.0,10.0,WAS 42,7.0,3.0,Brian Robinson right tackle for no gain (tackle by Grover Stewart and Rodney McLeod),1.73,1.19,8.0,2022,120
3.0,13:03,2.0,10.0,WAS 42,7.0,3.0,Taylor Heinicke pass incomplete short right intended for Terry McLaurin (defended by Zaire Franklin),1.19,0.5,8.0,2022,120
3.0,12:59,3.0,10.0,WAS 42,7.0,3.0,Taylor Heinicke pass complete short middle to Terry McLaurin for 9 yards (tackle by Stephon Gilmore),0.5,0.0,8.0,2022,120
3.0,12:16,4.0,1.0,IND 49,7.0,3.0,Brian Robinson up the middle for -1 yards (tackle by E.J. Speed),0.0,-2.26,8.0,2022,120
3.0,12:11,1.0,10.0,IND 50,7.0,3.0,Sam Ehlinger scrambles up the middle for 7 yards (tackle by Kamren Curl),2.26,2.66,8.0,2022,120
3.0,11:42,2.0,3.0,WAS 43,7.0,3.0,Jonathan Taylor right tackle for 1 yard (tackle by Montez Sweat and Daron Payne),2.66,2.08,8.0,2022,120
3.0,11:10,3.0,2.0,WAS 42,7.0,3.0,Sam Ehlinger right end for 3 yards (tackle by Benjamin St-Juste),2.08,2.98,8.0,2022,120
3.0,10:36,1.0,10.0,WAS 39,7.0,3.0,Sam Ehlinger pass incomplete short right intended for Mo Alie-Cox,2.98,2.44,8.0,2022,120
3.0,10:31,2.0,10.0,WAS 39,7.0,3.0,Sam Ehlinger scrambles right end for 2 yards (tackle by Benjamin St-Juste),2.44,2.02,8.0,2022,120
3.0,9:56,3.0,8.0,WAS 37,7.0,3.0,Sam Ehlinger pass complete short left to Alec Pierce for 9 yards (tackle by Kendall Fuller),2.02,3.71,8.0,2022,120
3.0,9:18,1.0,10.0,WAS 28,7.0,3.0,Jonathan Taylor right tackle for 1 yard (tackle by Montez Sweat and Daron Payne),3.71,3.3,8.0,2022,120
3.0,8:38,2.0,9.0,WAS 27,7.0,3.0,Sam Ehlinger pass complete short right to Michael Pittman for 6 yards (tackle by Kamren Curl),3.3,3.4,8.0,2022,120
3.0,8:00,3.0,3.0,WAS 21,7.0,3.0,Jonathan Taylor right tackle for no gain (tackle by Daron Payne),3.4,2.16,8.0,2022,120
3.0,7:18,4.0,3.0,WAS 21,7.0,6.0,Chase McLaughlin 39 yard field goal good,2.16,3.0,8.0,2022,120
3.0,7:13,,,IND 35,7.0,6.0,"Chase McLaughlin kicks off 66 yards, returned by Antonio Gibson for 25 yards (tackle by Julian Blackmon)",0.0,0.54,8.0,2022,120
3.0,7:08,1.0,10.0,WAS 24,7.0,6.0,Antonio Gibson left end for no gain (tackle by Kenny Moore),0.54,0.0,8.0,2022,120
3.0,6:31,2.0,10.0,WAS 24,7.0,6.0,Taylor Heinicke pass incomplete short right intended for Armani Rogers,0.0,-0.69,8.0,2022,120
3.0,6:25,3.0,10.0,WAS 24,7.0,6.0,Taylor Heinicke pass complete short right to Terry McLaurin for 5 yards (tackle by Kenny Moore and Stephon Gilmore),-0.69,-1.44,8.0,2022,120
3.0,5:53,4.0,5.0,WAS 29,7.0,6.0,"Tress Way punts 48 yards, fair catch by Keke Coutee at IND-23",-1.44,-0.48,8.0,2022,120
3.0,5:46,1.0,10.0,IND 23,7.0,6.0,Jonathan Taylor right tackle for 1 yard (tackle by Benjamin St-Juste and James Smith-Williams),0.48,0.07,8.0,2022,120
3.0,5:14,2.0,9.0,IND 24,7.0,6.0,"Penalty on Matt Pryor: False Start, 5 yards (accepted) (no play)",0.07,-0.67,8.0,2022,120
3.0,4:55,2.0,14.0,IND 19,7.0,6.0,Sam Ehlinger pass complete deep right to Alec Pierce for 47 yards (tackle by Benjamin St-Juste),-0.67,3.31,8.0,2022,120
3.0,4:10,1.0,10.0,WAS 34,7.0,6.0,Jonathan Taylor left end for 8 yards (tackle by Rachad Wildgoose and Bobby McCain),3.31,3.85,8.0,2022,120
3.0,3:35,2.0,2.0,WAS 26,7.0,6.0,"Jonathan Taylor up the middle for 6 yards. Jonathan Taylor fumbles (forced by Darrick Forrest), recovered by Casey Toohill at WAS-15",3.85,0.22,8.0,2022,120
3.0,3:27,1.0,10.0,WAS 15,7.0,6.0,Curtis Samuel right tackle for 4 yards (tackle by Rodney McLeod and Grover Stewart),-0.22,-0.11,8.0,2022,120
3.0,2:48,2.0,6.0,WAS 19,7.0,6.0,Brian Robinson left guard for no gain (tackle by Rodney McLeod and Tyquan Lewis),-0.11,-0.88,8.0,2022,120
3.0,2:05,3.0,6.0,WAS 19,7.0,6.0,Taylor Heinicke sacked by and Yannick Ngakoue for -12 yards and Ifeadi Odenigbo for -12 yards,-0.88,-2.49,8.0,2022,120
3.0,1:26,4.0,18.0,WAS 7,7.0,6.0,"Tress Way punts 65 yards, returned by Keke Coutee for 10 yards (tackle by Shaka Toney)",-2.49,-1.47,8.0,2022,120
3.0,1:12,1.0,10.0,IND 38,7.0,6.0,Sam Ehlinger pass complete short left to Alec Pierce for 9 yards (tackle by Jamin Davis),1.47,2.14,8.0,2022,120
3.0,0:37,2.0,1.0,IND 47,7.0,6.0,"Sam Ehlinger scrambles for no gain. Penalty on Matt Pryor: Offensive Holding, 10 yards (accepted) (no play)",2.14,0.79,8.0,2022,120
3.0,0:11,2.0,11.0,IND 37,7.0,6.0,Sam Ehlinger pass complete short left to Parris Campbell for 38 yards (tackle by Bobby McCain),0.79,3.91,8.0,2022,120
4.0,15:00,1.0,10.0,WAS 25,7.0,6.0,Sam Ehlinger pass complete deep left to Nyheim Hines for 22 yards,3.91,6.51,8.0,2022,120
4.0,14:25,1.0,3.0,WAS 3,7.0,6.0,Sam Ehlinger left end for no gain (tackle by Jonathan Allen and Jonathan Bostic),6.51,5.53,8.0,2022,120
4.0,13:48,2.0,3.0,WAS 3,7.0,6.0,"Sam Ehlinger pass complete short middle to Michael Pittman for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Sam Ehlinger pass complete to Michael Pittman for 2 yards (tackle by Kamren Curl)",5.53,5.17,8.0,2022,120
4.0,13:18,3.0,1.0,WAS 1,7.0,6.0,Jonathan Taylor up the middle for -1 yards (tackle by Jamin Davis),5.17,3.25,8.0,2022,120
4.0,12:35,4.0,2.0,WAS 2,7.0,9.0,Chase McLaughlin 20 yard field goal good,3.25,3.0,8.0,2022,120
4.0,12:32,,,IND 35,7.0,9.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,120
4.0,12:23,1.0,10.0,WAS 25,7.0,9.0,Taylor Heinicke pass short right (defended by Tyquan Lewis) intended for Cam Sims is intercepted by Shaquille Leonard at WAS-39 and returned for 15 yards (tackle by Andrew Norwell),0.61,-3.97,8.0,2022,120
4.0,12:23,1.0,10.0,WAS 24,7.0,9.0,Sam Ehlinger pass complete short left to Kylen Granson for -2 yards (tackle by Jonathan Allen),3.97,3.16,8.0,2022,120
4.0,11:48,2.0,12.0,WAS 26,7.0,9.0,"Sam Ehlinger scrambles left end for no gain (tackle by Jonathan Bostic). Penalty on Quenton Nelson: Offensive Holding, 10 yards (accepted) (no play)",3.16,1.81,8.0,2022,120
4.0,11:22,2.0,22.0,WAS 36,7.0,9.0,"Sam Ehlinger pass incomplete deep right intended for Parris Campbell. Penalty on Rachad Wildgoose: Defensive Pass Interference, 30 yards (accepted) (no play)",1.81,5.83,8.0,2022,120
4.0,11:17,1.0,6.0,WAS 6,7.0,15.0,"Nyheim Hines left end for 6 yards, touchdown",5.83,7.0,8.0,2022,120
4.0,11:12,,,WAS 15,7.0,16.0,Chase McLaughlin kicks extra point good,0.0,0.0,8.0,2022,120
4.0,11:12,,,IND 35,7.0,16.0,"Chase McLaughlin kicks off 65 yards, returned by Antonio Gibson for 16 yards (tackle by Rodney McLeod). Penalty on Armani Rogers: Illegal Double-Team Block, 8 yards (accepted)",0.0,-0.38,8.0,2022,120
4.0,11:07,1.0,10.0,WAS 8,7.0,16.0,Taylor Heinicke pass complete short right to Antonio Gibson for 10 yards (tackle by Shaquille Leonard and Zaire Franklin),-0.38,0.04,8.0,2022,120
4.0,10:13,1.0,10.0,WAS 18,7.0,16.0,Taylor Heinicke pass complete short right to Antonio Gibson for 12 yards (tackle by Shaquille Leonard),0.04,0.94,8.0,2022,120
4.0,9:37,1.0,10.0,WAS 30,7.0,16.0,Taylor Heinicke pass complete deep right to Terry McLaurin for 18 yards (tackle by Rodney Thomas),0.94,2.13,8.0,2022,120
4.0,9:02,1.0,10.0,WAS 48,7.0,16.0,Taylor Heinicke pass incomplete deep left intended for Terry McLaurin,2.13,1.58,8.0,2022,120
4.0,8:57,2.0,10.0,WAS 48,7.0,16.0,Taylor Heinicke pass complete short left to Antonio Gibson for -3 yards (tackle by Zaire Franklin),1.58,0.5,8.0,2022,120
4.0,8:12,3.0,13.0,WAS 45,7.0,16.0,Taylor Heinicke pass complete short right to J.D. McKissic for 7 yards (tackle by Zaire Franklin),0.5,0.07,8.0,2022,120
4.0,7:32,4.0,6.0,IND 48,7.0,16.0,Taylor Heinicke pass complete short left to Curtis Samuel for 18 yards (tackle by Kenny Moore),0.07,3.58,8.0,2022,120
4.0,6:57,1.0,10.0,IND 30,7.0,16.0,Taylor Heinicke pass complete short left to Armani Rogers for 13 yards (tackle by Yannick Ngakoue),3.58,4.44,8.0,2022,120
4.0,6:19,1.0,10.0,IND 17,7.0,16.0,Taylor Heinicke scrambles left end for 4 yards (tackle by Bobby Okereke),4.44,4.5,8.0,2022,120
4.0,5:46,2.0,6.0,IND 13,7.0,16.0,Antonio Gibson up the middle for 3 yards (tackle by Zaire Franklin),4.5,4.34,8.0,2022,120
4.0,5:03,3.0,3.0,IND 10,7.0,16.0,Taylor Heinicke pass incomplete short right intended for J.D. McKissic,4.34,2.86,8.0,2022,120
4.0,4:59,4.0,3.0,IND 10,10.0,16.0,Joey Slye 28 yard field goal good,2.86,3.0,8.0,2022,120
4.0,4:55,,,WAS 35,10.0,16.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,120
4.0,4:55,1.0,10.0,IND 25,10.0,16.0,Jonathan Taylor up the middle for 2 yards (tackle by John Ridgeway and Jonathan Allen),0.61,0.33,8.0,2022,120
4.0,4:16,2.0,8.0,IND 27,10.0,16.0,Jonathan Taylor up the middle for 3 yards (tackle by Jonathan Allen),0.33,0.04,8.0,2022,120
4.0,3:38,3.0,5.0,IND 30,10.0,16.0,"Sam Ehlinger scrambles left end for 4 yards (tackle by Daron Payne) Replay Assistant challenged the first down ruling, and the play was upheld.",0.04,-1.11,8.0,2022,120
4.0,2:47,4.0,1.0,IND 34,10.0,16.0,"Matt Haack punts 56 yards, returned by Dax Milne for 1 yard (tackle by Dallis Flowers)",-1.11,0.37,8.0,2022,120
4.0,2:39,1.0,10.0,WAS 11,10.0,16.0,Taylor Heinicke pass complete short middle to Terry McLaurin for 6 yards (tackle by Bobby Okereke and Kenny Moore),-0.37,-0.16,8.0,2022,120
4.0,2:14,2.0,4.0,WAS 17,10.0,16.0,Taylor Heinicke scrambles left end for 1 yard (tackle by Grover Stewart),-0.16,-0.6,8.0,2022,120
4.0,2:00,3.0,3.0,WAS 18,10.0,16.0,J.D. McKissic up the middle for 2 yards (tackle by DeForest Buckner),-0.6,-2.03,8.0,2022,120
4.0,1:35,4.0,1.0,WAS 20,10.0,16.0,Taylor Heinicke pass complete short right to Curtis Samuel for 12 yards (tackle by Rodney McLeod),-2.03,1.07,8.0,2022,120
4.0,1:26,,,,,,Timeout #1 by Washington Commanders,,,8.0,2022,120
4.0,1:26,1.0,10.0,WAS 32,10.0,16.0,Taylor Heinicke pass complete short right to J.D. McKissic for 4 yards (tackle by Zaire Franklin and Isaiah Rodgers),1.07,1.07,8.0,2022,120
4.0,1:16,,,,,,Timeout #1 by Indianapolis Colts,,,8.0,2022,120
4.0,1:16,2.0,6.0,WAS 36,10.0,16.0,Taylor Heinicke scrambles left end for 9 yards (tackle by Stephon Gilmore),1.07,1.93,8.0,2022,120
4.0,1:06,1.0,10.0,WAS 45,10.0,16.0,Taylor Heinicke pass complete deep middle to Cam Sims for 21 yards (tackle by Julian Blackmon),1.93,3.31,8.0,2022,120
4.0,0:41,1.0,10.0,IND 34,10.0,16.0,Taylor Heinicke pass complete deep left to Terry McLaurin for 33 yards (tackle by Stephon Gilmore),3.31,6.97,8.0,2022,120
4.0,0:26,,,,,,Timeout #2 by Washington Commanders,,,8.0,2022,120
4.0,0:26,1.0,1.0,IND 1,16.0,16.0,"Taylor Heinicke right guard for 1 yard, touchdown",6.97,7.0,8.0,2022,120
4.0,0:22,,,IND 15,17.0,16.0,Joey Slye kicks extra point good,0.0,0.0,8.0,2022,120
4.0,0:22,,,WAS 35,17.0,16.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,120
4.0,0:22,1.0,10.0,IND 25,17.0,16.0,Sam Ehlinger pass incomplete deep left intended for Michael Pittman,0.61,0.06,8.0,2022,120
4.0,0:15,2.0,10.0,IND 25,17.0,16.0,Sam Ehlinger pass complete short left to Michael Pittman for 8 yards (tackle by Kendall Fuller),0.06,0.37,8.0,2022,120
4.0,0:06,3.0,3.0,IND 33,17.0,16.0,Sam Ehlinger pass complete short middle to Michael Pittman for 5 yards (tackle by Kendall Fuller),0.37,1.47,8.0,2022,120
