Quarter,Time,Down,ToGo,Location,GNB,BUF,Detail,EPB,EPA,week,year,game_id
1.0,7:30,1.0,10.0,GNB 47,0.0,0.0,Devin Singletary right guard for 30 yards (tackle by Darnell Savage),2.46,4.44,8.0,2022,122
1.0,6:49,,,,,,Timeout #1 by Buffalo Bills,,,8.0,2022,122
1.0,6:49,1.0,10.0,GNB 17,0.0,0.0,Devin Singletary right guard for 1 yard (tackle by Preston Smith),4.44,4.0,8.0,2022,122
1.0,6:09,2.0,9.0,GNB 16,0.0,0.0,Isaiah McKenzie right end for -5 yards (tackle by Kingsley Enagbare),4.0,2.68,8.0,2022,122
1.0,5:20,3.0,14.0,GNB 21,0.0,0.0,Josh Allen scrambles left end for 20 yards (tackle by Rasul Douglas and Adrian Amos),2.68,6.97,8.0,2022,122
1.0,4:32,1.0,1.0,GNB 1,0.0,0.0,Devin Singletary up the middle for no gain (tackle by Jarran Reed and Tedarrell Slaton),6.97,5.91,8.0,2022,122
1.0,3:40,2.0,1.0,GNB 1,0.0,6.0,"Josh Allen pass complete short left to Dawson Knox for 1 yard, touchdown",5.91,7.0,8.0,2022,122
1.0,3:34,,,GNB 15,0.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,8.0,2022,122
1.0,3:34,,,BUF 35,0.0,7.0,"Tyler Bass kicks off 62 yards, returned by Keisean Nixon for 17 yards (tackle by Jaquan Johnson)",0.0,0.28,8.0,2022,122
1.0,3:27,1.0,10.0,GNB 20,0.0,7.0,Aaron Rodgers pass incomplete deep middle intended for Romeo Doubs (defended by Dane Jackson),0.28,-0.27,8.0,2022,122
1.0,3:19,2.0,10.0,GNB 20,0.0,7.0,Aaron Rodgers pass complete short right to Robert Tonyan for 3 yards (tackle by Damar Hamlin),-0.27,-0.56,8.0,2022,122
1.0,2:37,3.0,7.0,GNB 23,0.0,7.0,Aaron Rodgers pass complete short right to Aaron Jones for 2 yards (tackle by Jordan Phillips and Ed Oliver),-0.56,-1.7,8.0,2022,122
1.0,1:53,4.0,5.0,GNB 25,0.0,7.0,"Pat O'Donnell punts 43 yards, returned by Khalil Shakir for 17 yards (tackle by Isaiah McDuffie and Patrick Taylor)",-1.7,-2.19,8.0,2022,122
1.0,1:41,1.0,10.0,BUF 49,0.0,7.0,Josh Allen sacked by Rasul Douglas for no gain,2.19,1.65,8.0,2022,122
1.0,1:00,2.0,10.0,BUF 49,0.0,7.0,Josh Allen pass complete short middle to Devin Singletary for 16 yards (tackle by De'Vondre Campbell),1.65,3.25,8.0,2022,122
1.0,0:24,1.0,10.0,GNB 35,0.0,7.0,"Josh Allen pass complete short right to Stefon Diggs for 9 yards. Stefon Diggs fumbles (forced by Quay Walker), recovered by Stefon Diggs at GB-26 (tackle by Quay Walker)",3.25,3.92,8.0,2022,122
2.0,15:00,2.0,1.0,GNB 26,0.0,13.0,"Josh Allen pass complete deep right to Stefon Diggs for 26 yards, touchdown",3.92,7.0,8.0,2022,122
2.0,14:53,,,GNB 15,0.0,14.0,Tyler Bass kicks extra point good,0.0,0.0,8.0,2022,122
2.0,14:53,,,BUF 35,0.0,14.0,"Tyler Bass kicks off 60 yards, returned by Keisean Nixon for 15 yards (tackle by Siran Neal and Cameron Lewis)",0.0,0.28,8.0,2022,122
2.0,14:47,1.0,10.0,GNB 20,0.0,14.0,Aaron Jones right end for 7 yards (tackle by Jordan Poyer),0.28,0.68,8.0,2022,122
2.0,14:11,2.0,3.0,GNB 27,0.0,14.0,AJ Dillon right guard for 7 yards (tackle by Matt Milano),0.68,1.2,8.0,2022,122
2.0,13:33,1.0,10.0,GNB 34,0.0,14.0,Aaron Jones left end for 5 yards (tackle by Tremaine Edmunds),1.2,1.33,8.0,2022,122
2.0,12:48,2.0,5.0,GNB 39,0.0,14.0,Aaron Jones up the middle for 4 yards (tackle by Ed Oliver and DaQuan Jones),1.33,1.16,8.0,2022,122
2.0,12:06,3.0,1.0,GNB 43,0.0,14.0,Aaron Jones up the middle for 3 yards (tackle by Boogie Basham),1.16,1.99,8.0,2022,122
2.0,11:29,1.0,10.0,GNB 46,0.0,14.0,Aaron Rodgers pass complete short left to Romeo Doubs for 7 yards (tackle by Dane Jackson),1.99,2.4,8.0,2022,122
2.0,10:48,2.0,3.0,BUF 47,0.0,14.0,AJ Dillon left tackle for 2 yards (tackle by Tremaine Edmunds and Damar Hamlin),2.4,1.95,8.0,2022,122
2.0,10:06,3.0,1.0,BUF 45,0.0,14.0,AJ Dillon up the middle for 1 yard (tackle by Gregory Rousseau and Tremaine Edmunds),1.95,2.65,8.0,2022,122
2.0,9:19,,,,,,Timeout #1 by Green Bay Packers,,,8.0,2022,122
2.0,9:19,1.0,10.0,BUF 44,0.0,14.0,"Aaron Rodgers sacked by Ed Oliver for no gain. Penalty on Dane Jackson: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",2.65,2.98,8.0,2022,122
2.0,8:45,1.0,10.0,BUF 39,0.0,14.0,Aaron Jones left end for 9 yards (tackle by Taron Johnson and Tremaine Edmunds),2.98,3.66,8.0,2022,122
2.0,8:05,2.0,1.0,BUF 30,0.0,14.0,Aaron Jones left guard for 13 yards (tackle by Christian Benford),3.66,4.44,8.0,2022,122
2.0,7:22,1.0,10.0,BUF 17,0.0,14.0,"Penalty on Amari Rodgers: False Start, 5 yards (accepted) (no play)",4.44,4.11,8.0,2022,122
2.0,7:03,1.0,15.0,BUF 22,0.0,14.0,Aaron Jones left guard for 3 yards (tackle by Von Miller),4.11,3.6,8.0,2022,122
2.0,6:21,2.0,12.0,BUF 19,6.0,14.0,"Aaron Rodgers pass complete deep right to Romeo Doubs for 19 yards, touchdown",3.6,7.0,8.0,2022,122
2.0,6:15,,,BUF 15,7.0,14.0,Mason Crosby kicks extra point good,0.0,0.0,8.0,2022,122
2.0,6:15,,,GNB 35,7.0,14.0,"Mason Crosby kicks off 68 yards, returned by Isaiah McKenzie for 23 yards (tackle by Rasul Douglas)",0.0,0.28,8.0,2022,122
2.0,6:10,1.0,10.0,BUF 20,7.0,14.0,Josh Allen pass complete short left to Dawson Knox for 9 yards (tackle by Adrian Amos),0.28,0.95,8.0,2022,122
2.0,5:31,2.0,1.0,BUF 29,7.0,14.0,James Cook right guard for 17 yards (tackle by Jarran Reed),0.95,1.99,8.0,2022,122
2.0,4:52,1.0,10.0,BUF 46,7.0,14.0,James Cook left end for 4 yards (tackle by Preston Smith),1.99,1.99,8.0,2022,122
2.0,4:06,2.0,6.0,BUF 50,7.0,14.0,"James Cook left end for 7 yards (tackle by Quay Walker). Penalty on Quay Walker: Disqualification / Defense, 15 yards (accepted)",1.99,3.71,8.0,2022,122
2.0,3:50,1.0,10.0,GNB 28,7.0,14.0,Josh Allen pass complete to Stefon Diggs for 7 yards (tackle by De'Vondre Campbell),3.71,4.11,8.0,2022,122
2.0,3:07,2.0,3.0,GNB 21,7.0,14.0,Josh Allen pass complete short middle to Isaiah McKenzie for 8 yards (tackle by Rasul Douglas),4.11,4.71,8.0,2022,122
2.0,2:26,1.0,10.0,GNB 13,7.0,14.0,Josh Allen up the middle for 6 yards (tackle by Darnell Savage),4.71,5.15,8.0,2022,122
2.0,2:00,2.0,4.0,GNB 7,7.0,20.0,"Isaiah McKenzie left end for 7 yards, touchdown",5.15,7.0,8.0,2022,122
2.0,1:54,,,GNB 15,7.0,21.0,Tyler Bass kicks extra point good,0.0,0.0,8.0,2022,122
2.0,1:54,,,BUF 35,7.0,21.0,"Tyler Bass kicks off 64 yards, returned by Keisean Nixon for 20 yards (tackle by Cameron Lewis)",0.0,0.34,8.0,2022,122
2.0,1:50,1.0,10.0,GNB 21,7.0,21.0,Aaron Jones left end for 11 yards (tackle by Jordan Poyer and Gregory Rousseau),0.34,1.07,8.0,2022,122
2.0,1:20,1.0,10.0,GNB 32,7.0,21.0,Aaron Rodgers pass incomplete deep middle intended for Robert Tonyan (defended by Tremaine Edmunds),1.07,0.53,8.0,2022,122
2.0,1:13,2.0,10.0,GNB 32,7.0,21.0,Aaron Rodgers sacked by Gregory Rousseau for -6 yards,0.53,-0.96,8.0,2022,122
2.0,1:07,,,,,,Timeout #2 by Buffalo Bills,,,8.0,2022,122
2.0,1:07,3.0,16.0,GNB 26,7.0,21.0,Aaron Jones left guard for 8 yards (tackle by Von Miller and Tremaine Edmunds),-0.96,-1.11,8.0,2022,122
2.0,1:01,,,,,,Timeout #3 by Buffalo Bills,,,8.0,2022,122
2.0,1:01,4.0,8.0,GNB 34,7.0,21.0,"Pat O'Donnell punts 46 yards, fair catch by Khalil Shakir at BUF-20",-1.11,-0.28,8.0,2022,122
2.0,0:53,1.0,10.0,BUF 20,7.0,21.0,Josh Allen pass complete deep middle to Stefon Diggs for 53 yards (tackle by Darnell Savage),0.28,3.78,8.0,2022,122
2.0,0:23,1.0,10.0,GNB 27,7.0,21.0,Josh Allen sacked by Eric Wilson for -2 yards,3.78,2.96,8.0,2022,122
2.0,0:17,2.0,12.0,GNB 29,7.0,21.0,"Josh Allen pass incomplete deep middle intended for Gabriel Davis. Penalty on Preston Smith: Defensive Offside, 5 yards (accepted) (no play)",2.96,3.64,8.0,2022,122
2.0,0:10,,,,,,Timeout #2 by Green Bay Packers,,,8.0,2022,122
2.0,0:10,2.0,7.0,GNB 24,7.0,21.0,Josh Allen pass incomplete deep left intended for Khalil Shakir (defended by Jaire Alexander),3.64,2.94,8.0,2022,122
2.0,0:03,,,,,,Timeout #3 by Green Bay Packers,,,8.0,2022,122
2.0,0:03,3.0,7.0,GNB 24,7.0,24.0,Tyler Bass 42 yard field goal good,2.94,3.0,8.0,2022,122
3.0,15:00,,,BUF 35,7.0,24.0,"Tyler Bass kicks off 64 yards, returned by Keisean Nixon for 15 yards (tackle by Tyler Bass). Penalty on Innis Gaines: Offensive Holding, 8 yards (accepted)",0.0,-0.38,8.0,2022,122
3.0,14:51,1.0,10.0,GNB 8,7.0,24.0,"Aaron Rodgers sacked by Gregory Rousseau for no gain. Penalty on Ed Oliver: Defensive Offside, 5 yards (accepted) (no play)",-0.38,-0.07,8.0,2022,122
3.0,14:27,1.0,5.0,GNB 13,7.0,24.0,Aaron Jones right guard for 32 yards (tackle by Dane Jackson),-0.07,1.93,8.0,2022,122
3.0,13:50,1.0,10.0,GNB 45,7.0,24.0,Aaron Jones left tackle for 11 yards (tackle by Tremaine Edmunds),1.93,2.65,8.0,2022,122
3.0,13:14,1.0,10.0,BUF 44,7.0,24.0,AJ Dillon right guard for no gain (tackle by DaQuan Jones and Damar Hamlin),2.65,2.11,8.0,2022,122
3.0,12:36,2.0,10.0,BUF 44,7.0,24.0,AJ Dillon right guard for 27 yards (tackle by Matt Milano),2.11,4.44,8.0,2022,122
3.0,11:56,1.0,10.0,BUF 17,7.0,24.0,AJ Dillon right end for -2 yards (tackle by Matt Milano),4.44,3.6,8.0,2022,122
3.0,11:20,2.0,12.0,BUF 19,7.0,24.0,Aaron Rodgers pass complete short left to Josiah Deguara for 9 yards (tackle by Damar Hamlin and Jordan Phillips),3.6,4.34,8.0,2022,122
3.0,10:36,3.0,3.0,BUF 10,7.0,24.0,"Aaron Rodgers pass complete short right to Robert Tonyan for no gain, touchdown. Penalty on Robert Tonyan: Offensive Pass Interference, 10 yards (accepted) (no play)",4.34,2.81,8.0,2022,122
3.0,10:29,3.0,13.0,BUF 20,7.0,24.0,Aaron Rodgers pass incomplete short left intended for Aaron Jones (defended by A.J. Epenesa),2.81,2.12,8.0,2022,122
3.0,10:24,4.0,13.0,BUF 20,10.0,24.0,Mason Crosby 38 yard field goal good,2.12,3.0,8.0,2022,122
3.0,10:20,,,GNB 35,10.0,24.0,"Mason Crosby kicks off 68 yards, returned by Isaiah McKenzie for 33 yards (tackle by Eric Wilson)",0.0,0.94,8.0,2022,122
3.0,10:08,1.0,10.0,BUF 30,10.0,24.0,"Josh Allen pass complete short right to Gabriel Davis for 9 yards. Penalty on Eric Wilson: Defensive Holding, 5 yards (accepted) (no play)",0.94,1.27,8.0,2022,122
3.0,9:53,1.0,10.0,BUF 35,10.0,24.0,Josh Allen pass incomplete deep left intended for Dawson Knox,1.27,0.72,8.0,2022,122
3.0,9:46,2.0,10.0,BUF 35,10.0,24.0,Josh Allen pass complete deep middle to Gabriel Davis for 29 yards (tackle by Adrian Amos),0.72,3.18,8.0,2022,122
3.0,9:11,1.0,10.0,GNB 36,10.0,24.0,Josh Allen pass incomplete short left intended for Khalil Shakir (defended by Rashan Gary),3.18,2.64,8.0,2022,122
3.0,9:05,2.0,10.0,GNB 36,10.0,24.0,Josh Allen scrambles left end for 10 yards (tackle by Isaiah McDuffie),2.64,3.84,8.0,2022,122
3.0,8:18,1.0,10.0,GNB 26,10.0,24.0,"Devin Singletary left guard for 8 yards. Penalty on Dion Dawkins: Offensive Holding, 10 yards (accepted) (no play)",3.84,3.18,8.0,2022,122
3.0,7:58,1.0,20.0,GNB 36,10.0,24.0,Devin Singletary left guard for 1 yard (tackle by Preston Smith and Eric Wilson),3.18,2.08,8.0,2022,122
3.0,7:16,2.0,19.0,GNB 35,10.0,24.0,Josh Allen pass complete short middle to Stefon Diggs for 6 yards (tackle by Rasul Douglas),2.08,2.21,8.0,2022,122
3.0,6:38,3.0,13.0,GNB 29,10.0,24.0,Josh Allen scrambles right tackle for 10 yards (tackle by Isaiah McDuffie and Kenny Clark),2.21,2.28,8.0,2022,122
3.0,6:03,4.0,3.0,GNB 19,10.0,27.0,Tyler Bass 38 yard field goal good,2.28,3.0,8.0,2022,122
3.0,5:59,,,BUF 35,10.0,27.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,122
3.0,5:59,1.0,10.0,GNB 25,10.0,27.0,Aaron Jones left tackle for 4 yards (tackle by Tremaine Edmunds and Damar Hamlin),0.61,0.6,8.0,2022,122
3.0,5:23,2.0,6.0,GNB 29,10.0,27.0,Aaron Jones right guard for 4 yards (tackle by DaQuan Jones and Taron Johnson),0.6,0.43,8.0,2022,122
3.0,4:37,3.0,2.0,GNB 33,10.0,27.0,Aaron Jones left guard for 7 yards (tackle by Boogie Basham),0.43,1.6,8.0,2022,122
3.0,4:05,1.0,10.0,GNB 40,10.0,27.0,AJ Dillon right end for 5 yards (tackle by Tremaine Edmunds and Damar Hamlin),1.6,1.73,8.0,2022,122
3.0,3:25,2.0,5.0,GNB 45,10.0,27.0,AJ Dillon right guard for 9 yards (tackle by Matt Milano and Damar Hamlin),1.73,2.52,8.0,2022,122
3.0,2:36,1.0,10.0,BUF 46,10.0,27.0,AJ Dillon right guard for 3 yards (tackle by Dane Jackson and Boogie Basham),2.52,2.38,8.0,2022,122
3.0,1:57,2.0,7.0,BUF 43,10.0,27.0,Aaron Jones left end for 8 yards (tackle by Gregory Rousseau),2.38,3.25,8.0,2022,122
3.0,1:14,1.0,10.0,BUF 35,10.0,27.0,Aaron Rodgers pass complete short middle to Aaron Jones for no gain (tackle by Jordan Poyer and Tim Settle),3.25,2.7,8.0,2022,122
3.0,0:30,2.0,10.0,BUF 35,10.0,27.0,Aaron Rodgers pass complete short left to Robert Tonyan for 3 yards (tackle by Taron Johnson),2.7,2.41,8.0,2022,122
4.0,15:00,3.0,7.0,BUF 32,10.0,27.0,Aaron Jones left guard for 6 yards (tackle by Tremaine Edmunds),2.41,1.89,8.0,2022,122
4.0,14:18,4.0,1.0,BUF 26,10.0,27.0,Aaron Jones up the middle for -1 yards (tackle by Taron Johnson),1.89,-0.81,8.0,2022,122
4.0,14:12,1.0,10.0,BUF 28,10.0,27.0,Josh Allen pass incomplete deep right intended for Stefon Diggs,0.81,0.26,8.0,2022,122
4.0,14:06,2.0,10.0,BUF 28,10.0,27.0,Josh Allen pass incomplete short middle intended for Gabriel Davis,0.26,-0.43,8.0,2022,122
4.0,14:03,3.0,10.0,BUF 28,10.0,27.0,"Josh Allen pass incomplete deep middle intended for Stefon Diggs. Penalty on Rasul Douglas: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",-0.43,1.07,8.0,2022,122
4.0,13:57,1.0,10.0,BUF 32,10.0,27.0,Devin Singletary right tackle for -4 yards (tackle by Kingsley Enagbare),1.07,-0.01,8.0,2022,122
4.0,13:15,2.0,14.0,BUF 28,10.0,27.0,"Josh Allen pass complete short left to Gabriel Davis for no gain. Penalty on Kingsley Enagbare: Defensive Offside, 5 yards (accepted) (no play)",-0.01,0.66,8.0,2022,122
4.0,12:51,2.0,9.0,BUF 33,10.0,27.0,Josh Allen pass incomplete short left intended for Devin Singletary,0.66,-0.1,8.0,2022,122
4.0,12:46,3.0,10.0,BUF 33,10.0,27.0,"Josh Allen pass deep middle intended for Gabriel Davis is intercepted by Rasul Douglas at GB-47 and returned for -1 yards, lateral to Jaire Alexander for no gain (tackle by Devin Singletary)",-0.1,-2.06,8.0,2022,122
4.0,12:34,1.0,10.0,GNB 47,10.0,27.0,Aaron Rodgers pass short middle (defended by Tim Settle) intended for Amari Rodgers is intercepted by Matt Milano at GB-44 and returned for no gain (tackle by Zach Tom),2.06,-2.65,8.0,2022,122
4.0,12:29,1.0,10.0,GNB 44,10.0,27.0,Devin Singletary left end for -4 yards (tackle by Preston Smith),2.65,1.57,8.0,2022,122
4.0,11:44,2.0,14.0,GNB 48,10.0,27.0,Josh Allen pass complete deep left to James Cook for 41 yards (tackle by Darnell Savage),1.57,5.6,8.0,2022,122
4.0,10:57,1.0,7.0,GNB 7,10.0,27.0,James Cook left guard for 4 yards (tackle by Adrian Amos),5.6,5.53,8.0,2022,122
4.0,10:16,2.0,3.0,GNB 3,10.0,27.0,Josh Allen pass incomplete short right intended for Stefon Diggs,5.53,4.72,8.0,2022,122
4.0,10:12,3.0,3.0,GNB 3,10.0,27.0,Josh Allen pass short right intended for Gabriel Davis is intercepted by Jaire Alexander at GB-3 and returned for 3 yards (tackle by Gabriel Davis),4.72,0.38,8.0,2022,122
4.0,10:05,1.0,10.0,GNB 5,10.0,27.0,Aaron Jones left end for 1 yard (tackle by Taron Johnson and Tim Settle),-0.38,-0.71,8.0,2022,122
4.0,9:24,2.0,9.0,GNB 6,10.0,27.0,Aaron Rodgers pass complete short middle to Robert Tonyan for 5 yards (tackle by Tremaine Edmunds),-0.71,-0.72,8.0,2022,122
4.0,8:44,3.0,4.0,GNB 11,10.0,27.0,Aaron Rodgers pass complete short right to Robert Tonyan for 15 yards (tackle by Taron Johnson),-0.72,0.67,8.0,2022,122
4.0,8:03,1.0,10.0,GNB 26,10.0,27.0,Aaron Rodgers pass complete deep left to Romeo Doubs for 26 yards (tackle by Taron Johnson),0.67,2.39,8.0,2022,122
4.0,7:25,1.0,10.0,BUF 48,10.0,27.0,Aaron Rodgers pass incomplete short left intended for Amari Rodgers (defended by Dane Jackson),2.39,1.85,8.0,2022,122
4.0,7:20,2.0,10.0,BUF 48,10.0,27.0,Aaron Rodgers scrambles left guard for 11 yards (tackle by Damar Hamlin),1.85,3.12,8.0,2022,122
4.0,6:47,1.0,10.0,BUF 37,10.0,27.0,Aaron Rodgers pass incomplete deep right intended for Samori Toure,3.12,2.57,8.0,2022,122
4.0,6:42,2.0,10.0,BUF 37,16.0,27.0,"Aaron Rodgers pass complete deep middle to Samori Toure for 37 yards, touchdown",2.57,7.0,8.0,2022,122
4.0,6:32,,,BUF 15,17.0,27.0,Mason Crosby kicks extra point good,0.0,0.0,8.0,2022,122
4.0,6:32,,,GNB 35,17.0,27.0,"Mason Crosby kicks off 55 yards, returned by Isaiah McKenzie for 16 yards (tackle by Keisean Nixon)",0.0,0.67,8.0,2022,122
4.0,6:25,1.0,10.0,BUF 26,17.0,27.0,Devin Singletary right guard for 7 yards (tackle by Rashan Gary),0.67,1.07,8.0,2022,122
4.0,5:49,2.0,3.0,BUF 33,17.0,27.0,Josh Allen pass complete short right to Stefon Diggs for 7 yards (tackle by Eric Wilson),1.07,1.6,8.0,2022,122
4.0,5:14,1.0,10.0,BUF 40,17.0,27.0,Josh Allen pass complete short left to Gabriel Davis for 6 yards (tackle by Rasul Douglas and Jaire Alexander),1.6,1.86,8.0,2022,122
4.0,4:35,2.0,4.0,BUF 46,17.0,27.0,Devin Singletary left guard for 3 yards (tackle by Kenny Clark and Preston Smith),1.86,1.55,8.0,2022,122
4.0,3:53,3.0,1.0,BUF 49,17.0,27.0,Josh Allen left guard for 4 yards (tackle by Kenny Clark and Isaiah McDuffie),1.55,2.46,8.0,2022,122
4.0,3:47,,,,,,Timeout #1 by Green Bay Packers,,,8.0,2022,122
4.0,3:47,1.0,10.0,GNB 47,17.0,27.0,Devin Singletary right guard for 9 yards (tackle by Isaiah McDuffie),2.46,3.13,8.0,2022,122
4.0,3:42,,,,,,Timeout #2 by Green Bay Packers,,,8.0,2022,122
4.0,3:42,2.0,1.0,GNB 38,17.0,27.0,Devin Singletary up the middle for 4 yards (tackle by Dean Lowry and Kenny Clark),3.13,3.31,8.0,2022,122
4.0,3:42,1.0,10.0,GNB 34,17.0,27.0,"Penalty on Gabriel Davis: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",3.31,2.32,8.0,2022,122
4.0,3:36,1.0,10.0,GNB 49,17.0,27.0,Devin Singletary right guard for no gain (tackle by Adrian Amos),2.32,1.78,8.0,2022,122
4.0,3:30,,,,,,Timeout #3 by Green Bay Packers,,,8.0,2022,122
4.0,3:30,2.0,10.0,GNB 49,17.0,27.0,James Cook left end for 3 yards (tackle by Jarran Reed and Tedarrell Slaton),1.78,1.49,8.0,2022,122
4.0,2:42,3.0,7.0,GNB 46,17.0,27.0,"Josh Allen pass incomplete short right intended for Jake Kumerow. Penalty on Dion Dawkins: Ineligible Downfield Pass, 5 yards (declined)",1.49,0.2,8.0,2022,122
4.0,2:42,4.0,7.0,GNB 46,17.0,27.0,"Sam Martin punts 29 yards, fair catch by Amari Rodgers at GB-17",0.2,0.06,8.0,2022,122
4.0,2:34,1.0,10.0,GNB 17,17.0,27.0,Aaron Rodgers pass complete short left to Robert Tonyan for 9 yards (tackle by Tremaine Edmunds),-0.06,0.75,8.0,2022,122
4.0,2:08,2.0,1.0,GNB 26,17.0,27.0,Aaron Rodgers pass complete short left to Romeo Doubs for 10 yards (tackle by Kaiir Elam),0.75,1.33,8.0,2022,122
4.0,2:00,1.0,10.0,GNB 36,17.0,27.0,Aaron Rodgers pass complete short right to Aaron Jones for 5 yards (tackle by Tremaine Edmunds and Damar Hamlin),1.33,1.47,8.0,2022,122
4.0,1:29,2.0,5.0,GNB 41,17.0,27.0,Aaron Rodgers pass incomplete short left intended for Samori Toure,1.47,0.76,8.0,2022,122
4.0,1:23,3.0,5.0,GNB 41,17.0,27.0,Aaron Rodgers pass complete deep left to Amari Rodgers for 22 yards (tackle by Kaiir Elam),0.76,3.12,8.0,2022,122
4.0,1:00,1.0,10.0,BUF 37,17.0,27.0,Aaron Rodgers pass incomplete short right,3.12,2.57,8.0,2022,122
4.0,0:54,2.0,10.0,BUF 37,17.0,27.0,Aaron Rodgers pass incomplete short right intended for Romeo Doubs,2.57,1.88,8.0,2022,122
4.0,0:48,3.0,10.0,BUF 37,17.0,27.0,Aaron Rodgers pass incomplete deep middle intended for Samori Toure,1.88,0.79,8.0,2022,122
4.0,0:43,,,,,,Timeout #1 by Buffalo Bills,,,8.0,2022,122
4.0,0:43,4.0,10.0,BUF 37,17.0,27.0,Mason Crosby 55 yard field goal no good,0.79,-1.93,8.0,2022,122
4.0,0:38,1.0,10.0,BUF 45,17.0,27.0,Josh Allen kneels for -1 yards,1.93,1.25,8.0,2022,122
