Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,year,week
15.0,Denver Broncos,1.0,20.0,317.0,71.0,4.5,4.0,2.0,20.0,25.0,40.0,166.0,1.0,2.0,4.0,9.0,30.0,151.0,1.0,5.0,5.0,6.0,45.0,6.0,28.6,21.4,-8.07,2025,1
16.0,Las Vegas Raiders,1.0,20.0,389.0,62.0,6.3,1.0,0.0,21.0,24.0,34.0,333.0,1.0,1.0,8.8,17.0,24.0,56.0,1.0,2.3,3.0,9.0,81.0,1.0,33.3,8.3,7.21,2025,1
17.0,Atlanta Falcons,1.0,20.0,358.0,71.0,5.0,,0.0,23.0,27.0,42.0,289.0,1.0,0.0,6.7,16.0,28.0,69.0,1.0,2.5,4.0,8.0,55.0,3.0,40.0,0.0,9.79,2025,1
18.0,Arizona Cardinals,1.0,20.0,276.0,61.0,4.5,,0.0,19.0,21.0,29.0,130.0,2.0,0.0,3.8,11.0,27.0,146.0,0.0,5.4,5.0,9.0,54.0,3.0,44.4,0.0,5.26,2025,1
19.0,Dallas Cowboys,1.0,20.0,307.0,56.0,5.5,1.0,1.0,22.0,21.0,34.0,188.0,0.0,0.0,5.5,9.0,22.0,119.0,2.0,5.4,7.0,4.0,42.0,6.0,50.0,12.5,10.85,2025,1
20.0,Cincinnati Bengals,1.0,17.0,141.0,49.0,2.9,,0.0,11.0,14.0,23.0,95.0,1.0,0.0,3.7,7.0,23.0,46.0,1.0,2.0,3.0,7.0,33.0,1.0,30.0,0.0,-2.91,2025,1
21.0,San Francisco 49ers,1.0,17.0,384.0,72.0,5.3,2.0,0.0,24.0,26.0,35.0,265.0,2.0,2.0,7.4,15.0,36.0,119.0,0.0,3.3,7.0,9.0,61.0,2.0,27.3,18.2,9.55,2025,1
22.0,Cleveland Browns,1.0,16.0,327.0,71.0,4.6,2.0,0.0,22.0,31.0,45.0,278.0,1.0,2.0,5.9,13.0,24.0,49.0,1.0,2.0,5.0,7.0,53.0,4.0,30.0,20.0,1.76,2025,1
23.0,Los Angeles Rams,1.0,14.0,296.0,57.0,5.2,1.0,1.0,18.0,21.0,29.0,224.0,1.0,0.0,7.0,13.0,25.0,72.0,1.0,2.9,3.0,7.0,60.0,2.0,22.2,11.1,4.69,2025,1
24.0,New Orleans Saints,1.0,13.0,315.0,69.0,4.6,,0.0,21.0,27.0,46.0,208.0,0.0,0.0,4.4,12.0,22.0,107.0,1.0,4.9,5.0,13.0,89.0,4.0,30.0,0.0,1.36,2025,1
25.0,New England Patriots,1.0,13.0,336.0,68.0,4.9,1.0,0.0,18.0,30.0,46.0,276.0,1.0,1.0,5.5,15.0,18.0,60.0,0.0,3.3,2.0,9.0,70.0,1.0,27.3,9.1,1.07,2025,1
26.0,Seattle Seahawks,1.0,13.0,230.0,50.0,4.6,2.0,2.0,14.0,16.0,23.0,146.0,0.0,0.0,6.1,6.0,26.0,84.0,1.0,3.2,6.0,4.0,30.0,2.0,30.0,20.0,-4.44,2025,1
27.0,Detroit Lions,1.0,13.0,246.0,65.0,3.8,1.0,0.0,16.0,31.0,39.0,200.0,1.0,1.0,4.7,13.0,22.0,46.0,0.0,2.1,2.0,7.0,40.0,1.0,33.3,11.1,-1.14,2025,1
28.0,Tennessee Titans,1.0,12.0,133.0,55.0,2.4,2.0,2.0,7.0,12.0,28.0,62.0,0.0,0.0,1.8,5.0,21.0,71.0,0.0,3.4,2.0,13.0,131.0,,28.6,14.3,-27.39,2025,1
29.0,Carolina Panthers,1.0,10.0,255.0,61.0,4.2,3.0,1.0,15.0,18.0,35.0,142.0,1.0,2.0,3.9,8.0,25.0,113.0,0.0,4.5,5.0,4.0,35.0,2.0,20.0,30.0,-9.69,2025,1
30.0,Houston Texans,1.0,9.0,265.0,57.0,4.6,2.0,1.0,18.0,19.0,27.0,151.0,0.0,1.0,5.0,7.0,27.0,114.0,0.0,4.2,8.0,11.0,80.0,3.0,33.3,22.2,-5.99,2025,1
31.0,Miami Dolphins,1.0,8.0,211.0,46.0,4.6,3.0,1.0,12.0,19.0,31.0,133.0,1.0,2.0,3.9,9.0,12.0,78.0,0.0,6.5,3.0,3.0,15.0,,14.3,42.9,-3.89,2025,1
32.0,New York Giants,1.0,6.0,231.0,62.0,3.7,,0.0,17.0,17.0,37.0,157.0,0.0,0.0,4.0,9.0,23.0,74.0,0.0,3.2,4.0,6.0,35.0,4.0,22.2,0.0,-6.91,2025,1
,Avg Team,,20.7,311.8,60.7,5.1,0.9,0.4,18.8,21.2,32.3,202.6,1.2,0.5,5.9,10.7,26.2,109.2,1.0,4.2,6.1,7.5,60.4,2.1,40.2,8.7,4.1,2025,1
,League Total,,661.0,9979.0,1942.0,5.1,30.0,14.0,603.0,679.0,1035.0,6484.0,38.0,16.0,5.9,341.0,838.0,3495.0,31.0,4.2,195.0,240.0,1932.0,67.0,40.2,8.7,,2025,1
,Avg Tm/G,,20.7,311.8,60.7,5.1,0.9,0.4,18.8,21.2,32.3,202.6,1.2,0.5,5.9,10.7,26.2,109.2,1.0,4.2,6.1,7.5,60.4,2.1,40.2,8.7,,2025,1
