Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP,year,week
24.0,Houston Texans,1.0,19.0,27.0,70.4,151.0,0.0,,1.0,3.7,23.0,7.0,5.3,9.9,151.0,74.3,3.0,37.0,10.0,5.0,3.5,,,-7.2,2025,1
25.0,Seattle Seahawks,1.0,16.0,23.0,69.6,146.0,0.0,,,,40.0,6.5,6.5,9.4,146.0,87.2,1.0,4.0,4.2,6.1,6.1,,,-2.82,2025,1
26.0,Philadelphia Eagles,1.0,19.0,23.0,82.6,144.0,0.0,,,,51.0,6.6,6.6,8.0,144.0,94.2,1.0,8.0,4.2,6.0,6.0,,,3.98,2025,1
27.0,Carolina Panthers,1.0,18.0,35.0,51.4,142.0,1.0,2.9,2.0,5.7,27.0,4.4,2.4,8.6,142.0,49.0,1.0,12.0,2.8,3.9,2.0,,,-8.0,2025,1
28.0,Minnesota Vikings,1.0,13.0,20.0,65.0,134.0,2.0,10.0,1.0,5.0,28.0,7.2,6.9,11.0,134.0,98.5,3.0,9.0,13.0,5.8,5.6,1.0,1.0,-3.66,2025,1
29.0,Miami Dolphins,1.0,19.0,31.0,61.3,133.0,1.0,3.2,2.0,6.5,21.0,4.7,2.5,7.7,133.0,56.7,3.0,13.0,8.8,3.9,1.9,,,-7.97,2025,1
30.0,Arizona Cardinals,1.0,21.0,29.0,72.4,130.0,2.0,6.9,,,45.0,5.6,7.0,7.8,130.0,108.8,5.0,33.0,14.7,3.8,5.0,,,3.94,2025,1
31.0,Cincinnati Bengals,1.0,14.0,23.0,60.9,95.0,1.0,4.3,,,20.0,4.9,5.8,8.1,95.0,87.8,3.0,18.0,11.5,3.7,4.4,,,2.56,2025,1
32.0,Tennessee Titans,1.0,12.0,28.0,42.9,62.0,0.0,,,,29.0,4.0,4.0,9.3,62.0,54.5,6.0,50.0,17.6,1.8,1.8,,,-18.07,2025,1
,Avg Team,,21.2,32.3,65.6,202.6,1.2,3.7,0.5,1.5,34.0,6.7,6.7,10.2,202.6,90.5,2.2,14.3,6.3,5.87,5.9,0.2,0.2,4.7,2025,1
,League Total,,679.0,1035.0,65.6,6484.0,38.0,3.7,16.0,1.5,51.0,6.7,6.7,10.2,202.6,90.5,69.0,456.0,6.3,5.87,5.9,5.0,5.0,,2025,1
,Avg Tm/G,,21.2,32.3,65.6,202.6,1.2,3.7,0.5,1.5,,6.7,6.7,10.2,202.6,90.5,2.2,14.3,6.3,5.87,5.9,,,,2025,1
