Quarter,Time,Down,ToGo,Location,HOU,NYG,Detail,EPB,EPA,week,year,game_id
1.0,9:31,2.0,12.0,HOU 42,0.0,0.0,Daniel Jones pass complete short middle to Darius Slayton for 36 yards (tackle by Jonathan Owens),2.1,5.83,10.0,2022,142
1.0,8:48,1.0,6.0,HOU 6,0.0,0.0,Saquon Barkley right tackle for 4 yards (tackle by Jake Hansen and Jonathan Owens) (no play),5.83,4.77,10.0,2022,142
1.0,8:36,1.0,11.0,HOU 11,0.0,0.0,Saquon Barkley right end for 2 yards (tackle by Derek Stingley),4.77,4.38,10.0,2022,142
1.0,7:57,2.0,9.0,HOU 9,0.0,6.0,"Daniel Jones pass complete short left to Lawrence Cager for 9 yards, touchdown",4.38,7.0,10.0,2022,142
1.0,7:51,,,HOU 15,0.0,7.0,Graham Gano kicks extra point good,0.0,0.0,10.0,2022,142
1.0,7:51,,,NYG 35,0.0,7.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,142
1.0,7:51,1.0,10.0,HOU 25,0.0,7.0,Dameon Pierce left end for no gain (tackle by Leonard Williams),0.61,0.06,10.0,2022,142
1.0,7:11,2.0,10.0,HOU 25,0.0,7.0,Davis Mills pass complete short left to Nico Collins for 6 yards (tackle by Fabian Moreau and Oshane Ximines),0.06,0.17,10.0,2022,142
1.0,6:27,3.0,4.0,HOU 31,0.0,7.0,Davis Mills pass incomplete short left intended for Nico Collins (defended by Fabian Moreau),0.17,-1.31,10.0,2022,142
1.0,6:22,4.0,4.0,HOU 31,0.0,7.0,"Cameron Johnston punts 45 yards, fair catch by Adoree' Jackson at NYG-24",-1.31,-0.54,10.0,2022,142
1.0,6:14,1.0,10.0,NYG 24,0.0,7.0,Saquon Barkley right tackle for 1 yard (tackle by Maliek Collins and Roy Lopez),0.54,0.13,10.0,2022,142
1.0,5:52,2.0,9.0,NYG 25,0.0,7.0,Daniel Jones pass incomplete short left intended for Kenny Golladay,0.13,-0.56,10.0,2022,142
1.0,5:46,3.0,9.0,NYG 25,0.0,7.0,Daniel Jones scrambles up the middle for 5 yards (tackle by Blake Cashman),-0.56,-1.37,10.0,2022,142
1.0,5:06,4.0,4.0,NYG 30,0.0,7.0,"Jamie Gillan punts 49 yards, returned by Desmond King for -1 yards (tackle by Cam Brown and Julian Love)",-1.37,-0.28,10.0,2022,142
1.0,4:55,1.0,10.0,HOU 20,0.0,7.0,Davis Mills pass incomplete short left intended for Brandin Cooks,0.28,-0.27,10.0,2022,142
1.0,4:52,2.0,10.0,HOU 20,0.0,7.0,Dameon Pierce right tackle for no gain (tackle by Jaylon Smith and Leonard Williams),-0.27,-0.96,10.0,2022,142
1.0,4:06,3.0,10.0,HOU 20,0.0,7.0,Davis Mills pass complete short left to Phillip Dorsett for 4 yards (tackle by Adoree' Jackson),-0.96,-1.77,10.0,2022,142
1.0,3:38,4.0,6.0,HOU 24,0.0,7.0,"Cameron Johnston punts 46 yards, returned by Adoree' Jackson for no gain (tackle by Jalen Reeves-Maybin)",-1.77,-0.94,10.0,2022,142
1.0,3:26,1.0,10.0,NYG 30,0.0,7.0,Daniel Jones pass incomplete short right intended for Chris Myarick (defended by Christian Harris),0.94,0.39,10.0,2022,142
1.0,3:22,2.0,10.0,NYG 30,0.0,7.0,Daniel Jones pass complete short middle to Isaiah Hodgins for 15 yards (tackle by Christian Harris),0.39,1.93,10.0,2022,142
1.0,2:51,1.0,10.0,NYG 45,0.0,7.0,Saquon Barkley right guard for 4 yards (tackle by Tavierre Thomas and Christian Kirksey),1.93,1.92,10.0,2022,142
1.0,2:21,2.0,6.0,NYG 49,0.0,7.0,Saquon Barkley right end for 6 yards (tackle by Thomas Booker),1.92,2.59,10.0,2022,142
1.0,1:43,1.0,10.0,HOU 45,0.0,7.0,Saquon Barkley left guard for 2 yards (tackle by Tavierre Thomas and Mario Addison),2.59,2.31,10.0,2022,142
1.0,1:16,2.0,8.0,HOU 43,0.0,7.0,Daniel Jones scrambles right end for 6 yards (tackle by Ogbonnia Okoronkwo),2.31,2.41,10.0,2022,142
1.0,0:46,3.0,2.0,HOU 37,0.0,7.0,Saquon Barkley left tackle for 1 yard (tackle by Jerry Hughes),2.41,0.89,10.0,2022,142
2.0,15:00,4.0,1.0,HOU 36,0.0,7.0,"Penalty on Jack Anderson: False Start, 4 yards (accepted) (no play)",0.89,0.59,10.0,2022,142
2.0,15:00,4.0,5.0,HOU 40,0.0,7.0,"Jamie Gillan punts 40 yards, touchback.",0.59,-0.28,10.0,2022,142
2.0,14:53,1.0,10.0,HOU 20,0.0,7.0,Dameon Pierce up the middle for 12 yards (tackle by Jaylon Smith and Julian Love),0.28,1.07,10.0,2022,142
2.0,14:23,1.0,10.0,HOU 32,0.0,7.0,Dameon Pierce right tackle for 5 yards (tackle by Tomon Fox and Tae Crowder),1.07,1.2,10.0,2022,142
2.0,13:38,2.0,5.0,HOU 37,0.0,7.0,Dameon Pierce right tackle for 44 yards (tackle by Julian Love),1.2,4.31,10.0,2022,142
2.0,12:57,1.0,10.0,NYG 19,0.0,7.0,Davis Mills pass complete short left to Brandin Cooks for 1 yard (tackle by Leonard Williams),4.31,3.88,10.0,2022,142
2.0,12:21,2.0,9.0,NYG 18,0.0,7.0,Dameon Pierce left guard for -1 yards (tackle by Dexter Lawrence),3.88,3.03,10.0,2022,142
2.0,11:36,3.0,10.0,NYG 19,0.0,7.0,Davis Mills pass incomplete short right intended for Chris Moore (defended by Adoree' Jackson),3.03,2.18,10.0,2022,142
2.0,11:32,4.0,10.0,NYG 19,3.0,7.0,Ka'imi Fairbairn 38 yard field goal good,2.18,3.0,10.0,2022,142
2.0,11:27,,,HOU 35,3.0,7.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,142
2.0,11:27,1.0,10.0,NYG 25,3.0,7.0,Saquon Barkley left tackle for 4 yards (tackle by Jaleel Johnson and Jake Hansen),0.61,0.6,10.0,2022,142
2.0,10:54,2.0,6.0,NYG 29,3.0,7.0,Saquon Barkley right end for 27 yards (tackle by Jonathan Owens),0.6,2.65,10.0,2022,142
2.0,10:10,1.0,10.0,HOU 44,3.0,7.0,Saquon Barkley left guard for 8 yards (tackle by Eric Murray and Jonathan Owens),2.65,3.19,10.0,2022,142
2.0,9:42,2.0,2.0,HOU 36,3.0,7.0,Saquon Barkley up the middle for 1 yard (tackle by Christian Kirksey and Eric Murray),3.19,2.61,10.0,2022,142
2.0,9:06,3.0,1.0,HOU 35,3.0,7.0,Matt Breida up the middle for 8 yards (tackle by Jonathan Owens and Rasheem Green),2.61,3.78,10.0,2022,142
2.0,8:25,1.0,10.0,HOU 27,3.0,7.0,Wan'Dale Robinson right end for -5 yards (tackle by Kurt Hinish and Jalen Pitre),3.78,2.56,10.0,2022,142
2.0,7:38,2.0,15.0,HOU 32,3.0,7.0,Matt Breida right tackle for no gain (tackle by Jalen Pitre and Christian Harris),2.56,1.88,10.0,2022,142
2.0,7:01,3.0,15.0,HOU 32,3.0,7.0,Daniel Jones sacked by and Christian Kirksey for -8 yards and Maliek Collins for -8 yards,1.88,0.59,10.0,2022,142
2.0,6:09,4.0,23.0,HOU 40,3.0,7.0,Jamie Gillan punts 14 yards downed by Julian Love,0.59,-0.67,10.0,2022,142
2.0,5:59,1.0,10.0,HOU 26,3.0,7.0,Dameon Pierce left guard for 3 yards (tackle by Fabian Moreau),0.67,0.54,10.0,2022,142
2.0,5:15,2.0,7.0,HOU 29,3.0,7.0,Davis Mills pass complete short left to Brandin Cooks for 5 yards (tackle by Adoree' Jackson),0.54,0.5,10.0,2022,142
2.0,4:33,3.0,2.0,HOU 34,3.0,7.0,Dameon Pierce right end for 3 yards (tackle by Darnay Holmes),0.5,1.4,10.0,2022,142
2.0,3:57,1.0,10.0,HOU 37,3.0,7.0,Davis Mills pass incomplete short left intended for Dameon Pierce,1.4,0.86,10.0,2022,142
2.0,3:49,2.0,10.0,HOU 37,3.0,7.0,"Davis Mills pass complete short left to Dare Ogunbowale for no gain (tackle by Darnay Holmes and Jaylon Smith). Penalty on Oshane Ximines: Defensive Offside, 5 yards (accepted) (no play)",0.86,1.53,10.0,2022,142
2.0,3:42,2.0,5.0,HOU 42,3.0,7.0,Dameon Pierce right end for 1 yard (tackle by Micah McFadden and Dexter Lawrence),1.53,0.96,10.0,2022,142
2.0,2:59,3.0,4.0,HOU 43,3.0,7.0,Rex Burkhead left guard for 2 yards (tackle by Kayvon Thibodeaux and Leonard Williams),0.96,-0.39,10.0,2022,142
2.0,2:21,4.0,2.0,HOU 45,3.0,7.0,Cameron Johnston punts 52 yards downed by Tavierre Thomas,-0.39,0.38,10.0,2022,142
2.0,2:10,1.0,10.0,NYG 3,3.0,7.0,"Penalty on Tyre Phillips: False Start, 2 yards (accepted) (no play)",-0.38,-0.46,10.0,2022,142
2.0,2:10,1.0,12.0,NYG 1,3.0,7.0,Saquon Barkley up the middle for 3 yards (tackle by Ogbonnia Okoronkwo and Christian Harris),-0.46,-0.71,10.0,2022,142
2.0,2:00,2.0,9.0,NYG 4,3.0,7.0,Saquon Barkley up the middle for 7 yards (tackle by Jonathan Owens and Jalen Pitre),-0.71,-0.48,10.0,2022,142
2.0,1:50,,,,,,Timeout #1 by Houston Texans,,,10.0,2022,142
2.0,1:50,3.0,2.0,NYG 11,3.0,7.0,"Daniel Jones pass incomplete short right intended for Darius Slayton. Penalty on Desmond King: Defensive Holding, 5 yards (accepted) (no play)",-0.48,-0.14,10.0,2022,142
2.0,1:45,1.0,10.0,NYG 16,3.0,7.0,Daniel Jones pass complete short right to Darius Slayton for 5 yards,-0.14,0.15,10.0,2022,142
2.0,1:41,2.0,5.0,NYG 21,3.0,7.0,Daniel Jones pass incomplete short middle intended for Kenny Golladay,0.15,-0.7,10.0,2022,142
2.0,1:37,3.0,5.0,NYG 21,3.0,7.0,Daniel Jones pass complete short right to Tanner Hudson for 4 yards (tackle by Jalen Pitre and Christian Harris),-0.7,-1.7,10.0,2022,142
2.0,1:11,,,,,,Timeout #2 by Houston Texans,,,10.0,2022,142
2.0,1:11,4.0,1.0,NYG 25,3.0,7.0,"Jamie Gillan punts 47 yards, returned by Desmond King for 5 yards (tackle by Nick McCloud)",-1.7,-1.14,10.0,2022,142
2.0,0:59,1.0,10.0,HOU 33,3.0,7.0,Davis Mills pass incomplete short right intended for Brandin Cooks,1.14,0.59,10.0,2022,142
2.0,0:54,2.0,10.0,HOU 33,3.0,7.0,Davis Mills pass complete short left to Rex Burkhead for 13 yards (tackle by Jason Pinnock),0.59,1.99,10.0,2022,142
2.0,0:48,1.0,10.0,HOU 46,3.0,7.0,Davis Mills pass incomplete short left intended for Nico Collins,1.99,1.45,10.0,2022,142
2.0,0:44,2.0,10.0,HOU 46,3.0,7.0,Davis Mills pass complete short left to Brandin Cooks for 6 yards (tackle by Adoree' Jackson),1.45,1.55,10.0,2022,142
2.0,0:40,3.0,4.0,NYG 48,3.0,7.0,"Penalty on Laremy Tunsil: False Start, 5 yards (accepted) (no play)",1.55,0.89,10.0,2022,142
2.0,0:40,3.0,9.0,HOU 47,3.0,7.0,"Scott Quessenberry fumbles, recovered by Davis Mills at HOU-47. Penalty on Kenyon Green: Offensive Holding, 10 yards (declined) Davis Mills sacked by Jihad Ward for -5 yards",0.89,-0.59,10.0,2022,142
2.0,0:31,4.0,14.0,HOU 42,3.0,7.0,Cameron Johnston punts 41 yards downed by Tavierre Thomas,-0.59,0.06,10.0,2022,142
2.0,0:23,1.0,10.0,NYG 17,3.0,7.0,Daniel Jones pass complete short middle to Tanner Hudson for 16 yards (tackle by Christian Kirksey),-0.06,1.14,10.0,2022,142
2.0,0:15,,,,,,Timeout #1 by New York Giants,,,10.0,2022,142
2.0,0:15,1.0,10.0,NYG 33,3.0,7.0,Daniel Jones pass complete short right to Tanner Hudson for 4 yards (tackle by Derek Stingley),1.14,1.13,10.0,2022,142
2.0,0:08,2.0,6.0,NYG 37,3.0,7.0,Daniel Jones sacked by Jerry Hughes for -5 yards,1.13,-0.23,10.0,2022,142
3.0,15:00,,,HOU 35,3.0,7.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,142
3.0,15:00,1.0,10.0,NYG 25,3.0,7.0,Saquon Barkley left end for 8 yards (tackle by Christian Kirksey and Kurt Hinish),0.61,1.14,10.0,2022,142
3.0,14:28,2.0,2.0,NYG 33,3.0,7.0,Saquon Barkley left tackle for 12 yards (tackle by Jonathan Owens),1.14,1.93,10.0,2022,142
3.0,13:56,1.0,10.0,NYG 45,3.0,7.0,Saquon Barkley left guard for no gain (tackle by Jerry Hughes),1.93,1.38,10.0,2022,142
3.0,13:29,2.0,10.0,NYG 45,3.0,7.0,Saquon Barkley right end for 1 yard (tackle by Christian Kirksey),1.38,0.83,10.0,2022,142
3.0,12:46,3.0,9.0,NYG 46,3.0,13.0,"Daniel Jones pass complete short left to Darius Slayton for 54 yards, touchdown",0.83,7.0,10.0,2022,142
3.0,12:33,,,HOU 15,3.0,14.0,Graham Gano kicks extra point good,0.0,0.0,10.0,2022,142
3.0,12:33,,,NYG 35,3.0,14.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,142
3.0,12:33,1.0,10.0,HOU 25,3.0,14.0,Brandin Cooks right end for 5 yards (tackle by Kayvon Thibodeaux),0.61,0.74,10.0,2022,142
3.0,11:57,2.0,5.0,HOU 30,3.0,14.0,Dameon Pierce up the middle for 5 yards (tackle by Jaylon Smith and Micah McFadden),0.74,1.27,10.0,2022,142
3.0,11:10,1.0,10.0,HOU 35,3.0,14.0,Davis Mills pass complete short right to Jordan Akins for 9 yards (tackle by Jaylon Smith),1.27,1.94,10.0,2022,142
3.0,10:35,2.0,1.0,HOU 44,3.0,14.0,Davis Mills pass complete deep left to Chris Moore for 23 yards (tackle by Fabian Moreau),1.94,3.38,10.0,2022,142
3.0,9:53,1.0,10.0,NYG 33,3.0,14.0,"Davis Mills pass complete short middle to Jordan Akins for 17 yards (tackle by Dane Belton). Penalty on Dexter Lawrence: Roughing the Passer, 8 yards (accepted)",3.38,5.37,10.0,2022,142
3.0,9:15,1.0,8.0,NYG 8,3.0,14.0,Dameon Pierce up the middle for 1 yard (tackle by Leonard Williams),5.37,4.76,10.0,2022,142
3.0,8:28,2.0,7.0,NYG 7,3.0,14.0,"Penalty on HOU: Delay of Game, 5 yards (accepted) (no play)",4.76,3.86,10.0,2022,142
3.0,8:12,2.0,12.0,NYG 12,9.0,14.0,"Davis Mills pass complete short left to Nico Collins for 12 yards, touchdown",3.86,7.0,10.0,2022,142
3.0,8:06,,,NYG 15,10.0,14.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,10.0,2022,142
3.0,8:06,,,HOU 35,10.0,14.0,"Ka'imi Fairbairn kicks off 60 yards, returned by Gary Brightwell for 21 yards (tackle by Desmond King and Dare Ogunbowale)",0.0,0.67,10.0,2022,142
3.0,8:00,1.0,10.0,NYG 26,10.0,14.0,Saquon Barkley up the middle for 3 yards (tackle by Rasheem Green and Christian Harris),0.67,0.54,10.0,2022,142
3.0,7:44,2.0,7.0,NYG 29,10.0,14.0,Daniel Jones pass complete short right to Lawrence Cager for no gain (tackle by Eric Murray),0.54,-0.16,10.0,2022,142
3.0,7:06,3.0,7.0,NYG 29,10.0,14.0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 11 yards (tackle by Christian Kirksey),-0.16,1.6,10.0,2022,142
3.0,6:39,1.0,10.0,NYG 40,10.0,14.0,Saquon Barkley right tackle for 2 yards (tackle by Ogbonnia Okoronkwo and Steven Nelson),1.6,1.32,10.0,2022,142
3.0,6:14,2.0,8.0,NYG 42,10.0,14.0,Saquon Barkley right guard for 13 yards (tackle by Eric Murray),1.32,2.59,10.0,2022,142
3.0,5:22,1.0,10.0,HOU 45,10.0,14.0,Daniel Jones pass incomplete short middle intended for Darius Slayton,2.59,2.04,10.0,2022,142
3.0,5:18,2.0,10.0,HOU 45,10.0,14.0,Matt Breida left guard for 3 yards (tackle by Ogbonnia Okoronkwo),2.04,1.75,10.0,2022,142
3.0,4:45,3.0,7.0,HOU 42,10.0,14.0,Daniel Jones pass complete deep middle to Isaiah Hodgins for 26 yards (tackle by Jalen Pitre),1.75,4.51,10.0,2022,142
3.0,4:07,1.0,10.0,HOU 16,10.0,14.0,Matt Breida right tackle for 9 yards (tackle by Jonathan Owens and Christian Kirksey),4.51,5.54,10.0,2022,142
3.0,3:28,2.0,1.0,HOU 7,10.0,14.0,Daniel Jones up the middle for 3 yards (tackle by Maliek Collins),5.54,6.28,10.0,2022,142
3.0,2:55,1.0,4.0,HOU 4,10.0,14.0,Saquon Barkley up the middle for 2 yards (tackle by Roy Lopez),6.28,5.72,10.0,2022,142
3.0,2:25,2.0,2.0,HOU 2,10.0,20.0,"Saquon Barkley up the middle for 2 yards, touchdown",5.72,7.0,10.0,2022,142
3.0,2:21,,,HOU 15,10.0,21.0,Graham Gano kicks extra point good,0.0,0.0,10.0,2022,142
3.0,2:21,,,NYG 35,10.0,21.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,142
3.0,2:21,1.0,10.0,HOU 25,10.0,21.0,Dameon Pierce left tackle for 13 yards (tackle by Dane Belton and Adoree' Jackson),0.61,1.47,10.0,2022,142
3.0,1:36,1.0,10.0,HOU 38,10.0,21.0,Davis Mills pass incomplete deep right intended for Brandin Cooks,1.47,0.92,10.0,2022,142
3.0,1:29,2.0,10.0,HOU 38,10.0,21.0,Davis Mills pass incomplete short right intended for Nico Collins (defended by Dexter Lawrence),0.92,0.23,10.0,2022,142
3.0,1:25,,,,,,Timeout #1 by Houston Texans,,,10.0,2022,142
3.0,1:25,3.0,10.0,HOU 38,10.0,21.0,Davis Mills pass complete short middle to Dare Ogunbowale for 13 yards (tackle by Dane Belton),0.23,2.32,10.0,2022,142
3.0,0:52,1.0,10.0,NYG 49,10.0,21.0,Davis Mills sacked by and Leonard Williams for -6 yards and Dexter Lawrence for -6 yards,2.32,0.97,10.0,2022,142
3.0,0:05,2.0,16.0,HOU 45,10.0,21.0,Davis Mills pass complete short left to Jordan Akins for 46 yards (tackle by Julian Love),0.97,4.84,10.0,2022,142
4.0,15:00,1.0,10.0,NYG 11,10.0,21.0,Dameon Pierce left end for -1 yards (tackle by Darnay Holmes),4.84,4.19,10.0,2022,142
4.0,14:17,2.0,10.0,NYG 10,10.0,21.0,"Dameon Pierce left tackle for 2 yards (tackle by Kayvon Thibodeaux). Dameon Pierce fumbles (forced by Leonard Williams), recovered by Jaylon Smith at NYG-7 and returned for 4 yards (tackle by A.J. Cann). Penalty on Kenyon Green: Offensive Holding, 10 yards (declined)",4.19,0.37,10.0,2022,142
4.0,14:09,1.0,10.0,NYG 11,10.0,21.0,Saquon Barkley right end for 1 yard (tackle by Christian Harris),-0.37,-0.71,10.0,2022,142
4.0,13:39,2.0,9.0,NYG 12,10.0,21.0,Saquon Barkley right guard for 7 yards (tackle by Rasheem Green),-0.71,-0.48,10.0,2022,142
4.0,12:59,3.0,2.0,NYG 19,10.0,21.0,Saquon Barkley up the middle for 1 yard (tackle by Rasheem Green),-0.48,-2.03,10.0,2022,142
4.0,12:12,4.0,1.0,NYG 20,10.0,21.0,"Jamie Gillan punts 45 yards, returned by Desmond King for 13 yards (tackle by Carter Coughlin)",-2.03,-2.13,10.0,2022,142
4.0,12:00,1.0,10.0,HOU 48,10.0,21.0,Davis Mills pass complete short right to Nico Collins for 13 yards (tackle by Fabian Moreau),2.13,2.98,10.0,2022,142
4.0,11:18,1.0,10.0,NYG 39,10.0,21.0,Davis Mills pass complete deep left to Brandin Cooks for 25 yards,2.98,4.65,10.0,2022,142
4.0,10:34,1.0,10.0,NYG 14,10.0,21.0,Davis Mills pass incomplete short right intended for Nico Collins,4.65,4.0,10.0,2022,142
4.0,10:28,2.0,10.0,NYG 14,10.0,21.0,"Davis Mills pass complete short right to Jordan Akins for no gain (tackle by Dane Belton and Oshane Ximines). Penalty on Brandin Cooks: Illegal Shift, 5 yards (accepted) (no play)",4.0,3.37,10.0,2022,142
4.0,10:01,2.0,15.0,NYG 19,10.0,21.0,"Davis Mills pass complete deep left to Brandin Cooks for no gain, touchdown. Penalty on Kenyon Green: Offensive Holding, 10 yards (accepted) (no play)",3.37,2.07,10.0,2022,142
4.0,9:55,2.0,25.0,NYG 29,10.0,21.0,Davis Mills pass deep left intended for Phillip Dorsett is intercepted by Dane Belton in end zone and returned for no gain,2.07,-0.28,10.0,2022,142
4.0,9:49,1.0,10.0,NYG 20,10.0,21.0,Saquon Barkley left end for 17 yards (tackle by Jonathan Owens),0.28,1.4,10.0,2022,142
4.0,9:16,1.0,10.0,NYG 37,10.0,21.0,Saquon Barkley left tackle for 5 yards (tackle by Jonathan Owens and Maliek Collins),1.4,1.53,10.0,2022,142
4.0,8:31,2.0,5.0,NYG 42,10.0,21.0,Saquon Barkley left tackle for -5 yards (tackle by Jerry Hughes),1.53,0.17,10.0,2022,142
4.0,7:47,3.0,10.0,NYG 37,10.0,21.0,Daniel Jones scrambles up the middle for 11 yards (tackle by Jonathan Owens and Tavierre Thomas),0.17,2.13,10.0,2022,142
4.0,7:00,1.0,10.0,NYG 48,10.0,21.0,Matt Breida left guard for 1 yard (tackle by Ogbonnia Okoronkwo and Christian Harris),2.13,1.72,10.0,2022,142
4.0,6:16,2.0,9.0,NYG 49,10.0,21.0,Matt Breida up the middle for -1 yards (tackle by Ogbonnia Okoronkwo and Kurt Hinish),1.72,0.89,10.0,2022,142
4.0,5:31,,,,,,Timeout #1 by New York Giants,,,10.0,2022,142
4.0,5:31,3.0,10.0,NYG 48,10.0,21.0,Daniel Jones sacked by Blake Cashman for -8 yards,0.89,-0.72,10.0,2022,142
4.0,4:53,4.0,18.0,NYG 40,10.0,21.0,"Penalty on HOU: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",-0.72,-0.39,10.0,2022,142
4.0,4:47,4.0,13.0,NYG 45,10.0,21.0,"Jamie Gillan punts 47 yards, fair catch by Desmond King at HOU-8",-0.39,0.38,10.0,2022,142
4.0,4:40,1.0,10.0,HOU 8,10.0,21.0,Davis Mills pass complete short right to Chris Moore for 22 yards (tackle by Julian Love),-0.38,0.94,10.0,2022,142
4.0,4:14,1.0,10.0,HOU 30,10.0,21.0,Davis Mills pass complete short left to Nico Collins for 12 yards (tackle by Fabian Moreau),0.94,1.73,10.0,2022,142
4.0,4:10,1.0,10.0,HOU 42,10.0,21.0,Davis Mills pass complete short middle to Dameon Pierce for 16 yards (tackle by Julian Love),1.73,2.79,10.0,2022,142
4.0,3:42,1.0,10.0,NYG 42,10.0,21.0,Davis Mills pass complete short left to Nico Collins for 6 yards (tackle by Fabian Moreau),2.79,3.05,10.0,2022,142
4.0,3:40,2.0,4.0,NYG 36,10.0,21.0,Dameon Pierce left tackle for 6 yards (tackle by Adoree' Jackson and Jaylon Smith),3.05,3.58,10.0,2022,142
4.0,3:18,1.0,10.0,NYG 30,10.0,21.0,Davis Mills pass incomplete short left intended for Phillip Dorsett (defended by Adoree' Jackson),3.58,3.03,10.0,2022,142
4.0,3:13,2.0,10.0,NYG 30,10.0,21.0,"Davis Mills sacked by Oshane Ximines for no gain. Davis Mills fumbles (forced by Oshane Ximines), recovered by Jaylon Smith at NYG-35 Replay Assistant challenged the fumble ruling, and the original play was overturned. Davis Mills pass incomplete deep right intended for Chris Moore (defended by Oshane Ximines)",3.03,2.34,10.0,2022,142
4.0,3:08,3.0,10.0,NYG 30,10.0,21.0,Davis Mills pass complete short left to Dameon Pierce for 12 yards (tackle by Leonard Williams and Dane Belton),2.34,4.37,10.0,2022,142
4.0,3:01,1.0,10.0,NYG 18,10.0,21.0,Dameon Pierce right guard for 2 yards (tackle by Kayvon Thibodeaux and Leonard Williams),4.37,4.09,10.0,2022,142
4.0,2:42,2.0,8.0,NYG 16,10.0,21.0,Davis Mills pass incomplete deep right intended for Chris Moore,4.09,3.3,10.0,2022,142
4.0,2:35,3.0,8.0,NYG 16,10.0,21.0,"Davis Mills pass incomplete deep left intended for Nico Collins (defended by Fabian Moreau). Penalty on O.J. Howard: Offensive Holding, 10 yards (offset) . Penalty on Fabian Moreau: Defensive Pass Interference, 15 yards (offset) (no play)",3.3,3.3,10.0,2022,142
4.0,2:30,3.0,8.0,NYG 16,10.0,21.0,"Davis Mills pass incomplete short left intended for Nico Collins. Penalty on Justin McCray: Offensive Holding, 10 yards (declined)",3.3,2.38,10.0,2022,142
4.0,2:26,4.0,8.0,NYG 16,13.0,21.0,Ka'imi Fairbairn 34 yard field goal good,2.38,3.0,10.0,2022,142
4.0,2:22,,,,,,Timeout #2 by New York Giants,,,10.0,2022,142
4.0,2:22,,,HOU 35,13.0,21.0,"Ka'imi Fairbairn kicks onside 9 yards, returned by Lawrence Cager for no gain. Penalty on Tremon Smith: Offensive Offside, 5 yards (accepted) . Penalty on Jalen Reeves-Maybin: Illegal Touch Kick, 5 yards (declined)",0.0,2.98,10.0,2022,142
4.0,2:22,1.0,10.0,HOU 39,13.0,21.0,Saquon Barkley left tackle for -2 yards (tackle by Thomas Booker),2.98,2.17,10.0,2022,142
4.0,2:17,,,,,,Timeout #2 by Houston Texans,,,10.0,2022,142
4.0,2:17,2.0,12.0,HOU 41,13.0,21.0,Saquon Barkley right end for 9 yards (tackle by Jonathan Owens),2.17,2.68,10.0,2022,142
4.0,2:09,,,,,,Timeout #3 by Houston Texans,,,10.0,2022,142
