Quarter,Time,Down,ToGo,Location,LAC,SFO,Detail,EPB,EPA,week,year,game_id
1.0,9:17,2.0,11.0,SFO 46,7.0,0.0,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 5 yards (tackle by Asante Samuel),1.38,1.36,10.0,2022,149
1.0,8:36,3.0,6.0,LAC 49,7.0,0.0,Jimmy Garoppolo pass complete short middle to Jauan Jennings for 7 yards (tackle by Michael Davis),1.36,2.79,10.0,2022,149
1.0,7:56,1.0,10.0,LAC 42,7.0,0.0,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 20 yards (tackle by Nasir Adderley and Michael Davis),2.79,4.11,10.0,2022,149
1.0,7:07,1.0,10.0,LAC 22,7.0,0.0,Elijah Mitchell right guard for 7 yards (tackle by Otito Ogbonnia),4.11,4.65,10.0,2022,149
1.0,6:29,2.0,3.0,LAC 15,7.0,0.0,Elijah Mitchell left guard for 2 yards (tackle by Derwin James),4.65,4.39,10.0,2022,149
1.0,6:08,3.0,1.0,LAC 13,7.0,0.0,Elijah Mitchell up the middle for 4 yards (tackle by Kenneth Murray and Otito Ogbonnia),4.39,5.14,10.0,2022,149
1.0,5:31,1.0,9.0,LAC 9,7.0,0.0,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,5.14,4.38,10.0,2022,149
1.0,5:25,2.0,9.0,LAC 9,7.0,0.0,Deebo Samuel up the middle for 7 yards (tackle by Christian Covington),4.38,4.95,10.0,2022,149
1.0,4:45,3.0,2.0,LAC 2,7.0,0.0,Christian McCaffrey right guard for no gain (tackle by Drue Tranquill and Christian Covington),4.95,3.25,10.0,2022,149
1.0,4:12,4.0,2.0,LAC 2,7.0,3.0,Robbie Gould 20 yard field goal good,3.25,3.0,10.0,2022,149
1.0,4:10,,,SFO 35,7.0,3.0,"Robbie Gould kicks off 65 yards, returned by DeAndre Carter for 13 yards (tackle by Tarvarius Moore)",0.0,-0.32,10.0,2022,149
1.0,4:07,1.0,10.0,LAC 13,7.0,3.0,Justin Herbert scrambles up the middle for 2 yards (tackle by Jordan Willis),-0.32,-0.57,10.0,2022,149
1.0,3:23,2.0,8.0,LAC 15,7.0,3.0,Isaiah Spiller up the middle for 4 yards (tackle by Hassan Ridgeway and Azeez Al-Shaair),-0.57,-0.71,10.0,2022,149
1.0,2:54,3.0,4.0,LAC 19,7.0,3.0,Justin Herbert pass complete deep left to Josh Palmer for 25 yards (tackle by Talanoa Hufanga),-0.71,1.86,10.0,2022,149
1.0,2:16,1.0,10.0,LAC 44,7.0,3.0,Austin Ekeler right tackle for 2 yards (tackle by Dre Greenlaw),1.86,1.59,10.0,2022,149
1.0,1:36,2.0,8.0,LAC 46,7.0,3.0,Justin Herbert pass complete short right to Austin Ekeler for 5 yards (tackle by Kerry Hyder),1.59,1.55,10.0,2022,149
1.0,0:55,3.0,3.0,SFO 49,7.0,3.0,Justin Herbert pass incomplete short right intended for Josh Palmer,1.55,0.0,10.0,2022,149
1.0,0:52,4.0,3.0,SFO 49,7.0,3.0,"JK Scott punts 32 yards, fair catch by Ray-Ray McCloud at SF-17",0.0,0.06,10.0,2022,149
1.0,0:44,1.0,10.0,SFO 17,7.0,3.0,"Jimmy Garoppolo pass complete to Brandon Aiyuk for 18 yards. Brandon Aiyuk fumbles (forced by Derwin James), recovered by Asante Samuel at SF-35 and returned for 3 yards (tackle by George Kittle)",-0.06,-3.45,10.0,2022,149
1.0,0:34,1.0,10.0,SFO 32,7.0,3.0,Justin Herbert pass incomplete short left intended for Austin Ekeler,3.45,2.9,10.0,2022,149
1.0,0:29,2.0,10.0,SFO 32,7.0,3.0,Austin Ekeler right tackle for 3 yards (tackle by Fred Warner and Kevin Givens),2.9,2.61,10.0,2022,149
2.0,15:00,3.0,7.0,SFO 29,7.0,3.0,Justin Herbert pass incomplete deep left intended for Josh Palmer,2.61,1.5,10.0,2022,149
2.0,14:56,4.0,7.0,SFO 29,10.0,3.0,Cameron Dicker 47 yard field goal good,1.5,3.0,10.0,2022,149
2.0,14:52,,,LAC 35,10.0,3.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,149
2.0,14:52,1.0,10.0,SFO 25,10.0,3.0,Christian McCaffrey left end for -1 yards (tackle by Kenneth Murray and Khalil Mack),0.61,-0.07,10.0,2022,149
2.0,14:13,2.0,11.0,SFO 24,10.0,3.0,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 6 yards (tackle by Nasir Adderley and Derwin James),-0.07,0.04,10.0,2022,149
2.0,13:47,3.0,5.0,SFO 30,10.0,3.0,"Jimmy Garoppolo pass incomplete short right intended for Christian McCaffrey. Penalty on Mike McGlinchey: Offensive Holding, 10 yards (declined)",0.04,-1.37,10.0,2022,149
2.0,13:40,4.0,5.0,SFO 30,10.0,3.0,Mitch Wishnowsky punts 40 yards out of bounds,-1.37,-0.94,10.0,2022,149
2.0,13:34,1.0,10.0,LAC 30,10.0,3.0,Isaiah Spiller right end for -1 yards (tackle by Jordan Willis and Kevin Givens),0.94,0.26,10.0,2022,149
2.0,12:53,2.0,11.0,LAC 29,10.0,3.0,Justin Herbert pass incomplete short right intended for Michael Bandy (defended by Charvarius Ward),0.26,-0.43,10.0,2022,149
2.0,12:50,3.0,11.0,LAC 29,10.0,3.0,Justin Herbert pass complete to Tre' McKitty for 5 yards (tackle by Jimmie Ward),-0.43,-1.11,10.0,2022,149
2.0,12:17,4.0,6.0,LAC 34,10.0,3.0,JK Scott punts 42 yards downed by Amen Ogbongbemiga,-1.11,-0.54,10.0,2022,149
2.0,12:08,1.0,10.0,SFO 24,10.0,3.0,Jimmy Garoppolo pass incomplete short left intended for Christian McCaffrey,0.54,0.0,10.0,2022,149
2.0,12:03,2.0,10.0,SFO 24,10.0,3.0,Elijah Mitchell right tackle for 7 yards (tackle by Drue Tranquill),0.0,0.23,10.0,2022,149
2.0,11:24,3.0,3.0,SFO 31,10.0,3.0,Jimmy Garoppolo scrambles right end for 2 yards (tackle by Drue Tranquill),0.23,-1.18,10.0,2022,149
2.0,10:38,4.0,1.0,SFO 33,10.0,3.0,Mitch Wishnowsky punts 13 yards downed by Charlie Woerner,-1.18,-2.52,10.0,2022,149
2.0,10:25,1.0,10.0,SFO 46,10.0,3.0,Justin Herbert pass complete to Austin Ekeler for 8 yards (tackle by Fred Warner and Dre Greenlaw),2.52,3.06,10.0,2022,149
2.0,9:43,2.0,2.0,SFO 38,10.0,3.0,Justin Herbert pass complete to Zander Horvath for 1 yard (tackle by Dre Greenlaw),3.06,2.48,10.0,2022,149
2.0,9:19,3.0,1.0,SFO 37,10.0,3.0,Justin Herbert up the middle for 2 yards (tackle by Hassan Ridgeway and Jordan Willis),2.48,3.25,10.0,2022,149
2.0,8:46,1.0,10.0,SFO 35,10.0,3.0,Justin Herbert pass incomplete deep right intended for Tre' McKitty,3.25,2.7,10.0,2022,149
2.0,8:38,2.0,10.0,SFO 35,10.0,3.0,Justin Herbert pass complete deep right to DeAndre Carter for 33 yards (tackle by Tashaun Gipson),2.7,6.74,10.0,2022,149
2.0,8:03,1.0,2.0,SFO 2,10.0,3.0,Justin Herbert pass incomplete short right intended for Tre' McKitty,6.74,5.72,10.0,2022,149
2.0,8:02,2.0,2.0,SFO 2,10.0,3.0,"Penalty on Foster Sarell: False Start, 5 yards (accepted) (no play)",5.72,4.76,10.0,2022,149
2.0,8:02,2.0,7.0,SFO 7,10.0,3.0,Justin Herbert sacked by Nick Bosa for -1 yards,4.76,3.58,10.0,2022,149
2.0,7:28,3.0,8.0,SFO 8,10.0,3.0,Justin Herbert pass complete short right to Austin Ekeler for 1 yard (tackle by Jimmie Ward),3.58,2.97,10.0,2022,149
2.0,6:45,4.0,7.0,SFO 7,13.0,3.0,Cameron Dicker 25 yard field goal good,2.97,3.0,10.0,2022,149
2.0,6:42,,,LAC 35,13.0,3.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,149
2.0,6:42,1.0,10.0,SFO 25,13.0,3.0,Elijah Mitchell up the middle for 3 yards (tackle by Breiden Fehoko and Sebastian Joseph-Day),0.61,0.47,10.0,2022,149
2.0,5:53,2.0,7.0,SFO 28,13.0,3.0,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",0.47,-0.21,10.0,2022,149
2.0,5:37,2.0,12.0,SFO 23,13.0,3.0,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,-0.21,-0.89,10.0,2022,149
2.0,5:33,3.0,12.0,SFO 23,13.0,3.0,Jimmy Garoppolo pass complete short middle to George Kittle for 21 yards (tackle by Alohi Gilman and Nasir Adderley),-0.89,1.86,10.0,2022,149
2.0,4:51,1.0,10.0,SFO 44,13.0,3.0,"Jimmy Garoppolo pass complete to Ray-Ray McCloud for 33 yards (tackle by Troy Reeder). Penalty on Nasir Adderley: Illegal Contact, 5 yards (declined)",1.86,4.04,10.0,2022,149
2.0,4:16,1.0,10.0,LAC 23,13.0,3.0,Jimmy Garoppolo pass complete short right to Christian McCaffrey for 6 yards (tackle by Kyle Van Noy),4.04,4.38,10.0,2022,149
2.0,3:33,2.0,4.0,LAC 17,13.0,3.0,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 12 yards (tackle by Derwin James),4.38,6.06,10.0,2022,149
2.0,2:52,1.0,5.0,LAC 5,13.0,3.0,Christian McCaffrey up the middle for 3 yards (tackle by Drue Tranquill and Breiden Fehoko),6.06,5.72,10.0,2022,149
2.0,2:06,,,,,,Timeout #1 by San Francisco 49ers,,,10.0,2022,149
2.0,2:06,2.0,2.0,LAC 2,13.0,3.0,Christian McCaffrey up the middle for 1 yard (tackle by Sebastian Joseph-Day),5.72,5.17,10.0,2022,149
2.0,2:00,3.0,1.0,LAC 1,13.0,9.0,"Jimmy Garoppolo for 1 yard, touchdown",5.17,7.0,10.0,2022,149
2.0,1:57,,,LAC 15,13.0,10.0,Robbie Gould kicks extra point good,0.0,0.0,10.0,2022,149
2.0,1:57,,,SFO 35,13.0,10.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,149
2.0,1:57,1.0,10.0,LAC 25,13.0,10.0,Justin Herbert pass complete short left to Austin Ekeler for 1 yard (tackle by Dre Greenlaw),0.61,0.2,10.0,2022,149
2.0,1:38,2.0,9.0,LAC 26,13.0,10.0,"Justin Herbert pass incomplete deep left intended for Josh Palmer. Penalty on Deommodore Lenoir: Defensive Pass Interference, 17 yards (accepted) (no play)",0.2,1.8,10.0,2022,149
2.0,1:05,1.0,10.0,LAC 43,13.0,10.0,Justin Herbert pass complete short right to Austin Ekeler for 8 yards (tackle by Dre Greenlaw),1.8,2.33,10.0,2022,149
2.0,1:15,2.0,2.0,SFO 49,13.0,10.0,Justin Herbert pass incomplete intended for Austin Ekeler (defended by Drake Jackson),2.33,1.62,10.0,2022,149
2.0,1:09,3.0,2.0,SFO 49,13.0,10.0,Justin Herbert pass complete to DeAndre Carter for 5 yards (tackle by Charvarius Ward),1.62,2.65,10.0,2022,149
2.0,0:48,1.0,10.0,SFO 44,13.0,10.0,"Justin Herbert sacked by Charles Omenihu for -7 yards. Justin Herbert fumbles (forced by Charles Omenihu), recovered by Jamaree Salyer at LAC-49 Replay Assistant challenged the fumble ruling, and the play was upheld.",2.65,1.17,10.0,2022,149
2.0,0:45,,,,,,Timeout #1 by Los Angeles Chargers,,,10.0,2022,149
2.0,0:45,2.0,17.0,LAC 49,13.0,10.0,Justin Herbert scrambles right guard for 11 yards (tackle by Jimmie Ward),1.17,1.95,10.0,2022,149
2.0,0:38,,,,,,Timeout #2 by Los Angeles Chargers,,,10.0,2022,149
2.0,0:38,3.0,6.0,SFO 40,13.0,10.0,Justin Herbert scrambles for 5 yards (tackle by Fred Warner),1.95,3.6,10.0,2022,149
2.0,0:38,3.0,1.0,SFO 20,13.0,10.0,"Penalty on Dre Greenlaw: Disqualification / Defense, 15 yards (accepted) (no play)",3.6,4.24,10.0,2022,149
2.0,0:30,1.0,10.0,SFO 20,13.0,10.0,Chase Daniel pass incomplete short right intended for Austin Ekeler,4.24,3.69,10.0,2022,149
2.0,0:27,2.0,10.0,SFO 20,13.0,10.0,Chase Daniel pass incomplete short right intended for Austin Ekeler,3.69,3.01,10.0,2022,149
2.0,0:24,3.0,10.0,SFO 20,13.0,10.0,Chase Daniel sacked by Jordan Willis for -1 yards,3.01,2.06,10.0,2022,149
2.0,0:03,,,,,,Timeout #3 by Los Angeles Chargers,,,10.0,2022,149
2.0,0:03,4.0,11.0,SFO 21,16.0,10.0,Cameron Dicker 40 yard field goal good,2.06,3.0,10.0,2022,149
3.0,15:00,,,LAC 35,16.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,149
3.0,15:00,1.0,10.0,SFO 25,16.0,10.0,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 21 yards (tackle by Derwin James),0.61,1.99,10.0,2022,149
3.0,14:27,1.0,10.0,SFO 46,16.0,10.0,Deebo Samuel right tackle for 15 yards (tackle by Derwin James and Kenneth Murray),1.99,2.98,10.0,2022,149
3.0,13:49,1.0,10.0,LAC 39,16.0,10.0,Christian McCaffrey left end for 5 yards (tackle by Alohi Gilman),2.98,3.12,10.0,2022,149
3.0,13:09,2.0,5.0,LAC 34,16.0,10.0,Christian McCaffrey up the middle for 4 yards (tackle by Drue Tranquill and Nasir Adderley),3.12,2.94,10.0,2022,149
3.0,12:49,3.0,1.0,LAC 30,16.0,10.0,Jimmy Garoppolo up the middle for no gain (tackle by Drue Tranquill and Christian Covington),2.94,1.52,10.0,2022,149
3.0,12:02,4.0,1.0,LAC 30,16.0,10.0,Jimmy Garoppolo up the middle for 1 yard (tackle by Christian Covington and Drue Tranquill),1.52,3.64,10.0,2022,149
3.0,11:31,1.0,10.0,LAC 29,16.0,10.0,Christian McCaffrey up the middle for 12 yards (tackle by Alohi Gilman),3.64,4.44,10.0,2022,149
3.0,10:54,1.0,10.0,LAC 17,16.0,10.0,Elijah Mitchell up the middle for 10 yards (tackle by Christian Covington and Drue Tranquill),4.44,5.6,10.0,2022,149
3.0,10:18,1.0,7.0,LAC 7,16.0,10.0,Elijah Mitchell up the middle for no gain (tackle by Breiden Fehoko),5.6,4.76,10.0,2022,149
3.0,9:44,2.0,7.0,LAC 7,16.0,10.0,Jimmy Garoppolo pass complete short right to Elijah Mitchell for -1 yards (tackle by Khalil Mack),4.76,3.58,10.0,2022,149
3.0,9:03,3.0,8.0,LAC 8,16.0,10.0,Jimmy Garoppolo pass incomplete short left intended for Brandon Aiyuk,3.58,2.95,10.0,2022,149
3.0,8:55,4.0,8.0,LAC 8,16.0,13.0,Robbie Gould 26 yard field goal good,2.95,3.0,10.0,2022,149
3.0,8:52,,,SFO 35,16.0,13.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,149
3.0,8:52,1.0,10.0,LAC 25,16.0,13.0,"Austin Ekeler up the middle for no gain (tackle by Jimmie Ward and Charles Omenihu). Penalty on Charles Omenihu: Defensive Offside, 5 yards (accepted) (no play)",0.61,1.34,10.0,2022,149
3.0,8:46,1.0,5.0,LAC 30,16.0,13.0,Justin Herbert pass complete short left to Josh Palmer for 12 yards (tackle by Tashaun Gipson),1.34,1.73,10.0,2022,149
3.0,8:02,1.0,10.0,LAC 42,16.0,13.0,Austin Ekeler right guard for 12 yards (tackle by Charvarius Ward and Tashaun Gipson),1.73,2.52,10.0,2022,149
3.0,7:20,1.0,10.0,SFO 46,16.0,13.0,Sony Michel up the middle for 2 yards (tackle by Oren Burks),2.52,2.25,10.0,2022,149
3.0,6:48,2.0,8.0,SFO 44,16.0,13.0,Justin Herbert pass incomplete short right,2.25,1.55,10.0,2022,149
3.0,6:42,3.0,8.0,SFO 44,16.0,13.0,Justin Herbert pass incomplete short left intended for Josh Palmer (defended by Fred Warner),1.55,0.33,10.0,2022,149
3.0,6:37,4.0,8.0,SFO 44,16.0,13.0,"JK Scott punts 44 yards, touchback.",0.33,-0.28,10.0,2022,149
3.0,6:30,1.0,10.0,SFO 20,16.0,13.0,Elijah Mitchell left tackle for 8 yards (tackle by Drue Tranquill),0.28,0.81,10.0,2022,149
3.0,5:54,2.0,2.0,SFO 28,16.0,13.0,Elijah Mitchell left tackle for 6 yards (tackle by Michael Davis and Derwin James),0.81,1.2,10.0,2022,149
3.0,5:19,1.0,10.0,SFO 34,16.0,13.0,Jimmy Garoppolo sacked by Khalil Mack for -10 yards,1.2,-0.69,10.0,2022,149
3.0,4:33,2.0,20.0,SFO 24,16.0,13.0,Jimmy Garoppolo pass incomplete short middle intended for Elijah Mitchell,-0.69,-1.35,10.0,2022,149
3.0,4:25,3.0,20.0,SFO 24,16.0,13.0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 16 yards (tackle by Alohi Gilman),-1.35,-0.72,10.0,2022,149
3.0,3:44,4.0,4.0,SFO 40,16.0,13.0,Mitch Wishnowsky punts 39 yards out of bounds,-0.72,-0.34,10.0,2022,149
3.0,3:38,1.0,10.0,LAC 21,16.0,13.0,Austin Ekeler left end for 2 yards (tackle by Fred Warner and Kerry Hyder),0.34,0.07,10.0,2022,149
3.0,3:02,2.0,8.0,LAC 23,16.0,13.0,Justin Herbert pass complete short right to Josh Palmer for 7 yards (tackle by Tashaun Gipson and Deommodore Lenoir),0.07,0.3,10.0,2022,149
3.0,2:29,3.0,1.0,LAC 30,16.0,13.0,Justin Herbert up the middle for 2 yards (tackle by Kerry Hyder),0.3,1.07,10.0,2022,149
3.0,1:47,1.0,10.0,LAC 32,16.0,13.0,Isaiah Spiller right tackle for -1 yards (tackle by Nick Bosa),1.07,0.39,10.0,2022,149
3.0,1:08,2.0,11.0,LAC 31,16.0,13.0,Justin Herbert pass complete short left to Austin Ekeler for 2 yards (tackle by Jimmie Ward),0.39,-0.03,10.0,2022,149
3.0,0:29,3.0,9.0,LAC 33,16.0,13.0,Justin Herbert pass complete short right to Richard Rodgers for 4 yards (tackle by Talanoa Hufanga and Drake Jackson),-0.03,-0.91,10.0,2022,149
4.0,15:00,4.0,5.0,LAC 37,16.0,13.0,"JK Scott punts 40 yards, fair catch by Ray-Ray McCloud at SF-23",-0.91,-0.48,10.0,2022,149
4.0,14:53,1.0,10.0,SFO 23,16.0,13.0,Deebo Samuel right end for 5 yards (tackle by Morgan Fox),0.48,0.61,10.0,2022,149
4.0,14:07,2.0,5.0,SFO 28,16.0,13.0,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,0.61,-0.1,10.0,2022,149
4.0,14:02,3.0,5.0,SFO 28,16.0,13.0,Jimmy Garoppolo pass complete short left to Jauan Jennings for 11 yards,-0.1,1.53,10.0,2022,149
4.0,13:54,1.0,10.0,SFO 39,16.0,13.0,"Christian McCaffrey left guard for no gain. Penalty on Jake Brendel: Offensive Holding, 10 yards (accepted) (no play)",1.53,0.87,10.0,2022,149
4.0,13:18,1.0,20.0,SFO 29,16.0,13.0,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,0.87,-0.36,10.0,2022,149
4.0,13:13,2.0,20.0,SFO 29,16.0,13.0,Jimmy Garoppolo pass complete short right to Jauan Jennings for 12 yards (tackle by Drue Tranquill),-0.36,0.56,10.0,2022,149
4.0,12:37,3.0,8.0,SFO 41,16.0,13.0,Jimmy Garoppolo pass complete short left to Jauan Jennings for 10 yards (tackle by Alohi Gilman and Nasir Adderley),0.56,2.32,10.0,2022,149
4.0,12:02,1.0,10.0,LAC 49,16.0,13.0,Elijah Mitchell left guard for 9 yards (tackle by Derwin James),2.32,3.0,10.0,2022,149
4.0,11:28,2.0,1.0,LAC 40,16.0,13.0,Elijah Mitchell left guard for 4 yards (tackle by Drue Tranquill and Derwin James),3.0,3.18,10.0,2022,149
4.0,11:03,1.0,10.0,LAC 36,16.0,13.0,Elijah Mitchell left guard for 7 yards (tackle by Derrek Tuszka and Drue Tranquill),3.18,3.58,10.0,2022,149
4.0,10:30,2.0,3.0,LAC 29,16.0,13.0,Elijah Mitchell up the middle for 3 yards (tackle by Morgan Fox and Drue Tranquill),3.58,3.84,10.0,2022,149
4.0,9:51,1.0,10.0,LAC 26,16.0,13.0,Christian McCaffrey right guard for no gain (tackle by Michael Davis and Kenneth Murray),3.84,3.3,10.0,2022,149
4.0,9:09,2.0,10.0,LAC 26,16.0,13.0,Jimmy Garoppolo pass complete short left to Christian McCaffrey for no gain (tackle by Derwin James),3.3,2.61,10.0,2022,149
4.0,8:27,3.0,10.0,LAC 26,16.0,13.0,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 24 yards (tackle by Alohi Gilman),2.61,6.74,10.0,2022,149
4.0,8:00,1.0,2.0,LAC 2,16.0,19.0,"Christian McCaffrey left guard for 2 yards, touchdown. Penalty on Sebastian Joseph-Day: Defensive Offside, 5 yards (declined)",6.74,7.0,10.0,2022,149
4.0,7:54,,,LAC 15,16.0,19.0,Robbie Gould kicks extra point no good,0.0,-1.0,10.0,2022,149
4.0,7:54,,,SFO 35,16.0,19.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,149
4.0,7:54,1.0,10.0,LAC 25,16.0,19.0,Justin Herbert pass complete short right to DeAndre Carter for -6 yards (tackle by Nick Bosa),0.61,-0.81,10.0,2022,149
4.0,7:15,2.0,16.0,LAC 19,16.0,19.0,Justin Herbert pass incomplete short left intended for Austin Ekeler (defended by Fred Warner),-0.81,-1.51,10.0,2022,149
4.0,7:10,3.0,16.0,LAC 19,16.0,19.0,Justin Herbert pass complete short right to Tre' McKitty for 9 yards (tackle by Azeez Al-Shaair),-1.51,-1.5,10.0,2022,149
4.0,6:45,4.0,7.0,LAC 28,16.0,19.0,"JK Scott punts 42 yards, fair catch by Ray-Ray McCloud at SF-30",-1.5,-0.94,10.0,2022,149
4.0,6:40,1.0,10.0,SFO 30,16.0,19.0,Elijah Mitchell up the middle for 12 yards (tackle by Nasir Adderley and Derwin James),0.94,1.73,10.0,2022,149
4.0,5:59,1.0,10.0,SFO 42,16.0,19.0,Elijah Mitchell up the middle for 1 yard (tackle by Derwin James),1.73,1.32,10.0,2022,149
4.0,5:17,2.0,9.0,SFO 43,16.0,19.0,Deebo Samuel right guard for no gain (tackle by Khalil Mack and Kyle Van Noy),1.32,0.63,10.0,2022,149
4.0,4:35,3.0,9.0,SFO 43,16.0,19.0,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 11 yards (tackle by Michael Davis),0.63,2.52,10.0,2022,149
4.0,3:51,1.0,10.0,LAC 46,16.0,19.0,Christian McCaffrey right end for -3 yards (tackle by Kenneth Murray),2.52,1.64,10.0,2022,149
4.0,3:06,2.0,12.0,LAC 49,16.0,19.0,"Jimmy Garoppolo pass incomplete short right intended for George Kittle. Penalty on Jake Brendel: Ineligible Downfield Pass, 5 yards (declined)",1.64,0.89,10.0,2022,149
4.0,2:58,3.0,13.0,LAC 49,16.0,19.0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 8 yards (tackle by Bryce Callahan and Asante Samuel),0.89,0.53,10.0,2022,149
4.0,2:11,4.0,5.0,LAC 41,16.0,19.0,Mitch Wishnowsky punts 40 yards downed by Samuel Womack,0.53,0.38,10.0,2022,149
4.0,2:03,1.0,10.0,LAC 1,16.0,19.0,Justin Herbert pass incomplete short left,-0.38,-0.78,10.0,2022,149
4.0,1:58,2.0,10.0,LAC 1,16.0,19.0,Justin Herbert pass incomplete short right intended for Tre' McKitty (defended by Fred Warner),-0.78,-1.42,10.0,2022,149
4.0,1:54,3.0,10.0,LAC 1,16.0,19.0,Justin Herbert pass complete short left to Tre' McKitty for 7 yards (tackle by Fred Warner),-1.42,-2.49,10.0,2022,149
4.0,1:23,4.0,3.0,LAC 8,16.0,19.0,Justin Herbert pass incomplete short left intended for Josh Palmer,-2.49,-5.37,10.0,2022,149
4.0,1:17,1.0,8.0,LAC 8,16.0,19.0,Elijah Mitchell right guard for 6 yards (tackle by Michael Davis),5.37,5.72,10.0,2022,149
4.0,1:11,,,,,,Timeout #1 by Los Angeles Chargers,,,10.0,2022,149
4.0,1:11,2.0,2.0,LAC 2,16.0,19.0,Elijah Mitchell up the middle for 1 yard (tackle by Breiden Fehoko and Drue Tranquill),5.72,5.17,10.0,2022,149
4.0,1:06,,,,,,Timeout #2 by Los Angeles Chargers,,,10.0,2022,149
4.0,1:06,,,,,,Timeout #1 by San Francisco 49ers,,,10.0,2022,149
4.0,1:06,3.0,1.0,LAC 1,16.0,19.0,Elijah Mitchell left guard for -1 yards (tackle by Sebastian Joseph-Day),5.17,3.25,10.0,2022,149
4.0,1:01,,,,,,Timeout #3 by Los Angeles Chargers,,,10.0,2022,149
4.0,1:01,,,,,,Timeout #2 by San Francisco 49ers,,,10.0,2022,149
4.0,1:01,4.0,2.0,LAC 2,16.0,22.0,Robbie Gould 20 yard field goal good,3.25,3.0,10.0,2022,149
4.0,0:58,,,SFO 35,16.0,22.0,"Robbie Gould kicks off 59 yards, returned by DeAndre Carter for 17 yards (tackle by Oren Burks and Demetrius Flannigan-Fowles)",0.0,0.48,10.0,2022,149
