Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA,week,year,game_id
1.0,9:05,4.0,1.0,MIA 36,7.0,0.0,Jeff Wilson right tackle for 4 yards (tackle by Sione Takitaki and John Johnson),-0.98,1.6,10.0,2022,140
1.0,8:30,1.0,10.0,MIA 40,7.0,0.0,Tua Tagovailoa pass complete deep left to Trent Sherfield for 18 yards (tackle by Sione Takitaki),1.6,2.79,10.0,2022,140
1.0,7:45,1.0,10.0,CLE 42,7.0,0.0,Jeff Wilson up the middle for 18 yards (tackle by Alex Wright),2.79,3.97,10.0,2022,140
1.0,7:08,1.0,10.0,CLE 24,7.0,0.0,Jeff Wilson left guard for 11 yards (tackle by Denzel Ward),3.97,4.71,10.0,2022,140
1.0,6:21,1.0,10.0,CLE 13,7.0,6.0,"Tua Tagovailoa pass complete short left to Alec Ingold for 13 yards, touchdown",4.71,7.0,10.0,2022,140
1.0,6:13,,,CLE 15,7.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,10.0,2022,140
1.0,6:13,,,MIA 35,7.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,140
1.0,6:13,1.0,10.0,CLE 25,7.0,7.0,Nick Chubb right tackle for 1 yard (tackle by Elandon Roberts),0.61,0.2,10.0,2022,140
1.0,5:33,2.0,9.0,CLE 26,7.0,7.0,Jacoby Brissett pass complete short right to Pharaoh Brown for 8 yards (tackle by Jerome Baker),0.2,0.56,10.0,2022,140
1.0,5:10,3.0,1.0,CLE 34,7.0,7.0,Jacoby Brissett up the middle for 2 yards (tackle by Christian Wilkins and Bradley Chubb),0.56,1.33,10.0,2022,140
1.0,4:30,1.0,10.0,CLE 36,7.0,7.0,Jacoby Brissett pass complete short left to David Bell for 5 yards (tackle by Elandon Roberts),1.33,1.47,10.0,2022,140
1.0,3:59,2.0,5.0,CLE 41,7.0,7.0,Jacoby Brissett sacked by and Christian Wilkins for -8 yards and Bradley Chubb for -8 yards,1.47,-0.3,10.0,2022,140
1.0,3:13,3.0,13.0,CLE 33,7.0,7.0,Jacoby Brissett pass complete deep left to Donovan Peoples-Jones for 22 yards (tackle by Duke Riley and Verone McKinley),-0.3,2.59,10.0,2022,140
1.0,2:28,1.0,10.0,MIA 45,7.0,7.0,Nick Chubb left end for 5 yards (tackle by Xavien Howard),2.59,2.72,10.0,2022,140
1.0,1:49,2.0,5.0,MIA 40,7.0,7.0,Nick Chubb up the middle for 4 yards (tackle by Eric Rowe and Jerome Baker),2.72,2.54,10.0,2022,140
1.0,1:15,3.0,1.0,MIA 36,7.0,7.0,Jacoby Brissett pass incomplete deep right intended for Michael Woods,2.54,0.89,10.0,2022,140
1.0,1:05,,,,,,Timeout #1 by Cleveland Browns,,,10.0,2022,140
1.0,1:05,4.0,1.0,MIA 36,7.0,7.0,Jacoby Brissett up the middle for 2 yards (tackle by Elandon Roberts),0.89,3.31,10.0,2022,140
1.0,0:32,1.0,10.0,MIA 34,7.0,7.0,Jacoby Brissett pass incomplete short right intended for Pharaoh Brown,3.31,2.77,10.0,2022,140
1.0,0:20,2.0,10.0,MIA 34,7.0,7.0,"Nick Chubb right tackle for 3 yards. Nick Chubb fumbles (forced by Zach Sieler), recovered by Xavien Howard at MIA-29 (tackle by Zach Sieler)",2.77,-0.87,10.0,2022,140
1.0,0:13,1.0,10.0,MIA 29,7.0,7.0,Jeff Wilson right guard for 6 yards (tackle by Ronnie Harrison),0.87,1.14,10.0,2022,140
2.0,15:00,2.0,4.0,MIA 35,7.0,7.0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle (defended by Martin Emerson),1.14,0.43,10.0,2022,140
2.0,14:56,3.0,4.0,MIA 35,7.0,7.0,Tua Tagovailoa pass complete deep middle to Jaylen Waddle for 29 yards (tackle by Grant Delpit),0.43,3.18,10.0,2022,140
2.0,14:24,1.0,10.0,CLE 36,7.0,7.0,"Penalty on Robert Jones: False Start, 5 yards (accepted) (no play)",3.18,2.85,10.0,2022,140
2.0,14:12,1.0,15.0,CLE 41,7.0,7.0,Raheem Mostert left end for 14 yards (tackle by John Johnson and Tommy Togiai),2.85,3.85,10.0,2022,140
2.0,13:24,2.0,1.0,CLE 27,7.0,7.0,Raheem Mostert left guard for 2 yards (tackle by Grant Delpit and Deion Jones),3.85,3.91,10.0,2022,140
2.0,12:46,1.0,10.0,CLE 25,7.0,7.0,Cedrick Wilson sacked by and Greg Newsome for -6 yards and Deion Jones for -6 yards,3.91,2.55,10.0,2022,140
2.0,11:58,2.0,16.0,CLE 31,7.0,7.0,Tua Tagovailoa pass incomplete short left intended for Jeff Wilson,2.55,1.88,10.0,2022,140
2.0,11:51,3.0,16.0,CLE 31,7.0,7.0,Tua Tagovailoa pass complete short left to Jeff Wilson for 10 yards (tackle by Denzel Ward and Grant Delpit),1.88,2.08,10.0,2022,140
2.0,11:09,4.0,6.0,CLE 21,7.0,10.0,Jason Sanders 39 yard field goal good,2.08,3.0,10.0,2022,140
2.0,11:05,,,MIA 35,7.0,10.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,140
2.0,11:05,1.0,10.0,CLE 25,7.0,10.0,Kareem Hunt right tackle for 1 yard (tackle by Elandon Roberts and Kader Kohou),0.61,0.2,10.0,2022,140
2.0,10:27,2.0,9.0,CLE 26,7.0,10.0,Jacoby Brissett pass complete short right to Amari Cooper for 10 yards (tackle by Xavien Howard and Verone McKinley),0.2,1.33,10.0,2022,140
2.0,9:48,1.0,10.0,CLE 36,7.0,10.0,Jacoby Brissett scrambles right end for 3 yards (tackle by Andrew Van Ginkel),1.33,1.2,10.0,2022,140
2.0,9:13,2.0,7.0,CLE 39,7.0,10.0,Jacoby Brissett pass complete short left to Harrison Bryant for 2 yards (tackle by Xavien Howard and Andrew Van Ginkel),1.2,0.76,10.0,2022,140
2.0,8:27,3.0,5.0,CLE 41,7.0,10.0,Jacoby Brissett pass complete short left to Amari Cooper for 10 yards (tackle by Xavien Howard),0.76,2.32,10.0,2022,140
2.0,7:44,1.0,10.0,MIA 49,7.0,10.0,Kareem Hunt up the middle for 1 yard (tackle by Jerome Baker and John Jenkins),2.32,1.92,10.0,2022,140
2.0,7:03,2.0,9.0,MIA 48,7.0,10.0,Kareem Hunt right guard for 7 yards (tackle by Kader Kohou),1.92,2.15,10.0,2022,140
2.0,6:21,3.0,2.0,MIA 41,7.0,10.0,Kareem Hunt up the middle for -1 yards (tackle by Jerome Baker),2.15,0.46,10.0,2022,140
2.0,5:44,4.0,3.0,MIA 42,7.0,10.0,Jacoby Brissett pass incomplete short middle intended for Donovan Peoples-Jones (defended by Kader Kohou),0.46,-1.73,10.0,2022,140
2.0,5:35,1.0,10.0,MIA 42,7.0,10.0,"Tua Tagovailoa pass complete deep right to Tyreek Hill for 20 yards. Penalty on Sione Takitaki: Illegal Contact, 5 yards (declined)",1.73,3.05,10.0,2022,140
2.0,5:27,1.0,10.0,CLE 38,7.0,10.0,Jeff Wilson up the middle for 2 yards (tackle by Myles Garrett and Sione Takitaki),3.05,2.78,10.0,2022,140
2.0,4:42,2.0,8.0,CLE 36,7.0,10.0,Jeff Wilson right tackle for 13 yards (tackle by Martin Emerson),2.78,4.04,10.0,2022,140
2.0,3:59,1.0,10.0,CLE 23,7.0,10.0,Jeff Wilson left tackle for 9 yards (tackle by Jordan Kunaszyk),4.04,4.95,10.0,2022,140
2.0,3:31,2.0,1.0,CLE 14,7.0,10.0,Raheem Mostert up the middle for no gain (tackle by Jadeveon Clowney),4.95,4.28,10.0,2022,140
2.0,2:45,3.0,1.0,CLE 14,7.0,10.0,Durham Smythe up the middle for no gain (tackle by Jordan Kunaszyk),4.28,2.66,10.0,2022,140
2.0,2:16,4.0,1.0,CLE 14,7.0,10.0,Jeff Wilson up the middle for -1 yards (tackle by Grant Delpit and Jordan Kunaszyk),2.66,0.22,10.0,2022,140
2.0,2:08,1.0,10.0,CLE 15,7.0,10.0,Jacoby Brissett pass complete short left to Harrison Bryant for 12 yards (tackle by Andrew Van Ginkel),-0.22,0.74,10.0,2022,140
2.0,2:00,1.0,10.0,CLE 27,7.0,10.0,Nick Chubb left end for 2 yards (tackle by Christian Wilkins),0.74,0.47,10.0,2022,140
2.0,1:40,2.0,8.0,CLE 29,7.0,10.0,Jacoby Brissett pass complete short left to Nick Chubb for 2 yards (tackle by Jerome Baker),0.47,0.04,10.0,2022,140
2.0,1:36,3.0,6.0,CLE 31,7.0,10.0,Jacoby Brissett sacked by and Christian Wilkins for -11 yards and Melvin Ingram for -11 yards,0.04,-2.03,10.0,2022,140
2.0,1:31,,,,,,Timeout #1 by Miami Dolphins,,,10.0,2022,140
2.0,1:31,4.0,17.0,CLE 20,7.0,10.0,"Corey Bojorquez punts 41 yards, returned by Cedrick Wilson for 8 yards (tackle by D'Anthony Bell)",-2.03,-2.06,10.0,2022,140
2.0,1:22,1.0,10.0,MIA 47,7.0,10.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 5 yards (tackle by Greg Newsome and Deion Jones),2.06,2.19,10.0,2022,140
2.0,1:02,2.0,5.0,CLE 48,7.0,10.0,Tua Tagovailoa pass complete short right to Mike Gesicki for 15 yards (tackle by Grant Delpit),2.19,3.38,10.0,2022,140
2.0,0:57,1.0,10.0,CLE 33,7.0,10.0,Tua Tagovailoa pass incomplete short middle intended for Jeff Wilson,3.38,2.84,10.0,2022,140
2.0,0:53,2.0,10.0,CLE 33,7.0,10.0,Tua Tagovailoa pass complete short left to Trent Sherfield for 4 yards (tackle by Denzel Ward),2.84,2.68,10.0,2022,140
2.0,0:49,3.0,6.0,CLE 29,7.0,10.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 7 yards,2.68,4.11,10.0,2022,140
2.0,0:44,1.0,10.0,CLE 22,7.0,10.0,Tua Tagovailoa pass complete short middle to Raheem Mostert for 8 yards (tackle by Sione Takitaki),4.11,4.85,10.0,2022,140
2.0,0:37,,,,,,Timeout #2 by Miami Dolphins,,,10.0,2022,140
2.0,0:37,2.0,2.0,CLE 14,7.0,16.0,"Tua Tagovailoa pass complete short left to Trent Sherfield for 14 yards, touchdown",4.85,7.0,10.0,2022,140
2.0,0:32,,,CLE 15,7.0,17.0,Jason Sanders kicks extra point good,0.0,0.0,10.0,2022,140
2.0,0:32,,,MIA 35,7.0,17.0,"Jason Sanders kicks off 67 yards, returned by Jerome Ford for 19 yards (tackle by Justin Bethel and Elijah Campbell)",0.0,-0.06,10.0,2022,140
2.0,0:27,1.0,10.0,CLE 17,7.0,17.0,"Jacoby Brissett pass complete short left to David Bell for no gain (tackle by Kader Kohou). Penalty on Jack Conklin: Tripping / Offense, 10 yards (declined) . Penalty on Jedrick Wills: Offensive Holding, 8 yards (accepted) (no play)",-0.06,-0.68,10.0,2022,140
2.0,0:22,1.0,18.0,CLE 9,7.0,17.0,"Kareem Hunt right tackle for no gain (tackle by Duke Riley and Jaelan Phillips). Penalty on Jack Conklin: Offensive Holding, 4 yards (accepted) (no play)",-0.68,-0.84,10.0,2022,140
2.0,0:17,1.0,22.0,CLE 5,7.0,17.0,Jacoby Brissett kneels for -1 yards,-0.84,-1.73,10.0,2022,140
3.0,15:00,,,CLE 35,7.0,17.0,"Cade York kicks off 58 yards, returned by Raheem Mostert for 23 yards (tackle by Jermaine Carter and Cade York)",0.0,0.94,10.0,2022,140
3.0,14:54,1.0,10.0,MIA 30,7.0,17.0,Tua Tagovailoa pass complete short right to Jeff Wilson for 14 yards (tackle by Deion Jones),0.94,1.86,10.0,2022,140
3.0,14:20,1.0,10.0,MIA 44,7.0,17.0,Jeff Wilson right tackle for 6 yards (tackle by Sione Takitaki),1.86,2.13,10.0,2022,140
3.0,13:46,2.0,4.0,MIA 50,7.0,17.0,Tua Tagovailoa pass complete short left to Alec Ingold for 9 yards (tackle by Sione Takitaki),2.13,2.85,10.0,2022,140
3.0,13:07,1.0,10.0,CLE 41,7.0,17.0,Jeff Wilson right guard for 1 yard (tackle by Tommy Togiai and Alex Wright),2.85,2.44,10.0,2022,140
3.0,12:25,2.0,9.0,CLE 40,7.0,17.0,Tua Tagovailoa pass complete short left to Mike Gesicki for 16 yards (tackle by Denzel Ward),2.44,3.97,10.0,2022,140
3.0,11:42,1.0,10.0,CLE 24,7.0,23.0,"Raheem Mostert left tackle for 24 yards, touchdown",3.97,7.0,10.0,2022,140
3.0,11:35,,,CLE 15,7.0,24.0,Jason Sanders kicks extra point good,0.0,0.0,10.0,2022,140
3.0,11:35,,,MIA 35,7.0,24.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,140
3.0,11:35,1.0,10.0,CLE 25,7.0,24.0,Nick Chubb up the middle for 2 yards (tackle by Elandon Roberts),0.61,0.33,10.0,2022,140
3.0,10:55,2.0,8.0,CLE 27,7.0,24.0,Jacoby Brissett pass incomplete short middle intended for Pharaoh Brown (defended by Jerome Baker),0.33,-0.36,10.0,2022,140
3.0,10:48,3.0,8.0,CLE 27,7.0,24.0,"Jacoby Brissett pass incomplete deep right intended for Donovan Peoples-Jones. Penalty on Christian Wilkins: Roughing the Passer, 15 yards (accepted) (no play)",-0.36,1.73,10.0,2022,140
3.0,10:40,1.0,10.0,CLE 42,7.0,24.0,Jacoby Brissett pass complete short middle to Nick Chubb for 9 yards (tackle by Andrew Van Ginkel and Elandon Roberts),1.73,2.4,10.0,2022,140
3.0,10:14,2.0,1.0,MIA 49,7.0,24.0,Jacoby Brissett pass incomplete short left,2.4,1.69,10.0,2022,140
3.0,10:11,3.0,1.0,MIA 49,7.0,24.0,Nick Chubb right guard for 8 yards (tackle by Jevon Holland and Jerome Baker),1.69,2.85,10.0,2022,140
3.0,9:40,1.0,10.0,MIA 41,7.0,24.0,Nick Chubb left end for 2 yards (tackle by Zach Sieler and Andrew Van Ginkel),2.85,2.58,10.0,2022,140
3.0,9:01,2.0,8.0,MIA 39,7.0,24.0,Jacoby Brissett scrambles left tackle for 14 yards (tackle by Verone McKinley),2.58,3.91,10.0,2022,140
3.0,8:25,1.0,10.0,MIA 25,7.0,24.0,Kareem Hunt left tackle for -1 yards (tackle by Christian Wilkins),3.91,3.23,10.0,2022,140
3.0,7:51,2.0,11.0,MIA 26,7.0,24.0,Jacoby Brissett pass complete short left to Donovan Peoples-Jones for 7 yards (tackle by Justin Bethel and Jaelan Phillips),3.23,3.49,10.0,2022,140
3.0,7:08,3.0,4.0,MIA 19,7.0,24.0,Jacoby Brissett pass incomplete deep left intended for Donovan Peoples-Jones,3.49,2.26,10.0,2022,140
3.0,7:00,4.0,4.0,MIA 19,10.0,24.0,Cade York 37 yard field goal good,2.26,3.0,10.0,2022,140
3.0,6:56,,,CLE 35,10.0,24.0,"Cade York kicks off 66 yards, returned by Raheem Mostert for 24 yards (tackle by Jermaine Carter)",0.0,0.48,10.0,2022,140
3.0,6:51,1.0,10.0,MIA 23,10.0,24.0,Tua Tagovailoa pass incomplete deep right intended for Tyreek Hill (defended by Denzel Ward),0.48,-0.07,10.0,2022,140
3.0,6:45,2.0,10.0,MIA 23,10.0,24.0,Tua Tagovailoa pass incomplete short left intended for Jeff Wilson,-0.07,-0.76,10.0,2022,140
3.0,6:40,3.0,10.0,MIA 23,10.0,24.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 15 yards (tackle by John Johnson),-0.76,1.47,10.0,2022,140
3.0,6:01,1.0,10.0,MIA 38,10.0,24.0,Jeff Wilson up the middle for 8 yards (tackle by Grant Delpit),1.47,2.0,10.0,2022,140
3.0,5:25,2.0,2.0,MIA 46,10.0,24.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 16 yards (tackle by Greg Newsome),2.0,3.05,10.0,2022,140
3.0,4:45,1.0,10.0,CLE 38,10.0,24.0,Tua Tagovailoa pass complete short right to Cedrick Wilson for 7 yards,3.05,3.45,10.0,2022,140
3.0,4:08,2.0,3.0,CLE 31,10.0,24.0,Jeff Wilson up the middle for 5 yards (tackle by Jordan Kunaszyk),3.45,3.84,10.0,2022,140
3.0,3:28,1.0,10.0,CLE 26,10.0,24.0,Raheem Mostert right guard for 6 yards (tackle by Ronnie Harrison),3.84,4.11,10.0,2022,140
3.0,2:49,2.0,4.0,CLE 20,10.0,24.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 4 yards (tackle by Jordan Kunaszyk),4.11,4.51,10.0,2022,140
3.0,2:06,1.0,10.0,CLE 16,10.0,24.0,Raheem Mostert left guard for 10 yards (tackle by Denzel Ward and John Johnson),4.51,5.83,10.0,2022,140
3.0,1:17,1.0,6.0,CLE 6,10.0,24.0,Jeff Wilson up the middle for 4 yards (tackle by Grant Delpit and Tommy Togiai),5.83,5.72,10.0,2022,140
3.0,0:50,2.0,2.0,CLE 2,10.0,24.0,Tua Tagovailoa pass incomplete short left intended for Mike Gesicki (defended by Jordan Kunaszyk),5.72,4.95,10.0,2022,140
3.0,0:41,3.0,2.0,CLE 2,10.0,30.0,"Tua Tagovailoa pass complete short middle to Tyreek Hill for 2 yards, touchdown",4.95,7.0,10.0,2022,140
3.0,0:37,,,CLE 15,10.0,30.0,Jason Sanders kicks extra point no good,0.0,-1.0,10.0,2022,140
3.0,0:37,,,MIA 35,10.0,30.0,"Jason Sanders kicks off 69 yards, returned by Jerome Ford for 28 yards (tackle by Elijah Campbell)",0.0,0.54,10.0,2022,140
3.0,0:31,1.0,10.0,CLE 24,10.0,30.0,Jacoby Brissett pass complete short left to Nick Chubb for 7 yards (tackle by Kader Kohou),0.54,0.94,10.0,2022,140
3.0,0:06,2.0,3.0,CLE 31,10.0,30.0,"Nick Chubb left tackle for 2 yards (tackle by Verone McKinley). Penalty on Hjalte Froholdt: Offensive Holding, 10 yards (accepted)",0.94,-0.28,10.0,2022,140
4.0,15:00,2.0,13.0,CLE 23,10.0,30.0,Jacoby Brissett pass complete short left to Kareem Hunt for 10 yards (tackle by Jerome Baker and Duke Riley),-0.28,0.5,10.0,2022,140
4.0,14:34,3.0,1.0,CLE 33,10.0,30.0,Kareem Hunt right guard for 2 yards (tackle by Bradley Chubb and Zach Sieler),0.5,1.27,10.0,2022,140
4.0,14:08,1.0,10.0,CLE 35,10.0,30.0,Jacoby Brissett pass complete short left to David Bell for 13 yards (tackle by Justin Bethel),1.27,2.13,10.0,2022,140
4.0,13:42,1.0,10.0,CLE 48,10.0,30.0,Jacoby Brissett pass complete short middle to Donovan Peoples-Jones for 19 yards (tackle by Verone McKinley),2.13,3.38,10.0,2022,140
4.0,13:19,1.0,10.0,MIA 33,16.0,30.0,"Nick Chubb left end for 33 yards, touchdown",3.38,7.0,10.0,2022,140
4.0,13:09,,,MIA 15,17.0,30.0,Cade York kicks extra point good,0.0,0.0,10.0,2022,140
4.0,13:09,,,CLE 35,17.0,30.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,140
4.0,13:09,1.0,10.0,MIA 25,17.0,30.0,"Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill. Penalty on Taven Bryan: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.61,1.6,10.0,2022,140
4.0,13:03,1.0,10.0,MIA 40,17.0,30.0,Jeff Wilson up the middle for 2 yards (tackle by Grant Delpit and Myles Garrett),1.6,1.32,10.0,2022,140
4.0,12:23,2.0,8.0,MIA 42,17.0,30.0,"Tua Tagovailoa pass incomplete short right intended for Jeff Wilson. Penalty on Jadeveon Clowney: Defensive Offside, 5 yards (accepted) (no play)",1.32,2.0,10.0,2022,140
4.0,12:18,2.0,3.0,MIA 47,17.0,30.0,Tua Tagovailoa pass complete short middle to Trent Sherfield for 27 yards (tackle by Tony Fields),2.0,3.84,10.0,2022,140
4.0,12:01,1.0,10.0,CLE 26,17.0,30.0,"Penalty on Trent Sherfield: Taunting / Offense, 15 yards (accepted) (no play)",3.84,2.85,10.0,2022,140
4.0,11:53,1.0,10.0,CLE 41,17.0,30.0,Tua Tagovailoa pass complete short left to Alec Ingold for 6 yards (tackle by Deion Jones),2.85,3.12,10.0,2022,140
4.0,11:15,,,,,,Timeout #1 by Miami Dolphins,,,10.0,2022,140
4.0,11:15,2.0,4.0,CLE 35,17.0,30.0,Jeff Wilson left tackle for 3 yards (tackle by Taven Bryan and Deion Jones),3.12,2.81,10.0,2022,140
4.0,10:33,3.0,1.0,CLE 32,17.0,30.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 15 yards (tackle by Martin Emerson),2.81,4.44,10.0,2022,140
4.0,9:51,1.0,10.0,CLE 17,17.0,30.0,"Robert Hunt aborted snap, recovered by Tua Tagovailoa at CLE-23 Tua Tagovailoa for no gain (tackle by Sione Takitaki)",4.44,3.08,10.0,2022,140
4.0,9:08,2.0,16.0,CLE 23,17.0,30.0,Tua Tagovailoa pass incomplete short middle intended for Trent Sherfield,3.08,2.41,10.0,2022,140
4.0,9:02,3.0,16.0,CLE 23,17.0,30.0,Jeff Wilson right end for 8 yards (tackle by Denzel Ward),2.41,2.44,10.0,2022,140
4.0,8:19,4.0,8.0,CLE 15,17.0,33.0,Jason Sanders 33 yard field goal good,2.44,3.0,10.0,2022,140
4.0,8:15,,,MIA 35,17.0,33.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,140
4.0,8:15,1.0,10.0,CLE 25,17.0,33.0,Jacoby Brissett pass incomplete short right intended for Nick Chubb (defended by Jaelan Phillips),0.61,0.06,10.0,2022,140
4.0,8:08,2.0,10.0,CLE 25,17.0,33.0,Jacoby Brissett pass incomplete deep right intended for Donovan Peoples-Jones (defended by Justin Bethel),0.06,-0.62,10.0,2022,140
4.0,8:03,3.0,10.0,CLE 25,17.0,33.0,Jacoby Brissett pass complete short left to Anthony Schwartz for 3 yards (tackle by Justin Bethel),-0.62,-1.5,10.0,2022,140
4.0,7:22,4.0,7.0,CLE 28,17.0,33.0,Jacoby Brissett sacked by and Jaelan Phillips for -8 yards and Melvin Ingram for -8 yards,-1.5,-4.24,10.0,2022,140
4.0,7:13,1.0,10.0,CLE 20,17.0,39.0,"Jeff Wilson left end for 20 yards, touchdown",4.24,7.0,10.0,2022,140
4.0,7:07,,,CLE 15,17.0,39.0,Jason Sanders kicks extra point no good,0.0,-1.0,10.0,2022,140
4.0,7:07,,,MIA 35,17.0,39.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,140
4.0,7:07,1.0,10.0,CLE 25,17.0,39.0,Jacoby Brissett pass complete short middle to David Bell for 6 yards (tackle by Duke Riley),0.61,0.87,10.0,2022,140
4.0,6:44,2.0,4.0,CLE 31,17.0,39.0,Jacoby Brissett pass complete short left to D'Ernest Johnson for -2 yards (tackle by Zach Sieler and Christian Wilkins),0.87,-0.1,10.0,2022,140
4.0,6:12,3.0,6.0,CLE 29,17.0,39.0,Jacoby Brissett pass incomplete deep left intended for Donovan Peoples-Jones (defended by Justin Bethel),-0.1,-1.44,10.0,2022,140
4.0,6:07,4.0,6.0,CLE 29,17.0,39.0,Jacoby Brissett scrambles up the middle for 13 yards (tackle by Justin Bethel),-1.44,1.73,10.0,2022,140
4.0,5:39,1.0,10.0,CLE 42,17.0,39.0,Jacoby Brissett scrambles right end for 7 yards (tackle by Justin Bethel),1.73,2.13,10.0,2022,140
4.0,5:07,2.0,3.0,CLE 49,17.0,39.0,"Ethan Pocic aborted snap, recovered by Jacoby Brissett at CLE-49 Jacoby Brissett pass complete short left to Donovan Peoples-Jones for 13 yards (tackle by Justin Bethel and Jevon Holland)",2.13,3.05,10.0,2022,140
4.0,4:40,1.0,10.0,MIA 38,17.0,39.0,Jacoby Brissett pass complete short left to Amari Cooper for 12 yards,3.05,3.84,10.0,2022,140
4.0,4:34,1.0,10.0,MIA 26,17.0,39.0,"Jacoby Brissett scrambles left end for no gain (tackle by Kader Kohou). Penalty on Joel Bitonio: Offensive Holding, 10 yards (accepted) (no play)",3.84,3.18,10.0,2022,140
4.0,4:23,1.0,20.0,MIA 36,17.0,39.0,Jacoby Brissett pass incomplete short middle intended for David Bell (defended by Kader Kohou),3.18,1.95,10.0,2022,140
4.0,4:18,2.0,20.0,MIA 36,17.0,39.0,Jacoby Brissett pass incomplete short right intended for Pharaoh Brown (defended by Elijah Campbell),1.95,1.29,10.0,2022,140
4.0,4:15,3.0,20.0,MIA 36,17.0,39.0,Jacoby Brissett pass incomplete deep middle intended for Michael Woods,1.29,0.88,10.0,2022,140
4.0,4:09,4.0,20.0,MIA 36,17.0,39.0,Jacoby Brissett pass incomplete short middle intended for David Bell (defended by Kader Kohou),0.88,-1.33,10.0,2022,140
4.0,4:05,1.0,10.0,MIA 36,17.0,39.0,Salvon Ahmed right tackle for 7 yards (tackle by Isaiah Thomas),1.33,1.74,10.0,2022,140
4.0,3:29,2.0,3.0,MIA 43,17.0,39.0,Salvon Ahmed right tackle for 2 yards (tackle by Roderick Perry and Sione Takitaki),1.74,1.29,10.0,2022,140
4.0,2:48,3.0,1.0,MIA 45,17.0,39.0,Salvon Ahmed right guard for 2 yards (tackle by Sione Takitaki),1.29,2.06,10.0,2022,140
