Quarter,Time,Down,ToGo,Location,MIN,BUF,Detail,EPB,EPA,week,year,game_id
2,9:27,3.0,10.0,BUF 22,7.0,17.0,Kirk Cousins pass complete deep left to K.J. Osborn for 20 yards (tackle by Damar Hamlin),2.87,6.74,10.0,2022,139
2,8:47,1.0,2.0,BUF 2,7.0,17.0,Alexander Mattison left tackle for -5 yards (tackle by Matt Milano),6.74,4.76,10.0,2022,139
2,8:06,2.0,7.0,BUF 7,7.0,17.0,"Kirk Cousins pass incomplete short middle intended for T.J. Hockenson. Penalty on T.J. Hockenson: Offensive Pass Interference, 10 yards (accepted) (no play)",4.76,3.24,10.0,2022,139
2,8:01,2.0,17.0,BUF 17,7.0,17.0,Kirk Cousins pass complete short middle to Alexander Mattison for 8 yards (tackle by Cameron Lewis),3.24,3.36,10.0,2022,139
2,7:22,3.0,9.0,BUF 9,7.0,17.0,Kirk Cousins pass incomplete short left intended for T.J. Hockenson (defended by Dane Jackson),3.36,2.83,10.0,2022,139
2,7:15,4.0,9.0,BUF 9,10.0,17.0,Greg Joseph 27 yard field goal good,2.83,3.0,10.0,2022,139
2,7:12,,,MIN 35,10.0,17.0,"Greg Joseph kicks off 64 yards, returned by Duke Johnson for 9 yards (tackle by Josh Metellus)",0.0,-0.38,10.0,2022,139
2,7:07,1.0,10.0,BUF 10,10.0,17.0,Devin Singletary left tackle for 2 yards (tackle by D.J. Wonnum and Khyiris Tonga),-0.38,-0.63,10.0,2022,139
2,6:38,2.0,8.0,BUF 12,10.0,17.0,Josh Allen pass complete short left to Gabriel Davis for 6 yards (tackle by Akayleb Evans),-0.63,-0.48,10.0,2022,139
2,6:15,3.0,2.0,BUF 18,10.0,17.0,Josh Allen pass complete short right to Isaiah McKenzie for 6 yards (tackle by Chandon Sullivan),-0.48,0.54,10.0,2022,139
2,5:35,1.0,10.0,BUF 24,10.0,17.0,Isaiah McKenzie right end for 18 yards (tackle by Harrison Smith),0.54,1.73,10.0,2022,139
2,4:55,1.0,10.0,BUF 42,10.0,17.0,Josh Allen pass complete short right to Dawson Knox for 15 yards (tackle by Harrison Smith),1.73,2.72,10.0,2022,139
2,4:09,1.0,10.0,MIN 43,10.0,17.0,Josh Allen scrambles right tackle for 9 yards (tackle by Harrison Smith),2.72,3.39,10.0,2022,139
2,3:30,2.0,1.0,MIN 34,10.0,17.0,"Devin Singletary left end for 7 yards. Devin Singletary fumbles (forced by Akayleb Evans), recovered by Camryn Bynum at MIN-23 and returned for 40 yards (tackle by Josh Allen) Replay Assistant challenged the fumble ruling, and the play was upheld.",3.39,-3.12,10.0,2022,139
2,3:15,1.0,10.0,BUF 37,10.0,17.0,Kirk Cousins pass complete short left to Adam Thielen for 5 yards (tackle by Tremaine Edmunds and Matt Milano),3.12,3.25,10.0,2022,139
2,2:34,2.0,5.0,BUF 32,10.0,17.0,Kirk Cousins pass complete short right to K.J. Osborn for 4 yards (tackle by Taron Johnson),3.25,3.07,10.0,2022,139
2,2:00,3.0,1.0,BUF 28,10.0,17.0,Kirk Cousins pass incomplete deep left intended for Justin Jefferson (defended by Christian Benford),3.07,1.72,10.0,2022,139
2,1:54,4.0,1.0,BUF 28,10.0,17.0,Kirk Cousins pass incomplete short left intended for K.J. Osborn (defended by Christian Benford),1.72,-0.87,10.0,2022,139
2,1:50,1.0,10.0,BUF 29,10.0,17.0,Josh Allen scrambles left guard for 25 yards (tackle by Akayleb Evans),0.87,2.52,10.0,2022,139
2,1:17,1.0,10.0,MIN 46,10.0,17.0,Josh Allen pass complete short left to Stefon Diggs for 14 yards (tackle by Akayleb Evans),2.52,3.45,10.0,2022,139
2,0:47,1.0,10.0,MIN 32,10.0,17.0,Josh Allen pass complete short middle to Gabriel Davis for 15 yards (tackle by Patrick Peterson),3.45,4.44,10.0,2022,139
2,0:39,,,,,,Timeout #2 by Buffalo Bills,,,10.0,2022,139
2,0:39,1.0,10.0,MIN 17,10.0,17.0,Josh Allen pass complete short right to Stefon Diggs for 6 yards (tackle by Chandon Sullivan),4.44,4.89,10.0,2022,139
2,0:32,2.0,4.0,MIN 11,10.0,23.0,"Josh Allen pass complete short left to Gabriel Davis for 11 yards, touchdown",4.89,7.0,10.0,2022,139
2,0:28,,,MIN 15,10.0,24.0,Tyler Bass kicks extra point good,0.0,0.0,10.0,2022,139
2,0:28,,,BUF 35,10.0,24.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,139
2,0:28,1.0,10.0,MIN 25,10.0,24.0,Kirk Cousins pass incomplete short right intended for K.J. Osborn,0.61,0.06,10.0,2022,139
2,0:23,2.0,10.0,MIN 25,10.0,24.0,Kirk Cousins pass complete short left to Dalvin Cook for 2 yards (tackle by Tremaine Edmunds),0.06,-0.36,10.0,2022,139
2,0:14,,,,,,Timeout #2 by Minnesota Vikings,,,10.0,2022,139
2,0:14,3.0,8.0,MIN 27,10.0,24.0,Kirk Cousins pass incomplete deep left intended for Adam Thielen (defended by Tremaine Edmunds),-0.36,-1.57,10.0,2022,139
2,0:08,4.0,8.0,MIN 27,10.0,24.0,"Ryan Wright punts 46 yards, returned by Nyheim Hines for 4 yards (tackle by D.J. Wonnum)",-1.57,0.74,10.0,2022,139
3,15:00,,,BUF 35,10.0,24.0,"Tyler Bass kicks off 69 yards, returned by Kene Nwangwu for 26 yards (tackle by Cameron Lewis)",0.0,0.41,10.0,2022,139
3,14:55,1.0,10.0,MIN 22,10.0,24.0,Dalvin Cook right guard for 3 yards (tackle by DaQuan Jones),0.41,0.27,10.0,2022,139
3,14:37,2.0,7.0,MIN 25,10.0,24.0,Kirk Cousins pass complete deep left to Justin Jefferson for 19 yards (tackle by Christian Benford),0.27,1.86,10.0,2022,139
3,14:03,1.0,10.0,MIN 44,10.0,24.0,Dalvin Cook right end for 5 yards (tackle by Damar Hamlin),1.86,1.99,10.0,2022,139
3,13:17,2.0,5.0,MIN 49,10.0,24.0,Kirk Cousins pass incomplete short left intended for Dalvin Cook,1.99,1.29,10.0,2022,139
3,13:14,3.0,5.0,MIN 49,10.0,24.0,Kirk Cousins pass complete short left to Dalvin Cook for 15 yards (tackle by Tyrel Dodson),1.29,3.18,10.0,2022,139
3,12:31,1.0,10.0,BUF 36,10.0,24.0,Kirk Cousins pass intended for Justin Jefferson is intercepted by Dane Jackson at BUF-31 and returned for 11 yards (tackle by Justin Jefferson),3.18,-1.73,10.0,2022,139
3,12:22,1.0,10.0,BUF 42,10.0,24.0,"Devin Singletary for no gain (tackle by Harrison Phillips). Penalty on Spencer Brown: Offensive Holding, 10 yards (accepted) (no play)",1.73,1.07,10.0,2022,139
3,11:51,1.0,20.0,BUF 32,10.0,24.0,Josh Allen pass complete short middle to Stefon Diggs for 18 yards (tackle by Camryn Bynum and Eric Kendricks),1.07,2.27,10.0,2022,139
3,11:17,2.0,2.0,MIN 50,10.0,24.0,Devin Singletary up the middle for 1 yard (tackle by Eric Kendricks and Za'Darius Smith),2.27,1.69,10.0,2022,139
3,10:45,3.0,1.0,MIN 49,10.0,24.0,"Josh Allen sacked by Za'Darius Smith for -13 yards. Penalty on Mitch Morse: Offensive Holding, 10 yards (declined)",1.69,-0.85,10.0,2022,139
3,10:39,4.0,14.0,BUF 38,10.0,24.0,"Sam Martin punts 41 yards, returned by Jalen Reagor for 2 yards (tackle by Jake Kumerow)",-0.85,-0.48,10.0,2022,139
3,10:18,1.0,10.0,MIN 23,10.0,24.0,Dalvin Cook right end for -6 yards (tackle by Dane Jackson),0.48,-1.01,10.0,2022,139
3,9:40,2.0,16.0,MIN 17,10.0,24.0,Kirk Cousins pass complete short right to T.J. Hockenson for 4 yards (tackle by Matt Milano),-1.01,-1.02,10.0,2022,139
3,9:04,3.0,12.0,MIN 21,10.0,24.0,Kirk Cousins pass complete deep middle to T.J. Hockenson for 16 yards (tackle by Taron Johnson),-1.02,1.4,10.0,2022,139
3,8:30,1.0,10.0,MIN 37,10.0,24.0,Kirk Cousins pass complete short left to T.J. Hockenson for 6 yards (tackle by Dane Jackson),1.4,1.67,10.0,2022,139
3,7:50,2.0,4.0,MIN 43,10.0,24.0,Kirk Cousins pass complete short middle to T.J. Hockenson for -1 yards (tackle by Taron Johnson and Tyrel Dodson),1.67,0.83,10.0,2022,139
3,7:04,,,,,,Timeout #1 by Minnesota Vikings,,,10.0,2022,139
3,7:04,3.0,5.0,MIN 42,10.0,24.0,"Kirk Cousins pass complete short middle to K.J. Osborn for no gain. Penalty on Christian Darrisaw: Offensive Holding, 10 yards (accepted) (no play)",0.83,-0.49,10.0,2022,139
3,6:28,3.0,15.0,MIN 32,10.0,24.0,Kirk Cousins pass incomplete deep middle intended for K.J. Osborn,-0.49,-1.24,10.0,2022,139
3,6:12,4.0,15.0,MIN 32,10.0,24.0,"Ryan Wright punts 59 yards, returned by Nyheim Hines for 13 yards (tackle by C.J. Ham and Patrick Jones). Penalty on Brian Asamoah: Ineligible Downfield Kick, 5 yards (accepted)",-1.24,-0.74,10.0,2022,139
3,6:12,1.0,10.0,BUF 27,10.0,24.0,Devin Singletary left guard for no gain (tackle by Eric Kendricks),0.74,0.2,10.0,2022,139
3,5:37,2.0,10.0,BUF 27,10.0,24.0,Devin Singletary left guard for 5 yards (tackle by Jordan Hicks and Khyiris Tonga),0.2,0.17,10.0,2022,139
3,5:12,3.0,5.0,BUF 32,10.0,24.0,"Penalty on Za'Darius Smith: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.17,1.4,10.0,2022,139
3,4:50,1.0,10.0,BUF 37,10.0,24.0,Josh Allen pass complete short left to Stefon Diggs for 11 yards (tackle by Harrison Smith),1.4,2.13,10.0,2022,139
3,4:16,1.0,10.0,BUF 48,10.0,24.0,Josh Allen pass complete short right to Dawson Knox for 22 yards (tackle by Chandon Sullivan),2.13,3.58,10.0,2022,139
3,3:39,1.0,10.0,MIN 30,10.0,24.0,James Cook left end for 8 yards (tackle by Camryn Bynum),3.58,4.11,10.0,2022,139
3,3:03,2.0,2.0,MIN 22,10.0,24.0,Josh Allen pass incomplete short right intended for Khalil Shakir (defended by Chandon Sullivan),4.11,3.4,10.0,2022,139
3,2:54,3.0,2.0,MIN 22,10.0,24.0,Duke Johnson right guard for no gain (tackle by Harrison Phillips and Jonathan Bullard),3.4,2.12,10.0,2022,139
3,2:11,4.0,2.0,MIN 22,10.0,24.0,"Penalty on Reid Ferguson: False Start, 5 yards (accepted) (no play)",2.12,1.67,10.0,2022,139
3,1:56,4.0,7.0,MIN 27,10.0,27.0,Tyler Bass 45 yard field goal good,1.67,3.0,10.0,2022,139
3,1:51,,,BUF 35,10.0,27.0,"Tyler Bass kicks off 67 yards, returned by Kene Nwangwu for 21 yards (tackle by Terrel Bernard)",0.0,0.15,10.0,2022,139
3,1:46,1.0,10.0,MIN 19,16.0,27.0,"Dalvin Cook left tackle for 81 yards, touchdown",0.15,7.0,10.0,2022,139
3,1:34,,,BUF 15,17.0,27.0,Greg Joseph kicks extra point good,0.0,0.0,10.0,2022,139
3,1:34,,,MIN 35,17.0,27.0,"Greg Joseph kicks off 60 yards, returned by Duke Johnson for 21 yards (tackle by Theo Jackson and Jalen Nailor)",0.0,0.67,10.0,2022,139
3,1:26,1.0,10.0,BUF 26,17.0,27.0,Josh Allen pass complete short left to Stefon Diggs for 5 yards (tackle by Eric Kendricks),0.67,0.81,10.0,2022,139
3,0:57,2.0,5.0,BUF 31,17.0,27.0,Josh Allen pass incomplete short left intended for Stefon Diggs,0.81,0.1,10.0,2022,139
3,0:53,3.0,5.0,BUF 31,17.0,27.0,"Josh Allen scrambles up the middle for no gain (tackle by Za'Darius Smith). Penalty on Spencer Brown: Offensive Holding, 10 yards (accepted) (no play)",0.1,-1.22,10.0,2022,139
3,0:28,3.0,15.0,BUF 21,17.0,27.0,Josh Allen pass complete deep right to Stefon Diggs for 25 yards (tackle by Harrison Smith),-1.22,1.99,10.0,2022,139
4,15:00,1.0,10.0,BUF 46,17.0,27.0,Devin Singletary left guard for no gain (tackle by James Lynch),1.99,1.45,10.0,2022,139
4,14:24,2.0,10.0,BUF 46,17.0,27.0,Josh Allen sacked by Danielle Hunter for -6 yards,1.45,-0.03,10.0,2022,139
4,13:40,3.0,16.0,BUF 40,17.0,27.0,Josh Allen pass complete deep left to Gabriel Davis for 22 yards (tackle by Patrick Peterson),-0.03,3.05,10.0,2022,139
4,12:54,1.0,10.0,MIN 38,17.0,27.0,Josh Allen pass incomplete short right,3.05,2.51,10.0,2022,139
4,12:50,2.0,10.0,MIN 38,17.0,27.0,James Cook left tackle for 7 yards (tackle by Khyiris Tonga and Eric Kendricks),2.51,2.74,10.0,2022,139
4,12:13,3.0,3.0,MIN 31,17.0,27.0,Josh Allen pass complete short right to Stefon Diggs for 16 yards (tackle by Andrew Booth and Camryn Bynum),2.74,4.58,10.0,2022,139
4,11:28,1.0,10.0,MIN 15,17.0,27.0,Josh Allen pass complete short left to Isaiah McKenzie for 8 yards (tackle by Camryn Bynum),4.58,5.41,10.0,2022,139
4,10:50,2.0,2.0,MIN 7,17.0,27.0,Josh Allen pass incomplete short middle,5.41,4.68,10.0,2022,139
4,10:46,3.0,2.0,MIN 7,17.0,27.0,Josh Allen pass incomplete short middle intended for Gabriel Davis,4.68,3.0,10.0,2022,139
4,10:42,4.0,2.0,MIN 7,17.0,27.0,Josh Allen pass short right intended for Dawson Knox is intercepted by Patrick Peterson in end zone and returned for 39 yards (tackle by Josh Allen),3.0,-1.2,10.0,2022,139
4,10:27,1.0,10.0,MIN 34,17.0,27.0,Dalvin Cook left end for 1 yard (tackle by Von Miller and DaQuan Jones),1.2,0.79,10.0,2022,139
4,9:51,2.0,9.0,MIN 35,17.0,27.0,Kirk Cousins pass incomplete short right intended for Justin Jefferson,0.79,0.1,10.0,2022,139
4,9:46,3.0,9.0,MIN 35,17.0,27.0,Kirk Cousins pass complete short middle to Adam Thielen for 8 yards (tackle by Damar Hamlin),0.1,-0.52,10.0,2022,139
4,9:02,,,,,,Timeout #2 by Minnesota Vikings,,,10.0,2022,139
4,9:02,4.0,1.0,MIN 43,17.0,27.0,K.J. Osborn right end for 2 yards (tackle by Cameron Lewis),-0.52,1.93,10.0,2022,139
4,8:21,1.0,10.0,MIN 45,17.0,27.0,Kirk Cousins pass incomplete short middle intended for Dalvin Cook,1.93,1.38,10.0,2022,139
4,8:15,2.0,10.0,MIN 45,17.0,27.0,Kirk Cousins pass complete short left to K.J. Osborn for 6 yards (tackle by Cameron Lewis),1.38,1.55,10.0,2022,139
4,7:37,3.0,3.0,BUF 49,17.0,27.0,Dalvin Cook right end for -2 yards (tackle by Ed Oliver),1.55,-0.13,10.0,2022,139
4,6:55,4.0,5.0,MIN 49,17.0,27.0,Kirk Cousins pass complete short left to T.J. Hockenson for 12 yards (tackle by Damar Hamlin),-0.13,2.98,10.0,2022,139
4,6:17,1.0,10.0,BUF 39,17.0,27.0,Kirk Cousins pass incomplete short middle intended for Justin Jefferson,2.98,2.44,10.0,2022,139
4,6:10,2.0,10.0,BUF 39,17.0,27.0,Kirk Cousins pass complete deep right to Adam Thielen for 21 yards (tackle by Cameron Lewis),2.44,4.37,10.0,2022,139
4,5:27,1.0,10.0,BUF 18,17.0,27.0,Kirk Cousins scrambles up the middle for 15 yards (tackle by Christian Benford),4.37,6.51,10.0,2022,139
4,4:43,1.0,3.0,BUF 3,17.0,27.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson,6.51,5.53,10.0,2022,139
4,4:38,2.0,3.0,BUF 3,23.0,27.0,"C.J. Ham left guard for 3 yards, touchdown",5.53,7.0,10.0,2022,139
4,4:34,,,BUF 15,23.0,27.0,Greg Joseph kicks extra point no good,0.0,-1.0,10.0,2022,139
4,4:34,,,MIN 35,23.0,27.0,"Greg Joseph kicks off 59 yards, returned by Duke Johnson for 22 yards (tackle by Theo Jackson and Troy Dye)",0.0,0.81,10.0,2022,139
4,4:28,1.0,10.0,BUF 28,23.0,27.0,Josh Allen pass complete short left to Devin Singletary for no gain (tackle by Danielle Hunter),0.81,0.26,10.0,2022,139
4,3:45,2.0,10.0,BUF 28,23.0,27.0,"Penalty on Stefon Diggs: False Start, 5 yards (accepted) (no play)",0.26,-0.41,10.0,2022,139
4,3:45,2.0,15.0,BUF 23,23.0,27.0,Josh Allen pass incomplete short left intended for Stefon Diggs,-0.41,-1.09,10.0,2022,139
4,3:40,3.0,15.0,BUF 23,23.0,27.0,Josh Allen pass incomplete deep left intended for Stefon Diggs (defended by Harrison Smith),-1.09,-1.83,10.0,2022,139
4,3:34,4.0,15.0,BUF 23,23.0,27.0,"Sam Martin punts 53 yards, fair catch by Jalen Reagor at MIN-24",-1.83,-0.54,10.0,2022,139
4,3:26,1.0,10.0,MIN 24,23.0,27.0,Kirk Cousins pass complete short right to K.J. Osborn for 5 yards,0.54,0.67,10.0,2022,139
4,3:13,2.0,5.0,MIN 29,23.0,27.0,Kirk Cousins pass complete short middle to Adam Thielen for 6 yards (tackle by Damar Hamlin),0.67,1.27,10.0,2022,139
4,3:05,1.0,10.0,MIN 35,23.0,27.0,Kirk Cousins sacked by Boogie Basham for -3 yards,1.27,0.32,10.0,2022,139
4,2:35,2.0,13.0,MIN 32,23.0,27.0,Kirk Cousins pass incomplete short right intended for T.J. Hockenson,0.32,-0.36,10.0,2022,139
4,2:21,3.0,13.0,MIN 32,23.0,27.0,Kirk Cousins sacked by Von Miller for -5 yards,-0.36,-1.57,10.0,2022,139
4,2:00,4.0,18.0,MIN 27,23.0,27.0,Kirk Cousins pass complete deep right to Justin Jefferson for 32 yards (tackle by Cameron Lewis),-1.57,2.85,10.0,2022,139
4,1:34,1.0,10.0,BUF 41,23.0,27.0,"Kirk Cousins pass complete short left to Adam Thielen for 9 yards (tackle by Christian Benford). Penalty on Christian Benford: Unnecessary Roughness / Defense, 15 yards (accepted)",2.85,4.44,10.0,2022,139
4,1:18,1.0,10.0,BUF 17,23.0,27.0,Kirk Cousins pass complete short middle to Justin Jefferson for 14 yards (tackle by Cameron Lewis),4.44,6.51,10.0,2022,139
4,1:09,,,,,,Timeout #1 by Buffalo Bills,,,10.0,2022,139
4,1:09,1.0,3.0,BUF 3,23.0,27.0,Kirk Cousins up the middle for -3 yards (tackle by Jordan Phillips),6.51,4.95,10.0,2022,139
4,1:05,,,,,,Timeout #2 by Buffalo Bills,,,10.0,2022,139
4,1:05,2.0,6.0,BUF 6,23.0,27.0,Kirk Cousins pass incomplete short right intended for Justin Jefferson,4.95,4.04,10.0,2022,139
4,0:48,3.0,6.0,BUF 6,23.0,27.0,"Kirk Cousins pass complete short middle to Justin Jefferson for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Kirk Cousins pass complete short middle to Justin Jefferson for 5 yards (tackle by Christian Benford)",4.04,3.55,10.0,2022,139
4,0:57,,,,,,Timeout #3 by Buffalo Bills,,,10.0,2022,139
