Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA,week,year,game_id
2.0,11:26,3.0,12.0,KAN 33,0.0,7.0,Trevor Lawrence pass incomplete short right intended for Jamycal Hasty,2.02,1.15,10.0,2022,144
2.0,11:23,4.0,12.0,KAN 33,0.0,7.0,Riley Patterson 51 yard field goal no good,1.15,-1.66,10.0,2022,144
2.0,11:18,1.0,10.0,KAN 41,0.0,7.0,Kadarius Toney right end for 32 yards (tackle by Chris Claybrooks),1.66,3.78,10.0,2022,144
2.0,10:43,1.0,10.0,JAX 27,0.0,7.0,Isiah Pacheco right guard for 9 yards (tackle by Rayshawn Jenkins),3.78,4.53,10.0,2022,144
2.0,10:01,2.0,1.0,JAX 18,0.0,13.0,"Patrick Mahomes pass complete deep left to Marquez Valdes-Scantling for 18 yards, touchdown",4.53,7.0,10.0,2022,144
2.0,9:55,,,JAX 15,0.0,14.0,Harrison Butker kicks extra point good,0.0,0.0,10.0,2022,144
2.0,9:55,,,KAN 35,0.0,14.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,144
2.0,9:55,1.0,10.0,JAX 25,0.0,14.0,Travis Etienne left guard for 5 yards (tackle by Willie Gay and Nick Bolton),0.61,0.74,10.0,2022,144
2.0,9:15,2.0,5.0,JAX 30,0.0,14.0,"Trevor Lawrence pass complete to Evan Engram for no gain (tackle by Nick Bolton). Penalty on Dan Arnold: Offensive Pass Interference, 10 yards (accepted) (no play)",0.74,-0.61,10.0,2022,144
2.0,8:48,2.0,15.0,JAX 20,0.0,14.0,Trevor Lawrence pass complete short middle to Dan Arnold for 8 yards (tackle by Juan Thornhill),-0.61,-0.23,10.0,2022,144
2.0,8:05,3.0,7.0,JAX 28,0.0,14.0,Trevor Lawrence pass incomplete short left intended for Jamal Agnew,-0.23,-1.5,10.0,2022,144
2.0,8:01,4.0,7.0,JAX 28,0.0,14.0,Logan Cooke punts 35 yards downed by Daniel Thomas,-1.5,-1.4,10.0,2022,144
2.0,7:49,1.0,10.0,KAN 37,0.0,14.0,Patrick Mahomes scrambles left end for 5 yards (tackle by Devin Lloyd),1.4,1.53,10.0,2022,144
2.0,7:16,2.0,5.0,KAN 42,0.0,14.0,Isiah Pacheco left end for 1 yard (tackle by Arden Key),1.53,0.96,10.0,2022,144
2.0,6:40,,,,,,Timeout #1 by Kansas City Chiefs,,,10.0,2022,144
2.0,6:40,3.0,4.0,KAN 43,0.0,14.0,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster (defended by Andre Cisco),0.96,-0.52,10.0,2022,144
2.0,6:36,4.0,4.0,KAN 43,0.0,14.0,Tommy Townsend punts 51 yards downed by Ugo Amadi,-0.52,0.38,10.0,2022,144
2.0,6:25,1.0,10.0,JAX 6,0.0,14.0,Trevor Lawrence pass complete short left to Christian Kirk for 15 yards (tackle by Trent McDuffie),-0.38,0.34,10.0,2022,144
2.0,5:40,1.0,10.0,JAX 21,0.0,14.0,Trevor Lawrence pass complete short left to Jamal Agnew for no gain (tackle by Joshua Williams),0.34,-0.2,10.0,2022,144
2.0,4:58,2.0,10.0,JAX 21,0.0,14.0,Trevor Lawrence pass complete to Jamal Agnew for 6 yards (tackle by Nick Bolton),-0.2,-0.1,10.0,2022,144
2.0,4:12,3.0,4.0,JAX 27,0.0,14.0,Trevor Lawrence pass complete short left to Evan Engram for 3 yards (tackle by Willie Gay and Justin Reid),-0.1,-1.37,10.0,2022,144
2.0,3:33,4.0,1.0,JAX 30,0.0,14.0,"Logan Cooke punts 63 yards, returned by Kadarius Toney for 7 yards (tackle by Shaquille Quarterman and Andrew Wingard)",-1.37,0.28,10.0,2022,144
2.0,3:21,1.0,10.0,KAN 14,0.0,14.0,Patrick Mahomes scrambles left end for 3 yards (tackle by Arden Key),-0.28,-0.37,10.0,2022,144
2.0,2:49,2.0,7.0,KAN 17,0.0,14.0,Patrick Mahomes pass complete short right to Skyy Moore for 6 yards (tackle by Foyesade Oluokun),-0.37,-0.32,10.0,2022,144
2.0,2:09,3.0,1.0,KAN 23,0.0,14.0,"Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Tre Herndon: Defensive Holding, 5 yards (accepted) (no play)",-0.32,0.81,10.0,2022,144
