Quarter,Time,Down,ToGo,Location,DEN,TEN,Detail,EPB,EPA,week,year,game_id
1.0,11:41,1.0,10.0,TEN 25,0.0,0.0,Derrick Henry up the middle for 2 yards (tackle by Jonathan Harris and D.J. Jones),0.61,0.33,10.0,2022,141
1.0,11:03,2.0,8.0,TEN 27,0.0,0.0,Ryan Tannehill pass complete short right to Austin Hooper for 7 yards (tackle by Alex Singleton),0.33,0.56,10.0,2022,141
1.0,10:21,3.0,1.0,TEN 34,0.0,0.0,Derrick Henry left tackle for 1 yard (tackle by Josey Jewell),0.56,1.27,10.0,2022,141
1.0,9:38,1.0,10.0,TEN 35,0.0,0.0,Ryan Tannehill pass incomplete short middle intended for Nick Westbrook-Ikhine (defended by Kareem Jackson),1.27,0.72,10.0,2022,141
1.0,9:33,2.0,10.0,TEN 35,0.0,0.0,Ryan Tannehill pass complete short right to Treylon Burks for 3 yards (tackle by Josey Jewell),0.72,0.43,10.0,2022,141
1.0,8:48,3.0,7.0,TEN 38,0.0,0.0,Ryan Tannehill pass incomplete short right intended for Nick Westbrook-Ikhine (defended by Essang Bassey),0.43,-0.85,10.0,2022,141
1.0,8:42,4.0,7.0,TEN 38,0.0,0.0,"Ryan Stonehouse punts 49 yards, returned by Montrell Washington for 8 yards (tackle by Dylan Cole)",-0.85,-0.34,10.0,2022,141
1.0,8:31,1.0,10.0,DEN 21,0.0,0.0,"Russell Wilson pass complete to Greg Dulcich for 2 yards (tackle by David Long). Penalty on Sam Okuayinonu: Defensive Offside, 5 yards (offset) . Penalty on Graham Glasgow: Ineligible Downfield Pass, 5 yards (offset) (no play)",0.34,0.34,10.0,2022,141
1.0,8:16,1.0,10.0,DEN 21,0.0,0.0,Russell Wilson pass incomplete short left intended for Courtland Sutton,0.34,-0.2,10.0,2022,141
1.0,8:14,2.0,10.0,DEN 21,0.0,0.0,Melvin Gordon up the middle for 7 yards (tackle by Sam Okuayinonu),-0.2,0.04,10.0,2022,141
1.0,7:28,3.0,3.0,DEN 28,0.0,0.0,Russell Wilson pass incomplete deep left intended for Courtland Sutton (defended by Terrance Mitchell),0.04,-1.5,10.0,2022,141
1.0,7:23,4.0,3.0,DEN 28,0.0,0.0,"Corliss Waitman punts 44 yards, fair catch by C.J. Board at TEN-28",-1.5,-0.81,10.0,2022,141
1.0,7:16,1.0,10.0,TEN 28,0.0,0.0,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 25 yards (tackle by Kareem Jackson),0.81,2.46,10.0,2022,141
1.0,6:44,1.0,10.0,DEN 47,0.0,0.0,Derrick Henry left guard for 3 yards (tackle by Alex Singleton and Josey Jewell),2.46,2.32,10.0,2022,141
1.0,6:00,2.0,7.0,DEN 44,0.0,0.0,Ryan Tannehill pass incomplete short right intended for Dontrell Hilliard,2.32,1.62,10.0,2022,141
1.0,5:57,3.0,7.0,DEN 44,0.0,0.0,Ryan Tannehill pass incomplete short right intended for Treylon Burks,1.62,0.33,10.0,2022,141
1.0,5:53,4.0,7.0,DEN 44,0.0,0.0,Ryan Stonehouse punts 38 yards downed by C.J. Board,0.33,0.38,10.0,2022,141
1.0,5:46,1.0,10.0,DEN 6,0.0,0.0,Russell Wilson pass complete short middle to Greg Dulcich for 11 yards (tackle by David Long and Monty Rice),-0.38,-0.06,10.0,2022,141
1.0,5:17,1.0,10.0,DEN 17,0.0,0.0,Russell Wilson pass complete short left to Chase Edmonds for no gain (tackle by Andrew Adams),-0.06,-0.58,10.0,2022,141
1.0,4:38,2.0,10.0,DEN 17,0.0,0.0,Melvin Gordon right tackle for -1 yards (tackle by Monty Rice and Roger McCreary),-0.58,-1.41,10.0,2022,141
1.0,3:52,3.0,11.0,DEN 16,0.0,0.0,Russell Wilson pass complete deep right to Courtland Sutton for 16 yards (tackle by Roger McCreary),-1.41,1.07,10.0,2022,141
1.0,3:19,1.0,10.0,DEN 32,0.0,0.0,Latavius Murray right guard for 1 yard (tackle by David Long and Sam Okuayinonu),1.07,0.66,10.0,2022,141
1.0,2:38,2.0,9.0,DEN 33,0.0,0.0,Russell Wilson pass incomplete deep middle intended for Greg Dulcich,0.66,-0.03,10.0,2022,141
1.0,2:31,3.0,9.0,DEN 33,0.0,0.0,Russell Wilson sacked by Mario Edwards for -9 yards,-0.03,-1.77,10.0,2022,141
1.0,1:49,4.0,18.0,DEN 24,0.0,0.0,"Corliss Waitman punts 50 yards, returned by C.J. Board for 16 yards. C.J. Board fumbles (forced by P.J. Locke), recovered by C.J. Board at TEN-42 (tackle by Mitchell Fraboni and P.J. Locke)",-1.77,-1.73,10.0,2022,141
1.0,1:37,1.0,10.0,TEN 42,0.0,0.0,Derrick Henry up the middle for 3 yards (tackle by Mike Purcell and Jonathan Harris),1.73,1.59,10.0,2022,141
1.0,0:59,2.0,7.0,TEN 45,0.0,0.0,Derrick Henry right guard for 5 yards (tackle by Alex Singleton and Nik Bonitto),1.59,1.55,10.0,2022,141
1.0,0:13,3.0,2.0,TEN 50,0.0,0.0,Ryan Tannehill pass incomplete short middle intended for Robert Woods (defended by K'Waun Williams),1.55,-0.06,10.0,2022,141
1.0,0:10,4.0,2.0,TEN 50,0.0,0.0,"Ryan Stonehouse punts 42 yards, fair catch by Montrell Washington at DEN-8",-0.06,0.38,10.0,2022,141
1.0,0:03,1.0,10.0,DEN 8,0.0,0.0,Russell Wilson pass complete short right to Kendall Hinton for 17 yards (tackle by Monty Rice),-0.38,0.61,10.0,2022,141
2.0,15:00,1.0,10.0,DEN 25,0.0,0.0,"Penalty on Eric Tomlinson: False Start, 5 yards (accepted) (no play)",0.61,0.28,10.0,2022,141
2.0,15:00,1.0,15.0,DEN 20,0.0,0.0,Russell Wilson pass complete short left to Kendall Hinton for 9 yards (tackle by Terrance Mitchell),0.28,0.6,10.0,2022,141
2.0,14:28,2.0,6.0,DEN 29,0.0,0.0,Latavius Murray left tackle for 10 yards (tackle by Dylan Cole and Mario Edwards),0.6,1.53,10.0,2022,141
2.0,13:55,1.0,10.0,DEN 39,0.0,0.0,Russell Wilson left end for -2 yards (tackle by Mario Edwards),1.53,0.72,10.0,2022,141
2.0,13:26,2.0,12.0,DEN 37,0.0,0.0,Russell Wilson pass complete short left to Courtland Sutton for 3 yards (tackle by Terrance Mitchell and Andrew Adams),0.72,0.43,10.0,2022,141
2.0,12:45,3.0,9.0,DEN 40,0.0,0.0,Russell Wilson pass incomplete short middle intended for Greg Dulcich,0.43,-0.72,10.0,2022,141
2.0,12:39,4.0,9.0,DEN 40,0.0,0.0,"Corliss Waitman punts 46 yards, returned by C.J. Board for 6 yards (tackle by Alex Singleton and Mitchell Fraboni)",-0.72,-0.28,10.0,2022,141
2.0,12:28,1.0,10.0,TEN 20,0.0,0.0,Ryan Tannehill pass incomplete short left intended for Nick Westbrook-Ikhine (defended by D.J. Jones),0.28,-0.27,10.0,2022,141
2.0,12:26,2.0,10.0,TEN 20,0.0,0.0,Ryan Tannehill pass complete short left to Dontrell Hilliard for 6 yards (tackle by D.J. Jones and Jonathon Cooper),-0.27,-0.16,10.0,2022,141
2.0,11:35,3.0,4.0,TEN 26,0.0,0.0,Ryan Tannehill pass incomplete short right intended for Austin Hooper,-0.16,-1.63,10.0,2022,141
2.0,11:31,4.0,4.0,TEN 26,0.0,0.0,"Ryan Stonehouse punts 74 yards, touchback.",-1.63,-0.28,10.0,2022,141
2.0,11:21,1.0,10.0,DEN 20,0.0,0.0,"Penalty on Graham Glasgow: False Start, 5 yards (accepted) (no play)",0.28,-0.31,10.0,2022,141
2.0,11:21,1.0,15.0,DEN 15,0.0,0.0,Russell Wilson pass complete short left to Latavius Murray for 14 yards (tackle by Terrance Mitchell),-0.31,0.95,10.0,2022,141
2.0,10:50,2.0,1.0,DEN 29,0.0,0.0,Latavius Murray right guard for -1 yards (tackle by Dylan Cole and Monty Rice),0.95,0.1,10.0,2022,141
2.0,10:18,3.0,2.0,DEN 28,0.0,0.0,Latavius Murray right guard for 2 yards (tackle by Teair Tart),0.1,0.94,10.0,2022,141
2.0,9:45,1.0,10.0,DEN 30,0.0,0.0,Russell Wilson pass complete short right to Latavius Murray for no gain (tackle by Roger McCreary),0.94,0.39,10.0,2022,141
2.0,9:13,2.0,10.0,DEN 30,0.0,0.0,Latavius Murray right tackle for 4 yards (tackle by Sam Okuayinonu),0.39,0.23,10.0,2022,141
2.0,8:30,3.0,6.0,DEN 34,6.0,0.0,"Russell Wilson pass complete deep left to Jalen Virgil for 66 yards, touchdown",0.23,7.0,10.0,2022,141
2.0,8:21,,,TEN 15,7.0,0.0,Brandon McManus kicks extra point good,0.0,0.0,10.0,2022,141
2.0,8:21,,,DEN 35,7.0,0.0,"Brandon McManus kicks off 53 yards, returned by Hassan Haskins for 17 yards (tackle by Essang Bassey and Delarrin Turner-Yell)",0.0,0.87,10.0,2022,141
2.0,8:15,1.0,10.0,TEN 29,7.0,0.0,Derrick Henry right tackle for 3 yards (tackle by D.J. Jones),0.87,0.73,10.0,2022,141
2.0,7:37,2.0,7.0,TEN 32,7.0,0.0,Derrick Henry up the middle for -3 yards (tackle by Nik Bonitto),0.73,-0.36,10.0,2022,141
2.0,6:58,3.0,10.0,TEN 29,7.0,0.0,Ryan Tannehill sacked by Jacob Martin for -11 yards,-0.36,-2.24,10.0,2022,141
2.0,6:27,4.0,22.0,TEN 18,7.0,0.0,"Ryan Stonehouse punts 49 yards, returned by Montrell Washington for 5 yards (tackle by Joseph Jones and Kevin Rader)",-2.24,-1.47,10.0,2022,141
2.0,6:18,1.0,10.0,DEN 38,7.0,0.0,Latavius Murray up the middle for 7 yards (tackle by Andrew Adams and Kevin Byard),1.47,1.87,10.0,2022,141
2.0,5:52,2.0,3.0,DEN 45,7.0,0.0,"Latavius Murray left guard for 1 yard (tackle by Monty Rice). Penalty on Larrell Murchison: Defensive Holding, 5 yards (accepted)",1.87,2.32,10.0,2022,141
2.0,5:30,1.0,10.0,TEN 49,7.0,0.0,Latavius Murray up the middle for no gain (tackle by Denico Autry and Mario Edwards),2.32,1.78,10.0,2022,141
2.0,4:58,2.0,10.0,TEN 49,7.0,0.0,Russell Wilson pass complete deep right to Courtland Sutton for 17 yards (tackle by Roger McCreary),1.78,3.45,10.0,2022,141
2.0,4:25,1.0,10.0,TEN 32,7.0,0.0,"Russell Wilson scrambles up the middle for no gain (tackle by Terrance Mitchell). Penalty on Quinn Meinerz: Offensive Holding, 10 yards (accepted) (no play)",3.45,2.79,10.0,2022,141
2.0,3:54,1.0,20.0,TEN 42,7.0,0.0,Russell Wilson pass incomplete short right intended for Melvin Gordon,2.79,1.55,10.0,2022,141
2.0,3:51,2.0,20.0,TEN 42,7.0,0.0,"Russell Wilson scrambles right end for no gain (tackle by Sam Okuayinonu and Monty Rice). Penalty on Sam Okuayinonu: Defensive Offside, 5 yards (accepted) (no play)",1.55,2.23,10.0,2022,141
2.0,3:13,2.0,15.0,TEN 37,7.0,0.0,"Russell Wilson pass incomplete short right intended for Greg Dulcich. Penalty on Sam Okuayinonu: Roughing the Passer, 15 yards (accepted) (no play)",2.23,4.11,10.0,2022,141
2.0,3:13,1.0,10.0,TEN 22,7.0,0.0,Melvin Gordon left guard for 1 yard (tackle by David Long),4.11,3.7,10.0,2022,141
2.0,2:40,2.0,9.0,TEN 21,7.0,0.0,Russell Wilson pass incomplete short left intended for Melvin Gordon,3.7,3.01,10.0,2022,141
2.0,2:35,3.0,9.0,TEN 21,7.0,0.0,Russell Wilson pass incomplete deep middle intended for Tyrie Cleveland (defended by Joshua Kalu),3.01,2.06,10.0,2022,141
2.0,2:27,4.0,9.0,TEN 21,10.0,0.0,Brandon McManus 39 yard field goal good,2.06,3.0,10.0,2022,141
2.0,2:23,,,DEN 35,10.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,141
2.0,2:23,1.0,10.0,TEN 25,10.0,0.0,Ryan Tannehill pass complete short middle to Derrick Henry for 7 yards (tackle by Josey Jewell and K'Waun Williams),0.61,1.01,10.0,2022,141
2.0,2:00,2.0,3.0,TEN 32,10.0,0.0,Ryan Tannehill pass incomplete short right intended for Derrick Henry,1.01,0.3,10.0,2022,141
2.0,1:57,3.0,3.0,TEN 32,10.0,0.0,Ryan Tannehill pass complete short middle to Robert Woods for 6 yards (tackle by Kareem Jackson and Josey Jewell),0.3,1.47,10.0,2022,141
2.0,1:37,1.0,10.0,TEN 38,10.0,0.0,Ryan Tannehill pass incomplete deep right intended for Austin Hooper (defended by P.J. Locke),1.47,0.92,10.0,2022,141
2.0,1:32,2.0,10.0,TEN 38,10.0,0.0,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 16 yards (tackle by P.J. Locke),0.92,2.52,10.0,2022,141
2.0,1:09,1.0,10.0,DEN 46,10.0,0.0,Ryan Tannehill pass complete short middle to Austin Hooper for 5 yards (tackle by Essang Bassey),2.52,2.65,10.0,2022,141
2.0,0:55,2.0,5.0,DEN 41,10.0,0.0,Ryan Tannehill pass complete short middle to Nick Westbrook-Ikhine for 6 yards (tackle by Kareem Jackson),2.65,3.25,10.0,2022,141
2.0,0:50,,,,,,Timeout #1 by Tennessee Titans,,,10.0,2022,141
2.0,0:50,1.0,10.0,DEN 35,10.0,0.0,Ryan Tannehill pass complete short left to Treylon Burks for 6 yards (tackle by Patrick Surtain),3.25,3.51,10.0,2022,141
2.0,0:35,2.0,4.0,DEN 29,10.0,0.0,"Ryan Tannehill pass complete short right to Robert Woods for 4 yards (tackle by Damarri Mathis) Replay Assistant challenged the first down ruling, and the play was upheld.",3.51,3.91,10.0,2022,141
2.0,0:29,,,,,,Timeout #2 by Tennessee Titans,,,10.0,2022,141
2.0,0:29,1.0,10.0,DEN 25,10.0,0.0,"Ryan Tannehill scrambles up the middle for 11 yards (tackle by Josey Jewell). Penalty on K'Waun Williams: Defensive Holding, 5 yards (accepted)",3.91,5.14,10.0,2022,141
2.0,0:22,1.0,9.0,DEN 9,10.0,0.0,Ryan Tannehill pass incomplete short left intended for Robert Woods (defended by DeShawn Williams),5.14,4.38,10.0,2022,141
2.0,0:19,2.0,9.0,DEN 9,10.0,0.0,Ryan Tannehill pass incomplete short right intended for Treylon Burks,4.38,3.36,10.0,2022,141
2.0,0:16,,,,,,Timeout #1 by Denver Broncos,,,10.0,2022,141
2.0,0:16,3.0,9.0,DEN 9,10.0,6.0,"Ryan Tannehill pass complete short left to Nick Westbrook-Ikhine for 9 yards, touchdown",3.36,7.0,10.0,2022,141
2.0,0:12,,,DEN 15,10.0,7.0,Randy Bullock kicks extra point good,0.0,0.0,10.0,2022,141
2.0,0:12,,,TEN 35,10.0,7.0,"Randy Bullock kicks off 47 yards, returned by Tyrie Cleveland for 8 yards (tackle by Tre Avery)",0.0,0.67,10.0,2022,141
2.0,0:06,1.0,10.0,DEN 26,10.0,7.0,Russell Wilson kneels for -1 yards,0.67,-0.01,10.0,2022,141
3.0,15:00,,,TEN 35,10.0,7.0,"Ryan Stonehouse kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,141
3.0,15:00,1.0,10.0,DEN 25,10.0,7.0,Russell Wilson pass incomplete short right intended for Eric Tomlinson,0.61,0.06,10.0,2022,141
3.0,14:56,2.0,10.0,DEN 25,10.0,7.0,Melvin Gordon left tackle for 5 yards (tackle by Terrance Mitchell),0.06,0.04,10.0,2022,141
3.0,14:12,3.0,5.0,DEN 30,10.0,7.0,Russell Wilson pass incomplete deep middle intended for Montrell Washington (defended by Joshua Kalu),0.04,-1.37,10.0,2022,141
3.0,14:02,4.0,5.0,DEN 30,10.0,7.0,"Corliss Waitman punts 40 yards, fair catch by C.J. Board at TEN-30",-1.37,-0.94,10.0,2022,141
3.0,13:54,1.0,10.0,TEN 30,10.0,7.0,Derrick Henry left tackle for 7 yards (tackle by Mike Purcell),0.94,1.34,10.0,2022,141
3.0,13:12,2.0,3.0,TEN 37,10.0,7.0,"Ryan Tannehill pass incomplete deep right intended for Austin Hooper. Penalty on Aaron Brewer: Offensive Holding, 10 yards (accepted) (no play)",1.34,-0.01,10.0,2022,141
3.0,13:12,2.0,13.0,TEN 27,10.0,7.0,Derrick Henry left end for 10 yards (tackle by Kareem Jackson),-0.01,0.63,10.0,2022,141
3.0,12:35,3.0,3.0,TEN 37,10.0,7.0,Dontrell Hilliard up the middle for 2 yards (tackle by Alex Singleton and Dre'Mont Jones),0.63,-0.78,10.0,2022,141
3.0,11:46,4.0,1.0,TEN 39,10.0,7.0,"Penalty on TEN: Delay of Game, 5 yards (accepted) (no play)",-0.78,-1.11,10.0,2022,141
3.0,11:34,4.0,6.0,TEN 34,10.0,7.0,"Ryan Stonehouse punts 66 yards, touchback.",-1.11,-0.28,10.0,2022,141
3.0,11:26,1.0,10.0,DEN 20,10.0,7.0,Melvin Gordon left end for 11 yards (tackle by Monty Rice and Elijah Molden),0.28,1.0,10.0,2022,141
3.0,10:59,1.0,10.0,DEN 31,10.0,7.0,"Melvin Gordon for no gain (tackle by Teair Tart). Penalty on Teair Tart: Defensive Offside, 5 yards (accepted) (no play)",1.0,1.73,10.0,2022,141
3.0,10:39,1.0,5.0,DEN 36,10.0,7.0,Melvin Gordon right end for 1 yard (tackle by Denico Autry),1.73,1.27,10.0,2022,141
3.0,10:00,2.0,4.0,DEN 37,10.0,7.0,Russell Wilson pass complete short right to Melvin Gordon for 9 yards (tackle by Monty Rice and David Long),1.27,1.99,10.0,2022,141
3.0,9:20,1.0,10.0,DEN 46,10.0,7.0,Latavius Murray left end for no gain (tackle by David Long),1.99,1.45,10.0,2022,141
3.0,8:41,2.0,10.0,DEN 46,10.0,7.0,"Penalty on Calvin Anderson: False Start, 5 yards (accepted) (no play)",1.45,0.78,10.0,2022,141
3.0,8:19,2.0,15.0,DEN 41,10.0,7.0,Russell Wilson sacked by Naquan Jones for -1 yards,0.78,-0.03,10.0,2022,141
3.0,7:39,3.0,16.0,DEN 40,10.0,7.0,Russell Wilson pass complete short right to Eric Saubert for 12 yards (tackle by Elijah Molden),-0.03,0.07,10.0,2022,141
3.0,6:58,4.0,4.0,TEN 48,10.0,7.0,"Corliss Waitman punts 28 yards, fair catch by C.J. Board at TEN-20",0.07,-0.28,10.0,2022,141
3.0,6:53,1.0,10.0,TEN 20,10.0,7.0,Derrick Henry left end for 2 yards (tackle by Jonathan Harris),0.28,0.0,10.0,2022,141
3.0,6:09,2.0,8.0,TEN 22,10.0,7.0,Ryan Tannehill pass complete short right to Treylon Burks for 15 yards (tackle by Patrick Surtain and Josey Jewell),0.0,1.4,10.0,2022,141
3.0,5:25,1.0,10.0,TEN 37,10.0,13.0,"Ryan Tannehill pass complete deep right to Nick Westbrook-Ikhine for 63 yards, touchdown",1.4,7.0,10.0,2022,141
3.0,5:14,,,DEN 15,10.0,14.0,Randy Bullock kicks extra point good,0.0,0.0,10.0,2022,141
3.0,5:14,,,TEN 35,10.0,14.0,"Ryan Stonehouse kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,141
3.0,5:14,1.0,10.0,DEN 25,10.0,14.0,Russell Wilson pass complete short left to Kendall Hinton for 1 yard (tackle by Terrance Mitchell),0.61,0.2,10.0,2022,141
3.0,4:36,2.0,9.0,DEN 26,10.0,14.0,Russell Wilson pass incomplete short right,0.2,-0.49,10.0,2022,141
3.0,4:29,3.0,9.0,DEN 26,10.0,14.0,"Russell Wilson sacked by DeMarcus Walker for no gain. Penalty on Roger McCreary: Defensive Holding, 5 yards (accepted) (no play)",-0.49,1.0,10.0,2022,141
3.0,4:07,1.0,10.0,DEN 31,10.0,14.0,Chase Edmonds left guard for -1 yards (tackle by Naquan Jones and David Long),1.0,0.32,10.0,2022,141
3.0,3:38,2.0,11.0,DEN 30,10.0,14.0,Chase Edmonds left guard for 10 yards (tackle by Andrew Adams and Naquan Jones),0.32,0.96,10.0,2022,141
3.0,2:55,3.0,1.0,DEN 40,10.0,14.0,Russell Wilson up the middle for no gain (tackle by Kevin Strong),0.96,-0.72,10.0,2022,141
3.0,2:28,4.0,1.0,DEN 40,10.0,14.0,Russell Wilson up the middle for 2 yards (tackle by Teair Tart),-0.72,1.73,10.0,2022,141
3.0,1:53,1.0,10.0,DEN 42,10.0,14.0,Russell Wilson pass incomplete short left intended for Chase Edmonds (defended by Rashad Weaver),1.73,1.19,10.0,2022,141
3.0,1:49,2.0,10.0,DEN 42,10.0,14.0,"Russell Wilson aborted snap, recovered by Russell Wilson at DEN-38 Russell Wilson for 1 yard (tackle by Elijah Molden)",1.19,0.1,10.0,2022,141
3.0,1:08,3.0,13.0,DEN 39,10.0,14.0,Russell Wilson pass incomplete deep right intended for Tyrie Cleveland,0.1,-0.78,10.0,2022,141
3.0,1:00,4.0,13.0,DEN 39,10.0,14.0,Corliss Waitman punts 41 yards,-0.78,-0.28,10.0,2022,141
3.0,0:50,1.0,10.0,TEN 20,10.0,14.0,Derrick Henry left tackle for 3 yards (tackle by Jonathon Cooper and Damarri Mathis),0.28,0.14,10.0,2022,141
3.0,0:07,2.0,7.0,TEN 23,10.0,14.0,Ryan Tannehill pass incomplete short middle intended for Robert Woods,0.14,-0.56,10.0,2022,141
3.0,0:02,3.0,7.0,TEN 23,10.0,14.0,Ryan Tannehill pass incomplete deep middle intended for Robert Woods,-0.56,-1.83,10.0,2022,141
4.0,15:00,4.0,7.0,TEN 23,10.0,14.0,"Ryan Stonehouse punts 50 yards, returned by Montrell Washington for 1 yard (tackle by Dontrell Hilliard and Hassan Haskins). Penalty on Tyrie Cleveland: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-1.83,-0.04,10.0,2022,141
4.0,14:49,1.0,10.0,DEN 18,10.0,14.0,"Russell Wilson aborted snap, recovered by Russell Wilson at DEN-17 Russell Wilson for -1 yards",0.04,-0.65,10.0,2022,141
4.0,14:13,2.0,11.0,DEN 17,10.0,14.0,Russell Wilson pass complete short left to Melvin Gordon for 11 yards (tackle by Andrew Adams),-0.65,0.81,10.0,2022,141
4.0,13:36,1.0,10.0,DEN 28,10.0,14.0,Russell Wilson sacked by DeMarcus Walker for -9 yards,0.81,-1.01,10.0,2022,141
4.0,12:51,2.0,19.0,DEN 19,10.0,14.0,Russell Wilson pass complete short middle to Melvin Gordon for 9 yards (tackle by David Long and DeMarcus Walker),-1.01,-0.43,10.0,2022,141
4.0,12:08,3.0,10.0,DEN 28,10.0,14.0,Russell Wilson sacked by Dylan Cole for -9 yards,-0.43,-2.14,10.0,2022,141
4.0,11:28,4.0,19.0,DEN 19,10.0,14.0,"Corliss Waitman punts 51 yards, returned by C.J. Board for 12 yards (tackle by Jonathon Cooper)",-2.14,-1.73,10.0,2022,141
4.0,11:19,1.0,10.0,TEN 42,10.0,14.0,Derrick Henry right tackle for no gain (tackle by DeShawn Williams),1.73,1.19,10.0,2022,141
4.0,10:30,,,,,,Timeout #1 by Tennessee Titans,,,10.0,2022,141
4.0,10:30,2.0,10.0,TEN 42,10.0,14.0,Ryan Tannehill pass complete short right to Austin Hooper for 4 yards (tackle by P.J. Locke),1.19,1.03,10.0,2022,141
4.0,9:48,3.0,6.0,TEN 46,10.0,14.0,"Penalty on Treylon Burks: False Start, 5 yards (accepted) (no play)",1.03,0.37,10.0,2022,141
4.0,9:48,3.0,11.0,TEN 41,10.0,14.0,Ryan Tannehill pass complete short left to Austin Hooper for 17 yards (tackle by Essang Bassey and Kareem Jackson),0.37,2.79,10.0,2022,141
4.0,8:59,1.0,10.0,DEN 42,10.0,14.0,Ryan Tannehill pass complete short right to Derrick Henry for 7 yards (tackle by Alex Singleton and DeShawn Williams),2.79,3.19,10.0,2022,141
4.0,8:16,2.0,3.0,DEN 35,10.0,14.0,Derrick Henry right end for 1 yard (tackle by Josey Jewell),3.19,2.61,10.0,2022,141
4.0,7:39,3.0,2.0,DEN 34,10.0,14.0,"Malik Willis for -4 yards. Malik Willis fumbles, recovered by Mike Purcell at DEN-38",2.61,-1.47,10.0,2022,141
4.0,7:34,1.0,10.0,DEN 38,10.0,14.0,Russell Wilson pass incomplete deep middle intended for Kendall Hinton,1.47,0.92,10.0,2022,141
4.0,7:30,2.0,10.0,DEN 38,10.0,14.0,"Penalty on Latavius Murray: False Start, 5 yards (accepted) (no play)",0.92,0.25,10.0,2022,141
4.0,7:30,2.0,15.0,DEN 33,10.0,14.0,Russell Wilson pass incomplete short left intended for Courtland Sutton (defended by Terrance Mitchell),0.25,-0.43,10.0,2022,141
4.0,7:26,3.0,15.0,DEN 33,10.0,14.0,Russell Wilson pass complete short left to Latavius Murray for 9 yards (tackle by Andrew Adams),-0.43,-0.59,10.0,2022,141
4.0,6:58,4.0,6.0,DEN 42,10.0,14.0,"Corliss Waitman punts 58 yards, touchback.",-0.59,-0.28,10.0,2022,141
4.0,6:51,1.0,10.0,TEN 20,10.0,14.0,Derrick Henry left tackle for 5 yards (tackle by Jonathan Harris),0.28,0.41,10.0,2022,141
4.0,6:20,2.0,5.0,TEN 25,10.0,14.0,Ryan Tannehill pass incomplete short left intended for Robert Woods (defended by Patrick Surtain),0.41,-0.3,10.0,2022,141
4.0,6:17,3.0,5.0,TEN 25,10.0,14.0,Ryan Tannehill pass complete short middle to Austin Hooper for 8 yards (tackle by Alex Singleton),-0.3,1.14,10.0,2022,141
4.0,5:35,1.0,10.0,TEN 33,10.0,14.0,Derrick Henry left guard for 4 yards (tackle by Josey Jewell and Matt Henningsen),1.14,1.13,10.0,2022,141
4.0,4:52,2.0,6.0,TEN 37,10.0,14.0,Derrick Henry left tackle for 2 yards (tackle by DeShawn Williams and Alex Singleton),1.13,0.7,10.0,2022,141
