Quarter,Time,Down,ToGo,Location,GNB,CAR,Detail,EPB,EPA,week,year,game_id
2.0,14:57,,,GNB 35,13.0,3.0,"Anders Carlson kicks off 61 yards, returned by Raheem Blackshear for 29 yards (tackle by Anders Carlson). Penalty on Jammie Robinson: Offensive Holding, 10 yards (accepted)",0.0,0.48,16.0,2023,229
2.0,14:49,1.0,10.0,CAR 23,13.0,3.0,Chuba Hubbard right tackle for 3 yards (tackle by Anthony Johnson and Devonte Wyatt),0.48,0.34,16.0,2023,229
2.0,14:08,2.0,7.0,CAR 26,13.0,3.0,Bryce Young pass incomplete short middle intended for DJ Chark,0.34,-0.36,16.0,2023,229
2.0,14:05,3.0,7.0,CAR 26,13.0,3.0,Bryce Young pass complete deep middle to DJ Chark for 19 yards (tackle by Jonathan Owens),-0.36,1.93,16.0,2023,229
2.0,13:28,1.0,10.0,CAR 45,13.0,3.0,Chuba Hubbard left guard for 1 yard (tackle by Quay Walker and Kenny Clark),1.93,1.52,16.0,2023,229
2.0,12:46,2.0,9.0,CAR 46,13.0,3.0,Chuba Hubbard right guard for 4 yards (tackle by Kingsley Enagbare and Jonathan Owens),1.52,1.36,16.0,2023,229
2.0,11:59,3.0,5.0,CAR 50,13.0,3.0,Bryce Young pass complete short middle to Adam Thielen for 17 yards (tackle by Anthony Johnson and Eric Stokes),1.36,3.38,16.0,2023,229
2.0,11:25,1.0,10.0,GNB 33,13.0,3.0,Chuba Hubbard up the middle for 13 yards (tackle by Jonathan Owens),3.38,4.24,16.0,2023,229
2.0,10:38,1.0,10.0,GNB 20,13.0,9.0,"Ihmir Smith-Marsette right end for 20 yards, touchdown",4.24,7.0,16.0,2023,229
2.0,10:29,,,GNB 15,13.0,10.0,Eddy Pineiro kicks extra point good,0.0,0.0,16.0,2023,229
2.0,10:29,,,CAR 35,13.0,10.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,229
2.0,10:28,1.0,10.0,GNB 25,13.0,10.0,Jordan Love pass complete short middle to Romeo Doubs for 13 yards (tackle by Xavier Woods),0.61,1.47,16.0,2023,229
2.0,9:52,1.0,10.0,GNB 38,13.0,10.0,AJ Dillon left end for 3 yards (tackle by Derrick Brown),1.47,1.33,16.0,2023,229
2.0,9:14,2.0,7.0,GNB 41,13.0,10.0,"Penalty on Rasheed Walker: False Start, 5 yards (accepted) (no play)",1.33,0.65,16.0,2023,229
2.0,8:56,2.0,12.0,GNB 36,13.0,10.0,Jordan Love scrambles right end for 11 yards (tackle by Frankie Luvu),0.65,1.42,16.0,2023,229
2.0,8:42,3.0,1.0,GNB 47,13.0,10.0,"Jordan Love pass incomplete short middle intended for Dontayvion Wicks. Penalty on Yetur Gross-Matos: Roughing the Passer, 15 yards (accepted) (no play)",1.42,3.05,16.0,2023,229
2.0,8:40,1.0,10.0,CAR 38,13.0,10.0,AJ Dillon right guard for 3 yards (tackle by Shy Tuttle and Yetur Gross-Matos),3.05,2.91,16.0,2023,229
2.0,8:04,2.0,7.0,CAR 35,13.0,10.0,Jordan Love pass incomplete short left intended for Tucker Kraft,2.91,2.21,16.0,2023,229
2.0,8:01,3.0,7.0,CAR 35,13.0,10.0,Jordan Love pass incomplete short right intended for Tucker Kraft,2.21,0.97,16.0,2023,229
2.0,7:56,4.0,7.0,CAR 35,16.0,10.0,Anders Carlson 53 yard field goal good,0.97,3.0,16.0,2023,229
2.0,7:51,,,GNB 35,16.0,10.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,229
2.0,7:51,1.0,10.0,CAR 25,16.0,10.0,Bryce Young pass complete short right to Tommy Tremble for 11 yards (tackle by Anthony Johnson),0.61,1.33,16.0,2023,229
2.0,7:09,1.0,10.0,CAR 36,16.0,10.0,Bryce Young pass complete short middle to Ihmir Smith-Marsette for 18 yards (tackle by Jaire Alexander and Jonathan Owens),1.33,2.52,16.0,2023,229
2.0,6:24,1.0,10.0,GNB 46,16.0,10.0,Miles Sanders left guard for 3 yards (tackle by Keisean Nixon),2.52,2.38,16.0,2023,229
2.0,5:42,2.0,7.0,GNB 43,16.0,10.0,Bryce Young scrambles left end for 5 yards (tackle by Keisean Nixon),2.38,2.35,16.0,2023,229
2.0,4:56,3.0,2.0,GNB 38,16.0,10.0,Chuba Hubbard up the middle for no gain (tackle by Tedarrell Slaton),2.35,0.72,16.0,2023,229
2.0,4:16,4.0,2.0,GNB 38,16.0,10.0,Chuba Hubbard left guard for -2 yards (tackle by Isaiah McDuffie and Lukas Van Ness),0.72,-1.6,16.0,2023,229
2.0,4:12,1.0,10.0,GNB 40,16.0,10.0,Jordan Love pass incomplete deep left,1.6,1.05,16.0,2023,229
2.0,4:05,2.0,10.0,GNB 40,16.0,10.0,Jordan Love pass complete short left to Bo Melton for 14 yards (tackle by Troy Hill and Donte Jackson),1.05,2.52,16.0,2023,229
2.0,3:30,1.0,10.0,CAR 46,16.0,10.0,Aaron Jones left tackle for 4 yards (tackle by LaBryan Ray and Derrick Brown),2.52,2.52,16.0,2023,229
2.0,2:56,2.0,6.0,CAR 42,16.0,10.0,Jordan Love pass complete short right to Tucker Kraft for 5 yards (tackle by Jaycee Horn),2.52,2.48,16.0,2023,229
2.0,2:19,3.0,1.0,CAR 37,16.0,10.0,Aaron Jones up the middle for 3 yards (tackle by Nick Thurman and Derrick Brown),2.48,3.31,16.0,2023,229
2.0,2:00,1.0,10.0,CAR 34,16.0,10.0,Jordan Love pass complete short right to Malik Heath for no gain (tackle by Vonn Bell),3.31,2.77,16.0,2023,229
2.0,1:53,,,,,,Timeout #1 by Carolina Panthers,,,16.0,2023,229
2.0,1:53,2.0,10.0,CAR 34,16.0,10.0,Jordan Love pass incomplete short right intended for Aaron Jones,2.77,2.08,16.0,2023,229
2.0,1:50,3.0,10.0,CAR 34,16.0,10.0,Jordan Love pass complete short right to Bo Melton for 11 yards (tackle by Vonn Bell),2.08,4.04,16.0,2023,229
2.0,1:39,,,,,,Timeout #2 by Carolina Panthers,,,16.0,2023,229
2.0,1:39,1.0,10.0,CAR 23,16.0,10.0,Jordan Love pass complete short left to Bo Melton for 2 yards (tackle by Troy Hill),4.04,3.77,16.0,2023,229
2.0,0:59,2.0,8.0,CAR 21,16.0,10.0,Jordan Love pass incomplete short right intended for Samori Toure,3.77,3.07,16.0,2023,229
2.0,0:57,3.0,8.0,CAR 21,22.0,10.0,"Jordan Love pass complete deep right to Dontayvion Wicks for 21 yards, touchdown",3.07,7.0,16.0,2023,229
2.0,0:49,,,CAR 15,23.0,10.0,Anders Carlson kicks extra point good,0.0,0.0,16.0,2023,229
2.0,0:49,,,GNB 35,23.0,10.0,"Anders Carlson kicks off 62 yards, returned by Raheem Blackshear for 20 yards (tackle by Eric Wilson and Rudy Ford)",0.0,0.48,16.0,2023,229
2.0,0:44,1.0,10.0,CAR 23,23.0,10.0,Bryce Young pass incomplete deep right intended for Adam Thielen,0.48,-0.07,16.0,2023,229
2.0,0:39,2.0,10.0,CAR 23,23.0,10.0,Bryce Young pass incomplete short middle intended for Stephen Sullivan (defended by Jonathan Owens),-0.07,-0.76,16.0,2023,229
2.0,0:35,3.0,10.0,CAR 23,23.0,10.0,Bryce Young pass complete short right to Stephen Sullivan for 9 yards,-0.76,-1.24,16.0,2023,229
2.0,0:29,4.0,1.0,CAR 32,23.0,10.0,Johnny Hekker punts 47 yards downed by Sam Franklin,-1.24,-0.34,16.0,2023,229
2.0,0:18,1.0,10.0,GNB 21,23.0,10.0,"Jordan Love pass incomplete deep left intended for Romeo Doubs. Penalty on Donte Jackson: Defensive Pass Interference, 16 yards (accepted) (no play)",0.34,1.4,16.0,2023,229
2.0,0:14,1.0,10.0,GNB 37,23.0,10.0,Jordan Love pass incomplete deep middle intended for Samori Toure,1.4,0.86,16.0,2023,229
2.0,0:06,2.0,10.0,GNB 37,23.0,10.0,Jordan Love pass complete short right to Dontayvion Wicks for 8 yards (tackle by Frankie Luvu),0.86,1.22,16.0,2023,229
2.0,0:01,,,,,,Timeout #1 by Green Bay Packers,,,16.0,2023,229
2.0,0:01,,,,,,Timeout #3 by Carolina Panthers,,,16.0,2023,229
2.0,0:01,3.0,2.0,GNB 45,23.0,10.0,Jordan Love pass incomplete deep left,1.22,-0.39,16.0,2023,229
3.0,15:00,,,CAR 35,23.0,10.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,229
3.0,15:00,1.0,10.0,GNB 25,23.0,10.0,Aaron Jones left end for 5 yards (tackle by Shaquill Griffin),0.61,0.74,16.0,2023,229
3.0,14:22,2.0,5.0,GNB 30,23.0,10.0,Jordan Love sacked by Frankie Luvu for -12 yards,0.74,-1.72,16.0,2023,229
3.0,13:48,3.0,17.0,GNB 18,23.0,10.0,Jordan Love pass incomplete short left intended for Aaron Jones,-1.72,-2.24,16.0,2023,229
3.0,13:43,4.0,17.0,GNB 18,23.0,10.0,Daniel Whelan punts 54 yards downed by Rudy Ford,-2.24,-0.81,16.0,2023,229
3.0,13:31,1.0,10.0,CAR 28,23.0,10.0,Chuba Hubbard up the middle for 2 yards (tackle by Rashan Gary),0.81,0.53,16.0,2023,229
3.0,12:52,2.0,8.0,CAR 30,23.0,10.0,Bryce Young pass complete short right to Adam Thielen for 7 yards (tackle by Eric Stokes),0.53,0.76,16.0,2023,229
3.0,12:20,3.0,1.0,CAR 37,23.0,10.0,Chuba Hubbard right tackle for 3 yards (tackle by Eric Stokes),0.76,1.6,16.0,2023,229
3.0,11:34,1.0,10.0,CAR 40,23.0,10.0,Bryce Young pass complete short left to Jonathan Mingo for 9 yards (tackle by Anthony Johnson),1.6,2.27,16.0,2023,229
3.0,10:58,2.0,1.0,CAR 49,23.0,10.0,Chuba Hubbard up the middle for 4 yards (tackle by Quay Walker and Karl Brooks),2.27,2.46,16.0,2023,229
3.0,10:15,1.0,10.0,GNB 47,23.0,10.0,Chuba Hubbard left guard for 3 yards (tackle by Quay Walker and Colby Wooden),2.46,2.32,16.0,2023,229
3.0,9:28,2.0,7.0,GNB 44,23.0,10.0,Bryce Young pass incomplete deep left intended for Tommy Tremble,2.32,1.62,16.0,2023,229
3.0,9:23,3.0,7.0,GNB 44,23.0,10.0,Bryce Young pass complete short right to Stephen Sullivan for 6 yards (tackle by Jonathan Owens),1.62,0.72,16.0,2023,229
3.0,8:38,4.0,1.0,GNB 38,23.0,10.0,Bryce Young up the middle for 2 yards (tackle by Quay Walker and Keisean Nixon),0.72,3.18,16.0,2023,229
3.0,7:59,1.0,10.0,GNB 36,23.0,10.0,"Bryce Young aborted snap, recovered by Bryce Young at GB-36 Bryce Young for 1 yard (tackle by Preston Smith)",3.18,2.77,16.0,2023,229
3.0,7:21,2.0,9.0,GNB 35,23.0,10.0,"Bryce Young pass incomplete deep left intended for Stephen Sullivan. Penalty on Isaiah McDuffie: Roughing the Passer, 15 yards (accepted) (no play)",2.77,4.24,16.0,2023,229
3.0,7:15,1.0,10.0,GNB 20,23.0,10.0,Bryce Young scrambles right end for 9 yards (tackle by Keisean Nixon),4.24,5.26,16.0,2023,229
3.0,6:37,2.0,1.0,GNB 11,23.0,10.0,Chuba Hubbard left guard for 6 yards (tackle by Isaiah McDuffie and Devonte Wyatt),5.26,6.06,16.0,2023,229
3.0,5:56,1.0,5.0,GNB 5,23.0,10.0,Chuba Hubbard right guard for 1 yard (tackle by Jonathan Owens),6.06,5.34,16.0,2023,229
3.0,5:14,2.0,4.0,GNB 4,23.0,16.0,"Chuba Hubbard left guard for 4 yards, touchdown",5.34,7.0,16.0,2023,229
3.0,5:11,,,GNB 15,23.0,16.0,Eddy Pineiro kicks extra point no good,0.0,-1.0,16.0,2023,229
3.0,5:11,,,CAR 35,23.0,16.0,"Eddy Pineiro kicks off 69 yards, returned by Keisean Nixon for 38 yards (tackle by Jammie Robinson)",0.0,1.2,16.0,2023,229
3.0,5:05,1.0,10.0,GNB 34,23.0,16.0,"Jordan Love pass complete short right to Romeo Doubs for 25 yards. Romeo Doubs fumbles (forced by Frankie Luvu), recovered by Josiah Deguara at CAR-33 (tackle by Frankie Luvu)",1.2,3.38,16.0,2023,229
3.0,4:30,1.0,10.0,CAR 33,23.0,16.0,AJ Dillon right tackle for 2 yards (tackle by Frankie Luvu and Jaycee Horn),3.38,3.11,16.0,2023,229
3.0,4:03,2.0,8.0,CAR 31,23.0,16.0,Aaron Jones up the middle for 10 yards (tackle by Troy Hill),3.11,4.17,16.0,2023,229
3.0,3:21,1.0,10.0,CAR 21,23.0,16.0,Aaron Jones left end for 4 yards (tackle by Yetur Gross-Matos),4.17,4.2,16.0,2023,229
3.0,2:39,2.0,6.0,CAR 17,23.0,16.0,Aaron Jones left tackle for 4 yards (tackle by Frankie Luvu and Shy Tuttle),4.2,4.24,16.0,2023,229
3.0,2:01,3.0,2.0,CAR 13,23.0,16.0,Aaron Jones up the middle for 6 yards (tackle by Shy Tuttle and Vonn Bell),4.24,5.6,16.0,2023,229
3.0,1:16,1.0,7.0,CAR 7,23.0,16.0,AJ Dillon left tackle for 1 yard (tackle by Frankie Luvu and Nick Thurman),5.6,4.95,16.0,2023,229
3.0,0:33,2.0,6.0,CAR 6,23.0,16.0,AJ Dillon up the middle for 1 yard (tackle by DJ Johnson and Vonn Bell),4.95,4.26,16.0,2023,229
4.0,15:00,3.0,5.0,CAR 5,29.0,16.0,"Jordan Love pass complete short left to Romeo Doubs for 5 yards, touchdown",4.26,7.0,16.0,2023,229
4.0,14:57,,,CAR 15,30.0,16.0,Anders Carlson kicks extra point good,0.0,0.0,16.0,2023,229
4.0,14:57,,,GNB 35,30.0,16.0,"Anders Carlson kicks off 61 yards, returned by Raheem Blackshear for 17 yards (tackle by Rudy Ford and Benny Sapp)",0.0,0.34,16.0,2023,229
4.0,14:51,1.0,10.0,CAR 21,30.0,16.0,Bryce Young pass complete short right to Adam Thielen for 16 yards,0.34,1.4,16.0,2023,229
4.0,14:09,1.0,10.0,CAR 37,30.0,16.0,Bryce Young pass complete short left to Stephen Sullivan for 6 yards (tackle by Isaiah McDuffie),1.4,1.67,16.0,2023,229
4.0,13:43,2.0,4.0,CAR 43,30.0,16.0,Miles Sanders up the middle for no gain (tackle by Rashan Gary),1.67,0.96,16.0,2023,229
4.0,12:57,3.0,4.0,CAR 43,30.0,16.0,Bryce Young pass incomplete deep right intended for DJ Chark,0.96,-0.52,16.0,2023,229
4.0,12:51,4.0,4.0,CAR 43,30.0,16.0,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)",-0.52,-0.85,16.0,2023,229
4.0,12:51,4.0,9.0,CAR 38,30.0,16.0,"Johnny Hekker punts 48 yards, returned by Keisean Nixon for -3 yards (tackle by Sam Franklin)",-0.85,0.37,16.0,2023,229
4.0,12:37,1.0,10.0,GNB 11,30.0,16.0,Jordan Love pass incomplete short left intended for Romeo Doubs,-0.37,-0.78,16.0,2023,229
4.0,12:32,2.0,10.0,GNB 11,30.0,16.0,AJ Dillon right end for 1 yard (tackle by Brian Burns and Jaycee Horn),-0.78,-1.3,16.0,2023,229
4.0,11:50,3.0,9.0,GNB 12,30.0,16.0,Jordan Love pass incomplete short left intended for Bo Melton (defended by Donte Jackson),-1.3,-2.49,16.0,2023,229
4.0,11:46,4.0,9.0,GNB 12,30.0,16.0,"Daniel Whelan punts 48 yards, fair catch by Ihmir Smith-Marsette at CAR-40",-2.49,-1.6,16.0,2023,229
4.0,11:38,1.0,10.0,CAR 40,30.0,16.0,Chuba Hubbard left guard for no gain (tackle by Keisean Nixon),1.6,1.05,16.0,2023,229
4.0,10:59,2.0,10.0,CAR 40,30.0,16.0,Bryce Young pass complete short right to Adam Thielen for 15 yards (tackle by Anthony Johnson),1.05,2.59,16.0,2023,229
4.0,10:15,1.0,10.0,GNB 45,30.0,16.0,Bryce Young pass complete short left to Tommy Tremble for 9 yards (tackle by Isaiah McDuffie),2.59,3.26,16.0,2023,229
4.0,9:39,2.0,1.0,GNB 36,30.0,16.0,Bryce Young pass incomplete deep right,3.26,2.54,16.0,2023,229
4.0,9:31,3.0,1.0,GNB 36,30.0,16.0,Ihmir Smith-Marsette left end for 13 yards (tackle by Eric Stokes),2.54,4.04,16.0,2023,229
4.0,9:10,1.0,10.0,GNB 23,30.0,16.0,"Penalty on Cade Mays: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",4.04,3.05,16.0,2023,229
4.0,8:53,1.0,10.0,GNB 38,30.0,16.0,Bryce Young sacked by Preston Smith for -7 yards,3.05,1.56,16.0,2023,229
4.0,8:06,2.0,17.0,GNB 45,30.0,16.0,Bryce Young pass complete short left to Miles Sanders for 5 yards (tackle by Isaiah McDuffie and Anthony Johnson),1.56,1.55,16.0,2023,229
4.0,7:30,3.0,12.0,GNB 40,30.0,16.0,"Bryce Young pass complete short left to DJ Chark for 16 yards. DJ Chark fumbles (forced by Jaire Alexander), recovered by Tommy Tremble at GB-23 (tackle by Jaire Alexander). Penalty on Devonte Wyatt: Unsportsmanlike Conduct / Defense, 12 yards (accepted) GNB challenged the pass completion ruling, and the play was upheld.",1.55,4.84,16.0,2023,229
4.0,7:18,1.0,10.0,GNB 11,30.0,22.0,"Bryce Young pass complete short middle to DJ Chark for 11 yards, touchdown",4.84,7.0,16.0,2023,229
4.0,7:14,,,GNB 2,30.0,22.0,"Penalty on Ikem Ekwonu: Offensive Holding, 10 yards (accepted) (no play)",0.0,0.0,16.0,2023,229
4.0,7:14,,,GNB 25,30.0,22.0,Eddy Pineiro kicks extra point no good,0.0,-1.0,16.0,2023,229
4.0,7:14,,,CAR 35,30.0,22.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,229
4.0,7:14,1.0,10.0,GNB 25,30.0,22.0,Aaron Jones up the middle for 6 yards (tackle by Frankie Luvu and Kamu Grugier-Hill),0.61,0.87,16.0,2023,229
4.0,6:46,2.0,4.0,GNB 31,30.0,22.0,Jordan Love pass complete short left to Patrick Taylor for -1 yards (tackle by Xavier Woods and Kamu Grugier-Hill),0.87,0.04,16.0,2023,229
4.0,6:01,3.0,5.0,GNB 30,30.0,22.0,Jordan Love pass incomplete deep right intended for Bo Melton,0.04,-1.37,16.0,2023,229
4.0,5:55,4.0,5.0,GNB 30,30.0,22.0,Daniel Whelan punts 40 yards out of bounds,-1.37,-0.94,16.0,2023,229
4.0,5:47,1.0,10.0,CAR 30,30.0,22.0,Bryce Young pass incomplete short right,0.94,0.39,16.0,2023,229
4.0,5:41,2.0,10.0,CAR 30,30.0,22.0,Bryce Young pass complete short left to Chuba Hubbard for 8 yards (tackle by Keisean Nixon),0.39,0.76,16.0,2023,229
4.0,5:06,,,,,,Timeout #2 by Green Bay Packers,,,16.0,2023,229
4.0,5:06,3.0,2.0,CAR 38,30.0,22.0,"Bryce Young pass complete deep left to DJ Chark for 20 yards (tackle by Anthony Johnson). Penalty on Anthony Johnson: Unnecessary Roughness / Defense, 15 yards (accepted)",0.76,3.78,16.0,2023,229
4.0,4:58,1.0,10.0,GNB 27,30.0,22.0,Bryce Young pass complete short middle to Adam Thielen for 17 yards (tackle by Anthony Johnson),3.78,4.91,16.0,2023,229
4.0,4:12,1.0,10.0,GNB 10,30.0,28.0,"Bryce Young pass complete short right to DJ Chark for 10 yards, touchdown",4.91,7.0,16.0,2023,229
4.0,4:05,,,GNB 2,30.0,30.0,"Two Point Attempt: Raheem Blackshear rushes, conversion succeeds.",1.0,1.0,16.0,2023,229
4.0,4:05,,,CAR 35,30.0,30.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,229
4.0,4:05,1.0,10.0,GNB 25,30.0,30.0,Aaron Jones right guard for 4 yards (tackle by Shy Tuttle),0.61,0.6,16.0,2023,229
4.0,3:30,2.0,6.0,GNB 29,30.0,30.0,Aaron Jones right tackle for 2 yards (tackle by Derrick Brown),0.6,0.17,16.0,2023,229
4.0,2:39,3.0,4.0,GNB 31,30.0,30.0,"Jordan Love pass complete deep left to Romeo Doubs for 36 yards (tackle by Troy Hill) CAR challenged the pass completion ruling, and the play was upheld.",0.17,3.38,16.0,2023,229
4.0,2:11,1.0,10.0,CAR 33,30.0,30.0,Aaron Jones left end for no gain (tackle by Frankie Luvu and Derrick Brown),3.38,2.84,16.0,2023,229
4.0,2:00,2.0,10.0,CAR 33,30.0,30.0,Jordan Love pass complete short right to Tucker Kraft for 20 yards (tackle by Vonn Bell and Xavier Woods),2.84,4.71,16.0,2023,229
4.0,1:54,,,,,,Timeout #2 by Carolina Panthers,,,16.0,2023,229
4.0,1:54,1.0,10.0,CAR 13,30.0,30.0,Aaron Jones left end for -3 yards (tackle by Yetur Gross-Matos and Nick Thurman),4.71,3.62,16.0,2023,229
4.0,1:52,,,,,,Timeout #3 by Carolina Panthers,,,16.0,2023,229
4.0,1:52,2.0,13.0,CAR 16,30.0,30.0,Patrick Taylor up the middle for 1 yard (tackle by Nick Thurman and Derrick Brown),3.62,3.03,16.0,2023,229
4.0,1:09,3.0,12.0,CAR 15,30.0,30.0,Patrick Taylor up the middle for 1 yard (tackle by Yetur Gross-Matos and Jeremy Chinn),3.03,2.51,16.0,2023,229
4.0,0:22,,,,,,Timeout #3 by Green Bay Packers,,,16.0,2023,229
