Quarter,Time,Down,ToGo,Location,NOR,LAR,Detail,EPB,EPA,week,year,game_id
2.0,4:01,3.0,2.0,NOR 28,0.0,10.0,Matthew Stafford pass incomplete short right intended for Cooper Kupp,3.01,1.7,16.0,2023,225
2.0,3:57,4.0,2.0,NOR 28,0.0,10.0,Lucas Havrisik 47 yard field goal no good,1.7,-1.4,16.0,2023,225
2.0,3:53,1.0,10.0,NOR 37,0.0,10.0,Derek Carr pass complete short right to Juwan Johnson for 20 yards (tackle by Keir Thomas),1.4,2.72,16.0,2023,225
2.0,3:16,1.0,10.0,LAR 43,0.0,10.0,Alvin Kamara left tackle for -2 yards (tackle by Aaron Donald),2.72,1.91,16.0,2023,225
2.0,2:34,2.0,12.0,LAR 45,6.0,10.0,"Derek Carr pass complete deep middle to Rashid Shaheed for 45 yards, touchdown",1.91,7.0,16.0,2023,225
2.0,2:28,,,LAR 15,7.0,10.0,Blake Grupe kicks extra point good,0.0,0.0,16.0,2023,225
2.0,2:28,,,NOR 35,7.0,10.0,"Blake Grupe kicks off 59 yards,",0.0,0.61,16.0,2023,225
2.0,2:28,1.0,10.0,LAR 25,7.0,10.0,Matthew Stafford pass complete short right to Demarcus Robinson for 5 yards (tackle by Paulson Adebo and Demario Davis),0.61,0.74,16.0,2023,225
2.0,2:00,2.0,5.0,LAR 30,7.0,10.0,Matthew Stafford pass incomplete deep left intended for Cooper Kupp (defended by Jordan Howden),0.74,0.04,16.0,2023,225
2.0,1:54,3.0,5.0,LAR 30,7.0,10.0,Matthew Stafford sacked by Carl Granderson for -3 yards,0.04,-1.57,16.0,2023,225
2.0,1:48,,,,,,Timeout #1 by New Orleans Saints,,,16.0,2023,225
2.0,1:48,4.0,8.0,LAR 27,7.0,10.0,Ethan Evans punts 38 yards out of bounds,-1.57,-1.27,16.0,2023,225
2.0,1:41,1.0,10.0,NOR 35,7.0,10.0,Derek Carr pass complete short middle to Chris Olave for 18 yards (tackle by John Johnson),1.27,2.46,16.0,2023,225
2.0,1:24,1.0,10.0,LAR 47,7.0,10.0,Derek Carr pass complete short middle to Rashid Shaheed for 5 yards (tackle by John Johnson and Quentin Lake),2.46,2.59,16.0,2023,225
2.0,1:06,2.0,5.0,LAR 42,7.0,10.0,Derek Carr pass incomplete short right intended for Rashid Shaheed,2.59,1.88,16.0,2023,225
2.0,1:04,3.0,5.0,LAR 42,7.0,10.0,Derek Carr pass incomplete short middle intended for Chris Olave,1.88,0.46,16.0,2023,225
2.0,1:00,4.0,5.0,LAR 42,7.0,10.0,Derek Carr pass incomplete deep left intended for Juwan Johnson,0.46,-1.73,16.0,2023,225
2.0,0:56,1.0,10.0,LAR 42,7.0,10.0,Matthew Stafford pass complete deep left to Demarcus Robinson for 32 yards (tackle by Isaac Yiadom),1.73,3.84,16.0,2023,225
2.0,0:45,,,,,,Timeout #1 by Los Angeles Rams,,,16.0,2023,225
2.0,0:45,1.0,10.0,NOR 26,7.0,10.0,Matthew Stafford pass complete short right to Tyler Higbee for 4 yards (tackle by Alontae Taylor),3.84,3.84,16.0,2023,225
2.0,0:40,2.0,6.0,NOR 22,7.0,10.0,Matthew Stafford pass complete short middle to Puka Nacua for 11 yards (tackle by Paulson Adebo and Jordan Howden),3.84,4.84,16.0,2023,225
2.0,0:31,,,,,,Timeout #2 by Los Angeles Rams,,,16.0,2023,225
2.0,0:31,1.0,10.0,NOR 11,7.0,10.0,Kyren Williams right guard for 7 yards (tackle by Tyrann Mathieu and Carl Granderson),4.84,5.47,16.0,2023,225
2.0,0:25,,,,,,Timeout #3 by Los Angeles Rams,,,16.0,2023,225
2.0,0:25,2.0,3.0,NOR 4,7.0,16.0,"Matthew Stafford pass complete short middle to Demarcus Robinson for 4 yards, touchdown",5.47,7.0,16.0,2023,225
2.0,0:21,,,NOR 15,7.0,17.0,Lucas Havrisik kicks extra point good,0.0,0.0,16.0,2023,225
2.0,0:21,,,LAR 35,7.0,17.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,225
2.0,0:21,1.0,10.0,NOR 25,7.0,17.0,Derek Carr pass incomplete deep left intended for Rashid Shaheed,0.61,0.06,16.0,2023,225
2.0,0:15,2.0,10.0,NOR 25,7.0,17.0,Derek Carr kneels for -1 yards,0.06,-0.76,16.0,2023,225
3.0,15:00,,,NOR 35,7.0,17.0,"Blake Grupe kicks off 62 yards,",0.0,0.61,16.0,2023,225
3.0,15:00,1.0,10.0,LAR 25,7.0,17.0,Matthew Stafford pass complete deep right to Puka Nacua for 41 yards (tackle by Alontae Taylor),0.61,3.31,16.0,2023,225
3.0,14:29,1.0,10.0,NOR 34,7.0,17.0,Matthew Stafford pass complete short right to Tyler Higbee for 4 yards (tackle by Alontae Taylor),3.31,3.31,16.0,2023,225
3.0,13:59,2.0,6.0,NOR 30,7.0,17.0,Kyren Williams up the middle for 8 yards (tackle by Tyrann Mathieu and Carl Granderson),3.31,4.11,16.0,2023,225
3.0,13:32,1.0,10.0,NOR 22,7.0,17.0,Matthew Stafford pass incomplete deep right intended for Puka Nacua,4.11,3.56,16.0,2023,225
3.0,13:28,2.0,10.0,NOR 22,7.0,17.0,Matthew Stafford pass incomplete deep right intended for Puka Nacua (defended by Paulson Adebo),3.56,2.87,16.0,2023,225
3.0,13:23,3.0,10.0,NOR 22,7.0,17.0,Matthew Stafford pass complete short left to Cooper Kupp for 11 yards (tackle by Tyrann Mathieu and Jordan Howden),2.87,4.84,16.0,2023,225
3.0,12:43,1.0,10.0,NOR 11,7.0,17.0,Kyren Williams left guard for 6 yards (tackle by Cameron Jordan),4.84,5.28,16.0,2023,225
3.0,12:04,2.0,4.0,NOR 5,7.0,17.0,Kyren Williams up the middle for 2 yards (tackle by Carl Granderson and Khalen Saunders),5.28,4.89,16.0,2023,225
3.0,11:18,3.0,2.0,NOR 3,7.0,17.0,Matthew Stafford pass incomplete short middle,4.89,3.05,16.0,2023,225
3.0,11:14,4.0,2.0,NOR 3,7.0,20.0,Lucas Havrisik 22 yard field goal good,3.05,3.0,16.0,2023,225
3.0,11:10,,,LAR 35,7.0,20.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,225
3.0,11:10,1.0,10.0,NOR 25,7.0,20.0,Alvin Kamara right guard for 5 yards (tackle by Michael Hoecht and Ernest Jones),0.61,0.74,16.0,2023,225
3.0,10:34,2.0,5.0,NOR 30,7.0,20.0,Taysom Hill left tackle for -1 yards (tackle by Ernest Jones),0.74,-0.1,16.0,2023,225
3.0,9:52,,,,,,Timeout #1 by New Orleans Saints,,,16.0,2023,225
3.0,9:52,3.0,6.0,NOR 29,7.0,20.0,Derek Carr pass complete short left to Foster Moreau for 13 yards (tackle by John Johnson),-0.1,1.73,16.0,2023,225
3.0,9:12,1.0,10.0,NOR 42,7.0,20.0,Rashid Shaheed right end for 4 yards (tackle by Cobie Durant),1.73,1.73,16.0,2023,225
3.0,8:41,2.0,6.0,NOR 46,7.0,20.0,Derek Carr pass incomplete short left intended for Alvin Kamara,1.73,1.03,16.0,2023,225
3.0,8:38,3.0,6.0,NOR 46,7.0,20.0,Derek Carr pass deep right (defended by Ernest Jones) intended for Juwan Johnson is intercepted by Jordan Fuller at LA-38 and returned for 21 yards (tackle by Alvin Kamara and Derek Carr),1.03,-2.85,16.0,2023,225
3.0,8:27,1.0,10.0,NOR 41,7.0,20.0,Puka Nacua right end for 7 yards (tackle by Demario Davis),2.85,3.25,16.0,2023,225
3.0,7:52,2.0,3.0,NOR 34,7.0,20.0,Matthew Stafford pass complete short right to Cooper Kupp for 7 yards (tackle by Alontae Taylor),3.25,3.78,16.0,2023,225
3.0,7:11,1.0,10.0,NOR 27,7.0,20.0,Kyren Williams right guard for 10 yards (tackle by Tyrann Mathieu),3.78,4.44,16.0,2023,225
3.0,6:27,1.0,10.0,NOR 17,7.0,20.0,Kyren Williams right guard for 7 yards (tackle by Carl Granderson and Alontae Taylor),4.44,5.1,16.0,2023,225
3.0,5:47,2.0,3.0,NOR 10,7.0,26.0,"Kyren Williams left guard for 10 yards, touchdown",5.1,7.0,16.0,2023,225
3.0,5:42,,,NOR 15,7.0,27.0,Lucas Havrisik kicks extra point good,0.0,0.0,16.0,2023,225
3.0,5:42,,,LAR 35,7.0,27.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,225
3.0,5:42,1.0,10.0,NOR 25,7.0,27.0,Derek Carr pass complete deep middle to Chris Olave for 28 yards (tackle by John Johnson),0.61,2.46,16.0,2023,225
3.0,4:58,1.0,10.0,LAR 47,7.0,27.0,Alvin Kamara up the middle for 1 yard (tackle by Ernest Jones and John Johnson),2.46,2.05,16.0,2023,225
3.0,4:18,2.0,9.0,LAR 46,7.0,27.0,Derek Carr pass complete short right to Keith Kirkwood for 9 yards,2.05,3.12,16.0,2023,225
3.0,3:40,1.0,10.0,LAR 37,7.0,27.0,Alvin Kamara up the middle for 3 yards (tackle by Nick Hampton),3.12,2.98,16.0,2023,225
3.0,2:59,2.0,7.0,LAR 34,7.0,27.0,Derek Carr pass incomplete deep left intended for Chris Olave,2.98,2.28,16.0,2023,225
3.0,2:54,3.0,7.0,LAR 34,7.0,27.0,Derek Carr pass incomplete short left intended for Chris Olave,2.28,1.06,16.0,2023,225
3.0,2:48,4.0,7.0,LAR 34,7.0,27.0,Derek Carr pass complete short left to Juwan Johnson for 3 yards (tackle by John Johnson),1.06,-1.0,16.0,2023,225
3.0,2:39,1.0,10.0,LAR 31,7.0,27.0,"Ronnie Rivers left guard for no gain (tackle by Isaac Yiadom and Tyrann Mathieu). Penalty on Tyler Higbee: Offensive Holding, 10 yards (accepted) (no play)",1.0,0.34,16.0,2023,225
3.0,2:10,1.0,20.0,LAR 21,7.0,27.0,Ronnie Rivers up the middle for 5 yards (tackle by Paulson Adebo),0.34,-0.22,16.0,2023,225
3.0,1:38,2.0,15.0,LAR 26,7.0,27.0,Matthew Stafford pass complete short right to Puka Nacua for 15 yards (tackle by Paulson Adebo),-0.22,1.66,16.0,2023,225
3.0,1:01,1.0,10.0,LAR 41,7.0,27.0,Ronnie Rivers right tackle for -1 yards (tackle by Pete Werner),1.66,0.99,16.0,2023,225
3.0,0:21,2.0,11.0,LAR 40,7.0,27.0,Ronnie Rivers up the middle for 10 yards (tackle by PJ Mustipher and Ugo Amadi),0.99,1.62,16.0,2023,225
4.0,15:00,3.0,1.0,NOR 50,7.0,27.0,Matthew Stafford pass complete short left to Puka Nacua for 29 yards (tackle by Ugo Amadi),1.62,4.17,16.0,2023,225
4.0,14:20,1.0,10.0,NOR 21,7.0,27.0,Ronnie Rivers left tackle for 2 yards (tackle by Ugo Amadi),4.17,3.9,16.0,2023,225
4.0,13:36,2.0,8.0,NOR 19,7.0,27.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Tyrann Mathieu),3.9,3.18,16.0,2023,225
4.0,13:31,,,,,,Timeout #1 by Los Angeles Rams,,,16.0,2023,225
4.0,13:31,3.0,8.0,NOR 19,7.0,27.0,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Tyrann Mathieu and Pete Werner),3.18,2.69,16.0,2023,225
4.0,12:47,4.0,2.0,NOR 13,7.0,30.0,Lucas Havrisik 32 yard field goal good,2.69,3.0,16.0,2023,225
4.0,12:44,,,LAR 35,7.0,30.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,225
4.0,12:44,1.0,10.0,NOR 25,7.0,30.0,Derek Carr pass complete short right to Alvin Kamara for 2 yards (tackle by Ahkello Witherspoon and Christian Rozeboom),0.61,0.33,16.0,2023,225
4.0,12:12,2.0,8.0,NOR 27,7.0,30.0,Derek Carr pass complete short right to Alvin Kamara for 9 yards (tackle by Quentin Lake),0.33,1.33,16.0,2023,225
4.0,11:44,1.0,10.0,NOR 36,7.0,30.0,Derek Carr pass complete short middle to Chris Olave for 14 yards (tackle by Ernest Jones),1.33,2.26,16.0,2023,225
4.0,11:18,1.0,10.0,NOR 50,7.0,30.0,Derek Carr pass complete short left to Rashid Shaheed for 4 yards (tackle by Quentin Lake),2.26,2.25,16.0,2023,225
4.0,10:52,2.0,6.0,LAR 46,7.0,30.0,Derek Carr pass complete short left to Jamaal Williams for 5 yards (tackle by Cobie Durant and Christian Rozeboom),2.25,2.21,16.0,2023,225
4.0,10:14,3.0,1.0,LAR 41,7.0,30.0,Jamaal Williams up the middle for 4 yards (tackle by Kobie Turner and Troy Reeder),2.21,3.12,16.0,2023,225
4.0,9:42,1.0,10.0,LAR 37,7.0,30.0,Derek Carr pass complete short left to Alvin Kamara for -3 yards (tackle by Quentin Lake),3.12,2.17,16.0,2023,225
4.0,9:09,2.0,13.0,LAR 40,7.0,30.0,Derek Carr pass complete short right to Chris Olave for 7 yards (tackle by Quentin Lake),2.17,2.41,16.0,2023,225
4.0,8:40,3.0,6.0,LAR 33,7.0,30.0,Derek Carr pass complete short right to Juwan Johnson for 20 yards (tackle by Jordan Fuller),2.41,4.71,16.0,2023,225
4.0,8:02,1.0,10.0,LAR 13,7.0,30.0,Derek Carr scrambles right end for 3 yards (tackle by Jordan Fuller),4.71,4.58,16.0,2023,225
4.0,7:23,2.0,7.0,LAR 10,7.0,30.0,Derek Carr pass complete short left to Alvin Kamara for 5 yards (tackle by Christian Rozeboom),4.58,4.78,16.0,2023,225
4.0,6:38,3.0,2.0,LAR 5,13.0,30.0,"Derek Carr pass complete short left to Juwan Johnson for 5 yards, touchdown",4.78,7.0,16.0,2023,225
4.0,6:33,,,LAR 15,14.0,30.0,Blake Grupe kicks extra point good,0.0,0.0,16.0,2023,225
4.0,6:33,,,NOR 35,14.0,30.0,"Blake Grupe kicks off 51 yards, returned by Austin Trammell for 3 yards (tackle by Ugo Amadi)",0.0,-0.06,16.0,2023,225
4.0,6:31,1.0,10.0,LAR 17,14.0,30.0,"Matthew Stafford pass complete short left to Puka Nacua for 16 yards (tackle by Isaac Yiadom and Jordan Howden). Penalty on Paulson Adebo: Defensive Holding, 5 yards (declined)",-0.06,1.14,16.0,2023,225
4.0,6:03,1.0,10.0,LAR 33,14.0,30.0,Kyren Williams up the middle for 1 yard (tackle by Khalen Saunders and Jordan Howden),1.14,0.73,16.0,2023,225
4.0,5:21,2.0,9.0,LAR 34,14.0,30.0,"Kyren Williams right tackle for no gain (tackle by Paulson Adebo). Penalty on Davis Allen: Offensive Holding, 10 yards (accepted) (no play)",0.73,-0.62,16.0,2023,225
4.0,4:48,2.0,19.0,LAR 24,14.0,30.0,Kyren Williams right tackle for 2 yards (tackle by Nathan Shepherd and Pete Werner),-0.62,-1.02,16.0,2023,225
4.0,4:44,,,,,,Timeout #2 by New Orleans Saints,,,16.0,2023,225
4.0,4:44,3.0,17.0,LAR 26,14.0,30.0,Kyren Williams up the middle for 1 yard (tackle by Zack Baun and Tyrann Mathieu),-1.02,-1.57,16.0,2023,225
4.0,4:40,,,,,,Timeout #3 by New Orleans Saints,,,16.0,2023,225
4.0,4:40,4.0,16.0,LAR 27,14.0,30.0,Ethan Evans punts 8 yards out of bounds,-1.57,-3.25,16.0,2023,225
4.0,4:33,1.0,10.0,LAR 35,14.0,30.0,Derek Carr pass complete short right to Rashid Shaheed for no gain (tackle by Christian Rozeboom and Quentin Lake),3.25,2.7,16.0,2023,225
4.0,3:59,2.0,10.0,LAR 35,20.0,30.0,"Derek Carr pass complete deep left to A.T. Perry for 35 yards, touchdown",2.7,7.0,16.0,2023,225
4.0,3:53,,,LAR 2,22.0,30.0,Two Point Attempt: Derek Carr pass complete to to Chris Olave for no gain,1.0,1.0,16.0,2023,225
4.0,3:53,,,NOR 35,22.0,30.0,"Blake Grupe kicks onside 9 yards, returned by Puka Nacua for no gain",0.0,2.65,16.0,2023,225
4.0,3:52,1.0,10.0,NOR 44,22.0,30.0,Kyren Williams up the middle for 5 yards (tackle by PJ Mustipher and Nathan Shepherd),2.65,2.78,16.0,2023,225
4.0,3:10,2.0,5.0,NOR 39,22.0,30.0,Puka Nacua left end for 9 yards (tackle by Isaac Yiadom and Carl Granderson),2.78,3.58,16.0,2023,225
4.0,2:21,1.0,10.0,NOR 30,22.0,30.0,Kyren Williams up the middle for 3 yards (tackle by Tyrann Mathieu),3.58,3.44,16.0,2023,225
4.0,2:00,2.0,7.0,NOR 27,22.0,30.0,Kyren Williams right guard for 2 yards (tackle by Nathan Shepherd and Demario Davis),3.44,3.01,16.0,2023,225
4.0,1:16,3.0,5.0,NOR 25,22.0,30.0,"Penalty on Cameron Jordan: Neutral Zone Infraction, 4 yards (accepted) (no play)",3.01,3.53,16.0,2023,225
4.0,0:42,,,,,,Timeout #2 by Los Angeles Rams,,,16.0,2023,225
4.0,0:42,3.0,1.0,NOR 21,22.0,30.0,Matthew Stafford kneels for -4 yards,3.53,1.85,16.0,2023,225
