Quarter,Time,Down,ToGo,Location,SEA,TEN,Detail,EPB,EPA,week,year,game_id
2.0,0:54,4.0,14.0,TEN 43,3.0,10.0,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",0.4,0.07,16.0,2023,233
2.0,0:54,4.0,19.0,TEN 48,3.0,10.0,"Michael Dickson punts 42 yards, fair catch by Mason Kinsey at TEN-6",0.07,0.38,16.0,2023,233
2.0,0:48,1.0,10.0,TEN 6,3.0,10.0,Ryan Tannehill pass complete short right to DeAndre Hopkins for 7 yards (tackle by Michael Jackson),-0.38,-0.27,16.0,2023,233
2.0,0:44,2.0,3.0,TEN 13,3.0,10.0,Ryan Tannehill scrambles right guard for 14 yards (tackle by Coby Bryant),-0.27,0.74,16.0,2023,233
2.0,0:35,,,,,,Timeout #2 by Tennessee Titans,,,16.0,2023,233
2.0,0:35,1.0,10.0,TEN 27,3.0,10.0,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 2 yards (tackle by Artie Burns),0.74,0.47,16.0,2023,233
2.0,0:30,,,,,,Timeout #3 by Tennessee Titans,,,16.0,2023,233
2.0,0:30,2.0,8.0,TEN 29,3.0,10.0,Ryan Tannehill pass complete short middle to Chigoziem Okonkwo for 5 yards (tackle by Bobby Wagner),0.47,0.43,16.0,2023,233
2.0,0:07,3.0,3.0,TEN 34,3.0,10.0,Ryan Tannehill sacked by Boye Mafe for -5 yards,0.43,-1.44,16.0,2023,233
3.0,15:00,,,TEN 35,3.0,10.0,"Ty Zentner kicks off 65 yards, returned by DeeJay Dallas for 30 yards (tackle by Otis Reese). Penalty on Garret Wallow: Unnecessary Roughness / Defense, 15 yards (accepted)",0.0,1.93,16.0,2023,233
3.0,14:54,1.0,10.0,SEA 45,3.0,10.0,Kenneth Walker right tackle for 11 yards (tackle by Elijah Molden),1.93,2.65,16.0,2023,233
3.0,14:19,1.0,10.0,TEN 44,3.0,10.0,Kenneth Walker up the middle for -2 yards (tackle by Arden Key and Denico Autry),2.65,1.84,16.0,2023,233
