Quarter,Time,Down,ToGo,Location,WAS,NYJ,Detail,EPB,EPA,week,year,game_id
1.0,0:05,4.0,3.0,NYJ 46,0.0,17.0,Tress Way punts 40 yards downed by Dyami Brown,0.2,0.38,16.0,2023,232
2.0,15:00,1.0,10.0,NYJ 6,0.0,17.0,Breece Hall right guard for 4 yards (tackle by John Ridgeway),-0.38,-0.49,16.0,2023,232
2.0,14:23,2.0,6.0,NYJ 10,0.0,17.0,Breece Hall right tackle for 2 yards (tackle by James Smith-Williams),-0.49,-0.72,16.0,2023,232
2.0,13:47,3.0,4.0,NYJ 12,0.0,17.0,"Trevor Siemian pass incomplete short right intended for Garrett Wilson. Penalty on Benjamin St-Juste: Defensive Holding, 5 yards (accepted) (no play)",-0.72,-0.06,16.0,2023,232
2.0,13:41,1.0,10.0,NYJ 17,0.0,17.0,Trevor Siemian pass incomplete short right intended for Kenny Yeboah,-0.06,-0.58,16.0,2023,232
2.0,13:37,2.0,10.0,NYJ 17,0.0,17.0,Trevor Siemian pass incomplete short left intended for Garrett Wilson (defended by Kendall Fuller),-0.58,-1.25,16.0,2023,232
2.0,13:33,3.0,10.0,NYJ 17,0.0,17.0,Trevor Siemian pass complete short left to Garrett Wilson for 16 yards (tackle by Cody Barton),-1.25,1.14,16.0,2023,232
2.0,12:55,1.0,10.0,NYJ 33,0.0,17.0,Garrett Wilson right end for -8 yards (tackle by James Smith-Williams and Quan Martin),1.14,-0.49,16.0,2023,232
2.0,12:14,2.0,18.0,NYJ 25,0.0,17.0,"Trevor Siemian pass incomplete short middle. Penalty on Garrett Wilson: Offensive Offside, 5 yards (declined) . Penalty on Trevor Siemian: Intentional Grounding, 10 yards (accepted)",-0.49,-3.13,16.0,2023,232
2.0,12:10,3.0,28.0,NYJ 15,0.0,17.0,"Breece Hall left end for 6 yards (tackle by Kendall Fuller). Penalty on Mekhi Becton: Offensive Holding, 10 yards (declined)",-3.13,-1.96,16.0,2023,232
2.0,11:55,4.0,22.0,NYJ 21,0.0,17.0,"Thomas Morstead punts 51 yards, returned by Jamison Crowder for 24 yards. Jamison Crowder fumbles, recovered by Ashtyn Davis at NYJ-47",-1.96,2.06,16.0,2023,232
2.0,11:39,1.0,10.0,NYJ 47,0.0,17.0,Breece Hall left end for 2 yards (tackle by Kendall Fuller),2.06,1.79,16.0,2023,232
2.0,11:05,2.0,8.0,NYJ 49,0.0,17.0,"Trevor Siemian pass incomplete intended for Garrett Wilson. Penalty on Benjamin St-Juste: Defensive Pass Interference, 32 yards (accepted) (no play)",1.79,4.31,16.0,2023,232
2.0,10:59,1.0,10.0,WAS 19,0.0,17.0,Breece Hall right end for 9 yards (tackle by Cody Barton),4.31,5.36,16.0,2023,232
2.0,10:12,,,,,,Timeout #1 by New York Jets,,,16.0,2023,232
2.0,10:12,2.0,1.0,WAS 10,0.0,17.0,Trevor Siemian pass complete short right to Garrett Wilson for 6 yards (tackle by Percy Butler and Khaleke Hudson),5.36,6.28,16.0,2023,232
2.0,9:35,1.0,4.0,WAS 4,0.0,17.0,"Penalty on Mekhi Becton: False Start, 5 yards (accepted) (no play)",6.28,5.14,16.0,2023,232
2.0,9:25,1.0,9.0,WAS 9,0.0,17.0,Trevor Siemian pass incomplete short left intended for Breece Hall,5.14,4.38,16.0,2023,232
2.0,9:20,2.0,9.0,WAS 9,0.0,17.0,Trevor Siemian pass incomplete short left intended for Tyler Conklin (defended by Kamren Curl),4.38,3.36,16.0,2023,232
2.0,9:17,3.0,9.0,WAS 9,0.0,17.0,Trevor Siemian pass incomplete short middle intended for Tyler Conklin,3.36,2.83,16.0,2023,232
2.0,9:13,4.0,9.0,WAS 9,0.0,20.0,Greg Zuerlein 27 yard field goal good,2.83,3.0,16.0,2023,232
2.0,9:10,,,NYJ 35,0.0,20.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,232
2.0,9:10,1.0,10.0,WAS 25,0.0,20.0,Antonio Gibson right guard for 11 yards (tackle by Jordan Whitehead),0.61,1.33,16.0,2023,232
2.0,8:34,1.0,10.0,WAS 36,0.0,20.0,Antonio Gibson left end for -4 yards (tackle by Quincy Williams),1.33,0.25,16.0,2023,232
2.0,7:48,2.0,14.0,WAS 32,0.0,20.0,Sam Howell pass complete short right to Logan Thomas for 7 yards (tackle by Sauce Gardner),0.25,0.5,16.0,2023,232
2.0,7:06,3.0,7.0,WAS 39,0.0,20.0,Sam Howell pass incomplete deep left,0.5,-0.78,16.0,2023,232
2.0,6:58,4.0,7.0,WAS 39,0.0,20.0,"Tress Way punts 44 yards, fair catch by Xavier Gipson at NYJ-17",-0.78,0.06,16.0,2023,232
2.0,6:51,1.0,10.0,NYJ 17,0.0,20.0,"Trevor Siemian aborted snap, recovered by Casey Toohill at NYJ-12",-0.06,-4.78,16.0,2023,232
2.0,6:48,1.0,10.0,NYJ 12,6.0,20.0,"Chris Rodriguez left guard for 12 yards, touchdown",4.78,7.0,16.0,2023,232
2.0,6:38,,,NYJ 15,7.0,20.0,Joey Slye kicks extra point good,0.0,0.0,16.0,2023,232
2.0,6:38,,,WAS 35,7.0,20.0,"Joey Slye kicks off 66 yards, returned by Xavier Gipson for 30 yards (tackle by Jabril Cox)",0.0,0.87,16.0,2023,232
2.0,6:31,1.0,10.0,NYJ 29,7.0,20.0,Israel Abanikanda right end for no gain (tackle by Khaleke Hudson and David Mayo),0.87,0.33,16.0,2023,232
2.0,5:55,2.0,10.0,NYJ 29,7.0,20.0,Trevor Siemian pass complete short left to Garrett Wilson for 7 yards (tackle by Percy Butler),0.33,0.56,16.0,2023,232
2.0,5:21,3.0,3.0,NYJ 36,7.0,20.0,Trevor Siemian pass incomplete short right intended for Breece Hall,0.56,-0.98,16.0,2023,232
2.0,5:17,4.0,3.0,NYJ 36,7.0,20.0,"Penalty on Tariq Castro-Fields: Encroachment, 5 yards (accepted) (no play)",-0.98,1.66,16.0,2023,232
2.0,5:17,1.0,10.0,NYJ 41,7.0,20.0,Israel Abanikanda right tackle for 1 yard (tackle by Jonathan Allen),1.66,1.26,16.0,2023,232
2.0,4:44,2.0,9.0,NYJ 42,7.0,20.0,Trevor Siemian pass complete short left to Garrett Wilson for 15 yards (tackle by Percy Butler and Cody Barton),1.26,2.72,16.0,2023,232
2.0,4:02,1.0,10.0,WAS 43,7.0,20.0,Trevor Siemian pass complete short left to Garrett Wilson for 9 yards (tackle by Benjamin St-Juste),2.72,3.39,16.0,2023,232
2.0,3:19,2.0,1.0,WAS 34,7.0,20.0,Israel Abanikanda left end for 4 yards (tackle by Cody Barton and David Mayo),3.39,3.58,16.0,2023,232
2.0,2:46,1.0,10.0,WAS 30,7.0,20.0,Israel Abanikanda right end for 7 yards (tackle by Terrell Burgess),3.58,4.05,16.0,2023,232
2.0,2:00,2.0,2.0,WAS 23,7.0,20.0,Breece Hall left guard for 6 yards (tackle by Terrell Burgess),4.05,4.44,16.0,2023,232
2.0,1:51,,,,,,Timeout #1 by Washington Commanders,,,16.0,2023,232
2.0,1:51,1.0,10.0,WAS 17,7.0,20.0,Trevor Siemian pass complete short right to Breece Hall for 15 yards (tackle by Quan Martin),4.44,6.74,16.0,2023,232
2.0,1:42,,,,,,Timeout #2 by Washington Commanders,,,16.0,2023,232
2.0,1:42,1.0,2.0,WAS 2,7.0,26.0,"Breece Hall right end for 2 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",6.74,7.0,16.0,2023,232
2.0,1:35,,,WAS 15,7.0,27.0,Greg Zuerlein kicks extra point good,0.0,0.0,16.0,2023,232
2.0,1:35,,,NYJ 35,7.0,27.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,232
2.0,1:35,1.0,10.0,WAS 25,7.0,27.0,Sam Howell pass incomplete short left intended for Curtis Samuel (defended by Michael Carter),0.61,0.06,16.0,2023,232
2.0,1:32,2.0,10.0,WAS 25,7.0,27.0,Sam Howell pass incomplete short right intended for Antonio Gibson (defended by Michael Carter),0.06,-0.62,16.0,2023,232
2.0,1:27,3.0,10.0,WAS 25,7.0,27.0,Sam Howell pass complete short left to Terry McLaurin for 8 yards (tackle by Michael Carter),-0.62,-1.18,16.0,2023,232
2.0,1:16,,,,,,Timeout #2 by New York Jets,,,16.0,2023,232
2.0,1:16,4.0,2.0,WAS 33,7.0,27.0,"Tress Way punts 45 yards, fair catch by Xavier Gipson at NYJ-22",-1.18,-0.41,16.0,2023,232
2.0,1:10,1.0,10.0,NYJ 22,7.0,27.0,"Trevor Siemian pass complete to Breece Hall for no gain. Penalty on Garrett Wilson: Offensive Offside, 5 yards (accepted) (no play)",0.41,-0.12,16.0,2023,232
2.0,1:05,1.0,15.0,NYJ 17,7.0,27.0,Trevor Siemian pass complete short left to Garrett Wilson for 5 yards (tackle by Khaleke Hudson),-0.12,-0.13,16.0,2023,232
2.0,0:58,2.0,10.0,NYJ 22,7.0,27.0,Trevor Siemian pass complete short left to Breece Hall for 12 yards (tackle by Khaleke Hudson and Benjamin St-Juste),-0.13,1.2,16.0,2023,232
2.0,0:49,1.0,10.0,NYJ 34,7.0,27.0,"Penalty on Trevor Siemian: Delay of Game, 5 yards (accepted) (no play)",1.2,0.87,16.0,2023,232
2.0,0:49,1.0,15.0,NYJ 29,7.0,27.0,"Trevor Siemian pass incomplete short right. Penalty on Trevor Siemian: Intentional Grounding, 25 yards (accepted)",0.87,-2.97,16.0,2023,232
2.0,0:23,2.0,40.0,NYJ 4,7.0,27.0,Breece Hall up the middle for 3 yards (tackle by Quan Martin),-2.97,-4.58,16.0,2023,232
3.0,15:00,,,WAS 35,7.0,27.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,232
3.0,15:00,1.0,10.0,NYJ 25,7.0,27.0,Breece Hall left tackle for no gain (tackle by Cody Barton and David Mayo),0.61,0.06,16.0,2023,232
3.0,14:23,2.0,10.0,NYJ 25,7.0,27.0,Trevor Siemian pass complete short left to Tyler Conklin for 13 yards (tackle by Kamren Curl),0.06,1.47,16.0,2023,232
3.0,13:48,1.0,10.0,NYJ 38,7.0,27.0,Breece Hall left guard for 4 yards (tackle by Khaleke Hudson and Kamren Curl),1.47,1.46,16.0,2023,232
3.0,13:09,2.0,6.0,NYJ 42,7.0,27.0,Breece Hall left guard for -1 yards (tackle by David Mayo),1.46,0.63,16.0,2023,232
3.0,12:30,3.0,7.0,NYJ 41,7.0,27.0,Trevor Siemian pass complete short left to Breece Hall for 1 yard (tackle by Khaleke Hudson),0.63,-0.59,16.0,2023,232
3.0,11:55,4.0,6.0,NYJ 42,7.0,27.0,"Thomas Morstead punts 46 yards, returned by Jamison Crowder for no gain (tackle by Irvin Charles). Penalty on Dyami Brown: Offensive Holding, 6 yards (accepted)",-0.59,0.38,16.0,2023,232
3.0,11:45,1.0,10.0,WAS 6,7.0,27.0,Antonio Gibson up the middle for 4 yards (tackle by Quincy Williams and Jordan Whitehead),-0.38,-0.49,16.0,2023,232
3.0,11:14,2.0,6.0,WAS 10,7.0,27.0,Sam Howell pass complete short right to Logan Thomas for 5 yards (tackle by C.J. Mosley),-0.49,-0.37,16.0,2023,232
3.0,10:19,3.0,1.0,WAS 15,7.0,27.0,"Sam Howell pass incomplete short left intended for Curtis Samuel (defended by Ashtyn Davis). Penalty on Jahan Dotson: Offensive Offside, 5 yards (declined)",-0.37,-2.44,16.0,2023,232
3.0,10:15,4.0,1.0,WAS 15,7.0,27.0,Tress Way punts 46 yards downed by Dyami Brown,-2.44,-1.53,16.0,2023,232
3.0,10:05,1.0,10.0,NYJ 39,7.0,27.0,Trevor Siemian pass incomplete short left intended for Tyler Conklin,1.53,0.99,16.0,2023,232
3.0,10:01,2.0,10.0,NYJ 39,7.0,27.0,Israel Abanikanda right end for 7 yards (tackle by David Mayo),0.99,1.22,16.0,2023,232
3.0,9:22,3.0,3.0,NYJ 46,7.0,27.0,Trevor Siemian pass incomplete short right intended for Xavier Gipson,1.22,-0.32,16.0,2023,232
3.0,9:19,4.0,3.0,NYJ 46,7.0,27.0,"Thomas Morstead punts 54 yards, touchback.",-0.32,-0.28,16.0,2023,232
3.0,9:11,1.0,10.0,WAS 20,7.0,27.0,Sam Howell pass incomplete short right,0.28,-0.27,16.0,2023,232
3.0,9:04,2.0,10.0,WAS 20,7.0,27.0,Chris Rodriguez up the middle for 4 yards (tackle by Quincy Williams and C.J. Mosley),-0.27,-0.43,16.0,2023,232
3.0,8:11,3.0,6.0,WAS 24,7.0,27.0,"Sam Howell pass incomplete intended for Terry McLaurin. Penalty on Brandin Echols: Illegal Contact, 5 yards (accepted) (no play)",-0.43,0.87,16.0,2023,232
3.0,8:11,1.0,10.0,WAS 29,7.0,27.0,Sam Howell pass incomplete short left intended for Jamison Crowder,0.87,0.33,16.0,2023,232
3.0,8:07,2.0,10.0,WAS 29,7.0,27.0,Sam Howell pass short right intended for Curtis Samuel is intercepted by Quincy Williams at WAS-33 and returned for 11 yards (tackle by Cornelius Lucas and Trenton Scott),0.33,-4.11,16.0,2023,232
3.0,8:00,1.0,10.0,WAS 22,7.0,27.0,Xavier Gipson right end for 16 yards (tackle by Khaleke Hudson and Benjamin St-Juste),4.11,5.83,16.0,2023,232
3.0,7:35,1.0,6.0,WAS 6,7.0,27.0,Breece Hall right guard for no gain (tackle by Daron Payne and Khaleke Hudson),5.83,4.95,16.0,2023,232
3.0,6:54,2.0,6.0,WAS 6,7.0,27.0,"Trevor Siemian pass short left intended for Jason Brownlee is intercepted by Cody Barton at WAS-4 and returned for 52 yards (tackle by Jason Brownlee). Penalty on Jason Brownlee: Horse Collar Tackle, 15 yards (accepted)",4.95,-3.64,16.0,2023,232
3.0,6:43,1.0,10.0,NYJ 29,7.0,27.0,Antonio Gibson up the middle for 1 yard (tackle by Jalyn Holmes),3.64,3.24,16.0,2023,232
3.0,6:06,2.0,9.0,NYJ 28,7.0,27.0,"Penalty on Antonio Gibson: False Start, 5 yards (accepted) (no play)",3.24,2.56,16.0,2023,232
3.0,5:46,2.0,14.0,NYJ 33,7.0,27.0,Jacoby Brissett scrambles right end for 10 yards (tackle by Jalyn Holmes),2.56,3.2,16.0,2023,232
3.0,5:06,3.0,4.0,NYJ 23,7.0,27.0,Jacoby Brissett pass complete short right to Jahan Dotson for 10 yards (tackle by Quincy Williams),3.2,4.71,16.0,2023,232
3.0,4:23,1.0,10.0,NYJ 13,7.0,27.0,Jacoby Brissett pass incomplete short left intended for Jahan Dotson (defended by Michael Carter),4.71,4.05,16.0,2023,232
3.0,4:17,2.0,10.0,NYJ 13,7.0,27.0,Curtis Samuel left end for -2 yards (tackle by Quincy Williams),4.05,3.03,16.0,2023,232
3.0,3:31,3.0,12.0,NYJ 15,13.0,27.0,"Jacoby Brissett pass complete short left to Logan Thomas for 15 yards, touchdown",3.03,7.0,16.0,2023,232
3.0,3:26,,,NYJ 15,14.0,27.0,Joey Slye kicks extra point good,0.0,0.0,16.0,2023,232
3.0,3:26,,,WAS 35,14.0,27.0,"Joey Slye kicks off 65 yards, returned by Xavier Gipson for 27 yards (tackle by David Mayo and Christian Holmes)",0.0,0.74,16.0,2023,232
3.0,3:20,1.0,10.0,NYJ 27,14.0,27.0,Israel Abanikanda right guard for 3 yards (tackle by Khaleke Hudson and Emmanuel Forbes),0.74,0.6,16.0,2023,232
3.0,2:43,2.0,7.0,NYJ 30,14.0,27.0,Israel Abanikanda left tackle for 6 yards (tackle by Khaleke Hudson and John Ridgeway),0.6,0.7,16.0,2023,232
3.0,2:07,3.0,1.0,NYJ 36,14.0,27.0,Breece Hall right end for 4 yards (tackle by Cody Barton and Quan Martin),0.7,1.6,16.0,2023,232
3.0,1:30,1.0,10.0,NYJ 40,14.0,27.0,"Penalty on Tyler Conklin: False Start, 5 yards (accepted) (no play)",1.6,1.27,16.0,2023,232
3.0,1:10,1.0,15.0,NYJ 35,14.0,27.0,"Breece Hall for no gain. Penalty on Joe Tippmann: Offensive Holding, 10 yards (accepted) (no play)",1.27,0.61,16.0,2023,232
3.0,0:52,1.0,25.0,NYJ 25,14.0,27.0,Trevor Siemian pass complete short right to Breece Hall for 3 yards (tackle by Emmanuel Forbes),0.61,-0.57,16.0,2023,232
3.0,0:13,2.0,22.0,NYJ 28,14.0,27.0,Trevor Siemian pass complete short right to Breece Hall for 6 yards (tackle by Khaleke Hudson),-0.57,-0.43,16.0,2023,232
4.0,15:00,3.0,16.0,NYJ 34,14.0,27.0,Trevor Siemian pass complete short right to Breece Hall for 6 yards (tackle by Kamren Curl),-0.43,-0.72,16.0,2023,232
4.0,14:24,4.0,10.0,NYJ 40,14.0,27.0,"Thomas Morstead punts 51 yards, returned by Jamison Crowder for 14 yards (tackle by Kenny Yeboah)",-0.72,-0.48,16.0,2023,232
4.0,14:10,1.0,10.0,WAS 23,14.0,27.0,Jacoby Brissett pass complete short middle to Logan Thomas for 4 yards (tackle by C.J. Mosley),0.48,0.47,16.0,2023,232
4.0,13:35,2.0,6.0,WAS 27,14.0,27.0,Jacoby Brissett pass complete short left to John Bates for 3 yards (tackle by Quincy Williams),0.47,0.17,16.0,2023,232
4.0,12:51,3.0,3.0,WAS 30,14.0,27.0,Jacoby Brissett pass complete short right to Antonio Gibson for 2 yards (tackle by John Franklin-Myers and C.J. Mosley),0.17,-1.24,16.0,2023,232
4.0,12:05,4.0,1.0,WAS 32,14.0,27.0,Curtis Samuel right end for 6 yards (tackle by John Franklin-Myers),-1.24,1.47,16.0,2023,232
4.0,11:23,1.0,10.0,WAS 38,14.0,27.0,Jacoby Brissett pass incomplete short left intended for Terry McLaurin,1.47,0.92,16.0,2023,232
4.0,11:19,2.0,10.0,WAS 38,14.0,27.0,Jacoby Brissett pass complete short right to Terry McLaurin for 29 yards (tackle by Tony Adams),0.92,3.38,16.0,2023,232
4.0,10:30,1.0,10.0,NYJ 33,14.0,27.0,Jacoby Brissett pass complete short right to John Bates for 11 yards (tackle by Ashtyn Davis),3.38,4.11,16.0,2023,232
4.0,9:47,1.0,10.0,NYJ 22,14.0,27.0,"Jacoby Brissett pass incomplete intended for Jahan Dotson. Penalty on D.J. Reed: Defensive Pass Interference, 21 yards (accepted) (no play)",4.11,6.97,16.0,2023,232
4.0,9:41,1.0,1.0,NYJ 1,14.0,27.0,Jacoby Brissett pass incomplete short left intended for John Bates,6.97,5.91,16.0,2023,232
4.0,9:36,2.0,1.0,NYJ 1,20.0,27.0,"Chris Rodriguez up the middle for 1 yard, touchdown",5.91,7.0,16.0,2023,232
4.0,9:33,,,NYJ 15,21.0,27.0,Joey Slye kicks extra point good,0.0,0.0,16.0,2023,232
4.0,9:33,,,WAS 35,21.0,27.0,"Joey Slye kicks off 68 yards, returned by Xavier Gipson for 25 yards (tackle by Terrell Burgess)",0.0,0.41,16.0,2023,232
4.0,9:27,1.0,10.0,NYJ 22,21.0,27.0,Trevor Siemian pass complete short left to Breece Hall for 14 yards (tackle by Kamren Curl),0.41,1.33,16.0,2023,232
4.0,8:53,1.0,10.0,NYJ 36,21.0,27.0,Breece Hall right end for no gain (tackle by K.J. Henry),1.33,0.79,16.0,2023,232
4.0,8:11,2.0,10.0,NYJ 36,21.0,27.0,Trevor Siemian pass incomplete short right intended for Garrett Wilson,0.79,0.1,16.0,2023,232
4.0,8:08,3.0,10.0,NYJ 36,21.0,27.0,Trevor Siemian pass incomplete deep right intended for Allen Lazard,0.1,-0.98,16.0,2023,232
4.0,8:03,4.0,10.0,NYJ 36,21.0,27.0,"Thomas Morstead punts 47 yards, fair catch by Jamison Crowder at WAS-17",-0.98,0.06,16.0,2023,232
