Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA,week,year,game_id
1.0,10:14,4.0,17.0,KAN 47,0.0,0.0,Tommy Townsend punts 46 yards downed by Ekow Boye-Doe,-0.26,0.38,16.0,2023,238
1.0,10:02,1.0,10.0,LVR 7,0.0,0.0,Zamir White right guard for 5 yards (tackle by Justin Reid and Leo Chenal),-0.38,-0.42,16.0,2023,238
1.0,9:31,2.0,5.0,LVR 12,0.0,0.0,Zamir White right end for 6 yards (tackle by Trent McDuffie),-0.42,0.04,16.0,2023,238
1.0,8:46,1.0,10.0,LVR 18,0.0,0.0,Aidan O'Connell pass complete short right to Cole Fotheringham for 6 yards (tackle by Tershawn Wharton and Mike Pennel),0.04,0.41,16.0,2023,238
1.0,8:04,2.0,4.0,LVR 24,0.0,0.0,Aidan O'Connell pass complete short left to Davante Adams for 4 yards (tackle by Nick Bolton),0.41,0.81,16.0,2023,238
1.0,7:20,1.0,10.0,LVR 28,0.0,0.0,Aidan O'Connell pass complete short right to Austin Hooper for 9 yards (tackle by Chamarri Conner),0.81,1.48,16.0,2023,238
1.0,6:42,2.0,1.0,LVR 37,0.0,0.0,Tre Tucker right end for 5 yards (tackle by Willie Gay),1.48,1.73,16.0,2023,238
1.0,5:57,1.0,10.0,LVR 42,0.0,0.0,Aidan O'Connell pass complete short left to Jakobi Meyers for 13 yards (tackle by Justin Reid),1.73,2.59,16.0,2023,238
1.0,5:32,1.0,10.0,KAN 45,0.0,0.0,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers,2.59,2.04,16.0,2023,238
1.0,5:29,2.0,10.0,KAN 45,0.0,0.0,Aidan O'Connell pass complete short middle to Jakobi Meyers for 8 yards (tackle by Chamarri Conner),2.04,2.41,16.0,2023,238
1.0,4:55,3.0,2.0,KAN 37,0.0,0.0,Zamir White right end for 4 yards (tackle by Nick Bolton and Tershawn Wharton),2.41,3.38,16.0,2023,238
1.0,4:14,1.0,10.0,KAN 33,0.0,0.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 21 yards (tackle by Drue Tranquill),3.38,4.78,16.0,2023,238
1.0,3:44,1.0,10.0,KAN 12,0.0,0.0,Aidan O'Connell pass complete short left to Tre Tucker for -4 yards (tackle by Chamarri Conner),4.78,3.53,16.0,2023,238
1.0,3:03,2.0,14.0,KAN 16,0.0,0.0,Aidan O'Connell pass complete short right to Austin Hooper for 4 yards (tackle by Nick Bolton),3.53,3.12,16.0,2023,238
1.0,2:24,3.0,10.0,KAN 12,0.0,0.0,"Penalty on KAN: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",3.12,4.16,16.0,2023,238
1.0,2:05,3.0,5.0,KAN 7,0.0,0.0,Aidan O'Connell pass complete short right to Ameer Abdullah for 1 yard (tackle by L'Jarius Sneed),4.16,3.0,16.0,2023,238
1.0,1:21,4.0,4.0,KAN 6,3.0,0.0,Daniel Carlson 24 yard field goal good,3.0,3.0,16.0,2023,238
1.0,1:18,,,LVR 35,3.0,0.0,"Daniel Carlson kicks off 57 yards, returned by Richie James for 17 yards (tackle by Luke Masterson)",0.0,0.61,16.0,2023,238
1.0,1:14,1.0,10.0,KAN 25,3.0,0.0,Patrick Mahomes pass complete short right to Isiah Pacheco for -6 yards (tackle by Nate Hobbs),0.61,-0.81,16.0,2023,238
1.0,0:38,2.0,16.0,KAN 19,3.0,0.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 1 yard (tackle by Robert Spillane and Amik Robertson),-0.81,-1.29,16.0,2023,238
2.0,15:00,3.0,15.0,KAN 20,3.0,0.0,"Patrick Mahomes pass incomplete short left intended for Travis Kelce. Penalty on Amik Robertson: Defensive Holding, 5 yards (accepted) (no play)",-1.29,0.61,16.0,2023,238
2.0,14:56,1.0,10.0,KAN 25,3.0,0.0,Patrick Mahomes pass incomplete short right,0.61,0.06,16.0,2023,238
2.0,14:50,2.0,10.0,KAN 25,3.0,0.0,Isiah Pacheco left end for -3 yards (tackle by Malcolm Koonce),0.06,-1.02,16.0,2023,238
2.0,14:08,3.0,13.0,KAN 22,3.0,0.0,Patrick Mahomes pass complete short left to Rashee Rice for 11 yards (tackle by Amik Robertson),-1.02,-1.18,16.0,2023,238
2.0,13:22,4.0,2.0,KAN 33,3.0,0.0,"Tommy Townsend punts 42 yards, fair catch by DeAndre Carter at LV-25",-1.18,-0.61,16.0,2023,238
2.0,13:17,1.0,10.0,LVR 25,3.0,0.0,Aidan O'Connell pass incomplete deep right intended for Davante Adams,0.61,0.06,16.0,2023,238
2.0,13:11,2.0,10.0,LVR 25,3.0,0.0,Aidan O'Connell pass incomplete short left intended for Davante Adams,0.06,-0.62,16.0,2023,238
2.0,13:07,3.0,10.0,LVR 25,3.0,0.0,Aidan O'Connell pass incomplete deep right intended for Davante Adams,-0.62,-1.7,16.0,2023,238
2.0,13:02,4.0,10.0,LVR 25,3.0,0.0,"AJ Cole punts 49 yards, fair catch by Richie James at KC-26",-1.7,-0.67,16.0,2023,238
2.0,12:55,1.0,10.0,KAN 26,3.0,0.0,Isiah Pacheco right end for no gain (tackle by Bilal Nichols and Janarius Robinson),0.67,0.13,16.0,2023,238
2.0,12:26,,,,,,Timeout #1 by Kansas City Chiefs,,,16.0,2023,238
2.0,12:26,2.0,10.0,KAN 26,3.0,0.0,Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling,0.13,-0.56,16.0,2023,238
2.0,12:21,3.0,10.0,KAN 26,3.0,0.0,Patrick Mahomes pass complete short right to Rashee Rice for 15 yards (tackle by Nate Hobbs),-0.56,1.66,16.0,2023,238
2.0,11:44,1.0,10.0,KAN 41,3.0,0.0,Patrick Mahomes scrambles left end for 5 yards (tackle by Robert Spillane),1.66,1.8,16.0,2023,238
2.0,11:12,2.0,5.0,KAN 46,3.0,0.0,Isiah Pacheco left guard for 2 yards (tackle by Divine Deablo),1.8,1.36,16.0,2023,238
2.0,10:35,3.0,3.0,KAN 48,3.0,0.0,Patrick Mahomes pass complete short right to Richie James for 5 yards (tackle by Adam Butler),1.36,2.46,16.0,2023,238
2.0,9:56,1.0,10.0,LVR 47,3.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 24 yards (tackle by Tre'von Moehrig),2.46,4.04,16.0,2023,238
2.0,9:12,1.0,10.0,LVR 23,3.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Divine Deablo),4.04,4.38,16.0,2023,238
2.0,8:28,2.0,4.0,LVR 17,3.0,0.0,Isiah Pacheco left end for 5 yards (tackle by Bilal Nichols),4.38,4.78,16.0,2023,238
2.0,7:40,1.0,10.0,LVR 12,3.0,6.0,"Isiah Pacheco left end for 12 yards, touchdown",4.78,7.0,16.0,2023,238
2.0,7:34,,,LVR 15,3.0,7.0,Harrison Butker kicks extra point good,0.0,0.0,16.0,2023,238
2.0,7:34,,,KAN 35,3.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,238
2.0,7:34,1.0,10.0,LVR 25,3.0,7.0,Zamir White right guard for 3 yards (tackle by Willie Gay),0.61,0.47,16.0,2023,238
2.0,7:01,2.0,7.0,LVR 28,3.0,7.0,Zamir White left end for 8 yards (tackle by Mike Edwards),0.47,1.33,16.0,2023,238
2.0,6:37,1.0,10.0,LVR 36,3.0,7.0,Zamir White left guard for 3 yards (tackle by Derrick Nnadi),1.33,1.2,16.0,2023,238
2.0,5:54,2.0,7.0,LVR 39,3.0,7.0,Aidan O'Connell pass incomplete deep right intended for Davante Adams,1.2,0.5,16.0,2023,238
2.0,5:47,3.0,7.0,LVR 39,3.0,7.0,Ameer Abdullah left end for 4 yards (tackle by Justin Reid and Drue Tranquill),0.5,-0.52,16.0,2023,238
2.0,5:09,4.0,3.0,LVR 43,3.0,7.0,AJ Cole punts 44 yards out of bounds,-0.52,0.32,16.0,2023,238
2.0,5:00,1.0,10.0,KAN 13,9.0,7.0,"Isiah Pacheco aborted snap, recovered by Bilal Nichols at KC-8 and returned for 8 yards, touchdown",-0.32,-7.0,16.0,2023,238
2.0,4:55,,,KAN 2,9.0,7.0,"Two Point Attempt: AJ Cole rushes, conversion fails.",1.0,-1.0,16.0,2023,238
2.0,4:55,,,LVR 35,9.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,238
2.0,4:55,1.0,10.0,KAN 25,15.0,7.0,"Patrick Mahomes pass short right intended for Justin Watson is intercepted by Jack Jones at KC-33 and returned for 33 yards, touchdown",0.61,-7.0,16.0,2023,238
2.0,4:48,,,KAN 2,17.0,7.0,"Two Point Attempt: Brandon Bolden rushes, conversion succeeds.",1.0,1.0,16.0,2023,238
2.0,4:48,,,LVR 35,17.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,238
2.0,4:48,,,,,,Timeout #1 by Las Vegas Raiders,,,16.0,2023,238
2.0,4:48,1.0,10.0,KAN 25,17.0,7.0,Patrick Mahomes pass complete short left to Rashee Rice for 9 yards (tackle by Amik Robertson and Tre'von Moehrig),0.61,1.28,16.0,2023,238
2.0,4:20,2.0,1.0,KAN 34,17.0,7.0,Patrick Mahomes pass complete short left to Justin Watson for 9 yards (tackle by Amik Robertson),1.28,1.8,16.0,2023,238
2.0,3:46,1.0,10.0,KAN 43,17.0,7.0,Isiah Pacheco right end for 5 yards (tackle by Robert Spillane),1.8,1.93,16.0,2023,238
2.0,2:55,,,,,,Timeout #2 by Kansas City Chiefs,,,16.0,2023,238
2.0,2:55,2.0,5.0,KAN 48,17.0,7.0,Patrick Mahomes pass incomplete deep left intended for Rashee Rice,1.93,1.22,16.0,2023,238
2.0,2:48,3.0,5.0,KAN 48,17.0,7.0,Patrick Mahomes pass incomplete short right intended for Rashee Rice,1.22,-0.19,16.0,2023,238
2.0,2:43,4.0,5.0,KAN 48,17.0,7.0,Tommy Townsend pass complete short left to Justin Watson for 11 yards,-0.19,2.85,16.0,2023,238
2.0,2:10,1.0,10.0,LVR 41,17.0,7.0,"Patrick Mahomes scrambles right end for no gain (tackle by Robert Spillane). Penalty on Blake Bell: Illegal Shift, 5 yards (offset) . Penalty on Divine Deablo: Defensive Holding, 5 yards (offset) (no play)",2.85,2.85,16.0,2023,238
2.0,2:00,1.0,10.0,LVR 41,17.0,7.0,Patrick Mahomes pass complete short left to Isiah Pacheco for no gain (tackle by Amik Robertson),2.85,2.31,16.0,2023,238
2.0,1:36,2.0,10.0,LVR 41,17.0,7.0,Patrick Mahomes pass complete short right to Travis Kelce for 7 yards (tackle by Nate Hobbs),2.31,2.54,16.0,2023,238
2.0,0:54,,,,,,Timeout #2 by Las Vegas Raiders,,,16.0,2023,238
2.0,0:54,3.0,3.0,LVR 34,17.0,7.0,Patrick Mahomes pass complete short right to Justin Watson for 11 yards (tackle by Jack Jones),2.54,4.04,16.0,2023,238
2.0,0:29,1.0,10.0,LVR 23,17.0,7.0,Patrick Mahomes pass incomplete short left,4.04,3.5,16.0,2023,238
2.0,0:24,2.0,10.0,LVR 23,17.0,7.0,Patrick Mahomes pass incomplete short right,3.5,2.81,16.0,2023,238
2.0,0:18,3.0,10.0,LVR 23,17.0,7.0,Patrick Mahomes pass complete short left to Travis Kelce for 5 yards (tackle by Nate Hobbs),2.81,2.3,16.0,2023,238
2.0,0:09,,,,,,Timeout #3 by Kansas City Chiefs,,,16.0,2023,238
2.0,0:09,4.0,5.0,LVR 18,17.0,7.0,Harrison Butker 36 yard field goal no good,2.3,-0.67,16.0,2023,238
2.0,0:05,1.0,10.0,LVR 26,17.0,7.0,Aidan O'Connell kneels for -1 yards,0.67,-0.01,16.0,2023,238
3.0,15:00,,,KAN 35,17.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,238
3.0,15:00,1.0,10.0,LVR 25,17.0,7.0,Zamir White left end for 4 yards (tackle by George Karlaftis),0.61,0.6,16.0,2023,238
3.0,14:26,2.0,6.0,LVR 29,17.0,7.0,Zamir White right end for 1 yard (tackle by Nick Bolton and Trent McDuffie),0.6,0.04,16.0,2023,238
3.0,13:50,3.0,5.0,LVR 30,17.0,7.0,"Aidan O'Connell pass incomplete deep right intended for Davante Adams. Penalty on L'Jarius Sneed: Defensive Pass Interference, 15 yards (accepted) (no play)",0.04,1.93,16.0,2023,238
3.0,13:44,1.0,10.0,LVR 45,17.0,7.0,Zamir White left guard for 3 yards (tackle by Michael Danna),1.93,1.79,16.0,2023,238
3.0,13:09,2.0,7.0,LVR 48,17.0,7.0,Aidan O'Connell pass incomplete short right intended for Zamir White (defended by Michael Danna),1.79,1.09,16.0,2023,238
3.0,13:01,3.0,7.0,LVR 48,17.0,7.0,Aidan O'Connell pass incomplete deep right intended for Jakobi Meyers (defended by Jaylen Watson),1.09,-0.19,16.0,2023,238
3.0,12:53,4.0,7.0,LVR 48,17.0,7.0,"AJ Cole punts 34 yards out of bounds. Penalty on Joshua Williams: Offensive Holding, 9 yards (accepted)",-0.19,0.38,16.0,2023,238
3.0,12:46,1.0,10.0,KAN 9,17.0,7.0,Isiah Pacheco right end for 3 yards (tackle by Bilal Nichols and Malcolm Koonce),-0.38,-0.56,16.0,2023,238
3.0,12:10,2.0,7.0,KAN 12,17.0,7.0,Patrick Mahomes sacked by Malcolm Koonce for -1 yards,-0.56,-1.19,16.0,2023,238
3.0,11:25,3.0,8.0,KAN 11,17.0,7.0,Patrick Mahomes scrambles right end for 5 yards (tackle by Divine Deablo),-1.19,-2.39,16.0,2023,238
3.0,11:25,4.0,3.0,KAN 16,17.0,7.0,"Penalty on Nate Hobbs: Defensive Holding, 5 yards (accepted) (no play)",-2.39,0.34,16.0,2023,238
3.0,10:56,1.0,10.0,KAN 21,17.0,7.0,Patrick Mahomes pass complete short right to Justyn Ross for 2 yards (tackle by Tyree Wilson),0.34,0.07,16.0,2023,238
3.0,10:18,2.0,8.0,KAN 23,17.0,7.0,Patrick Mahomes pass complete short right to Rashee Rice for 7 yards (tackle by Robert Spillane),0.07,0.3,16.0,2023,238
3.0,9:35,3.0,1.0,KAN 30,17.0,7.0,Isiah Pacheco left guard for no gain (tackle by Nate Hobbs and Jerry Tillery),0.3,-1.37,16.0,2023,238
3.0,8:46,,,,,,Timeout #1 by Kansas City Chiefs,,,16.0,2023,238
3.0,8:46,4.0,1.0,KAN 30,17.0,7.0,Patrick Mahomes right end for 7 yards (tackle by Jack Jones),-1.37,1.4,16.0,2023,238
3.0,8:12,1.0,10.0,KAN 37,17.0,7.0,Isiah Pacheco right guard for 2 yards (tackle by Robert Spillane and John Jenkins),1.4,1.13,16.0,2023,238
3.0,7:34,2.0,8.0,KAN 39,17.0,7.0,Patrick Mahomes scrambles up the middle for 13 yards (tackle by Robert Spillane and Nate Hobbs),1.13,2.39,16.0,2023,238
3.0,6:44,1.0,10.0,LVR 48,17.0,7.0,Clyde Edwards-Helaire left end for 4 yards (tackle by Robert Spillane and Jerry Tillery),2.39,2.39,16.0,2023,238
3.0,6:15,2.0,6.0,LVR 44,17.0,7.0,Clyde Edwards-Helaire right end for 1 yard (tackle by Divine Deablo),2.39,1.82,16.0,2023,238
3.0,5:31,3.0,5.0,LVR 43,17.0,7.0,Patrick Mahomes pass incomplete short left intended for Rashee Rice,1.82,0.4,16.0,2023,238
3.0,5:27,4.0,5.0,LVR 43,17.0,7.0,"Patrick Mahomes pass incomplete deep left intended for Rashee Rice. Penalty on Travis Kelce: Offensive Pass Interference, 10 yards (declined)",0.4,-1.8,16.0,2023,238
3.0,5:21,1.0,10.0,LVR 43,17.0,7.0,Aidan O'Connell pass incomplete short right intended for Austin Hooper,1.8,1.25,16.0,2023,238
3.0,5:17,2.0,10.0,LVR 43,17.0,7.0,Zamir White right end for 4 yards (tackle by Nick Bolton),1.25,1.09,16.0,2023,238
3.0,4:40,3.0,6.0,LVR 47,17.0,7.0,Aidan O'Connell sacked by Charles Omenihu for -6 yards,1.09,-0.65,16.0,2023,238
3.0,4:00,4.0,12.0,LVR 41,17.0,7.0,"AJ Cole punts 50 yards, returned by Richie James for 10 yards (tackle by DJ Turner and Ameer Abdullah)",-0.65,-0.15,16.0,2023,238
3.0,3:44,1.0,10.0,KAN 19,17.0,7.0,"Patrick Mahomes sacked by Malcolm Koonce for -4 yards. Penalty on Jawaan Taylor: Offensive Holding, 10 yards (declined)",0.15,-1.0,16.0,2023,238
3.0,3:29,2.0,14.0,KAN 15,17.0,7.0,Patrick Mahomes pass complete short middle to Isiah Pacheco for 5 yards (tackle by Divine Deablo),-1.0,-0.94,16.0,2023,238
3.0,2:54,3.0,9.0,KAN 20,17.0,7.0,Patrick Mahomes pass incomplete deep right intended for Justin Watson,-0.94,-2.03,16.0,2023,238
3.0,2:52,4.0,9.0,KAN 20,17.0,7.0,Tommy Townsend punts 22 yards out of bounds,-2.03,-2.79,16.0,2023,238
3.0,2:47,1.0,10.0,KAN 42,17.0,7.0,Zamir White right end for 6 yards (tackle by L'Jarius Sneed and Drue Tranquill),2.79,3.05,16.0,2023,238
3.0,2:27,2.0,4.0,KAN 36,17.0,7.0,Zamir White up the middle for 3 yards (tackle by Derrick Nnadi),3.05,2.74,16.0,2023,238
3.0,1:51,3.0,1.0,KAN 33,17.0,7.0,Zamir White left end for 16 yards (tackle by Justin Reid and Mike Edwards),2.74,4.44,16.0,2023,238
3.0,1:11,1.0,10.0,KAN 17,17.0,7.0,Zamir White left end for no gain (tackle by Justin Reid and Chris Jones),4.44,3.85,16.0,2023,238
3.0,0:34,2.0,10.0,KAN 17,17.0,7.0,Aidan O'Connell pass incomplete short right,3.85,3.07,16.0,2023,238
3.0,0:30,3.0,10.0,KAN 17,17.0,7.0,Aidan O'Connell pass incomplete short left intended for Davante Adams,3.07,2.31,16.0,2023,238
3.0,0:27,4.0,10.0,KAN 17,20.0,7.0,Daniel Carlson 35 yard field goal good,2.31,3.0,16.0,2023,238
3.0,0:24,,,LVR 35,20.0,7.0,"Daniel Carlson kicks off 62 yards, returned by Richie James for 21 yards (tackle by Brandon Bolden)",0.0,0.54,16.0,2023,238
3.0,0:19,1.0,10.0,KAN 24,20.0,7.0,Patrick Mahomes pass complete short right to Rashee Rice for 7 yards (tackle by Robert Spillane and Jack Jones),0.54,0.94,16.0,2023,238
4.0,15:00,2.0,3.0,KAN 31,20.0,7.0,Patrick Mahomes pass complete short left to Rashee Rice for 8 yards (tackle by Amik Robertson),0.94,1.53,16.0,2023,238
4.0,14:30,1.0,10.0,KAN 39,20.0,7.0,Patrick Mahomes scrambles right end for 7 yards (tackle by Nate Hobbs),1.53,1.93,16.0,2023,238
4.0,14:05,2.0,3.0,KAN 46,20.0,7.0,Patrick Mahomes pass complete short left to Noah Gray for 5 yards (tackle by Robert Spillane),1.93,2.32,16.0,2023,238
4.0,13:27,1.0,10.0,LVR 49,20.0,7.0,"Patrick Mahomes pass short right intended for Noah Gray is intercepted by Tre'von Moehrig at LV-42 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Patrick Mahomes pass incomplete short right intended for Noah Gray (defended by Tre'von Moehrig)",2.32,1.78,16.0,2023,238
4.0,13:22,2.0,10.0,LVR 49,20.0,7.0,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 8 yards (tackle by Jack Jones),1.78,2.15,16.0,2023,238
4.0,12:35,3.0,2.0,LVR 41,20.0,7.0,Patrick Mahomes scrambles left end for 7 yards (tackle by Nate Hobbs),2.15,3.31,16.0,2023,238
4.0,12:12,1.0,10.0,LVR 34,20.0,7.0,"Clyde Edwards-Helaire left end for 2 yards (tackle by Robert Spillane and Amik Robertson). Penalty on Wanya Morris: Offensive Holding, 10 yards (accepted)",3.31,2.79,16.0,2023,238
4.0,12:02,1.0,18.0,LVR 42,20.0,7.0,Patrick Mahomes scrambles right end for 1 yard (tackle by Divine Deablo),2.79,1.83,16.0,2023,238
4.0,11:23,2.0,17.0,LVR 41,20.0,7.0,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 32 yards (tackle by Tre'von Moehrig),1.83,5.14,16.0,2023,238
4.0,10:40,1.0,9.0,LVR 9,20.0,7.0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,5.14,4.38,16.0,2023,238
4.0,10:35,2.0,9.0,LVR 9,20.0,7.0,Patrick Mahomes pass complete short left to Travis Kelce for 2 yards (tackle by Maxx Crosby),4.38,3.81,16.0,2023,238
4.0,9:57,,,,,,Timeout #1 by Las Vegas Raiders,,,16.0,2023,238
4.0,9:57,3.0,7.0,LVR 7,20.0,7.0,Patrick Mahomes pass incomplete short right intended for Rashee Rice (defended by Amik Robertson),3.81,2.97,16.0,2023,238
4.0,9:52,4.0,7.0,LVR 7,20.0,7.0,Patrick Mahomes pass incomplete short right intended for Rashee Rice (defended by Nate Hobbs),2.97,0.38,16.0,2023,238
4.0,9:47,1.0,10.0,LVR 7,20.0,7.0,Zamir White left guard for 7 yards (tackle by Trent McDuffie),-0.38,-0.25,16.0,2023,238
4.0,9:07,2.0,3.0,LVR 14,20.0,7.0,Zamir White left end for -2 yards (tackle by Mike Pennel),-0.25,-0.84,16.0,2023,238
4.0,8:26,3.0,5.0,LVR 12,20.0,7.0,Ameer Abdullah right guard for 7 yards (tackle by Mike Edwards),-0.84,0.15,16.0,2023,238
4.0,7:44,1.0,10.0,LVR 19,20.0,7.0,Zamir White left end for 3 yards (tackle by Nick Bolton and Mike Edwards),0.15,0.07,16.0,2023,238
4.0,7:10,2.0,7.0,LVR 22,20.0,7.0,Zamir White up the middle for 3 yards (tackle by Trent McDuffie),0.07,-0.29,16.0,2023,238
4.0,6:20,3.0,4.0,LVR 25,20.0,7.0,Aidan O'Connell pass incomplete short right intended for Hunter Renfrow,-0.29,-1.7,16.0,2023,238
4.0,6:14,4.0,4.0,LVR 25,20.0,7.0,"AJ Cole punts 44 yards, returned by Richie James for no gain (tackle by DJ Turner)",-1.7,-1.0,16.0,2023,238
4.0,6:05,1.0,10.0,KAN 31,20.0,7.0,"Penalty on LVR: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",1.0,1.73,16.0,2023,238
4.0,6:05,1.0,5.0,KAN 36,20.0,7.0,Patrick Mahomes pass incomplete short left,1.73,1.14,16.0,2023,238
4.0,5:53,2.0,5.0,KAN 36,20.0,7.0,Patrick Mahomes pass complete short right to Blake Bell for 4 yards (tackle by Nate Hobbs),1.14,0.96,16.0,2023,238
4.0,5:20,3.0,1.0,KAN 40,20.0,7.0,Clyde Edwards-Helaire left end for -1 yards (tackle by Robert Spillane and Tyree Wilson),0.96,-0.78,16.0,2023,238
4.0,4:46,4.0,2.0,KAN 39,20.0,7.0,Patrick Mahomes scrambles right end for 3 yards (tackle by Jack Jones),-0.78,1.73,16.0,2023,238
4.0,4:24,1.0,10.0,KAN 42,20.0,7.0,Patrick Mahomes pass complete short right to Richie James for 4 yards (tackle by Amik Robertson),1.73,1.73,16.0,2023,238
4.0,4:16,2.0,6.0,KAN 46,20.0,7.0,Patrick Mahomes pass complete deep right to Richie James for 45 yards (tackle by Nate Hobbs and Marcus Epps),1.73,5.14,16.0,2023,238
4.0,3:29,1.0,9.0,LVR 9,20.0,7.0,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 2 yards (tackle by Janarius Robinson),5.14,4.76,16.0,2023,238
4.0,2:54,2.0,7.0,LVR 7,20.0,7.0,Patrick Mahomes pass incomplete short left intended for Noah Gray (defended by Tre'von Moehrig),4.76,3.81,16.0,2023,238
4.0,2:48,3.0,7.0,LVR 7,20.0,13.0,"Patrick Mahomes pass complete short middle to Justin Watson for 7 yards, touchdown",3.81,7.0,16.0,2023,238
4.0,2:42,,,LVR 15,20.0,14.0,Harrison Butker kicks extra point good,0.0,0.0,16.0,2023,238
4.0,2:42,,,KAN 35,20.0,14.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,238
4.0,2:42,1.0,10.0,LVR 25,20.0,14.0,Zamir White up the middle for 6 yards (tackle by Justin Reid),0.61,0.87,16.0,2023,238
4.0,2:35,,,,,,Timeout #2 by Kansas City Chiefs,,,16.0,2023,238
4.0,2:35,2.0,4.0,LVR 31,20.0,14.0,Zamir White right end for 43 yards (tackle by Trent McDuffie),0.87,3.84,16.0,2023,238
4.0,2:25,,,,,,Timeout #3 by Kansas City Chiefs,,,16.0,2023,238
4.0,2:25,1.0,10.0,KAN 26,20.0,14.0,Zamir White right end for 15 yards (tackle by L'Jarius Sneed),3.84,4.84,16.0,2023,238
4.0,2:00,1.0,10.0,KAN 11,20.0,14.0,Aidan O'Connell kneels for -1 yards,4.84,3.98,16.0,2023,238
4.0,1:19,2.0,11.0,KAN 12,20.0,14.0,Aidan O'Connell kneels for -1 yards,3.98,3.08,16.0,2023,238
4.0,0:39,3.0,12.0,KAN 13,20.0,14.0,Aidan O'Connell kneels for -1 yards,3.08,2.51,16.0,2023,238
