Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA,week,year,game_id
1.0,0:19,4.0,2.0,DET 40,7.0,7.0,Nick Mullens pass deep right intended for Jordan Addison is intercepted by Brian Branch at DET-20 and returned for no gain (tackle by Jordan Addison),0.59,-0.28,16.0,2023,231
1.0,0:16,1.0,10.0,DET 20,7.0,7.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 3 yards (tackle by Josh Metellus),0.28,0.14,16.0,2023,231
2.0,15:00,2.0,7.0,DET 23,7.0,7.0,David Montgomery left end for 3 yards (tackle by Harrison Phillips),0.14,-0.16,16.0,2023,231
2.0,14:18,3.0,4.0,DET 26,7.0,7.0,Jared Goff pass incomplete short right intended for Jahmyr Gibbs,-0.16,-1.63,16.0,2023,231
2.0,14:12,4.0,4.0,DET 26,7.0,7.0,"Jack Fox punts 44 yards, fair catch by Brandon Powell at MIN-30",-1.63,-0.94,16.0,2023,231
2.0,14:05,1.0,10.0,MIN 30,7.0,7.0,Ty Chandler left end for 1 yard (tackle by Kindle Vildor),0.94,0.53,16.0,2023,231
2.0,13:32,2.0,9.0,MIN 31,7.0,7.0,Nick Mullens pass complete short left to Jordan Addison for 2 yards (tackle by Kindle Vildor),0.53,0.1,16.0,2023,231
2.0,12:53,3.0,7.0,MIN 33,7.0,7.0,"Nick Mullens sacked by Brian Branch for -6 yards. Nick Mullens fumbles (forced by Brian Branch), recovered by Garrett Bradbury at MIN-28 (tackle by Brian Branch)",0.1,-1.5,16.0,2023,231
2.0,12:08,4.0,12.0,MIN 28,7.0,7.0,"Ryan Wright punts 50 yards, fair catch by Kalif Raymond at DET-22",-1.5,-0.41,16.0,2023,231
2.0,12:03,1.0,10.0,DET 22,7.0,7.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 15 yards (tackle by Mekhi Blackmon),0.41,1.4,16.0,2023,231
2.0,11:28,1.0,10.0,DET 37,7.0,7.0,David Montgomery left end for 4 yards (tackle by Harrison Phillips and Josh Metellus),1.4,1.4,16.0,2023,231
2.0,11:09,2.0,6.0,DET 41,7.0,7.0,Jared Goff pass complete short middle to David Montgomery for 9 yards (tackle by Ivan Pace),1.4,2.26,16.0,2023,231
2.0,10:25,1.0,10.0,DET 50,7.0,7.0,Jared Goff sacked by Patrick Jones for -11 yards,2.26,0.23,16.0,2023,231
2.0,9:38,2.0,21.0,DET 39,7.0,7.0,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)",0.23,-0.45,16.0,2023,231
2.0,9:18,2.0,26.0,DET 34,7.0,7.0,"Jared Goff pass complete short right to Sam LaPorta for 5 yards (tackle by Theo Jackson). Penalty on Patrick Jones: Roughing the Passer, 15 yards (accepted)",-0.45,2.52,16.0,2023,231
2.0,8:45,1.0,10.0,MIN 46,7.0,7.0,David Montgomery left guard for 3 yards (tackle by Danielle Hunter and Harrison Phillips),2.52,2.38,16.0,2023,231
2.0,8:03,2.0,7.0,MIN 43,7.0,7.0,David Montgomery left end for 11 yards (tackle by Ivan Pace and Camryn Bynum),2.38,3.45,16.0,2023,231
2.0,7:18,1.0,10.0,MIN 32,7.0,7.0,Jared Goff pass complete short right to Jameson Williams for 5 yards (tackle by Mekhi Blackmon),3.45,3.58,16.0,2023,231
2.0,6:39,2.0,5.0,MIN 27,7.0,7.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 5 yards (tackle by Akayleb Evans),3.58,4.11,16.0,2023,231
2.0,6:03,1.0,10.0,MIN 22,7.0,7.0,Jared Goff pass incomplete short right intended for Josh Reynolds (defended by Mekhi Blackmon),4.11,3.56,16.0,2023,231
2.0,5:58,2.0,10.0,MIN 22,7.0,7.0,Jahmyr Gibbs left end for 4 yards (tackle by Akayleb Evans and D.J. Wonnum),3.56,3.4,16.0,2023,231
2.0,5:11,,,,,,Timeout #1 by Detroit Lions,,,16.0,2023,231
2.0,5:11,3.0,6.0,MIN 18,7.0,7.0,"Jared Goff sacked by Jordan Hicks for no gain. Jared Goff fumbles (forced by Jordan Hicks), recovered by Camryn Bynum at MIN-18, touchdown Replay Assistant challenged the fumble ruling, and the original play was overturned. Jared Goff pass incomplete short middle intended for Josh Reynolds (defended by Jordan Hicks)",3.4,2.27,16.0,2023,231
2.0,5:08,4.0,6.0,MIN 18,10.0,7.0,Michael Badgley 37 yard field goal good,2.27,3.0,16.0,2023,231
2.0,5:05,,,DET 35,10.0,7.0,"Jack Fox kicks off 66 yards, returned by Kene Nwangwu for 21 yards (tackle by Jalen Reeves-Maybin). Penalty on Troy Dye: Offensive Holding, 10 yards (accepted)",0.0,-0.38,16.0,2023,231
2.0,4:59,1.0,10.0,MIN 10,10.0,7.0,"Nick Mullens sacked by Alex Anzalone for no gain. Penalty on Kindle Vildor: Illegal Contact, 5 yards (accepted) (no play)",-0.38,-0.22,16.0,2023,231
2.0,4:32,1.0,10.0,MIN 15,10.0,7.0,Alexander Mattison left tackle for -2 yards (tackle by Benito Jones),-0.22,-0.92,16.0,2023,231
2.0,4:00,2.0,12.0,MIN 13,10.0,7.0,"Penalty on David Quessenberry: False Start, 5 yards (accepted) (no play)",-0.92,-1.29,16.0,2023,231
2.0,3:41,2.0,17.0,MIN 8,10.0,7.0,"Penalty on Garrett Bradbury: False Start, 4 yards (accepted) (no play)",-1.29,-1.58,16.0,2023,231
2.0,3:27,2.0,21.0,MIN 4,10.0,7.0,Nick Mullens pass complete short right to T.J. Hockenson for 14 yards (tackle by Brian Branch),-1.58,-1.0,16.0,2023,231
2.0,2:48,3.0,7.0,MIN 18,10.0,7.0,Nick Mullens pass deep left intended for Jordan Addison is intercepted by Kerby Joseph at DET-45 and returned for 22 yards (tackle by Dalton Risner),-1.0,-3.38,16.0,2023,231
2.0,2:38,1.0,10.0,MIN 33,10.0,7.0,Kalif Raymond left end for 8 yards (tackle by D.J. Wonnum and Jordan Hicks),3.38,3.92,16.0,2023,231
2.0,2:01,2.0,2.0,MIN 25,10.0,7.0,"Penalty on Jonathan Bullard: Encroachment, 5 yards (accepted) (no play)",3.92,4.24,16.0,2023,231
2.0,2:00,1.0,10.0,MIN 20,10.0,7.0,Jared Goff pass complete short right to Jameson Williams for 6 yards (tackle by Mekhi Blackmon),4.24,4.64,16.0,2023,231
2.0,1:54,,,,,,Timeout #1 by Minnesota Vikings,,,16.0,2023,231
2.0,1:54,2.0,4.0,MIN 14,16.0,7.0,"Jahmyr Gibbs right end for 14 yards, touchdown",4.64,7.0,16.0,2023,231
2.0,1:48,,,MIN 15,17.0,7.0,Michael Badgley kicks extra point good,0.0,0.0,16.0,2023,231
2.0,1:48,,,DET 35,17.0,7.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,231
2.0,1:48,1.0,10.0,MIN 25,17.0,7.0,Nick Mullens pass complete short left to T.J. Hockenson for 7 yards (tackle by Kerby Joseph),0.61,1.01,16.0,2023,231
2.0,1:25,2.0,3.0,MIN 32,17.0,7.0,Nick Mullens pass complete deep left to Justin Jefferson for 22 yards (tackle by Kerby Joseph),1.01,2.52,16.0,2023,231
2.0,0:57,1.0,10.0,DET 46,17.0,7.0,Nick Mullens pass incomplete short right intended for K.J. Osborn,2.52,1.98,16.0,2023,231
2.0,0:54,2.0,10.0,DET 46,17.0,7.0,Nick Mullens sacked by Ifeatu Melifonwu for -9 yards,1.98,0.1,16.0,2023,231
2.0,0:49,,,,,,Timeout #2 by Detroit Lions,,,16.0,2023,231
2.0,0:49,3.0,19.0,MIN 45,17.0,7.0,Nick Mullens pass complete deep middle to Justin Jefferson for 29 yards (tackle by Ifeatu Melifonwu),0.1,3.84,16.0,2023,231
2.0,0:43,,,,,,Timeout #2 by Minnesota Vikings,,,16.0,2023,231
2.0,0:43,1.0,10.0,DET 26,17.0,7.0,"Nick Mullens pass incomplete deep middle intended for Justin Jefferson. Penalty on Ifeatu Melifonwu: Defensive Pass Interference, 25 yards (offset) . Penalty on Christian Darrisaw: Offensive Holding, 10 yards (offset) (no play)",3.84,3.84,16.0,2023,231
2.0,0:37,1.0,10.0,DET 26,17.0,13.0,"Nick Mullens pass complete deep right to Justin Jefferson for 26 yards, touchdown",3.84,7.0,16.0,2023,231
2.0,0:29,,,DET 15,17.0,14.0,Greg Joseph kicks extra point good,0.0,0.0,16.0,2023,231
2.0,0:29,,,MIN 35,17.0,14.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,231
2.0,0:29,1.0,10.0,DET 25,17.0,14.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 11 yards (tackle by Josh Metellus),0.61,1.33,16.0,2023,231
2.0,0:21,,,,,,Timeout #3 by Detroit Lions,,,16.0,2023,231
2.0,0:21,1.0,10.0,DET 36,17.0,14.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,1.33,0.79,16.0,2023,231
2.0,0:17,2.0,10.0,DET 36,17.0,14.0,Jared Goff pass complete short right to Jahmyr Gibbs for 1 yard (tackle by Jay Ward),0.79,0.23,16.0,2023,231
3.0,15:00,,,DET 35,17.0,14.0,"Jack Fox kicks off 64 yards, returned by Kene Nwangwu for 18 yards (tackle by Malcolm Rodriguez)",0.0,0.15,16.0,2023,231
3.0,14:56,1.0,10.0,MIN 19,17.0,14.0,Ty Chandler left end for 1 yard (tackle by Alex Anzalone and Jack Campbell),0.15,-0.2,16.0,2023,231
3.0,14:16,2.0,9.0,MIN 20,17.0,14.0,Nick Mullens pass complete deep left to T.J. Hockenson for 24 yards (tackle by Kerby Joseph),-0.2,1.86,16.0,2023,231
3.0,13:33,1.0,10.0,MIN 44,17.0,14.0,Ty Chandler left guard for 3 yards (tackle by Ifeatu Melifonwu),1.86,1.72,16.0,2023,231
3.0,12:52,2.0,7.0,MIN 47,17.0,14.0,Nick Mullens pass complete deep middle to K.J. Osborn for 47 yards (tackle by Khalil Dorsey),1.72,5.83,16.0,2023,231
3.0,12:01,1.0,6.0,DET 6,17.0,20.0,"Nick Mullens pass complete short right to K.J. Osborn for 6 yards, touchdown",5.83,7.0,16.0,2023,231
3.0,11:56,,,DET 15,17.0,21.0,Greg Joseph kicks extra point good,0.0,0.0,16.0,2023,231
3.0,11:56,,,MIN 35,17.0,21.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,231
3.0,11:56,1.0,10.0,DET 25,17.0,21.0,Jared Goff pass complete short right to Kalif Raymond for 18 yards,0.61,1.8,16.0,2023,231
3.0,11:31,1.0,10.0,DET 43,17.0,21.0,Jahmyr Gibbs left tackle for 6 yards (tackle by Patrick Jones),1.8,2.06,16.0,2023,231
3.0,10:57,2.0,4.0,DET 49,17.0,21.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 8 yards (tackle by Akayleb Evans),2.06,2.72,16.0,2023,231
3.0,10:22,1.0,10.0,MIN 43,17.0,21.0,Jared Goff pass incomplete short left intended for Jahmyr Gibbs,2.72,2.18,16.0,2023,231
3.0,10:18,2.0,10.0,MIN 43,17.0,21.0,Jahmyr Gibbs right end for 7 yards (tackle by Josh Metellus),2.18,2.41,16.0,2023,231
3.0,9:34,3.0,3.0,MIN 36,17.0,21.0,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)",2.41,1.75,16.0,2023,231
3.0,9:12,3.0,8.0,MIN 41,17.0,21.0,Jared Goff pass complete short left to Sam LaPorta for 7 yards (tackle by Josh Metellus),1.75,1.1,16.0,2023,231
3.0,8:28,4.0,1.0,MIN 34,17.0,21.0,Jahmyr Gibbs left guard for 18 yards (tackle by D.J. Wonnum),1.1,4.51,16.0,2023,231
3.0,7:58,1.0,10.0,MIN 16,17.0,21.0,Jared Goff pass complete short middle to Jameson Williams for 9 yards (tackle by Camryn Bynum),4.51,5.54,16.0,2023,231
3.0,7:24,2.0,1.0,MIN 7,17.0,21.0,Jahmyr Gibbs left end for -1 yards (tackle by Josh Metellus),5.54,4.62,16.0,2023,231
3.0,6:47,3.0,2.0,MIN 8,17.0,21.0,Jahmyr Gibbs left end for 1 yard (tackle by Harrison Smith),4.62,3.01,16.0,2023,231
3.0,6:02,4.0,1.0,MIN 7,17.0,21.0,Jared Goff up the middle for 2 yards (tackle by Jordan Hicks),3.01,6.06,16.0,2023,231
3.0,5:22,1.0,5.0,MIN 5,17.0,21.0,Jahmyr Gibbs up the middle for 4 yards (tackle by Danielle Hunter and Harrison Smith),6.06,5.91,16.0,2023,231
3.0,4:41,2.0,1.0,MIN 1,23.0,21.0,"Jared Goff pass complete short middle to Amon-Ra St. Brown for 1 yard, touchdown",5.91,7.0,16.0,2023,231
3.0,4:38,,,MIN 15,23.0,21.0,"Michael Badgley kicks extra point blocked blocked by Theo Jackson, recovered by Ivan Pace",0.0,-1.0,16.0,2023,231
3.0,4:38,,,DET 35,23.0,21.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,231
3.0,4:38,1.0,10.0,MIN 25,23.0,21.0,Ty Chandler right tackle for 2 yards (tackle by Benito Jones and John Cominsky),0.61,0.33,16.0,2023,231
3.0,4:00,2.0,8.0,MIN 27,23.0,21.0,Nick Mullens pass incomplete deep left intended for Johnny Mundt,0.33,-0.36,16.0,2023,231
3.0,3:52,3.0,8.0,MIN 27,23.0,21.0,Nick Mullens pass complete short left to C.J. Ham for 6 yards (tackle by Malcolm Rodriguez),-0.36,-1.18,16.0,2023,231
3.0,3:09,4.0,2.0,MIN 33,23.0,21.0,"Ryan Wright punts 50 yards, fair catch by Kalif Raymond at DET-17",-1.18,0.06,16.0,2023,231
3.0,3:01,1.0,10.0,DET 17,23.0,21.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards (tackle by Andrew Booth),-0.06,0.08,16.0,2023,231
3.0,2:25,2.0,6.0,DET 21,23.0,21.0,Jahmyr Gibbs left guard for 2 yards (tackle by Harrison Phillips and Harrison Smith),0.08,-0.49,16.0,2023,231
3.0,1:55,3.0,4.0,DET 23,23.0,21.0,Jared Goff pass complete deep left to Amon-Ra St. Brown for 25 yards (tackle by Camryn Bynum),-0.49,2.13,16.0,2023,231
3.0,1:07,1.0,10.0,DET 48,23.0,21.0,Jared Goff pass incomplete short right intended for Jameson Williams,2.13,1.58,16.0,2023,231
3.0,1:01,2.0,10.0,DET 48,23.0,21.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 15 yards (tackle by Camryn Bynum),1.58,3.12,16.0,2023,231
3.0,0:19,1.0,10.0,MIN 37,23.0,21.0,Jahmyr Gibbs left guard for 4 yards (tackle by Josh Metellus),3.12,3.11,16.0,2023,231
4.0,15:00,2.0,6.0,MIN 33,23.0,21.0,Jared Goff pass complete short left to Sam LaPorta for 6 yards (tackle by Ivan Pace),3.11,3.78,16.0,2023,231
4.0,14:19,1.0,10.0,MIN 27,23.0,21.0,Jahmyr Gibbs right end for 1 yard (tackle by Danielle Hunter and Sheldon Day),3.78,3.37,16.0,2023,231
4.0,13:37,2.0,9.0,MIN 26,23.0,21.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 1 yard (tackle by D.J. Wonnum),3.37,2.81,16.0,2023,231
4.0,12:57,3.0,8.0,MIN 25,23.0,21.0,Jared Goff pass complete short left to Donovan Peoples-Jones for 11 yards (tackle by Harrison Smith),2.81,4.65,16.0,2023,231
4.0,12:21,1.0,10.0,MIN 14,23.0,21.0,Jared Goff pass complete short right to Jahmyr Gibbs for 6 yards (tackle by Jordan Hicks),4.65,5.09,16.0,2023,231
4.0,11:44,2.0,4.0,MIN 8,23.0,21.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Andrew Booth),5.09,4.28,16.0,2023,231
4.0,11:39,3.0,4.0,MIN 8,23.0,21.0,Jared Goff pass complete short left to Jahmyr Gibbs for 5 yards (tackle by Jordan Hicks),4.28,6.51,16.0,2023,231
4.0,11:09,1.0,3.0,MIN 3,29.0,21.0,"Jahmyr Gibbs right guard for 3 yards, touchdown",6.51,7.0,16.0,2023,231
4.0,11:07,,,MIN 15,30.0,21.0,Michael Badgley kicks extra point good,0.0,0.0,16.0,2023,231
4.0,11:07,,,DET 35,30.0,21.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,231
4.0,11:07,1.0,10.0,MIN 25,30.0,21.0,Alexander Mattison right tackle for 1 yard (tackle by John Cominsky),0.61,0.2,16.0,2023,231
4.0,10:30,2.0,9.0,MIN 26,30.0,21.0,"Nick Mullens pass complete short left to Brandon Powell for 6 yards (tackle by Jack Campbell). Penalty on Ed Ingram: Unnecessary Roughness / Offense, 15 yards (accepted)",0.2,-1.93,16.0,2023,231
4.0,10:00,3.0,18.0,MIN 17,30.0,21.0,Nick Mullens pass deep left intended for Justin Jefferson is intercepted by Kerby Joseph at DET-35 and returned for no gain (tackle by Justin Jefferson),-1.93,-1.27,16.0,2023,231
4.0,9:52,1.0,10.0,DET 35,30.0,21.0,Jared Goff pass complete short left to David Montgomery for 5 yards (tackle by Jordan Hicks),1.27,1.4,16.0,2023,231
4.0,9:08,2.0,5.0,DET 40,30.0,21.0,David Montgomery up the middle for -2 yards (tackle by Patrick Jones),1.4,0.43,16.0,2023,231
4.0,8:26,3.0,7.0,DET 38,30.0,21.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards (tackle by Theo Jackson),0.43,-0.59,16.0,2023,231
4.0,7:38,4.0,3.0,DET 42,30.0,21.0,Jack Fox punts 42 yards out of bounds,-0.59,0.14,16.0,2023,231
4.0,7:31,1.0,10.0,MIN 16,30.0,21.0,Nick Mullens pass complete short left to K.J. Osborn for 14 yards (tackle by Alex Anzalone),-0.14,0.94,16.0,2023,231
4.0,6:59,1.0,10.0,MIN 30,30.0,21.0,Nick Mullens pass incomplete deep left intended for Justin Jefferson (defended by Ifeatu Melifonwu),0.94,0.39,16.0,2023,231
4.0,6:52,2.0,10.0,MIN 30,30.0,21.0,"Penalty on MIN: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",0.39,-0.28,16.0,2023,231
4.0,6:52,2.0,15.0,MIN 25,30.0,21.0,"Nick Mullens pass complete deep left to Justin Jefferson for 28 yards (tackle by Kerby Joseph). Penalty on Kerby Joseph: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.28,3.45,16.0,2023,231
4.0,6:27,1.0,10.0,DET 32,30.0,21.0,Nick Mullens pass complete deep right to Johnny Mundt for 23 yards (tackle by Malcolm Rodriguez),3.45,5.14,16.0,2023,231
4.0,5:48,1.0,9.0,DET 9,30.0,21.0,Nick Mullens pass incomplete short middle intended for Justin Jefferson (defended by Kindle Vildor),5.14,4.38,16.0,2023,231
4.0,5:43,2.0,9.0,DET 9,30.0,21.0,Nick Mullens pass incomplete short right intended for Johnny Mundt,4.38,3.36,16.0,2023,231
4.0,5:38,3.0,9.0,DET 9,30.0,21.0,"Nick Mullens scrambles right end for 1 yard (tackle by John Cominsky and Alex Anzalone). Penalty on Garrett Bradbury: Offensive Holding, 10 yards (declined)",3.36,2.95,16.0,2023,231
4.0,5:22,4.0,8.0,DET 8,30.0,24.0,Greg Joseph 26 yard field goal good,2.95,3.0,16.0,2023,231
4.0,5:19,,,MIN 35,30.0,24.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,231
4.0,5:19,1.0,10.0,DET 25,30.0,24.0,David Montgomery up the middle for 7 yards (tackle by Danielle Hunter and Jordan Hicks),0.61,1.01,16.0,2023,231
4.0,4:35,2.0,3.0,DET 32,30.0,24.0,David Montgomery left tackle for 4 yards (tackle by Jordan Hicks and Ivan Pace),1.01,1.33,16.0,2023,231
4.0,4:30,,,,,,Timeout #1 by Minnesota Vikings,,,16.0,2023,231
4.0,4:30,1.0,10.0,DET 36,30.0,24.0,David Montgomery up the middle for 3 yards (tackle by Harrison Phillips and Harrison Smith),1.33,1.2,16.0,2023,231
4.0,4:26,,,,,,Timeout #2 by Minnesota Vikings,,,16.0,2023,231
4.0,4:26,2.0,7.0,DET 39,30.0,24.0,Jared Goff pass incomplete short left intended for Jahmyr Gibbs,1.2,0.5,16.0,2023,231
4.0,4:21,3.0,7.0,DET 39,30.0,24.0,"Jared Goff pass incomplete deep middle intended for Josh Reynolds. Penalty on Jaylin Williams: Illegal Contact, 5 yards (accepted) (no play)",0.5,1.86,16.0,2023,231
4.0,4:17,1.0,10.0,DET 44,30.0,24.0,David Montgomery right tackle for 3 yards (tackle by Harrison Phillips and Patrick Jones),1.86,1.72,16.0,2023,231
4.0,4:12,,,,,,Timeout #3 by Minnesota Vikings,,,16.0,2023,231
4.0,4:12,2.0,7.0,DET 47,30.0,24.0,"Penalty on Josh Reynolds: False Start, 5 yards (accepted) (no play)",1.72,1.05,16.0,2023,231
4.0,4:12,2.0,12.0,DET 42,30.0,24.0,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)",1.05,0.37,16.0,2023,231
4.0,4:12,2.0,17.0,DET 37,30.0,24.0,Jahmyr Gibbs left tackle for 1 yard (tackle by Jonathan Bullard),0.37,-0.16,16.0,2023,231
4.0,3:28,,,,,,Timeout #1 by Detroit Lions,,,16.0,2023,231
4.0,3:28,3.0,16.0,DET 38,30.0,24.0,Jahmyr Gibbs left tackle for 3 yards (tackle by Patrick Jones),-0.16,-0.65,16.0,2023,231
4.0,2:49,4.0,13.0,DET 41,30.0,24.0,"Jack Fox punts. Penalty on Trevor Nowaske: Illegal Formation, 5 yards (accepted) (no play)",-0.65,-0.98,16.0,2023,231
4.0,2:36,4.0,18.0,DET 36,30.0,24.0,"Jack Fox punts 57 yards, returned by Brandon Powell for 5 yards (tackle by Trevor Nowaske)",-0.98,0.35,16.0,2023,231
