Quarter,Time,Down,ToGo,Location,BAL,SFO,Detail,EPB,EPA,week,year,game_id
2.0,1:02,1.0,10.0,BAL 48,13.0,12.0,Lamar Jackson pass complete deep right to Charlie Kolar for 17 yards (tackle by Tashaun Gipson),2.13,3.25,16.0,2023,240
2.0,0:37,1.0,10.0,SFO 35,13.0,12.0,"Lamar Jackson pass complete short left to Nelson Agholor for no gain (tackle by Ambry Thomas). Penalty on Ronnie Stanley: Offensive Facemask, 15 yards (accepted) (no play)",3.25,2.26,16.0,2023,240
2.0,0:34,1.0,25.0,SFO 50,13.0,12.0,Lamar Jackson pass complete short right to Zay Flowers for 9 yards (tackle by Charvarius Ward),2.26,1.89,16.0,2023,240
2.0,0:28,2.0,16.0,SFO 41,13.0,12.0,Lamar Jackson pass incomplete deep right intended for Isaiah Likely,1.89,1.22,16.0,2023,240
2.0,0:24,3.0,16.0,SFO 41,13.0,12.0,Lamar Jackson scrambles left end for 30 yards (tackle by Ji'Ayir Brown),1.22,4.84,16.0,2023,240
2.0,0:10,,,,,,Timeout #2 by Baltimore Ravens,,,16.0,2023,240
2.0,0:10,1.0,10.0,SFO 11,13.0,12.0,Lamar Jackson pass incomplete short right intended for Zay Flowers,4.84,4.14,16.0,2023,240
2.0,0:04,2.0,10.0,SFO 11,16.0,12.0,Justin Tucker 28 yard field goal good,4.14,3.0,16.0,2023,240
3.0,15:00,,,BAL 35,16.0,12.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,240
3.0,15:00,1.0,10.0,SFO 25,16.0,12.0,Christian McCaffrey right tackle for 1 yard (tackle by Justin Madubuike),0.61,0.2,16.0,2023,240
3.0,14:18,2.0,9.0,SFO 26,16.0,12.0,Brock Purdy pass complete short right to George Kittle for 4 yards (tackle by Patrick Queen),0.2,0.04,16.0,2023,240
3.0,13:33,3.0,5.0,SFO 30,16.0,12.0,Brock Purdy pass incomplete short middle intended for Willie Snead,0.04,-1.37,16.0,2023,240
3.0,13:29,4.0,5.0,SFO 30,16.0,12.0,"Penalty on Jeremy McNichols: False Start, 5 yards (accepted) (no play)",-1.37,-1.7,16.0,2023,240
3.0,13:29,4.0,10.0,SFO 25,16.0,12.0,"Mitch Wishnowsky punts 57 yards, returned by Tylan Wallace for 23 yards (tackle by Jordan Mason). Penalty on Mitch Wishnowsky: Unnecessary Roughness / Defense, 15 yards (accepted)",-1.7,-2.65,16.0,2023,240
3.0,13:17,1.0,10.0,SFO 44,16.0,12.0,Lamar Jackson pass complete short right to Gus Edwards for 39 yards (tackle by Fred Warner),2.65,6.06,16.0,2023,240
3.0,12:51,1.0,5.0,SFO 5,16.0,12.0,Gus Edwards right tackle for -1 yards (tackle by Nick Bosa),6.06,4.95,16.0,2023,240
3.0,12:13,2.0,6.0,SFO 6,22.0,12.0,"Lamar Jackson pass complete short left to Nelson Agholor for 6 yards, touchdown",4.95,7.0,16.0,2023,240
3.0,12:07,,,SFO 15,23.0,12.0,Justin Tucker kicks extra point good,0.0,0.0,16.0,2023,240
3.0,12:07,,,BAL 35,23.0,12.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,240
3.0,12:07,1.0,10.0,SFO 25,23.0,12.0,Brock Purdy pass short left (defended by Travis Jones) intended for Christian McCaffrey is intercepted by Patrick Queen at SF-30 and returned for 21 yards (tackle by Jon Feliciano and Trent Williams),0.61,-5.14,16.0,2023,240
3.0,11:52,1.0,9.0,SFO 9,29.0,12.0,"Lamar Jackson pass complete short middle to Zay Flowers for 9 yards, touchdown",5.14,7.0,16.0,2023,240
3.0,11:49,,,SFO 15,30.0,12.0,Justin Tucker kicks extra point good,0.0,0.0,16.0,2023,240
3.0,11:49,,,BAL 35,30.0,12.0,"Justin Tucker kicks off 67 yards, returned by Deebo Samuel for 18 yards (tackle by Jeremiah Moon)",0.0,-0.14,16.0,2023,240
3.0,11:45,1.0,10.0,SFO 16,30.0,12.0,Brock Purdy pass incomplete short left intended for Deebo Samuel,-0.14,-0.66,16.0,2023,240
3.0,11:41,2.0,10.0,SFO 16,30.0,12.0,Brock Purdy pass complete deep right to Deebo Samuel for 20 yards (tackle by Brandon Stephens and Roquan Smith),-0.66,1.33,16.0,2023,240
3.0,10:59,1.0,10.0,SFO 36,30.0,12.0,Brock Purdy pass complete short left to Kyle Juszczyk for 5 yards (tackle by Brandon Stephens),1.33,1.47,16.0,2023,240
3.0,10:22,2.0,5.0,SFO 41,30.0,12.0,Christian McCaffrey right end for -1 yards (tackle by Roquan Smith and Justin Madubuike),1.47,0.63,16.0,2023,240
3.0,9:36,3.0,6.0,SFO 40,30.0,12.0,"Brock Purdy pass incomplete short middle intended for Deebo Samuel Penalty on SFO: Illegal Shift, 5 yards (declined)",0.63,-0.72,16.0,2023,240
3.0,9:32,4.0,6.0,SFO 40,30.0,12.0,Mitch Wishnowsky punts 55 yards downed by Jeremy McNichols,-0.72,0.38,16.0,2023,240
3.0,9:21,1.0,10.0,BAL 5,30.0,12.0,Justice Hill up the middle for 3 yards (tackle by Kevin Givens and Dre Greenlaw),-0.38,-0.56,16.0,2023,240
3.0,8:43,2.0,7.0,BAL 8,30.0,12.0,Justice Hill up the middle for 6 yards (tackle by Fred Warner and Dre Greenlaw),-0.56,-0.37,16.0,2023,240
3.0,8:21,3.0,1.0,BAL 14,30.0,12.0,"Lamar Jackson up the middle for 3 yards (tackle by Dre Greenlaw and Fred Warner). Penalty on Javon Kinlaw: Defensive Holding, 5 yards (accepted)",-0.37,0.41,16.0,2023,240
3.0,7:55,1.0,10.0,BAL 22,30.0,12.0,Lamar Jackson pass complete deep left to Isaiah Likely for 34 yards (tackle by Tashaun Gipson),0.41,2.65,16.0,2023,240
3.0,7:07,1.0,10.0,SFO 44,30.0,12.0,Lamar Jackson pass complete short middle to Justice Hill for 23 yards (tackle by Demetrius Flannigan-Fowles),2.65,4.17,16.0,2023,240
3.0,6:18,1.0,10.0,SFO 21,30.0,12.0,Gus Edwards up the middle for 1 yard (tackle by Randy Gregory),4.17,3.76,16.0,2023,240
3.0,5:35,2.0,9.0,SFO 20,30.0,12.0,Lamar Jackson pass complete short middle to Zay Flowers for 10 yards (tackle by Randy Gregory),3.76,4.91,16.0,2023,240
3.0,4:52,1.0,10.0,SFO 10,30.0,12.0,Lamar Jackson up the middle for 7 yards (tackle by Dre Greenlaw and Ji'Ayir Brown),4.91,5.53,16.0,2023,240
3.0,4:12,2.0,3.0,SFO 3,30.0,12.0,Gus Edwards up the middle for 2 yards (tackle by Dre Greenlaw and Kevin Givens),5.53,5.17,16.0,2023,240
3.0,3:31,3.0,1.0,SFO 1,30.0,12.0,Lamar Jackson for no gain (tackle by Kevin Givens and Javon Hargrave),5.17,3.55,16.0,2023,240
3.0,2:47,4.0,1.0,SFO 1,30.0,12.0,"Penalty on BAL: Delay of Game, 5 yards (accepted) (no play)",3.55,2.99,16.0,2023,240
3.0,2:43,4.0,6.0,SFO 6,33.0,12.0,Justin Tucker 24 yard field goal good,2.99,3.0,16.0,2023,240
3.0,2:39,,,BAL 35,33.0,12.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,240
3.0,2:39,1.0,10.0,SFO 25,33.0,12.0,Brock Purdy pass complete deep middle to George Kittle for 16 yards (tackle by Brandon Stephens),0.61,1.66,16.0,2023,240
3.0,2:03,1.0,10.0,SFO 41,33.0,12.0,Christian McCaffrey left end for 15 yards (tackle by Marcus Williams),1.66,2.65,16.0,2023,240
3.0,1:21,1.0,10.0,BAL 44,33.0,12.0,Deebo Samuel right end for 6 yards (tackle by Geno Stone and Kyle Hamilton),2.65,2.92,16.0,2023,240
3.0,0:38,2.0,4.0,BAL 38,33.0,12.0,"Christian McCaffrey left guard for 3 yards (tackle by Marcus Williams and Patrick Queen). Penalty on Brandon Aiyuk: Offensive Holding, 10 yards (accepted)",2.92,1.98,16.0,2023,240
3.0,0:18,2.0,11.0,BAL 45,33.0,12.0,Brock Purdy pass complete short right to Christian McCaffrey for no gain (tackle by Kyle Van Noy and Patrick Queen),1.98,1.29,16.0,2023,240
4.0,15:00,3.0,11.0,BAL 45,33.0,12.0,Brock Purdy pass incomplete short left intended for Deebo Samuel,1.29,0.27,16.0,2023,240
4.0,14:57,4.0,11.0,BAL 45,33.0,12.0,Brock Purdy pass complete short right to Christian McCaffrey for -1 yards (tackle by Marcus Williams),0.27,-2.06,16.0,2023,240
4.0,14:47,1.0,10.0,BAL 47,33.0,12.0,Justice Hill left end for 6 yards (tackle by Fred Warner),2.06,2.33,16.0,2023,240
4.0,13:59,2.0,4.0,SFO 47,33.0,12.0,Justice Hill left tackle for 3 yards (tackle by Fred Warner and Clelin Ferrell),2.33,2.02,16.0,2023,240
4.0,13:19,3.0,1.0,SFO 44,33.0,12.0,"Penalty on Fred Warner: Encroachment, 5 yards (accepted) (no play)",2.02,2.98,16.0,2023,240
4.0,12:54,1.0,10.0,SFO 39,33.0,12.0,Lamar Jackson pass complete short right to Nelson Agholor for 2 yards (tackle by Tashaun Gipson),2.98,2.71,16.0,2023,240
4.0,12:14,2.0,8.0,SFO 37,33.0,12.0,Justice Hill right tackle for 3 yards (tackle by Dre Greenlaw and Javon Kinlaw),2.71,2.41,16.0,2023,240
4.0,11:30,3.0,5.0,SFO 34,33.0,12.0,Lamar Jackson sacked by and Randy Gregory for -6 yards and Chase Young for -6 yards,2.41,0.59,16.0,2023,240
4.0,10:30,4.0,11.0,SFO 40,33.0,12.0,"Penalty on BAL: Delay of Game, 5 yards (declined)",0.59,0.59,16.0,2023,240
4.0,10:30,4.0,11.0,SFO 40,33.0,12.0,"Jordan Stout punts 30 yards, fair catch by Ronnie Bell at SF-10",0.59,0.38,16.0,2023,240
4.0,10:24,1.0,10.0,SFO 10,33.0,12.0,Brock Purdy pass complete short middle to Christian McCaffrey for 12 yards (tackle by Roquan Smith and Patrick Queen),-0.38,0.41,16.0,2023,240
4.0,9:51,1.0,10.0,SFO 22,33.0,12.0,Brock Purdy pass incomplete short middle intended for Deebo Samuel (defended by Kyle Hamilton),0.41,-0.13,16.0,2023,240
4.0,9:51,2.0,10.0,SFO 22,33.0,12.0,Brock Purdy pass incomplete deep right,-0.13,-0.82,16.0,2023,240
4.0,9:43,3.0,10.0,SFO 22,33.0,12.0,Brock Purdy pass complete short right to Brandon Aiyuk for 22 yards (tackle by Kyle Hamilton),-0.82,1.86,16.0,2023,240
4.0,9:14,1.0,10.0,SFO 44,33.0,12.0,Brock Purdy sacked by Kyle Van Noy for -5 yards,1.86,0.64,16.0,2023,240
4.0,8:49,2.0,15.0,SFO 39,33.0,12.0,Brock Purdy pass complete short left to Brandon Aiyuk for 33 yards (tackle by Geno Stone),0.64,3.71,16.0,2023,240
4.0,8:19,1.0,10.0,BAL 28,33.0,12.0,Brock Purdy sacked by Jadeveon Clowney for -3 yards,3.71,2.76,16.0,2023,240
4.0,7:52,2.0,13.0,BAL 31,33.0,12.0,Sam Darnold pass complete short left to Brandon Aiyuk for 9 yards (tackle by Patrick Queen and Geno Stone),2.76,3.27,16.0,2023,240
4.0,7:15,3.0,4.0,BAL 22,33.0,12.0,Sam Darnold pass complete short right to George Kittle for 5 yards,3.27,4.44,16.0,2023,240
4.0,6:56,1.0,10.0,BAL 17,33.0,12.0,Sam Darnold pass complete short left to Willie Snead for 5 yards (tackle by Brandon Stephens),4.44,4.69,16.0,2023,240
4.0,6:27,2.0,5.0,BAL 12,33.0,12.0,Sam Darnold pass incomplete short middle intended for Christian McCaffrey,4.69,3.88,16.0,2023,240
4.0,6:23,3.0,5.0,BAL 12,33.0,18.0,"Sam Darnold pass complete short middle to Ronnie Bell for 12 yards, touchdown",3.88,7.0,16.0,2023,240
4.0,6:19,,,BAL 15,33.0,19.0,Jake Moody kicks extra point good,0.0,0.0,16.0,2023,240
4.0,6:19,,,SFO 35,33.0,19.0,"Jake Moody kicks off 54 yards, returned by Justice Hill for 18 yards (tackle by Robert Beal)",0.0,0.87,16.0,2023,240
4.0,6:15,1.0,10.0,BAL 29,33.0,19.0,Gus Edwards right guard for 3 yards (tackle by Dre Greenlaw and Chase Young),0.87,0.73,16.0,2023,240
4.0,5:28,2.0,7.0,BAL 32,33.0,19.0,Justice Hill right tackle for -1 yards (tackle by Tashaun Gipson and Deommodore Lenoir),0.73,-0.1,16.0,2023,240
4.0,4:48,3.0,8.0,BAL 31,33.0,19.0,Lamar Jackson pass incomplete short right intended for Rashod Bateman (defended by Fred Warner),-0.1,-1.31,16.0,2023,240
4.0,4:45,4.0,8.0,BAL 31,33.0,19.0,"Jordan Stout punts 44 yards, returned by Ronnie Bell for 11 yards (tackle by Trenton Simpson)",-1.31,-1.33,16.0,2023,240
4.0,4:35,1.0,10.0,SFO 36,33.0,19.0,Sam Darnold sacked by Brent Urban for -9 yards,1.33,-0.43,16.0,2023,240
4.0,4:01,2.0,19.0,SFO 27,33.0,19.0,Sam Darnold pass complete short right to George Kittle for 10 yards (tackle by Ronald Darby and Patrick Queen),-0.43,0.23,16.0,2023,240
4.0,3:54,3.0,9.0,SFO 37,33.0,19.0,Sam Darnold pass incomplete short right intended for Deebo Samuel,0.23,-0.91,16.0,2023,240
4.0,3:50,4.0,9.0,SFO 37,33.0,19.0,"Sam Darnold pass complete short left to Deebo Samuel for 9 yards (tackle by Marlon Humphrey and Michael Pierce) BAL challenged the first down ruling, and the play was upheld.",-0.91,1.99,16.0,2023,240
4.0,3:22,1.0,10.0,SFO 46,33.0,19.0,Sam Darnold scrambles left end for 9 yards (tackle by Marcus Williams),1.99,2.67,16.0,2023,240
4.0,3:15,2.0,1.0,BAL 45,33.0,19.0,Sam Darnold pass incomplete short left intended for Christian McCaffrey,2.67,1.95,16.0,2023,240
