Quarter,Time,Down,ToGo,Location,NWE,DEN,Detail,EPB,EPA,week,year,game_id
1.0,8:20,4.0,1.0,NWE 24,0.0,0.0,"Bryce Baringer punts 53 yards, returned by Marvin Mims for 52 yards (tackle by Bryce Baringer)",-1.77,-3.91,16.0,2023,237
1.0,8:01,1.0,10.0,NWE 25,0.0,0.0,Russell Wilson pass complete short left to Jaleel McLaughlin for 8 yards (tackle by Shaun Wade),3.91,4.55,16.0,2023,237
1.0,7:24,2.0,2.0,NWE 17,0.0,0.0,Javonte Williams right guard for 3 yards (tackle by Jahlani Tavai),4.55,4.65,16.0,2023,237
1.0,6:45,1.0,10.0,NWE 14,0.0,0.0,Javonte Williams left end for 7 yards (tackle by Myles Bryant),4.65,5.28,16.0,2023,237
1.0,6:06,2.0,3.0,NWE 7,0.0,0.0,Russell Wilson pass complete short right to Michael Burton for 4 yards (tackle by Jalen Mills),5.28,6.51,16.0,2023,237
1.0,5:20,1.0,3.0,NWE 3,0.0,6.0,"Javonte Williams right guard for 3 yards, touchdown",6.51,7.0,16.0,2023,237
1.0,5:15,,,NWE 15,0.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,16.0,2023,237
1.0,5:15,,,DEN 35,0.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,237
1.0,5:15,1.0,10.0,NWE 25,0.0,7.0,Bailey Zappe pass complete short left to DeVante Parker for 4 yards (tackle by Drew Sanders and Fabian Moreau),0.61,0.6,16.0,2023,237
1.0,4:36,2.0,6.0,NWE 29,0.0,7.0,Bailey Zappe pass complete short middle to Ezekiel Elliott for 7 yards (tackle by Alex Singleton),0.6,1.33,16.0,2023,237
1.0,3:59,1.0,10.0,NWE 36,0.0,7.0,Bailey Zappe pass complete short left to Ezekiel Elliott for 4 yards (tackle by P.J. Locke),1.33,1.33,16.0,2023,237
1.0,3:25,2.0,6.0,NWE 40,0.0,7.0,Kevin Harris left end for 4 yards (tackle by Josey Jewell and P.J. Locke),1.33,1.16,16.0,2023,237
1.0,2:49,3.0,2.0,NWE 44,0.0,7.0,Bailey Zappe pass complete short right to Pharaoh Brown for 5 yards (tackle by Alex Singleton),1.16,2.19,16.0,2023,237
1.0,2:10,1.0,10.0,NWE 49,0.0,7.0,Bailey Zappe sacked by Jonathon Cooper for -10 yards,2.19,0.3,16.0,2023,237
1.0,1:26,2.0,20.0,NWE 39,0.0,7.0,Bailey Zappe pass complete deep left to Jalen Reagor for 28 yards (tackle by P.J. Locke),0.3,3.38,16.0,2023,237
1.0,0:45,1.0,10.0,DEN 33,0.0,7.0,Tyquan Thornton left end for 9 yards (tackle by Alex Singleton),3.38,4.05,16.0,2023,237
1.0,0:06,2.0,1.0,DEN 24,0.0,7.0,Ezekiel Elliott right guard for 4 yards (tackle by Patrick Surtain),4.05,4.24,16.0,2023,237
2.0,15:00,1.0,10.0,DEN 20,0.0,7.0,Bailey Zappe pass incomplete short left intended for Ezekiel Elliott,4.24,3.69,16.0,2023,237
2.0,14:57,2.0,10.0,DEN 20,0.0,7.0,Ezekiel Elliott right guard for 3 yards (tackle by Mike Purcell and P.J. Locke),3.69,3.36,16.0,2023,237
2.0,14:18,3.0,7.0,DEN 17,0.0,7.0,Bailey Zappe pass complete short middle to Demario Douglas for 3 yards (tackle by Patrick Surtain),3.36,2.58,16.0,2023,237
2.0,13:33,4.0,4.0,DEN 14,3.0,7.0,Chad Ryland 33 yard field goal good,2.58,3.0,16.0,2023,237
2.0,13:30,,,NWE 35,3.0,7.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,237
2.0,13:30,1.0,10.0,DEN 25,3.0,7.0,Russell Wilson scrambles up the middle for 14 yards (tackle by Myles Bryant and Ja'Whaun Bentley),0.61,1.53,16.0,2023,237
2.0,12:52,1.0,10.0,DEN 39,3.0,7.0,Jaleel McLaughlin left end for 12 yards (tackle by Myles Bryant),1.53,2.32,16.0,2023,237
2.0,12:23,1.0,10.0,NWE 49,3.0,7.0,Russell Wilson pass complete short middle to Jaleel McLaughlin for 11 yards (tackle by Jonathan Jones),2.32,3.05,16.0,2023,237
2.0,11:45,1.0,10.0,NWE 38,3.0,7.0,"Russell Wilson pass complete short left to Javonte Williams for -1 yards. Javonte Williams fumbles (forced by Jahlani Tavai), recovered by Jeremiah Pharms at NE-39",3.05,-1.53,16.0,2023,237
2.0,11:27,1.0,10.0,NWE 39,3.0,7.0,Bailey Zappe pass complete short right to DeVante Parker for 4 yards (tackle by Alex Singleton),1.53,1.53,16.0,2023,237
2.0,10:55,2.0,6.0,NWE 43,3.0,7.0,Ezekiel Elliott left tackle for 4 yards (tackle by D.J. Jones and Ronnie Perkins),1.53,1.36,16.0,2023,237
2.0,10:13,3.0,2.0,NWE 47,3.0,7.0,Ezekiel Elliott left guard for no gain (tackle by Drew Sanders),1.36,-0.26,16.0,2023,237
2.0,9:31,4.0,2.0,NWE 47,3.0,7.0,"Bryce Baringer punts 40 yards, fair catch by Marvin Mims at DEN-13",-0.26,0.32,16.0,2023,237
2.0,9:21,1.0,10.0,DEN 13,3.0,7.0,Jaleel McLaughlin left guard for no gain (tackle by Keion White),-0.32,-0.77,16.0,2023,237
2.0,8:44,2.0,10.0,DEN 13,3.0,7.0,Russell Wilson pass complete short right to Marvin Mims for 9 yards (tackle by Kyle Dugger),-0.77,-0.35,16.0,2023,237
2.0,8:09,3.0,1.0,DEN 22,3.0,7.0,Russell Wilson up the middle for 1 yard (tackle by Christian Barmore),-0.35,0.48,16.0,2023,237
2.0,7:29,1.0,10.0,DEN 23,3.0,7.0,Russell Wilson pass complete short left to Jaleel McLaughlin for 7 yards (tackle by Kyle Dugger and Keion White),0.48,0.88,16.0,2023,237
2.0,6:42,2.0,3.0,DEN 30,3.0,7.0,Jaleel McLaughlin right end for 7 yards (tackle by Jalen Mills),0.88,1.4,16.0,2023,237
2.0,5:50,1.0,10.0,DEN 37,3.0,7.0,"Russell Wilson pass complete short middle to Lucas Krull for 11 yards (tackle by Jahlani Tavai). Penalty on Quinn Meinerz: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",1.4,0.41,16.0,2023,237
2.0,5:25,,,,,,Timeout #1 by New England Patriots,,,16.0,2023,237
2.0,5:25,1.0,25.0,DEN 22,3.0,7.0,Javonte Williams up the middle for 9 yards (tackle by Jalen Mills),0.41,0.05,16.0,2023,237
2.0,4:50,,,,,,Timeout #1 by Denver Broncos,,,16.0,2023,237
2.0,4:50,2.0,16.0,DEN 31,3.0,7.0,Russell Wilson pass complete short right to Jaleel McLaughlin for 4 yards (tackle by Deatrich Wise),0.05,-0.1,16.0,2023,237
2.0,4:09,3.0,12.0,DEN 35,3.0,7.0,"Russell Wilson sacked by Mack Wilson for -10 yards. Russell Wilson fumbles (forced by Mack Wilson), recovered by Russell Wilson at DEN-25 and returned for 10 yards",-0.1,-1.7,16.0,2023,237
2.0,3:30,4.0,22.0,DEN 25,3.0,7.0,"Riley Dixon punts 46 yards, returned by Myles Bryant for 8 yards (tackle by Delarrin Turner-Yell and Michael Burton)",-1.7,-1.4,16.0,2023,237
2.0,3:19,1.0,10.0,NWE 37,3.0,7.0,Bailey Zappe pass complete deep left to Pharaoh Brown for 20 yards (tackle by Jonathon Cooper),1.4,2.72,16.0,2023,237
2.0,2:44,1.0,10.0,DEN 43,3.0,7.0,Kevin Harris left end for 4 yards (tackle by Alex Singleton and Patrick Surtain),2.72,2.72,16.0,2023,237
2.0,2:00,2.0,6.0,DEN 39,3.0,7.0,Bailey Zappe pass complete short middle to Demario Douglas for 13 yards (tackle by P.J. Locke),2.72,3.84,16.0,2023,237
2.0,1:23,1.0,10.0,DEN 26,3.0,7.0,Bailey Zappe pass complete short left to Demario Douglas for 4 yards (tackle by Alex Singleton),3.84,3.84,16.0,2023,237
2.0,0:56,2.0,6.0,DEN 22,3.0,7.0,Bailey Zappe pass incomplete deep left intended for DeVante Parker,3.84,3.14,16.0,2023,237
2.0,0:51,,,,,,Timeout #2 by New England Patriots,,,16.0,2023,237
2.0,0:51,3.0,6.0,DEN 22,3.0,7.0,"Bailey Zappe scrambles left end for no gain (tackle by Alex Singleton). Penalty on Atonio Mafi: Offensive Holding, 10 yards (accepted) (no play)",3.14,1.82,16.0,2023,237
2.0,0:44,3.0,16.0,DEN 32,3.0,7.0,Ezekiel Elliott left guard for 3 yards (tackle by Jonathon Cooper),1.82,1.5,16.0,2023,237
2.0,0:38,,,,,,Timeout #2 by Denver Broncos,,,16.0,2023,237
2.0,0:38,4.0,13.0,DEN 29,3.0,7.0,Chad Ryland 47 yard field goal no good,1.5,-1.4,16.0,2023,237
2.0,0:33,1.0,10.0,DEN 37,3.0,7.0,Russell Wilson pass complete short middle to Samaje Perine for 9 yards (tackle by Myles Bryant and Marte Mapu),1.4,2.07,16.0,2023,237
2.0,0:26,,,,,,Timeout #3 by Denver Broncos,,,16.0,2023,237
2.0,0:26,2.0,1.0,DEN 46,3.0,7.0,Russell Wilson pass complete short right to Lucas Krull for 7 yards (tackle by Ja'Whaun Bentley),2.07,2.46,16.0,2023,237
2.0,0:18,1.0,10.0,NWE 47,3.0,7.0,Russell Wilson pass complete short right to Samaje Perine for 8 yards (tackle by Marte Mapu),2.46,2.99,16.0,2023,237
2.0,0:04,2.0,2.0,NWE 39,3.0,7.0,Russell Wilson spiked the ball,2.99,2.28,16.0,2023,237
2.0,0:02,3.0,2.0,NWE 39,3.0,7.0,Wil Lutz 57 yard field goal no good,2.28,1.99,16.0,2023,237
3.0,15:00,,,NWE 35,3.0,7.0,"Chad Ryland kicks off 65 yards, returned by Marvin Mims for 31 yards (tackle by Jalen Mills)",0.0,1.0,16.0,2023,237
3.0,14:55,1.0,10.0,DEN 31,3.0,7.0,Russell Wilson sacked by Christian Barmore for -8 yards,1.0,-0.62,16.0,2023,237
3.0,14:12,2.0,18.0,DEN 23,3.0,7.0,Russell Wilson pass complete short left to Javonte Williams for -1 yards (tackle by Kyle Dugger and Ja'Whaun Bentley),-0.62,-1.42,16.0,2023,237
3.0,13:30,3.0,19.0,DEN 22,3.0,7.0,Russell Wilson pass complete short right to Lucas Krull for 9 yards (tackle by Myles Bryant),-1.42,-1.31,16.0,2023,237
3.0,12:52,4.0,10.0,DEN 31,3.0,7.0,"Riley Dixon punts 39 yards, fair catch by Myles Bryant at NE-30",-1.31,-0.94,16.0,2023,237
3.0,12:44,1.0,10.0,NWE 30,3.0,7.0,Bailey Zappe pass complete deep left to Demario Douglas for 41 yards (tackle by Justin Simmons),0.94,3.64,16.0,2023,237
3.0,12:00,1.0,10.0,DEN 29,3.0,7.0,Ezekiel Elliott up the middle for 1 yard (tackle by Justin Simmons),3.64,3.24,16.0,2023,237
3.0,11:19,2.0,9.0,DEN 28,3.0,7.0,Bailey Zappe pass complete short left to Demario Douglas for 13 yards (tackle by P.J. Locke),3.24,4.58,16.0,2023,237
3.0,10:40,1.0,10.0,DEN 15,3.0,7.0,Ezekiel Elliott left end for no gain (tackle by Baron Browning),4.58,3.95,16.0,2023,237
3.0,9:54,2.0,10.0,DEN 15,9.0,7.0,"Bailey Zappe pass complete short right to Ezekiel Elliott for 15 yards, touchdown",3.95,7.0,16.0,2023,237
3.0,9:48,,,DEN 15,9.0,7.0,Chad Ryland kicks extra point no good,0.0,-1.0,16.0,2023,237
3.0,9:48,,,NWE 35,9.0,7.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,237
3.0,9:48,1.0,10.0,DEN 25,9.0,7.0,Russell Wilson pass complete short right to Brandon Johnson for 13 yards (tackle by Shaun Wade),0.61,1.47,16.0,2023,237
3.0,9:08,1.0,10.0,DEN 38,9.0,7.0,Javonte Williams right tackle for 2 yards (tackle by Christian Barmore),1.47,1.19,16.0,2023,237
3.0,8:30,2.0,8.0,DEN 40,9.0,7.0,Russell Wilson pass incomplete deep middle intended for Brandon Johnson,1.19,0.5,16.0,2023,237
3.0,8:23,,,,,,Timeout #1 by New England Patriots,,,16.0,2023,237
3.0,8:23,3.0,8.0,DEN 40,9.0,7.0,Russell Wilson sacked by Josh Uche for -10 yards,0.5,-1.37,16.0,2023,237
3.0,7:48,4.0,18.0,DEN 30,9.0,7.0,"Riley Dixon punts 46 yards, returned by Myles Bryant for 7 yards (tackle by Justin Strnad)",-1.37,-1.0,16.0,2023,237
3.0,7:40,1.0,10.0,NWE 31,9.0,7.0,Bailey Zappe pass complete short right to Ezekiel Elliott for 2 yards (tackle by Alex Singleton),1.0,0.73,16.0,2023,237
3.0,7:06,2.0,8.0,NWE 33,9.0,7.0,Ezekiel Elliott left tackle for 2 yards (tackle by Zach Allen),0.73,0.3,16.0,2023,237
3.0,6:24,3.0,6.0,NWE 35,9.0,7.0,Bailey Zappe pass incomplete short middle intended for Demario Douglas,0.3,-1.04,16.0,2023,237
3.0,6:17,4.0,6.0,NWE 35,9.0,7.0,"Bryce Baringer punts 51 yards, returned by Marvin Mims for 1 yard (tackle by Christian Elliss)",-1.04,0.22,16.0,2023,237
3.0,6:04,1.0,10.0,DEN 15,9.0,7.0,Russell Wilson pass complete short left to Javonte Williams for -3 yards (tackle by Davon Godchaux and Deatrich Wise),-0.22,-1.0,16.0,2023,237
3.0,5:27,2.0,13.0,DEN 12,9.0,7.0,Russell Wilson pass incomplete short right intended for Marvin Mims,-1.0,-1.77,16.0,2023,237
3.0,5:20,3.0,13.0,DEN 12,9.0,7.0,Russell Wilson sacked by Christian Barmore for -9 yards,-1.77,-2.49,16.0,2023,237
3.0,4:39,4.0,22.0,DEN 3,9.0,7.0,"Riley Dixon punts 47 yards, returned by Myles Bryant for 8 yards (tackle by Ben Niemann)",-2.49,-2.79,16.0,2023,237
3.0,4:28,1.0,10.0,DEN 42,9.0,7.0,Bailey Zappe pass complete short left to Ezekiel Elliott for no gain (tackle by Josey Jewell),2.79,2.24,16.0,2023,237
3.0,3:43,2.0,10.0,DEN 42,9.0,7.0,Bailey Zappe pass complete deep left to DeVante Parker for 30 yards (tackle by Patrick Surtain),2.24,4.78,16.0,2023,237
3.0,3:10,1.0,10.0,DEN 12,9.0,7.0,"Ezekiel Elliott for no gain. Penalty on Atonio Mafi: Offensive Holding, 10 yards (accepted) (no play)",4.78,4.11,16.0,2023,237
3.0,2:28,1.0,20.0,DEN 22,9.0,7.0,Bailey Zappe pass incomplete short right intended for Demario Douglas,4.11,2.87,16.0,2023,237
3.0,2:24,2.0,20.0,DEN 22,9.0,7.0,Bailey Zappe pass complete short left to Tyquan Thornton for 11 yards (tackle by P.J. Locke),2.87,3.29,16.0,2023,237
3.0,1:41,3.0,9.0,DEN 11,15.0,7.0,"Bailey Zappe pass complete short right to Mike Gesicki for 11 yards, touchdown",3.29,7.0,16.0,2023,237
3.0,1:34,,,DEN 15,16.0,7.0,Chad Ryland kicks extra point good,0.0,0.0,16.0,2023,237
3.0,1:34,,,NWE 35,22.0,7.0,"Chad Ryland kicks off 66 yards, returned by Marvin Mims for -3 yards. Marvin Mims fumbles (forced by Marte Mapu), recovered by Cody Davis at DEN-1 and returned for 1 yard, touchdown",0.0,-7.0,16.0,2023,237
3.0,1:28,,,DEN 15,23.0,7.0,Chad Ryland kicks extra point good,0.0,0.0,16.0,2023,237
3.0,1:28,,,NWE 35,23.0,7.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,237
3.0,1:28,1.0,10.0,DEN 25,23.0,7.0,Jaleel McLaughlin left end for 2 yards (tackle by Deatrich Wise and Ja'Whaun Bentley),0.61,0.33,16.0,2023,237
3.0,0:52,2.0,8.0,DEN 27,23.0,7.0,Javonte Williams right end for no gain (tackle by Jalen Mills),0.33,-0.36,16.0,2023,237
3.0,0:08,3.0,8.0,DEN 27,23.0,7.0,"Russell Wilson sacked by Christian Barmore for -8 yards. Russell Wilson fumbles (forced by Christian Barmore), recovered by Quinn Meinerz at DEN-17 and returned for 10 yards",-0.36,-2.32,16.0,2023,237
4.0,15:00,4.0,18.0,DEN 17,23.0,7.0,"Riley Dixon punts 46 yards, recovered by Brenden Schooler at NE-38",-2.32,-1.47,16.0,2023,237
4.0,14:51,1.0,10.0,NWE 38,23.0,7.0,Kevin Harris up the middle for 2 yards (tackle by Alex Singleton and Drew Sanders),1.47,1.19,16.0,2023,237
4.0,14:10,2.0,8.0,NWE 40,23.0,7.0,Kevin Harris right guard for 2 yards (tackle by Ronnie Perkins and Zach Allen),1.19,0.76,16.0,2023,237
4.0,13:27,3.0,6.0,NWE 42,23.0,7.0,Bailey Zappe pass incomplete short right,0.76,-0.59,16.0,2023,237
4.0,13:19,4.0,6.0,NWE 42,23.0,7.0,"Bryce Baringer punts 41 yards, fair catch by Marvin Mims at DEN-17",-0.59,0.06,16.0,2023,237
4.0,13:11,1.0,10.0,DEN 17,23.0,7.0,Russell Wilson pass complete short middle to Samaje Perine for 13 yards (tackle by Ja'Whaun Bentley),-0.06,0.94,16.0,2023,237
4.0,12:48,1.0,10.0,DEN 30,23.0,7.0,Russell Wilson pass complete short right to Marvin Mims for 7 yards (tackle by Kyle Dugger),0.94,1.34,16.0,2023,237
4.0,12:25,2.0,3.0,DEN 37,23.0,7.0,Samaje Perine up the middle for 2 yards (tackle by Deatrich Wise and Josh Uche),1.34,0.89,16.0,2023,237
4.0,11:44,3.0,1.0,DEN 39,23.0,7.0,Michael Burton up the middle for no gain (tackle by Lawrence Guy and Jalen Mills),0.89,-0.78,16.0,2023,237
4.0,11:08,4.0,1.0,DEN 39,23.0,7.0,Russell Wilson up the middle for 2 yards (tackle by Ja'Whaun Bentley),-0.78,1.66,16.0,2023,237
4.0,10:29,1.0,10.0,DEN 41,23.0,7.0,"Russell Wilson pass complete deep right to Marvin Mims for 47 yards (tackle by Ja'Whaun Bentley) NWE challenged the pass completion ruling, and the play was upheld.",1.66,4.78,16.0,2023,237
4.0,9:54,1.0,10.0,NWE 12,23.0,7.0,Javonte Williams right end for -4 yards (tackle by Anfernee Jennings and Alex Austin),4.78,3.53,16.0,2023,237
4.0,9:19,2.0,14.0,NWE 16,23.0,7.0,Russell Wilson pass complete short left to Jerry Jeudy for 13 yards (tackle by Shaun Wade),3.53,5.06,16.0,2023,237
4.0,8:39,3.0,1.0,NWE 3,23.0,13.0,"Russell Wilson pass complete short right to Lucas Krull for 3 yards, touchdown",5.06,7.0,16.0,2023,237
4.0,8:33,,,NWE 2,23.0,15.0,Two Point Attempt: Russell Wilson pass complete to to Brandon Johnson for no gain,1.0,1.0,16.0,2023,237
4.0,8:33,,,DEN 35,23.0,15.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,237
4.0,8:33,1.0,10.0,NWE 25,23.0,15.0,Bailey Zappe pass complete short right to Ezekiel Elliott for 1 yard (tackle by Justin Simmons),0.61,0.2,16.0,2023,237
4.0,7:54,2.0,9.0,NWE 26,23.0,15.0,Bailey Zappe pass complete short right to Ezekiel Elliott for 2 yards (tackle by Justin Simmons),0.2,-0.23,16.0,2023,237
4.0,7:12,3.0,7.0,NWE 28,23.0,15.0,Bailey Zappe pass complete short right to Jalen Reagor for 5 yards (tackle by Patrick Surtain),-0.23,-1.18,16.0,2023,237
4.0,6:40,4.0,2.0,NWE 33,23.0,15.0,Bryce Baringer punts 45 yards out of bounds,-1.18,-0.41,16.0,2023,237
4.0,6:33,1.0,10.0,DEN 22,23.0,15.0,Russell Wilson pass complete short left to Lucas Krull for 9 yards (tackle by Jalen Mills),0.41,1.08,16.0,2023,237
4.0,6:07,2.0,1.0,DEN 31,23.0,15.0,Russell Wilson up the middle for 3 yards (tackle by Ja'Whaun Bentley),1.08,1.2,16.0,2023,237
4.0,5:40,1.0,10.0,DEN 34,23.0,15.0,Russell Wilson pass complete short right to Jerry Jeudy for 15 yards (tackle by Jahlani Tavai),1.2,2.19,16.0,2023,237
4.0,5:05,1.0,10.0,DEN 49,23.0,15.0,Russell Wilson pass incomplete short left intended for Jaleel McLaughlin,2.19,1.65,16.0,2023,237
4.0,4:59,2.0,10.0,DEN 49,23.0,15.0,Jaleel McLaughlin up the middle for 11 yards (tackle by Kyle Dugger),1.65,2.92,16.0,2023,237
4.0,4:43,1.0,10.0,NWE 40,23.0,15.0,Russell Wilson pass incomplete deep left intended for Jerry Jeudy,2.92,2.37,16.0,2023,237
4.0,4:36,2.0,10.0,NWE 40,23.0,15.0,Russell Wilson pass incomplete deep right intended for Jerry Jeudy (defended by Jonathan Jones),2.37,1.68,16.0,2023,237
4.0,4:28,3.0,10.0,NWE 40,23.0,15.0,Russell Wilson pass complete short right to Brandon Johnson for 13 yards (tackle by Mack Wilson),1.68,3.78,16.0,2023,237
4.0,3:56,1.0,10.0,NWE 27,23.0,15.0,Russell Wilson pass incomplete deep left intended for Brandon Johnson,3.78,3.23,16.0,2023,237
4.0,3:51,2.0,10.0,NWE 27,23.0,15.0,"Russell Wilson pass incomplete deep right intended for Marvin Mims. Penalty on Cameron Fleming: Offensive Holding, 10 yards (accepted) (no play)",3.23,1.88,16.0,2023,237
4.0,3:43,2.0,20.0,NWE 37,23.0,15.0,Russell Wilson pass complete short middle to Jerry Jeudy for 16 yards (tackle by Myles Bryant),1.88,3.34,16.0,2023,237
4.0,2:59,3.0,4.0,NWE 21,23.0,21.0,"Russell Wilson pass complete short left to Brandon Johnson for 21 yards, touchdown",3.34,7.0,16.0,2023,237
4.0,2:53,,,NWE 2,23.0,23.0,Two Point Attempt: Russell Wilson pass complete to to Javonte Williams for no gain,1.0,1.0,16.0,2023,237
4.0,2:53,,,DEN 35,23.0,23.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,237
4.0,2:53,1.0,10.0,NWE 25,23.0,23.0,Bailey Zappe pass incomplete short middle intended for Ezekiel Elliott (defended by Alex Singleton),0.61,0.06,16.0,2023,237
4.0,2:48,2.0,10.0,NWE 25,23.0,23.0,Bailey Zappe pass complete short left to Ezekiel Elliott for -3 yards (tackle by Josey Jewell),0.06,-1.02,16.0,2023,237
4.0,2:08,3.0,13.0,NWE 22,23.0,23.0,"Bailey Zappe scrambles right end for 2 yards (tackle by Jonathon Cooper). Penalty on Atonio Mafi: Offensive Holding, 10 yards (declined)",-1.02,-1.77,16.0,2023,237
4.0,1:50,4.0,11.0,NWE 24,23.0,23.0,"Bryce Baringer punts 76 yards, touchback.. Penalty on Chris Board: Player Out of Bounds on Kick, 5 yards (accepted) (no play)",-1.77,-2.14,16.0,2023,237
4.0,1:50,4.0,16.0,NWE 19,23.0,23.0,Bryce Baringer punts 42 yards out of bounds,-2.14,-1.53,16.0,2023,237
4.0,1:42,1.0,10.0,DEN 39,23.0,23.0,Russell Wilson pass complete short right to Samaje Perine for -3 yards (tackle by Myles Bryant and Christian Barmore),1.53,0.58,16.0,2023,237
4.0,1:14,2.0,13.0,DEN 36,23.0,23.0,Russell Wilson pass incomplete short middle intended for Samaje Perine (defended by Keion White),0.58,-0.1,16.0,2023,237
4.0,1:12,3.0,13.0,DEN 36,23.0,23.0,Russell Wilson pass incomplete short left intended for Lucas Krull,-0.1,-0.98,16.0,2023,237
4.0,1:09,4.0,13.0,DEN 36,23.0,23.0,Riley Dixon punts 45 yards downed by Drew Sanders,-0.98,-0.15,16.0,2023,237
4.0,0:58,1.0,10.0,NWE 19,23.0,23.0,Ezekiel Elliott left end for 6 yards (tackle by Alex Singleton and P.J. Locke),0.15,0.48,16.0,2023,237
4.0,0:52,,,,,,Timeout #1 by Denver Broncos,,,16.0,2023,237
4.0,0:52,2.0,4.0,NWE 25,23.0,23.0,Ezekiel Elliott left tackle for 1 yard (tackle by D.J. Jones),0.48,-0.16,16.0,2023,237
4.0,0:47,,,,,,Timeout #2 by Denver Broncos,,,16.0,2023,237
4.0,0:47,3.0,3.0,NWE 26,23.0,23.0,Bailey Zappe pass complete deep left to DeVante Parker for 27 yards (tackle by Patrick Surtain),-0.16,2.46,16.0,2023,237
4.0,0:19,1.0,10.0,DEN 47,23.0,23.0,Bailey Zappe pass complete short middle to Ezekiel Elliott for 5 yards (tackle by Alex Singleton),2.46,2.59,16.0,2023,237
4.0,0:18,,,,,,Timeout #3 by New England Patriots,,,16.0,2023,237
4.0,0:18,2.0,5.0,DEN 42,23.0,23.0,Bailey Zappe pass complete short middle to Mike Gesicki for 4 yards (tackle by Justin Simmons),2.59,2.41,16.0,2023,237
4.0,0:07,3.0,1.0,DEN 38,23.0,23.0,Bailey Zappe spiked the ball,2.41,0.72,16.0,2023,237
