Quarter,Time,Down,ToGo,Location,BUF,LAC,Detail,EPB,EPA,week,year,game_id
2.0,5:19,3.0,22.0,LAC 20,7.0,10.0,Easton Stick pass complete short right to Gerald Everett for no gain (tackle by Christian Benford),-1.75,-2.03,16.0,2023,227
2.0,4:42,4.0,22.0,LAC 20,7.0,10.0,"JK Scott punts 54 yards, returned by Deonte Harty for 11 yards (tackle by Justin Hollins and Amen Ogbongbemiga)",-2.03,-1.4,16.0,2023,227
2.0,4:29,1.0,10.0,BUF 37,7.0,10.0,Josh Allen pass complete short middle to Dawson Knox for 9 yards (tackle by Justin Hollins),1.4,2.07,16.0,2023,227
2.0,3:56,2.0,1.0,BUF 46,7.0,10.0,James Cook left tackle for 6 yards (tackle by Michael Davis and Alohi Gilman),2.07,2.39,16.0,2023,227
2.0,3:17,1.0,10.0,LAC 48,7.0,10.0,James Cook left tackle for 4 yards (tackle by Khalil Mack),2.39,2.39,16.0,2023,227
2.0,2:40,2.0,6.0,LAC 44,7.0,10.0,Josh Allen pass complete short right to Gabriel Davis for 20 yards (tackle by Derwin James),2.39,3.97,16.0,2023,227
2.0,2:00,1.0,10.0,LAC 24,7.0,10.0,James Cook right tackle for 8 yards (tackle by Jaylinn Hawkins),3.97,4.65,16.0,2023,227
2.0,1:23,2.0,2.0,LAC 16,7.0,10.0,Leonard Fournette right guard for 5 yards (tackle by Kenneth Murray),4.65,4.84,16.0,2023,227
2.0,0:44,1.0,10.0,LAC 11,7.0,10.0,Leonard Fournette left tackle for 9 yards (tackle by Kenneth Murray and Jaylinn Hawkins),4.84,5.85,16.0,2023,227
2.0,0:41,,,,,,Timeout #1 by Buffalo Bills,,,16.0,2023,227
2.0,0:41,2.0,1.0,LAC 2,13.0,10.0,"Josh Allen right tackle for 2 yards, touchdown",5.85,7.0,16.0,2023,227
2.0,0:38,,,LAC 15,14.0,10.0,Tyler Bass kicks extra point good,0.0,0.0,16.0,2023,227
2.0,0:38,,,BUF 35,14.0,10.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,227
2.0,0:38,1.0,10.0,LAC 25,14.0,10.0,Austin Ekeler right guard for 6 yards (tackle by Ed Oliver and Taylor Rapp),0.61,0.87,16.0,2023,227
3.0,15:00,,,BUF 35,14.0,10.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,227
3.0,15:00,1.0,10.0,LAC 25,14.0,10.0,"Easton Stick pass complete short middle to Gerald Everett for 4 yards (tackle by Taron Johnson). Penalty on Taron Johnson: Unnecessary Roughness / Defense, 15 yards (accepted)",0.61,1.86,16.0,2023,227
3.0,14:34,1.0,10.0,LAC 44,14.0,10.0,Easton Stick pass complete short right to Austin Ekeler for 14 yards (tackle by Taylor Rapp and Jordan Poyer),1.86,2.79,16.0,2023,227
3.0,14:08,1.0,10.0,BUF 42,14.0,10.0,Austin Ekeler left guard for 2 yards (tackle by Tim Settle and Taron Johnson),2.79,2.51,16.0,2023,227
3.0,13:36,2.0,8.0,BUF 40,14.0,10.0,Easton Stick pass incomplete short left intended for Austin Ekeler,2.51,1.82,16.0,2023,227
3.0,13:32,3.0,8.0,BUF 40,14.0,10.0,Easton Stick sacked by Rasul Douglas for -10 yards,1.82,-0.06,16.0,2023,227
3.0,12:53,4.0,18.0,BUF 50,14.0,10.0,"JK Scott punts 40 yards, fair catch by Deonte Harty at BUF-10",-0.06,0.38,16.0,2023,227
3.0,12:46,1.0,10.0,BUF 10,14.0,10.0,"James Cook for 3 yards. James Cook fumbles (forced by Tuli Tuipulotu), recovered by Reggie Gilliam at BUF-13 (tackle by Tuli Tuipulotu)",-0.38,-0.56,16.0,2023,227
3.0,12:17,2.0,7.0,BUF 13,14.0,10.0,Josh Allen pass deep left intended for Stefon Diggs is intercepted by Alohi Gilman at LAC-42 and returned for no gain (tackle by Stefon Diggs),-0.56,-1.73,16.0,2023,227
3.0,12:08,1.0,10.0,LAC 42,14.0,10.0,Austin Ekeler right tackle for 9 yards (tackle by Taylor Rapp and Terrel Bernard),1.73,2.4,16.0,2023,227
3.0,11:45,2.0,1.0,BUF 49,14.0,10.0,Austin Ekeler up the middle for 3 yards (tackle by Linval Joseph),2.4,2.52,16.0,2023,227
3.0,11:10,1.0,10.0,BUF 46,14.0,10.0,Derius Davis left end for 8 yards (tackle by Christian Benford),2.52,3.06,16.0,2023,227
3.0,10:35,2.0,2.0,BUF 38,14.0,10.0,Easton Stick left end for 21 yards (tackle by Taylor Rapp and Linval Joseph),3.06,4.44,16.0,2023,227
3.0,9:50,1.0,10.0,BUF 17,14.0,10.0,Quentin Johnston right end for no gain (tackle by Christian Benford and Taylor Rapp) (no play),4.44,4.11,16.0,2023,227
3.0,9:24,1.0,15.0,BUF 22,14.0,10.0,Easton Stick pass complete short right to Austin Ekeler for 2 yards (tackle by Taron Johnson and Christian Benford),4.11,3.49,16.0,2023,227
3.0,8:46,2.0,13.0,BUF 20,14.0,10.0,Easton Stick pass complete short right to Isaiah Spiller for 4 yards (tackle by Tyrel Dodson),3.49,3.19,16.0,2023,227
3.0,8:05,,,,,,Timeout #1 by Los Angeles Chargers,,,16.0,2023,227
3.0,8:05,3.0,9.0,BUF 16,14.0,10.0,Easton Stick sacked by Poona Ford for -6 yards,3.19,1.99,16.0,2023,227
3.0,7:26,4.0,15.0,BUF 22,14.0,13.0,Cameron Dicker 40 yard field goal good,1.99,3.0,16.0,2023,227
3.0,7:22,,,LAC 35,14.0,13.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,227
3.0,7:22,1.0,10.0,BUF 25,14.0,13.0,James Cook up the middle for 4 yards (tackle by Otito Ogbonnia),0.61,0.6,16.0,2023,227
3.0,6:47,2.0,6.0,BUF 29,14.0,13.0,James Cook right end for 3 yards (tackle by Derwin James and Otito Ogbonnia),0.6,0.3,16.0,2023,227
3.0,6:10,3.0,3.0,BUF 32,14.0,13.0,Josh Allen pass complete short middle to Stefon Diggs for 4 yards (tackle by Kenneth Murray),0.3,1.33,16.0,2023,227
3.0,5:30,1.0,10.0,BUF 36,14.0,13.0,James Cook up the middle for no gain (tackle by Khalil Mack and Nick Williams),1.33,0.79,16.0,2023,227
3.0,4:48,2.0,10.0,BUF 36,14.0,13.0,Josh Allen pass complete short left to Stefon Diggs for 6 yards (tackle by Michael Davis),0.79,0.89,16.0,2023,227
3.0,4:07,3.0,4.0,BUF 42,14.0,13.0,Josh Allen pass complete short right to Khalil Shakir for 16 yards (tackle by Derwin James),0.89,2.79,16.0,2023,227
3.0,3:22,1.0,10.0,LAC 42,14.0,13.0,Josh Allen pass complete deep left to Gabriel Davis for 36 yards,2.79,5.83,16.0,2023,227
3.0,2:48,1.0,6.0,LAC 6,14.0,13.0,James Cook left end for 5 yards (tackle by Eric Kendricks),5.83,5.91,16.0,2023,227
3.0,2:09,2.0,1.0,LAC 1,14.0,13.0,Leonard Fournette right guard for no gain (tackle by Derwin James and Otito Ogbonnia),5.91,5.17,16.0,2023,227
3.0,1:32,3.0,1.0,LAC 1,20.0,13.0,"Josh Allen up the middle for 1 yard, touchdown",5.17,7.0,16.0,2023,227
3.0,1:28,,,LAC 15,21.0,13.0,Tyler Bass kicks extra point good,0.0,0.0,16.0,2023,227
3.0,1:28,,,BUF 35,21.0,13.0,"Tyler Bass kicks off 61 yards,",0.0,0.61,16.0,2023,227
3.0,1:28,1.0,10.0,LAC 25,21.0,13.0,Easton Stick pass incomplete short middle,0.61,0.06,16.0,2023,227
3.0,1:25,2.0,10.0,LAC 25,21.0,13.0,Easton Stick pass complete short right to Quentin Johnston for 8 yards (tackle by Von Miller and Christian Benford),0.06,0.43,16.0,2023,227
3.0,0:47,3.0,2.0,LAC 33,21.0,13.0,Easton Stick pass complete short right to Alex Erickson for 3 yards (tackle by Rasul Douglas),0.43,1.33,16.0,2023,227
3.0,0:11,1.0,10.0,LAC 36,21.0,13.0,Austin Ekeler left tackle for 2 yards (tackle by Poona Ford and Gregory Rousseau),1.33,1.06,16.0,2023,227
4.0,15:00,2.0,8.0,LAC 38,21.0,13.0,Easton Stick pass complete short right to Jalen Guyton for 12 yards (tackle by Christian Benford),1.06,2.26,16.0,2023,227
4.0,14:20,1.0,10.0,LAC 50,21.0,13.0,Easton Stick pass incomplete short right intended for Josh Palmer (defended by Taron Johnson),2.26,1.71,16.0,2023,227
4.0,14:17,2.0,10.0,LAC 50,21.0,13.0,Easton Stick pass complete deep left to Josh Palmer for 18 yards (tackle by Taylor Rapp),1.71,3.45,16.0,2023,227
4.0,13:55,1.0,10.0,BUF 32,21.0,13.0,Easton Stick scrambles right end for 2 yards (tackle by Taron Johnson),3.45,3.17,16.0,2023,227
4.0,13:23,2.0,8.0,BUF 30,21.0,13.0,Austin Ekeler left tackle for 1 yard (tackle by Tim Settle and Terrel Bernard),3.17,2.61,16.0,2023,227
4.0,12:43,3.0,7.0,BUF 29,21.0,13.0,Easton Stick pass incomplete short right intended for Josh Palmer (defended by Taron Johnson),2.61,1.5,16.0,2023,227
4.0,12:40,4.0,7.0,BUF 29,21.0,16.0,Cameron Dicker 47 yard field goal good,1.5,3.0,16.0,2023,227
4.0,12:36,,,LAC 35,21.0,16.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,227
4.0,12:36,1.0,10.0,BUF 25,21.0,16.0,James Cook up the middle for 5 yards (tackle by Austin Johnson),0.61,0.74,16.0,2023,227
4.0,11:55,2.0,5.0,BUF 30,21.0,16.0,"Josh Allen pass complete short right to James Cook for 6 yards (tackle by Eric Kendricks). Penalty on Spencer Brown: Tripping / Offense, 15 yards (accepted) (no play)",0.74,-1.43,16.0,2023,227
4.0,11:36,2.0,20.0,BUF 15,21.0,16.0,"Josh Allen pass complete deep right to Gabriel Davis for no gain (tackle by Jaylinn Hawkins). Penalty on Mitch Morse: Offensive Holding, 7 yards (accepted) (no play)",-1.43,-2.02,16.0,2023,227
4.0,11:06,2.0,27.0,BUF 8,21.0,16.0,Josh Allen scrambles up the middle for 4 yards (tackle by Kenneth Murray),-2.02,-2.94,16.0,2023,227
4.0,10:20,3.0,23.0,BUF 12,21.0,16.0,Josh Allen sacked by and Eric Kendricks for -7 yards and Tuli Tuipulotu for -7 yards,-2.94,-2.49,16.0,2023,227
4.0,9:28,,,,,,Timeout #1 by Buffalo Bills,,,16.0,2023,227
4.0,9:28,4.0,30.0,BUF 5,21.0,16.0,"Penalty on Siran Neal: False Start, 2 yards (accepted) (no play)",-2.49,-2.49,16.0,2023,227
4.0,9:28,4.0,32.0,BUF 3,21.0,16.0,"Sam Martin punts 58 yards, returned by Derius Davis for 13 yards (tackle by Tyler Matakevich and Reid Ferguson)",-2.49,-2.39,16.0,2023,227
4.0,9:16,1.0,10.0,BUF 48,21.0,16.0,Easton Stick pass incomplete short left intended for Jalen Guyton,2.39,1.85,16.0,2023,227
4.0,9:11,2.0,10.0,BUF 48,21.0,16.0,Easton Stick pass complete deep left to Alex Erickson for 23 yards (tackle by Christian Benford),1.85,3.91,16.0,2023,227
4.0,8:49,1.0,10.0,BUF 25,21.0,16.0,Easton Stick pass incomplete deep right intended for Josh Palmer (no play),3.91,3.58,16.0,2023,227
4.0,8:44,1.0,15.0,BUF 30,21.0,16.0,Easton Stick sacked by Ed Oliver for -7 yards,3.58,1.74,16.0,2023,227
4.0,8:16,2.0,22.0,BUF 37,21.0,16.0,Easton Stick pass complete short middle to Gerald Everett for 4 yards (tackle by Taron Johnson),1.74,1.62,16.0,2023,227
4.0,8:01,3.0,18.0,BUF 33,21.0,16.0,Easton Stick pass complete short middle to Derius Davis for 6 yards (tackle by Jordan Poyer),1.62,1.67,16.0,2023,227
4.0,7:23,4.0,12.0,BUF 27,21.0,19.0,Cameron Dicker 45 yard field goal good,1.67,3.0,16.0,2023,227
4.0,7:19,,,LAC 35,21.0,19.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,227
4.0,7:19,1.0,10.0,BUF 25,21.0,19.0,"James Cook up the middle for 5 yards. James Cook fumbles (forced by Alohi Gilman), recovered by Nick Williams at BUF-32 (tackle by Alohi Gilman)",0.61,-3.45,16.0,2023,227
4.0,7:10,1.0,10.0,BUF 32,21.0,19.0,Austin Ekeler up the middle for 1 yard (tackle by Terrel Bernard),3.45,3.04,16.0,2023,227
4.0,6:37,2.0,9.0,BUF 31,21.0,19.0,Easton Stick pass complete short right to Gerald Everett for 8 yards (tackle by Christian Benford),3.04,3.4,16.0,2023,227
4.0,6:13,3.0,1.0,BUF 23,21.0,19.0,"Penalty on Brenden Jaimes: False Start, 4 yards (accepted) (no play)",3.4,2.87,16.0,2023,227
4.0,6:13,3.0,5.0,BUF 27,21.0,19.0,Easton Stick sacked by Terrel Bernard for -8 yards,2.87,0.97,16.0,2023,227
4.0,5:30,4.0,13.0,BUF 35,21.0,22.0,Cameron Dicker 53 yard field goal good,0.97,3.0,16.0,2023,227
4.0,5:26,,,LAC 35,21.0,22.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,227
4.0,5:26,1.0,10.0,BUF 25,21.0,22.0,Josh Allen pass complete short middle to Dawson Knox for 17 yards (tackle by Derwin James),0.61,1.73,16.0,2023,227
4.0,4:53,1.0,10.0,BUF 42,21.0,22.0,James Cook up the middle for 3 yards (tackle by Austin Johnson and Nick Williams),1.73,1.59,16.0,2023,227
4.0,4:15,2.0,7.0,BUF 45,21.0,22.0,Josh Allen pass complete short left to Stefon Diggs for 8 yards (tackle by Asante Samuel and Derwin James),1.59,2.46,16.0,2023,227
4.0,3:38,1.0,10.0,LAC 47,21.0,22.0,James Cook up the middle for 2 yards (tackle by Tuli Tuipulotu),2.46,2.18,16.0,2023,227
4.0,3:00,2.0,8.0,LAC 45,21.0,22.0,Josh Allen pass incomplete deep left intended for Stefon Diggs,2.18,1.49,16.0,2023,227
4.0,2:56,3.0,8.0,LAC 45,21.0,22.0,Josh Allen pass complete short right to Stefon Diggs for 11 yards (tackle by Essang Bassey),1.49,3.31,16.0,2023,227
4.0,2:51,1.0,10.0,LAC 34,21.0,22.0,James Cook left end for 4 yards (tackle by Jaylinn Hawkins),3.31,3.31,16.0,2023,227
4.0,2:45,2.0,6.0,LAC 30,21.0,22.0,James Cook left tackle for 2 yards (tackle by Eric Kendricks),3.31,2.87,16.0,2023,227
4.0,2:34,,,,,,Timeout #2 by Los Angeles Chargers,,,16.0,2023,227
4.0,2:34,3.0,4.0,LAC 28,21.0,22.0,"Josh Allen pass complete short right to Khalil Shakir for no gain, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Josh Allen pass complete short right to Khalil Shakir for 15 yards (tackle by Jaylinn Hawkins)",2.87,4.71,16.0,2023,227
4.0,2:29,,,,,,Timeout #3 by Los Angeles Chargers,,,16.0,2023,227
4.0,2:29,1.0,10.0,LAC 13,21.0,22.0,Leonard Fournette up the middle for 3 yards (tackle by Nick Williams),4.71,4.58,16.0,2023,227
4.0,2:00,2.0,7.0,LAC 10,21.0,22.0,James Cook right guard for -3 yards (tackle by Austin Johnson),4.58,3.12,16.0,2023,227
4.0,1:16,3.0,10.0,LAC 13,21.0,22.0,Josh Allen up the middle for 2 yards (tackle by Khalil Mack and Austin Johnson),3.12,2.7,16.0,2023,227
4.0,0:31,,,,,,Timeout #2 by Buffalo Bills,,,16.0,2023,227
4.0,0:31,4.0,8.0,LAC 11,24.0,22.0,"Tyler Bass 29 yard field goal good. Penalty on Asante Samuel: Defensive Offside, 5 yards (declined)",2.7,3.0,16.0,2023,227
4.0,0:28,,,BUF 35,24.0,22.0,"Tyler Bass kicks off 51 yards, returned by Joshua Kelley for 16 yards (tackle by Baylon Spector and Tyler Matakevich)",0.0,0.94,16.0,2023,227
4.0,0:22,1.0,10.0,LAC 30,24.0,22.0,Easton Stick sacked by Ed Oliver for -9 yards,0.94,-0.82,16.0,2023,227
4.0,0:07,2.0,19.0,LAC 21,24.0,22.0,Easton Stick pass incomplete deep left intended for Quentin Johnston (defended by Christian Benford),-0.82,-1.48,16.0,2023,227
4.0,0:01,,,,,,Timeout #3 by Buffalo Bills,,,16.0,2023,227
4.0,0:01,3.0,19.0,LAC 21,24.0,22.0,"Easton Stick pass complete short right to Josh Palmer for 5 yards, lateral to Austin Ekeler for -2 yards, lateral to Easton Stick for -5 yards, lateral to Alex Erickson for 10 yards. Penalty on Alex Erickson: Illegal Forward Pass (accepted)",-1.48,-1.44,16.0,2023,227
