Quarter,Time,Down,ToGo,Location,IND,ATL,Detail,EPB,EPA,week,year,game_id
1.0,7:05,2.0,10.0,IND 25,7.0,7.0,Gardner Minshew scrambles left end for 5 yards (tackle by AJ Terrell),0.06,0.04,16.0,2023,228
1.0,6:24,3.0,5.0,IND 30,7.0,7.0,Gardner Minshew pass complete short right to Josh Downs for 6 yards (tackle by Jeff Okudah),0.04,1.33,16.0,2023,228
1.0,5:55,1.0,10.0,IND 36,7.0,7.0,Gardner Minshew pass complete short left to Josh Downs for 14 yards (tackle by Mike Hughes),1.33,2.26,16.0,2023,228
1.0,5:17,1.0,10.0,ATL 50,7.0,7.0,Gardner Minshew pass incomplete short left,2.26,1.71,16.0,2023,228
1.0,5:07,2.0,10.0,ATL 50,7.0,7.0,"Gardner Minshew pass complete short left to Kylen Granson for 16 yards (tackle by DeMarcco Hellams). Penalty on Bud Dupree: Defensive Holding, 5 yards (declined)",1.71,3.31,16.0,2023,228
1.0,4:26,1.0,10.0,ATL 34,7.0,7.0,Jonathan Taylor up the middle for -1 yards (tackle by Kaden Elliss),3.31,2.64,16.0,2023,228
1.0,3:47,2.0,11.0,ATL 35,7.0,7.0,Gardner Minshew sacked by Zach Harrison for -4 yards,2.64,1.42,16.0,2023,228
1.0,3:06,3.0,15.0,ATL 39,7.0,7.0,Gardner Minshew sacked by and Arnold Ebiketie for -2 yards and Calais Campbell for -2 yards,1.42,0.53,16.0,2023,228
1.0,2:20,4.0,17.0,ATL 41,7.0,7.0,Rigoberto Sanchez punts 38 yards downed by Chris Lammons,0.53,0.38,16.0,2023,228
1.0,2:10,1.0,10.0,ATL 3,7.0,7.0,Taylor Heinicke pass complete deep right to Kyle Pitts for 19 yards (tackle by Rodney Thomas),-0.38,0.41,16.0,2023,228
1.0,1:35,1.0,10.0,ATL 22,7.0,7.0,Bijan Robinson right end for 6 yards (tackle by Grover Stewart),0.41,0.68,16.0,2023,228
1.0,0:58,2.0,4.0,ATL 28,7.0,7.0,Bijan Robinson right tackle for -2 yards (tackle by Grover Stewart),0.68,-0.29,16.0,2023,228
1.0,0:22,3.0,6.0,ATL 26,7.0,7.0,"Penalty on E.J. Speed: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.29,0.37,16.0,2023,228
1.0,0:06,3.0,1.0,ATL 31,7.0,7.0,Tyler Allgeier right tackle for no gain (tackle by Samson Ebukam and DeForest Buckner),0.37,-1.31,16.0,2023,228
2.0,15:00,4.0,1.0,ATL 31,7.0,7.0,"Bradley Pinion punts 51 yards, fair catch by Josh Downs at IND-18",-1.31,-0.04,16.0,2023,228
2.0,14:53,1.0,10.0,IND 18,7.0,7.0,Jonathan Taylor right tackle for 3 yards (tackle by Lorenzo Carter and Clark Phillips),0.04,0.01,16.0,2023,228
2.0,14:14,2.0,7.0,IND 21,7.0,7.0,Gardner Minshew pass complete short left to D.J. Montgomery for 8 yards (tackle by Clark Phillips),0.01,0.87,16.0,2023,228
2.0,13:36,1.0,10.0,IND 29,7.0,7.0,Jonathan Taylor left tackle for no gain (tackle by Nathan Landman),0.87,0.33,16.0,2023,228
2.0,13:00,2.0,10.0,IND 29,7.0,7.0,Gardner Minshew pass incomplete short right intended for Mo Alie-Cox (defended by Zach Harrison),0.33,-0.36,16.0,2023,228
2.0,12:54,3.0,10.0,IND 29,7.0,7.0,Gardner Minshew scrambles left end for 4 yards (tackle by Nathan Landman),-0.36,-1.18,16.0,2023,228
2.0,12:15,4.0,6.0,IND 33,7.0,7.0,"Rigoberto Sanchez punts 48 yards, returned by DeAundre Alford for 8 yards (tackle by Ameer Speed)",-1.18,-0.74,16.0,2023,228
2.0,12:06,1.0,10.0,ATL 27,7.0,7.0,Taylor Heinicke sacked by Kwity Paye for no gain,0.74,0.2,16.0,2023,228
2.0,11:35,2.0,10.0,ATL 27,7.0,7.0,Bijan Robinson left end for 1 yard (tackle by Kwity Paye and Kenny Moore),0.2,-0.36,16.0,2023,228
2.0,10:50,3.0,9.0,ATL 28,7.0,7.0,"Penalty on Matthew Bergeron: False Start, 5 yards (accepted) (no play)",-0.36,-1.02,16.0,2023,228
2.0,10:36,3.0,14.0,ATL 23,7.0,7.0,Taylor Heinicke pass complete short middle to Cordarrelle Patterson for 11 yards (tackle by E.J. Speed and Julian Blackmon),-1.02,-1.11,16.0,2023,228
2.0,10:19,4.0,3.0,ATL 34,7.0,7.0,"Bradley Pinion punts 44 yards, fair catch by Josh Downs at IND-22",-1.11,-0.41,16.0,2023,228
2.0,10:11,1.0,10.0,IND 22,7.0,7.0,Gardner Minshew pass incomplete short left intended for Josh Downs,0.41,-0.13,16.0,2023,228
2.0,10:06,2.0,10.0,IND 22,7.0,7.0,"Gardner Minshew pass incomplete short left intended for Mo Alie-Cox. Penalty on DeMarcco Hellams: Defensive Pass Interference, 12 yards (accepted) (no play)",-0.13,1.2,16.0,2023,228
2.0,10:02,1.0,10.0,IND 34,7.0,7.0,Gardner Minshew pass incomplete short right intended for Kylen Granson,1.2,0.66,16.0,2023,228
2.0,9:57,2.0,10.0,IND 34,7.0,7.0,Gardner Minshew pass incomplete deep left intended for Josh Downs,0.66,-0.03,16.0,2023,228
2.0,9:51,3.0,10.0,IND 34,7.0,7.0,Gardner Minshew pass incomplete short middle intended for Alec Pierce,-0.03,-1.11,16.0,2023,228
2.0,9:45,4.0,10.0,IND 34,7.0,7.0,"Rigoberto Sanchez punts 52 yards, returned by DeAundre Alford for no gain (tackle by Ameer Speed)",-1.11,0.28,16.0,2023,228
2.0,9:36,1.0,10.0,ATL 14,7.0,7.0,Tyler Allgeier left tackle for 6 yards (tackle by Julius Brents and Zaire Franklin),-0.28,0.15,16.0,2023,228
2.0,9:03,2.0,4.0,ATL 20,7.0,7.0,Taylor Heinicke pass complete short left to Tyler Allgeier for 19 yards (tackle by E.J. Speed),0.15,1.53,16.0,2023,228
2.0,8:54,1.0,10.0,ATL 39,7.0,7.0,"Penalty on E.J. Speed: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",1.53,2.52,16.0,2023,228
2.0,8:41,1.0,10.0,IND 46,7.0,7.0,Taylor Heinicke pass complete short left to Jonnu Smith for -3 yards (tackle by E.J. Speed),2.52,1.57,16.0,2023,228
2.0,8:13,2.0,13.0,IND 49,7.0,7.0,Taylor Heinicke pass complete short left to Bijan Robinson for 11 yards (tackle by Zaire Franklin),1.57,2.35,16.0,2023,228
2.0,7:35,3.0,2.0,IND 38,7.0,7.0,Taylor Heinicke pass complete short left to Bijan Robinson for 2 yards (tackle by Nick Cross),2.35,3.18,16.0,2023,228
2.0,6:59,1.0,10.0,IND 36,7.0,7.0,Taylor Heinicke pass incomplete short middle intended for Jonnu Smith (defended by E.J. Speed),3.18,2.64,16.0,2023,228
2.0,6:54,2.0,10.0,IND 36,7.0,7.0,"Penalty on Bijan Robinson: False Start, 5 yards (accepted) (no play)",2.64,1.96,16.0,2023,228
2.0,6:54,2.0,15.0,IND 41,7.0,7.0,Taylor Heinicke scrambles left end for 10 yards (tackle by E.J. Speed),1.96,2.61,16.0,2023,228
2.0,6:14,,,,,,Timeout #1 by Atlanta Falcons,,,16.0,2023,228
2.0,6:14,3.0,5.0,IND 31,7.0,7.0,Taylor Heinicke pass incomplete short right intended for Bijan Robinson (defended by E.J. Speed),2.61,1.35,16.0,2023,228
2.0,6:09,4.0,5.0,IND 31,7.0,7.0,"Younghoe Koo yard field goal no good. Penalty on Ameer Speed: Defensive Offside, 4 yards (accepted) (no play)",1.35,1.82,16.0,2023,228
2.0,6:05,4.0,1.0,IND 27,7.0,7.0,Cordarrelle Patterson left tackle for 2 yards (tackle by Samson Ebukam),1.82,3.91,16.0,2023,228
2.0,5:26,1.0,10.0,IND 25,7.0,7.0,Taylor Heinicke pass complete short left to Drake London for 19 yards (tackle by Zaire Franklin and Jaylon Jones),3.91,5.83,16.0,2023,228
2.0,4:46,1.0,6.0,IND 6,7.0,7.0,Bijan Robinson left end for -2 yards (tackle by Nick Cross),5.83,4.57,16.0,2023,228
2.0,4:05,2.0,8.0,IND 8,7.0,7.0,Taylor Heinicke pass complete short middle to Drake London for 4 yards (tackle by E.J. Speed),4.57,4.49,16.0,2023,228
2.0,3:31,3.0,4.0,IND 4,7.0,7.0,Taylor Heinicke pass incomplete short left intended for Bijan Robinson,4.49,3.03,16.0,2023,228
2.0,3:26,4.0,4.0,IND 4,7.0,10.0,Younghoe Koo 23 yard field goal good,3.03,3.0,16.0,2023,228
2.0,3:23,,,ATL 35,7.0,10.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,228
2.0,3:23,1.0,10.0,IND 25,7.0,10.0,Gardner Minshew pass incomplete short right intended for Jonathan Taylor,0.61,0.06,16.0,2023,228
2.0,3:18,2.0,10.0,IND 25,7.0,10.0,Jonathan Taylor left guard for 6 yards (tackle by AJ Terrell),0.06,0.17,16.0,2023,228
2.0,2:39,3.0,4.0,IND 31,7.0,10.0,Gardner Minshew sacked by Kaden Elliss for -8 yards,0.17,-1.83,16.0,2023,228
2.0,2:00,4.0,12.0,IND 23,7.0,10.0,"Rigoberto Sanchez punts 55 yards, returned by DeAundre Alford for 3 yards (tackle by Kylen Granson)",-1.83,-0.61,16.0,2023,228
2.0,1:46,1.0,10.0,ATL 25,7.0,10.0,Taylor Heinicke pass complete short right to Jonnu Smith for 14 yards (tackle by Nick Cross and Julius Brents),0.61,1.47,16.0,2023,228
2.0,1:25,1.0,10.0,ATL 38,7.0,10.0,Taylor Heinicke pass incomplete short left intended for Jonnu Smith (defended by Zaire Franklin),1.47,0.99,16.0,2023,228
2.0,1:20,2.0,10.0,ATL 39,7.0,10.0,Taylor Heinicke pass complete short right to Kyle Pitts for 6 yards (tackle by Zaire Franklin),0.99,1.16,16.0,2023,228
2.0,0:54,3.0,3.0,ATL 45,7.0,10.0,Taylor Heinicke pass complete short left to Bijan Robinson for 6 yards (tackle by DeForest Buckner),1.16,2.32,16.0,2023,228
2.0,0:46,,,,,,Timeout #2 by Atlanta Falcons,,,16.0,2023,228
2.0,0:46,1.0,10.0,IND 49,7.0,10.0,Taylor Heinicke pass complete short right to Bijan Robinson for 7 yards (tackle by Julius Brents),2.32,2.73,16.0,2023,228
2.0,0:18,2.0,3.0,IND 42,7.0,10.0,Taylor Heinicke pass complete short right to Van Jefferson for 13 yards (tackle by E.J. Speed),2.73,3.64,16.0,2023,228
2.0,0:12,1.0,10.0,IND 29,7.0,10.0,Taylor Heinicke spiked the ball,3.64,3.1,16.0,2023,228
2.0,0:10,,,,,,Timeout #3 by Atlanta Falcons,,,16.0,2023,228
2.0,0:10,2.0,10.0,IND 29,7.0,13.0,Younghoe Koo 47 yard field goal good,3.1,3.0,16.0,2023,228
2.0,0:05,,,ATL 35,7.0,13.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,228
2.0,0:05,1.0,10.0,IND 25,7.0,13.0,Gardner Minshew kneels for -1 yards,0.61,-0.07,16.0,2023,228
3.0,15:00,,,IND 35,7.0,13.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,228
3.0,15:00,1.0,10.0,ATL 25,7.0,13.0,"Taylor Heinicke aborted snap, recovered by Taylor Heinicke at ATL-21 and returned for -4 yards",0.61,-0.48,16.0,2023,228
3.0,14:25,2.0,14.0,ATL 21,7.0,13.0,Taylor Heinicke pass complete short right to Bijan Robinson for 14 yards (tackle by Zaire Franklin),-0.48,1.27,16.0,2023,228
3.0,14:06,1.0,10.0,ATL 35,7.0,13.0,Bijan Robinson left guard for 5 yards (tackle by Nick Cross and Julius Brents),1.27,1.4,16.0,2023,228
3.0,13:28,2.0,5.0,ATL 40,7.0,13.0,Taylor Heinicke pass complete short right to Jonnu Smith for 6 yards (tackle by Kenny Moore),1.4,1.99,16.0,2023,228
3.0,12:57,1.0,10.0,ATL 46,7.0,13.0,Cordarrelle Patterson right end for 11 yards (tackle by E.J. Speed),1.99,2.72,16.0,2023,228
3.0,12:28,1.0,10.0,IND 43,7.0,13.0,Cordarrelle Patterson right tackle for 6 yards (tackle by Kenny Moore),2.72,2.99,16.0,2023,228
3.0,11:59,2.0,4.0,IND 37,7.0,13.0,Cordarrelle Patterson right tackle for 6 yards (tackle by Kenny Moore and Ronnie Harrison),2.99,3.51,16.0,2023,228
3.0,11:20,1.0,10.0,IND 31,7.0,19.0,"Tyler Allgeier for 31 yards, touchdown",3.51,7.0,16.0,2023,228
3.0,11:13,,,IND 15,7.0,20.0,Younghoe Koo kicks extra point good,0.0,0.0,16.0,2023,228
3.0,11:13,,,ATL 35,7.0,20.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,228
3.0,11:13,1.0,10.0,IND 25,7.0,20.0,Jonathan Taylor left guard for 2 yards (tackle by Albert Huggins and Bud Dupree),0.61,0.33,16.0,2023,228
3.0,10:38,2.0,8.0,IND 27,7.0,20.0,Gardner Minshew pass complete short right to Josh Downs for 3 yards (tackle by DeMarcco Hellams),0.33,0.04,16.0,2023,228
3.0,9:56,3.0,5.0,IND 30,7.0,20.0,"Gardner Minshew pass complete short right to Will Mallory for 10 yards. Will Mallory fumbles (forced by Richie Grant), recovered by Will Mallory at IND-40 (tackle by Richie Grant) ATL challenged the fumble ruling, and the play was upheld.",0.04,1.6,16.0,2023,228
3.0,9:27,1.0,10.0,IND 40,7.0,20.0,Jonathan Taylor right tackle for 5 yards (tackle by Kaden Elliss),1.6,1.73,16.0,2023,228
3.0,8:53,2.0,5.0,IND 45,7.0,20.0,Jonathan Taylor right tackle for no gain (tackle by Bud Dupree),1.73,1.03,16.0,2023,228
3.0,8:25,3.0,5.0,IND 45,7.0,20.0,Gardner Minshew pass complete short right to Kylen Granson for 15 yards (tackle by AJ Terrell),1.03,2.92,16.0,2023,228
3.0,7:54,1.0,10.0,ATL 40,7.0,20.0,Jonathan Taylor right guard for 2 yards (tackle by Nathan Landman and Bud Dupree),2.92,2.64,16.0,2023,228
3.0,7:23,2.0,8.0,ATL 38,7.0,20.0,Gardner Minshew scrambles left guard for 23 yards (tackle by Jessie Bates),2.64,4.58,16.0,2023,228
3.0,6:50,1.0,10.0,ATL 15,7.0,20.0,"Gardner Minshew pass complete short left to Josh Downs for no gain (tackle by AJ Terrell). Penalty on Blake Freeland: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.58,4.24,16.0,2023,228
3.0,6:26,1.0,15.0,ATL 20,7.0,20.0,Jonathan Taylor right guard for 4 yards (tackle by Nathan Landman and Kaden Elliss),4.24,3.81,16.0,2023,228
3.0,5:52,2.0,11.0,ATL 16,7.0,20.0,Gardner Minshew sacked by Calais Campbell for -10 yards,3.81,1.88,16.0,2023,228
3.0,5:08,3.0,21.0,ATL 26,7.0,20.0,Gardner Minshew pass complete short left to Josh Downs for 11 yards (tackle by Mike Hughes),1.88,2.44,16.0,2023,228
3.0,4:27,4.0,10.0,ATL 15,10.0,20.0,Matt Gay 33 yard field goal good,2.44,3.0,16.0,2023,228
3.0,4:23,,,IND 35,10.0,20.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,228
3.0,4:23,1.0,10.0,ATL 25,10.0,20.0,Taylor Heinicke pass complete short left to Cordarrelle Patterson for -4 yards (tackle by Samson Ebukam and Dayo Odeyingbo),0.61,-0.48,16.0,2023,228
3.0,3:47,2.0,14.0,ATL 21,10.0,20.0,Taylor Heinicke pass incomplete short right intended for Kyle Pitts (defended by DeForest Buckner),-0.48,-1.15,16.0,2023,228
3.0,3:47,3.0,14.0,ATL 21,10.0,20.0,Taylor Heinicke pass complete short right to Jonnu Smith for 15 yards (tackle by E.J. Speed),-1.15,1.33,16.0,2023,228
3.0,3:08,1.0,10.0,ATL 36,10.0,20.0,Bijan Robinson right end for 5 yards (tackle by Julius Brents and Grover Stewart),1.33,1.47,16.0,2023,228
3.0,2:30,2.0,5.0,ATL 41,10.0,20.0,Cordarrelle Patterson right guard for 3 yards (tackle by DeForest Buckner),1.47,1.16,16.0,2023,228
3.0,1:47,3.0,2.0,ATL 44,10.0,20.0,Taylor Heinicke pass complete short middle to KhaDarel Hodge for 5 yards (tackle by Zaire Franklin),1.16,2.19,16.0,2023,228
3.0,1:15,1.0,10.0,ATL 49,10.0,20.0,Taylor Heinicke pass complete short right to Drake London for 16 yards (tackle by Zaire Franklin),2.19,3.25,16.0,2023,228
3.0,0:37,1.0,10.0,IND 35,10.0,20.0,Tyler Allgeier left guard for 11 yards (tackle by Nick Cross),3.25,3.97,16.0,2023,228
4.0,15:00,1.0,10.0,IND 24,10.0,20.0,Tyler Allgeier right end for 1 yard (tackle by E.J. Speed and Samson Ebukam),3.97,3.57,16.0,2023,228
4.0,14:22,2.0,9.0,IND 23,10.0,20.0,Taylor Heinicke pass incomplete short right intended for Van Jefferson,3.57,2.87,16.0,2023,228
4.0,14:15,3.0,9.0,IND 23,10.0,20.0,Taylor Heinicke pass incomplete deep left intended for Van Jefferson,2.87,1.93,16.0,2023,228
4.0,14:10,4.0,9.0,IND 23,10.0,23.0,Younghoe Koo 41 yard field goal good,1.93,3.0,16.0,2023,228
4.0,14:06,,,ATL 35,10.0,23.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,228
4.0,14:06,1.0,10.0,IND 25,10.0,23.0,Gardner Minshew pass complete short right to Kylen Granson for 12 yards (tackle by DeMarcco Hellams),0.61,1.4,16.0,2023,228
4.0,13:30,1.0,10.0,IND 37,10.0,23.0,Gardner Minshew pass incomplete short right intended for Josh Downs,1.4,0.86,16.0,2023,228
4.0,13:25,2.0,10.0,IND 37,10.0,23.0,Gardner Minshew pass complete short right to Kylen Granson for 8 yards (tackle by Kaden Elliss),0.86,1.22,16.0,2023,228
4.0,12:59,3.0,2.0,IND 45,10.0,23.0,Jonathan Taylor right guard for 1 yard (tackle by Nathan Landman and Lorenzo Carter),1.22,-0.32,16.0,2023,228
4.0,12:19,4.0,1.0,IND 46,10.0,23.0,Gardner Minshew pass complete short left to Kylen Granson for 11 yards (tackle by Jessie Bates),-0.32,2.72,16.0,2023,228
4.0,11:55,1.0,10.0,ATL 43,10.0,23.0,Gardner Minshew pass complete short left to Alec Pierce for 7 yards (tackle by AJ Terrell),2.72,3.12,16.0,2023,228
4.0,11:29,2.0,3.0,ATL 36,10.0,23.0,Jonathan Taylor right guard for -1 yards (tackle by Kaden Elliss and Calais Campbell),3.12,2.28,16.0,2023,228
4.0,10:52,3.0,4.0,ATL 37,10.0,23.0,Trey Sermon right tackle for -1 yards (tackle by Bud Dupree and Kaden Elliss),2.28,0.72,16.0,2023,228
4.0,10:14,4.0,5.0,ATL 38,10.0,23.0,Gardner Minshew pass incomplete short middle intended for D.J. Montgomery (defended by Clark Phillips) (defended by Jessie Bates),0.72,-1.47,16.0,2023,228
4.0,10:02,1.0,10.0,ATL 38,10.0,23.0,Taylor Heinicke pass complete short right to Bijan Robinson for 6 yards (tackle by Ronnie Harrison),1.47,1.73,16.0,2023,228
4.0,9:25,2.0,4.0,ATL 44,10.0,23.0,Bijan Robinson right end for 1 yard (tackle by E.J. Speed),1.73,1.16,16.0,2023,228
4.0,8:45,3.0,3.0,ATL 45,10.0,23.0,Taylor Heinicke pass incomplete short right intended for Bijan Robinson,1.16,-0.39,16.0,2023,228
4.0,8:41,4.0,3.0,ATL 45,10.0,23.0,Bradley Pinion punts 39 yards out of bounds,-0.39,0.14,16.0,2023,228
4.0,8:33,1.0,10.0,IND 16,10.0,23.0,Gardner Minshew sacked by Zach Harrison for no gain,-0.14,-0.66,16.0,2023,228
4.0,8:08,2.0,10.0,IND 16,10.0,23.0,Gardner Minshew pass incomplete deep left intended for Alec Pierce,-0.66,-1.32,16.0,2023,228
4.0,8:03,3.0,10.0,IND 16,10.0,23.0,Gardner Minshew pass deep middle intended for Alec Pierce is intercepted by Jessie Bates at 50 and returned for no gain (tackle by Alec Pierce),-1.32,-2.26,16.0,2023,228
4.0,7:57,1.0,10.0,IND 50,10.0,23.0,Tyler Allgeier left tackle for 4 yards (tackle by Zaire Franklin and Kenny Moore),2.26,2.25,16.0,2023,228
4.0,7:19,2.0,6.0,IND 46,10.0,23.0,Bijan Robinson left end for 26 yards (tackle by E.J. Speed),2.25,4.24,16.0,2023,228
4.0,6:44,1.0,10.0,IND 20,10.0,23.0,Cordarrelle Patterson right end for 2 yards (tackle by Zaire Franklin),4.24,3.96,16.0,2023,228
4.0,6:01,2.0,8.0,IND 18,10.0,23.0,Tyler Allgeier right guard for 4 yards (tackle by Grover Stewart and Dayo Odeyingbo),3.96,3.89,16.0,2023,228
4.0,5:55,,,,,,Timeout #1 by Indianapolis Colts,,,16.0,2023,228
4.0,5:55,3.0,4.0,IND 14,10.0,23.0,Bijan Robinson right end for -3 yards (tackle by Tyquan Lewis),3.89,2.31,16.0,2023,228
4.0,5:49,,,,,,Timeout #2 by Indianapolis Colts,,,16.0,2023,228
4.0,5:49,4.0,7.0,IND 17,10.0,26.0,Younghoe Koo 35 yard field goal good,2.31,3.0,16.0,2023,228
4.0,5:46,,,ATL 35,10.0,26.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,228
4.0,5:46,1.0,10.0,IND 25,10.0,26.0,Gardner Minshew pass incomplete short left intended for Alec Pierce,0.61,0.06,16.0,2023,228
4.0,5:42,2.0,10.0,IND 25,10.0,26.0,Gardner Minshew pass incomplete short left intended for D.J. Montgomery (defended by Kaden Elliss),0.06,-0.62,16.0,2023,228
4.0,5:38,3.0,10.0,IND 25,10.0,26.0,Gardner Minshew sacked by Richie Grant for -7 yards,-0.62,-2.24,16.0,2023,228
4.0,4:57,4.0,17.0,IND 18,10.0,26.0,Gardner Minshew pass incomplete deep right intended for D.J. Montgomery,-2.24,-4.37,16.0,2023,228
4.0,4:49,1.0,10.0,IND 18,10.0,26.0,Tyler Allgeier right tackle for 4 yards (tackle by Zaire Franklin and Isaiah Land),4.37,4.43,16.0,2023,228
4.0,4:04,2.0,6.0,IND 14,10.0,26.0,Tyler Allgeier right end for 8 yards (tackle by Kenny Moore and Isaiah Land),4.43,5.83,16.0,2023,228
4.0,3:55,,,,,,Timeout #3 by Indianapolis Colts,,,16.0,2023,228
4.0,3:55,1.0,6.0,IND 6,10.0,26.0,Bijan Robinson left tackle for no gain (tackle by Ronnie Harrison),5.83,4.95,16.0,2023,228
4.0,3:11,2.0,6.0,IND 6,10.0,26.0,Bijan Robinson left end for 3 yards (tackle by Julius Brents and E.J. Speed),4.95,4.72,16.0,2023,228
4.0,2:33,3.0,3.0,IND 3,10.0,26.0,Cordarrelle Patterson left end for -4 yards (tackle by Grover Stewart and Nick Cross),4.72,2.97,16.0,2023,228
4.0,2:00,4.0,7.0,IND 7,10.0,29.0,Younghoe Koo 25 yard field goal good,2.97,3.0,16.0,2023,228
4.0,1:57,,,ATL 35,10.0,29.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,228
4.0,1:57,1.0,10.0,IND 25,10.0,29.0,Gardner Minshew pass complete short left to Tyler Goodson for 15 yards (tackle by DeMarcco Hellams and Richie Grant),0.61,1.6,16.0,2023,228
4.0,1:28,1.0,10.0,IND 40,10.0,29.0,Gardner Minshew pass complete short left to Josh Downs for 6 yards (tackle by Richie Grant),1.6,1.86,16.0,2023,228
4.0,1:04,2.0,4.0,IND 46,10.0,29.0,Gardner Minshew pass complete short middle to Will Mallory for 7 yards (tackle by Richie Grant),1.86,2.46,16.0,2023,228
