Quarter,Time,Down,ToGo,Location,NWE,LVR,Detail,EPB,EPA,week,year,game_id
2.0,11:45,2.0,3.0,NWE 26,0.0,10.0,Ezekiel Elliott right guard for no gain (tackle by Maxx Crosby),0.61,-0.16,6.0,2023,88
2.0,11:03,,,,,,Timeout #1 by New England Patriots,,,6.0,2023,88
2.0,11:03,3.0,3.0,NWE 26,0.0,10.0,"Mac Jones pass complete short right to Ezekiel Elliott for 15 yards. Penalty on Hunter Henry: Offensive Holding, 10 yards (accepted)",-0.16,1.0,6.0,2023,88
2.0,10:50,1.0,10.0,NWE 31,0.0,10.0,Mac Jones pass complete short right to Rhamondre Stevenson for 4 yards (tackle by Marcus Peters and Luke Masterson),1.0,1.0,6.0,2023,88
2.0,10:20,2.0,6.0,NWE 35,0.0,10.0,"Mac Jones pass complete short middle to Kendrick Bourne for 36 yards (tackle by Tyler Hall and Marcus Epps). Penalty on Tyree Wilson: Illegal Use of Hands / Defense, 5 yards (declined)",1.0,3.64,6.0,2023,88
2.0,9:51,1.0,10.0,LVR 29,0.0,10.0,Mac Jones pass complete short middle to Rhamondre Stevenson for 4 yards (tackle by Luke Masterson),3.64,3.64,6.0,2023,88
2.0,9:20,2.0,6.0,LVR 25,0.0,10.0,Rhamondre Stevenson right tackle for 1 yard (tackle by Isaac Rochell),3.64,3.07,6.0,2023,88
2.0,8:46,3.0,5.0,LVR 24,0.0,10.0,Mac Jones pass incomplete short left intended for DeVante Parker,3.07,1.92,6.0,2023,88
2.0,8:42,4.0,5.0,LVR 24,3.0,10.0,Chad Ryland 43 yard field goal good,1.92,3.0,6.0,2023,88
2.0,8:38,,,NWE 35,3.0,10.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,88
2.0,8:38,1.0,10.0,LVR 25,3.0,10.0,Jimmy Garoppolo pass complete short middle to Zamir White for 4 yards (tackle by Kyle Dugger and Ja'Whaun Bentley),0.61,0.6,6.0,2023,88
2.0,8:01,2.0,6.0,LVR 29,3.0,10.0,Zamir White left tackle for 1 yard (tackle by Jahlani Tavai and Lawrence Guy),0.6,0.04,6.0,2023,88
2.0,7:13,3.0,5.0,LVR 30,3.0,10.0,Jimmy Garoppolo pass incomplete short right intended for Ameer Abdullah,0.04,-1.37,6.0,2023,88
2.0,7:09,4.0,5.0,LVR 30,3.0,10.0,"AJ Cole punts 57 yards, returned by Myles Bryant for 14 yards (tackle by Ameer Abdullah)",-1.37,-0.74,6.0,2023,88
2.0,6:58,1.0,10.0,NWE 27,3.0,10.0,Mac Jones pass incomplete short right intended for Kendrick Bourne (defended by Maxx Crosby),0.74,0.2,6.0,2023,88
2.0,6:55,2.0,10.0,NWE 27,3.0,10.0,Mac Jones pass complete short left to Kendrick Bourne for 9 yards (tackle by Amik Robertson),0.2,0.7,6.0,2023,88
2.0,6:21,3.0,1.0,NWE 36,3.0,10.0,Ezekiel Elliott left end for 7 yards (tackle by Divine Deablo),0.7,1.8,6.0,2023,88
2.0,5:43,1.0,10.0,NWE 43,3.0,10.0,Mac Jones pass incomplete short left,1.8,1.25,6.0,2023,88
2.0,5:38,2.0,10.0,NWE 43,3.0,10.0,Mac Jones pass complete short right to Hunter Henry for 7 yards (tackle by Tre'von Moehrig and Divine Deablo),1.25,1.49,6.0,2023,88
2.0,4:53,3.0,3.0,LVR 50,3.0,10.0,Mac Jones pass complete short left to Mike Gesicki for 15 yards (tackle by Tyler Hall),1.49,3.25,6.0,2023,88
2.0,4:29,1.0,10.0,LVR 35,3.0,10.0,Rhamondre Stevenson up the middle for 5 yards (tackle by Maxx Crosby),3.25,3.38,6.0,2023,88
2.0,3:48,2.0,5.0,LVR 30,3.0,10.0,Mac Jones pass deep right intended for Hunter Henry is intercepted by Tre'von Moehrig at LV-9 and returned for 25 yards (tackle by DeVante Parker),3.38,-1.2,6.0,2023,88
2.0,3:36,1.0,10.0,LVR 34,3.0,10.0,Josh Jacobs left end for 6 yards (tackle by Kyle Dugger),1.2,1.47,6.0,2023,88
2.0,2:56,2.0,4.0,LVR 40,3.0,10.0,Josh Jacobs up the middle for 7 yards (tackle by Jabrill Peppers),1.47,2.06,6.0,2023,88
2.0,2:18,1.0,10.0,LVR 47,3.0,10.0,Jimmy Garoppolo pass complete short left to Davante Adams for 8 yards (tackle by Jonathan Jones),2.06,2.6,6.0,2023,88
2.0,2:00,2.0,2.0,NWE 45,3.0,10.0,Josh Jacobs left guard for 4 yards (tackle by Davon Godchaux),2.6,2.85,6.0,2023,88
2.0,1:19,1.0,10.0,NWE 41,3.0,10.0,Jimmy Garoppolo scrambles up the middle for 2 yards (tackle by Anfernee Jennings),2.85,2.58,6.0,2023,88
2.0,0:42,2.0,8.0,NWE 39,3.0,10.0,Jimmy Garoppolo pass complete short middle to Jakobi Meyers for 14 yards (tackle by Ja'Whaun Bentley),2.58,3.91,6.0,2023,88
2.0,0:35,,,,,,Timeout #1 by Las Vegas Raiders,,,6.0,2023,88
2.0,0:35,1.0,10.0,NWE 25,3.0,10.0,"Jimmy Garoppolo pass incomplete intended for Jakobi Meyers. Penalty on Jakobi Meyers: Offensive Pass Interference, 10 yards (accepted) (no play)",3.91,3.25,6.0,2023,88
2.0,0:30,,,,,,Timeout #2 by New England Patriots,,,6.0,2023,88
2.0,0:30,1.0,20.0,NWE 35,3.0,10.0,Jimmy Garoppolo pass incomplete short middle intended for Josh Jacobs (defended by Christian Barmore),3.25,2.01,6.0,2023,88
2.0,0:27,2.0,20.0,NWE 35,3.0,10.0,Jimmy Garoppolo pass incomplete short right intended for Josh Jacobs,2.01,1.35,6.0,2023,88
2.0,0:20,3.0,20.0,NWE 35,3.0,10.0,Jimmy Garoppolo pass complete deep middle to Jakobi Meyers for 16 yards (tackle by Jonathan Jones),1.35,2.26,6.0,2023,88
2.0,0:14,,,,,,Timeout #2 by Las Vegas Raiders,,,6.0,2023,88
2.0,0:14,4.0,4.0,NWE 19,3.0,13.0,Daniel Carlson 37 yard field goal good,2.26,3.0,6.0,2023,88
2.0,0:10,,,LVR 35,3.0,13.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,88
2.0,0:10,1.0,10.0,NWE 25,3.0,13.0,Mac Jones kneels for -1 yards,0.61,-0.07,6.0,2023,88
3.0,15:00,,,LVR 35,3.0,13.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,88
3.0,15:00,1.0,10.0,NWE 25,3.0,13.0,Rhamondre Stevenson left guard for 15 yards (tackle by Maxx Crosby),0.61,1.6,6.0,2023,88
3.0,14:34,1.0,10.0,NWE 40,3.0,13.0,Ezekiel Elliott left guard for 8 yards (tackle by Divine Deablo and Maxx Crosby),1.6,2.13,6.0,2023,88
3.0,13:54,2.0,2.0,NWE 48,3.0,13.0,Mac Jones pass complete short left to Pharaoh Brown for 15 yards (tackle by Marcus Epps and Robert Spillane),2.13,3.12,6.0,2023,88
3.0,13:12,1.0,10.0,LVR 37,3.0,13.0,Ezekiel Elliott left guard for 6 yards (tackle by Bilal Nichols),3.12,3.38,6.0,2023,88
3.0,12:31,2.0,4.0,LVR 31,3.0,13.0,Mac Jones pass complete short left to Mike Gesicki for 5 yards (tackle by Amik Robertson),3.38,3.84,6.0,2023,88
3.0,11:50,1.0,10.0,LVR 26,3.0,13.0,"Ezekiel Elliott for no gain (tackle by John Jenkins). Penalty on Maxx Crosby: Defensive Offside, 5 yards (accepted) (no play)",3.84,4.57,6.0,2023,88
3.0,11:23,1.0,5.0,LVR 21,3.0,13.0,Ezekiel Elliott left tackle for 7 yards (tackle by Amik Robertson),4.57,4.65,6.0,2023,88
3.0,10:42,1.0,10.0,LVR 14,3.0,13.0,Mac Jones pass complete short left to Mike Gesicki for 8 yards (tackle by Divine Deablo),4.65,5.47,6.0,2023,88
3.0,10:17,2.0,2.0,LVR 6,3.0,13.0,Ezekiel Elliott up the middle for 4 yards (tackle by Tyree Wilson),5.47,6.74,6.0,2023,88
3.0,9:39,1.0,2.0,LVR 2,3.0,13.0,Mac Jones pass complete short middle to Kendrick Bourne for no gain (tackle by Tre'von Moehrig),6.74,5.72,6.0,2023,88
3.0,8:59,2.0,2.0,LVR 2,9.0,13.0,"Ezekiel Elliott up the middle for 2 yards, touchdown",5.72,7.0,6.0,2023,88
3.0,8:56,,,LVR 15,10.0,13.0,Chad Ryland kicks extra point good,0.0,0.0,6.0,2023,88
3.0,8:56,,,NWE 35,10.0,13.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,88
3.0,8:56,1.0,10.0,LVR 25,10.0,13.0,Brian Hoyer pass complete short middle to Josh Jacobs for 4 yards (tackle by Kyle Dugger),0.61,0.6,6.0,2023,88
3.0,8:06,2.0,6.0,LVR 29,10.0,13.0,Josh Jacobs up the middle for 2 yards (tackle by Davon Godchaux and Jahlani Tavai),0.6,0.17,6.0,2023,88
3.0,7:39,3.0,4.0,LVR 31,10.0,13.0,Brian Hoyer pass complete deep middle to Tre Tucker for 48 yards (tackle by Jonathan Jones),0.17,4.17,6.0,2023,88
3.0,7:10,1.0,10.0,NWE 21,10.0,13.0,Josh Jacobs left tackle for 2 yards (tackle by Lawrence Guy),4.17,3.9,6.0,2023,88
3.0,6:31,2.0,8.0,NWE 19,10.0,13.0,Josh Jacobs for no gain (tackle by Jabrill Peppers),3.9,3.18,6.0,2023,88
3.0,5:53,3.0,8.0,NWE 19,10.0,13.0,Brian Hoyer pass complete short middle to Michael Mayer for 8 yards (tackle by Jabrill Peppers),3.18,4.84,6.0,2023,88
3.0,5:10,1.0,10.0,NWE 11,10.0,13.0,"Josh Jacobs for no gain (tackle by Jabrill Peppers and Ja'Whaun Bentley). Penalty on Thayer Munford: Offensive Holding, 10 yards (accepted) (no play)",4.84,4.17,6.0,2023,88
3.0,4:51,1.0,20.0,NWE 21,10.0,13.0,Brian Hoyer pass incomplete deep right intended for Jakobi Meyers,4.17,2.94,6.0,2023,88
3.0,4:46,2.0,20.0,NWE 21,10.0,13.0,Brian Hoyer pass complete short left to Tre Tucker for 9 yards (tackle by Shaun Wade),2.94,3.11,6.0,2023,88
3.0,4:03,3.0,11.0,NWE 12,10.0,13.0,Brian Hoyer pass incomplete short right intended for Michael Mayer,3.11,2.63,6.0,2023,88
3.0,3:58,4.0,11.0,NWE 12,10.0,16.0,Daniel Carlson 30 yard field goal good,2.63,3.0,6.0,2023,88
3.0,3:55,,,LVR 35,10.0,16.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,88
3.0,3:55,1.0,10.0,NWE 25,10.0,16.0,Mac Jones sacked by John Jenkins for -4 yards,0.61,-0.48,6.0,2023,88
3.0,3:23,2.0,14.0,NWE 21,10.0,16.0,Mac Jones pass complete short left to Tyquan Thornton for 6 yards (tackle by Jakorian Bennett),-0.48,-0.36,6.0,2023,88
3.0,2:42,3.0,8.0,NWE 27,10.0,16.0,Mac Jones pass incomplete short left intended for Hunter Henry,-0.36,-1.57,6.0,2023,88
3.0,2:39,4.0,8.0,NWE 27,10.0,16.0,"Bryce Baringer punts 51 yards, returned by DeAndre Carter for 13 yards (tackle by Joe Cardona)",-1.57,-1.27,6.0,2023,88
3.0,2:27,1.0,10.0,LVR 35,10.0,16.0,Brian Hoyer pass complete deep left to Davante Adams for 21 yards (tackle by Jalen Mills and J.C. Jackson),1.27,2.65,6.0,2023,88
3.0,1:51,1.0,10.0,NWE 44,10.0,16.0,Josh Jacobs left end for 18 yards (tackle by Adrian Phillips),2.65,3.84,6.0,2023,88
3.0,1:06,1.0,10.0,NWE 26,10.0,16.0,Josh Jacobs left guard for 3 yards (tackle by Deatrich Wise and Davon Godchaux),3.84,3.7,6.0,2023,88
3.0,0:28,2.0,7.0,NWE 23,10.0,16.0,Josh Jacobs up the middle for 2 yards (tackle by Anfernee Jennings and Adrian Phillips),3.7,3.27,6.0,2023,88
4.0,15:00,3.0,5.0,NWE 21,10.0,16.0,Brian Hoyer pass complete short middle to Austin Hooper for 12 yards (tackle by Myles Bryant),3.27,5.14,6.0,2023,88
4.0,14:26,1.0,9.0,NWE 9,10.0,16.0,Josh Jacobs right end for 2 yards (tackle by Jahlani Tavai and Mack Wilson),5.14,4.76,6.0,2023,88
4.0,13:52,2.0,7.0,NWE 7,10.0,16.0,Josh Jacobs up the middle for 1 yard (tackle by Lawrence Guy),4.76,4.04,6.0,2023,88
4.0,13:10,3.0,6.0,NWE 6,10.0,16.0,Brian Hoyer pass incomplete short right intended for Davante Adams,4.04,2.99,6.0,2023,88
4.0,13:06,4.0,6.0,NWE 6,10.0,19.0,Daniel Carlson 24 yard field goal good,2.99,3.0,6.0,2023,88
4.0,13:03,,,LVR 35,10.0,19.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,88
4.0,13:03,1.0,10.0,NWE 25,10.0,19.0,Mac Jones pass complete short right to Kendrick Bourne for 6 yards (tackle by Tyler Hall),0.61,0.87,6.0,2023,88
4.0,12:25,2.0,4.0,NWE 31,10.0,19.0,Rhamondre Stevenson right guard for 3 yards (tackle by Maxx Crosby),0.87,0.56,6.0,2023,88
4.0,12:08,3.0,1.0,NWE 34,10.0,19.0,Kendrick Bourne left end for 4 yards (tackle by Tyler Hall and Divine Deablo),0.56,1.47,6.0,2023,88
4.0,11:26,1.0,10.0,NWE 38,10.0,19.0,Mac Jones pass complete short right to Kendrick Bourne for 1 yard (tackle by Tre'von Moehrig),1.47,1.06,6.0,2023,88
4.0,10:42,2.0,9.0,NWE 39,10.0,19.0,Mac Jones pass complete short right to Kendrick Bourne for 8 yards (tackle by Robert Spillane),1.06,1.42,6.0,2023,88
4.0,10:06,3.0,1.0,NWE 47,10.0,19.0,Rhamondre Stevenson left tackle for 7 yards (tackle by Tyler Hall and Maxx Crosby),1.42,2.52,6.0,2023,88
4.0,9:26,1.0,10.0,LVR 46,10.0,19.0,Mac Jones pass incomplete deep right intended for Tyquan Thornton,2.52,1.98,6.0,2023,88
4.0,9:19,2.0,10.0,LVR 46,10.0,19.0,Mac Jones pass complete short right to Rhamondre Stevenson for 4 yards (tackle by Adam Butler),1.98,1.82,6.0,2023,88
4.0,8:34,3.0,6.0,LVR 42,10.0,19.0,"Mac Jones pass incomplete intended for Mike Gesicki. Penalty on Amik Robertson: Defensive Holding, 5 yards (accepted) (no play)",1.82,3.12,6.0,2023,88
4.0,8:27,1.0,10.0,LVR 37,10.0,19.0,Malik Cunningham sacked by Amik Robertson for -5 yards,3.12,1.9,6.0,2023,88
4.0,7:45,2.0,15.0,LVR 42,10.0,19.0,Mac Jones pass complete short middle to Kendrick Bourne for 6 yards (tackle by Divine Deablo),1.9,2.01,6.0,2023,88
4.0,7:04,3.0,9.0,LVR 36,10.0,19.0,Mac Jones pass complete short left to Kendrick Bourne for 15 yards (tackle by Jakorian Bennett),2.01,4.17,6.0,2023,88
4.0,6:25,1.0,10.0,LVR 21,10.0,19.0,Mac Jones pass complete short right to Kendrick Bourne for 4 yards (tackle by Robert Spillane and Marcus Peters),4.17,4.2,6.0,2023,88
4.0,5:47,2.0,6.0,LVR 17,10.0,19.0,Mac Jones pass complete short middle to Ty Montgomery for 9 yards (tackle by Byron Young),4.2,5.37,6.0,2023,88
4.0,5:11,1.0,8.0,LVR 8,10.0,19.0,Rhamondre Stevenson right guard for 5 yards (tackle by Bilal Nichols and John Jenkins),5.37,5.53,6.0,2023,88
4.0,4:33,2.0,3.0,LVR 3,10.0,19.0,"Penalty on Sidy Sow: False Start, 5 yards (accepted) (no play)",5.53,4.57,6.0,2023,88
4.0,4:32,2.0,8.0,LVR 8,10.0,19.0,Mac Jones pass incomplete intended for Kendrick Bourne (no play),4.57,3.72,6.0,2023,88
4.0,4:28,,,,,,Timeout #1 by Las Vegas Raiders,,,6.0,2023,88
4.0,4:28,2.0,13.0,LVR 13,10.0,19.0,Mac Jones pass complete short middle to Rhamondre Stevenson for 6 yards (tackle by Divine Deablo and Robert Spillane),3.72,3.81,6.0,2023,88
4.0,3:43,3.0,7.0,LVR 7,10.0,19.0,Mac Jones pass complete short left to Kendrick Bourne for 4 yards (tackle by Tyler Hall and Robert Spillane),3.81,3.04,6.0,2023,88
4.0,3:43,4.0,3.0,LVR 3,10.0,19.0,"Penalty on Maxx Crosby: Roughing the Passer, 2 yards (accepted) (no play)",3.04,6.97,6.0,2023,88
4.0,3:36,1.0,1.0,LVR 1,16.0,19.0,"Rhamondre Stevenson left tackle for 1 yard, touchdown",6.97,7.0,6.0,2023,88
4.0,3:33,,,LVR 15,17.0,19.0,Chad Ryland kicks extra point good,0.0,0.0,6.0,2023,88
4.0,3:33,,,NWE 35,17.0,19.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,88
4.0,3:33,1.0,10.0,LVR 25,17.0,19.0,Brian Hoyer pass incomplete short right intended for Jakobi Meyers (defended by Jabrill Peppers),0.61,0.06,6.0,2023,88
4.0,3:29,2.0,10.0,LVR 25,17.0,19.0,Josh Jacobs left tackle for 2 yards (tackle by Mack Wilson and Christian Barmore),0.06,-0.36,6.0,2023,88
4.0,2:50,3.0,8.0,LVR 27,17.0,19.0,"Brian Hoyer pass incomplete intended for Tre Tucker. Penalty on J.C. Jackson: Defensive Pass Interference, 11 yards (accepted) (no play)",-0.36,1.47,6.0,2023,88
4.0,2:44,1.0,10.0,LVR 38,17.0,19.0,Josh Jacobs left tackle for 5 yards (tackle by Christian Barmore),1.47,1.6,6.0,2023,88
4.0,2:39,,,,,,Timeout #1 by New England Patriots,,,6.0,2023,88
4.0,2:39,2.0,5.0,LVR 43,17.0,19.0,Josh Jacobs up the middle for 3 yards (tackle by Jabrill Peppers),1.6,1.29,6.0,2023,88
4.0,2:35,,,,,,Timeout #2 by New England Patriots,,,6.0,2023,88
4.0,2:35,3.0,2.0,LVR 46,17.0,19.0,Josh Jacobs up the middle for -1 yards (tackle by Christian Barmore and Mack Wilson),1.29,-0.39,6.0,2023,88
4.0,2:31,,,,,,Timeout #3 by New England Patriots,,,6.0,2023,88
4.0,2:31,4.0,3.0,LVR 45,17.0,19.0,"AJ Cole punts 46 yards, fair catch by Myles Bryant at NE-9",-0.39,0.38,6.0,2023,88
4.0,2:23,1.0,10.0,NWE 9,17.0,19.0,Mac Jones pass complete short middle to Rhamondre Stevenson for 6 yards (tackle by Robert Spillane),-0.38,-0.28,6.0,2023,88
4.0,2:05,2.0,4.0,NWE 15,17.0,19.0,"Rhamondre Stevenson left guard for no gain (tackle by Divine Deablo and Robert Spillane). Penalty on Atonio Mafi: Offensive Holding, 7 yards (accepted) (no play)",-0.28,-0.85,6.0,2023,88
4.0,1:59,2.0,11.0,NWE 8,17.0,19.0,Mac Jones pass incomplete deep left intended for DeVante Parker (defended by Marcus Epps),-0.85,-1.54,6.0,2023,88
4.0,1:52,3.0,11.0,NWE 8,17.0,19.0,"Penalty on NWE: Delay of Game, 4 yards (accepted) (no play)",-1.54,-2.01,6.0,2023,88
4.0,1:52,3.0,15.0,NWE 4,17.0,21.0,Mac Jones sacked by and Bilal Nichols for -4 yards and Maxx Crosby for -4 yards,-2.01,-2.0,6.0,2023,88
4.0,1:47,,,NWE 20,17.0,21.0,"Bryce Baringer kicks onside 16 yards,",0.0,3.18,6.0,2023,88
4.0,1:47,1.0,10.0,NWE 36,17.0,21.0,Brian Hoyer kneels for -1 yards,3.18,2.5,6.0,2023,88
4.0,1:06,2.0,11.0,NWE 37,17.0,21.0,Brian Hoyer kneels for -1 yards,2.5,1.69,6.0,2023,88
4.0,0:33,3.0,12.0,NWE 38,17.0,21.0,Brian Hoyer kneels for -1 yards,1.69,0.66,6.0,2023,88
