Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA,week,year,game_id
1.0,8:48,4.0,6.0,ATL 19,3.0,0.0,Joey Slye 37 yard field goal good,2.21,3.0,6.0,2023,82
1.0,8:45,,,WAS 35,3.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,82
1.0,8:45,1.0,10.0,ATL 25,3.0,0.0,Bijan Robinson right tackle for 2 yards (tackle by Daron Payne),0.61,0.33,6.0,2023,82
1.0,8:08,2.0,8.0,ATL 27,3.0,0.0,Desmond Ridder pass incomplete deep right intended for KhaDarel Hodge,0.33,-0.36,6.0,2023,82
1.0,8:02,3.0,8.0,ATL 27,3.0,0.0,Desmond Ridder pass complete short middle to Kyle Pitts for 9 yards (tackle by Kamren Curl),-0.36,1.33,6.0,2023,82
1.0,7:27,1.0,10.0,ATL 36,3.0,0.0,Tyler Allgeier right guard for no gain (tackle by Daron Payne),1.33,0.79,6.0,2023,82
1.0,6:46,2.0,10.0,ATL 36,3.0,0.0,Desmond Ridder pass complete short right to Drake London for 20 yards (tackle by Benjamin St-Juste and Cody Barton),0.79,2.65,6.0,2023,82
1.0,6:01,1.0,10.0,WAS 44,3.0,0.0,Desmond Ridder pass complete short left to Mack Hollins for 16 yards (tackle by Kendall Fuller),2.65,3.71,6.0,2023,82
1.0,5:25,1.0,10.0,WAS 28,3.0,0.0,Bijan Robinson right end for 2 yards (tackle by Jamin Davis),3.71,3.44,6.0,2023,82
1.0,4:45,2.0,8.0,WAS 26,3.0,0.0,Desmond Ridder sacked by Jamin Davis for no gain,3.44,2.74,6.0,2023,82
1.0,4:07,,,,,,Timeout #1 by Atlanta Falcons,,,6.0,2023,82
1.0,4:07,3.0,8.0,WAS 26,3.0,0.0,Desmond Ridder pass complete short left to Drake London for 11 yards (tackle by Kendall Fuller and Danny Johnson),2.74,4.58,6.0,2023,82
1.0,3:32,1.0,10.0,WAS 15,3.0,0.0,Tyler Allgeier left guard for 6 yards (tackle by John Ridgeway),4.58,5.03,6.0,2023,82
1.0,2:51,2.0,4.0,WAS 9,3.0,6.0,"Desmond Ridder pass complete short right to Kyle Pitts for 9 yards, touchdown. Penalty on Benjamin St-Juste: Defensive Holding, 5 yards (declined)",5.03,7.0,6.0,2023,82
1.0,2:46,,,WAS 15,3.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,6.0,2023,82
1.0,2:46,,,ATL 35,3.0,7.0,"Bradley Pinion kicks off 57 yards, returned by Antonio Gibson for 13 yards (tackle by Micah Abernathy)",0.0,0.34,6.0,2023,82
1.0,2:40,1.0,10.0,WAS 21,3.0,7.0,Brian Robinson left end for 4 yards (tackle by Jessie Bates),0.34,0.34,6.0,2023,82
1.0,2:03,2.0,6.0,WAS 25,3.0,7.0,Sam Howell pass complete short left to Terry McLaurin for 13 yards (tackle by Richie Grant),0.34,1.47,6.0,2023,82
1.0,1:25,1.0,10.0,WAS 38,3.0,7.0,"Sam Howell pass complete short left to Brian Robinson for 1 yard (tackle by Richie Grant). Penalty on Nick Gates: Offensive Holding, 10 yards (accepted)",1.47,0.87,6.0,2023,82
1.0,1:02,1.0,19.0,WAS 29,3.0,7.0,Antonio Gibson left tackle for 5 yards (tackle by Zach Harrison),0.87,0.38,6.0,2023,82
1.0,0:20,2.0,14.0,WAS 34,3.0,7.0,Sam Howell pass incomplete short right intended for Terry McLaurin (defended by Jeff Okudah),0.38,-0.29,6.0,2023,82
1.0,0:17,3.0,14.0,WAS 34,3.0,7.0,Sam Howell pass incomplete deep right intended for Terry McLaurin,-0.29,-1.11,6.0,2023,82
1.0,0:11,4.0,14.0,WAS 34,3.0,7.0,"Tress Way punts 44 yards, returned by Mike Hughes for 1 yard (tackle by Tariq Castro-Fields and Jartavius Martin)",-1.11,-0.48,6.0,2023,82
1.0,0:03,1.0,10.0,ATL 23,3.0,7.0,Desmond Ridder pass incomplete short left intended for Kyle Pitts (defended by Benjamin St-Juste),0.48,-0.07,6.0,2023,82
2.0,15:00,2.0,10.0,ATL 23,3.0,7.0,Tyler Allgeier left end for 2 yards (tackle by Khaleke Hudson and Jamin Davis),-0.07,-0.56,6.0,2023,82
2.0,14:15,3.0,8.0,ATL 24,3.0,7.0,Desmond Ridder pass complete short right to Bijan Robinson for 4 yards (tackle by Kendall Fuller and Danny Johnson),-0.56,-1.44,6.0,2023,82
2.0,13:34,4.0,4.0,ATL 29,3.0,7.0,"Bradley Pinion punts 43 yards, returned by Jamison Crowder for 61 yards (tackle by Tre Flowers)",-1.44,-4.84,6.0,2023,82
2.0,13:17,1.0,10.0,ATL 11,3.0,7.0,Sam Howell pass complete short middle to Curtis Samuel for 9 yards (tackle by Nathan Landman),4.84,5.85,6.0,2023,82
2.0,12:34,2.0,1.0,ATL 2,3.0,7.0,Brian Robinson right guard for 1 yard (tackle by Nathan Landman and Bud Dupree),5.85,6.97,6.0,2023,82
2.0,11:51,1.0,1.0,ATL 1,9.0,7.0,"Sam Howell pass complete short right to Antonio Gibson for 1 yard, touchdown",6.97,7.0,6.0,2023,82
2.0,11:47,,,ATL 15,10.0,7.0,Joey Slye kicks extra point good,0.0,0.0,6.0,2023,82
2.0,11:47,,,WAS 35,10.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,82
2.0,11:47,1.0,10.0,ATL 25,10.0,7.0,Tyler Allgeier left tackle for 1 yard (tackle by Benjamin St-Juste and Kamren Curl),0.61,0.2,6.0,2023,82
2.0,11:06,2.0,9.0,ATL 26,10.0,7.0,Desmond Ridder pass complete short middle to Drake London for 9 yards (tackle by Kamren Curl),0.2,1.27,6.0,2023,82
2.0,10:37,1.0,10.0,ATL 35,10.0,7.0,Bijan Robinson left tackle for 4 yards (tackle by Jonathan Allen),1.27,1.26,6.0,2023,82
2.0,10:01,2.0,6.0,ATL 39,10.0,7.0,Desmond Ridder pass complete short left to Cordarrelle Patterson for 6 yards (tackle by Benjamin St-Juste),1.26,1.93,6.0,2023,82
2.0,9:20,1.0,10.0,ATL 45,10.0,7.0,Desmond Ridder pass incomplete deep middle intended for Van Jefferson,1.93,1.38,6.0,2023,82
2.0,9:14,2.0,10.0,ATL 45,10.0,7.0,Bijan Robinson right end for 7 yards (tackle by Kendall Fuller),1.38,1.62,6.0,2023,82
2.0,8:26,3.0,3.0,WAS 48,10.0,7.0,Desmond Ridder pass incomplete deep right intended for Bijan Robinson,1.62,0.07,6.0,2023,82
2.0,8:23,,,,,,Timeout #1 by Washington Commanders,,,6.0,2023,82
2.0,8:23,4.0,3.0,WAS 48,10.0,7.0,Desmond Ridder pass incomplete short right intended for Bijan Robinson,0.07,-2.13,6.0,2023,82
2.0,8:20,1.0,10.0,WAS 48,10.0,7.0,Sam Howell pass incomplete deep right intended for Jahan Dotson,2.13,1.58,6.0,2023,82
2.0,8:13,2.0,10.0,WAS 48,10.0,7.0,Brian Robinson left end for 9 yards (tackle by Kaden Elliss),1.58,2.08,6.0,2023,82
2.0,7:36,3.0,1.0,ATL 43,10.0,7.0,Sam Howell pass incomplete short right intended for Terry McLaurin,2.08,0.4,6.0,2023,82
2.0,7:33,,,,,,Timeout #2 by Washington Commanders,,,6.0,2023,82
2.0,7:33,4.0,1.0,ATL 43,10.0,7.0,Sam Howell left tackle for 4 yards (tackle by Kaden Elliss),0.4,2.98,6.0,2023,82
2.0,6:57,1.0,10.0,ATL 39,10.0,7.0,Antonio Gibson left guard for 9 yards (tackle by Jessie Bates and Richie Grant),2.98,3.66,6.0,2023,82
2.0,6:15,2.0,1.0,ATL 30,10.0,7.0,"Sam Howell pass incomplete short right. Penalty on Jeff Okudah: Defensive Holding, 5 yards (accepted) (no play)",3.66,3.91,6.0,2023,82
2.0,6:08,1.0,10.0,ATL 25,10.0,7.0,Sam Howell pass complete deep left to Terry McLaurin for 18 yards (tackle by AJ Terrell),3.91,5.6,6.0,2023,82
2.0,5:24,1.0,7.0,ATL 7,16.0,7.0,"Sam Howell pass complete short middle to Curtis Samuel for 7 yards, touchdown",5.6,7.0,6.0,2023,82
2.0,5:18,,,ATL 15,17.0,7.0,Joey Slye kicks extra point good,0.0,0.0,6.0,2023,82
2.0,5:18,,,WAS 35,17.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,82
2.0,5:18,1.0,10.0,ATL 25,17.0,7.0,Bijan Robinson right end for 1 yard (tackle by Cody Barton),0.61,0.2,6.0,2023,82
2.0,4:40,2.0,9.0,ATL 26,17.0,7.0,Desmond Ridder pass complete short right to Scott Miller for 4 yards (tackle by Jamin Davis),0.2,0.04,6.0,2023,82
2.0,3:56,3.0,5.0,ATL 30,17.0,7.0,Desmond Ridder pass complete short middle to Kyle Pitts for 19 yards (tackle by Percy Butler and Cody Barton),0.04,2.19,6.0,2023,82
2.0,3:17,1.0,10.0,ATL 49,17.0,7.0,Desmond Ridder pass incomplete short right intended for Tyler Allgeier (defended by John Ridgeway),2.19,1.65,6.0,2023,82
2.0,3:11,2.0,10.0,ATL 49,17.0,7.0,Desmond Ridder pass complete short middle to Bijan Robinson for 3 yards (tackle by Jonathan Allen and Cody Barton),1.65,1.36,6.0,2023,82
2.0,2:38,3.0,7.0,WAS 48,17.0,7.0,Desmond Ridder pass complete short left to Bijan Robinson for 22 yards (tackle by Khaleke Hudson),1.36,3.84,6.0,2023,82
2.0,2:00,1.0,10.0,WAS 26,17.0,7.0,"Desmond Ridder pass incomplete short right. Penalty on Desmond Ridder: Intentional Grounding, 16 yards (accepted)",3.84,1.14,6.0,2023,82
2.0,1:55,2.0,26.0,WAS 42,17.0,7.0,"Desmond Ridder pass complete short right to Drake London for 2 yards (tackle by Kamren Curl). Penalty on Chris Lindstrom: Ineligible Downfield Pass, 5 yards (declined)",1.14,0.76,6.0,2023,82
2.0,1:51,3.0,24.0,WAS 40,17.0,7.0,Desmond Ridder pass complete short left to Drake London for 11 yards (tackle by Kendall Fuller),0.76,1.5,6.0,2023,82
2.0,1:36,,,,,,Timeout #3 by Washington Commanders,,,6.0,2023,82
2.0,1:36,4.0,13.0,WAS 29,17.0,10.0,Younghoe Koo 47 yard field goal good,1.5,3.0,6.0,2023,82
2.0,1:31,,,ATL 35,17.0,10.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,82
2.0,1:31,1.0,10.0,WAS 25,17.0,10.0,Sam Howell sacked by Bud Dupree for -4 yards,0.61,-0.48,6.0,2023,82
2.0,1:07,2.0,14.0,WAS 21,17.0,10.0,Sam Howell sacked by Calais Campbell for -6 yards,-0.48,-2.35,6.0,2023,82
2.0,1:01,,,,,,Timeout #2 by Atlanta Falcons,,,6.0,2023,82
2.0,1:01,3.0,20.0,WAS 15,17.0,10.0,Sam Howell pass incomplete short middle,-2.35,-2.44,6.0,2023,82
2.0,0:58,4.0,20.0,WAS 15,17.0,10.0,"Tress Way punts 41 yards, returned by Mike Hughes for 8 yards (tackle by Terrell Burgess and Jartavius Martin)",-2.44,-2.39,6.0,2023,82
2.0,0:48,1.0,10.0,WAS 48,17.0,10.0,"Penalty on Jake Matthews: False Start, 5 yards (accepted) (no play)",2.39,2.06,6.0,2023,82
2.0,0:48,1.0,15.0,ATL 47,17.0,10.0,Desmond Ridder pass complete short left to Jonnu Smith for 4 yards (tackle by Kendall Fuller),2.06,1.71,6.0,2023,82
2.0,0:44,2.0,11.0,WAS 49,17.0,10.0,Desmond Ridder pass incomplete deep left intended for Drake London (defended by Kamren Curl),1.71,1.03,6.0,2023,82
2.0,0:39,3.0,11.0,WAS 49,17.0,10.0,Desmond Ridder pass incomplete short right intended for Scott Miller (defended by Kendall Fuller),1.03,0.0,6.0,2023,82
2.0,0:35,4.0,11.0,WAS 49,17.0,10.0,Bradley Pinion punts 45 yards downed by Nathan Landman,0.0,0.38,6.0,2023,82
2.0,0:22,1.0,10.0,WAS 4,17.0,10.0,Brian Robinson left end for 9 yards (tackle by AJ Terrell and Jessie Bates),-0.38,-0.12,6.0,2023,82
2.0,0:15,2.0,1.0,WAS 13,17.0,10.0,Sam Howell kneels for -1 yards,-0.12,-0.48,6.0,2023,82
3.0,15:00,,,WAS 35,17.0,10.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,82
3.0,15:00,1.0,10.0,ATL 25,17.0,10.0,Desmond Ridder pass incomplete short right,0.61,0.06,6.0,2023,82
3.0,14:56,2.0,10.0,ATL 25,17.0,10.0,Desmond Ridder pass complete short left to Drake London for 17 yards (tackle by Benjamin St-Juste),0.06,1.73,6.0,2023,82
3.0,14:23,1.0,10.0,ATL 42,17.0,10.0,Bijan Robinson left guard for 3 yards (tackle by Jonathan Allen and Jamin Davis),1.73,1.59,6.0,2023,82
3.0,13:40,2.0,7.0,ATL 45,17.0,10.0,Cordarrelle Patterson right end for no gain (tackle by Montez Sweat),1.59,0.89,6.0,2023,82
3.0,13:01,3.0,7.0,ATL 45,17.0,10.0,Desmond Ridder pass short left intended for Van Jefferson is intercepted by Kendall Fuller at 50 and returned for 23 yards (tackle by Drew Dalman and Chris Lindstrom),0.89,-3.78,6.0,2023,82
3.0,12:55,1.0,10.0,ATL 27,17.0,10.0,Brian Robinson left guard for 3 yards (tackle by David Onyemata),3.78,3.64,6.0,2023,82
3.0,12:12,2.0,7.0,ATL 24,23.0,10.0,"Sam Howell pass complete short right to Brian Robinson for 24 yards, touchdown",3.64,7.0,6.0,2023,82
3.0,12:03,,,ATL 15,24.0,10.0,Joey Slye kicks extra point good,0.0,0.0,6.0,2023,82
3.0,12:03,,,WAS 35,24.0,10.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,82
3.0,12:03,1.0,10.0,ATL 25,24.0,10.0,Tyler Allgeier right end for 2 yards (tackle by Daron Payne),0.61,0.33,6.0,2023,82
3.0,11:22,2.0,8.0,ATL 27,24.0,10.0,Desmond Ridder pass complete short right to Bijan Robinson for 5 yards (tackle by Benjamin St-Juste and Kamren Curl),0.33,0.3,6.0,2023,82
3.0,10:40,3.0,3.0,ATL 32,24.0,10.0,Desmond Ridder scrambles left end for 5 yards (tackle by Danny Johnson),0.3,1.4,6.0,2023,82
3.0,10:00,1.0,10.0,ATL 37,24.0,10.0,Tyler Allgeier left tackle for 3 yards (tackle by Cody Barton and Jamin Davis),1.4,1.26,6.0,2023,82
3.0,9:15,2.0,7.0,ATL 40,24.0,10.0,Tyler Allgeier left tackle for 4 yards (tackle by Cody Barton and Jonathan Allen),1.26,1.09,6.0,2023,82
3.0,8:37,3.0,3.0,ATL 44,24.0,10.0,Desmond Ridder sacked by Casey Toohill for -11 yards,1.09,-1.18,6.0,2023,82
3.0,8:02,4.0,14.0,ATL 33,24.0,10.0,Bradley Pinion punts 52 yards out of bounds,-1.18,0.22,6.0,2023,82
3.0,7:56,1.0,10.0,WAS 15,24.0,10.0,Chris Rodriguez left guard for 7 yards (tackle by Nathan Landman),-0.22,0.35,6.0,2023,82
3.0,7:15,2.0,3.0,WAS 22,24.0,10.0,Chris Rodriguez right tackle for 13 yards (tackle by Jessie Bates),0.35,1.27,6.0,2023,82
3.0,6:42,1.0,10.0,WAS 35,24.0,10.0,Chris Rodriguez left guard for 1 yard (tackle by Kaden Elliss and David Onyemata),1.27,0.86,6.0,2023,82
3.0,6:00,2.0,9.0,WAS 36,24.0,10.0,Sam Howell scrambles right end for 1 yard (tackle by Calais Campbell),0.86,0.3,6.0,2023,82
3.0,5:22,3.0,8.0,WAS 37,24.0,10.0,Sam Howell sacked by Arnold Ebiketie for -7 yards,0.3,-1.37,6.0,2023,82
3.0,4:37,4.0,15.0,WAS 30,24.0,10.0,"Tress Way punts 51 yards, fair catch by Mike Hughes at ATL-19",-1.37,-0.15,6.0,2023,82
3.0,4:31,1.0,10.0,ATL 19,24.0,10.0,Desmond Ridder scrambles right end for 13 yards (tackle by Jamin Davis),0.15,1.07,6.0,2023,82
3.0,3:45,1.0,10.0,ATL 32,24.0,10.0,Tyler Allgeier right end for 4 yards (tackle by Kamren Curl and Cody Barton),1.07,1.07,6.0,2023,82
3.0,3:11,2.0,6.0,ATL 36,24.0,10.0,Desmond Ridder pass complete short left to Jonnu Smith for 13 yards (tackle by Danny Johnson and Cody Barton),1.07,2.19,6.0,2023,82
3.0,2:33,1.0,10.0,ATL 49,24.0,10.0,Desmond Ridder pass complete short middle to Jonnu Smith for 17 yards (tackle by Kamren Curl),2.19,3.31,6.0,2023,82
3.0,1:49,1.0,10.0,WAS 34,24.0,10.0,Desmond Ridder pass incomplete short right intended for Mack Hollins,3.31,2.77,6.0,2023,82
3.0,1:45,2.0,10.0,WAS 34,24.0,10.0,Bijan Robinson right end for 4 yards (tackle by Kamren Curl),2.77,2.61,6.0,2023,82
3.0,1:11,3.0,6.0,WAS 30,24.0,10.0,"Desmond Ridder pass incomplete short middle intended for Kyle Pitts. Penalty on Danny Johnson: Defensive Pass Interference, 9 yards (accepted) (no play)",2.61,4.17,6.0,2023,82
3.0,1:07,1.0,10.0,WAS 21,24.0,10.0,Tyler Allgeier left tackle for 4 yards (tackle by Jonathan Allen),4.17,4.2,6.0,2023,82
3.0,0:24,2.0,6.0,WAS 17,24.0,10.0,Tyler Allgeier left tackle for 5 yards (tackle by Cody Barton),4.2,4.49,6.0,2023,82
4.0,15:00,3.0,1.0,WAS 12,24.0,10.0,Bijan Robinson right end for -3 yards (tackle by Cody Barton and James Smith-Williams),4.49,2.52,6.0,2023,82
4.0,14:16,4.0,4.0,WAS 15,24.0,10.0,Desmond Ridder pass complete short middle to Mack Hollins for 7 yards (tackle by Kamren Curl),2.52,5.37,6.0,2023,82
4.0,13:34,1.0,8.0,WAS 8,24.0,10.0,Bijan Robinson left tackle for 3 yards (tackle by Efe Obada),5.37,5.15,6.0,2023,82
4.0,12:53,2.0,5.0,WAS 5,24.0,10.0,"Penalty on Chase Young: Neutral Zone Infraction, 3 yards (accepted) (no play)",5.15,5.72,6.0,2023,82
4.0,12:43,2.0,2.0,WAS 2,24.0,16.0,"Desmond Ridder pass complete short left to Jonnu Smith for 2 yards, touchdown",5.72,7.0,6.0,2023,82
4.0,12:38,,,WAS 2,24.0,16.0,"Two Point Attempt: Desmond Ridder pass incomplete. Penalty on Benjamin St-Juste: Defensive Pass Interference, 1 yard (accepted) (no play)",1.0,1.0,6.0,2023,82
4.0,12:38,1.0,1.0,WAS 2,24.0,16.0,"Two Point Attempt: Tyler Allgeier rushes, conversion fails.",1.0,-1.0,6.0,2023,82
4.0,12:38,,,ATL 35,24.0,16.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,82
4.0,12:38,1.0,10.0,WAS 25,24.0,16.0,Sam Howell pass complete short right to Terry McLaurin for 18 yards (tackle by Jessie Bates),0.61,1.8,6.0,2023,82
4.0,12:01,1.0,10.0,WAS 43,24.0,16.0,Brian Robinson left end for 3 yards (tackle by Albert Huggins and Lorenzo Carter),1.8,1.66,6.0,2023,82
4.0,11:21,2.0,7.0,WAS 46,24.0,16.0,Brian Robinson right guard for no gain (tackle by Nathan Landman and LaCale London),1.66,1.03,6.0,2023,82
4.0,10:40,3.0,7.0,WAS 47,24.0,16.0,Sam Howell pass incomplete short right intended for Terry McLaurin,1.03,-0.32,6.0,2023,82
4.0,10:33,4.0,7.0,WAS 46,24.0,16.0,"Tress Way punts 43 yards, fair catch by Mike Hughes at ATL-11",-0.32,0.37,6.0,2023,82
4.0,10:25,1.0,10.0,ATL 11,24.0,16.0,"Desmond Ridder pass complete deep right to Drake London for 32 yards (tackle by Benjamin St-Juste). Penalty on Montez Sweat: Defensive Offside, 5 yards (declined)",-0.37,1.8,6.0,2023,82
4.0,10:08,1.0,10.0,ATL 43,24.0,16.0,Bijan Robinson right end for 9 yards (tackle by Kamren Curl and Daron Payne),1.8,2.47,6.0,2023,82
4.0,9:30,2.0,1.0,WAS 48,24.0,16.0,Bijan Robinson left tackle for 2 yards (tackle by Khaleke Hudson and Cody Barton),2.47,2.52,6.0,2023,82
4.0,8:51,1.0,10.0,WAS 46,24.0,16.0,Desmond Ridder pass complete short middle to Kyle Pitts for 6 yards (tackle by Cody Barton),2.52,2.79,6.0,2023,82
4.0,8:15,2.0,4.0,WAS 40,24.0,16.0,Tyler Allgeier left tackle for 8 yards (tackle by Jamin Davis and Cody Barton),2.79,3.45,6.0,2023,82
4.0,7:33,1.0,10.0,WAS 32,24.0,16.0,Bijan Robinson left end for 1 yard (tackle by John Ridgeway and Cody Barton),3.45,3.04,6.0,2023,82
4.0,6:58,2.0,9.0,WAS 31,24.0,16.0,Desmond Ridder pass incomplete short middle intended for Drake London (defended by Kamren Curl),3.04,2.34,6.0,2023,82
4.0,6:56,3.0,9.0,WAS 31,24.0,16.0,"Desmond Ridder sacked by Cody Barton for no gain. Desmond Ridder fumbles (forced by Cody Barton), recovered by Drew Dalman at WAS-34 (tackle by Casey Toohill). Penalty on Cody Barton: Roughing the Passer, 15 yards (accepted) (no play)",2.34,4.51,6.0,2023,82
4.0,6:38,1.0,10.0,WAS 16,24.0,16.0,Tyler Allgeier right end for 11 yards (tackle by Percy Butler),4.51,6.06,6.0,2023,82
4.0,6:10,1.0,5.0,WAS 5,24.0,16.0,Tyler Allgeier right tackle for 1 yard (tackle by Cody Barton and Percy Butler),6.06,5.34,6.0,2023,82
4.0,5:30,2.0,4.0,WAS 4,24.0,16.0,"Penalty on Daron Payne: Neutral Zone Infraction, 2 yards (accepted) (no play)",5.34,5.72,6.0,2023,82
4.0,5:22,2.0,2.0,WAS 2,24.0,16.0,Desmond Ridder pass incomplete short right intended for MyCole Pruitt,5.72,4.95,6.0,2023,82
4.0,5:17,3.0,2.0,WAS 2,24.0,16.0,"Penalty on ATL: Delay of Game, 5 yards (accepted) (no play)",4.95,3.81,6.0,2023,82
4.0,5:17,3.0,7.0,WAS 7,24.0,16.0,Desmond Ridder pass short right intended for Drake London is intercepted by Benjamin St-Juste in end zone and returned for no gain,3.81,-0.28,6.0,2023,82
4.0,5:11,1.0,10.0,WAS 20,24.0,16.0,Sam Howell pass incomplete deep left,0.28,-0.27,6.0,2023,82
4.0,5:05,2.0,10.0,WAS 20,24.0,16.0,Brian Robinson left tackle for no gain (tackle by David Onyemata and Nathan Landman),-0.27,-0.96,6.0,2023,82
4.0,4:23,3.0,10.0,WAS 20,24.0,16.0,Sam Howell sacked by and Bud Dupree for -6 yards and Arnold Ebiketie for -6 yards,-0.96,-2.47,6.0,2023,82
4.0,3:41,4.0,16.0,WAS 14,24.0,16.0,"Tress Way punts 46 yards, returned by Mike Hughes for 2 yards (tackle by Terrell Burgess and De'Jon Harris)",-2.47,-1.73,6.0,2023,82
4.0,3:29,1.0,10.0,ATL 42,24.0,16.0,Bijan Robinson right tackle for 2 yards (tackle by Jonathan Allen),1.73,1.46,6.0,2023,82
4.0,3:06,2.0,8.0,ATL 44,24.0,16.0,Desmond Ridder pass incomplete deep left intended for Jonnu Smith,1.46,0.76,6.0,2023,82
4.0,3:01,3.0,8.0,ATL 44,24.0,16.0,Desmond Ridder sacked by Casey Toohill for no gain,0.76,-0.46,6.0,2023,82
4.0,2:30,4.0,8.0,ATL 44,24.0,16.0,Desmond Ridder pass incomplete deep middle intended for Kyle Pitts (defended by Danny Johnson),-0.46,-2.65,6.0,2023,82
4.0,2:24,1.0,10.0,ATL 44,24.0,16.0,Chris Rodriguez left guard for 2 yards (tackle by David Onyemata and Bud Dupree),2.65,2.38,6.0,2023,82
4.0,2:18,,,,,,Timeout #1 by Atlanta Falcons,,,6.0,2023,82
4.0,2:18,2.0,8.0,ATL 42,24.0,16.0,Curtis Samuel right guard for no gain (tackle by Grady Jarrett and Calais Campbell),2.38,1.69,6.0,2023,82
4.0,2:13,,,,,,Timeout #2 by Atlanta Falcons,,,6.0,2023,82
4.0,2:13,3.0,8.0,ATL 42,24.0,16.0,Sam Howell pass incomplete short right intended for Terry McLaurin,1.69,0.46,6.0,2023,82
4.0,2:10,4.0,8.0,ATL 42,24.0,16.0,Tress Way punts 35 yards downed by Chris Rodriguez,0.46,0.38,6.0,2023,82
4.0,2:00,1.0,10.0,ATL 7,24.0,16.0,Desmond Ridder pass complete short left to Drake London for 12 yards (tackle by Kendall Fuller),-0.38,0.15,6.0,2023,82
4.0,1:40,1.0,10.0,ATL 19,24.0,16.0,Desmond Ridder pass complete short left to Drake London for 11 yards (tackle by Kendall Fuller),0.15,0.94,6.0,2023,82
4.0,1:17,1.0,10.0,ATL 30,24.0,16.0,Desmond Ridder pass complete short left to Bijan Robinson for 9 yards (tackle by Kendall Fuller),0.94,1.61,6.0,2023,82
4.0,1:12,2.0,1.0,ATL 39,24.0,16.0,Desmond Ridder pass complete deep left to Mack Hollins for 18 yards (tackle by Jartavius Martin),1.61,2.72,6.0,2023,82
4.0,0:48,1.0,10.0,WAS 43,24.0,16.0,Desmond Ridder pass complete short left to MyCole Pruitt for 9 yards (tackle by Kamren Curl),2.72,3.39,6.0,2023,82
4.0,0:33,2.0,1.0,WAS 34,24.0,16.0,Desmond Ridder spiked the ball,3.39,2.68,6.0,2023,82
4.0,0:31,,,,,,Timeout #3 by Atlanta Falcons,,,6.0,2023,82
4.0,0:31,3.0,1.0,WAS 34,24.0,16.0,Desmond Ridder pass short left intended for Bijan Robinson is intercepted by Jamin Davis at WAS-26 and returned for no gain (tackle by Kyle Pitts),2.68,-0.67,6.0,2023,82
4.0,0:26,1.0,10.0,WAS 26,24.0,16.0,Sam Howell kneels for -1 yards,0.67,-0.01,6.0,2023,82
