Quarter,Time,Down,ToGo,Location,DEN,KAN,Detail,EPB,EPA,week,year,game_id
1.0,5:40,,,KAN 35,0.0,3.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,79
1.0,5:40,1.0,10.0,DEN 25,0.0,3.0,Javonte Williams up the middle for 18 yards (tackle by L'Jarius Sneed),0.61,1.8,6.0,2023,79
1.0,5:00,1.0,10.0,DEN 43,0.0,3.0,Russell Wilson pass short left intended for Jerry Jeudy is intercepted by Nick Bolton at KC-42 and returned for 1 yard (tackle by Jerry Jeudy),1.8,-1.8,6.0,2023,79
1.0,4:53,1.0,10.0,KAN 43,0.0,3.0,"Patrick Mahomes pass complete deep right to Travis Kelce for 40 yards (tackle by Justin Simmons). Penalty on Damarri Mathis: Defensive Holding, 5 yards (declined)",1.8,4.44,6.0,2023,79
1.0,4:24,1.0,10.0,DEN 17,0.0,3.0,Kadarius Toney left end for -3 yards (tackle by Ja'Quan McMillian),4.44,3.49,6.0,2023,79
1.0,3:49,2.0,13.0,DEN 20,0.0,3.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 5 yards (tackle by Josey Jewell and Alex Singleton),3.49,3.34,6.0,2023,79
1.0,3:00,3.0,8.0,DEN 15,0.0,3.0,Patrick Mahomes pass short right (defended by Jonathon Cooper) intended for Skyy Moore is intercepted by Justin Simmons at DEN-1 and returned for 6 yards (tackle by Rashee Rice),3.34,0.38,6.0,2023,79
1.0,2:55,1.0,10.0,DEN 7,0.0,3.0,Jaleel McLaughlin left end for 4 yards (tackle by George Karlaftis),-0.38,-0.49,6.0,2023,79
1.0,2:13,2.0,6.0,DEN 11,0.0,3.0,Jaleel McLaughlin left guard for 5 yards (tackle by Willie Gay),-0.49,-0.37,6.0,2023,79
1.0,1:51,3.0,1.0,DEN 16,0.0,3.0,Russell Wilson up the middle for 2 yards (tackle by Drue Tranquill),-0.37,0.04,6.0,2023,79
1.0,1:11,1.0,10.0,DEN 18,0.0,3.0,Russell Wilson pass complete short right to Jerry Jeudy for 2 yards (tackle by Drue Tranquill),0.04,-0.13,6.0,2023,79
1.0,0:37,2.0,8.0,DEN 20,0.0,3.0,Jaleel McLaughlin left guard for 7 yards (tackle by Willie Gay and Bryan Cook),-0.13,-0.02,6.0,2023,79
2.0,15:00,3.0,1.0,DEN 27,0.0,3.0,Michael Burton right guard for -1 yards (tackle by Malik Herring and L'Jarius Sneed),-0.02,-1.63,6.0,2023,79
2.0,14:27,4.0,2.0,DEN 26,0.0,3.0,"Riley Dixon punts 41 yards, returned by Montrell Washington for 10 yards (tackle by Alex Singleton)",-1.63,-1.8,6.0,2023,79
2.0,14:20,1.0,10.0,KAN 43,0.0,3.0,Isiah Pacheco left tackle for 5 yards (tackle by Josey Jewell and Zach Allen),1.8,1.93,6.0,2023,79
2.0,13:50,2.0,5.0,KAN 48,0.0,3.0,Isiah Pacheco left guard for no gain (tackle by Patrick Surtain),1.93,1.22,6.0,2023,79
2.0,13:15,3.0,5.0,KAN 48,0.0,3.0,"Penalty on Ronnie Perkins: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.22,2.46,6.0,2023,79
2.0,12:47,1.0,10.0,DEN 47,0.0,3.0,Patrick Mahomes pass complete short left to Kadarius Toney for 5 yards (tackle by Patrick Surtain),2.46,2.59,6.0,2023,79
2.0,12:24,2.0,5.0,DEN 42,0.0,3.0,"Patrick Mahomes pass incomplete deep right. Penalty on Jawaan Taylor: Offensive Holding, 10 yards (accepted) (no play)",2.59,1.24,6.0,2023,79
2.0,12:15,2.0,15.0,KAN 48,0.0,3.0,Clyde Edwards-Helaire up the middle for 7 yards (tackle by Nik Bonitto and Josey Jewell),1.24,1.49,6.0,2023,79
2.0,11:35,3.0,8.0,DEN 45,0.0,3.0,Patrick Mahomes pass complete short middle to Travis Kelce for 15 yards (tackle by Patrick Surtain),1.49,3.58,6.0,2023,79
2.0,10:53,1.0,10.0,DEN 30,0.0,3.0,Patrick Mahomes pass complete short right to Isiah Pacheco for 9 yards (tackle by Justin Simmons),3.58,4.25,6.0,2023,79
2.0,10:11,2.0,1.0,DEN 21,0.0,3.0,Isiah Pacheco up the middle for 7 yards (tackle by Josey Jewell),4.25,4.65,6.0,2023,79
2.0,9:39,1.0,10.0,DEN 14,0.0,3.0,Isiah Pacheco left end for -1 yards (tackle by Ja'Quan McMillian),4.65,3.85,6.0,2023,79
2.0,8:58,2.0,11.0,DEN 15,0.0,3.0,Patrick Mahomes pass complete short middle to Travis Kelce for 9 yards (tackle by Kareem Jackson),3.85,4.73,6.0,2023,79
2.0,8:17,3.0,2.0,DEN 6,0.0,3.0,Patrick Mahomes pass incomplete short right intended for Skyy Moore,4.73,3.01,6.0,2023,79
2.0,8:10,4.0,2.0,DEN 6,0.0,3.0,Noah Gray up the middle for 1 yard (tackle by Josey Jewell),3.01,0.38,6.0,2023,79
2.0,8:04,1.0,10.0,DEN 5,0.0,3.0,Javonte Williams right guard for 2 yards (tackle by Michael Danna),-0.38,-0.63,6.0,2023,79
2.0,7:25,2.0,8.0,DEN 7,0.0,3.0,Russell Wilson pass complete short right to Greg Dulcich for 3 yards (tackle by Willie Gay),-0.63,-0.84,6.0,2023,79
2.0,6:40,3.0,5.0,DEN 10,0.0,3.0,Russell Wilson pass incomplete short right intended for Jerry Jeudy (defended by George Karlaftis),-0.84,-2.49,6.0,2023,79
2.0,6:36,4.0,5.0,DEN 10,0.0,3.0,"Riley Dixon punts 52 yards, recovered by Montrell Washington at KC-38 (tackle by Tremon Smith)",-2.49,-1.47,6.0,2023,79
2.0,6:28,1.0,10.0,KAN 38,0.0,3.0,Patrick Mahomes pass complete short right to Travis Kelce for 13 yards (tackle by Alex Singleton),1.47,2.32,6.0,2023,79
2.0,5:51,1.0,10.0,DEN 49,0.0,3.0,Patrick Mahomes pass complete short left to Noah Gray for 6 yards (tackle by Kareem Jackson),2.32,2.59,6.0,2023,79
2.0,5:18,2.0,4.0,DEN 43,0.0,3.0,Isiah Pacheco right end for 15 yards (tackle by Jonathan Harris),2.59,3.71,6.0,2023,79
2.0,4:37,1.0,10.0,DEN 28,0.0,3.0,Patrick Mahomes pass complete deep right to Travis Kelce for 19 yards (tackle by Patrick Surtain),3.71,5.14,6.0,2023,79
2.0,3:52,1.0,9.0,DEN 9,0.0,3.0,Patrick Mahomes pass incomplete short left,5.14,4.38,6.0,2023,79
2.0,3:43,2.0,9.0,DEN 9,0.0,3.0,Isiah Pacheco right guard for 6 yards (tackle by Mike Purcell),4.38,4.72,6.0,2023,79
2.0,3:09,3.0,3.0,DEN 3,0.0,9.0,"Patrick Mahomes pass complete short right to Kadarius Toney for 3 yards, touchdown",4.72,7.0,6.0,2023,79
2.0,3:06,,,DEN 15,0.0,9.0,"Penalty on Trey Smith: False Start, 5 yards (accepted) (no play)",0.0,0.0,6.0,2023,79
2.0,3:06,,,DEN 20,0.0,10.0,Harrison Butker kicks extra point good,0.0,0.0,6.0,2023,79
2.0,3:06,,,KAN 35,0.0,10.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,79
2.0,3:06,1.0,10.0,DEN 25,0.0,10.0,Russell Wilson pass incomplete short right intended for Chris Manhertz (defended by George Karlaftis),0.61,0.06,6.0,2023,79
2.0,3:03,2.0,10.0,DEN 25,0.0,10.0,Javonte Williams left tackle for 8 yards (tackle by Nick Bolton and Joshua Williams),0.06,0.43,6.0,2023,79
2.0,2:18,3.0,2.0,DEN 33,0.0,10.0,Russell Wilson sacked by Drue Tranquill for -3 yards,0.43,-1.37,6.0,2023,79
2.0,2:00,4.0,5.0,DEN 30,0.0,10.0,Riley Dixon punts 51 yards,-1.37,-0.15,6.0,2023,79
2.0,1:49,1.0,10.0,KAN 19,0.0,10.0,Patrick Mahomes pass complete short right to Jerick McKinnon for 5 yards (tackle by Alex Singleton),0.15,0.34,6.0,2023,79
2.0,1:27,2.0,5.0,KAN 24,0.0,10.0,"Patrick Mahomes pass deep middle is intercepted by Kareem Jackson at KC-40 and returned for no gain. Penalty on Damarri Mathis: Defensive Pass Interference, 24 yards (accepted) (no play)",0.34,2.13,6.0,2023,79
2.0,1:17,1.0,10.0,KAN 48,0.0,10.0,Patrick Mahomes pass incomplete short right intended for Kadarius Toney (defended by Damarri Mathis),2.13,1.58,6.0,2023,79
2.0,1:14,2.0,10.0,KAN 48,0.0,10.0,Patrick Mahomes pass incomplete short left intended for Jerick McKinnon,1.58,0.89,6.0,2023,79
2.0,1:08,3.0,10.0,KAN 48,0.0,10.0,"Patrick Mahomes pass incomplete short right. Penalty on Donovan Smith: Offensive Holding, 10 yards (declined) . Penalty on Patrick Mahomes: Intentional Grounding, 16 yards (accepted)",0.89,-1.24,6.0,2023,79
2.0,1:01,4.0,26.0,KAN 32,0.0,10.0,"Tommy Townsend punts 62 yards, returned by Marvin Mims for 18 yards (tackle by Noah Gray)",-1.24,-0.54,6.0,2023,79
2.0,0:47,1.0,10.0,DEN 24,0.0,10.0,Russell Wilson pass complete short right to Samaje Perine for 15 yards (tackle by Mike Edwards),0.54,1.53,6.0,2023,79
2.0,0:41,1.0,10.0,DEN 39,0.0,10.0,Russell Wilson pass incomplete short right intended for Courtland Sutton (defended by Jaylen Watson),1.53,0.99,6.0,2023,79
2.0,0:37,2.0,10.0,DEN 39,0.0,10.0,Russell Wilson pass complete short right to Courtland Sutton for 5 yards (tackle by Joshua Williams),0.99,0.96,6.0,2023,79
2.0,0:28,,,,,,Timeout #2 by Denver Broncos,,,6.0,2023,79
2.0,0:28,3.0,5.0,DEN 44,0.0,10.0,Russell Wilson sacked by and Chris Jones for -7 yards and George Karlaftis for -7 yards,0.96,-0.91,6.0,2023,79
2.0,0:15,,,,,,Timeout #3 by Denver Broncos,,,6.0,2023,79
2.0,0:15,4.0,12.0,DEN 37,0.0,10.0,"Riley Dixon punts 29 yards downed by Riley Moss. Penalty on Riley Moss: Illegal Touch Kick, 5 yards (accepted)",-0.91,-1.53,6.0,2023,79
2.0,0:15,1.0,10.0,KAN 39,0.0,10.0,Patrick Mahomes pass complete short left to Jerick McKinnon for 6 yards (tackle by Ja'Quan McMillian),1.53,1.8,6.0,2023,79
2.0,0:11,,,,,,Timeout #1 by Kansas City Chiefs,,,6.0,2023,79
2.0,0:11,2.0,4.0,KAN 45,0.0,10.0,Patrick Mahomes scrambles left guard for 13 yards (tackle by Ja'Quan McMillian),1.8,2.79,6.0,2023,79
2.0,0:04,,,,,,Timeout #2 by Kansas City Chiefs,,,6.0,2023,79
2.0,0:04,1.0,10.0,DEN 42,0.0,13.0,Harrison Butker 60 yard field goal good,2.79,3.0,6.0,2023,79
3.0,15:00,,,DEN 35,0.0,13.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,79
3.0,15:00,1.0,10.0,KAN 25,0.0,13.0,Isiah Pacheco up the middle for 6 yards (tackle by Jonathan Harris),0.61,0.87,6.0,2023,79
3.0,14:28,2.0,4.0,KAN 31,0.0,13.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 5 yards (tackle by Alex Singleton),0.87,1.33,6.0,2023,79
3.0,13:55,1.0,10.0,KAN 36,0.0,13.0,Isiah Pacheco right end for 2 yards (tackle by Alex Singleton),1.33,1.06,6.0,2023,79
3.0,13:19,2.0,8.0,KAN 38,0.0,13.0,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 9 yards (tackle by Josey Jewell),1.06,2.06,6.0,2023,79
3.0,12:39,1.0,10.0,KAN 47,0.0,13.0,Patrick Mahomes pass complete short right to Travis Kelce for 12 yards (tackle by Alex Singleton),2.06,2.85,6.0,2023,79
3.0,12:06,1.0,10.0,DEN 41,0.0,13.0,Patrick Mahomes pass complete short left to Skyy Moore for 10 yards (tackle by Patrick Surtain),2.85,3.51,6.0,2023,79
3.0,11:34,1.0,10.0,DEN 31,0.0,13.0,Kadarius Toney pass incomplete deep right intended for Jerick McKinnon,3.51,2.97,6.0,2023,79
3.0,11:23,2.0,10.0,DEN 31,0.0,13.0,Patrick Mahomes pass complete short right to Rashee Rice for 23 yards (tackle by Ja'Quan McMillian),2.97,5.37,6.0,2023,79
3.0,10:44,1.0,8.0,DEN 8,0.0,13.0,Clyde Edwards-Helaire up the middle for no gain (tackle by Josey Jewell),5.37,4.57,6.0,2023,79
3.0,10:10,2.0,8.0,DEN 8,0.0,13.0,Patrick Mahomes pass complete short right to Isiah Pacheco for 1 yard (tackle by Josey Jewell),4.57,3.81,6.0,2023,79
3.0,9:28,3.0,7.0,DEN 7,0.0,13.0,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,3.81,2.97,6.0,2023,79
3.0,9:19,4.0,7.0,DEN 7,0.0,16.0,Harrison Butker 25 yard field goal good,2.97,3.0,6.0,2023,79
3.0,9:16,,,KAN 35,0.0,16.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,79
3.0,9:16,1.0,10.0,DEN 25,0.0,16.0,Jaleel McLaughlin right end for 4 yards (tackle by L'Jarius Sneed),0.61,0.6,6.0,2023,79
3.0,8:37,2.0,6.0,DEN 29,0.0,16.0,"Russell Wilson pass incomplete deep left intended for Courtland Sutton. Penalty on Jaylen Watson: Defensive Pass Interference, 17 yards (accepted) (no play)",0.6,1.99,6.0,2023,79
3.0,8:33,1.0,10.0,DEN 46,0.0,16.0,Jaleel McLaughlin right end for 1 yard (tackle by Derrick Nnadi),1.99,1.59,6.0,2023,79
3.0,7:54,2.0,9.0,DEN 47,0.0,16.0,Russell Wilson pass complete short right to Jaleel McLaughlin for 7 yards (tackle by Nick Bolton and Justin Reid),1.59,1.82,6.0,2023,79
3.0,7:09,3.0,2.0,KAN 46,0.0,16.0,Javonte Williams right guard for 5 yards (tackle by Justin Reid),1.82,2.85,6.0,2023,79
3.0,6:27,1.0,10.0,KAN 41,0.0,16.0,Russell Wilson pass complete short right to Jerry Jeudy for 13 yards (tackle by Nick Bolton),2.85,3.71,6.0,2023,79
3.0,5:48,1.0,10.0,KAN 28,0.0,16.0,Russell Wilson pass short left (defended by Willie Gay) intended for Greg Dulcich is intercepted by Justin Reid at KC-25 and returned for 11 yards (tackle by Michael Burton),3.71,-1.33,6.0,2023,79
3.0,5:38,1.0,10.0,KAN 36,0.0,16.0,Patrick Mahomes pass complete short right to Noah Gray for 1 yard (tackle by Justin Simmons),1.33,0.93,6.0,2023,79
3.0,5:01,2.0,9.0,KAN 37,0.0,16.0,Patrick Mahomes sacked by Jonathon Cooper for -2 yards,0.93,-0.03,6.0,2023,79
3.0,4:17,3.0,11.0,KAN 35,0.0,16.0,Patrick Mahomes scrambles right end for 15 yards (tackle by Kareem Jackson),-0.03,2.26,6.0,2023,79
3.0,3:38,1.0,10.0,DEN 50,0.0,16.0,Isiah Pacheco left guard for 2 yards (tackle by Ronnie Perkins and Matt Henningsen),2.26,1.98,6.0,2023,79
3.0,3:00,2.0,8.0,DEN 48,0.0,16.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 7 yards (tackle by Nik Bonitto and Mike Purcell),1.98,2.21,6.0,2023,79
3.0,2:00,3.0,1.0,DEN 41,0.0,16.0,Kadarius Toney left end for -2 yards (tackle by Nik Bonitto and Tyler Lancaster),2.21,0.4,6.0,2023,79
3.0,1:34,4.0,3.0,DEN 43,0.0,16.0,Tommy Townsend punts 40 yards downed by Jerick McKinnon,0.4,0.38,6.0,2023,79
3.0,1:27,1.0,10.0,DEN 5,0.0,16.0,Javonte Williams right end for -2 yards (tackle by Leo Chenal),-0.38,-0.93,6.0,2023,79
3.0,0:48,2.0,12.0,DEN 3,0.0,16.0,Russell Wilson scrambles right end for 12 yards (tackle by Leo Chenal),-0.93,-0.22,6.0,2023,79
3.0,0:11,1.0,10.0,DEN 15,0.0,16.0,Russell Wilson scrambles left guard for 9 yards (tackle by Nick Bolton),-0.22,0.62,6.0,2023,79
4.0,15:00,2.0,1.0,DEN 24,0.0,16.0,Russell Wilson sacked by and Malik Herring for no gain and Chris Jones for no gain,0.62,-0.27,6.0,2023,79
4.0,14:12,3.0,1.0,DEN 24,0.0,16.0,Javonte Williams right end for 3 yards (tackle by L'Jarius Sneed),-0.27,0.74,6.0,2023,79
4.0,13:33,1.0,10.0,DEN 27,0.0,16.0,Russell Wilson pass incomplete short right intended for Courtland Sutton,0.74,0.2,6.0,2023,79
4.0,13:06,2.0,10.0,DEN 27,0.0,16.0,Russell Wilson pass incomplete short right intended for Brandon Johnson (defended by Chris Jones),0.2,-0.49,6.0,2023,79
4.0,13:05,3.0,10.0,DEN 27,0.0,16.0,Russell Wilson pass incomplete deep right intended for Brandon Johnson (defended by Jaylen Watson),-0.49,-1.57,6.0,2023,79
4.0,13:00,4.0,10.0,DEN 27,0.0,16.0,"Riley Dixon punts 51 yards, returned by Montrell Washington for no gain. Montrell Washington fumbles (forced by Mitchell Fraboni) (tackle by Riley Dixon). Montrell Washington fumbles out of bounds. Penalty on Cam Jones: Offensive Holding, 10 yards (accepted)",-1.57,0.35,6.0,2023,79
4.0,12:45,1.0,10.0,KAN 12,0.0,16.0,Isiah Pacheco up the middle for 3 yards (tackle by Alex Singleton),-0.35,-0.5,6.0,2023,79
4.0,12:10,2.0,7.0,KAN 15,0.0,16.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 9 yards (tackle by Alex Singleton),-0.5,0.54,6.0,2023,79
4.0,11:32,1.0,10.0,KAN 24,0.0,16.0,Isiah Pacheco right end for -1 yards (tackle by Ja'Quan McMillian and Ronnie Perkins),0.54,-0.14,6.0,2023,79
4.0,10:51,2.0,11.0,KAN 23,0.0,16.0,Patrick Mahomes pass incomplete deep right intended for Justin Watson,-0.14,-0.82,6.0,2023,79
4.0,10:43,3.0,11.0,KAN 23,0.0,16.0,"Patrick Mahomes pass complete short right to Jerick McKinnon for 9 yards (tackle by Justin Simmons). Penalty on Marquez Valdes-Scantling: Illegal Blindside Block, 15 yards (accepted)",-0.82,-1.85,6.0,2023,79
4.0,10:12,3.0,17.0,KAN 17,0.0,16.0,Patrick Mahomes pass complete short left to Rashee Rice for 14 yards (tackle by Alex Singleton and Kareem Jackson),-1.85,-1.31,6.0,2023,79
4.0,9:32,4.0,3.0,KAN 31,0.0,16.0,"Tommy Townsend punts 42 yards, returned by Marvin Mims for 12 yards (tackle by Jack Cochrane)",-1.31,-1.53,6.0,2023,79
4.0,9:22,1.0,10.0,DEN 39,0.0,16.0,Russell Wilson pass complete deep left to Courtland Sutton for 21 yards,1.53,2.92,6.0,2023,79
4.0,8:51,1.0,10.0,KAN 40,0.0,16.0,Javonte Williams right end for 5 yards (tackle by George Karlaftis),2.92,3.05,6.0,2023,79
4.0,8:17,2.0,5.0,KAN 35,0.0,16.0,Russell Wilson scrambles right end for 8 yards (tackle by Justin Reid),3.05,3.78,6.0,2023,79
4.0,7:38,1.0,10.0,KAN 27,0.0,16.0,Javonte Williams up the middle for no gain (tackle by Chris Jones),3.78,3.23,6.0,2023,79
4.0,7:00,2.0,10.0,KAN 27,0.0,16.0,Russell Wilson pass complete short right to Jaleel McLaughlin for 5 yards (tackle by Jaylen Watson),3.23,3.2,6.0,2023,79
4.0,6:17,3.0,5.0,KAN 22,0.0,16.0,"Russell Wilson pass incomplete intended for Jerry Jeudy. Penalty on Mike Edwards: Roughing the Passer, 11 yards (accepted) (no play)",3.2,4.84,6.0,2023,79
4.0,6:11,1.0,10.0,KAN 11,6.0,16.0,"Russell Wilson pass incomplete intended for Courtland Sutton Replay Assistant challenged the pass completion ruling, and the original play was overturned. Russell Wilson pass complete short left to Courtland Sutton for 11 yards, touchdown",4.84,7.0,6.0,2023,79
4.0,6:07,,,KAN 2,8.0,16.0,"Two Point Attempt: Javonte Williams rushes, conversion succeeds.",1.0,1.0,6.0,2023,79
4.0,6:07,,,DEN 35,8.0,16.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,79
4.0,6:07,1.0,10.0,KAN 25,8.0,16.0,Patrick Mahomes pass complete short middle to Travis Kelce for 3 yards (tackle by Alex Singleton),0.61,0.47,6.0,2023,79
4.0,5:24,2.0,7.0,KAN 28,8.0,16.0,Patrick Mahomes scrambles right end for 5 yards (tackle by Jonathon Cooper),0.47,0.43,6.0,2023,79
4.0,4:47,3.0,2.0,KAN 33,8.0,16.0,Patrick Mahomes pass complete short right to Rashee Rice for 28 yards (tackle by Kareem Jackson),0.43,2.98,6.0,2023,79
4.0,4:05,1.0,10.0,DEN 39,8.0,16.0,Isiah Pacheco left guard for 4 yards (tackle by Zach Allen),2.98,2.98,6.0,2023,79
4.0,3:25,2.0,6.0,DEN 35,8.0,16.0,Patrick Mahomes pass complete short left to Skyy Moore for 12 yards (tackle by Damarri Mathis),2.98,4.04,6.0,2023,79
4.0,3:04,,,,,,Timeout #1 by Denver Broncos,,,6.0,2023,79
4.0,3:04,1.0,10.0,DEN 23,8.0,16.0,Isiah Pacheco right end for -1 yards (tackle by Justin Simmons),4.04,3.36,6.0,2023,79
4.0,2:59,,,,,,Timeout #2 by Denver Broncos,,,6.0,2023,79
4.0,2:59,2.0,11.0,DEN 24,8.0,16.0,Patrick Mahomes pass complete short middle to Kadarius Toney for 1 yard (tackle by Jonathon Cooper),3.36,2.81,6.0,2023,79
4.0,2:17,3.0,10.0,DEN 23,8.0,16.0,Patrick Mahomes sacked by Zach Allen for -11 yards,2.81,1.06,6.0,2023,79
4.0,2:00,4.0,21.0,DEN 34,8.0,19.0,Harrison Butker 52 yard field goal good,1.06,3.0,6.0,2023,79
4.0,1:55,,,KAN 35,8.0,19.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,79
4.0,1:55,1.0,10.0,DEN 25,8.0,19.0,Russell Wilson pass incomplete deep right intended for Adam Trautman (defended by Mike Edwards),0.61,0.06,6.0,2023,79
4.0,1:50,2.0,10.0,DEN 25,8.0,19.0,"Russell Wilson pass complete short right to Samaje Perine for 1 yard. Samaje Perine fumbles (forced by Trent McDuffie), recovered by Willie Gay at DEN-26 and returned for 1 yard (tackle by Trent McDuffie)",0.06,-3.91,6.0,2023,79
4.0,1:42,1.0,10.0,DEN 25,8.0,19.0,Patrick Mahomes kneels for -1 yards,3.91,3.23,6.0,2023,79
4.0,0:55,2.0,11.0,DEN 26,8.0,19.0,Patrick Mahomes kneels for no gain,3.23,2.54,6.0,2023,79
4.0,0:26,3.0,11.0,DEN 26,8.0,19.0,Patrick Mahomes kneels for -1 yards,2.54,1.67,6.0,2023,79
