Quarter,Time,Down,ToGo,Location,NOR,HOU,Detail,EPB,EPA,week,year,game_id
1.0,6:05,2.0,8.0,HOU 44,0.0,0.0,"C.J. Stroud pass short right intended for Dalton Schultz is intercepted by Zack Baun at NO-45 and returned for 10 yards. Zack Baun fumbles (forced by Nico Collins), recovered by Tytus Howard at HOU-41 (tackle by Nico Collins)",1.46,1.66,6.0,2023,87
1.0,5:56,1.0,10.0,HOU 41,0.0,0.0,Devin Singletary left tackle for 4 yards (tackle by Demario Davis),1.66,1.66,6.0,2023,87
1.0,5:20,2.0,6.0,HOU 45,0.0,0.0,Devin Singletary left end for 17 yards (tackle by Tyrann Mathieu),1.66,3.05,6.0,2023,87
1.0,4:44,1.0,10.0,NOR 38,0.0,0.0,C.J. Stroud pass incomplete short middle intended for Devin Singletary,3.05,2.51,6.0,2023,87
1.0,4:39,2.0,10.0,NOR 38,0.0,0.0,C.J. Stroud pass complete deep left to Noah Brown for 34 yards (tackle by Tyrann Mathieu),2.51,6.28,6.0,2023,87
1.0,3:55,1.0,4.0,NOR 4,0.0,0.0,Xavier Hutchinson left end for 3 yards (tackle by Pete Werner),6.28,5.91,6.0,2023,87
1.0,3:45,2.0,1.0,NOR 1,0.0,6.0,"C.J. Stroud pass complete short right to Dalton Schultz for 1 yard, touchdown",5.91,7.0,6.0,2023,87
1.0,3:41,,,NOR 15,0.0,7.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,6.0,2023,87
1.0,3:41,,,HOU 35,0.0,7.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,87
1.0,3:41,1.0,10.0,NOR 25,0.0,7.0,Alvin Kamara right tackle for 7 yards (tackle by Jalen Pitre and Christian Harris),0.61,1.01,6.0,2023,87
1.0,3:07,2.0,3.0,NOR 32,0.0,7.0,Kendre Miller right tackle for 3 yards (tackle by Maliek Collins and Sheldon Rankins),1.01,1.27,6.0,2023,87
1.0,2:34,1.0,10.0,NOR 35,0.0,7.0,Derek Carr pass incomplete deep right intended for Taysom Hill (defended by Blake Cashman),1.27,0.72,6.0,2023,87
1.0,2:26,2.0,10.0,NOR 35,0.0,7.0,Derek Carr pass complete short middle to Michael Thomas for 16 yards (tackle by Jalen Pitre),0.72,2.32,6.0,2023,87
1.0,2:02,1.0,10.0,HOU 49,0.0,7.0,Derek Carr pass complete short middle to Michael Thomas for 8 yards (tackle by Steven Nelson),2.32,2.86,6.0,2023,87
1.0,1:27,2.0,2.0,HOU 41,0.0,7.0,Alvin Kamara right end for 4 yards (tackle by Blake Cashman and Maliek Collins),2.86,3.12,6.0,2023,87
1.0,0:58,1.0,10.0,HOU 37,0.0,7.0,Derek Carr pass incomplete short left intended for Rashid Shaheed,3.12,2.57,6.0,2023,87
1.0,0:54,2.0,10.0,HOU 37,0.0,7.0,Alvin Kamara left guard for 3 yards (tackle by Sheldon Rankins),2.57,2.28,6.0,2023,87
1.0,0:18,3.0,7.0,HOU 34,6.0,7.0,"Derek Carr pass complete deep middle to Rashid Shaheed for 34 yards, touchdown",2.28,7.0,6.0,2023,87
1.0,0:13,,,HOU 15,7.0,7.0,Blake Grupe kicks extra point good,0.0,0.0,6.0,2023,87
1.0,0:13,,,NOR 35,7.0,7.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,87
1.0,0:13,1.0,10.0,HOU 25,7.0,7.0,Dameon Pierce left guard for 7 yards (tackle by Demario Davis),0.61,1.01,6.0,2023,87
2.0,15:00,2.0,3.0,HOU 32,7.0,7.0,Dameon Pierce up the middle for 4 yards (tackle by Pete Werner and Demario Davis),1.01,1.33,6.0,2023,87
2.0,14:25,1.0,10.0,HOU 36,7.0,7.0,C.J. Stroud pass complete short middle to Brevin Jordan for 11 yards (tackle by Marshon Lattimore),1.33,2.06,6.0,2023,87
2.0,13:48,1.0,10.0,HOU 47,7.0,7.0,Mike Boone left end for 11 yards (tackle by Marcus Maye),2.06,2.79,6.0,2023,87
2.0,13:18,1.0,10.0,NOR 42,7.0,7.0,Dameon Pierce left end for 6 yards (tackle by Marshon Lattimore),2.79,3.05,6.0,2023,87
2.0,12:42,2.0,4.0,NOR 36,7.0,7.0,C.J. Stroud pass incomplete short left,3.05,2.34,6.0,2023,87
2.0,12:37,3.0,4.0,NOR 36,7.0,7.0,C.J. Stroud pass complete deep right to Nico Collins for 24 yards,2.34,4.78,6.0,2023,87
2.0,11:56,1.0,10.0,NOR 12,7.0,7.0,Devin Singletary right guard for 3 yards (tackle by Khalen Saunders and Pete Werner),4.78,4.64,6.0,2023,87
2.0,11:17,2.0,7.0,NOR 9,7.0,7.0,C.J. Stroud pass complete short right to Devin Singletary for 4 yards (tackle by Paulson Adebo),4.64,4.61,6.0,2023,87
2.0,10:48,3.0,3.0,NOR 5,7.0,7.0,C.J. Stroud pass incomplete short right intended for Noah Brown (defended by Tyrann Mathieu),4.61,3.02,6.0,2023,87
2.0,10:30,4.0,3.0,NOR 5,7.0,10.0,Ka'imi Fairbairn 24 yard field goal good,3.02,3.0,6.0,2023,87
2.0,10:28,,,HOU 35,7.0,10.0,"Ka'imi Fairbairn kicks off 65 yards, returned by Rashid Shaheed for 19 yards (tackle by Neville Hewitt)",0.0,0.15,6.0,2023,87
2.0,10:24,1.0,10.0,NOR 19,7.0,10.0,Derek Carr pass incomplete deep left intended for Chris Olave,0.15,-0.39,6.0,2023,87
2.0,10:19,2.0,10.0,NOR 19,7.0,10.0,Alvin Kamara left guard for 4 yards (tackle by Henry To'oTo'o),-0.39,-0.55,6.0,2023,87
2.0,9:44,3.0,6.0,NOR 23,7.0,10.0,Derek Carr pass complete short right to Alvin Kamara for no gain (tackle by Jimmie Ward),-0.55,-1.83,6.0,2023,87
2.0,9:23,4.0,6.0,NOR 23,7.0,10.0,Lou Hedley punts 42 yards out of bounds,-1.83,-1.27,6.0,2023,87
2.0,9:07,1.0,10.0,HOU 35,7.0,10.0,C.J. Stroud pass complete deep right to Nico Collins for 28 yards (tackle by Marshon Lattimore),1.27,3.12,6.0,2023,87
2.0,8:28,1.0,10.0,NOR 37,7.0,10.0,Devin Singletary left tackle for 11 yards (tackle by Marshon Lattimore),3.12,3.84,6.0,2023,87
2.0,7:50,1.0,10.0,NOR 26,7.0,10.0,Devin Singletary left tackle for 7 yards (tackle by Marcus Maye and Demario Davis),3.84,4.27,6.0,2023,87
2.0,7:12,2.0,3.0,NOR 19,7.0,10.0,Devin Singletary left guard for 2 yards (tackle by Pete Werner),4.27,3.95,6.0,2023,87
2.0,6:31,3.0,1.0,NOR 17,7.0,10.0,Devin Singletary left guard for 3 yards (tackle by Pete Werner),3.95,4.65,6.0,2023,87
2.0,5:55,1.0,10.0,NOR 14,7.0,10.0,Devin Singletary right tackle for 4 yards (tackle by Nathan Shepherd and Cameron Jordan),4.65,4.71,6.0,2023,87
2.0,5:13,2.0,6.0,NOR 10,7.0,10.0,Dameon Pierce right tackle for 8 yards (tackle by Marcus Maye and Carl Granderson),4.71,6.74,6.0,2023,87
2.0,4:28,1.0,2.0,NOR 2,7.0,10.0,Dameon Pierce left guard for -3 yards (tackle by Cameron Jordan and Tyrann Mathieu),6.74,5.15,6.0,2023,87
2.0,3:46,2.0,5.0,NOR 5,7.0,10.0,Dameon Pierce right guard for -1 yards (tackle by Marshon Lattimore),5.15,4.04,6.0,2023,87
2.0,2:59,,,,,,Timeout #1 by Houston Texans,,,6.0,2023,87
2.0,2:59,3.0,6.0,NOR 6,7.0,16.0,"C.J. Stroud pass complete short middle to Robert Woods for 6 yards, touchdown",4.04,7.0,6.0,2023,87
2.0,2:56,,,NOR 15,7.0,17.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,6.0,2023,87
2.0,2:56,,,HOU 35,7.0,17.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,87
2.0,2:56,1.0,10.0,NOR 25,7.0,17.0,Derek Carr pass complete short right to Taysom Hill for 6 yards (tackle by M.J. Stewart),0.61,0.87,6.0,2023,87
2.0,2:36,2.0,4.0,NOR 31,7.0,17.0,Derek Carr pass complete short left to Alvin Kamara for 2 yards (tackle by Jimmie Ward),0.87,0.43,6.0,2023,87
2.0,2:03,3.0,2.0,NOR 33,7.0,17.0,Derek Carr pass complete short middle to Chris Olave for 13 yards (tackle by Jalen Pitre),0.43,1.99,6.0,2023,87
2.0,1:58,1.0,10.0,NOR 46,7.0,17.0,Derek Carr pass complete short right to Taysom Hill for 5 yards (tackle by Jimmie Ward),1.99,2.13,6.0,2023,87
2.0,1:52,2.0,5.0,HOU 49,7.0,17.0,Derek Carr pass complete short right to Taysom Hill for 4 yards (tackle by Blake Cashman),2.13,1.95,6.0,2023,87
2.0,1:47,3.0,1.0,HOU 45,7.0,17.0,Derek Carr up the middle for 2 yards (tackle by Sheldon Rankins),1.95,2.72,6.0,2023,87
2.0,1:27,1.0,10.0,HOU 43,7.0,17.0,Derek Carr pass incomplete short right,2.72,2.18,6.0,2023,87
2.0,1:21,2.0,10.0,HOU 43,7.0,17.0,Derek Carr pass complete short left to Taysom Hill for 7 yards (tackle by Blake Cashman),2.18,2.41,6.0,2023,87
2.0,1:15,3.0,3.0,HOU 36,7.0,17.0,Derek Carr pass complete short right to Chris Olave for 11 yards (tackle by Shaquill Griffin),2.41,3.91,6.0,2023,87
2.0,1:06,,,,,,Timeout #1 by New Orleans Saints,,,6.0,2023,87
2.0,1:06,1.0,10.0,HOU 25,7.0,17.0,"Derek Carr pass incomplete short left. Penalty on Derek Carr: Intentional Grounding, 10 yards (accepted)",3.91,2.01,6.0,2023,87
2.0,0:45,2.0,20.0,HOU 35,7.0,17.0,Derek Carr pass complete short middle to Taysom Hill for 11 yards (tackle by M.J. Stewart),2.01,2.81,6.0,2023,87
2.0,0:31,3.0,9.0,HOU 24,7.0,17.0,Derek Carr pass incomplete deep right intended for Chris Olave,2.81,1.87,6.0,2023,87
2.0,0:22,4.0,9.0,HOU 24,7.0,17.0,"Penalty on Max Garcia: False Start, 5 yards (accepted) (no play)",1.87,1.5,6.0,2023,87
2.0,0:22,4.0,14.0,HOU 29,10.0,17.0,Blake Grupe 48 yard field goal good,1.5,3.0,6.0,2023,87
2.0,0:18,,,NOR 35,10.0,17.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,87
2.0,0:18,1.0,10.0,HOU 25,10.0,17.0,C.J. Stroud pass complete short left to Noah Brown for 3 yards (tackle by Carl Granderson),0.61,0.47,6.0,2023,87
3.0,15:00,,,HOU 35,10.0,17.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,87
3.0,15:00,1.0,10.0,NOR 25,10.0,17.0,Derek Carr pass complete short right to Chris Olave for 7 yards (tackle by Christian Harris and Shaquill Griffin),0.61,1.01,6.0,2023,87
3.0,14:20,2.0,3.0,NOR 32,10.0,17.0,Alvin Kamara left guard for 7 yards (tackle by Steven Nelson and Blake Cashman),1.01,1.53,6.0,2023,87
3.0,13:43,1.0,10.0,NOR 39,10.0,17.0,Alvin Kamara right tackle for no gain (tackle by Jonathan Greenard),1.53,0.99,6.0,2023,87
3.0,13:07,2.0,10.0,NOR 39,10.0,17.0,"Derek Carr pass incomplete short left. Penalty on Trevor Penning: Offensive Holding, 10 yards (accepted) (no play)",0.99,-0.36,6.0,2023,87
3.0,13:00,2.0,20.0,NOR 29,10.0,17.0,Derek Carr pass complete short right to Alvin Kamara for 6 yards (tackle by Blake Cashman),-0.36,-0.23,6.0,2023,87
3.0,12:24,3.0,14.0,NOR 35,10.0,17.0,Derek Carr sacked by and Jonathan Greenard for -5 yards and Maliek Collins for -5 yards,-0.23,-1.37,6.0,2023,87
3.0,11:41,4.0,19.0,NOR 30,10.0,17.0,"Lou Hedley punts 41 yards, returned by Robert Woods for no gain (tackle by Isaac Yiadom)",-1.37,-0.87,6.0,2023,87
3.0,11:32,1.0,10.0,HOU 29,10.0,17.0,Dameon Pierce right end for no gain (tackle by Nathan Shepherd and Carl Granderson),0.87,0.33,6.0,2023,87
3.0,10:53,2.0,10.0,HOU 29,10.0,17.0,Dameon Pierce left tackle for 1 yard (tackle by Nathan Shepherd and Zack Baun),0.33,-0.23,6.0,2023,87
3.0,10:12,3.0,9.0,HOU 30,10.0,17.0,C.J. Stroud pass incomplete short right intended for Robert Woods,-0.23,-1.37,6.0,2023,87
3.0,10:08,4.0,9.0,HOU 30,10.0,17.0,Cameron Johnston punts 63 yards downed by D'Angelo Ross,-1.37,0.38,6.0,2023,87
3.0,9:55,1.0,10.0,NOR 7,10.0,17.0,Alvin Kamara up the middle for no gain (tackle by Will Anderson),-0.38,-0.78,6.0,2023,87
3.0,9:27,2.0,10.0,NOR 7,10.0,17.0,Derek Carr pass incomplete short right intended for Kendre Miller,-0.78,-1.42,6.0,2023,87
3.0,9:22,3.0,10.0,NOR 7,10.0,17.0,Derek Carr pass incomplete short middle intended for Alvin Kamara,-1.42,-2.49,6.0,2023,87
3.0,9:17,4.0,10.0,NOR 7,10.0,17.0,"Lou Hedley punts 43 yards, fair catch by Robert Woods at 50",-2.49,-2.26,6.0,2023,87
3.0,9:10,1.0,10.0,HOU 50,10.0,17.0,C.J. Stroud pass complete deep left to Dalton Schultz for 31 yards (tackle by Zack Baun),2.26,4.31,6.0,2023,87
3.0,8:26,1.0,10.0,NOR 19,10.0,17.0,Devin Singletary left guard for 4 yards (tackle by Marshon Lattimore and Zack Baun),4.31,4.35,6.0,2023,87
3.0,8:00,2.0,6.0,NOR 15,10.0,17.0,"C.J. Stroud pass incomplete short left intended for Nico Collins. Penalty on Marshon Lattimore: Defensive Pass Interference, 14 yards (accepted) (no play)",4.35,6.97,6.0,2023,87
3.0,7:56,1.0,1.0,NOR 1,10.0,17.0,C.J. Stroud pass incomplete short left intended for Dalton Schultz (defended by Demario Davis),6.97,5.91,6.0,2023,87
3.0,7:53,2.0,1.0,NOR 1,10.0,17.0,Dameon Pierce left guard for -3 yards (tackle by Carl Granderson),5.91,4.49,6.0,2023,87
3.0,7:14,3.0,4.0,NOR 4,10.0,17.0,C.J. Stroud pass incomplete short right intended for Noah Brown,4.49,3.03,6.0,2023,87
3.0,7:03,4.0,4.0,NOR 4,10.0,20.0,Ka'imi Fairbairn 22 yard field goal good,3.03,3.0,6.0,2023,87
3.0,7:01,,,HOU 35,10.0,20.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,87
3.0,7:01,1.0,10.0,NOR 25,10.0,20.0,Alvin Kamara right guard for 3 yards (tackle by Jerry Hughes),0.61,0.47,6.0,2023,87
3.0,6:25,2.0,7.0,NOR 28,10.0,20.0,Derek Carr pass complete deep right to Foster Moreau for 17 yards (tackle by Henry To'oTo'o),0.47,1.93,6.0,2023,87
3.0,5:49,1.0,10.0,NOR 45,10.0,20.0,Derek Carr pass complete short right to Michael Thomas for 9 yards (tackle by Shaquill Griffin),1.93,2.6,6.0,2023,87
3.0,5:21,2.0,1.0,HOU 46,10.0,20.0,Alvin Kamara left tackle for 2 yards (tackle by Sheldon Rankins and Will Anderson),2.6,2.65,6.0,2023,87
3.0,4:51,1.0,10.0,HOU 44,10.0,20.0,Rashid Shaheed left end for 6 yards (tackle by Henry To'oTo'o),2.65,2.92,6.0,2023,87
3.0,4:11,2.0,4.0,HOU 38,10.0,20.0,Derek Carr pass complete deep right to Chris Olave for 24 yards (tackle by Jimmie Ward),2.92,4.65,6.0,2023,87
3.0,3:37,1.0,10.0,HOU 14,10.0,20.0,"Derek Carr pass incomplete. Penalty on Erik McCoy: Offensive Holding, 10 yards (accepted) (no play)",4.65,3.97,6.0,2023,87
3.0,3:30,1.0,20.0,HOU 24,10.0,20.0,Derek Carr pass complete short middle to Taysom Hill for 8 yards (tackle by Henry To'oTo'o),3.97,3.72,6.0,2023,87
3.0,2:51,2.0,12.0,HOU 16,10.0,20.0,"Derek Carr sacked by Sheldon Rankins for -11 yards. Penalty on Cameron Erving: Tripping / Offense, 10 yards (declined)",3.72,1.69,6.0,2023,87
3.0,2:25,3.0,23.0,HOU 27,10.0,20.0,Derek Carr pass incomplete short left intended for Rashid Shaheed (defended by Blake Cashman),1.69,1.67,6.0,2023,87
3.0,2:21,4.0,23.0,HOU 27,13.0,20.0,Blake Grupe 45 yard field goal good,1.67,3.0,6.0,2023,87
3.0,2:17,,,NOR 35,13.0,20.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,87
3.0,2:17,1.0,10.0,HOU 25,13.0,20.0,C.J. Stroud sacked by Demario Davis for -12 yards,0.61,-1.64,6.0,2023,87
3.0,1:35,2.0,22.0,HOU 13,13.0,20.0,C.J. Stroud pass complete short left to Dalton Schultz for 10 yards (tackle by Alontae Taylor),-1.64,-0.89,6.0,2023,87
3.0,0:54,3.0,12.0,HOU 23,13.0,20.0,C.J. Stroud pass incomplete short left intended for Nico Collins,-0.89,-1.83,6.0,2023,87
3.0,0:49,4.0,12.0,HOU 23,13.0,20.0,"Cameron Johnston punts 46 yards, fair catch by Rashid Shaheed at NO-31",-1.83,-1.0,6.0,2023,87
3.0,0:42,1.0,10.0,NOR 31,13.0,20.0,Derek Carr pass complete deep right to Chris Olave for 19 yards (tackle by Shaquill Griffin),1.0,2.26,6.0,2023,87
3.0,0:12,1.0,10.0,HOU 50,13.0,20.0,Alvin Kamara left end for 5 yards (tackle by Steven Nelson),2.26,2.39,6.0,2023,87
4.0,15:00,2.0,5.0,HOU 45,13.0,20.0,Taysom Hill pass complete short left to Michael Thomas for 4 yards (tackle by M.J. Stewart),2.39,2.21,6.0,2023,87
4.0,14:23,3.0,1.0,HOU 41,13.0,20.0,Alvin Kamara up the middle for 5 yards (tackle by Blake Cashman),2.21,3.18,6.0,2023,87
4.0,13:49,1.0,10.0,HOU 36,13.0,20.0,Alvin Kamara right tackle for -2 yards (tackle by Sheldon Rankins and Jerry Hughes),3.18,2.37,6.0,2023,87
4.0,13:08,2.0,12.0,HOU 38,13.0,20.0,Derek Carr pass complete short middle to Chris Olave for 13 yards (tackle by Jalen Pitre),2.37,3.91,6.0,2023,87
4.0,12:40,1.0,10.0,HOU 25,13.0,20.0,Rashid Shaheed right end for 12 yards (tackle by Jalen Pitre),3.91,4.71,6.0,2023,87
4.0,11:58,1.0,10.0,HOU 13,13.0,20.0,Taysom Hill right guard for 2 yards (tackle by Dylan Horton and Jonathan Greenard),4.71,4.39,6.0,2023,87
4.0,11:20,2.0,8.0,HOU 11,13.0,20.0,Derek Carr pass incomplete short right,4.39,3.45,6.0,2023,87
4.0,11:14,3.0,8.0,HOU 11,13.0,20.0,Derek Carr pass incomplete short middle intended for Michael Thomas,3.45,2.7,6.0,2023,87
4.0,11:10,4.0,8.0,HOU 11,13.0,20.0,Blake Grupe 29 yard field goal no good,2.7,-0.28,6.0,2023,87
4.0,11:07,1.0,10.0,HOU 20,13.0,20.0,Devin Singletary up the middle for 3 yards (tackle by Carl Granderson and Khalen Saunders),0.28,0.14,6.0,2023,87
4.0,10:32,2.0,7.0,HOU 23,13.0,20.0,"C.J. Stroud pass incomplete intended for Noah Brown. Penalty on Pete Werner: Defensive Pass Interference, 5 yards (accepted) (no play)",0.14,0.81,6.0,2023,87
4.0,10:27,1.0,10.0,HOU 28,13.0,20.0,Xavier Hutchinson left end for 12 yards (tackle by Khalen Saunders),0.81,1.6,6.0,2023,87
4.0,9:40,1.0,10.0,HOU 40,13.0,20.0,C.J. Stroud pass incomplete deep left intended for Robert Woods,1.6,1.05,6.0,2023,87
4.0,9:35,2.0,10.0,HOU 40,13.0,20.0,"C.J. Stroud sacked by Carl Granderson for -10 yards Penalty on HOU: Illegal Shift, 5 yards (declined)",1.05,-0.96,6.0,2023,87
4.0,9:01,3.0,20.0,HOU 30,13.0,20.0,C.J. Stroud pass complete short left to Nico Collins for 17 yards (tackle by Marcus Maye and Jordan Howden),-0.96,-0.26,6.0,2023,87
4.0,8:21,4.0,3.0,HOU 47,13.0,20.0,Cameron Johnston punts 39 yards downed by Jake Hansen,-0.26,0.28,6.0,2023,87
4.0,8:07,1.0,10.0,NOR 14,13.0,20.0,Derek Carr pass complete deep left to Rashid Shaheed for 51 yards (tackle by Steven Nelson),-0.28,3.25,6.0,2023,87
4.0,7:38,1.0,10.0,HOU 35,13.0,20.0,Alvin Kamara up the middle for 6 yards (tackle by Blake Cashman and Maliek Collins),3.25,3.51,6.0,2023,87
4.0,7:04,2.0,4.0,HOU 29,13.0,20.0,Alvin Kamara left tackle for 8 yards (tackle by Blake Cashman),3.51,4.17,6.0,2023,87
4.0,6:28,1.0,10.0,HOU 21,13.0,20.0,Alvin Kamara right guard for 7 yards (tackle by Khalil Davis and M.J. Stewart),4.17,4.74,6.0,2023,87
4.0,5:52,2.0,3.0,HOU 14,13.0,20.0,Alvin Kamara left tackle for no gain (tackle by Jerry Hughes and Blake Cashman),4.74,4.02,6.0,2023,87
4.0,5:19,,,,,,Timeout #1 by Houston Texans,,,6.0,2023,87
4.0,5:19,3.0,3.0,HOU 14,13.0,20.0,Alvin Kamara up the middle for -1 yards (tackle by Blake Cashman and Jimmie Ward),4.02,2.52,6.0,2023,87
4.0,4:37,4.0,4.0,HOU 15,13.0,20.0,Derek Carr pass complete short right to Alvin Kamara for 2 yards (tackle by Shaquill Griffin and Blake Cashman),2.52,0.32,6.0,2023,87
4.0,4:31,1.0,10.0,HOU 13,13.0,20.0,Dameon Pierce left guard for 5 yards (tackle by Alontae Taylor),-0.32,-0.14,6.0,2023,87
4.0,3:49,2.0,5.0,HOU 18,13.0,20.0,Dameon Pierce left guard for 3 yards (tackle by Pete Werner),-0.14,-0.47,6.0,2023,87
4.0,3:07,3.0,2.0,HOU 21,13.0,20.0,"C.J. Stroud pass incomplete intended for Noah Brown. Penalty on Paulson Adebo: Defensive Pass Interference, 29 yards (accepted) (no play)",-0.47,2.26,6.0,2023,87
4.0,3:01,1.0,10.0,HOU 50,13.0,20.0,Devin Singletary right tackle for -2 yards (tackle by Demario Davis),2.26,1.44,6.0,2023,87
4.0,2:56,,,,,,Timeout #1 by New Orleans Saints,,,6.0,2023,87
4.0,2:56,2.0,12.0,HOU 48,13.0,20.0,C.J. Stroud pass incomplete short right intended for Nico Collins,1.44,0.76,6.0,2023,87
4.0,2:54,3.0,12.0,HOU 48,13.0,20.0,C.J. Stroud pass incomplete short left,0.76,-0.19,6.0,2023,87
4.0,2:48,4.0,12.0,HOU 48,13.0,20.0,"Cameron Johnston punts 37 yards, fair catch by Rashid Shaheed at NO-15",-0.19,0.22,6.0,2023,87
4.0,2:41,1.0,10.0,NOR 15,13.0,20.0,Derek Carr pass complete short right to Foster Moreau for 4 yards,-0.22,-0.11,6.0,2023,87
4.0,2:35,2.0,6.0,NOR 19,13.0,20.0,Derek Carr pass complete short right to Foster Moreau for 8 yards (tackle by Will Anderson),-0.11,0.74,6.0,2023,87
4.0,2:17,1.0,10.0,NOR 27,13.0,20.0,Derek Carr pass complete short right to Alvin Kamara for 9 yards (tackle by Shaquill Griffin and Blake Cashman),0.74,1.41,6.0,2023,87
4.0,2:00,2.0,1.0,NOR 36,13.0,20.0,Derek Carr pass incomplete deep right intended for Rashid Shaheed,1.41,0.7,6.0,2023,87
4.0,1:55,3.0,1.0,NOR 36,13.0,20.0,"Derek Carr pass incomplete intended for Michael Thomas. Penalty on Shaquill Griffin: Defensive Pass Interference, 16 yards (accepted) (no play)",0.7,2.39,6.0,2023,87
4.0,1:50,1.0,10.0,HOU 48,13.0,20.0,Derek Carr pass complete short left to Michael Thomas for 8 yards (tackle by Steven Nelson),2.39,2.93,6.0,2023,87
4.0,1:20,2.0,2.0,HOU 40,13.0,20.0,"Derek Carr pass complete to Alvin Kamara for 2 yards. Penalty on Shaquill Griffin: Illegal Contact, 5 yards (accepted) (no play)",2.93,3.25,6.0,2023,87
4.0,1:20,1.0,10.0,HOU 35,13.0,20.0,Derek Carr pass complete short middle to Alvin Kamara for 2 yards (tackle by Jimmie Ward),3.25,2.97,6.0,2023,87
4.0,0:59,2.0,8.0,HOU 33,13.0,20.0,Derek Carr pass incomplete short right,2.97,2.28,6.0,2023,87
4.0,0:53,,,,,,Timeout #2 by New Orleans Saints,,,6.0,2023,87
