Quarter,Time,Down,ToGo,Location,SEA,CIN,Detail,EPB,EPA,week,year,game_id
1.0,8:43,2.0,3.0,CIN 3,0.0,0.0,"Geno Smith pass incomplete short middle intended for Tyler Lockett. Penalty on Nick Scott: Defensive Pass Interference, 2 yards (accepted) (no play)",5.53,6.97,6.0,2023,85
1.0,8:40,1.0,1.0,CIN 1,6.0,0.0,"Kenneth Walker up the middle for 1 yard, touchdown",6.97,7.0,6.0,2023,85
1.0,8:38,,,CIN 15,7.0,0.0,Jason Myers kicks extra point good,0.0,0.0,6.0,2023,85
1.0,8:38,,,SEA 35,7.0,0.0,"Jason Myers kicks off 61 yards, returned by Trayveon Williams for 27 yards (tackle by Julian Love)",0.0,1.0,6.0,2023,85
1.0,8:32,1.0,10.0,CIN 31,7.0,0.0,Joe Mixon left guard for 4 yards (tackle by Jamal Adams),1.0,1.0,6.0,2023,85
1.0,7:58,2.0,6.0,CIN 35,7.0,0.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Devon Witherspoon),1.0,0.3,6.0,2023,85
1.0,7:55,3.0,6.0,CIN 35,7.0,0.0,Joe Burrow pass complete short right to Joe Mixon for 11 yards (tackle by Tre Brown),0.3,1.99,6.0,2023,85
1.0,7:23,1.0,10.0,CIN 46,7.0,0.0,Joe Mixon right end for 3 yards (tackle by Dre'Mont Jones and Jarran Reed),1.99,1.86,6.0,2023,85
1.0,6:53,2.0,7.0,CIN 49,7.0,0.0,Joe Burrow pass complete short middle to Irv Smith for 5 yards (tackle by Jordyn Brooks and Bobby Wagner),1.86,1.82,6.0,2023,85
1.0,6:15,3.0,2.0,SEA 46,7.0,0.0,Joe Burrow pass incomplete short right intended for Joe Mixon,1.82,0.2,6.0,2023,85
1.0,6:12,4.0,2.0,SEA 46,7.0,0.0,"Penalty on Jarran Reed: Neutral Zone Infraction, 4 yards (accepted) (no play)",0.2,2.79,6.0,2023,85
1.0,6:12,1.0,10.0,SEA 42,7.0,0.0,Joe Burrow pass complete short middle to Tyler Boyd for 9 yards (tackle by Jordyn Brooks),2.79,3.46,6.0,2023,85
1.0,5:38,2.0,1.0,SEA 33,7.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 3 yards (tackle by Devon Witherspoon),3.46,3.58,6.0,2023,85
1.0,5:01,1.0,10.0,SEA 30,7.0,0.0,Joe Burrow pass complete short middle to Trayveon Williams for 5 yards (tackle by Jamal Adams),3.58,3.71,6.0,2023,85
1.0,4:21,2.0,5.0,SEA 25,7.0,0.0,Joe Burrow pass complete short left to Tyler Boyd for 5 yards (tackle by Jamal Adams),3.71,4.24,6.0,2023,85
1.0,3:35,1.0,10.0,SEA 20,7.0,0.0,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Quandre Diggs),4.24,5.26,6.0,2023,85
1.0,3:00,2.0,1.0,SEA 11,7.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 3 yards (tackle by Quandre Diggs),5.26,5.37,6.0,2023,85
1.0,2:25,1.0,8.0,SEA 8,7.0,6.0,"Joe Burrow pass complete short left to Tyler Boyd for 8 yards, touchdown",5.37,7.0,6.0,2023,85
1.0,2:22,,,SEA 15,7.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,6.0,2023,85
1.0,2:22,,,CIN 35,7.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,85
1.0,2:22,1.0,10.0,SEA 25,7.0,7.0,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Cam Taylor-Britt),0.61,0.06,6.0,2023,85
1.0,2:15,2.0,10.0,SEA 25,7.0,7.0,Kenneth Walker left tackle for 7 yards (tackle by Logan Wilson),0.06,0.3,6.0,2023,85
1.0,1:35,3.0,3.0,SEA 32,7.0,7.0,Geno Smith pass complete short middle to DeeJay Dallas for -1 yards (tackle by Logan Wilson),0.3,-1.31,6.0,2023,85
1.0,0:50,4.0,4.0,SEA 31,7.0,7.0,"Michael Dickson punts 43 yards, returned by Trenton Irwin for 1 yard (tackle by Jon Rhattigan and DeeJay Dallas)",-1.31,-0.74,6.0,2023,85
1.0,0:42,1.0,10.0,CIN 27,7.0,7.0,Joe Mixon left guard for 4 yards (tackle by Mario Edwards and Darrell Taylor),0.74,0.74,6.0,2023,85
1.0,0:06,2.0,6.0,CIN 31,7.0,7.0,"Joe Burrow pass complete deep left to Ja'Marr Chase for 31 yards (tackle by Julian Love). Penalty on Mario Edwards: Defensive Offside, 5 yards (declined)",0.74,3.05,6.0,2023,85
2.0,15:00,1.0,10.0,SEA 38,7.0,7.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 23 yards (tackle by Quandre Diggs and Julian Love),3.05,4.58,6.0,2023,85
2.0,14:16,1.0,10.0,SEA 15,7.0,7.0,Joe Mixon up the middle for no gain (tackle by Dre'Mont Jones),4.58,3.95,6.0,2023,85
2.0,13:38,2.0,10.0,SEA 15,7.0,7.0,Joe Burrow pass complete short left to Chase Brown for 8 yards (tackle by Bobby Wagner),3.95,4.68,6.0,2023,85
2.0,13:05,3.0,2.0,SEA 7,7.0,7.0,Joe Mixon left guard for 4 yards (tackle by Quandre Diggs),4.68,6.51,6.0,2023,85
2.0,12:27,1.0,3.0,SEA 3,7.0,13.0,"Joe Burrow pass complete short left to Andrei Iosivas for 3 yards, touchdown. Penalty on Jamal Adams: Defensive Holding, 5 yards (declined)",6.51,7.0,6.0,2023,85
2.0,12:20,,,SEA 15,7.0,14.0,Evan McPherson kicks extra point good,0.0,0.0,6.0,2023,85
2.0,12:20,,,CIN 35,7.0,14.0,"Evan McPherson kicks off 63 yards, returned by DeeJay Dallas for 21 yards (tackle by Tycen Anderson)",0.0,0.48,6.0,2023,85
2.0,12:14,1.0,10.0,SEA 23,7.0,14.0,Zach Charbonnet right end for 2 yards (tackle by B.J. Hill),0.48,0.2,6.0,2023,85
2.0,11:29,2.0,8.0,SEA 25,7.0,14.0,"Penalty on Phil Haynes: False Start, 5 yards (accepted) (no play)",0.2,-0.47,6.0,2023,85
2.0,11:11,2.0,13.0,SEA 20,7.0,14.0,Geno Smith pass complete short middle to Tyler Lockett for 6 yards (tackle by Germaine Pratt),-0.47,-0.36,6.0,2023,85
2.0,10:27,3.0,7.0,SEA 26,7.0,14.0,Geno Smith pass complete short middle to Zach Charbonnet for 10 yards (tackle by Logan Wilson),-0.36,1.33,6.0,2023,85
2.0,9:47,1.0,10.0,SEA 36,7.0,14.0,Geno Smith pass complete short left to Zach Charbonnet for 4 yards (tackle by Nick Scott and Trey Hendrickson),1.33,1.33,6.0,2023,85
2.0,9:35,2.0,6.0,SEA 40,7.0,14.0,"Penalty on D.K. Metcalf: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",1.33,-0.7,6.0,2023,85
2.0,9:17,2.0,21.0,SEA 25,7.0,14.0,Geno Smith pass complete deep right to Tyler Lockett for 32 yards (tackle by Daxton Hill),-0.7,2.72,6.0,2023,85
2.0,8:40,1.0,10.0,CIN 43,7.0,14.0,Geno Smith pass incomplete short left,2.72,2.18,6.0,2023,85
2.0,8:34,2.0,10.0,CIN 43,7.0,14.0,Kenneth Walker left tackle for -1 yards (tackle by Mike Hilton and Logan Wilson),2.18,1.36,6.0,2023,85
2.0,7:50,3.0,11.0,CIN 44,7.0,14.0,Geno Smith sacked by and Logan Wilson for no gain and B.J. Hill for no gain,1.36,0.33,6.0,2023,85
2.0,7:03,4.0,11.0,CIN 44,7.0,14.0,Michael Dickson punts 31 yards downed by Will Dissly,0.33,0.32,6.0,2023,85
2.0,6:52,1.0,10.0,CIN 13,7.0,14.0,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Riq Woolen),-0.32,0.22,6.0,2023,85
2.0,6:22,2.0,3.0,CIN 20,7.0,14.0,Joe Mixon left guard for 4 yards (tackle by Mario Edwards),0.22,0.54,6.0,2023,85
2.0,5:38,1.0,10.0,CIN 24,7.0,14.0,Joe Burrow pass complete short left to Tyler Boyd for 5 yards (tackle by Riq Woolen),0.54,0.67,6.0,2023,85
2.0,4:58,2.0,5.0,CIN 29,7.0,14.0,Joe Burrow pass complete short right to Tyler Boyd for 1 yard (tackle by Quandre Diggs),0.67,0.1,6.0,2023,85
2.0,4:20,3.0,4.0,CIN 30,7.0,14.0,Joe Burrow pass complete short right to Tyler Boyd for 3 yards (tackle by Quandre Diggs),0.1,-1.18,6.0,2023,85
2.0,3:40,4.0,1.0,CIN 33,7.0,14.0,Brad Robbins punts 46 yards downed by Mitchell Wilcox,-1.18,-0.34,6.0,2023,85
2.0,3:28,1.0,10.0,SEA 21,7.0,14.0,Geno Smith pass complete short left to Will Dissly for 4 yards (tackle by Germaine Pratt),0.34,0.34,6.0,2023,85
2.0,2:48,2.0,6.0,SEA 25,7.0,14.0,Kenneth Walker right guard for 21 yards (tackle by Daxton Hill and Joseph Ossai),0.34,1.99,6.0,2023,85
2.0,2:14,1.0,10.0,SEA 46,7.0,14.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 5 yards (tackle by Cam Taylor-Britt),1.99,2.13,6.0,2023,85
2.0,2:00,2.0,5.0,CIN 49,7.0,14.0,Kenneth Walker right guard for 1 yard (tackle by Sam Hubbard and Jordan Battle),2.13,1.55,6.0,2023,85
2.0,1:30,3.0,4.0,CIN 48,7.0,14.0,Geno Smith pass complete short middle to D.K. Metcalf for 12 yards (tackle by Jordan Battle),1.55,3.18,6.0,2023,85
2.0,1:00,1.0,10.0,CIN 36,7.0,14.0,Geno Smith pass incomplete deep right intended for Tyler Lockett,3.18,2.64,6.0,2023,85
2.0,0:57,2.0,10.0,CIN 36,7.0,14.0,Kenneth Walker left tackle for -1 yards (tackle by Trey Hendrickson),2.64,1.82,6.0,2023,85
2.0,0:52,,,,,,Timeout #1 by Cincinnati Bengals,,,6.0,2023,85
2.0,0:52,3.0,11.0,CIN 37,7.0,14.0,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Daxton Hill),1.82,0.79,6.0,2023,85
2.0,0:48,4.0,11.0,CIN 37,10.0,14.0,Jason Myers 55 yard field goal good,0.79,3.0,6.0,2023,85
2.0,0:43,,,SEA 35,10.0,14.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,85
2.0,0:43,1.0,10.0,CIN 25,10.0,14.0,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase,0.61,0.06,6.0,2023,85
2.0,0:40,2.0,10.0,CIN 25,10.0,14.0,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Riq Woolen),0.06,-0.62,6.0,2023,85
2.0,0:37,3.0,10.0,CIN 25,10.0,14.0,Joe Burrow pass complete short right to Drew Sample for 4 yards (tackle by Devon Witherspoon),-0.62,-1.44,6.0,2023,85
2.0,0:22,,,,,,Timeout #1 by Seattle Seahawks,,,6.0,2023,85
2.0,0:22,4.0,6.0,CIN 29,10.0,14.0,"Brad Robbins punts 55 yards, returned by DeeJay Dallas for 8 yards (tackle by Tycen Anderson)",-1.44,-0.54,6.0,2023,85
2.0,0:12,1.0,10.0,SEA 24,10.0,14.0,Geno Smith sacked by Cameron Sample for -9 yards,0.54,-1.35,6.0,2023,85
3.0,15:00,,,SEA 35,10.0,14.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,85
3.0,15:00,1.0,10.0,CIN 25,10.0,14.0,"Joe Burrow pass incomplete short right intended for Tee Higgins. Penalty on Uchenna Nwosu: Defensive Offside, 5 yards (declined) . Penalty on Tre Brown: Defensive Pass Interference, 10 yards (accepted) (no play)",0.61,1.27,6.0,2023,85
3.0,14:57,1.0,10.0,CIN 35,10.0,14.0,Joe Mixon up the middle for 5 yards (tackle by Bobby Wagner and Jordyn Brooks),1.27,1.4,6.0,2023,85
3.0,14:19,2.0,5.0,CIN 40,10.0,14.0,Joe Burrow pass deep right intended for Ja'Marr Chase is intercepted by Tre Brown at SEA-31 and returned for no gain (tackle by Ja'Marr Chase),1.4,-1.0,6.0,2023,85
3.0,14:13,1.0,10.0,SEA 31,10.0,14.0,Geno Smith pass complete short left to Tyler Lockett for 5 yards (tackle by Mike Hilton),1.0,1.14,6.0,2023,85
3.0,13:38,2.0,5.0,SEA 36,10.0,14.0,Geno Smith pass complete short left to D.K. Metcalf for 18 yards (tackle by Daxton Hill),1.14,2.52,6.0,2023,85
3.0,12:59,1.0,10.0,CIN 46,10.0,14.0,"Kenneth Walker for 2 yards (tackle by D.J. Reader). Penalty on B.J. Hill: Face Mask (15 Yards), 15 yards (accepted)",2.52,3.64,6.0,2023,85
3.0,12:35,1.0,10.0,CIN 29,10.0,14.0,Geno Smith scrambles right end for 5 yards (tackle by B.J. Hill),3.64,3.78,6.0,2023,85
3.0,11:53,2.0,5.0,CIN 24,10.0,14.0,Kenneth Walker right guard for 2 yards (tackle by D.J. Reader and Sam Hubbard),3.78,3.34,6.0,2023,85
3.0,11:10,3.0,3.0,CIN 22,10.0,14.0,"Penalty on Charles Cross: False Start, 5 yards (accepted) (no play)",3.34,2.68,6.0,2023,85
3.0,10:49,3.0,8.0,CIN 27,10.0,14.0,Geno Smith pass complete short middle to Jake Bobo for 23 yards (tackle by DJ Turner and Daxton Hill),2.68,6.28,6.0,2023,85
3.0,10:05,1.0,4.0,CIN 4,10.0,14.0,Kenneth Walker up the middle for 1 yard (tackle by Logan Wilson),6.28,5.53,6.0,2023,85
3.0,9:29,2.0,3.0,CIN 3,10.0,14.0,"Geno Smith pass incomplete short right intended for D.K. Metcalf (defended by Cam Taylor-Britt). Penalty on Kenneth Walker: Offensive Low Block, 15 yards (accepted) (no play)",5.53,3.15,6.0,2023,85
3.0,9:24,2.0,18.0,CIN 18,10.0,14.0,Geno Smith pass short right intended for Jaxon Smith-Njigba is intercepted by Mike Hilton at CIN-3 and returned for no gain (tackle by Jaxon Smith-Njigba),3.15,0.38,6.0,2023,85
3.0,9:19,1.0,10.0,CIN 3,10.0,14.0,Joe Burrow pass complete short left to Joe Mixon for 8 yards (tackle by Derick Hall),-0.38,-0.2,6.0,2023,85
3.0,8:43,2.0,2.0,CIN 11,10.0,14.0,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase (defended by Devon Witherspoon),-0.2,-0.48,6.0,2023,85
3.0,8:39,3.0,2.0,CIN 11,10.0,14.0,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Julian Love),-0.48,0.41,6.0,2023,85
3.0,8:01,1.0,10.0,CIN 22,10.0,14.0,Joe Burrow sacked by Jarran Reed for -2 yards,0.41,-0.4,6.0,2023,85
3.0,7:16,2.0,12.0,CIN 20,10.0,14.0,Chase Brown right guard for 4 yards (tackle by Quandre Diggs),-0.4,-0.56,6.0,2023,85
3.0,6:32,3.0,8.0,CIN 24,10.0,14.0,Joe Burrow sacked by Dre'Mont Jones for -8 yards,-0.56,-2.39,6.0,2023,85
3.0,5:55,4.0,16.0,CIN 16,10.0,14.0,"Brad Robbins punts 50 yards, returned by DeeJay Dallas for 23 yards (tackle by Trayveon Williams and Mitchell Wilcox)",-2.39,-2.72,6.0,2023,85
3.0,5:42,,,,,,Timeout #1 by Seattle Seahawks,,,6.0,2023,85
3.0,5:42,1.0,10.0,CIN 43,10.0,14.0,Geno Smith pass complete short left to Kenneth Walker for 8 yards (tackle by Germaine Pratt),2.72,3.26,6.0,2023,85
3.0,5:09,2.0,2.0,CIN 35,10.0,14.0,Kenneth Walker up the middle for 4 yards (tackle by Germaine Pratt),3.26,3.51,6.0,2023,85
3.0,4:22,1.0,10.0,CIN 31,10.0,14.0,Geno Smith pass incomplete deep right intended for D.K. Metcalf,3.51,2.97,6.0,2023,85
3.0,4:16,,,,,,Timeout #1 by Cincinnati Bengals,,,6.0,2023,85
3.0,4:16,2.0,10.0,CIN 31,10.0,14.0,"Geno Smith pass complete deep right to Jake Bobo for 20 yards (tackle by Daxton Hill). Penalty on Daxton Hill: Unnecessary Roughness / Defense, 6 yards (accepted)",2.97,6.06,6.0,2023,85
3.0,3:49,1.0,5.0,CIN 5,10.0,14.0,Kenneth Walker left end for 1 yard (tackle by Daxton Hill and Mike Hilton),6.06,5.34,6.0,2023,85
3.0,3:13,2.0,4.0,CIN 4,10.0,14.0,Kenneth Walker right guard for -1 yards (tackle by Logan Wilson and Joe Bachie),5.34,4.26,6.0,2023,85
3.0,2:31,3.0,5.0,CIN 5,10.0,14.0,Geno Smith pass incomplete short right intended for Tyler Lockett (defended by Cam Taylor-Britt),4.26,3.01,6.0,2023,85
3.0,2:27,4.0,5.0,CIN 5,13.0,14.0,Jason Myers 23 yard field goal good,3.01,3.0,6.0,2023,85
3.0,2:24,,,SEA 35,13.0,14.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,85
3.0,2:24,1.0,10.0,CIN 25,13.0,14.0,Joe Mixon left guard for 5 yards (tackle by Uchenna Nwosu),0.61,0.74,6.0,2023,85
3.0,1:43,2.0,5.0,CIN 30,13.0,14.0,Joe Burrow scrambles right end for 5 yards (tackle by Myles Adams),0.74,1.27,6.0,2023,85
3.0,1:02,1.0,10.0,CIN 35,13.0,14.0,Joe Burrow pass complete short left to Tyler Boyd for 7 yards (tackle by Devon Witherspoon),1.27,1.67,6.0,2023,85
3.0,0:24,2.0,3.0,CIN 42,13.0,14.0,Joe Mixon right guard for 2 yards (tackle by Devon Witherspoon),1.67,1.22,6.0,2023,85
4.0,15:00,3.0,1.0,CIN 44,13.0,14.0,Joe Mixon up the middle for no gain (tackle by Jarran Reed and Jordyn Brooks),1.22,-0.46,6.0,2023,85
4.0,14:13,4.0,1.0,CIN 44,13.0,14.0,"Brad Robbins punts 40 yards, fair catch by DeeJay Dallas at SEA-16",-0.46,0.14,6.0,2023,85
4.0,14:06,1.0,10.0,SEA 16,13.0,14.0,Kenneth Walker left end for 1 yard (tackle by Logan Wilson),-0.14,-0.51,6.0,2023,85
4.0,13:31,2.0,9.0,SEA 17,13.0,14.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 18 yards (tackle by Cam Taylor-Britt),-0.51,1.27,6.0,2023,85
4.0,12:49,1.0,10.0,SEA 35,13.0,14.0,Geno Smith scrambles right end for 1 yard (tackle by Sam Hubbard),1.27,0.86,6.0,2023,85
4.0,12:13,2.0,9.0,SEA 36,13.0,14.0,Geno Smith pass deep left intended for D.K. Metcalf is intercepted by Cam Taylor-Britt at CIN-42 and returned for 24 yards (tackle by Kenneth Walker),0.86,-3.31,6.0,2023,85
4.0,12:03,1.0,10.0,SEA 34,13.0,14.0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,3.31,2.77,6.0,2023,85
4.0,11:59,2.0,10.0,SEA 34,13.0,14.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Devon Witherspoon),2.77,2.08,6.0,2023,85
4.0,11:56,3.0,10.0,SEA 34,13.0,14.0,Joe Burrow pass incomplete short left intended for Irv Smith,2.08,1.06,6.0,2023,85
4.0,11:52,4.0,10.0,SEA 34,13.0,17.0,Evan McPherson 52 yard field goal good,1.06,3.0,6.0,2023,85
4.0,11:47,,,CIN 35,13.0,17.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,85
4.0,11:47,1.0,10.0,SEA 25,13.0,17.0,"Geno Smith pass incomplete short left intended for Noah Fant. Penalty on D.J. Reader: Roughing the Passer, 15 yards (accepted) (no play)",0.61,1.6,6.0,2023,85
4.0,11:42,1.0,10.0,SEA 40,13.0,17.0,"Geno Smith pass complete short left to Colby Parkinson for 5 yards (tackle by Logan Wilson). Penalty on Kenneth Walker: Offensive Illegal Block Above the Waist, 10 yards (accepted)",1.6,1.27,6.0,2023,85
4.0,11:13,1.0,15.0,SEA 35,13.0,17.0,Geno Smith pass complete short left to Kenneth Walker for 4 yards (tackle by Cam Taylor-Britt),1.27,0.92,6.0,2023,85
4.0,10:43,2.0,11.0,SEA 39,13.0,17.0,Geno Smith pass complete short right to Colby Parkinson for 6 yards (tackle by Sam Hubbard),0.92,1.03,6.0,2023,85
4.0,10:05,3.0,5.0,SEA 45,13.0,17.0,Geno Smith pass incomplete short right,1.03,-0.39,6.0,2023,85
4.0,9:54,4.0,5.0,SEA 45,13.0,17.0,Michael Dickson punts 41 yards out of bounds,-0.39,0.28,6.0,2023,85
4.0,9:46,1.0,10.0,CIN 14,13.0,17.0,Joe Mixon left guard for 3 yards (tackle by Jordyn Brooks and Boye Mafe),-0.28,-0.37,6.0,2023,85
4.0,9:07,2.0,7.0,CIN 17,13.0,17.0,Joe Burrow pass complete short right to Ja'Marr Chase for 13 yards (tackle by Quandre Diggs),-0.37,0.94,6.0,2023,85
4.0,8:23,1.0,10.0,CIN 30,13.0,17.0,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Jordyn Brooks),0.94,1.07,6.0,2023,85
4.0,7:46,2.0,5.0,CIN 35,13.0,17.0,Joe Burrow sacked by Boye Mafe for -7 yards,1.07,-0.56,6.0,2023,85
4.0,7:04,3.0,12.0,CIN 28,13.0,17.0,Joe Burrow pass complete short right to Trayveon Williams for -2 yards (tackle by Jamal Adams),-0.56,-1.63,6.0,2023,85
4.0,6:24,4.0,14.0,CIN 26,13.0,17.0,"Brad Robbins punts 38 yards, fair catch by DeeJay Dallas at SEA-36",-1.63,-1.33,6.0,2023,85
4.0,6:17,1.0,10.0,SEA 36,13.0,17.0,Kenneth Walker right guard for 4 yards (tackle by Sam Hubbard),1.33,1.33,6.0,2023,85
4.0,5:42,2.0,6.0,SEA 40,13.0,17.0,Geno Smith pass complete deep left to D.K. Metcalf for 30 yards (tackle by Daxton Hill),1.33,3.58,6.0,2023,85
4.0,5:03,1.0,10.0,CIN 30,13.0,17.0,Geno Smith scrambles up the middle for 11 yards (tackle by Mike Hilton),3.58,4.31,6.0,2023,85
4.0,4:33,1.0,10.0,CIN 19,13.0,17.0,Geno Smith pass incomplete short right,4.31,3.75,6.0,2023,85
4.0,4:30,2.0,10.0,CIN 19,13.0,17.0,Geno Smith up the middle for 3 yards (tackle by B.J. Hill),3.75,3.41,6.0,2023,85
4.0,3:54,3.0,7.0,CIN 16,13.0,17.0,Geno Smith pass complete short left to D.K. Metcalf for 9 yards (tackle by Cam Taylor-Britt),3.41,5.6,6.0,2023,85
4.0,3:25,1.0,7.0,CIN 7,13.0,17.0,Geno Smith sacked by Trey Hendrickson for -12 yards,5.6,3.07,6.0,2023,85
4.0,2:52,2.0,19.0,CIN 19,13.0,17.0,Geno Smith pass incomplete short middle,3.07,2.49,6.0,2023,85
4.0,2:48,3.0,19.0,CIN 19,13.0,17.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 13 yards (tackle by Mike Hilton and Daxton Hill),2.49,2.99,6.0,2023,85
4.0,2:10,4.0,6.0,CIN 6,13.0,17.0,Geno Smith sacked by Sam Hubbard for -8 yards,2.99,0.28,6.0,2023,85
4.0,2:03,1.0,10.0,CIN 14,13.0,17.0,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,-0.28,-0.75,6.0,2023,85
4.0,1:58,2.0,10.0,CIN 14,13.0,17.0,Joe Mixon right guard for 4 yards (tackle by Jordyn Brooks and Bobby Wagner),-0.75,-0.92,6.0,2023,85
4.0,1:53,,,,,,Timeout #2 by Seattle Seahawks,,,6.0,2023,85
4.0,1:53,3.0,6.0,CIN 18,13.0,17.0,"Joe Burrow pass incomplete deep right intended for Tee Higgins (defended by Tre Brown). Penalty on Tee Higgins: Offensive Pass Interference, 10 yards (declined)",-0.92,-2.24,6.0,2023,85
4.0,1:48,4.0,6.0,CIN 18,13.0,17.0,"Brad Robbins punts 45 yards, returned by DeeJay Dallas for 3 yards (tackle by Tycen Anderson)",-2.24,-1.6,6.0,2023,85
4.0,1:39,1.0,10.0,SEA 40,13.0,17.0,Geno Smith pass complete short middle to Colby Parkinson for 8 yards (tackle by Logan Wilson),1.6,2.13,6.0,2023,85
4.0,1:19,2.0,2.0,SEA 48,13.0,17.0,"Penalty on Sam Hubbard: Defensive Offside, 5 yards (accepted) (no play)",2.13,2.46,6.0,2023,85
4.0,1:19,1.0,10.0,CIN 47,13.0,17.0,Geno Smith pass complete deep middle to Tyler Lockett for 36 yards (tackle by Nick Scott),2.46,4.84,6.0,2023,85
4.0,0:55,1.0,10.0,CIN 11,13.0,17.0,Geno Smith pass incomplete short middle intended for Colby Parkinson (defended by Daxton Hill),4.84,4.14,6.0,2023,85
4.0,0:49,2.0,10.0,CIN 11,13.0,17.0,Kenneth Walker up the middle for 2 yards (tackle by D.J. Reader and Logan Wilson),4.14,3.53,6.0,2023,85
4.0,0:44,,,,,,Timeout #2 by Cincinnati Bengals,,,6.0,2023,85
4.0,0:44,3.0,8.0,CIN 9,13.0,17.0,Geno Smith pass incomplete short middle intended for D.K. Metcalf,3.53,2.83,6.0,2023,85
4.0,0:41,,,,,,Timeout #3 by Cincinnati Bengals,,,6.0,2023,85
4.0,0:41,,,,,,Timeout #3 by Seattle Seahawks,,,6.0,2023,85
4.0,0:41,4.0,8.0,CIN 9,13.0,17.0,Geno Smith pass incomplete short middle intended for Colby Parkinson (defended by B.J. Hill),2.83,0.38,6.0,2023,85
4.0,0:35,1.0,10.0,CIN 9,13.0,17.0,Joe Burrow kneels for -1 yards,-0.38,-0.85,6.0,2023,85
