Quarter,Time,Down,ToGo,Location,DAL,LAC,Detail,EPB,EPA,week,year,game_id
1.0,6:21,,,LAC 15,7.0,7.0,Brandon Aubrey kicks extra point good,0.0,0.0,6.0,2023,93
1.0,6:21,,,DAL 35,7.0,7.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,93
1.0,6:21,1.0,10.0,LAC 25,7.0,7.0,Austin Ekeler right guard for 1 yard (tackle by Dorance Armstrong and Jourdan Lewis),0.61,0.2,6.0,2023,93
1.0,5:48,2.0,9.0,LAC 26,7.0,7.0,Gerald Everett left end for 2 yards (tackle by Osa Odighizuwa),0.2,-0.23,6.0,2023,93
1.0,5:13,3.0,7.0,LAC 28,7.0,7.0,"Penalty on DAL: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",-0.23,0.43,6.0,2023,93
1.0,4:57,3.0,2.0,LAC 33,7.0,7.0,Justin Herbert pass incomplete short middle intended for Gerald Everett,0.43,-1.18,6.0,2023,93
1.0,4:51,4.0,2.0,LAC 33,7.0,7.0,"JK Scott punts 45 yards, fair catch by KaVontae Turpin at DAL-22",-1.18,-0.41,6.0,2023,93
1.0,4:42,1.0,10.0,DAL 22,7.0,7.0,Dak Prescott pass complete short middle to CeeDee Lamb for 16 yards (tackle by Dean Marlowe),0.41,1.47,6.0,2023,93
1.0,4:08,1.0,10.0,DAL 38,7.0,7.0,Dak Prescott scrambles left end for 11 yards (tackle by Asante Samuel),1.47,2.19,6.0,2023,93
1.0,3:32,1.0,10.0,DAL 49,7.0,7.0,Rico Dowdle up the middle for 7 yards (tackle by Kenneth Murray and Scott Matlock),2.19,2.59,6.0,2023,93
1.0,2:58,2.0,3.0,LAC 44,7.0,7.0,Dak Prescott sacked by Morgan Fox for -3 yards,2.59,1.49,6.0,2023,93
1.0,2:05,,,,,,Timeout #1 by Dallas Cowboys,,,6.0,2023,93
1.0,2:05,3.0,6.0,LAC 47,7.0,7.0,Dak Prescott pass incomplete short right intended for Michael Gallup,1.49,0.13,6.0,2023,93
1.0,2:01,4.0,6.0,LAC 47,7.0,7.0,Bryan Anger punts 45 yards downed by Jalen Brooks,0.13,0.38,6.0,2023,93
1.0,1:47,1.0,10.0,LAC 2,7.0,7.0,Austin Ekeler left tackle for 3 yards (tackle by Tyrus Wheat),-0.38,-0.56,6.0,2023,93
1.0,1:13,2.0,7.0,LAC 5,7.0,7.0,Justin Herbert pass complete short left to Keenan Allen for 11 yards (tackle by Donovan Wilson),-0.56,-0.14,6.0,2023,93
1.0,0:34,1.0,10.0,LAC 16,7.0,7.0,Justin Herbert pass complete short right to Austin Ekeler for 5 yards (tackle by Damone Clark),-0.14,0.15,6.0,2023,93
2.0,15:00,2.0,5.0,LAC 21,7.0,7.0,Justin Herbert pass incomplete short right intended for Joshua Kelley,0.15,-0.7,6.0,2023,93
2.0,14:54,3.0,5.0,LAC 21,7.0,7.0,Justin Herbert pass complete short middle to Justin Herbert for 10 yards (tackle by Damone Clark),-0.7,1.0,6.0,2023,93
2.0,14:16,1.0,10.0,LAC 31,7.0,7.0,Austin Ekeler left guard for 4 yards (tackle by Johnathan Hankins),1.0,1.0,6.0,2023,93
2.0,13:31,2.0,6.0,LAC 35,7.0,7.0,"Justin Herbert scrambles up the middle for 1 yard (tackle by Jayron Kearse). Penalty on Jayron Kearse: Unnecessary Roughness / Defense, 15 yards (accepted)",1.0,2.32,6.0,2023,93
2.0,13:00,1.0,10.0,DAL 49,7.0,7.0,"Justin Herbert sacked by Markquese Bell for no gain. Penalty on Sam Williams: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",2.32,2.65,6.0,2023,93
2.0,12:40,1.0,10.0,DAL 44,7.0,7.0,Isaiah Spiller right tackle for 2 yards (tackle by Osa Odighizuwa and Jayron Kearse),2.65,2.38,6.0,2023,93
2.0,11:57,2.0,8.0,DAL 42,7.0,7.0,Justin Herbert pass incomplete short middle intended for Gerald Everett,2.38,1.69,6.0,2023,93
2.0,11:50,3.0,8.0,DAL 42,7.0,7.0,Justin Herbert pass incomplete short left intended for Keenan Allen,1.69,0.46,6.0,2023,93
2.0,11:45,4.0,8.0,DAL 42,7.0,7.0,JK Scott punts 30 yards downed by Tuli Tuipulotu,0.46,0.35,6.0,2023,93
2.0,11:35,1.0,10.0,DAL 12,7.0,7.0,Tony Pollard right guard for 1 yard (tackle by Khalil Mack and Dean Marlowe),-0.35,-0.7,6.0,2023,93
2.0,10:59,2.0,9.0,DAL 13,7.0,7.0,"Dak Prescott pass complete short middle to Tony Pollard for -1 yards (tackle by Nick Williams). Penalty on Brandin Cooks: Illegal Shift, 5 yards (declined)",-0.7,-1.42,6.0,2023,93
2.0,10:25,3.0,10.0,DAL 12,7.0,7.0,Dak Prescott pass complete short right to Brandin Cooks for 6 yards (tackle by Kenneth Murray),-1.42,-2.24,6.0,2023,93
2.0,9:54,4.0,4.0,DAL 18,7.0,7.0,"Bryan Anger punts, recovered by AJ Finley at LAC-27 (tackle by Jalen Tolbert). Penalty on Tyrus Wheat: Illegal Formation, 5 yards (accepted) (no play)",-2.24,-2.49,6.0,2023,93
2.0,9:39,4.0,9.0,DAL 13,7.0,7.0,"Bryan Anger punts 55 yards, fair catch by Derius Davis at LAC-32",-2.49,-1.07,6.0,2023,93
2.0,9:31,1.0,10.0,LAC 32,7.0,7.0,Austin Ekeler right end for 3 yards (tackle by DeMarcus Lawrence),1.07,0.93,6.0,2023,93
2.0,8:51,2.0,7.0,LAC 35,7.0,7.0,Austin Ekeler up the middle for no gain (tackle by Markquese Bell),0.93,0.23,6.0,2023,93
2.0,8:16,3.0,7.0,LAC 35,7.0,7.0,"Justin Herbert pass incomplete deep right intended for Keenan Allen. Penalty on Dante Fowler: Defensive Offside, 5 yards (accepted) (no play)",0.23,0.89,6.0,2023,93
2.0,8:08,3.0,2.0,LAC 40,7.0,7.0,Austin Ekeler up the middle for no gain (tackle by Donovan Wilson and Markquese Bell),0.89,-0.72,6.0,2023,93
2.0,7:32,4.0,2.0,LAC 40,7.0,7.0,"JK Scott punts 38 yards, fair catch by KaVontae Turpin at DAL-22",-0.72,-0.41,6.0,2023,93
2.0,7:26,1.0,10.0,DAL 22,7.0,7.0,Dak Prescott pass complete short right to Brandin Cooks for 17 yards (tackle by Asante Samuel),0.41,1.53,6.0,2023,93
2.0,7:01,1.0,10.0,DAL 39,7.0,7.0,Dak Prescott pass complete short left to Michael Gallup for 8 yards (tackle by Eric Kendricks and Asante Samuel),1.53,2.07,6.0,2023,93
2.0,6:20,2.0,2.0,DAL 47,7.0,7.0,Tony Pollard left guard for 3 yards (tackle by Tuli Tuipulotu),2.07,2.26,6.0,2023,93
2.0,5:40,1.0,10.0,DAL 50,7.0,7.0,"Dak Prescott pass incomplete short left intended for Hunter Luepke (defended by Tuli Tuipulotu). Penalty on Derwin James: Roughing the Passer, 15 yards (accepted) (no play)",2.26,3.25,6.0,2023,93
2.0,5:33,1.0,10.0,LAC 35,7.0,7.0,Dak Prescott pass incomplete deep middle intended for Michael Gallup,3.25,2.7,6.0,2023,93
2.0,5:27,2.0,10.0,LAC 35,7.0,7.0,Tony Pollard right guard for 2 yards (tackle by Eric Kendricks),2.7,2.28,6.0,2023,93
2.0,4:45,3.0,8.0,LAC 33,7.0,7.0,Dak Prescott pass complete short right to CeeDee Lamb for 11 yards (tackle by Michael Davis),2.28,4.11,6.0,2023,93
2.0,3:52,1.0,10.0,LAC 22,7.0,7.0,Tony Pollard right guard for -2 yards (tackle by Kenneth Murray),4.11,3.29,6.0,2023,93
2.0,3:41,2.0,12.0,LAC 24,7.0,7.0,Dak Prescott pass complete short right to Tony Pollard for 9 yards (tackle by Michael Davis),3.29,3.93,6.0,2023,93
2.0,3:00,3.0,3.0,LAC 15,7.0,7.0,Dak Prescott pass complete short right to Tony Pollard for 2 yards (tackle by Kenneth Murray),3.93,2.72,6.0,2023,93
2.0,2:29,4.0,1.0,LAC 13,7.0,7.0,Dak Prescott up the middle for no gain (tackle by Dean Marlowe and Khalil Mack),2.72,0.32,6.0,2023,93
2.0,2:23,1.0,10.0,LAC 13,7.0,7.0,Justin Herbert pass incomplete short right intended for Austin Ekeler (defended by Markquese Bell),-0.32,-0.77,6.0,2023,93
2.0,2:18,2.0,10.0,LAC 13,7.0,7.0,Justin Herbert pass complete deep right to Josh Palmer for 26 yards (tackle by Jourdan Lewis),-0.77,1.53,6.0,2023,93
2.0,2:00,1.0,10.0,LAC 39,7.0,7.0,Justin Herbert pass complete short right to Gerald Everett for no gain (tackle by Damone Clark),1.53,0.99,6.0,2023,93
2.0,1:35,2.0,10.0,LAC 39,7.0,7.0,Justin Herbert pass complete short left to Josh Palmer for 11 yards,0.99,2.26,6.0,2023,93
2.0,1:30,1.0,10.0,LAC 50,7.0,7.0,Justin Herbert pass incomplete deep left intended for Keenan Allen,2.26,1.71,6.0,2023,93
2.0,1:22,2.0,10.0,LAC 50,7.0,7.0,"Justin Herbert pass incomplete short right intended for Austin Ekeler. Penalty on Trey Pipkins: Offensive Holding, 10 yards (accepted) (no play)",1.71,0.36,6.0,2023,93
2.0,1:22,2.0,20.0,LAC 40,7.0,7.0,Justin Herbert pass complete short right to Donald Parham for 6 yards (tackle by Stephon Gilmore),0.36,0.5,6.0,2023,93
2.0,1:15,3.0,14.0,LAC 46,7.0,7.0,Justin Herbert pass incomplete deep left intended for Quentin Johnston (defended by Dante Fowler),0.5,-0.32,6.0,2023,93
2.0,1:09,4.0,14.0,LAC 46,7.0,7.0,"JK Scott punts 40 yards, returned by KaVontae Turpin for 15 yards (tackle by Josh Harris)",-0.32,-0.87,6.0,2023,93
2.0,0:59,1.0,10.0,DAL 29,7.0,7.0,Dak Prescott pass incomplete short left intended for Michael Gallup (defended by Michael Davis),0.87,0.33,6.0,2023,93
2.0,0:55,2.0,10.0,DAL 29,7.0,7.0,Dak Prescott pass complete deep right to CeeDee Lamb for 23 yards (tackle by Dean Marlowe),0.33,2.39,6.0,2023,93
2.0,0:50,1.0,10.0,LAC 48,7.0,7.0,Dak Prescott pass complete short right to Michael Gallup for 11 yards (tackle by Michael Davis),2.39,3.12,6.0,2023,93
2.0,0:38,1.0,10.0,LAC 37,7.0,7.0,"Dak Prescott scrambles right end for no gain (tackle by Kenneth Murray). Penalty on Tyler Smith: Offensive Holding, 10 yards (accepted) (no play)",3.12,2.46,6.0,2023,93
2.0,0:21,1.0,20.0,LAC 47,7.0,7.0,"Dak Prescott pass complete short right to Jake Ferguson for 15 yards (tackle by Kenneth Murray and Derwin James). Penalty on Derwin James: Unnecessary Roughness / Defense, 15 yards (accepted)",2.46,4.44,6.0,2023,93
2.0,0:14,1.0,10.0,LAC 17,7.0,7.0,Dak Prescott pass complete short middle to Tony Pollard for 3 yards (tackle by Kenneth Murray),4.44,4.32,6.0,2023,93
2.0,0:03,,,,,,Timeout #2 by Dallas Cowboys,,,6.0,2023,93
2.0,0:03,2.0,7.0,LAC 14,10.0,7.0,Brandon Aubrey 32 yard field goal good,4.32,3.0,6.0,2023,93
3.0,15:00,,,DAL 35,10.0,7.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,93
3.0,15:00,1.0,10.0,LAC 25,10.0,7.0,"Justin Herbert pass complete short left to Josh Palmer for no gain (tackle by Malik Hooker). Penalty on Trey Pipkins: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.61,0.28,6.0,2023,93
3.0,14:30,1.0,15.0,LAC 20,10.0,7.0,Justin Herbert pass incomplete deep right intended for Keenan Allen,0.28,-0.61,6.0,2023,93
3.0,14:23,2.0,15.0,LAC 20,10.0,7.0,Justin Herbert pass complete deep right to Josh Palmer for 17 yards (tackle by Stephon Gilmore),-0.61,1.4,6.0,2023,93
3.0,13:44,1.0,10.0,LAC 37,10.0,7.0,Austin Ekeler left tackle for 6 yards (tackle by Damone Clark and Micah Parsons),1.4,1.67,6.0,2023,93
3.0,13:14,2.0,4.0,LAC 43,10.0,7.0,Austin Ekeler left guard for 3 yards (tackle by Osa Odighizuwa and Damone Clark),1.67,1.36,6.0,2023,93
3.0,12:55,3.0,1.0,LAC 46,10.0,7.0,Austin Ekeler up the middle for 3 yards (tackle by Osa Odighizuwa and Jayron Kearse),1.36,2.19,6.0,2023,93
3.0,12:17,1.0,10.0,LAC 49,10.0,7.0,"Justin Herbert pass complete short right to Joshua Kelley for no gain (tackle by Damone Clark). Penalty on Rashawn Slater: Illegal Shift, 5 yards (accepted) (no play)",2.19,1.86,6.0,2023,93
3.0,11:53,1.0,15.0,LAC 44,10.0,7.0,Justin Herbert pass complete short left to Josh Palmer for 6 yards (tackle by Markquese Bell),1.86,1.78,6.0,2023,93
3.0,11:24,2.0,9.0,LAC 50,10.0,7.0,Justin Herbert pass complete short middle to Donald Parham for 13 yards (tackle by Malik Hooker),1.78,3.12,6.0,2023,93
3.0,11:02,1.0,10.0,DAL 37,10.0,7.0,Austin Ekeler left tackle for 2 yards (tackle by Damone Clark),3.12,2.84,6.0,2023,93
3.0,10:20,2.0,8.0,DAL 35,10.0,7.0,Justin Herbert pass complete short middle to Keenan Allen for 19 yards (tackle by Donovan Wilson),2.84,4.51,6.0,2023,93
3.0,9:35,1.0,10.0,DAL 16,10.0,7.0,Justin Herbert pass incomplete short left intended for Austin Ekeler (defended by DeMarcus Lawrence),4.51,3.9,6.0,2023,93
3.0,9:30,2.0,10.0,DAL 16,10.0,7.0,Justin Herbert pass complete short right to Austin Ekeler for no gain (tackle by Markquese Bell),3.9,3.08,6.0,2023,93
3.0,8:49,3.0,10.0,DAL 16,10.0,7.0,Justin Herbert scrambles right end for 9 yards (tackle by Jayron Kearse),3.08,3.01,6.0,2023,93
3.0,7:50,4.0,1.0,DAL 7,10.0,7.0,Justin Herbert pass incomplete short right intended for Josh Palmer (defended by DaRon Bland),3.01,0.38,6.0,2023,93
3.0,7:42,1.0,10.0,DAL 7,10.0,7.0,"Dak Prescott pass incomplete short right intended for Michael Gallup. Penalty on Zack Martin: Offensive Holding, 10 yards (declined)",-0.38,-0.78,6.0,2023,93
3.0,7:35,2.0,10.0,DAL 7,10.0,7.0,Tony Pollard up the middle for 2 yards (tackle by Sebastian Joseph-Day),-0.78,-1.19,6.0,2023,93
3.0,7:01,3.0,8.0,DAL 9,10.0,7.0,Dak Prescott sacked by Morgan Fox for -4 yards,-1.19,-2.49,6.0,2023,93
3.0,6:22,4.0,12.0,DAL 5,10.0,7.0,"Bryan Anger punts 56 yards, returned by Derius Davis for 12 yards (tackle by Malik Jefferson)",-2.49,-2.32,6.0,2023,93
3.0,6:10,1.0,10.0,DAL 49,10.0,7.0,Joshua Kelley up the middle for 2 yards (tackle by Jayron Kearse),2.32,2.05,6.0,2023,93
3.0,5:33,2.0,8.0,DAL 47,10.0,7.0,Justin Herbert pass complete short right to Joshua Kelley for 2 yards,2.05,1.62,6.0,2023,93
3.0,5:00,,,,,,Timeout #1 by Dallas Cowboys,,,6.0,2023,93
3.0,5:00,3.0,6.0,DAL 45,10.0,7.0,Justin Herbert pass complete short middle to Keenan Allen for 23 yards (tackle by Stephon Gilmore),1.62,4.11,6.0,2023,93
3.0,4:32,1.0,10.0,DAL 22,10.0,7.0,Justin Herbert scrambles left end for 1 yard (tackle by DaRon Bland),4.11,3.7,6.0,2023,93
3.0,3:59,2.0,9.0,DAL 21,10.0,7.0,Justin Herbert pass complete short left to Keenan Allen for 8 yards (tackle by DaRon Bland),3.7,4.39,6.0,2023,93
3.0,3:28,3.0,1.0,DAL 13,10.0,7.0,Justin Herbert scrambles up the middle for 4 yards (tackle by Damone Clark and Osa Odighizuwa),4.39,5.14,6.0,2023,93
3.0,2:52,1.0,9.0,DAL 9,10.0,7.0,Austin Ekeler left end for 1 yard (tackle by DeMarcus Lawrence and Markquese Bell),5.14,4.57,6.0,2023,93
3.0,2:07,2.0,8.0,DAL 8,10.0,7.0,Justin Herbert scrambles up the middle for 2 yards (tackle by Markquese Bell),4.57,4.04,6.0,2023,93
3.0,1:15,3.0,6.0,DAL 6,10.0,7.0,Justin Herbert pass incomplete short right intended for Donald Parham,4.04,2.99,6.0,2023,93
3.0,1:11,4.0,6.0,DAL 6,10.0,10.0,Cameron Dicker 24 yard field goal good,2.99,3.0,6.0,2023,93
3.0,1:08,,,LAC 35,10.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,93
3.0,1:08,1.0,10.0,DAL 25,10.0,10.0,Tony Pollard up the middle for 1 yard (tackle by Austin Johnson and Eric Kendricks),0.61,0.2,6.0,2023,93
3.0,0:34,2.0,9.0,DAL 26,10.0,10.0,Tony Pollard left guard for -2 yards (tackle by Austin Johnson and Kenneth Murray),0.2,-0.76,6.0,2023,93
4.0,15:00,3.0,11.0,DAL 24,10.0,10.0,Dak Prescott pass complete short middle to Tony Pollard for 60 yards (tackle by Asante Samuel),-0.76,4.51,6.0,2023,93
4.0,14:03,,,,,,Timeout #2 by Dallas Cowboys,,,6.0,2023,93
4.0,14:03,1.0,10.0,LAC 16,10.0,10.0,"Tony Pollard right end for 4 yards (tackle by Ja'Sir Taylor). Penalty on CeeDee Lamb: Offensive Holding, 10 yards (accepted)",4.51,4.11,6.0,2023,93
4.0,13:40,1.0,16.0,LAC 22,10.0,10.0,Rico Dowdle right tackle for 4 yards (tackle by Eric Kendricks),4.11,3.64,6.0,2023,93
4.0,12:54,2.0,12.0,LAC 18,10.0,10.0,"Eric Kendricks for no gain. Penalty on Ja'Sir Taylor: Defensive Holding, 5 yards (offset) . Penalty on Terence Steele: Offensive Holding, 10 yards (offset) (no play)",3.64,3.64,6.0,2023,93
4.0,12:40,2.0,12.0,LAC 18,10.0,10.0,Dak Prescott pass complete short middle to CeeDee Lamb for 15 yards (tackle by Kenneth Murray),3.64,0.0,6.0,2023,93
4.0,12:02,1.0,4.0,LAC 3,10.0,10.0,Tony Pollard up the middle for 1 yard (tackle by Joey Bosa),0.0,5.72,6.0,2023,93
4.0,11:26,2.0,2.0,LAC 2,16.0,10.0,"Dak Prescott pass complete short left to Brandin Cooks for 2 yards, touchdown",5.72,7.0,6.0,2023,93
4.0,11:19,,,LAC 15,17.0,10.0,Brandon Aubrey kicks extra point good,0.0,0.0,6.0,2023,93
4.0,11:19,,,DAL 35,17.0,10.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,93
4.0,11:19,1.0,10.0,LAC 25,17.0,10.0,Justin Herbert pass incomplete deep left intended for Keenan Allen,0.61,0.06,6.0,2023,93
4.0,11:14,2.0,10.0,LAC 25,17.0,10.0,"Justin Herbert pass incomplete short right intended for Donald Parham. Penalty on Jayron Kearse: Defensive Holding, 5 yards (accepted) (no play)",0.06,0.94,6.0,2023,93
4.0,11:09,1.0,10.0,LAC 30,17.0,10.0,Austin Ekeler up the middle for -4 yards (tackle by Osa Odighizuwa),0.94,-0.15,6.0,2023,93
4.0,10:33,2.0,14.0,LAC 26,17.0,10.0,"Justin Herbert pass complete short right to Josh Palmer for no gain (tackle by Stephon Gilmore). Penalty on Rashawn Slater: Offensive Holding, 10 yards (accepted) (no play)",-0.15,-1.65,6.0,2023,93
4.0,10:07,2.0,24.0,LAC 16,17.0,10.0,Justin Herbert pass complete deep right to Keenan Allen for 23 yards (tackle by Damone Clark),-1.65,0.89,6.0,2023,93
4.0,9:26,3.0,1.0,LAC 39,17.0,10.0,"Austin Ekeler left guard for no gain (tackle by Jayron Kearse and Damone Clark). Penalty on Zion Johnson: Offensive Holding, 9 yards (accepted) (no play)",0.89,-0.36,6.0,2023,93
4.0,9:02,3.0,11.0,LAC 30,17.0,10.0,Justin Herbert pass incomplete short left intended for Josh Palmer (defended by DaRon Bland),-0.36,-1.37,6.0,2023,93
4.0,8:41,4.0,11.0,LAC 30,17.0,10.0,"JK Scott punts 49 yards downed by Amen Ogbongbemiga LAC challenged the fumble ruling, and the original play was overturned. JK Scott punts 50 yards, recovered by Amen Ogbongbemiga at DAL-20",-1.37,4.24,6.0,2023,93
4.0,8:41,1.0,10.0,DAL 20,17.0,10.0,"Justin Herbert pass incomplete short right intended for Keenan Allen. Penalty on Stephon Gilmore: Defensive Pass Interference, 15 yards (accepted) (no play)",4.24,6.06,6.0,2023,93
4.0,8:36,1.0,5.0,DAL 5,17.0,10.0,Austin Ekeler up the middle for 2 yards (tackle by Dorance Armstrong and Donovan Wilson),6.06,5.53,6.0,2023,93
4.0,7:59,2.0,3.0,DAL 3,17.0,10.0,Justin Herbert pass incomplete short middle intended for Josh Palmer,5.53,4.72,6.0,2023,93
4.0,7:54,3.0,3.0,DAL 3,17.0,10.0,Justin Herbert pass complete short right to Austin Ekeler for 2 yards (tackle by Markquese Bell),4.72,3.55,6.0,2023,93
4.0,7:15,,,,,,Timeout #1 by Los Angeles Chargers,,,6.0,2023,93
4.0,7:15,4.0,1.0,DAL 1,17.0,16.0,"Justin Herbert pass complete short right to Gerald Everett for 1 yard, touchdown",3.55,7.0,6.0,2023,93
4.0,7:11,,,DAL 15,17.0,17.0,Cameron Dicker kicks extra point good,0.0,0.0,6.0,2023,93
4.0,7:11,,,LAC 35,17.0,17.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,93
4.0,7:11,1.0,10.0,DAL 25,17.0,17.0,"Penalty on Tyler Smith: False Start, 5 yards (accepted) (no play)",0.61,0.28,6.0,2023,93
4.0,7:11,1.0,15.0,DAL 20,17.0,17.0,Dak Prescott pass complete short left to Michael Gallup for 5 yards (tackle by Asante Samuel),0.28,0.06,6.0,2023,93
4.0,6:41,2.0,10.0,DAL 25,17.0,17.0,Dak Prescott sacked by Nick Williams for -8 yards,0.06,-1.93,6.0,2023,93
4.0,5:52,3.0,18.0,DAL 17,17.0,17.0,Dak Prescott scrambles right end for 9 yards (tackle by Eric Kendricks),-1.93,-1.63,6.0,2023,93
4.0,5:43,4.0,9.0,DAL 26,17.0,17.0,"Penalty on Michael Davis: Defensive Holding, 5 yards (declined) Penalty on Ja'Sir Taylor: Illegal Contact, 5 yards (accepted)",-1.63,1.0,6.0,2023,93
4.0,5:43,1.0,10.0,DAL 31,17.0,17.0,Brandin Cooks right end for 14 yards (tackle by Derwin James),1.0,1.93,6.0,2023,93
4.0,5:03,1.0,10.0,DAL 45,17.0,17.0,Dak Prescott pass incomplete short left intended for Michael Gallup,1.93,1.38,6.0,2023,93
4.0,4:51,2.0,10.0,DAL 45,17.0,17.0,Tony Pollard up the middle for 4 yards (tackle by Sebastian Joseph-Day),1.38,1.22,6.0,2023,93
4.0,4:18,3.0,6.0,DAL 49,17.0,17.0,Dak Prescott pass complete deep right to CeeDee Lamb for 18 yards (tackle by Ja'Sir Taylor),1.22,3.38,6.0,2023,93
4.0,4:11,1.0,10.0,LAC 33,17.0,17.0,Rico Dowdle right tackle for 1 yard (tackle by Joey Bosa and Nick Williams),3.38,2.97,6.0,2023,93
4.0,3:37,2.0,9.0,LAC 32,17.0,17.0,"Dak Prescott pass complete short right to Sean McKeon for 5 yards (tackle by Eric Kendricks) LAC challenged the pass completion ruling, and the original play was overturned. Dak Prescott pass incomplete short right intended for Sean McKeon",2.97,2.28,6.0,2023,93
4.0,3:30,3.0,9.0,LAC 32,17.0,17.0,Dak Prescott pass complete short left to Brandin Cooks for 11 yards (tackle by Asante Samuel),2.28,4.17,6.0,2023,93
4.0,2:38,1.0,10.0,LAC 21,17.0,17.0,Tony Pollard right tackle for no gain (tackle by Eric Kendricks),4.17,3.63,6.0,2023,93
4.0,2:36,,,,,,Timeout #2 by Los Angeles Chargers,,,6.0,2023,93
4.0,2:36,2.0,10.0,LAC 21,17.0,17.0,Dak Prescott sacked by Sebastian Joseph-Day for no gain,3.63,2.94,6.0,2023,93
4.0,2:28,,,,,,Timeout #3 by Los Angeles Chargers,,,6.0,2023,93
