Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA,week,year,game_id
2.0,13:48,1.0,10.0,CAR 31,14.0,0.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 11 yards (tackle by C.J. Henderson),3.51,4.24,6.0,2023,83
2.0,13:14,1.0,10.0,CAR 20,14.0,0.0,Salvon Ahmed right end for 3 yards (tackle by Frankie Luvu and Yetur Gross-Matos),4.24,4.12,6.0,2023,83
2.0,12:37,2.0,7.0,CAR 17,14.0,0.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 14 yards (tackle by Kamu Grugier-Hill),4.12,6.51,6.0,2023,83
2.0,11:59,1.0,3.0,CAR 3,14.0,0.0,Salvon Ahmed up the middle for no gain (tackle by DeShawn Williams and Frankie Luvu),6.51,5.53,6.0,2023,83
2.0,11:19,2.0,3.0,CAR 3,14.0,6.0,"Tua Tagovailoa pass complete short right to Raheem Mostert for 3 yards, touchdown",5.53,7.0,6.0,2023,83
2.0,11:13,,,CAR 15,14.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,6.0,2023,83
2.0,11:13,,,MIA 35,14.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,83
2.0,11:13,1.0,10.0,CAR 25,14.0,7.0,Chuba Hubbard left tackle for 4 yards (tackle by Jerome Baker and Andrew Van Ginkel),0.61,0.6,6.0,2023,83
2.0,10:35,2.0,6.0,CAR 29,14.0,7.0,Bryce Young pass complete short right to Adam Thielen for 8 yards (tackle by Andrew Van Ginkel),0.6,1.4,6.0,2023,83
2.0,9:57,1.0,10.0,CAR 37,14.0,7.0,Bryce Young pass complete short left to Jonathan Mingo for 10 yards (tackle by Eli Apple),1.4,2.06,6.0,2023,83
2.0,9:13,1.0,10.0,CAR 47,14.0,7.0,Chuba Hubbard up the middle for 2 yards (tackle by Bradley Chubb),2.06,1.79,6.0,2023,83
2.0,8:36,2.0,8.0,CAR 49,14.0,7.0,Bryce Young pass incomplete short right intended for Jonathan Mingo,1.79,1.09,6.0,2023,83
2.0,8:32,3.0,8.0,CAR 49,14.0,7.0,Bryce Young pass incomplete deep left intended for DJ Chark,1.09,-0.13,6.0,2023,83
2.0,8:27,4.0,8.0,CAR 49,14.0,7.0,"Johnny Hekker pass complete short right to Laviska Shenault for 7 yards (tackle by Duke Riley and Elijah Campbell) Replay Assistant challenged the short of the line to gain ruling, and the play was upheld.",-0.13,-1.8,6.0,2023,83
2.0,8:20,1.0,10.0,MIA 43,14.0,7.0,Raheem Mostert left tackle for 49 yards (tackle by C.J. Henderson),1.8,5.37,6.0,2023,83
2.0,7:45,1.0,8.0,CAR 8,14.0,7.0,Raheem Mostert up the middle for 4 yards (tackle by Shy Tuttle),5.37,5.34,6.0,2023,83
2.0,7:07,2.0,4.0,CAR 4,14.0,13.0,"Tua Tagovailoa pass complete short left to Jaylen Waddle for 4 yards, touchdown",5.34,7.0,6.0,2023,83
2.0,7:00,,,CAR 15,14.0,14.0,Jason Sanders kicks extra point good,0.0,0.0,6.0,2023,83
2.0,7:00,,,MIA 35,14.0,14.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,83
2.0,7:00,1.0,10.0,CAR 25,14.0,14.0,Bryce Young pass complete short right to Laviska Shenault for no gain (tackle by Jerome Baker),0.61,0.06,6.0,2023,83
2.0,6:25,2.0,10.0,CAR 25,14.0,14.0,Chuba Hubbard right guard for 3 yards (tackle by Zach Sieler and Christian Wilkins),0.06,-0.23,6.0,2023,83
2.0,5:47,3.0,7.0,CAR 28,14.0,14.0,Bryce Young pass complete short left to DJ Chark for 1 yard (tackle by Xavien Howard),-0.23,-1.44,6.0,2023,83
2.0,5:09,4.0,6.0,CAR 29,14.0,14.0,"Johnny Hekker punts 43 yards, fair catch by Braxton Berrios at MIA-28",-1.44,-0.81,6.0,2023,83
2.0,5:01,1.0,10.0,MIA 28,14.0,14.0,Tua Tagovailoa pass incomplete short middle intended for Tyreek Hill (defended by Shy Tuttle),0.81,0.26,6.0,2023,83
2.0,4:58,2.0,10.0,MIA 28,14.0,14.0,Tua Tagovailoa pass incomplete short left,0.26,-0.43,6.0,2023,83
2.0,4:51,3.0,10.0,MIA 28,14.0,14.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 17 yards (tackle by C.J. Henderson and Matthias Farley),-0.43,1.93,6.0,2023,83
2.0,4:15,1.0,10.0,MIA 45,14.0,14.0,Salvon Ahmed right end for 2 yards (tackle by Shy Tuttle),1.93,1.65,6.0,2023,83
2.0,3:33,2.0,8.0,MIA 47,14.0,14.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill,1.65,0.96,6.0,2023,83
2.0,3:30,3.0,8.0,MIA 47,14.0,14.0,Tua Tagovailoa pass complete short left to Raheem Mostert for 8 yards (tackle by Donte Jackson),0.96,2.59,6.0,2023,83
2.0,2:49,1.0,10.0,CAR 45,14.0,14.0,Raheem Mostert left tackle for 2 yards (tackle by Brian Burns and Frankie Luvu),2.59,2.31,6.0,2023,83
2.0,2:10,2.0,8.0,CAR 43,14.0,14.0,Tua Tagovailoa pass complete short right to Salvon Ahmed for 2 yards (tackle by Troy Hill),2.31,1.88,6.0,2023,83
2.0,2:00,3.0,6.0,CAR 41,14.0,20.0,"Tua Tagovailoa pass complete deep right to Tyreek Hill for 41 yards, touchdown",1.88,7.0,6.0,2023,83
2.0,1:54,,,CAR 15,14.0,21.0,Jason Sanders kicks extra point good,0.0,0.0,6.0,2023,83
2.0,1:54,,,MIA 35,14.0,21.0,"Penalty on Tyreek Hill: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",0.0,0.0,6.0,2023,83
2.0,1:54,,,MIA 20,14.0,21.0,"Jason Sanders kicks off 76 yards, returned by Raheem Blackshear for 31 yards (tackle by Brandon Jones)",0.0,1.27,6.0,2023,83
2.0,1:48,1.0,10.0,CAR 35,14.0,21.0,Bryce Young pass incomplete short right,1.27,0.72,6.0,2023,83
2.0,1:43,2.0,10.0,CAR 35,14.0,21.0,Bryce Young pass incomplete short right,0.72,0.04,6.0,2023,83
2.0,1:39,3.0,10.0,CAR 35,14.0,21.0,Bryce Young pass complete short right to Adam Thielen for 16 yards (tackle by Parry Nickerson),0.04,2.32,6.0,2023,83
2.0,1:16,1.0,10.0,MIA 49,14.0,21.0,Bryce Young pass complete short middle to Adam Thielen for 16 yards (tackle by Eli Apple),2.32,3.38,6.0,2023,83
2.0,0:53,1.0,10.0,MIA 33,14.0,21.0,Bryce Young pass complete short right to Adam Thielen for 7 yards (tackle by Kader Kohou),3.38,3.78,6.0,2023,83
2.0,0:36,,,,,,Timeout #1 by Miami Dolphins,,,6.0,2023,83
2.0,0:36,2.0,3.0,MIA 26,14.0,21.0,Bryce Young pass incomplete deep left,3.78,3.07,6.0,2023,83
