Quarter,Time,Down,ToGo,Location,SFO,CLE,Detail,EPB,EPA,week,year,game_id
4.0,2:29,1.0,10.0,SFO 40,17.0,16.0,Jerome Ford left end for 4 yards (tackle by Talanoa Hufanga),2.92,2.98,6.0,2023,81
4.0,2:22,2.0,5.0,SFO 36,17.0,16.0,Jerome Ford right guard for 22 yards (tackle by Tashaun Gipson),2.98,4.65,6.0,2023,81
4.0,2:00,1.0,10.0,SFO 14,17.0,16.0,Kareem Hunt left tackle for 1 yard (tackle by Nick Bosa),4.65,4.16,6.0,2023,81
4.0,1:55,,,,,,Timeout #1 by San Francisco 49ers,,,6.0,2023,81
4.0,1:55,2.0,9.0,SFO 13,17.0,16.0,P.J. Walker pass incomplete short right intended for Amari Cooper,4.16,3.26,6.0,2023,81
4.0,1:49,3.0,9.0,SFO 13,17.0,16.0,Kareem Hunt left guard for 2 yards (tackle by Deommodore Lenoir),3.26,2.7,6.0,2023,81
4.0,1:43,,,,,,Timeout #2 by San Francisco 49ers,,,6.0,2023,81
4.0,1:43,4.0,7.0,SFO 11,17.0,19.0,Dustin Hopkins 29 yard field goal good,2.7,3.0,6.0,2023,81
4.0,1:40,,,CLE 35,17.0,19.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,81
4.0,1:40,1.0,10.0,SFO 25,17.0,19.0,Brock Purdy pass incomplete short left intended for Jauan Jennings,0.61,0.06,6.0,2023,81
4.0,1:36,2.0,10.0,SFO 25,17.0,19.0,Brock Purdy pass incomplete deep right intended for Brandon Aiyuk,0.06,-0.62,6.0,2023,81
4.0,1:31,3.0,10.0,SFO 25,17.0,19.0,"Brock Purdy pass incomplete intended for Jauan Jennings. Penalty on Martin Emerson: Defensive Pass Interference, 7 yards (accepted) (no play)",-0.62,1.07,6.0,2023,81
4.0,1:27,1.0,10.0,SFO 32,17.0,19.0,Brock Purdy pass complete short left to Brandon Aiyuk for 25 yards (tackle by Rodney McLeod),1.07,2.72,6.0,2023,81
4.0,1:05,1.0,10.0,CLE 43,17.0,19.0,Brock Purdy pass incomplete short right intended for Jauan Jennings,2.72,2.18,6.0,2023,81
4.0,1:00,2.0,10.0,CLE 43,17.0,19.0,Brock Purdy pass complete short right to Brandon Aiyuk for 8 yards (tackle by Denzel Ward and Juan Thornhill),2.18,2.54,6.0,2023,81
4.0,0:49,,,,,,Timeout #2 by Cleveland Browns,,,6.0,2023,81
4.0,0:49,3.0,2.0,CLE 35,17.0,19.0,Brock Purdy pass complete short left to Jauan Jennings for 9 yards (tackle by Greg Newsome),2.54,3.84,6.0,2023,81
4.0,0:45,1.0,10.0,CLE 26,17.0,19.0,Jordan Mason right guard for 3 yards (tackle by Rodney McLeod),3.84,3.7,6.0,2023,81
4.0,0:09,2.0,7.0,CLE 23,17.0,19.0,Brock Purdy spiked the ball,3.7,3.01,6.0,2023,81
4.0,0:09,,,,,,Timeout #3 by Cleveland Browns,,,6.0,2023,81
4.0,0:09,3.0,7.0,CLE 23,17.0,19.0,Jake Moody 41 yard field goal no good,3.01,-1.0,6.0,2023,81
4.0,0:06,1.0,10.0,CLE 31,17.0,19.0,"Penalty on CLE: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",1.0,-0.14,6.0,2023,81
4.0,0:06,1.0,10.0,CLE 16,17.0,19.0,P.J. Walker kneels for -1 yards,-0.14,-0.78,6.0,2023,81
