Rk,Player,Age,Team,Pos,G,GS,Def Interceptions Int,Def Interceptions Yds,Def Interceptions IntTD,Def Interceptions Lng,Def Interceptions PD,Fumbles FF,Fumbles Fmb,Fumbles FR,Fumbles Yds,Fumbles FRTD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Sfty,Awards,Player_URL
25,Quandre Diggs,30,SEA,FS,17,17,1,21,0,21,5,0,0,0,0,0,0.0,95,63,32,1,0,0,,
26,Stefon Diggs,30,BUF,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB,
27,Kyle Dugger,27,NWE,DB,17,17,2,35,0,20,7,1,0,0,0,0,1.5,109,71,38,6,5,0,,
28,Samson Ebukam,28,IND,DE,17,17,0,0,0,0,1,3,0,0,0,0,9.5,57,39,18,10,17,0,,
29,T.J. Edwards,27,CHI,LB,17,17,3,4,0,2,7,1,0,2,0,0,2.5,155,91,64,8,8,0,,
30,Kaden Elliss,28,ATL,LB,17,17,0,0,0,0,3,0,0,0,0,0,4.0,122,82,40,11,6,0,,
31,Marcus Epps,27,LVR,S,17,17,0,0,0,0,3,1,0,1,1,0,0.0,66,41,25,4,0,0,,
32,Mike Evans,30,TAM,WR,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2",
33,Clelin Ferrell,26,SFO,DL,17,17,0,0,0,0,1,1,0,1,0,0,3.5,28,15,13,6,13,0,,
34,Luke Fortner,25,JAX,OL,17,17,0,0,0,0,0,0,2,0,-8,0,0.0,0,0,0,0,0,0,,
35,John Franklin-Myers,27,NYJ,DL,17,17,0,0,0,0,3,0,0,0,0,0,3.5,33,15,18,6,14,0,,
36,Hjalte Froholdt,27,ARI,OL,17,17,0,0,0,0,0,0,1,1,-11,0,0.0,0,0,0,0,0,0,,
37,Jordan Fuller,25,LAR,DB,17,17,3,39,0,21,8,3,0,0,0,0,0.0,94,61,33,1,0,0,,
38,Stephon Gilmore,33,DAL,CB,17,17,2,0,0,0,13,1,0,0,0,0,0.0,68,54,14,0,0,0,,
39,Davon Godchaux,29,NWE,DL,17,17,0,0,0,0,0,0,0,1,0,0,0.0,56,24,32,2,1,0,,
40,Jared Goff,29,DET,QB,17,17,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0,0,0,,
41,Carl Granderson,27,NOR,DE,17,17,0,0,0,0,1,1,0,1,0,0,8.5,78,44,34,14,20,0,,
42,Robert Hainsey,25,TAM,C,17,17,0,0,0,0,0,0,1,2,2,0,0.0,0,0,0,0,0,0,,
43,Najee Harris,25,PIT,RB,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,
44,Trey Hendrickson,29,CIN,DE,17,17,0,0,0,0,3,3,0,0,0,0,17.5,43,28,15,16,25,0,PB,
45,Derrick Henry,29,TEN,RB,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB,
46,Alex Highsmith,26,PIT,LB,17,17,2,30,1,30,3,2,0,0,0,0,7.0,57,34,23,8,18,0,,
47,B.J. Hill,28,CIN,DT,17,17,2,0,0,0,5,0,0,1,0,0,4.5,51,26,25,2,21,0,,
48,Daxton Hill,23,CIN,S,17,17,2,20,0,20,11,0,0,0,0,0,1.5,110,72,38,6,5,0,,
49,Josh Hines-Allen,26,JAX,OLB,17,17,1,8,0,8,1,2,0,0,0,0,17.5,66,43,23,17,33,0,PB,
50,Michael Hoecht,26,LAR,OLB,17,17,0,0,0,0,2,1,0,0,0,0,6.0,81,45,36,7,11,0,,
51,Sam Howell,23,WAS,QB,17,17,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,,
52,Creed Humphrey,24,KAN,C,17,17,0,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0,0,0,PB,
53,Danielle Hunter,29,MIN,OLB,17,17,0,0,0,0,2,4,0,0,0,0,16.5,83,54,29,23,22,0,PB,
54,Jalen Hurts,25,PHI,QB,17,17,0,0,0,0,0,0,9,4,-3,0,0.0,0,0,0,0,0,0,PB,
55,Aidan Hutchinson,23,DET,DL,17,17,1,6,0,6,7,3,0,2,0,0,11.5,51,36,15,14,33,0,PB,
56,John Jenkins,34,LVR,DT,17,17,0,0,0,0,4,0,0,1,44,1,1.0,61,24,37,4,2,0,,
57,Rayshawn Jenkins,29,JAX,SS,17,17,2,42,0,24,9,0,0,0,0,0,1.0,101,66,35,7,1,0,,
58,Austin Johnson,29,LAC,DL,17,17,0,0,0,0,2,1,0,1,0,0,0.0,46,24,22,2,1,0,,
59,Jermaine Johnson II,24,NYJ,LB,17,17,1,37,1,37,7,1,0,1,0,0,7.5,55,36,19,11,16,0,PB,
60,Paris Johnson,22,ARI,OL,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
61,Taron Johnson,27,BUF,CB,17,17,0,0,0,0,8,3,0,1,0,0,1.0,98,72,26,3,2,0,AP-2,
62,Justin Jones,27,CHI,RDT,17,17,0,0,0,0,4,0,0,0,0,0,4.5,49,29,20,10,17,0,,
63,Cameron Jordan,34,NOR,DE,17,17,0,0,0,0,3,0,0,1,0,0,2.0,43,20,23,3,6,0,,
64,Ted Karras,30,CIN,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
65,Cole Kmet,24,CHI,TE,17,17,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,
66,CeeDee Lamb,24,DAL,WR,17,17,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP OPoY-3",
67,DeMarcus Lawrence,31,DAL,DE,17,17,0,0,0,0,6,1,0,0,0,0,4.0,50,29,21,10,8,0,PB,
68,Deommodore Lenoir,24,SFO,DB,17,17,3,49,0,28,10,0,0,0,0,0,0.0,84,58,26,1,0,0,,
69,David Long,27,MIA,LB,17,17,0,0,0,0,1,1,0,0,0,0,1.0,113,64,49,9,6,0,,
70,Jordan Love,25,GNB,QB,17,17,0,0,0,0,0,0,9,3,-6,0,0.0,0,0,0,0,0,0,,
71,Frankie Luvu,27,CAR,LILB,17,17,0,0,0,0,5,2,0,0,0,0,5.5,125,66,59,10,11,0,,
72,Khalil Mack,32,LAC,OLB,17,17,0,0,0,0,10,5,0,0,0,0,17.0,74,57,17,21,22,0,"PB,AP DPoY-9",
73,Nnamdi Madubuike,26,BAL,DT,17,17,0,0,0,0,0,1,0,0,0,0,13.0,56,38,18,12,33,0,"PB,AP-2,AP DPoY-9",
74,Tyrann Mathieu,31,NOR,S,17,17,4,122,1,74,9,0,0,0,0,0,0.0,75,50,25,0,1,0,,
75,Baker Mayfield,28,TAM,QB,17,17,0,0,0,0,0,0,8,3,-5,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-3",
76,Connor McGovern,26,BUF,G,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
77,Xavier McKinney,25,NYG,FS,17,17,3,22,0,18,11,1,0,2,7,0,0.5,116,78,38,2,1,0,,
78,Terry McLaurin,28,WAS,WR,17,17,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0,0,0,,
79,Quinn Meinerz,25,DEN,OL,17,17,0,0,0,0,0,0,0,1,10,0,0.0,0,0,0,0,0,0,,
80,Josh Metellus,25,MIN,S,17,17,1,43,0,43,5,4,0,1,0,0,2.5,116,78,38,7,10,0,,
81,Tre'von Moehrig,24,LVR,S,17,17,3,41,0,25,8,0,0,0,0,0,2.0,83,65,18,1,2,0,,
82,D.J. Moore,26,CHI,WR,17,17,0,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0,,
83,C.J. Mosley,31,NYJ,LB,17,17,1,0,0,0,7,2,0,1,0,0,0.5,152,81,71,5,2,0,,
84,Puka Nacua,22,LAR,WR,17,17,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP ORoY-2",
85,Bilal Nichols,27,LVR,LDT,17,17,0,0,0,0,1,0,0,1,8,1,1.5,48,25,23,4,2,0,,
86,Derrick Nnadi,27,KAN,DT,17,17,0,0,0,0,1,0,0,0,0,0,1.0,29,16,13,1,1,0,,
87,Osa Odighizuwa,25,DAL,DT,17,17,0,0,0,0,0,0,0,0,0,0,3.0,46,26,20,9,13,0,,
88,Larry Ogunjobi,29,PIT,DT,17,17,0,0,0,0,2,1,0,2,0,0,3.0,43,21,22,3,8,0,,
89,Bobby Okereke,27,NYG,LB,17,17,2,62,0,55,10,4,0,0,0,0,2.5,149,92,57,11,6,0,,
90,Foyesade Oluokun,28,JAX,LB,17,17,1,24,1,24,6,1,0,3,0,0,2.5,173,111,62,8,10,0,,
91,Cade Otton,24,TAM,TE,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
92,Dylan Parham,24,LVR,G,17,17,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,
93,Micah Parsons,24,DAL,LB,17,17,0,0,0,0,2,1,0,1,0,0,14.0,64,36,28,18,33,0,"PB,AP-2,AP DPoY-3",
94,Daron Payne,26,WAS,DT,17,17,0,0,0,0,4,2,0,2,0,0,4.0,53,32,21,13,11,0,,
95,Harrison Phillips,27,MIN,DL,17,17,0,0,0,0,2,0,0,0,0,0,3.0,92,44,48,2,6,0,,
96,Michael Pierce,31,BAL,NT,17,17,0,0,0,0,2,1,0,2,0,0,1.0,42,24,18,2,3,0,,
97,Tony Pollard,26,DAL,RB,17,17,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,,
98,Germaine Pratt,27,CIN,LB,17,17,2,9,0,9,3,2,0,0,0,0,2.0,118,63,55,7,3,0,,
99,Dak Prescott,30,DAL,QB,17,17,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-5",
100,Patrick Queen,24,BAL,LB,17,17,1,21,0,21,6,1,0,1,0,0,3.5,133,84,49,9,6,0,"PB,AP-2",
101,Haason Reddick,29,PHI,OLB,17,17,0,0,0,0,1,0,0,0,0,0,11.0,38,29,9,13,23,0,PB,
102,Calvin Ridley,29,JAX,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,AP CPoY-7,
103,Roy Robertson-Harris,30,JAX,DL,17,17,0,0,0,0,1,0,0,0,0,0,3.5,34,16,18,3,11,0,,
104,Khalen Saunders,27,NOR,DT,17,17,0,0,0,0,1,0,0,0,0,0,0.0,57,24,33,1,2,0,,
105,Isaac Seumalo,30,PIT,G,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
106,Penei Sewell,23,DET,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-1",
107,Nathan Shepherd,30,NOR,DT,17,17,0,0,0,0,0,0,0,0,0,0,3.5,50,27,23,4,8,0,,
108,Zach Sieler,28,MIA,DT,17,17,1,5,1,5,4,1,0,2,3,0,10.0,63,32,31,11,22,0,,
109,John Simpson,26,BAL,G,17,17,0,0,0,0,0,0,0,1,8,0,0.0,0,0,0,0,0,0,,
110,Tedarrell Slaton,26,GNB,DL,17,17,0,0,0,0,2,0,0,0,0,0,0.0,50,23,27,2,2,0,,
111,Harrison Smith,34,MIN,S,17,17,0,0,0,0,3,3,0,0,0,0,3.0,93,60,33,2,6,0,,
112,Preston Smith,31,GNB,LB,17,17,0,0,0,0,4,2,0,0,0,0,8.0,48,28,20,4,21,0,,
113,Robert Spillane,28,LVR,LB,17,17,3,53,0,25,4,1,0,1,0,0,3.5,148,82,66,7,4,0,,
114,Terence Steele,26,DAL,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
115,Patrick Surtain II,23,DEN,CB,17,17,1,0,0,0,12,0,0,0,0,0,0.0,69,59,10,0,0,0,PB,
116,Cameron Sutton,28,DET,CB,17,17,1,23,0,23,6,1,0,0,0,0,0.0,65,50,15,4,0,0,,
117,Josh Sweat,26,PHI,DE,17,17,0,0,0,0,1,2,0,0,0,0,6.5,43,30,13,7,23,0,,
118,Tua Tagovailoa,25,MIA,QB,17,17,0,0,0,0,0,0,13,9,-36,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-5",
119,AJ Terrell,25,ATL,CB,17,17,0,0,0,0,11,0,0,0,0,0,0.0,45,34,11,4,0,0,,
120,Kayvon Thibodeaux,23,NYG,OLB,17,17,0,0,0,0,4,3,0,1,0,0,11.5,50,26,24,12,16,0,,
121,Adam Thielen,33,CAR,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,
122,Zach Tom,24,GNB,OL,17,17,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,,
123,Laken Tomlinson,31,NYJ,LG,17,17,0,0,0,0,0,0,0,2,10,0,0.0,0,0,0,0,0,0,,
124,O'Cyrus Torrence,23,BUF,G,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
125,Shy Tuttle,28,CAR,DT,17,17,0,0,0,0,5,0,0,0,0,0,0.5,43,19,24,1,1,0,,
126,Greg Van Roten,33,LVR,G,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
127,Travon Walker,23,JAX,OLB,17,17,0,0,0,0,2,0,0,1,0,0,10.0,52,27,25,10,19,0,,
128,Charvarius Ward,27,SFO,CB,17,17,5,91,1,66,23,1,0,0,0,0,0.0,72,56,16,2,0,0,"PB,AP-2",
129,Fred Warner,27,SFO,LB,17,17,4,66,0,32,11,4,0,0,0,0,2.5,132,82,50,6,5,0,"PB,AP-1,AP DPoY-6",
130,T.J. Watt,29,PIT,LB,17,17,1,24,0,24,8,4,0,3,34,1,19.0,68,48,20,19,36,0,"PB,AP-1,AP DPoY-2",
131,Rachaad White,24,TAM,RB,17,17,0,0,0,0,0,0,3,3,3,0,0.0,0,0,0,0,0,0,,
132,Jordan Whitehead,26,NYJ,SS,17,17,4,6,0,6,9,0,0,0,0,0,0.5,97,65,32,3,1,0,,
133,Christian Wilkins,28,MIA,LDE,17,17,0,0,0,0,2,1,0,2,0,0,9.0,65,38,27,10,23,0,,
134,Darious Williams,30,JAX,LCB,17,17,4,72,1,61,19,2,0,0,0,0,0.0,53,44,9,3,0,0,,
135,Jonah Williams,26,CIN,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
136,Quinnen Williams,26,NYJ,DL,17,17,1,6,0,6,3,1,0,1,0,0,5.5,62,39,23,11,20,1,PB,
137,Garrett Wilson,23,NYJ,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,
138,Logan Wilson,27,CIN,LB,17,17,4,42,0,26,9,2,0,0,0,0,1.0,135,78,57,5,4,0,,
139,Antoine Winfield Jr.,25,TAM,S,17,17,3,28,0,28,12,6,0,4,5,0,6.0,122,76,46,6,8,0,"AP-1,AP DPoY-6",
140,Tristan Wirfs,24,TAM,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB,
141,Ahkello Witherspoon,28,LAR,DB,17,17,3,17,0,17,14,0,0,2,0,0,0.0,52,43,9,3,0,0,,
142,DeForest Buckner,29,IND,DT,17,16,0,0,0,0,7,2,0,1,26,1,8.0,81,45,36,11,21,0,PB,
143,Romeo Doubs,23,GNB,WR,17,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
144,Leonard Floyd,31,BUF,RDE,17,16,0,0,0,0,1,1,0,0,0,0,10.5,32,21,11,9,19,0,,
145,Breece Hall,22,NYJ,RB,17,16,0,0,0,0,0,0,2,3,-1,0,0.0,0,0,0,0,0,0,AP CPoY-7,
146,Dre'Mont Jones,26,SEA,DE,17,16,0,0,0,0,0,0,0,0,0,0,4.5,49,26,23,5,12,0,,
147,Kader Kohou,25,MIA,CB,17,16,0,0,0,0,10,0,0,1,0,0,1.0,63,52,11,5,5,0,,
148,Steven Nelson,30,HOU,CB,17,16,4,33,0,33,12,0,0,0,0,0,0.0,63,48,15,0,0,0,,
149,Patrick Peterson,33,PIT,LCB,17,16,2,0,0,0,11,0,0,0,0,0,0.0,42,34,8,0,0,0,,
150,George Pickens,22,PIT,WR,17,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,
151,Bijan Robinson,21,ATL,RB,17,16,0,0,0,0,0,0,4,0,-7,0,0.0,0,0,0,0,0,0,AP ORoY-5,
152,Asante Samuel Jr.,24,LAC,CB,17,16,2,8,0,8,13,0,0,0,0,0,0.0,63,56,7,1,0,0,,
153,Alex Singleton,30,DEN,LB,17,16,0,0,0,0,4,0,0,2,0,0,2.0,177,106,71,6,6,0,,
154,Jahlani Tavai,27,NWE,LB,17,16,2,2,0,2,5,2,1,0,0,0,1.0,110,65,45,5,4,0,,
155,Wyatt Teller,29,CLE,G,17,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB,
156,Bobby Wagner,33,SEA,LB,17,16,0,0,0,0,3,0,0,1,0,0,3.5,183,96,87,11,6,0,"PB,AP-2",
157,Jonah Williams,28,LAR,DE,17,16,0,0,0,0,1,0,0,0,0,0,2.0,49,20,29,4,4,0,,
158,Quincy Williams,27,NYJ,LB,17,16,1,11,0,11,10,2,0,1,0,0,2.0,139,95,44,15,4,0,AP-1,
159,Byron Young,25,LAR,OLB,17,16,0,0,0,0,0,2,0,1,0,0,8.0,61,42,19,8,19,0,AP DRoY-8,
160,DaRon Bland,24,DAL,CB,17,15,9,209,5,63,15,0,0,0,0,0,0.0,69,53,16,3,1,0,"PB,AP-1,AP DPoY-5",
161,Jadeveon Clowney,30,BAL,OLB,17,15,0,0,0,0,5,2,0,1,0,0,9.5,43,24,19,9,19,0,,
162,Evan Engram,29,JAX,TE,17,15,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,PB,
163,Richie Grant,26,ATL,S,17,15,1,4,0,4,6,2,0,0,0,0,3.0,103,66,37,3,5,0,,
164,Benito Jones,26,DET,DL,17,15,0,0,0,0,0,0,0,0,0,0,1.0,26,13,13,3,6,0,,
165,Rodney Thomas II,25,IND,S,17,15,2,5,0,5,4,0,0,0,0,0,0.0,34,30,4,0,0,0,,
166,Denico Autry,33,TEN,LDE,17,14,0,0,0,0,4,2,0,0,0,0,11.5,50,30,20,12,17,0,,
167,Jonathan Bullard,30,MIN,DL,17,14,0,0,0,0,0,1,0,0,0,0,2.0,44,24,20,3,2,0,,
168,Jordan Elliott,26,CLE,DT,17,14,0,0,0,0,1,0,0,0,0,0,2.5,21,14,7,3,3,0,,
169,Josh Oliver,26,MIN,TE,17,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
170,Daniel Bellinger,23,NYG,TE,17,13,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,,
171,James Cook,24,BUF,RB,17,13,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,PB,
172,Michael Davis,28,LAC,CB,17,13,1,0,0,0,10,0,0,0,0,0,0.0,62,52,10,3,0,0,,
173,Rashan Gary,26,GNB,LB,17,13,0,0,0,0,2,2,0,2,0,0,9.0,44,23,21,7,22,0,,
174,Mike Hilton,29,CIN,CB,17,13,2,16,0,16,8,0,0,1,0,0,2.0,84,64,20,12,2,0,,
175,Gardner Minshew II,27,IND,QB,17,13,0,0,0,0,0,0,8,2,5,0,0.0,0,0,0,0,0,0,PB,
176,Keisean Nixon,26,GNB,CB,17,13,1,2,0,2,6,0,3,2,0,0,0.5,80,59,21,3,1,0,AP-1,
177,Josh Reynolds,28,DET,WR,17,13,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
178,A'Shawn Robinson,28,NYG,DL,17,13,0,0,0,0,2,0,0,0,0,0,0.0,62,34,28,6,1,0,,
179,Alontae Taylor,25,NOR,CB,17,13,2,16,0,16,14,1,0,0,0,0,1.0,75,56,19,6,1,0,,
180,Jack Campbell,23,DET,LB,17,12,0,0,0,0,1,0,0,0,0,0,2.0,95,52,43,5,3,0,AP DRoY-8,
181,Jerome Ford,24,CLE,RB,17,12,0,0,0,0,0,0,1,2,0,0,0.0,0,0,0,0,0,0,,
182,Lawrence Guy,33,NWE,RDE,17,12,0,0,0,0,1,0,0,0,0,0,0.0,38,16,22,1,0,0,,
183,Chuba Hubbard,24,CAR,RB,17,12,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
184,Derion Kendrick,23,LAR,DB,17,12,1,0,0,0,10,0,0,0,0,0,0.0,49,41,8,3,0,0,,
185,Julian Love,25,SEA,S,17,12,4,7,0,7,10,2,0,1,3,0,0.0,123,85,38,1,0,0,PB,
186,Trey McBride,24,ARI,TE,17,12,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,,
187,Elijah Moore,23,CLE,WR,17,12,0,0,0,0,0,0,2,1,-9,0,0.0,0,0,0,0,0,0,,
188,Amik Robertson,25,LVR,CB,17,12,2,40,0,40,6,1,0,0,0,0,1.0,50,38,12,2,1,0,,
189,Joe Tryon-Shoyinka,24,TAM,OLB,17,12,0,0,0,0,1,1,0,1,0,0,5.0,45,28,17,7,7,0,,
190,DJ Turner,23,CIN,CB,17,12,0,0,0,0,7,0,0,1,28,0,1.0,50,40,10,2,1,0,,
191,Carrington Valentine,22,GNB,CB,17,12,0,0,0,0,9,0,0,1,50,0,0.0,44,33,11,0,0,0,,
192,DeMarcus Walker,29,CHI,DL,17,12,0,0,0,0,0,0,0,0,0,0,3.5,30,17,13,9,16,0,,
193,Pharaoh Brown,29,NWE,TE,17,11,0,0,0,0,0,0,1,0,0,0,0.0,3,2,1,0,0,0,,
194,Broderick Jones,22,PIT,T,17,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
195,Malcolm Koonce,25,LVR,DE,17,11,0,0,0,0,0,3,0,0,0,0,8.0,43,32,11,9,17,0,,
196,Chigoziem Okonkwo,24,TEN,TE,17,11,0,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,0,0,,
197,Jonathan Owens,28,GNB,S,17,11,0,0,0,0,3,1,0,1,27,1,1.0,84,58,26,2,1,0,,
198,Ivan Pace,23,MIN,LB,17,11,1,0,0,0,2,1,0,1,6,0,2.5,102,63,39,2,9,0,,
199,Joey Porter Jr.,23,PIT,CB,17,11,1,0,0,0,10,0,0,0,0,0,0.0,43,32,11,1,0,0,AP DRoY-5,
200,Geno Stone,24,BAL,SS/FS,17,11,7,101,0,36,9,0,0,0,0,0,0.0,68,44,24,0,0,0,,
201,Tuli Tuipulotu,21,LAC,OLB,17,11,0,0,0,0,1,2,0,1,0,0,4.5,53,37,16,8,12,0,,
202,Andrew Van Ginkel,28,MIA,LOLB,17,11,1,33,1,33,8,0,0,1,29,0,6.0,69,42,27,8,19,0,,
203,Leo Chenal,23,KAN,LB,17,10,0,0,0,0,1,0,0,0,0,0,3.0,65,40,25,8,7,0,,
204,Tyrel Dodson,25,BUF,LB,17,10,0,0,0,0,2,1,0,1,0,0,2.5,74,57,17,8,6,0,,
205,Noah Gray,24,KAN,TE,17,10,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,
206,Jaylon Jones,21,IND,CB,17,10,0,0,0,0,5,0,0,0,0,0,0.0,44,33,11,1,0,0,,
207,Harold Landry,27,TEN,OLB,17,10,0,0,0,0,0,0,0,0,0,0,10.5,70,45,25,14,21,0,,
208,Drew Sample,27,CIN,TE,17,10,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,
209,Jack Sanborn,23,CHI,LB,17,10,1,42,0,42,2,0,0,0,0,0,1.0,65,43,22,7,1,0,,
210,Nick Scott,28,CIN,S,17,10,0,0,0,0,0,0,0,1,0,0,0.0,57,35,22,1,1,0,,
211,Khalil Shakir,23,BUF,WR,17,10,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,
212,Devin Singletary,26,HOU,RB,17,10,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,
