Quarter,Time,Down,ToGo,Location,SFO,WAS,Detail,EPB,EPA,week,year,game_id
4.0,9:20,,,SFO 35,27.0,10.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,252
4.0,9:20,1.0,10.0,WAS 25,27.0,10.0,Sam Howell pass complete short middle to Logan Thomas for 6 yards (tackle by Dre Greenlaw),0.61,0.87,17.0,2023,252
4.0,8:56,2.0,4.0,WAS 31,27.0,10.0,Sam Howell pass short middle intended for Byron Pringle is intercepted by Deommodore Lenoir at WAS-41 and returned for no gain (tackle by Byron Pringle),0.87,-2.85,17.0,2023,252
4.0,8:50,1.0,10.0,WAS 41,27.0,10.0,Elijah Mitchell left end for 3 yards (tackle by John Ridgeway and Phidarian Mathis),2.85,2.71,17.0,2023,252
4.0,8:09,2.0,7.0,WAS 38,27.0,10.0,Deebo Samuel right end for 17 yards (tackle by Cody Barton),2.71,4.17,17.0,2023,252
4.0,7:25,,,,,,Timeout #2 by San Francisco 49ers,,,17.0,2023,252
4.0,7:25,1.0,10.0,WAS 21,27.0,10.0,Elijah Mitchell left guard for 5 yards (tackle by Quan Martin),4.17,4.37,17.0,2023,252
4.0,6:48,2.0,5.0,WAS 16,27.0,10.0,Brock Purdy pass complete short right to Kyle Juszczyk for 7 yards (tackle by Terrell Burgess),4.37,5.14,17.0,2023,252
4.0,6:03,1.0,9.0,WAS 9,27.0,10.0,Elijah Mitchell left end for 2 yards (tackle by Khaleke Hudson),5.14,4.76,17.0,2023,252
4.0,5:22,2.0,7.0,WAS 7,27.0,10.0,Brock Purdy pass complete short middle to George Kittle for 5 yards (tackle by David Mayo),4.76,4.95,17.0,2023,252
4.0,4:38,3.0,2.0,WAS 2,27.0,10.0,Elijah Mitchell left tackle for 1 yard (tackle by Jonathan Allen),4.95,3.55,17.0,2023,252
4.0,4:01,4.0,1.0,WAS 1,27.0,10.0,Elijah Mitchell left end for -1 yards (tackle by David Mayo),3.55,0.38,17.0,2023,252
4.0,3:56,1.0,10.0,WAS 2,27.0,10.0,Sam Howell pass complete short right to Brian Robinson for -1 yards (tackle by Charvarius Ward and Dre Greenlaw),-0.38,-0.85,17.0,2023,252
4.0,3:14,2.0,11.0,WAS 1,27.0,10.0,Sam Howell pass complete short middle to Brian Robinson for 4 yards (tackle by Dre Greenlaw),-0.85,-1.07,17.0,2023,252
4.0,2:31,3.0,7.0,WAS 5,27.0,10.0,Sam Howell pass incomplete short left intended for Terry McLaurin (defended by Nick Bosa),-1.07,-2.49,17.0,2023,252
4.0,2:24,4.0,7.0,WAS 5,27.0,10.0,"Tress Way punts 48 yards, returned by Ronnie Bell for no gain (tackle by Byron Pringle)",-2.49,-2.06,17.0,2023,252
4.0,2:16,1.0,10.0,SFO 47,27.0,10.0,Jordan Mason right tackle for -2 yards (tackle by Cody Barton),2.06,1.25,17.0,2023,252
4.0,2:00,2.0,12.0,SFO 45,27.0,10.0,Jordan Mason right tackle for 5 yards (tackle by Khaleke Hudson and Phidarian Mathis),1.25,1.22,17.0,2023,252
4.0,1:54,,,,,,Timeout #1 by Washington Commanders,,,17.0,2023,252
4.0,1:54,3.0,7.0,SFO 50,27.0,10.0,"Sam Darnold sacked by. Sam Darnold fumbles, recovered by Sam Darnold at SF-44 (tackle by K.J. Henry)",1.22,-0.46,17.0,2023,252
4.0,1:49,,,,,,Timeout #2 by Washington Commanders,,,17.0,2023,252
4.0,1:49,4.0,13.0,SFO 44,27.0,10.0,"Mitch Wishnowsky punts 40 yards, returned by Jamison Crowder for 2 yards (tackle by Samuel Womack)",-0.46,-0.04,17.0,2023,252
4.0,1:39,1.0,10.0,WAS 18,27.0,10.0,Antonio Gibson right tackle for 2 yards (tackle by Robert Beal and Kevin Givens),0.04,-0.13,17.0,2023,252
4.0,1:13,2.0,8.0,WAS 20,27.0,10.0,Sam Howell pass incomplete short right,-0.13,-0.91,17.0,2023,252
4.0,1:10,3.0,8.0,WAS 20,27.0,10.0,Sam Howell pass incomplete deep left intended for Terry McLaurin,-0.91,-2.03,17.0,2023,252
4.0,1:03,4.0,8.0,WAS 20,27.0,10.0,Sam Howell pass complete short left to John Bates for 6 yards (tackle by Isaiah Oliver),-2.03,-3.84,17.0,2023,252
4.0,0:54,1.0,10.0,WAS 26,27.0,10.0,Sam Darnold kneels for -1 yards,3.84,3.16,17.0,2023,252
4.0,0:34,2.0,11.0,WAS 27,27.0,10.0,Sam Darnold kneels for -1 yards,3.16,2.35,17.0,2023,252
