Quarter,Time,Down,ToGo,Location,LAR,NYG,Detail,EPB,EPA,week,year,game_id
1.0,3:53,2.0,2.0,NYG 22,0.0,0.0,Matthew Stafford pass complete short right to Tyler Higbee for 18 yards (tackle by Xavier McKinney and Adoree' Jackson),4.11,6.28,17.0,2023,251
1.0,3:11,1.0,4.0,NYG 4,6.0,0.0,"Kyren Williams right guard for 4 yards, touchdown",6.28,7.0,17.0,2023,251
1.0,3:07,,,NYG 15,7.0,0.0,Lucas Havrisik kicks extra point good,0.0,0.0,17.0,2023,251
1.0,3:07,,,LAR 35,7.0,0.0,"Lucas Havrisik kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,251
1.0,3:07,1.0,10.0,NYG 25,7.0,0.0,Tyrod Taylor pass complete short right to Saquon Barkley for 6 yards (tackle by Ernest Jones),0.61,0.87,17.0,2023,251
1.0,2:33,2.0,4.0,NYG 31,7.0,0.0,Saquon Barkley left guard for 10 yards (tackle by Quentin Lake),0.87,1.66,17.0,2023,251
1.0,1:59,1.0,10.0,NYG 41,7.0,0.0,Tyrod Taylor sacked by Byron Young for -2 yards,1.66,0.85,17.0,2023,251
1.0,1:28,2.0,12.0,NYG 39,7.0,0.0,Tyrod Taylor pass complete short right to Jalin Hyatt for 8 yards (tackle by Byron Young),0.85,1.22,17.0,2023,251
1.0,0:53,3.0,4.0,NYG 47,7.0,0.0,Tyrod Taylor pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Christian Rozeboom),1.22,2.52,17.0,2023,251
1.0,0:19,1.0,10.0,LAR 46,7.0,0.0,"Saquon Barkley for no gain. Penalty on Daniel Bellinger: Offensive Holding, 10 yards (accepted) (no play)",2.52,1.86,17.0,2023,251
2.0,15:00,1.0,20.0,NYG 44,7.0,0.0,Tyrod Taylor pass complete short middle to Darren Waller for 8 yards (tackle by Michael Hoecht and Quentin Lake),1.86,1.71,17.0,2023,251
2.0,14:26,2.0,12.0,LAR 48,7.0,0.0,Tyrod Taylor pass complete short right to Eric Gray for 6 yards (tackle by Ernest Jones),1.71,1.82,17.0,2023,251
2.0,13:46,3.0,6.0,LAR 42,7.0,0.0,Tyrod Taylor pass complete deep right to Jalin Hyatt for 18 yards (tackle by Ahkello Witherspoon),1.82,3.97,17.0,2023,251
2.0,13:11,1.0,10.0,LAR 24,7.0,6.0,"Wan'Dale Robinson right end for 24 yards, touchdown",3.97,7.0,17.0,2023,251
2.0,13:03,,,LAR 15,7.0,7.0,Mason Crosby kicks extra point good,0.0,0.0,17.0,2023,251
2.0,13:03,,,NYG 35,7.0,7.0,"Mason Crosby kicks off 64 yards,",0.0,0.61,17.0,2023,251
2.0,13:03,1.0,10.0,LAR 25,7.0,7.0,Matthew Stafford pass complete short left to Puka Nacua for 15 yards (tackle by Xavier McKinney and Dane Belton),0.61,1.6,17.0,2023,251
2.0,12:21,1.0,10.0,LAR 40,7.0,7.0,Matthew Stafford sacked by Bobby Okereke for -6 yards,1.6,0.24,17.0,2023,251
2.0,11:34,,,,,,Timeout #1 by Los Angeles Rams,,,17.0,2023,251
2.0,11:34,2.0,16.0,LAR 34,7.0,7.0,Matthew Stafford pass complete short left to Demarcus Robinson for 8 yards (tackle by Xavier McKinney),0.24,0.63,17.0,2023,251
2.0,11:03,3.0,8.0,LAR 42,7.0,7.0,Matthew Stafford pass incomplete deep left intended for Cooper Kupp,0.63,-0.59,17.0,2023,251
2.0,10:57,4.0,8.0,LAR 42,7.0,7.0,"Ethan Evans punts 58 yards, touchback.",-0.59,-0.28,17.0,2023,251
2.0,10:48,1.0,10.0,NYG 20,7.0,7.0,Tyrod Taylor sacked by Kobie Turner for -11 yards,0.28,-1.58,17.0,2023,251
2.0,10:10,2.0,21.0,NYG 9,7.0,7.0,Tyrod Taylor pass complete short right to Daniel Bellinger for 5 yards (tackle by Christian Rozeboom),-1.58,-2.03,17.0,2023,251
2.0,9:35,3.0,16.0,NYG 14,7.0,7.0,Tyrod Taylor pass complete short left to Daniel Bellinger for 9 yards (tackle by Russ Yeast and Derion Kendrick),-2.03,-1.83,17.0,2023,251
2.0,8:53,4.0,7.0,NYG 23,7.0,7.0,"Jamie Gillan punts 52 yards, fair catch by Austin Trammell at LA-25",-1.83,-0.61,17.0,2023,251
2.0,8:46,1.0,10.0,LAR 25,7.0,7.0,Kyren Williams left guard for 1 yard (tackle by Rakeem Nunez-Roches and Kayvon Thibodeaux),0.61,0.2,17.0,2023,251
2.0,8:06,2.0,9.0,LAR 26,7.0,7.0,Matthew Stafford pass complete short left to Demarcus Robinson for 15 yards (tackle by Xavier McKinney),0.2,1.66,17.0,2023,251
2.0,7:27,1.0,10.0,LAR 41,7.0,7.0,Kyren Williams left tackle for 1 yard (tackle by Rakeem Nunez-Roches and Kayvon Thibodeaux),1.66,1.26,17.0,2023,251
2.0,6:42,2.0,9.0,LAR 42,7.0,7.0,Matthew Stafford pass deep middle intended for Puka Nacua is intercepted by Dane Belton at NYG-36 and returned for 2 yards (tackle by Davis Allen),1.26,-1.47,17.0,2023,251
2.0,6:33,1.0,10.0,NYG 38,7.0,7.0,Tyrod Taylor pass incomplete short right intended for Wan'Dale Robinson,1.47,0.92,17.0,2023,251
2.0,6:26,2.0,10.0,NYG 38,7.0,7.0,Tyrod Taylor pass complete short right to Wan'Dale Robinson for 5 yards (tackle by Ernest Jones),0.92,0.89,17.0,2023,251
2.0,5:44,3.0,5.0,NYG 43,7.0,7.0,Tyrod Taylor pass complete short left to Darius Slayton for 4 yards (tackle by Quentin Lake),0.89,-0.26,17.0,2023,251
2.0,5:06,4.0,1.0,NYG 47,7.0,7.0,"Tyrod Taylor aborted snap, recovered by Tyrod Taylor at NYG-46 and returned for -1 yards",-0.26,-2.52,17.0,2023,251
2.0,5:02,1.0,10.0,NYG 46,7.0,7.0,Kyren Williams left end for 4 yards (tackle by Cordale Flott),2.52,2.52,17.0,2023,251
2.0,4:23,2.0,6.0,NYG 42,7.0,7.0,Matthew Stafford pass complete short middle to Tyler Higbee for 9 yards (tackle by Jihad Ward and Bobby Okereke),2.52,3.38,17.0,2023,251
2.0,3:39,1.0,10.0,NYG 33,7.0,7.0,Matthew Stafford pass complete short left to Kyren Williams for 9 yards (tackle by Nick McCloud),3.38,4.05,17.0,2023,251
2.0,2:55,2.0,1.0,NYG 24,7.0,7.0,Matthew Stafford pass complete short right to Tyler Higbee for 3 yards (tackle by Adoree' Jackson and Cordale Flott),4.05,4.17,17.0,2023,251
2.0,2:14,1.0,10.0,NYG 21,7.0,7.0,Kyren Williams left tackle for 3 yards (tackle by A'Shawn Robinson and Boogie Basham),4.17,4.04,17.0,2023,251
2.0,2:00,2.0,7.0,NYG 18,7.0,7.0,Matthew Stafford pass complete short left to Puka Nacua for 13 yards (tackle by Rakeem Nunez-Roches),4.04,6.06,17.0,2023,251
2.0,1:52,1.0,5.0,NYG 5,7.0,7.0,Matthew Stafford pass incomplete short right intended for Demarcus Robinson,6.06,5.15,17.0,2023,251
2.0,1:48,2.0,5.0,NYG 5,13.0,7.0,"Matthew Stafford pass complete short right to Cooper Kupp for 5 yards, touchdown",5.15,7.0,17.0,2023,251
2.0,1:44,,,NYG 15,14.0,7.0,Lucas Havrisik kicks extra point good,0.0,0.0,17.0,2023,251
2.0,1:44,,,LAR 35,14.0,7.0,"Lucas Havrisik kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,251
2.0,1:44,1.0,10.0,NYG 25,14.0,7.0,"Tyrod Taylor pass complete to Jalin Hyatt for no gain. Penalty on John Michael Schmitz: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",0.61,-0.41,17.0,2023,251
2.0,1:33,1.0,20.0,NYG 15,14.0,7.0,Saquon Barkley up the middle for 11 yards (tackle by Jordan Fuller and Quentin Lake),-0.41,0.2,17.0,2023,251
2.0,1:19,2.0,9.0,NYG 26,14.0,7.0,"Tyrod Taylor pass incomplete short right intended for Darren Waller. Penalty on Jordan Fuller: Defensive Pass Interference, 13 yards (accepted) (no play)",0.2,1.53,17.0,2023,251
2.0,1:14,1.0,10.0,NYG 39,14.0,7.0,Tyrod Taylor pass deep right intended for Darius Slayton is intercepted by Jordan Fuller at LA-27 and returned for no gain (tackle by Darius Slayton),1.53,-0.74,17.0,2023,251
2.0,1:07,1.0,10.0,LAR 27,14.0,7.0,"Matthew Stafford pass complete short middle to Demarcus Robinson for 16 yards. Demarcus Robinson fumbles (forced by Adoree' Jackson), recovered by Dane Belton at LA-45 and returned for 2 yards (tackle by Cooper Kupp and Demarcus Robinson)",0.74,-2.72,17.0,2023,251
2.0,0:58,1.0,10.0,LAR 43,14.0,7.0,Tyrod Taylor pass complete short middle to Wan'Dale Robinson for 20 yards (tackle by Jordan Fuller),2.72,4.04,17.0,2023,251
2.0,0:48,,,,,,Timeout #1 by New York Giants,,,17.0,2023,251
2.0,0:48,1.0,10.0,LAR 23,14.0,7.0,Tyrod Taylor pass incomplete short middle intended for Wan'Dale Robinson (defended by Aaron Donald),4.04,3.5,17.0,2023,251
2.0,0:44,2.0,10.0,LAR 23,14.0,7.0,Tyrod Taylor sacked by and Kobie Turner for -8 yards and Michael Hoecht for -8 yards,3.5,1.75,17.0,2023,251
2.0,0:25,,,,,,Timeout #2 by New York Giants,,,17.0,2023,251
2.0,0:25,3.0,18.0,LAR 31,14.0,7.0,Tyrod Taylor up the middle for 4 yards (tackle by Byron Young and Christian Rozeboom),1.75,1.67,17.0,2023,251
2.0,0:04,,,,,,Timeout #3 by New York Giants,,,17.0,2023,251
2.0,0:04,4.0,14.0,LAR 27,14.0,7.0,"Mason Crosby yard field goal no good blocked by Ben Skowronek. Penalty on Ben Skowronek: Leaping, 14 yards (accepted) (no play)",1.67,4.71,17.0,2023,251
2.0,0:00,1.0,10.0,LAR 13,14.0,10.0,Mason Crosby 31 yard field goal good,4.71,3.0,17.0,2023,251
3.0,15:00,,,LAR 35,14.0,10.0,"Lucas Havrisik kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,251
3.0,15:00,1.0,10.0,NYG 25,14.0,10.0,Tyrod Taylor sacked by Aaron Donald for -1 yards,0.61,-0.07,17.0,2023,251
3.0,14:28,2.0,11.0,NYG 24,14.0,10.0,Tyrod Taylor pass complete short middle to Wan'Dale Robinson for 7 yards (tackle by Ahkello Witherspoon and Ernest Jones),-0.07,0.17,17.0,2023,251
3.0,13:57,3.0,4.0,NYG 31,14.0,10.0,Tyrod Taylor pass complete short left to Darren Waller for 18 yards (tackle by Jordan Fuller),0.17,2.19,17.0,2023,251
3.0,13:22,1.0,10.0,NYG 49,14.0,10.0,Tyrod Taylor scrambles right end for 2 yards (tackle by Michael Hoecht),2.19,1.92,17.0,2023,251
3.0,12:55,2.0,8.0,LAR 49,14.0,10.0,Eric Gray up the middle for 2 yards (tackle by Kobie Turner),1.92,1.49,17.0,2023,251
3.0,12:20,3.0,6.0,LAR 47,14.0,10.0,Tyrod Taylor sacked by Kobie Turner for -4 yards,1.49,-0.13,17.0,2023,251
3.0,11:41,4.0,10.0,NYG 49,14.0,10.0,"Jamie Gillan punts 39 yards, fair catch by Austin Trammell at LA-12",-0.13,0.35,17.0,2023,251
3.0,11:36,1.0,10.0,LAR 12,14.0,10.0,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Cordale Flott),-0.35,-0.07,17.0,2023,251
3.0,10:56,2.0,4.0,LAR 18,14.0,10.0,Matthew Stafford pass incomplete short right intended for Tyler Higbee,-0.07,-0.72,17.0,2023,251
3.0,10:52,3.0,4.0,LAR 18,14.0,10.0,Matthew Stafford pass complete short right to Puka Nacua for 80 yards (tackle by Dane Belton),-0.72,6.74,17.0,2023,251
3.0,10:22,1.0,2.0,NYG 2,20.0,10.0,"Kyren Williams right guard for 2 yards, touchdown",6.74,7.0,17.0,2023,251
3.0,10:17,,,NYG 15,20.0,10.0,Lucas Havrisik kicks extra point no good,0.0,-1.0,17.0,2023,251
3.0,10:17,,,LAR 35,20.0,10.0,"Lucas Havrisik kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,251
3.0,10:17,1.0,10.0,NYG 25,20.0,10.0,Tyrod Taylor pass complete short right to Darius Slayton for 8 yards (tackle by Jordan Fuller),0.61,1.14,17.0,2023,251
3.0,9:45,2.0,2.0,NYG 33,20.0,10.0,Saquon Barkley left tackle for 6 yards (tackle by Ernest Jones),1.14,1.53,17.0,2023,251
3.0,9:11,1.0,10.0,NYG 39,20.0,10.0,Tyrod Taylor scrambles right end for 1 yard (tackle by Nick Hampton and Ernest Jones),1.53,1.12,17.0,2023,251
3.0,8:34,2.0,9.0,NYG 40,20.0,10.0,Saquon Barkley up the middle for no gain (tackle by Jonah Williams),1.12,0.43,17.0,2023,251
3.0,7:59,3.0,9.0,NYG 40,20.0,10.0,Tyrod Taylor pass incomplete short right intended for Saquon Barkley,0.43,-0.72,17.0,2023,251
3.0,7:52,4.0,9.0,NYG 40,20.0,10.0,"Jamie Gillan punts 39 yards, fair catch by Austin Trammell at LA-21",-0.72,-0.34,17.0,2023,251
3.0,7:46,1.0,10.0,LAR 21,20.0,10.0,Kyren Williams right end for 2 yards (tackle by Isaiah Simmons and Bobby Okereke),0.34,0.07,17.0,2023,251
3.0,7:21,2.0,8.0,LAR 23,20.0,10.0,Matthew Stafford pass incomplete short middle intended for Puka Nacua,0.07,-0.63,17.0,2023,251
3.0,7:17,3.0,8.0,LAR 23,20.0,10.0,Matthew Stafford sacked by Jihad Ward for -5 yards,-0.63,-2.24,17.0,2023,251
3.0,6:41,4.0,13.0,LAR 18,20.0,10.0,"Ethan Evans punts 72 yards, returned by Gunner Olszewski for -1 yards (tackle by Jason Taylor)",-2.24,0.38,17.0,2023,251
3.0,6:30,1.0,10.0,NYG 9,20.0,10.0,Saquon Barkley up the middle for 2 yards (tackle by Aaron Donald and Ernest Jones),-0.38,-0.63,17.0,2023,251
3.0,6:04,2.0,8.0,NYG 11,20.0,10.0,Saquon Barkley up the middle for -2 yards (tackle by Desjuan Johnson and Aaron Donald),-0.63,-1.42,17.0,2023,251
3.0,5:29,3.0,10.0,NYG 9,20.0,10.0,Tyrod Taylor pass complete short middle to Darren Waller for 11 yards (tackle by Russ Yeast),-1.42,0.28,17.0,2023,251
3.0,4:50,1.0,10.0,NYG 20,20.0,16.0,"Tyrod Taylor pass complete deep right to Darius Slayton for 80 yards, touchdown",0.28,7.0,17.0,2023,251
3.0,4:39,,,LAR 15,20.0,16.0,Mason Crosby kicks extra point no good,0.0,-1.0,17.0,2023,251
3.0,4:39,,,NYG 35,20.0,16.0,"Mason Crosby kicks off 60 yards,",0.0,0.61,17.0,2023,251
3.0,4:39,1.0,10.0,LAR 25,20.0,16.0,Matthew Stafford pass complete short left to Ronnie Rivers for 4 yards (tackle by Bobby Okereke and Nick McCloud),0.61,0.6,17.0,2023,251
3.0,3:55,2.0,6.0,LAR 29,20.0,16.0,Matthew Stafford pass complete short right to Tyler Higbee for 4 yards (tackle by Adoree' Jackson),0.6,0.43,17.0,2023,251
3.0,3:07,3.0,2.0,LAR 33,20.0,16.0,Kyren Williams left guard for 4 yards (tackle by A'Shawn Robinson),0.43,1.4,17.0,2023,251
3.0,2:22,1.0,10.0,LAR 37,20.0,16.0,Matthew Stafford pass deep middle intended for Demarcus Robinson is intercepted by Dane Belton at NYG-46 and returned for 20 yards (tackle by Tyler Higbee),1.4,-3.31,17.0,2023,251
3.0,2:12,1.0,10.0,LAR 34,20.0,16.0,Tyrod Taylor pass complete short right to Saquon Barkley for 4 yards (tackle by Quentin Lake),3.31,3.31,17.0,2023,251
3.0,1:45,2.0,6.0,LAR 30,20.0,16.0,Tyrod Taylor pass complete short middle to Wan'Dale Robinson for 5 yards (tackle by Ernest Jones and Michael Hoecht),3.31,3.27,17.0,2023,251
3.0,1:15,3.0,1.0,LAR 25,20.0,16.0,Saquon Barkley right guard for no gain (tackle by Ernest Jones),3.27,1.95,17.0,2023,251
3.0,0:43,4.0,1.0,LAR 25,20.0,16.0,Saquon Barkley left guard for 2 yards (tackle by Jonah Williams),1.95,4.04,17.0,2023,251
4.0,15:00,1.0,10.0,LAR 23,20.0,16.0,Tyrod Taylor pass incomplete deep left intended for Saquon Barkley,4.04,3.5,17.0,2023,251
4.0,14:56,2.0,10.0,LAR 23,20.0,16.0,Saquon Barkley left guard for 13 yards (tackle by Jordan Fuller and Ahkello Witherspoon),3.5,4.91,17.0,2023,251
4.0,14:22,1.0,10.0,LAR 10,20.0,16.0,Tyrod Taylor pass incomplete short right,4.91,4.19,17.0,2023,251
4.0,14:15,2.0,10.0,LAR 10,20.0,16.0,"Tyrod Taylor for no gain. Penalty on Ben Bredeson: Offensive Holding, 10 yards (accepted) (no play)",4.19,3.0,17.0,2023,251
4.0,13:56,2.0,20.0,LAR 20,20.0,16.0,Tyrod Taylor pass complete short middle to Daniel Bellinger for 7 yards (tackle by Ernest Jones and Michael Hoecht),3.0,3.0,17.0,2023,251
4.0,13:32,3.0,14.0,LAR 14,20.0,16.0,Tyrod Taylor pass incomplete short right intended for Isaiah Hodgins (defended by Derion Kendrick),3.0,2.51,17.0,2023,251
4.0,13:28,4.0,14.0,LAR 14,20.0,19.0,Mason Crosby 32 yard field goal good,2.51,3.0,17.0,2023,251
4.0,13:24,,,NYG 35,20.0,19.0,"Mason Crosby kicks off 61 yards,",0.0,0.61,17.0,2023,251
4.0,13:24,1.0,10.0,LAR 25,20.0,19.0,Kyren Williams left guard for 5 yards (tackle by Xavier McKinney and Bobby Okereke),0.61,0.74,17.0,2023,251
4.0,12:46,2.0,5.0,LAR 30,20.0,19.0,Matthew Stafford pass complete deep left to Demarcus Robinson for 37 yards (tackle by Cordale Flott),0.74,3.38,17.0,2023,251
4.0,12:10,1.0,10.0,NYG 33,20.0,19.0,"Matthew Stafford pass incomplete. Penalty on Cordale Flott: Defensive Holding, 5 yards (accepted) (no play)",3.38,3.71,17.0,2023,251
4.0,12:10,1.0,10.0,NYG 28,26.0,19.0,"Kyren Williams right tackle for 28 yards, touchdown",3.71,7.0,17.0,2023,251
4.0,12:03,,,NYG 15,26.0,19.0,Lucas Havrisik kicks extra point no good,0.0,-1.0,17.0,2023,251
4.0,12:03,,,LAR 35,26.0,19.0,"Lucas Havrisik kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,251
4.0,12:03,1.0,10.0,NYG 25,26.0,19.0,Tyrod Taylor pass complete short right to Wan'Dale Robinson for 11 yards (tackle by Ernest Jones and John Johnson),0.61,1.33,17.0,2023,251
4.0,11:21,1.0,10.0,NYG 36,26.0,19.0,"Tyrod Taylor pass complete to Jalin Hyatt for 50 yards. Penalty on Daniel Bellinger: Offensive Holding, 10 yards (accepted) (no play)",1.33,0.67,17.0,2023,251
4.0,11:07,1.0,20.0,NYG 26,26.0,19.0,Tyrod Taylor pass complete short left to Darius Slayton for 14 yards (tackle by Jordan Fuller),0.67,1.33,17.0,2023,251
4.0,10:39,2.0,6.0,NYG 40,26.0,19.0,Tyrod Taylor pass complete deep right to Isaiah Hodgins for 18 yards (tackle by Ahkello Witherspoon),1.33,2.79,17.0,2023,251
4.0,10:09,1.0,10.0,LAR 42,26.0,19.0,Tyrod Taylor sacked by Aaron Donald for -9 yards,2.79,1.03,17.0,2023,251
4.0,9:32,2.0,19.0,NYG 49,26.0,19.0,Tyrod Taylor pass incomplete short left intended for Sterling Shepard,1.03,0.37,17.0,2023,251
4.0,9:25,3.0,19.0,NYG 49,26.0,19.0,Tyrod Taylor pass complete short right to Daniel Bellinger for 18 yards (tackle by Jordan Fuller),0.37,1.21,17.0,2023,251
4.0,8:42,4.0,1.0,LAR 33,26.0,19.0,Tyrod Taylor pass complete short middle to Jalin Hyatt for -1 yards (tackle by Ahkello Witherspoon),1.21,-1.2,17.0,2023,251
4.0,8:38,1.0,10.0,LAR 34,26.0,19.0,Kyren Williams left tackle for 4 yards (tackle by Bobby Okereke),1.2,1.2,17.0,2023,251
4.0,8:00,2.0,6.0,LAR 38,26.0,19.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Adoree' Jackson),1.2,0.5,17.0,2023,251
4.0,7:54,3.0,6.0,LAR 38,26.0,19.0,Matthew Stafford pass incomplete short middle intended for Demarcus Robinson,0.5,-0.85,17.0,2023,251
4.0,7:50,4.0,6.0,LAR 38,26.0,19.0,"Ethan Evans punts 59 yards, returned by Gunner Olszewski for 14 yards (tackle by Ben Skowronek and Jake Hummel)",-0.85,0.06,17.0,2023,251
4.0,7:40,1.0,10.0,NYG 17,26.0,19.0,Tyrod Taylor pass complete short left to Saquon Barkley for 9 yards (tackle by John Johnson and Ahkello Witherspoon),-0.06,0.75,17.0,2023,251
4.0,7:09,2.0,1.0,NYG 26,26.0,19.0,Saquon Barkley up the middle for no gain (tackle by Desjuan Johnson and Kobie Turner),0.75,-0.12,17.0,2023,251
4.0,6:32,3.0,1.0,NYG 26,26.0,19.0,Tyrod Taylor up the middle for 2 yards (tackle by Aaron Donald),-0.12,0.81,17.0,2023,251
4.0,5:56,1.0,10.0,NYG 28,26.0,19.0,"Tyrod Taylor scrambles for no gain. Penalty on John Michael Schmitz: Offensive Holding, 10 yards (accepted) (no play)",0.81,-0.04,17.0,2023,251
4.0,5:37,1.0,20.0,NYG 18,26.0,19.0,Tyrod Taylor pass complete short right to Darren Waller for 9 yards (tackle by Jordan Fuller and Ahkello Witherspoon),-0.04,0.13,17.0,2023,251
4.0,5:08,2.0,11.0,NYG 27,26.0,19.0,Tyrod Taylor pass incomplete deep left intended for Darren Waller,0.13,-0.56,17.0,2023,251
4.0,5:01,3.0,11.0,NYG 27,26.0,19.0,Tyrod Taylor pass incomplete short left intended for Darius Slayton,-0.56,-1.57,17.0,2023,251
4.0,4:56,4.0,11.0,NYG 27,26.0,19.0,Jamie Gillan punts 45 yards out of bounds,-1.57,-0.81,17.0,2023,251
4.0,4:46,1.0,10.0,LAR 28,26.0,19.0,Puka Nacua left end for 15 yards (tackle by Nick McCloud),0.81,1.8,17.0,2023,251
4.0,4:00,1.0,10.0,LAR 43,26.0,19.0,Kyren Williams right guard for -1 yards (tackle by Xavier McKinney and A'Shawn Robinson),1.8,1.12,17.0,2023,251
4.0,3:56,,,,,,Timeout #1 by New York Giants,,,17.0,2023,251
4.0,3:56,2.0,11.0,LAR 42,26.0,19.0,Puka Nacua left end for 4 yards (tackle by Jihad Ward and Cordale Flott),1.12,0.96,17.0,2023,251
4.0,3:53,,,,,,Timeout #2 by New York Giants,,,17.0,2023,251
4.0,3:53,3.0,7.0,LAR 46,26.0,19.0,Matthew Stafford sacked by and Bobby Okereke for -10 yards and Rakeem Nunez-Roches for -10 yards,0.96,-0.98,17.0,2023,251
4.0,3:49,,,,,,Timeout #3 by New York Giants,,,17.0,2023,251
4.0,3:49,4.0,17.0,LAR 36,26.0,25.0,"Ethan Evans punts 58 yards, returned by Gunner Olszewski for 94 yards, touchdown",-0.98,-7.0,17.0,2023,251
4.0,3:27,,,LAR 15,26.0,25.0,"Penalty on Jonah Williams: Encroachment, 1 yard (accepted) (no play)",0.0,1.0,17.0,2023,251
4.0,3:27,,,LAR 1,26.0,25.0,Two Point Attempt: Tyrod Taylor pass incomplete intended for Saquon Barkley,1.0,-1.0,17.0,2023,251
4.0,3:27,,,NYG 35,26.0,25.0,"Mason Crosby kicks off 55 yards,",0.0,0.61,17.0,2023,251
4.0,3:27,1.0,10.0,LAR 25,26.0,25.0,Kyren Williams right tackle for 1 yard (tackle by Dexter Lawrence),0.61,0.2,17.0,2023,251
