Quarter,Time,Down,ToGo,Location,ATL,CHI,Detail,EPB,EPA,week,year,game_id
2.0,14:00,,,CHI 15,7.0,14.0,Younghoe Koo kicks extra point good,0.0,0.0,17.0,2023,243
2.0,14:00,,,ATL 35,7.0,14.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,243
2.0,14:00,1.0,10.0,CHI 25,7.0,14.0,Justin Fields pass incomplete short left intended for Khalil Herbert (defended by Arnold Ebiketie),0.61,0.06,17.0,2023,243
2.0,13:55,2.0,10.0,CHI 25,7.0,14.0,Khalil Herbert left guard for no gain (tackle by Calais Campbell and Richie Grant),0.06,-0.62,17.0,2023,243
2.0,13:17,3.0,10.0,CHI 25,7.0,14.0,"Justin Fields pass complete short left to Robert Tonyan for 6 yards (tackle by Richie Grant). Penalty on Nate Davis: Tripping / Offense, 10 yards (declined)",-0.62,-1.31,17.0,2023,243
2.0,12:39,4.0,4.0,CHI 31,7.0,14.0,Trenton Gill punts 41 yards out of bounds,-1.31,-0.81,17.0,2023,243
2.0,12:37,1.0,10.0,ATL 28,7.0,14.0,Bijan Robinson right tackle for 2 yards (tackle by Terell Smith),0.81,0.53,17.0,2023,243
2.0,12:06,2.0,8.0,ATL 30,7.0,14.0,Taylor Heinicke pass incomplete deep middle intended for Kyle Pitts,0.53,-0.16,17.0,2023,243
2.0,12:00,3.0,8.0,ATL 30,7.0,14.0,Taylor Heinicke sacked by Gervon Dexter for no gain,-0.16,-1.37,17.0,2023,243
2.0,11:14,4.0,8.0,ATL 30,7.0,14.0,"Bradley Pinion punts 45 yards, fair catch by Trent Taylor at CHI-25",-1.37,-0.61,17.0,2023,243
2.0,11:08,1.0,10.0,CHI 25,7.0,14.0,Justin Fields left tackle for 2 yards (tackle by Nathan Landman),0.61,0.33,17.0,2023,243
2.0,10:26,2.0,8.0,CHI 27,7.0,14.0,Justin Fields pass complete short middle to Khalil Herbert for no gain (tackle by Clark Phillips),0.33,-0.36,17.0,2023,243
2.0,9:47,3.0,8.0,CHI 27,7.0,14.0,Justin Fields pass complete short middle to D.J. Moore for 9 yards (tackle by Kaden Elliss and Jessie Bates),-0.36,1.33,17.0,2023,243
2.0,9:08,1.0,10.0,CHI 36,7.0,14.0,Khalil Herbert left tackle for 12 yards (tackle by DeMarcco Hellams),1.33,2.13,17.0,2023,243
2.0,8:25,1.0,10.0,CHI 48,7.0,14.0,Justin Fields pass complete short right to Tyler Scott for 16 yards (tackle by Clark Phillips),2.13,3.18,17.0,2023,243
2.0,7:41,1.0,10.0,ATL 36,7.0,14.0,Justin Fields pass incomplete short left intended for Khari Blasingame,3.18,2.64,17.0,2023,243
2.0,7:37,2.0,10.0,ATL 36,7.0,14.0,Justin Fields pass complete short left to Robert Tonyan for 24 yards (tackle by Jessie Bates),2.64,4.78,17.0,2023,243
2.0,6:52,1.0,10.0,ATL 12,7.0,14.0,Khalil Herbert left tackle for 4 yards (tackle by Arnold Ebiketie),4.78,4.83,17.0,2023,243
2.0,6:12,2.0,6.0,ATL 8,7.0,14.0,Justin Fields pass complete short middle to Khalil Herbert for 5 yards (tackle by Kaden Elliss and Jessie Bates),4.83,5.06,17.0,2023,243
2.0,5:23,3.0,1.0,ATL 3,7.0,14.0,Roschon Johnson left guard for no gain (tackle by Kaden Elliss and Ta'Quon Graham),5.06,3.06,17.0,2023,243
2.0,4:56,4.0,1.0,ATL 3,7.0,14.0,Justin Fields up the middle for 1 yard (tackle by Jessie Bates),3.06,6.74,17.0,2023,243
2.0,4:06,1.0,2.0,ATL 2,7.0,20.0,"Roschon Johnson right guard for 2 yards, touchdown",6.74,7.0,17.0,2023,243
2.0,4:02,,,ATL 15,7.0,21.0,Cairo Santos kicks extra point good,0.0,0.0,17.0,2023,243
2.0,4:02,,,CHI 35,7.0,21.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,243
2.0,4:02,1.0,10.0,ATL 25,7.0,21.0,Taylor Heinicke pass incomplete deep left intended for Drake London,0.61,0.06,17.0,2023,243
2.0,3:52,2.0,10.0,ATL 25,7.0,21.0,Bijan Robinson right end for 1 yard (tackle by Jaylon Johnson),0.06,-0.49,17.0,2023,243
2.0,3:21,3.0,9.0,ATL 26,7.0,21.0,Taylor Heinicke pass incomplete short right intended for KhaDarel Hodge (defended by Tyrique Stevenson),-0.49,-1.63,17.0,2023,243
2.0,3:15,4.0,9.0,ATL 26,7.0,21.0,"Bradley Pinion punts 44 yards, returned by Trent Taylor for 4 yards (tackle by Mack Hollins)",-1.63,-1.2,17.0,2023,243
2.0,3:06,1.0,10.0,CHI 34,7.0,21.0,Khalil Herbert left end for 6 yards (tackle by Mike Hughes),1.2,1.47,17.0,2023,243
2.0,2:34,2.0,4.0,CHI 40,7.0,21.0,Khalil Herbert left guard for 1 yard (tackle by Zach Harrison),1.47,0.89,17.0,2023,243
2.0,2:00,3.0,3.0,CHI 41,7.0,21.0,Justin Fields sacked by Kaden Elliss for -9 yards,0.89,-1.24,17.0,2023,243
2.0,1:52,,,,,,Timeout #1 by Atlanta Falcons,,,17.0,2023,243
2.0,1:52,4.0,12.0,CHI 32,7.0,21.0,"Trenton Gill punts 53 yards, returned by DeAundre Alford for 12 yards (tackle by Jack Sanborn)",-1.24,-0.74,17.0,2023,243
2.0,1:40,1.0,10.0,ATL 27,7.0,21.0,Bijan Robinson left end for 2 yards (tackle by Tremaine Edmunds),0.74,0.47,17.0,2023,243
2.0,1:18,2.0,8.0,ATL 29,7.0,21.0,Taylor Heinicke pass incomplete short right,0.47,-0.23,17.0,2023,243
2.0,1:10,3.0,8.0,ATL 29,7.0,21.0,Taylor Heinicke pass short middle intended for Drake London is intercepted by T.J. Edwards at ATL-39 and returned for 2 yards (tackle by Drake London),-0.23,-3.12,17.0,2023,243
2.0,1:02,1.0,10.0,ATL 37,7.0,21.0,Justin Fields pass incomplete short left,3.12,2.57,17.0,2023,243
2.0,0:52,2.0,10.0,ATL 37,7.0,21.0,Justin Fields pass complete short left to D.J. Moore for 2 yards (tackle by Jessie Bates and Kaden Elliss),2.57,2.15,17.0,2023,243
2.0,0:35,,,,,,Timeout #1 by Chicago Bears,,,17.0,2023,243
2.0,0:35,3.0,8.0,ATL 35,7.0,21.0,Justin Fields sacked by and David Onyemata for -2 yards and Bud Dupree for -2 yards,2.15,0.79,17.0,2023,243
2.0,0:04,,,,,,Timeout #2 by Chicago Bears,,,17.0,2023,243
2.0,0:04,4.0,10.0,ATL 37,7.0,21.0,"Cairo Santos 55 yard field goal no good, returned by DeAundre Alford for no gain (tackle by Lucas Patrick)",0.79,1.86,17.0,2023,243
3.0,15:00,,,ATL 35,7.0,21.0,"Bradley Pinion kicks off 65 yards, returned by Velus Jones for 25 yards (tackle by Tucker Fisk and Micah Abernathy)",0.0,0.61,17.0,2023,243
3.0,14:54,1.0,10.0,CHI 25,7.0,21.0,Justin Fields pass complete deep middle to D.J. Moore for 28 yards (tackle by DeMarcco Hellams),0.61,2.46,17.0,2023,243
3.0,14:14,1.0,10.0,ATL 47,7.0,21.0,Khalil Herbert left guard for 9 yards (tackle by DeMarcco Hellams),2.46,3.13,17.0,2023,243
3.0,13:37,2.0,1.0,ATL 38,7.0,21.0,Khalil Herbert right guard for 35 yards (tackle by Kaden Elliss and AJ Terrell),3.13,6.51,17.0,2023,243
3.0,12:47,1.0,3.0,ATL 3,7.0,21.0,Justin Fields pass incomplete short right intended for D.J. Moore,6.51,5.53,17.0,2023,243
3.0,12:43,2.0,3.0,ATL 3,7.0,21.0,Justin Fields left end for -1 yards (tackle by Jessie Bates),5.53,4.49,17.0,2023,243
3.0,12:06,3.0,4.0,ATL 4,7.0,21.0,Justin Fields pass incomplete short left intended for Tyler Scott,4.49,3.03,17.0,2023,243
3.0,12:00,,,,,,Timeout #1 by Atlanta Falcons,,,17.0,2023,243
3.0,12:00,4.0,4.0,ATL 4,7.0,24.0,Cairo Santos 22 yard field goal good,3.03,3.0,17.0,2023,243
3.0,11:56,,,CHI 35,7.0,24.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,243
3.0,11:56,1.0,10.0,ATL 25,7.0,24.0,Taylor Heinicke pass complete short right to Bijan Robinson for 5 yards (tackle by Jaquan Brisker),0.61,0.74,17.0,2023,243
3.0,11:30,2.0,5.0,ATL 30,7.0,24.0,Bijan Robinson left end for 10 yards (tackle by Kyler Gordon),0.74,1.6,17.0,2023,243
3.0,10:51,1.0,10.0,ATL 40,7.0,24.0,Taylor Heinicke pass complete short right to Van Jefferson for 9 yards (tackle by Kyler Gordon and Terell Smith),1.6,2.27,17.0,2023,243
3.0,10:11,2.0,1.0,ATL 49,7.0,24.0,Bijan Robinson left tackle for no gain (tackle by Justin Jones and Montez Sweat),2.27,1.55,17.0,2023,243
3.0,9:34,3.0,1.0,ATL 49,7.0,24.0,"Taylor Heinicke pass complete short left to MyCole Pruitt for 14 yards. Penalty on Justin Jones: Roughing the Passer, 15 yards (accepted)",1.55,4.11,17.0,2023,243
3.0,9:18,1.0,10.0,CHI 22,7.0,24.0,Tyler Allgeier left tackle for 3 yards (tackle by Tyrique Stevenson and Jaquan Brisker),4.11,3.97,17.0,2023,243
3.0,8:40,2.0,7.0,CHI 19,7.0,24.0,Taylor Heinicke pass incomplete short left intended for Drake London (defended by Tyrique Stevenson),3.97,3.26,17.0,2023,243
3.0,8:37,3.0,7.0,CHI 19,7.0,24.0,Taylor Heinicke pass incomplete short right intended for Jonnu Smith,3.26,2.18,17.0,2023,243
3.0,8:33,4.0,7.0,CHI 19,10.0,24.0,Younghoe Koo 38 yard field goal good,2.18,3.0,17.0,2023,243
3.0,8:29,,,ATL 35,10.0,24.0,"Bradley Pinion kicks off 61 yards, returned by Velus Jones for 29 yards (tackle by Tre Flowers)",0.0,1.14,17.0,2023,243
3.0,8:23,1.0,10.0,CHI 33,10.0,24.0,Justin Fields pass incomplete deep left intended for Tyler Scott,1.14,0.59,17.0,2023,243
3.0,8:17,2.0,10.0,CHI 33,10.0,24.0,Roschon Johnson left guard for 2 yards (tackle by Zach Harrison and Ta'Quon Graham),0.59,0.17,17.0,2023,243
3.0,7:38,3.0,8.0,CHI 35,10.0,24.0,Justin Fields scrambles right end for 13 yards (tackle by DeMarcco Hellams),0.17,2.13,17.0,2023,243
3.0,6:51,1.0,10.0,CHI 48,10.0,24.0,Khalil Herbert right end for -1 yards (tackle by Zach Harrison),2.13,1.45,17.0,2023,243
3.0,6:12,2.0,11.0,CHI 47,10.0,24.0,"Justin Fields pass complete short right to Collin Johnson for 12 yards (tackle by Jessie Bates) ATL challenged the runner was in bounds ruling, and the original play was overturned. Justin Fields pass complete short right to Collin Johnson for 11 yards (tackle by Jessie Bates)",1.45,2.79,17.0,2023,243
3.0,6:01,1.0,10.0,ATL 42,10.0,24.0,Justin Fields pass incomplete short right intended for D.J. Moore,2.79,2.24,17.0,2023,243
3.0,5:54,2.0,10.0,ATL 42,10.0,24.0,Khalil Herbert left guard for 4 yards (tackle by Nathan Landman and Kaden Elliss),2.24,2.08,17.0,2023,243
3.0,5:16,3.0,6.0,ATL 38,10.0,24.0,Justin Fields right end for no gain (tackle by Richie Grant and Mike Hughes),2.08,0.72,17.0,2023,243
3.0,4:23,4.0,6.0,ATL 38,10.0,24.0,Justin Fields pass incomplete deep right,0.72,-1.47,17.0,2023,243
3.0,4:14,1.0,10.0,ATL 38,10.0,24.0,Taylor Heinicke pass incomplete short right intended for Bijan Robinson,1.47,0.92,17.0,2023,243
3.0,4:06,2.0,10.0,ATL 38,10.0,24.0,Taylor Heinicke pass short left intended for Jonnu Smith is intercepted by Tyrique Stevenson at CHI-48 and returned for 6 yards (tackle by Bijan Robinson),0.92,-2.52,17.0,2023,243
3.0,3:58,1.0,10.0,ATL 46,10.0,24.0,"Justin Fields pass incomplete short left intended for Velus Jones. Penalty on Velus Jones: Offensive Pass Interference, 10 yards (accepted) (no play)",2.52,1.86,17.0,2023,243
3.0,3:51,1.0,20.0,CHI 44,10.0,24.0,Khalil Herbert right tackle for no gain (tackle by LaCale London),1.86,0.63,17.0,2023,243
3.0,3:19,2.0,20.0,CHI 44,10.0,24.0,Justin Fields pass complete short left to D.J. Moore for 23 yards (tackle by DeMarcco Hellams),0.63,3.38,17.0,2023,243
3.0,2:43,1.0,10.0,ATL 33,10.0,24.0,Justin Fields pass incomplete deep middle intended for Tyler Scott (defended by Mike Hughes),3.38,2.84,17.0,2023,243
3.0,2:37,2.0,10.0,ATL 33,10.0,24.0,Khalil Herbert right end for 4 yards (tackle by Nathan Landman and Bud Dupree),2.84,2.68,17.0,2023,243
3.0,1:59,3.0,6.0,ATL 29,10.0,24.0,Justin Fields pass complete short middle to D.J. Moore for 5 yards (tackle by Jessie Bates),2.68,2.02,17.0,2023,243
3.0,1:14,4.0,1.0,ATL 24,10.0,27.0,Cairo Santos 42 yard field goal good,2.02,3.0,17.0,2023,243
3.0,1:10,,,CHI 35,10.0,27.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,243
3.0,1:10,1.0,10.0,ATL 25,10.0,27.0,Bijan Robinson left guard for 6 yards (tackle by Gervon Dexter),0.61,0.87,17.0,2023,243
3.0,0:37,2.0,4.0,ATL 31,10.0,27.0,Bijan Robinson left end for 3 yards (tackle by Dominique Robinson),0.87,0.56,17.0,2023,243
3.0,0:04,3.0,1.0,ATL 34,10.0,27.0,Tyler Allgeier right tackle for 2 yards (tackle by Dominique Robinson and Terell Smith),0.56,1.33,17.0,2023,243
4.0,15:00,1.0,10.0,ATL 36,10.0,27.0,Taylor Heinicke pass incomplete short middle intended for Kyle Pitts (defended by Tremaine Edmunds),1.33,0.79,17.0,2023,243
4.0,14:55,2.0,10.0,ATL 36,10.0,27.0,Bijan Robinson right tackle for 12 yards (tackle by Eddie Jackson),0.79,2.13,17.0,2023,243
4.0,14:18,1.0,10.0,ATL 48,10.0,27.0,Bijan Robinson right end for 3 yards (tackle by T.J. Edwards),2.13,1.99,17.0,2023,243
4.0,13:51,2.0,7.0,CHI 49,10.0,27.0,Taylor Heinicke pass incomplete deep middle intended for Jonnu Smith,1.99,1.29,17.0,2023,243
4.0,13:46,3.0,7.0,CHI 49,10.0,27.0,Taylor Heinicke pass complete short right to Van Jefferson for 5 yards (tackle by Tremaine Edmunds),1.29,0.27,17.0,2023,243
4.0,13:36,4.0,3.0,CHI 45,10.0,27.0,"Penalty on Justin Jones: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.27,3.64,17.0,2023,243
4.0,13:00,1.0,10.0,CHI 29,10.0,27.0,Taylor Heinicke pass complete short right to Van Jefferson for 5 yards (tackle by Tyrique Stevenson),3.64,3.78,17.0,2023,243
4.0,12:35,2.0,5.0,CHI 24,10.0,27.0,Taylor Heinicke pass incomplete short middle intended for Jonnu Smith,3.78,3.07,17.0,2023,243
4.0,12:32,3.0,5.0,CHI 24,16.0,27.0,"Taylor Heinicke scrambles left end for 24 yards, touchdown",3.07,7.0,17.0,2023,243
4.0,12:22,,,CHI 15,17.0,27.0,Younghoe Koo kicks extra point good,0.0,0.0,17.0,2023,243
4.0,12:22,,,ATL 35,17.0,27.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,243
4.0,12:22,1.0,10.0,CHI 25,17.0,27.0,Justin Fields pass complete short middle to D.J. Moore for 21 yards (tackle by Richie Grant),0.61,1.99,17.0,2023,243
4.0,11:41,1.0,10.0,CHI 46,17.0,27.0,Khalil Herbert left guard for no gain (tackle by Kaden Elliss),1.99,1.45,17.0,2023,243
4.0,11:00,2.0,10.0,CHI 46,17.0,27.0,"Justin Fields scrambles right tackle for no gain (tackle by AJ Terrell). Penalty on Lucas Patrick: Offensive Holding, 10 yards (accepted) (no play)",1.45,0.1,17.0,2023,243
4.0,10:28,2.0,20.0,CHI 36,17.0,27.0,Justin Fields pass complete short left to Roschon Johnson for 5 yards (tackle by Albert Huggins),0.1,0.1,17.0,2023,243
4.0,9:41,3.0,15.0,CHI 41,17.0,27.0,Justin Fields pass complete short right to Roschon Johnson for 9 yards (tackle by Jessie Bates),0.1,-0.06,17.0,2023,243
4.0,8:48,4.0,6.0,CHI 50,17.0,27.0,"Trenton Gill punts 50 yards, touchback.",-0.06,-0.28,17.0,2023,243
4.0,8:43,1.0,10.0,ATL 20,17.0,27.0,Taylor Heinicke pass incomplete short right intended for Drake London,0.28,-0.27,17.0,2023,243
4.0,8:39,2.0,10.0,ATL 20,17.0,27.0,Taylor Heinicke pass incomplete short right intended for Van Jefferson,-0.27,-0.96,17.0,2023,243
4.0,8:34,3.0,10.0,ATL 20,17.0,27.0,Taylor Heinicke pass incomplete short left intended for Kyle Pitts,-0.96,-2.03,17.0,2023,243
4.0,8:29,4.0,10.0,ATL 20,17.0,27.0,"Bradley Pinion punts 39 yards, returned by Trent Taylor for 15 yards (tackle by Mack Hollins)",-2.03,-2.65,17.0,2023,243
4.0,8:20,1.0,10.0,ATL 44,17.0,27.0,Roschon Johnson right tackle for 2 yards (tackle by Lorenzo Carter and Ta'Quon Graham),2.65,2.38,17.0,2023,243
4.0,7:37,2.0,8.0,ATL 42,17.0,27.0,Justin Fields right end for 1 yard (tackle by Richie Grant),2.38,1.82,17.0,2023,243
4.0,6:50,3.0,7.0,ATL 41,17.0,27.0,Justin Fields scrambles right end for 11 yards (tackle by Jessie Bates),1.82,3.58,17.0,2023,243
4.0,6:03,1.0,10.0,ATL 30,17.0,27.0,Roschon Johnson left guard for 6 yards (tackle by Bud Dupree),3.58,3.84,17.0,2023,243
4.0,5:15,2.0,4.0,ATL 24,17.0,27.0,Justin Fields pass incomplete deep left intended for Robert Tonyan,3.84,3.14,17.0,2023,243
4.0,5:10,3.0,4.0,ATL 24,17.0,27.0,Justin Fields pass incomplete deep left intended for D.J. Moore,3.14,1.94,17.0,2023,243
4.0,5:04,4.0,4.0,ATL 24,17.0,30.0,Cairo Santos 42 yard field goal good,1.94,3.0,17.0,2023,243
4.0,4:59,,,CHI 35,17.0,30.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,243
4.0,4:59,1.0,10.0,ATL 25,17.0,30.0,Taylor Heinicke pass complete short left to Bijan Robinson for no gain (tackle by Tremaine Edmunds),0.61,0.06,17.0,2023,243
4.0,4:32,2.0,10.0,ATL 25,17.0,30.0,Taylor Heinicke sacked by and Gervon Dexter for -7 yards and DeMarcus Walker for -7 yards,0.06,-1.72,17.0,2023,243
4.0,4:10,3.0,17.0,ATL 18,17.0,30.0,Taylor Heinicke pass incomplete short left intended for Drake London,-1.72,-2.24,17.0,2023,243
4.0,4:07,4.0,17.0,ATL 18,17.0,30.0,Taylor Heinicke pass deep middle intended for KhaDarel Hodge is intercepted by Kyler Gordon at ATL-41 and returned for no gain (tackle by KhaDarel Hodge),-2.24,-2.85,17.0,2023,243
4.0,3:58,1.0,10.0,ATL 41,17.0,30.0,Khalil Herbert right end for 2 yards (tackle by David Onyemata),2.85,2.58,17.0,2023,243
4.0,3:51,,,,,,Timeout #2 by Atlanta Falcons,,,17.0,2023,243
4.0,3:51,2.0,8.0,ATL 39,17.0,30.0,Khalil Herbert right tackle for 38 yards (tackle by Clark Phillips),2.58,6.97,17.0,2023,243
4.0,3:42,1.0,1.0,ATL 1,17.0,36.0,"Khalil Herbert right tackle for 1 yard, touchdown",6.97,7.0,17.0,2023,243
4.0,3:39,,,ATL 15,17.0,37.0,Cairo Santos kicks extra point good,0.0,0.0,17.0,2023,243
4.0,3:39,,,CHI 35,17.0,37.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,243
4.0,3:39,1.0,10.0,ATL 25,17.0,37.0,Bijan Robinson left end for 11 yards (tackle by Eddie Jackson),0.61,1.33,17.0,2023,243
4.0,3:15,1.0,10.0,ATL 36,17.0,37.0,Desmond Ridder pass complete short middle to Kyle Pitts for 5 yards (tackle by Jaquan Brisker),1.33,1.47,17.0,2023,243
4.0,2:57,2.0,5.0,ATL 41,17.0,37.0,Desmond Ridder pass complete short middle to Bijan Robinson for 6 yards (tackle by Tremaine Edmunds),1.47,2.06,17.0,2023,243
4.0,2:36,1.0,10.0,ATL 47,17.0,37.0,Desmond Ridder pass complete short left to Drake London for 6 yards (tackle by Tyrique Stevenson),2.06,2.33,17.0,2023,243
4.0,2:15,2.0,4.0,CHI 47,17.0,37.0,Desmond Ridder pass short left (defended by Zacch Pickens) intended for Drake London is intercepted by Tyrique Stevenson at CHI-33 and returned for no gain (tackle by Drake London),2.33,-1.14,17.0,2023,243
4.0,2:07,1.0,10.0,CHI 33,17.0,37.0,Roschon Johnson left guard for 2 yards (tackle by Lorenzo Carter),1.14,0.86,17.0,2023,243
4.0,2:02,,,,,,Timeout #3 by Atlanta Falcons,,,17.0,2023,243
4.0,2:02,2.0,8.0,CHI 35,17.0,37.0,"Justin Fields sacked by Lorenzo Carter for -17 yards. Justin Fields fumbles (forced by Lorenzo Carter), recovered by Braxton Jones at CHI-18",0.86,-2.35,17.0,2023,243
4.0,1:52,3.0,25.0,CHI 18,17.0,37.0,Roschon Johnson left tackle for 7 yards (tackle by Nathan Landman),-2.35,-1.7,17.0,2023,243
4.0,1:07,4.0,18.0,CHI 25,17.0,37.0,"Trenton Gill punts 51 yards, returned by DeAundre Alford for 15 yards (tackle by Trenton Gill). Penalty on DeMarcco Hellams: Illegal Blindside Block, 15 yards (accepted)",-1.7,-0.54,17.0,2023,243
4.0,0:52,1.0,10.0,ATL 24,17.0,37.0,Tyler Allgeier right end for 2 yards (tackle by Rasheem Green and Gervon Dexter),0.54,0.27,17.0,2023,243
