Quarter,Time,Down,ToGo,Location,ARI,PHI,Detail,EPB,EPA,week,year,game_id
3.0,15:00,1.0,10.0,ARI 25,6.0,21.0,James Conner left guard for 4 yards (tackle by Nicholas Morrow and Shaquille Leonard),0.61,0.6,17.0,2023,247
3.0,14:14,2.0,6.0,ARI 29,6.0,21.0,James Conner left guard for 5 yards (tackle by Fletcher Cox and Reed Blankenship),0.6,0.56,17.0,2023,247
3.0,13:48,3.0,1.0,ARI 34,6.0,21.0,James Conner up the middle for 1 yard (tackle by Josh Sweat),0.56,1.27,17.0,2023,247
3.0,13:08,1.0,10.0,ARI 35,6.0,21.0,Kyler Murray pass complete short right to Trey McBride for 6 yards (tackle by Kevin Byard),1.27,1.53,17.0,2023,247
3.0,12:25,2.0,4.0,ARI 41,6.0,21.0,Michael Carter left end for 16 yards (tackle by Reed Blankenship),1.53,2.72,17.0,2023,247
3.0,11:41,1.0,10.0,PHI 43,6.0,21.0,Kyler Murray pass complete short left to Michael Wilson for 11 yards (tackle by Eli Ricks),2.72,3.45,17.0,2023,247
3.0,10:58,1.0,10.0,PHI 32,6.0,21.0,Kyler Murray pass complete short middle to Michael Wilson for 6 yards (tackle by Sydney Brown),3.45,3.71,17.0,2023,247
3.0,10:20,2.0,4.0,PHI 26,6.0,21.0,Michael Carter left tackle for 21 yards (tackle by Eli Ricks and Sydney Brown),3.71,6.06,17.0,2023,247
3.0,9:34,1.0,5.0,PHI 5,6.0,21.0,Michael Carter left tackle for -1 yards (tackle by Brandon Graham),6.06,4.95,17.0,2023,247
3.0,8:48,2.0,6.0,PHI 6,12.0,21.0,"Kyler Murray pass complete short left to Michael Carter for 6 yards, touchdown",4.95,7.0,17.0,2023,247
3.0,8:42,,,PHI 15,13.0,21.0,Matt Prater kicks extra point good,0.0,0.0,17.0,2023,247
3.0,8:42,,,ARI 35,13.0,21.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,247
3.0,8:42,1.0,10.0,PHI 25,13.0,21.0,D'Andre Swift right tackle for no gain (tackle by Krys Barnes),0.61,0.06,17.0,2023,247
3.0,8:04,2.0,10.0,PHI 25,13.0,21.0,Jalen Hurts pass complete short left to D'Andre Swift for 5 yards (tackle by BJ Ojulari),0.06,0.04,17.0,2023,247
3.0,7:21,3.0,5.0,PHI 30,13.0,21.0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith,0.04,-1.37,17.0,2023,247
3.0,7:16,4.0,5.0,PHI 30,13.0,21.0,"Braden Mann punts 61 yards, returned by Greg Dortch for 14 yards (tackle by Patrick Johnson)",-1.37,-0.48,17.0,2023,247
3.0,7:04,1.0,10.0,ARI 23,13.0,21.0,James Conner right guard for 4 yards (tackle by Milton Williams),0.48,0.47,17.0,2023,247
3.0,6:35,2.0,6.0,ARI 27,13.0,21.0,Kyler Murray pass complete short right to Trey McBride for 6 yards (tackle by Nicholas Morrow and Haason Reddick),0.47,1.14,17.0,2023,247
3.0,5:55,1.0,10.0,ARI 33,13.0,21.0,James Conner left end for 22 yards (tackle by Kevin Byard),1.14,2.59,17.0,2023,247
3.0,5:14,1.0,10.0,PHI 45,13.0,21.0,James Conner left tackle for no gain (tackle by Brandon Graham and Milton Williams),2.59,2.04,17.0,2023,247
3.0,4:49,2.0,10.0,PHI 45,13.0,21.0,Kyler Murray pass complete short right to Greg Dortch for 12 yards (tackle by Avonte Maddox),2.04,3.38,17.0,2023,247
3.0,4:09,1.0,10.0,PHI 33,13.0,21.0,Kyler Murray pass complete short middle to Michael Wilson for 13 yards (tackle by Nicholas Morrow),3.38,4.24,17.0,2023,247
3.0,3:32,1.0,10.0,PHI 20,13.0,21.0,Kyler Murray right end for 8 yards (tackle by Kevin Byard),4.24,5.04,17.0,2023,247
3.0,2:54,2.0,2.0,PHI 12,13.0,21.0,James Conner left guard for 7 yards (tackle by Nicholas Morrow and Reed Blankenship),5.04,6.06,17.0,2023,247
3.0,2:10,1.0,5.0,PHI 5,19.0,21.0,"Kyler Murray pass complete short left to James Conner for 5 yards, touchdown",6.06,7.0,17.0,2023,247
3.0,2:01,,,PHI 2,21.0,21.0,"Two Point Attempt: Kyler Murray pass complete to to Michael Wilson for no gain. Penalty on Avonte Maddox: Defensive Holding, 5 yards (accepted)",1.0,1.0,17.0,2023,247
3.0,2:01,,,ARI 40,21.0,21.0,"Matt Prater kicks off 60 yards, touchback.",0.0,0.61,17.0,2023,247
3.0,2:01,1.0,10.0,PHI 25,21.0,21.0,Jalen Hurts right end for 9 yards (tackle by Budda Baker and Kevin Strong),0.61,1.28,17.0,2023,247
3.0,1:36,2.0,1.0,PHI 34,21.0,21.0,D'Andre Swift right tackle for 4 yards (tackle by Antonio Hamilton),1.28,1.47,17.0,2023,247
3.0,1:02,1.0,10.0,PHI 38,21.0,21.0,D'Andre Swift right end for 16 yards (tackle by Budda Baker and BJ Ojulari),1.47,2.52,17.0,2023,247
3.0,0:22,1.0,10.0,ARI 46,21.0,21.0,D'Andre Swift left end for 10 yards (tackle by Andre Chachere and Jalen Thompson),2.52,3.18,17.0,2023,247
4.0,15:00,1.0,10.0,ARI 36,21.0,21.0,D'Andre Swift up the middle for 5 yards (tackle by Dante Stills and Phil Hoskins),3.18,3.31,17.0,2023,247
4.0,14:35,2.0,5.0,ARI 31,21.0,21.0,Jalen Hurts pass complete short left to Dallas Goedert for 6 yards (tackle by Victor Dimukeje),3.31,3.91,17.0,2023,247
4.0,13:54,1.0,10.0,ARI 25,21.0,21.0,D'Andre Swift right guard for 6 yards (tackle by Roy Lopez),3.91,4.2,17.0,2023,247
4.0,13:23,2.0,4.0,ARI 19,21.0,21.0,D'Andre Swift up the middle for 3 yards (tackle by Owen Pappoe),4.2,4.06,17.0,2023,247
4.0,12:58,3.0,1.0,ARI 16,21.0,21.0,Jalen Hurts up the middle for no gain (tackle by Antonio Hamilton and BJ Ojulari),4.06,2.53,17.0,2023,247
4.0,12:19,4.0,1.0,ARI 16,21.0,21.0,Jalen Hurts left guard for 1 yard (tackle by BJ Ojulari),2.53,4.58,17.0,2023,247
4.0,11:34,1.0,10.0,ARI 15,21.0,21.0,Jalen Hurts left end for 8 yards (tackle by Krys Barnes),4.58,5.41,17.0,2023,247
4.0,10:48,2.0,2.0,ARI 7,21.0,21.0,Jalen Hurts left end for -7 yards (tackle by Budda Baker),5.41,3.24,17.0,2023,247
4.0,10:02,,,,,,Timeout #1 by Philadelphia Eagles,,,17.0,2023,247
4.0,10:02,3.0,9.0,ARI 14,21.0,21.0,"Penalty on Naquan Jones: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.24,4.22,17.0,2023,247
4.0,10:02,3.0,4.0,ARI 9,21.0,27.0,"Jalen Hurts pass complete short right to Dallas Goedert for 9 yards, touchdown",4.22,7.0,17.0,2023,247
4.0,9:55,,,ARI 15,21.0,28.0,Jake Elliott kicks extra point good,0.0,0.0,17.0,2023,247
4.0,9:55,,,PHI 35,21.0,28.0,"Jake Elliott kicks off 66 yards, returned by Greg Dortch for 24 yards (tackle by Nolan Smith and Kelee Ringo)",0.0,0.48,17.0,2023,247
4.0,9:48,1.0,10.0,ARI 23,21.0,28.0,"Kyler Murray pass incomplete. Penalty on Kelee Ringo: Defensive Pass Interference, 29 yards (accepted) (no play)",0.48,2.39,17.0,2023,247
4.0,9:42,1.0,10.0,PHI 48,21.0,28.0,Michael Carter right tackle for 3 yards (tackle by Nicholas Morrow and Ben VanSumeren),2.39,2.25,17.0,2023,247
4.0,9:03,2.0,7.0,PHI 45,21.0,28.0,Michael Carter right end for 18 yards (tackle by Reed Blankenship),2.25,3.78,17.0,2023,247
4.0,8:20,1.0,10.0,PHI 27,21.0,28.0,Michael Carter left guard for 2 yards (tackle by Fletcher Cox),3.78,3.5,17.0,2023,247
4.0,7:40,2.0,8.0,PHI 25,21.0,28.0,Kyler Murray right guard for 14 yards (tackle by Kelee Ringo),3.5,4.84,17.0,2023,247
4.0,6:58,1.0,10.0,PHI 11,21.0,28.0,Kyler Murray pass complete short middle to Greg Dortch for 5 yards (tackle by Ben VanSumeren),4.84,5.08,17.0,2023,247
4.0,6:16,2.0,5.0,PHI 6,21.0,28.0,James Conner left guard for 1 yard (tackle by Reed Blankenship),5.08,4.44,17.0,2023,247
4.0,5:33,3.0,4.0,PHI 5,21.0,28.0,Kyler Murray pass incomplete short right intended for Michael Wilson (defended by Eli Ricks),4.44,3.01,17.0,2023,247
4.0,5:30,4.0,4.0,PHI 5,27.0,28.0,"Kyler Murray pass complete short left to Michael Wilson for 5 yards, touchdown",3.01,7.0,17.0,2023,247
4.0,5:26,,,PHI 15,28.0,28.0,Matt Prater kicks extra point good,0.0,0.0,17.0,2023,247
4.0,5:26,,,ARI 35,28.0,28.0,"Matt Prater kicks onside 10 yards, recovered by Eli Ricks. Penalty on Antonio Hamilton: Offside on Free Kick, 5 yards (accepted)",0.0,2.98,17.0,2023,247
4.0,5:25,1.0,10.0,ARI 39,28.0,28.0,D'Andre Swift up the middle for 1 yard (tackle by Victor Dimukeje),2.98,2.58,17.0,2023,247
4.0,5:08,2.0,9.0,ARI 38,28.0,28.0,Jalen Hurts pass complete short right to A.J. Brown for 18 yards (tackle by Starling Thomas),2.58,4.24,17.0,2023,247
4.0,4:18,1.0,10.0,ARI 20,28.0,28.0,"D'Andre Swift for no gain. Penalty on Jordan Mailata: Offensive Holding, 10 yards (accepted) (no play)",4.24,3.58,17.0,2023,247
4.0,4:13,1.0,20.0,ARI 30,28.0,28.0,Jalen Hurts right tackle for 4 yards (tackle by BJ Ojulari and Kevin Strong),3.58,2.88,17.0,2023,247
4.0,3:31,2.0,16.0,ARI 26,28.0,28.0,Jalen Hurts right tackle for -3 yards (tackle by Budda Baker),2.88,1.82,17.0,2023,247
4.0,2:46,,,,,,Timeout #2 by Philadelphia Eagles,,,17.0,2023,247
4.0,2:46,3.0,19.0,ARI 29,28.0,28.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 4 yards (tackle by Victor Dimukeje),1.82,1.8,17.0,2023,247
4.0,2:37,4.0,15.0,ARI 25,28.0,31.0,Jake Elliott 43 yard field goal good,1.8,3.0,17.0,2023,247
4.0,2:33,,,PHI 35,28.0,31.0,"Jake Elliott kicks off 61 yards, returned by Greg Dortch for 26 yards (tackle by Sydney Brown)",0.0,0.94,17.0,2023,247
4.0,2:28,1.0,10.0,ARI 30,28.0,31.0,James Conner left guard for 1 yard (tackle by Milton Williams and Nicholas Morrow),0.94,0.53,17.0,2023,247
4.0,2:04,2.0,9.0,ARI 31,28.0,31.0,Kyler Murray pass complete short left to Rondale Moore for 12 yards (tackle by Reed Blankenship),0.53,1.8,17.0,2023,247
4.0,1:54,1.0,10.0,ARI 43,28.0,31.0,James Conner left end for 6 yards (tackle by Josh Sweat),1.8,2.06,17.0,2023,247
4.0,1:30,2.0,4.0,ARI 49,28.0,31.0,Kyler Murray pass complete short left to Greg Dortch for 10 yards (tackle by Eli Ricks),2.06,2.85,17.0,2023,247
4.0,1:26,1.0,10.0,PHI 41,28.0,31.0,Kyler Murray pass complete short right to Greg Dortch for 36 yards (tackle by James Bradberry and Ben VanSumeren),2.85,6.06,17.0,2023,247
4.0,0:43,1.0,5.0,PHI 5,28.0,31.0,James Conner left guard for 3 yards (tackle by Kevin Byard and Reed Blankenship),6.06,5.72,17.0,2023,247
4.0,0:36,,,,,,Timeout #3 by Philadelphia Eagles,,,17.0,2023,247
4.0,0:36,2.0,2.0,PHI 2,34.0,31.0,"James Conner right guard for 2 yards, touchdown",5.72,7.0,17.0,2023,247
4.0,0:32,,,PHI 15,35.0,31.0,Matt Prater kicks extra point good,0.0,0.0,17.0,2023,247
4.0,0:32,,,ARI 35,35.0,31.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,247
4.0,0:32,1.0,10.0,PHI 25,35.0,31.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 5 yards (tackle by Antonio Hamilton),0.61,0.74,17.0,2023,247
4.0,0:26,2.0,5.0,PHI 30,35.0,31.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 6 yards,0.74,1.33,17.0,2023,247
4.0,0:21,1.0,10.0,PHI 36,35.0,31.0,Jalen Hurts scrambles left end for 13 yards (tackle by Antonio Hamilton and Joey Blount),1.33,2.19,17.0,2023,247
4.0,0:14,1.0,10.0,PHI 49,35.0,31.0,Jalen Hurts pass incomplete deep left intended for Dallas Goedert,2.19,1.65,17.0,2023,247
4.0,0:07,2.0,10.0,PHI 49,35.0,31.0,Jalen Hurts pass deep middle is intercepted by Joey Blount in end zone and returned for no gain,1.65,0.0,17.0,2023,247
