Quarter,Time,Down,ToGo,Location,LVR,IND,Detail,EPB,EPA,week,year,game_id
1.0,3:57,3.0,5.0,LVR 38,3.0,7.0,Aidan O'Connell pass incomplete short middle intended for Davante Adams (defended by Chris Lammons),0.56,-0.85,17.0,2023,246
1.0,3:51,4.0,5.0,LVR 38,3.0,7.0,"AJ Cole punts 56 yards, fair catch by Josh Downs at IND-6",-0.85,0.38,17.0,2023,246
1.0,3:44,1.0,10.0,IND 6,3.0,7.0,Gardner Minshew pass incomplete short left intended for Kylen Granson,-0.38,-0.78,17.0,2023,246
1.0,3:40,2.0,10.0,IND 6,3.0,7.0,Gardner Minshew pass complete short left to Michael Pittman for 5 yards (tackle by Brandon Facyson),-0.78,-0.84,17.0,2023,246
1.0,3:00,3.0,5.0,IND 11,3.0,7.0,Gardner Minshew scrambles up the middle for 4 yards (tackle by Robert Spillane),-0.84,-2.44,17.0,2023,246
1.0,2:15,4.0,1.0,IND 15,3.0,7.0,"Rigoberto Sanchez punts 48 yards, returned by DeAndre Carter for 3 yards (tackle by Trevor Denbow and Segun Olubi)",-2.44,-1.6,17.0,2023,246
1.0,2:03,1.0,10.0,LVR 40,3.0,7.0,Aidan O'Connell pass incomplete deep left intended for Davante Adams,1.6,1.05,17.0,2023,246
1.0,1:56,2.0,10.0,LVR 40,3.0,7.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 13 yards (tackle by Julius Brents),1.05,2.46,17.0,2023,246
1.0,1:26,1.0,10.0,IND 47,3.0,7.0,Aidan O'Connell pass complete short left to Austin Hooper for 7 yards (tackle by Chris Lammons),2.46,2.86,17.0,2023,246
1.0,0:54,2.0,3.0,IND 40,3.0,7.0,Zamir White up the middle for 2 yards (tackle by E.J. Speed and Kwity Paye),2.86,2.41,17.0,2023,246
1.0,0:15,3.0,1.0,IND 38,3.0,7.0,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers (defended by Zaire Franklin),2.41,0.72,17.0,2023,246
1.0,0:02,4.0,1.0,IND 38,3.0,7.0,"Penalty on Jermaine Eluemunor: False Start, 4 yards (accepted) (no play)",0.72,0.46,17.0,2023,246
1.0,0:02,4.0,6.0,IND 42,3.0,7.0,AJ Cole punts 36 yards out of bounds,0.46,0.38,17.0,2023,246
2.0,15:00,1.0,10.0,IND 6,3.0,7.0,Jonathan Taylor up the middle for 2 yards (tackle by John Jenkins and Tre'von Moehrig),-0.38,-0.63,17.0,2023,246
2.0,14:26,2.0,8.0,IND 8,3.0,7.0,Jonathan Taylor up the middle for no gain (tackle by Adam Butler),-0.63,-1.19,17.0,2023,246
2.0,13:45,3.0,8.0,IND 8,3.0,7.0,Gardner Minshew pass complete short left to Will Mallory for 19 yards (tackle by Robert Spillane),-1.19,0.74,17.0,2023,246
2.0,13:18,1.0,10.0,IND 27,3.0,7.0,"Trey Sermon right tackle for no gain (tackle by Nate Hobbs). Penalty on Braden Smith: Offensive Holding, 10 yards (accepted) (no play)",0.74,-0.17,17.0,2023,246
2.0,12:54,1.0,20.0,IND 17,3.0,7.0,Gardner Minshew pass complete short left to Michael Pittman for 6 yards (tackle by Amik Robertson),-0.17,-0.34,17.0,2023,246
2.0,12:13,2.0,14.0,IND 23,3.0,7.0,Gardner Minshew pass complete short right to Josh Downs for 3 yards (tackle by Nate Hobbs),-0.34,-0.62,17.0,2023,246
2.0,11:33,3.0,11.0,IND 26,3.0,7.0,Gardner Minshew pass incomplete short right intended for Mo Alie-Cox,-0.62,-1.63,17.0,2023,246
2.0,11:28,4.0,11.0,IND 26,3.0,7.0,"Rigoberto Sanchez punts 50 yards, fair catch by DeAndre Carter at LV-24",-1.63,-0.54,17.0,2023,246
2.0,11:21,1.0,10.0,LVR 24,3.0,7.0,Zamir White up the middle for 5 yards (tackle by Zaire Franklin and Julius Brents),0.54,0.67,17.0,2023,246
2.0,10:51,2.0,5.0,LVR 29,3.0,7.0,"Zamir White up the middle for 3 yards (tackle by Taven Bryan and Eric Johnson). Penalty on Chris Lammons: Illegal Use of Hands / Defense, 5 yards (accepted)",0.67,1.4,17.0,2023,246
2.0,10:29,1.0,10.0,LVR 37,3.0,7.0,Zamir White up the middle for 4 yards (tackle by Chris Lammons and Zaire Franklin),1.4,1.4,17.0,2023,246
2.0,9:51,2.0,6.0,LVR 41,3.0,7.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 2 yards (tackle by E.J. Speed),1.4,0.96,17.0,2023,246
2.0,9:13,3.0,4.0,LVR 43,3.0,7.0,Aidan O'Connell pass complete short middle to Davante Adams for 5 yards (tackle by E.J. Speed),0.96,2.13,17.0,2023,246
2.0,8:38,1.0,10.0,LVR 48,3.0,7.0,Zamir White up the middle for 6 yards (tackle by Ronnie Harrison and Samson Ebukam),2.13,2.39,17.0,2023,246
2.0,8:02,2.0,4.0,IND 46,3.0,7.0,Zamir White right guard for 3 yards (tackle by Zaire Franklin and Kwity Paye),2.39,2.08,17.0,2023,246
2.0,7:19,3.0,1.0,IND 43,3.0,7.0,Aidan O'Connell pass incomplete deep middle intended for Tre Tucker,2.08,0.4,17.0,2023,246
2.0,7:12,4.0,1.0,IND 43,3.0,7.0,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",0.4,0.07,17.0,2023,246
2.0,7:12,4.0,6.0,IND 48,3.0,7.0,"AJ Cole punts 38 yards, fair catch by Josh Downs at IND-10",0.07,0.38,17.0,2023,246
2.0,7:05,1.0,10.0,IND 10,3.0,7.0,Gardner Minshew pass complete short left to Michael Pittman for 11 yards (tackle by Tre'von Moehrig),-0.38,0.34,17.0,2023,246
2.0,6:31,1.0,10.0,IND 21,3.0,7.0,Gardner Minshew pass complete short right to Jonathan Taylor for 8 yards (tackle by Jack Jones),0.34,0.88,17.0,2023,246
2.0,5:53,2.0,2.0,IND 29,3.0,7.0,Jonathan Taylor up the middle for 4 yards (tackle by Divine Deablo and John Jenkins),0.88,1.14,17.0,2023,246
2.0,5:11,1.0,10.0,IND 33,3.0,7.0,Gardner Minshew pass complete short left to Trey Sermon for 7 yards (tackle by Amik Robertson),1.14,1.54,17.0,2023,246
2.0,4:44,2.0,3.0,IND 40,3.0,7.0,Gardner Minshew pass complete short middle to Trey Sermon for 2 yards (tackle by Marcus Epps),1.54,1.09,17.0,2023,246
2.0,4:02,3.0,1.0,IND 42,3.0,13.0,"Gardner Minshew pass complete deep middle to Alec Pierce for 58 yards, touchdown",1.09,7.0,17.0,2023,246
2.0,3:53,,,LVR 15,3.0,14.0,Matt Gay kicks extra point good,0.0,0.0,17.0,2023,246
2.0,3:53,,,IND 35,3.0,14.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,246
2.0,3:53,1.0,10.0,LVR 25,3.0,14.0,Aidan O'Connell pass complete short left to Zamir White for 8 yards (tackle by Zaire Franklin),0.61,1.14,17.0,2023,246
2.0,3:19,2.0,2.0,LVR 33,3.0,14.0,Zamir White up the middle for 9 yards (tackle by Nick Cross and Ronnie Harrison),1.14,1.73,17.0,2023,246
2.0,2:43,1.0,10.0,LVR 42,3.0,14.0,Aidan O'Connell pass complete short middle to Jakobi Meyers for 14 yards (tackle by E.J. Speed),1.73,2.65,17.0,2023,246
2.0,2:00,1.0,10.0,IND 44,3.0,14.0,Aidan O'Connell sacked by DeForest Buckner for -4 yards,2.65,1.57,17.0,2023,246
2.0,1:17,2.0,14.0,IND 48,3.0,14.0,Aidan O'Connell pass incomplete short right intended for Davante Adams,1.57,0.89,17.0,2023,246
2.0,1:11,3.0,14.0,IND 48,3.0,14.0,Aidan O'Connell pass complete short right to Davante Adams for 6 yards (tackle by Julius Brents and Chris Lammons),0.89,0.46,17.0,2023,246
2.0,1:02,,,,,,Timeout #1 by Indianapolis Colts,,,17.0,2023,246
2.0,1:02,4.0,8.0,IND 42,3.0,14.0,AJ Cole punts 36 yards downed by Luke Masterson,0.46,0.38,17.0,2023,246
2.0,0:54,1.0,10.0,IND 6,3.0,14.0,Jonathan Taylor up the middle for 4 yards (tackle by Maxx Crosby),-0.38,-0.49,17.0,2023,246
2.0,0:20,2.0,6.0,IND 10,3.0,14.0,Jonathan Taylor up the middle for 3 yards (tackle by Malcolm Koonce and Jerry Tillery),-0.49,-0.6,17.0,2023,246
2.0,0:11,,,,,,Timeout #1 by Las Vegas Raiders,,,17.0,2023,246
2.0,0:11,3.0,3.0,IND 13,3.0,14.0,Jonathan Taylor up the middle for 4 yards (tackle by Malcolm Koonce),-0.6,-0.06,17.0,2023,246
3.0,15:00,,,IND 35,3.0,14.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,246
3.0,15:00,1.0,10.0,LVR 25,3.0,14.0,Zamir White up the middle for 4 yards (tackle by Kwity Paye),0.61,0.6,17.0,2023,246
3.0,14:29,2.0,6.0,LVR 29,3.0,14.0,Zamir White right guard for 6 yards (tackle by Segun Olubi and Nick Cross),0.6,1.27,17.0,2023,246
3.0,13:53,1.0,10.0,LVR 35,3.0,14.0,Aidan O'Connell pass complete short middle to Davante Adams for 11 yards (tackle by Zaire Franklin),1.27,1.99,17.0,2023,246
3.0,13:19,1.0,10.0,LVR 46,3.0,14.0,Zamir White right tackle for 9 yards (tackle by Julius Brents and E.J. Speed),1.99,2.67,17.0,2023,246
3.0,12:42,2.0,1.0,IND 45,3.0,14.0,Aidan O'Connell pass incomplete deep right,2.67,1.95,17.0,2023,246
3.0,12:35,3.0,1.0,IND 45,3.0,14.0,Zamir White up the middle for -1 yards (tackle by Grover Stewart and Tyquan Lewis),1.95,0.2,17.0,2023,246
3.0,11:46,4.0,2.0,IND 46,3.0,14.0,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",0.2,-0.13,17.0,2023,246
3.0,11:43,4.0,7.0,LVR 49,3.0,14.0,"AJ Cole punts, touchback.. Penalty on E.J. Speed: Roughing the Kicker, 15 yards (accepted) (no play)",-0.13,3.18,17.0,2023,246
3.0,11:35,1.0,10.0,IND 36,3.0,14.0,Zamir White left end for 2 yards (tackle by E.J. Speed),3.18,2.91,17.0,2023,246
3.0,11:02,2.0,8.0,IND 34,3.0,14.0,Aidan O'Connell pass complete short middle to Austin Hooper for 8 yards (tackle by Zaire Franklin and E.J. Speed),2.91,3.84,17.0,2023,246
3.0,10:35,1.0,10.0,IND 26,3.0,14.0,Aidan O'Connell pass complete short right to Austin Hooper for 13 yards (tackle by Eric Johnson),3.84,4.71,17.0,2023,246
3.0,9:53,1.0,10.0,IND 13,3.0,14.0,Zamir White up the middle for 5 yards (tackle by Samson Ebukam and Nick Cross),4.71,4.96,17.0,2023,246
3.0,9:14,2.0,5.0,IND 8,3.0,14.0,Brandon Bolden left guard for 2 yards (tackle by Ronnie Harrison and E.J. Speed),4.96,4.56,17.0,2023,246
3.0,8:39,3.0,3.0,IND 6,3.0,14.0,Brandon Bolden up the middle for 4 yards (tackle by Grover Stewart and Nick Cross),4.56,6.74,17.0,2023,246
3.0,7:57,1.0,2.0,IND 2,3.0,14.0,Zamir White right guard for 1 yard (tackle by Zaire Franklin),6.74,5.91,17.0,2023,246
3.0,7:22,2.0,1.0,IND 1,3.0,14.0,Zamir White up the middle for -3 yards (tackle by Dayo Odeyingbo),5.91,4.49,17.0,2023,246
3.0,6:36,3.0,4.0,IND 4,9.0,14.0,"Aidan O'Connell pass complete short left to Davante Adams for 4 yards, touchdown",4.49,7.0,17.0,2023,246
3.0,6:31,,,IND 15,10.0,14.0,Daniel Carlson kicks extra point good,0.0,0.0,17.0,2023,246
3.0,6:31,,,LVR 35,10.0,14.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,246
3.0,6:31,1.0,10.0,IND 25,10.0,14.0,Gardner Minshew pass incomplete short left,0.61,0.06,17.0,2023,246
3.0,6:27,2.0,10.0,IND 25,10.0,14.0,Gardner Minshew pass incomplete deep left intended for Kylen Granson,0.06,-0.62,17.0,2023,246
3.0,6:22,3.0,10.0,IND 25,10.0,14.0,Gardner Minshew pass complete short middle to Kylen Granson for 13 yards (tackle by Nate Hobbs),-0.62,1.47,17.0,2023,246
3.0,5:52,1.0,10.0,IND 38,10.0,14.0,Gardner Minshew pass complete short left to Mo Alie-Cox for 14 yards (tackle by Amik Robertson and Nate Hobbs),1.47,2.39,17.0,2023,246
3.0,5:31,1.0,10.0,LVR 48,10.0,14.0,Gardner Minshew pass complete short left to Mo Alie-Cox for 4 yards (tackle by Amik Robertson),2.39,2.39,17.0,2023,246
3.0,4:55,2.0,6.0,LVR 44,10.0,14.0,Jonathan Taylor left end for 5 yards (tackle by Robert Spillane),2.39,2.34,17.0,2023,246
3.0,4:23,3.0,1.0,LVR 39,10.0,14.0,Jonathan Taylor up the middle for -1 yards (tackle by John Jenkins and Robert Spillane),2.34,0.59,17.0,2023,246
3.0,3:42,4.0,2.0,LVR 40,10.0,14.0,Gardner Minshew pass complete short right to Michael Pittman for 20 yards (tackle by Nate Hobbs),0.59,4.24,17.0,2023,246
3.0,3:17,1.0,10.0,LVR 20,10.0,14.0,Gardner Minshew pass incomplete short left intended for Michael Pittman,4.24,3.69,17.0,2023,246
3.0,3:13,2.0,10.0,LVR 20,10.0,14.0,"Jonathan Taylor right tackle for no gain. Jonathan Taylor fumbles (forced by Maxx Crosby), recovered by Michael Pittman at LV-19",3.69,3.1,17.0,2023,246
3.0,2:31,3.0,9.0,LVR 19,10.0,14.0,"Gardner Minshew pass complete short middle to Alec Pierce for no gain (tackle by Marcus Epps). Penalty on Bernhard Raimann: Offensive Holding, 10 yards (accepted) (no play)",3.1,1.82,17.0,2023,246
3.0,2:03,3.0,19.0,LVR 29,10.0,14.0,Jonathan Taylor up the middle for 10 yards (tackle by Brandon Facyson and Malcolm Koonce),1.82,2.18,17.0,2023,246
3.0,1:21,4.0,9.0,LVR 19,10.0,17.0,Matt Gay 38 yard field goal good,2.18,3.0,17.0,2023,246
3.0,1:17,,,IND 35,10.0,17.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,246
3.0,1:17,1.0,10.0,LVR 25,10.0,17.0,Zamir White up the middle for 9 yards (tackle by Zaire Franklin and Nick Cross),0.61,1.28,17.0,2023,246
3.0,0:41,2.0,1.0,LVR 34,10.0,17.0,Aidan O'Connell up the middle for 3 yards (tackle by Zaire Franklin),1.28,1.4,17.0,2023,246
4.0,15:00,1.0,10.0,LVR 37,10.0,17.0,Zamir White left end for no gain (tackle by Segun Olubi),1.4,0.86,17.0,2023,246
4.0,14:24,2.0,10.0,LVR 37,10.0,17.0,Aidan O'Connell pass incomplete short left intended for Davante Adams (defended by Jaylon Jones),0.86,0.17,17.0,2023,246
4.0,14:19,3.0,10.0,LVR 37,10.0,17.0,"Aidan O'Connell pass short left is intercepted by Jaylon Jones at LV-47 and returned for no gain, touchdown. Penalty on Jaylon Jones: Defensive Pass Interference, 12 yards (accepted) (no play)",0.17,2.19,17.0,2023,246
4.0,14:08,1.0,10.0,LVR 49,10.0,17.0,Aidan O'Connell pass incomplete short left intended for Jakobi Meyers (defended by Julius Brents),2.19,1.65,17.0,2023,246
4.0,14:02,2.0,10.0,LVR 49,10.0,17.0,Aidan O'Connell pass complete short left to Zamir White for 6 yards (tackle by E.J. Speed),1.65,1.75,17.0,2023,246
4.0,13:26,3.0,4.0,IND 45,10.0,17.0,Aidan O'Connell pass incomplete short left intended for Davante Adams,1.75,0.27,17.0,2023,246
4.0,13:23,4.0,4.0,IND 45,10.0,17.0,AJ Cole punts 21 yards out of bounds,0.27,-0.54,17.0,2023,246
4.0,13:14,1.0,10.0,IND 24,10.0,17.0,Jonathan Taylor up the middle for 15 yards (tackle by Tre'von Moehrig),0.54,1.53,17.0,2023,246
4.0,12:35,1.0,10.0,IND 39,10.0,17.0,Jonathan Taylor up the middle for 6 yards (tackle by Maxx Crosby and Jack Jones),1.53,1.8,17.0,2023,246
4.0,11:57,2.0,4.0,IND 45,10.0,17.0,Jonathan Taylor left tackle for 3 yards (tackle by John Jenkins),1.8,1.49,17.0,2023,246
4.0,11:14,3.0,1.0,IND 48,10.0,17.0,Jonathan Taylor left end for 3 yards (tackle by Nate Hobbs and Maxx Crosby),1.49,2.32,17.0,2023,246
4.0,10:35,1.0,10.0,LVR 49,10.0,17.0,Trey Sermon left end for 27 yards (tackle by Tre'von Moehrig and Jack Jones),2.32,4.11,17.0,2023,246
4.0,9:48,1.0,10.0,LVR 22,10.0,17.0,Trey Sermon left tackle for 2 yards (tackle by Maxx Crosby and Bilal Nichols),4.11,3.83,17.0,2023,246
4.0,9:07,2.0,8.0,LVR 20,10.0,17.0,Trey Sermon up the middle for 2 yards (tackle by Robert Spillane),3.83,3.4,17.0,2023,246
4.0,8:26,3.0,6.0,LVR 18,10.0,17.0,Tyler Goodson up the middle for 3 yards (tackle by Bilal Nichols),3.4,2.54,17.0,2023,246
4.0,7:37,,,,,,Timeout #1 by Indianapolis Colts,,,17.0,2023,246
4.0,7:37,4.0,3.0,LVR 15,10.0,20.0,Matt Gay 33 yard field goal good,2.54,3.0,17.0,2023,246
4.0,7:34,,,IND 35,10.0,20.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,246
4.0,7:34,1.0,10.0,LVR 25,10.0,20.0,Aidan O'Connell pass complete short middle to Jakobi Meyers for 13 yards (tackle by Nick Cross),0.61,1.47,17.0,2023,246
4.0,7:09,1.0,10.0,LVR 38,10.0,20.0,Aidan O'Connell pass incomplete short right intended for Davante Adams,1.47,0.92,17.0,2023,246
4.0,7:04,2.0,10.0,LVR 38,10.0,20.0,Aidan O'Connell pass incomplete deep left intended for Tre Tucker,0.92,0.23,17.0,2023,246
4.0,6:58,3.0,10.0,LVR 38,10.0,20.0,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers,0.23,-0.85,17.0,2023,246
4.0,6:54,4.0,10.0,LVR 38,10.0,20.0,Aidan O'Connell pass complete deep right to Tre Tucker for 16 yards (tackle by Julius Brents),-0.85,2.52,17.0,2023,246
4.0,6:22,1.0,10.0,IND 46,10.0,20.0,Aidan O'Connell pass complete short left to Davante Adams for 13 yards (tackle by Jaylon Jones),2.52,3.38,17.0,2023,246
4.0,6:00,1.0,10.0,IND 33,10.0,20.0,Aidan O'Connell pass complete short right to Davante Adams for 14 yards,3.38,4.31,17.0,2023,246
4.0,5:21,1.0,10.0,IND 19,10.0,20.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 4 yards,4.31,4.35,17.0,2023,246
4.0,4:48,2.0,6.0,IND 15,10.0,20.0,Aidan O'Connell pass incomplete short right intended for Davante Adams,4.35,3.58,17.0,2023,246
4.0,4:43,3.0,6.0,IND 15,10.0,20.0,Aidan O'Connell pass incomplete short right intended for Davante Adams (defended by Julius Brents),3.58,2.47,17.0,2023,246
4.0,4:39,4.0,6.0,IND 15,13.0,20.0,Daniel Carlson 33 yard field goal good,2.47,3.0,17.0,2023,246
4.0,4:35,,,LVR 35,13.0,20.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,246
4.0,4:35,1.0,10.0,IND 25,13.0,20.0,Jonathan Taylor right tackle for 11 yards (tackle by Nate Hobbs and Divine Deablo),0.61,1.33,17.0,2023,246
4.0,3:53,1.0,10.0,IND 36,13.0,20.0,Jonathan Taylor up the middle for 2 yards (tackle by John Jenkins and Bilal Nichols),1.33,1.06,17.0,2023,246
4.0,3:46,,,,,,Timeout #1 by Las Vegas Raiders,,,17.0,2023,246
4.0,3:46,2.0,8.0,IND 38,13.0,20.0,Gardner Minshew pass incomplete short right,1.06,0.37,17.0,2023,246
4.0,3:39,3.0,8.0,IND 38,13.0,20.0,"Gardner Minshew pass incomplete deep right intended for Michael Pittman. Penalty on Janarius Robinson: Defensive Offside, 5 yards (declined) . Penalty on Jack Jones: Defensive Pass Interference, 26 yards (accepted) (no play)",0.37,3.18,17.0,2023,246
4.0,3:34,1.0,10.0,LVR 36,13.0,20.0,Trey Sermon up the middle for 3 yards (tackle by John Jenkins),3.18,3.04,17.0,2023,246
4.0,3:28,,,,,,Timeout #2 by Las Vegas Raiders,,,17.0,2023,246
4.0,3:28,2.0,7.0,LVR 33,13.0,20.0,Gardner Minshew pass complete short left to Michael Pittman for 4 yards (tackle by Marcus Epps and Brandon Facyson),3.04,2.87,17.0,2023,246
4.0,3:24,3.0,3.0,LVR 29,13.0,20.0,Trey Sermon left guard for -2 yards (tackle by Maxx Crosby),2.87,1.35,17.0,2023,246
4.0,3:20,,,,,,Timeout #3 by Las Vegas Raiders,,,17.0,2023,246
4.0,3:20,4.0,5.0,LVR 31,13.0,20.0,"Matt Gay yard field goal no good. Penalty on Jack Jones: Defensive Offside, 4 yards (accepted) (no play)",1.35,1.89,17.0,2023,246
4.0,3:15,4.0,1.0,LVR 26,13.0,23.0,Matt Gay 45 yard field goal good,1.89,3.0,17.0,2023,246
4.0,3:11,,,IND 35,13.0,23.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,246
4.0,3:11,1.0,10.0,LVR 25,13.0,23.0,Aidan O'Connell pass complete deep left to Tre Tucker for 20 yards (tackle by Jaylon Jones),0.61,1.93,17.0,2023,246
4.0,2:47,1.0,10.0,LVR 45,13.0,23.0,Ameer Abdullah up the middle for 4 yards (tackle by Zaire Franklin),1.93,1.92,17.0,2023,246
4.0,2:26,2.0,6.0,LVR 49,13.0,23.0,Aidan O'Connell pass complete short right to Davante Adams for 16 yards (tackle by Nick Cross),1.92,3.25,17.0,2023,246
4.0,2:03,1.0,10.0,IND 35,13.0,23.0,Aidan O'Connell pass complete short right to Davante Adams for 15 yards,3.25,4.24,17.0,2023,246
4.0,1:56,1.0,10.0,IND 20,13.0,23.0,Aidan O'Connell pass complete short middle to Jakobi Meyers for 10 yards (tackle by Chris Lammons and E.J. Speed),4.24,4.91,17.0,2023,246
4.0,1:35,1.0,10.0,IND 10,13.0,23.0,Aidan O'Connell pass incomplete short middle intended for Tre Tucker,4.91,4.19,17.0,2023,246
4.0,1:31,2.0,10.0,IND 10,13.0,23.0,Aidan O'Connell pass complete short middle to Davante Adams for 9 yards (tackle by Ronnie Harrison),4.19,5.17,17.0,2023,246
4.0,1:13,3.0,1.0,IND 1,13.0,23.0,Aidan O'Connell up the middle for no gain (tackle by DeForest Buckner),5.17,3.55,17.0,2023,246
4.0,0:46,4.0,1.0,IND 1,19.0,23.0,"Aidan O'Connell pass complete short left to Davante Adams for 1 yard, touchdown",3.55,7.0,17.0,2023,246
4.0,0:43,,,IND 15,20.0,23.0,Daniel Carlson kicks extra point good,0.0,0.0,17.0,2023,246
4.0,0:43,,,LVR 35,20.0,23.0,"Daniel Carlson kicks onside 16 yards, returned by Rodney Thomas for no gain",0.0,2.19,17.0,2023,246
4.0,0:42,1.0,10.0,IND 49,20.0,23.0,Gardner Minshew kneels for -1 yards,2.19,1.51,17.0,2023,246
